dufresny-chevalier-joueur,regnard-joueur,Score
"('#l-etourdi', 'Oh je veux un peu de gros sel ; là, de ces équivoques claires qui réveillent la joie ; y a-t-il de cela dans ce Joueur-ci ?')",-,0.0
"('#valere', ""Je ne veux juger ni de celui-ci ni de l'autre.  Je prétendais seulement te prouver que toutes ces parties sont traitées différemment dans les deux pièces, et qu'à le bien prendre, elles n'ont rien de semblable que le fond du sujet, et deux ou trois idées de Scènes qui se sont trouvées dans des mémoires que l'un des deux auteurs a dérobés à l'autre."")",-,0.0
"('#l-etourdi', 'Ma foi toutes ces distinctions me brouillent la cervelle ; je veux du nouveau tout pur.  Adieu...  À propos y a-t-il un Marquis dans celle-ci ?')",-,0.0
"('#valere', ""Oui, mais tu n'as qu'à t'imaginer que c'est un Vicomte, et tu le trouveras nouveau."")",-,0.0
"('#l-etourdi', 'Et le père, le père ?')",-,0.0
"('#valere', ""Il n'y a point de père."")",-,0.0
"('#l-etourdi', ""Cela est nouveau cela ; que ne me disais-tu donc qu'il n'y a point de père."")",-,0.0
"('#valere', 'Je me suis attaché à des différences plus essentielles.')",-,0.0
"('#l-etourdi', ""Et moi je ne resterai que pour cette nouveauté ; tu m'assures qu'il n'y a point de père au moins ?  Point de père, cela sera plaisant."")",-,0.0
"('#valere', ""Je suis ravi que tu restes pour le père qui n'y est point ; plaçons-nous donc."")",-,0.0
"('#nerine', 'Bonjour, Frontin, te voilà déjà levé ?')",-,0.0
"('#frontin', 'Bonsoir, Nérine, je vais me coucher.')",-,0.0
"('#nerine', ""C'est-à-dire que ton Maître a couché au lansquenet."")",-,0.0
"('#frontin', 'Je ne te dis pas cela.')",-,0.0
"('#nerine', ""Le Chevalier est un jeune homme bien morigéné !  Avoue qu'il est incommode de loger en même maison avec des femmes qui ont intérêt d'examiner notre conduite !  Ma Maîtresse lui avait défendu de jouer."")",-,0.0
"('#frontin', 'Il ne joue plus aussi, il ne fait que parier.')",-,0.0
"('#nerine', 'Il se brouillera avec Angélique.')",-,0.0
"('#frontin', ""Que m'importe ; en tous cas, s'il manque la jeune, le vieille ne le manquera pas ; elle fera bien, car mon maître sera quelque jour un riche parti."")",-,0.0
"('#nerine', 'Un riche parti !  Au diantre le sol qui lui reste de son patrimoine.')",-,0.0
"('#frontin', ""On se soucie bien de son patrimoine, quand on a des talents pour les grandes fortunes.  De l'air déterminé dont il joue, il est homme à gagner cent mille écus en trois coups de dés ; cela s'appelle un grand parti !  À la vérité ton Dorante a plus de bien en fonds ; mais les biens en fonds ont des bornes, et le casuel d'un joueur n'en a point."")",-,0.0
"('#nerine', 'Dorante est si honnête homme.')",-,0.0
"('#frontin', 'Dorante est honnête homme ; mais mon maître est joli')",-,0.0
"('#nerine', 'Un esprit solide, doux.')",-,0.0
"('#frontin', ""Vert et piquant, c'est ce qu'il faut pour réveiller le goût des femmes."")",-,0.0
"('#nerine', 'Dorante est un homme fait.')",-,0.0
"('#frontin', ""En cas d'Amant, ce qui est à faire vaut mieux que ce qui est fait."")",-,0.0
"('#nerine', 'Un bon coeur, généreux, sincère.')",-,0.0
"('#frontin', ""Oh !  Mon Maître ne se pique point de ces niaiseries-là ; mais en récompense, c'est le plus ensorcelant petit scélérat, un tour de scélératesse si galant, que les femmes ont du plaisir à se laisser tromper par lui."")",-,0.0
"('#nerine', ""J'espère qu'Angélique reviendra de ce plaisir-là."")",-,0.0
"('#frontin', ""Elle n'en reviendra qu'après les noces."")",-,0.0
"('#nerine', 'Si je la puis rattraper dans quelque moment raisonnable.')",-,0.0
"('#frontin', ""Si mon maître la peut rattraper dans quelque moment déraisonnable !  Mais que nos Amants se brouillent ou qu'ils se raccommodent, ce sont des scènes qui me réjouissent et qui ne m'intéressent point du tout ; ma foi, nous sommes faits pour rire tout bas des folies de nos maîtres : nos maîtres sont faits pour nous payer et pour nous donner la Comédie.  Le personnage qui me réjouit le plus céans, c'est la vieille Comtesse, elle croit cacher sa fragilité à l'abri de l'air sévère dont sa philosophie est ombragée ; elle nomme affection fraternelle son amour pour mon maître : et toi, quel beau nom donnes-tu aux services que tu rends à l'amour masqué de cette héroïne de vertu ?"")",-,0.0
"('#nerine', ""J'avoue qu'elle me fait des présents lorsque je réussis à brouiller Angélique avec le Chevalier ; mais puisqu'elle me cache l'intention de sa libéralité, je prétends que mon gain est honnête.  Quand la pauvre Comtesse a donné ici un appartement au Chevalier, je lui dis bien que le voisinage était dangereux, la bonne Dame croyait que le danger ne serait que pour elle ; mais en ces occasions périlleuses, la plus jeune est la plus exposée."")",-,0.0
"('#frontin', ""Les voici toutes deux, je fuis pour éviter la fatigue d'excuser mon maître."")",-,0.0
"('#angelique', 'Avant que vous sortiez, Madame, voyons donc au moins à prendre une heure pour terminer mes affaires ; depuis huit jours que je vous presse, je ne saurais tirer de vous que des exhortations.')",-,0.0
"('#la-comtesse', ""C'est à vous de les écouter avec respect."")",-,0.0
"('#angelique', ""Je sais ce qu'une pupille doit à sa tutrice ; mais enfin..."")",-,0.0
"('#la-comtesse', 'Vous êtes majeure, me dites-vous ?')",-,0.0
"('#angelique', 'Ô !  Je ne vous dis plus rien.')",-,0.0
"('#la-comtesse', ""Que je blâme nos Lois d'avoir placé la majorité si près de l'enfance !"")",-,0.0
"('#angelique', 'Finissons donc, Madame.')",-,0.0
"('#la-comtesse', ""Car enfin, qu'est-ce que c'est encore qu'une fille à vingt-cinq ans ?"")",-,0.0
"('#angelique', 'Encore !')",-,0.0
"('#la-comtesse', ""Oui, la Loi devrait défendre aux filles, de disposer de leur coeur avant l'âge de quarante ans."")",-,0.0
"('#angelique', 'Vous disposerez du vôtre quand il vous plaira.')",-,0.0
"('#la-comtesse', ""Une fille n'est point en âge de raison, que l'âge des désirs ne soit passé."")",-,0.0
"('#angelique', 'Les désirs sont de tout âge, Madame, et vous désirez retarder mon mariage en retardant mes affaires ; voulez-vous les terminer, ou non ?')",-,0.0
"('#la-comtesse', ""Un devoir indispensable m'appelle en Ville, je vais exhorter à la patience une femme qui a épousé un Joueur."")",-,0.0
"('#angelique', ""En l'exhortant à la patience vous l'impatientez beaucoup : j'avoue que je suis à bout, Madame ; et puisque vous ne voulez pas finir, je terminerai, moi, dès ce soir avec le Chevalier."")",-,0.0
"('#la-comtesse', ""Elle extravague, Nérine, je ne puis plus supporter ses égarements ; se peut-il que la figure d'un petit écervelé d'homme cause de si grands désordres dans une âme raisonnable ?"")",-,0.0
"('#angelique', ""Tu vois, Nérine, le procédé de la Comtesse ; heureusement je ne dépends plus d'elle."")",-,0.0
"('#nerine', ""Non, non, vous n'avez plus d'autre tuteur que l'amour, vos affaires sont en bonne main."")",-,0.0
"('#angelique', ""Elle ne saurait m'empêcher..."")",-,0.0
"('#nerine', ""Assurément vous êtes une fille majeure, c'est-à-dire maîtresse de vos caprices, et l'âge de raison vous autorise à faire une folie."")",-,0.0
"('#angelique', ""Je vois les desseins de la Comtesse, et c'est ce qui m'oblige à précipiter mon mariage."")",-,0.0
"('#nerine', ""Le bon mariage !  Quelle paix !  Quelle union !  Car vous ne vous rencontrerez jamais ensemble, et vous serez levée tous les jours avant qu'il revienne se coucher ; avec un homme réglé vous mèneriez une vie unie, ennuyeuse et languissante ; la vie d'un joueur est bien plus diversifiée ; diversité dans l'humeur; vous le verrez enragé, bourru dans l'adversité, brutal et méprisant dans la prospérité : diversité dans votre ménage ; abondance, disette, tantôt en carrosse, tantôt à pied ; quitter le premier appartement pour loger au quatrième étage : diversité dans les emmeublements ; aujourd'hui le velours, demain la serge, et après-demain les quatre murailles : la diversité réjouit les femmes."")",-,0.0
"('#angelique', ""Tais-toi, je ne suis pas en humeur d'écouter tes extravagances."")",-,0.0
"('#nerine', ""Vous êtes encore moins en humeur d'écouter mes raisons."")",-,0.0
"('#angelique', 'Nérine, le Chevalier doit venir ce matin.')",-,0.0
"('#nerine', 'Il ne vous aime que quand il a perdu son argent : au moment que je vous parle il travaille à devenir amoureux.')",-,0.0
"('#angelique', ""Ne raisonne point tant, va voir s'il est levé."")",-,0.0
"('#nerine', ""Pour se lever, il faut s'être couché."")",-,0.0
"('#angelique', 'Que signifient donc tes réponses ambiguës ?')",-,0.0
"('#nerine', ""Si je vous exagérais les charmes de votre amant, cela serait clair ; mais ses défauts sont des énigmes que vous ne voulez point entendre.  On serait bien reçu, par exemple, à vous dire qu'il a passé la nuit au jeu ?"")",-,0.0
"('#angelique', ""Je ne le verrais de ma vie, après les serments qu'il me fit l'autre jour."")",-,0.0
"('#nerine', ""Vous fîtes l'autre jour des serments de ne le plus aimer ; jugez de ses serments par les vôtres, vous l'aimez encore à la rage, et il rejoue de même."")",-,0.0
"('#angelique', ""On te l'a dit ainsi ; mais tout le monde est prévenu contre lui."")",-,0.0
"('#nerine', ""C'est vous qui êtes prévenue contre tout le monde."")",-,0.0
"('#angelique', ""À t'entendre parler, on croirait que j'aurais perdu l'esprit."")",-,0.0
"('#nerine', 'Et à vous voir agir on en serait convaincu, préférer un petit fourbe à Dorante qui a pour vous une amitié sincère, mais une amitié de la bonne espèce !  Car je suis sûre que le dépit seul est cause de son départ.')",-,0.0
"('#angelique', ""Tu t'es trompée, Nérine, je te l'ai déjà dit, Dorante est trop sage pour avoir de l'amour, et trop sincère pour cacher si longtemps une passion ; en tous cas, j'en serais au désespoir, car je l'estime infiniment, et je ne pourrais pas le rendre heureux."")",-,0.0
"('#nerine', 'Et vous aimez mieux être malheureuse avec le Chevalier.')",-,0.0
"('#angelique', ""Oh !  Je suis lasse de t'écouter."")",-,0.0
"('#nerine', ""Que j'achève au moins de vous convaincre, qu'il est encore au jeu."")",-,0.0
"('#nerine', 'Je te prie laisse-moi ; si ce que tu veux persuader est vrai, je ne le saurai que trop tôt.')",-,0.0
"('#nerine', ""Ah !  Dorante, Dorante, vous deviez différer votre départ désespéré jusqu'à ce que votre Rival fût en possession...  mais si je fais ce raisonnement-là, un homme amoureux pourrait l'avoir fait aussi : voyons si par hasard...  par ma foi, je crois que j'ai deviné, c'est Dorante."")",-,0.0
"('#nerine', ""Hé !  Monsieur, que je vous sais bon gré d'être encore ici !"")",-,0.0
"('#dorante', ""J'oubliai hier de prendre congé de la Comtesse."")",-,0.0
"('#nerine', ""J'entends bien ; hé !  Ne l'oubliâtes-vous point exprès pour avoir occasion de dire un second adieu à Angélique ?  La répétition des adieux n'est permise qu'aux amants."")",-,0.0
"('#dorante', 'Dis-moi, la Comtesse y est-elle ?')",-,0.0
"('#nerine', ""Avouez la vérité, vous l'avez vu sortir avant que d'entrer."")",-,0.0
"('#dorante', ""Quoi ?  Elle n'y est pas ?  Adieu donc."")",-,0.0
"('#nerine', 'Ô !  Nous avons besoin de vous.')",-,0.0
"('#dorante', ""Je suis pressé de partir, j'ai trente lieues à faire aujourd'hui."")",-,0.0
"('#nerine', 'Le Chevalier a joué toute la nuit, et ma maîtresse va rompre avec lui.')",-,0.0
"('#dorante', 'Que me dis-tu ?')",-,0.0
"('#nerine', ""Je voulais que vous fussiez témoin de la rupture ; mais vous êtes pressé de partir : partez donc vite, Monsieur, vous avez trente lieues à faire aujourd'hui."")",-,0.0
"('#dorante', ""Tu peux t'imaginer tout ce qu'il te plaira ; mais je te jure qu'un désir sincère de voir Angélique heureuse, fait toute ma manière d'aimer.  Quoi ?  Sous le masque d'ami j'aurais donné des conseils intéressés ?  Non, Nérine, quand on a le coeur droit..."")",-,0.0
"('#nerine', ""Un coeur droit est plus tendre qu'un autre."")",-,0.0
"('#dorante', ""Écoute, Nérine, ne t'avise pas en présence d'Angélique de faire ces mauvaises plaisanteries."")",-,0.0
"('#nerine', ""Je ne plaisante jamais sur l'amour ; malepeste ce n'est pas un jeu, et j'ai pris mon sérieux pour dire à ma maîtresse que vous étiez sérieusement amoureux d'elle."")",-,0.0
"('#dorante', 'Quoi !  Il serait possible que ton extravagance...')",-,0.0
"('#nerine', 'Ça, venez lui confirmer la vôtre.')",-,0.0
"('#dorante', ""Je n'oserai plus paraître devant ses yeux.  Juste Ciel !  Que va-t-elle penser de moi ?"")",-,0.0
"('#nerine', ""Que vous en valez mille fois mieux, d'avoir de l'amour."")",-,0.0
"('#dorante', 'Je suis au désespoir.')",-,0.0
"('#nerine', 'Elle a pris la chose parfaitement bien.')",-,0.0
"('#dorante', 'Que je suis malheureux !')",-,0.0
"('#nerine', 'Allons lui conter votre malheur.')",-,0.0
"('#dorante', 'Non, je ne la verrai de ma vie.')",-,0.0
"('#nerine', ""Hé bien, ne la voyez point ; si vous ne profitez de son dépit, le Chevalier saura bien profiter du retour, et quand le contrat sera signé, il saura bien mieux encore mettre à profit les tendres moments.  Ma Chère, lui dira-t-il, je suis abîmé, vous pouvez me sauver l'honneur et la vie, en signant seulement votre nom.  Ah !  Mon cher, répondra-t-elle, je signerais ma mort : à Dieu ne plaise.  Signez seulement une obligation de vingt mille francs.  Cet argent-là perdu, reproches, brouilleries, raccommodement ; la pauvre victime signera une vente : enfin quand elle aura consommé toute sa dot en raccommodements, le cher fourbe ne se souciera plus de se raccommoder, et voilà le désespoir."")",-,0.0
"('#dorante', 'Ah !  Nérine, tu me perces le coeur.')",-,0.0
"('#nerine', 'Voyez-la donc pour prévenir toutes ces désolations.')",-,0.0
"('#dorante', 'Hélas !  À quoi me vais-je exposer ?')",-,0.0
"('#nerine', ""Ce n'est plus qu'en s'exposant qu'on fait fortune auprès des femmes. Exposez-vous, morbleu, exposez-vous...  Je ne connais plus que cet homme-là qui soit poltron en amour. Le poussant chez Angélique."")",-,0.0
"('#nerine', ""Entends-tu ?  Si Monsieur le Chevalier veut entrer dans notre appartement, qu'on lui dise qu'il n'y a personne.  Grâce au Ciel, Angélique s'accoutume à voir Dorante amoureux ; cela me prouve que la pluralité des amants n'est pas incompatible avec la sagesse de nos femmes."")",-,0.0
"('#frontin', 'Mon maître monte à grands pas, nous allons voir une belle scène de raccommodement.')",-,0.0
"('#nerine', ""Ton maître aura le loisir d'étudier son rôle ; car Angélique est sortie, et ne reviendra que ce soir."")",-,0.0
"('#frontin', 'Tant mieux, tant mieux, nous allons dormir tout le jour.')",-,0.0
"('#le-chevalier', ""Pourquoi m'ôtes-tu mon manteau, bourreau que tu es ?"")",-,0.0
"('#frontin', ""C'est vous qui me le donnez."")",-,0.0
"('#le-chevalier', 'Ne vois-tu pas que je veux ressortir ?')",-,0.0
"('#frontin', 'Le sommeil vous serait plus utile que...')",-,0.0
"('#le-chevalier', ""Remets-moi mon manteau, raisonneur...  Irai-je encore ? Attends donc.  Cette maison-là est maudite pour moi, je n'y gagnerai jamais ; voyons pourtant, donne. Mais on n'y veut plus jouer sur ma parole.  Hé !  Va-t'en au diable avec ton manteau.  Avant-hier je perdis cinq cent louis, douze cent hier, aujourd'hui mille.  Tu le veux ainsi, juste Ciel !  Je te loue. Frontin veut lui mettre son manteau. Le Chevalier se promène à grands pas, et Frontin le suit voulant mettre son manteau sur ses épaules."")",-,0.0
"('#frontin', 'Ces louanges-là ne sont pas sincères.')",-,0.0
"('#le-chevalier', ""Va-t'en voir chez la Marquise si on joue encore."")",-,0.0
"('#frontin', ""Il est neuf heures, Monsieur, et toutes les femmes réglées sortent du Lansquenet dès cinq heures du matin, pour s'aller coucher de bonne heure."")",-,0.0
"('#le-chevalier', 'Je suis pourtant bien piqué ; ha Frontin !')",-,0.0
"('#frontin', 'Ce soupir signifie que votre bourse est à sec.')",-,0.0
"('#le-chevalier', ""J'ai tout perdu, Frontin."")",-,0.0
"('#frontin', 'Quoi ?  Il ne vous reste pas la moindre pistole ?')",-,0.0
"('#le-chevalier', 'Pas un sol.')",-,0.0
"('#frontin', ""Vous allez donc être bien tendre ; car la tendresse vous vient à mesure que l'argent s'en va."")",-,0.0
"('#le-chevalier', ""Sais-tu si Angélique est levée ?  Pourquoi n'ai-je point de ses nouvelles ?"")",-,0.0
"('#frontin', ""Hé !  C'est parce qu'on lui aura dit des vôtres ; elle est sortie."")",-,0.0
"('#le-chevalier', ""Quoi sans m'attendre ?  Elle est donc fâchée ?  Dans le fond, je n'ai pas grand tort, je lui ai promis de ne plus jouer quand je serai marié ; mais je ne le suis pas encore."")",-,0.0
"('#frontin', ""Vous ne voulez point quitter le jeu que vous ne soyez marié ?  Angélique ne veut point vous épouser que vous n'ayez quitté le jeu : voilà un mariage fort avancé."")",-,0.0
"('#le-chevalier', ""Dis-moi...  Ai-je de l'argent ?"")",-,0.0
"('#frontin', 'Non pas, que je sache.')",-,0.0
"('#le-chevalier', 'Je te demande si tu as fait quelque affaire ?')",-,0.0
"('#frontin', ""J'avais fait un tarif d'emprunt, où je taxais, comme amis, jusqu'aux connaissances de vue ; mais il y a longtemps qu'ils ont tous fourni ou refusé leur somme."")",-,0.0
"('#le-chevalier', 'Et la Comtesse ?')",-,0.0
"('#frontin', ""Elle craint qu'en vous prêtant sans emploi, sa conscience n'y soit engagée ; elle vous prêterait pour payer vos créanciers."")",-,0.0
"('#le-chevalier', ""De l'argent pour payer mes créanciers, j'aimerais autant rien."")",-,0.0
"('#frontin', ""J'ai imaginé des dettes d'une espèce libertine, afin que n'osant les payer elle-même..."")",-,0.0
"('#le-chevalier', 'Elle est ici ?')",-,0.0
"('#frontin', 'Non, Monsieur, mais elle va rentrer ; attendez-la au passage, votre présence dissipera ses scrupules.')",-,0.0
"('#le-chevalier', ""Un fauteuil...  Je suis abîmé ; j'en ai l'obligation à un homme, un homme, Frontin, un seul homme qui me suit partout."")",-,0.0
"('#frontin', 'Est-ce un de ces joueurs prudents qui ne donnent rien au hasard ?')",-,0.0
"('#le-chevalier', ""Non, je n'ai jamais joué contre lui."")",-,0.0
"('#frontin', 'Hé !  Comment donc vous a-t-il abîmé.')",-,0.0
"('#le-chevalier', ""Il a la rage de me porter malheur en s'appuyant sur le dos de ma chaise.  C'est un écumeur de réjouissances, qui a la face longue d'une toise ; dès que je le vois ma carte est prise."")",-,0.0
"('#frontin', ""Les Lansquenets sont pleins de ces visages climatériques, dont l'aspect change l'ordre des cartes ; rien n'est plus certain."")",-,0.0
"('#le-chevalier', 'Je voudrais ne me point abandonner à mes réflexions ; va me chercher un Livre.')",-,0.0
"('#frontin', ""Si vous voulez lire un petit Ouvrage d'esprit... Qui court les rues, c'est sur la pauvreté ; je suis curieux de voir tout ce qui s'écrit sur la pauvreté ; car il me revient sans cesse dans l'idée, que nous mourrons tous deux sur un fumier. Trois coupe-gorge de suite. Le Chevalier prend le papier. Le Chevalier regardant fixement le papier sans le lire."")",-,0.0
"('#frontin', ""Il n'y a point de coupe-gorge là dedans."")",-,0.0
"('#le-chevalier', ""Je ne saurais m'appliquer ; lis."")",-,0.0
"('#frontin', ""De mille soins fâcheux la richesse est suivie ;  Mais le philosophe indigent  N'a qu'un seul soin dans la vie,  C'est de chercher de l'argent. Tel Héros, que l'on vante tant,  Mourut sans en avoir envie :  Mais un brave Joueur perd volontiers la vie,  Quand il a perdu son argent. ... Diogène parlant du mépris des richesses, disait : AUTRE sur le mépris de la mort. Mais, Monsieur, au lieu de m'écouter vous méditez sur le portrait de votre maîtresse ; auriez-vous quelque remords d'avoir gardé si longtemps ce portrait, malgré tous les diamants qui l'environnent ?"")",-,0.0
"('#le-chevalier', ""La Comtesse tarde trop, je n'ai pas le loisir d'être si longtemps sans argent ; je perds peut-être le moment de bonheur.  Frontin, il y a longtemps que je suis curieux de savoir ce que peuvent valoir ces diamants-là, va-t'en chez l'Orfèvre, et ..."")",-,0.0
"('#frontin', ""J'entends monter...  C'est la Comtesse, commencez votre rôle ordinaire ; paraissez accablé, outré, hébété par le chagrin ; surtout, écoutez patiemment la mercuriale, songez que l'argent est au bout."")",-,0.0
"('#frontin', 'Hé !  Madame, venez consoler mon maître, il est dans un accablement.')",-,0.0
"('#la-comtesse', ""La passion du jeu est un abîme de désolation, tout se perd dans ce gouffre, le temps, l'esprit, la joie, la santé."")",-,0.0
"('#frontin', ""Vous oubliez l'argent, c'est ce qui va au fond du gouffre.  Je sais cela parce que mes gages y sont."")",-,0.0
"('#le-chevalier', 'Ah !...')",-,0.0
"('#la-comtesse', 'Chevalier, êtes-vous fâché que...')",-,0.0
"('#le-chevalier', 'Non, madame, vous avez trop de bonté de vouloir bien...')",-,0.0
"('#frontin', ""Nous aimons vos remontrances pour le bon effet qu'elles produisent."")",-,0.0
"('#la-comtesse', 'Ne peut-on pas adoucir votre affliction ?')",-,0.0
"('#le-chevalier', ""Je dois vous la cacher, ce n'est rien."")",-,0.0
"('#frontin', ""C'est Angélique qui cause tous nos maux, nous voudrions bien nous en dépêtrer."")",-,0.0
"('#la-comtesse', 'Ouvrez-moi votre coeur, parlez.')",-,0.0
"('#le-chevalier', ""Non, Madame, mes chagrins, sont d'une nature..."")",-,0.0
"('#la-comtesse', 'Vous êtes discret, et je ne suis point curieuse.')",-,0.0
"('#frontin', ""Nous sommes fâchés d'être contraints à précipiter son mariage pour payer des dettes pressantes."")",-,0.0
"('#le-chevalier', 'Je vous prie de vous taire, Frontin.')",-,0.0
"('#frontin', ""Dois-je me taire, Madame, parce qu'il a du coeur, et qu'il crèverait plutôt que de vous découvrir ses besoins."")",-,0.0
"('#le-chevalier', 'Encore un coup, je vous commande de vous taire.')",-,0.0
"('#frontin', 'Je me tairai, Madame, de peur de chagriner mon maître, je me contenterai de vous faire voir un mémoire instructif.')",-,0.0
"('#le-chevalier', ""C'en est trop, donnez-moi tout à l'heure ce mémoire que je le déchire en présence de Madame."")",-,0.0
"('#frontin', 'Je le veux voir absolument.')",-,0.0
"('#le-chevalier', 'Vous ne le verrez point, Madame, je connais votre coeur.')",-,0.0
"('#frontin', 'Nous craignons votre générosité.')",-,0.0
"('#le-chevalier', 'Écoutez, Frontin, si vous parlez seulement du mémoire, je vous chasserai comme un coquin.  Pardon, Madame, je suis au désespoir que vous vous soyez aperçue du sujet de mes chagrins, je me retire pour vous le cacher.')",-,0.0
"('#frontin', ""Voilà l'humeur de mon maître, il ne sait ce que c'est que d'emprunter ; cependant il a des créanciers qui le persécutent ; cela l'obligerait, comme je vous ai dit, à précipiter son mariage avec Angélique, dont il n'est presque plus amoureux ; il ne l'a jamais aimée que superficiellement.  Entre nous, Madame, toute la solidité du coeur de ce jeune homme-là est pour vous, il le dit bien dans ses moments de prudence : je devrais, dit-il, me laisser entraîner au penchant vertueux que je me sens pour Madame_la_Comtesse."")",-,0.0
"('#la-comtesse', ""Quoi !  Il t'a parlé en ces termes !"")",-,0.0
"('#frontin', ""Tout au moins, madame, tout au moins ; oui, je crois qu'il reviendrait de son premier entêtement s'il avait le temps de se reconnaître ; or afin qu'il ait le temps de se reconnaître, mon avis serait que vous lui fissiez tenir adroitement l'argent nécessaire pour se reconnaître."")",-,0.0
"('#la-comtesse', ""Je t'ai déjà dit que je payerais moi-même."")",-,0.0
"('#frontin', ""Vous-même ; fi, ces dettes-là sont d'une espèce libertine, des dettes de garçons, une femme régulière ne doit point entrer dans un détail si déréglé."")",-,0.0
"('#la-comtesse', 'Voyons le mémoire.')",-,0.0
"('#frontin', ""Lisons.  Mémoire déréglé des dettes envenimées de Monsieur le Chevalier.  Premièrement.  À Monsieur Frontin, Moi...  C'est moi.  Pour gages, profits et deniers prêtés à mon Maître dans ses mauvais jours.  500 livres.  Pour cet article-ci vous auriez raison de le payer par vos mains, de vous à moi sans détour ; aussi ma quittance est toute prête."")",-,0.0
"('#la-comtesse', 'Nous verrons.')",-,0.0
"('#frontin', ""Plus, quatre-vingt Louis d'or neufs pour une partie de paume ébauchée : vous ne sauriez l'achever vous-même, Madame ; il faut qu'il mette argent sous corde, mais il vous rendra cela sous la Galerie ; je lui sers de second, nous avons quatre jeux à un, quarante-cinq à rien, une chasse au pied, et notre bisque à prendre ; vous gagnerez à coup sûr.  Plus, 200 livres à quatre-vingt treize Quidams pour nous avoir coiffé, chauffé, ganté, parfumé, rasé, médicamenté, voituré, porté, alimenté, désaltéré, etc.  Une Dame prudente ne doit point paraître dans des payements qui concernent l'entretien d'un joli homme.  Plus 600 livres pour des ratafias, eaux-de-vie, pitrepite, et autres liqueurs soldatesques que vous n'oseriez payer de peur d'être soupçonnée d'avoir aidé à la consommation d'icelles.  Il y a encore un article ; parole donnée pour cent pistoles d'honneur à mademoiselle Mimi, Lingère du Palais : vous verrez que c'est pour ses appointements ; mais vous devez ignorer, et payer la pauvre fille incognito par mon ministère si vous voulez."")",-,0.0
"('#la-comtesse', ""Frontin, votre mémoire ridicule se monte à cinq ou six mille livres ; vous ne m'aviez parlé que de deux mille."")",-,0.0
