,campistron-achille,corneillep-andromede,Cost,Operation Type
18,"('#melpomene #thalie #terpsicore', ""Que nos jeux vont avoir de charmes ! Tous nos chants vont inciter l'Amour. Venez tous, rendez-lui les armes,  Il est doux dans cet heureux séjour. Que nos jeux vont avoir de charmes ! Tous nos chants vont inspirer l'Amour. Ce n'est plus le temps des alarmes,  Les Plaisirs sont enfin de retour. Que nos jeux vont avoir de charmes ! Tous nos chants vont inspirer l'Amour."")","('#cephee', ""N'en parlons plus, Phinée, Et laissons d'Andromède aller la destinée. Votre amour fait pour elle un inutile effort : Je la dois comme une autre au triste choix du sort. Elle est cause du mal, puisqu'elle l'est du crime : Peut-être qu'il la veut pour dernière victime, Et que nos châtiments deviendraient éternels, S'ils ne pouvaient tomber sur les vrais criminels."")",1.27,Substitution
19,,"('#phinee', ""Est-ce un crime en ces lieux, seigneur, que d'être belle ?"")",1.0,Deletion
20,,"('#cephee', 'Elle a rendu par là sa mère criminelle.')",1.0,Deletion
21,,"('#phinee', ""C'est donc un crime ici que d'avoir de bons yeux Qui sachent bien juger d'un tel présent des cieux ?"")",1.0,Deletion
22,,"('#cephee', ""Qui veut en bien juger n'a point le privilège D'aller jusqu'au blasphème et jusqu'au sacrilège."")",1.0,Deletion
23,,"('#cassiope', ""Ce blasphème, seigneur, de quoi vous m'accusez..."")",1.0,Deletion
24,"('#mercure', 'Jupiter va paraître,  Redoublez vos efforts pour plaire à votre Maître.')","('#cephee', ""Madame, après les maux que vous avez causés, C'est à vous à pleurer, et non à vous défendre. Voyez, voyez quel sang vous avez fait répandre ; Et ne laissez paraître en cette occasion Que larmes, que soupirs, et que confusion. Je vous le dis encore, elle la crut trop belle ; Et peut-être le sort l'en veut punir en elle : Dérober Andromède à cette élection, C'est dérober sa mère à sa punition."")",1.2,Substitution
25,,"('#phinee', ""Déjà cinq fois, seigneur, à ce choix exposée, Vous voyez que cinq fois le sort l'a refusée."")",1.0,Deletion
26,,"('#cephee', ""Si le courroux du ciel n'en veut point à ses jours, Ce qu'il a fait cinq fois il le fera toujours."")",1.0,Deletion
27,"('#le-choeur', 'Jupiter va paraître. Redoublons nos efforts pour plaire à notre Maître. Dans ce moment Jupiter paraît dans son char.')","('#phinee', ""Le tenter si souvent, c'est lasser sa clémence : Il pourra vous punir de trop de confiance : Vouloir toujours faveur, c'est trop lui demander, Et c'est un crime enfin que de tant hasarder. Mais quoi ? N'est-il, seigneur, ni bonté paternelle, Ni tendresse du sang qui vous parle pour elle ?"")",1.52,Substitution
28,"('#jupiter', ""Il ne manque aux apprêts de la fête nouvelle, Que Mercure a fait préparé, Que le choix du Héros qu'on y doit célébrer, Le soin de le choisir auprès de vous m'appelle. Renouvelez dans vos jeux Le souvenir de l'invincible Achille, Et rappelez dans une Cour tranquille,  L'Histoire et les combats de ce guerrier fameux."")","('#cephee', ""Ah ! Ne m'arrachez point mon sentiment secret. Phinée, il est tout vrai, je l'expose à regret. J'aime que votre amour en sa faveur me presse ; La nature en mon coeur avec lui s'intéresse ; Mais elle ne saurait mettre d'accord en moi Les tendresses d'un père et les devoirs d'un roi ; Et par une justice à moi-même sévère, Je vous refuse en roi ce que je veux en père."")",0.58,Substitution
29,"('#melpomene #thalie #terpsicore', ""Renouvelons dans vos jeux, Le souvenir de l'invincible Achille, Et rappelons dans une Cour tranquille. L'Histoires et les combats de ce guerrier fameux."")","('#phinee', ""Quelle est cette justice, et quelles sont ces lois Dont l'aveugle rigueur s'étend jusques aux rois ?"")",1.13,Substitution
30,"('#jupiter', ""Consacrez tous vos jeux au plus grand Roi du monde, Formez sur lui tous les Portraits De vos Héros les plus parfaits, Sa valeur, sa bonté, sa sagesse profonde, Vous prêteront d'inimitables traits."")","('#cephee', ""Celles que font les dieux, qui, tous rois que nous sommes, Punissent nos forfaits ainsi que ceux des hommes, Et qui ne nous font part de leur sacré pouvoir Que pour le mesurer aux règles du devoir. Que diraient mes sujets si je me faisais grâce, Et si, durant qu'au monstre on expose leur race, Ils voyaient, par un droit tyrannique et honteux, Le crime en ma maison, et la peine sur eux ?"")",0.63,Substitution
31,,"('#phinee', 'Heureux sont les sujets, heureuses les provinces Dont le sang peut payer pour celui de leurs princes !')",1.0,Deletion
32,"('#le-choeur', ""Consacrons tous nos jeux au plus grand Roi du monde Sa valeur, sa bonté, sa sagesse profonde Nous prêterons d'inimitables traits, Consacrons tous nos jeux au plus grand Roi du monde."")","('#cephee', ""Mais heureux est le prince, heureux sont ses projets, Quand il se fait justice ainsi qu'à ses sujets ! Notre oracle, après tout, n'excepte point ma fille : Ses termes généraux comprennent ma famille ; Et ne confondre pas ce qu'il a confondu, C'est se mettre au-dessus du dieu qui l'a rendu."")",0.89,Substitution
33,"('#patrocle', ""Non, je ne saurais plus me taire, Je vous dois un conseil sincère. Ne rougissez-vous point d'un indigne repos ? Quand les Grecs agités de mortelles alarmes, Implorent à genoux le secours de vos armes, Contre Hector, après vous, le plus grand des Héros. Tantôt ce guerrier terrible, Des Grecs épouvantés, embrase les vaisseaux ; Tantôt son bras invincible,  Fait rougir de leur sang et la terre et les eaux, Il court de victoire en victoire, Chaque jour, le bruit de la gloire,  Va remplir l'univers et vole jusqu'à vous, Des honneurs qu'il obtient, n'êtes vous point jaloux ?"")","('#persee', ""Seigneur, s'il m'est permis d'entendre votre oracle, Je crois qu'à sa prière il donne peu d'obstacle ; Il parle d'Andromède, il la nomme, il suffit, Arrêtez-vous pour elle à ce qu'il vous en dit : La séparer longtemps d'un amant si fidèle, C'est tout le châtiment qu'il semble vouloir d'elle. Différez son hymen sans l'exposer au choix. Le ciel assez souvent, doux aux crimes des rois, Quand il leur a montré quelque légère haine, Répand sur leurs sujets le reste de leur peine."")",0.0,Match
34,,"('#cephee', ""Vous prenez mal l'oracle ; et pour l'expliquer mieux, Sachez... Mais quel éclat vient de frapper mes yeux ? D'où partent ces longs traits de nouvelles lumières ?"")",1.0,Deletion
35,,"('#persee', ""Du ciel qui vient d'ouvrir ses luisantes barrières, D'où quelque déité vient, ce semble, ici-bas Terminer elle-même entre vous ces débats."")",1.0,Deletion
36,,"('#cassiope', ""Ah ! Je la reconnais, la déesse d'Éryce ; C'est elle, c'est Vénus, à mes voeux si propice : Je vois dans ses regards mon bonheur renaissant. Peuple, faites des voeux, tandis qu'elle descend."")",1.0,Deletion
37,"('#achille', ""Je vois avec plaisir les pertes de la Grèce,  La valeur d'Hector m'a vengé,  Le fier Agamemnon connaîtra sa faiblesse,  Et se repentira de m'avoir outragé."")","('#le-choeur', ""Reine de Paphe et d'Amathonte, Mère d'amour, et fille de la mer, Peux-tu voir sans un peu de honte Que contre nous elle ait voulu s'armer, Et que du même sein qui fut ton origine Sorte notre ruine ? Peux-tu voir que de la même onde Il ose naître un tel monstre après toi ? Que d'où vint tant de bien au monde Il vienne enfin tant de mal et d'effroi, Et que l'heureux berceau de ta beauté suprême Enfante l'horreur même ? Venge l'honneur de ta naissance Qu'on a souillé par un tel attentat ; Rends-lui sa première innocence, Et tu rendras le calme à tout l'état ; Et nous dirons enfin que d'où le mal procède Part aussi le remède."")",0.7,Substitution
38,,"('#cassiope', ""Peuple, elle veut parler : silence à la déesse ; Silence, et préparez vos coeurs à l'allégresse. Elle a reçu nos voeux, et les daigne exaucer ; écoutez-en l'effet qu'elle va prononcer."")",1.0,Deletion
39,"('#patrocle', ""De quoi sert à ce Roi coupable D'avoir osé vous ravir Briséis ? Son attentat reçoit un digne prix,  Et pour lui Briséis paraît inexorable, Quand un rival puissant vient troubler nos amours, Si l'objet de nos voeux lui résiste toujours, Est-il de plus douce vengeance Que de voir ce rival aimer sans espérance ?"")","('#venus', ""Ne tremblez plus, mortels ; ne tremble plus, ô mère ! On va jeter le sort pour la dernière fois, Et le ciel ne veut plus qu'un choix Pour apaiser de tout point sa colère. Andromède ce soir aura l'illustre époux Qui seul est digne d'elle, et dont seule elle est digne. Préparez son hymen, où, pour faveur insigne, Les dieux ont résolu de se joindre avec vous."")",0.34,Substitution
40,,"('#phinee', ""Souffrez que sans tarder je porte à ma Princesse, Seigneur, l'heureux arrêt qu'a donné la déesse."")",1.0,Deletion
41,,"('#cephee', ""Allez, l'impatience est trop juste aux amants."")",1.0,Deletion
42,,"('#cassiope', ""Suivons-la dans le ciel par nos remerciements ; Et d'une voix commune adorant sa puissance, Montrons à ses faveurs notre reconnaissance."")",1.0,Deletion
43,"('#achille', ""Connais mieux les raisons de mon juste courroux, Ce n'est point seulement par un dépit jaloux, Que je refuse aux Grecs un secours nécessaire, Ils ont marqué trop de mépris pour moi,  Ils m'ont laissé subir la violente loi  De leur chef téméraire. Non, jamais leurs malheurs ne sauraient m'émouvoir. Leurs vaisseaux embrasés, leurs troupes fugitives ; Leur camp détruit, tout leurs Rois sans pouvoir, Leurs corps épars sur ces sanglantes rives Szraient encor des objets impuissants,  Pour surprendre un moment la fureur que je sens."")","('#le-choeur', ""Ainsi toujours sur tes autels Tous les mortels Offrent leurs coeurs en sacrifice ! Ainsi le Zéphyre en tout temps Sur tes palais de Cythère et d'Éryce Fasse régner les grâces du printemps ! Daigne affermir l'heureuse paix Qu'à nos souhaits Vient de promettre ton oracle ; Et fais pour ces jeunes amants, Pour qui tu viens de faire ce miracle, Un siècle entier de doux ravissements. Dans nos campagnes et nos bois Toutes nos voix Béniront tes douces atteintes ; Et dans les rochers d'alentour, La même écho qui redisait nos plaintes Ne redira que des soupirs d'amour."")",0.39,Substitution
44,"('#patrocle', ""Eh bien ! D'un oeil content regardez nos alarmés, Mais quand vous nous méritez tous,  Du moins accordez-moi ces armes Que Vulcain prépara pour vous ; J'irai combattre Hector, et me combler de gloire,  Je remporterai la victoire,  Ou j'expirerai sous ces coups."")","('#cephee', ""C'est assez... La déesse est déjà disparue ; Ses dernières clartés se perdent dans la nue ; Allons jeter le sort pour la dernière fois. Malheureux le dernier que foudroiera son choix, Et dont en ce grand jour la perte domestique Souillera de ses pleurs l'allégresse publique ! Madame, cependant, songez à préparer Cet hymen que les dieux veulent tant honorer : Rendez-en l'appareil digne de ma puissance, Et digne, s'il se peut, d'une telle présence."")",0.0,Match
45,,"('#cassiope', ""J'obéis avec joie, et c'est me commander Ce qu'avec passion j'allais vous demander."")",1.0,Deletion
46,,"('#cassiope', ""Eh bien ! Vous le voyez, ce n'était pas un crime, Et les dieux ont trouvé cet hymen légitime, Puisque leur ordre exprès nous le fait achever, Et que par leur présence ils doivent l'approuver. Mais quoi ? Vous soupirez ?"")",1.0,Deletion
47,,"('#persee', ""J'en ai bien lieu, madame."")",1.0,Deletion
48,,"('#cassiope', 'Le sujet ?')",1.0,Deletion
49,,"('#persee', 'Votre joie.')",1.0,Deletion
50,,"('#cassiope', ""Elle vous gêne l'âme ?"")",1.0,Deletion
51,"('#achille', ""Qu'oses-tu proposer, Dieux ! Que viens-je d'entendre ? Je commence à trembler pour la première fois. Quand je songe au combat que tu veux entreprendre."")","('#persee', ""Après ce que j'ai dit, douter d'un si beau feu, Reine, c'est ou m'entendre ou me croire bien peu. Mais ne me forcez pas du moins à vous le dire, Quand mon âme en frémit et mon coeur en soupire. Pouvais-je avoir des yeux et ne pas l'adorer ? Et pourrais-je la perdre et n'en pas soupirer ?"")",0.74,Substitution
52,"('#patrocle', ""Au nom d'une amitié qui fut toujours si tendre, Permettez-moi d'imiter vos exploits.  Je connais les périls où mon dessein m'engage, Tout semble m'annoncer les fers ou le trépas ;  Mais si j'en crois mon courage, Ce superbe ennemi ne triomphera pas."")","('#cassiope', ""Quel espoir formiez-vous, puisqu'elle était promise, Et qu'en vain son bonheur domptait votre franchise ?"")",0.4,Substitution
53,"('#achille', ""D'une vaine terreur je n'ai plus l'âme atteinte, Va combattre ; le Ciel prendra soin de ton sort, Puisque ton coeur est sans crainte,  Ton bras ne sera que trop fort."")","('#persee', 'Vouloir que la raison règne sur un amant, C\'est être plus que lui dedans l\'aveuglement. Un coeur digne d\'aimer court à l\'objet aimable, Sans penser au succès dont sa flamme est capable ; Il s\'abandonne entier, et n\'examine rien : Aimer est tout son but, aimer est tout son bien ; Il n\'est difficulté ni péril qui l\'étonne. "" ce qui n\'est point à moi n\'est encore à personne, Disais-je ; et ce rival qui possède sa foi, S\'il espère un peu plus, n\'obtient pas plus que moi. "" Voilà durant vos maux de quoi vivait ma flamme, Et les douces erreurs dont je flattais mon âme. Pour nourrir des désirs d\'un beau feu trop contents, C\'était assez d\'espoir que d\'espérer au temps ; Lui qui fait chaque jour tant de métamorphoses, Pouvait en ma faveur faire beaucoup de choses. Mais enfin la déesse a prononcé ma mort, Et je suis ce dernier sur qui tombe le sort. J\'étais indigne d\'elle et de son hyménée, Et toutefois, hélas ! Je valais bien Phinée.')",0.3,Substitution
54,"('#patrocle', ""Je cours assurer ma mémoire, J'ai tous les sentiments et les soins des Héros, Non, les jours les plus doux passés dans le repos  Ne valent pas un jour marqué part la victoire."")","('#cassiope', ""Vous plaindre en cet état, c'est tout ce que je puis."")",1.59,Substitution
55,"('#achille', ""Patrocle va combattre ? Et j'ai pu consentir Qu'il courût aux dangers qui menacent sa vie ? Ah ! Je devais l'empêcher de partir,  Hélas de quels regrets sa mort serait suivie ? Si le sort irrité pour accabler mon coeur Le faisait expirer sous le fer d'un vainqueur. Prévenez justes Dieux, mon désespoir funeste !  Cet ami généreux, est le seul qui me reste,  Conservez ses jours par pitié ! On m'a privé de l'objet que j'adore,  Ce serait trop d'horreur de me priver encore  De l'objet de mon amitié."")","('#persee', ""Vous vous plaindrez peut-être apprenant qui je suis. Vous ne vous trompiez point touchant mon origine, Lorsque vous la jugiez ou royale ou divine : Mon père est... Mais pourquoi contre vous l'animer ? Puisqu'il nous faut mourir, mourons sans le nommer ; Il vengerait ma mort, si j'avais fait connaître De quel illustre sang j'ai la gloire de naître ; Et votre grand bonheur serait mal assuré, Si vous m'aviez connu sans m'avoir préféré C'est trop perdre de temps, courons à votre joie, Courons à ce bonheur que le ciel vous envoie ; J'en veux être témoin, afin que mon tourment Puisse par ce poison finir plus promptement."")",0.0,Match
56,"('#diomede', ""Ne répondrez-vous point aux désirs de la Grèce ? Il faut qu'en sa faveur votre colère cesse,  Elle ne peut sans vous triompher des Troyens ;  En vain nous assiégeons leur Ville,  Nos Dieux sont moins forts que les siens. Sa prise est réservée à la valeur d'Achille,"")","('#cassiope', ""Le temps vous fera voir pour souverain remède Le peu que vous perdez en perdant Andromède ; Et les dieux, dont pour nous vous voyez la bonté, Vous rendront bientôt plus qu'ils ne vous ont ôté."")",0.24,Substitution
