corneillet-inconnu,dancourt-inconnu,Score
"('#le-genie', ""Achevez, et formez pour Spectacles nouveaux,  Et des Buissons et des Berceaux.  Les arbres qui ont paru sur la montagne, s'en séparent, et forment successivement des buissons, des allées et des berceaux. "")",-,0.0
"('#le-genie', 'Et bien, Muse, es-tu satisfaite. ')",-,0.0
"('#thalie', ""J'admire, et me tais. "")",-,0.0
"('#le-genie', ""Après ce que tu vois,  Des Fêtes dont l'Amour me doit laisser le choix,  Puisque j'en prends le soin, ne sois plus inquiète. "")",-,0.0
"('#nymphe #berger', ""Ah, qu'il est doux de s'unir à l'Amour !  Avec l'Amour on peut tout faire.  La Beauté la plus sévère  A beau fuir ce qui peut l'enflammer à son tour.  Cherchez toujours à lui plaire,  Vous trouverez un nouveau jour.  Ah, qu'il est doux de s'unir à l'Amour !  Avec l'Amour on peut tout faire. "")",-,0.0
"('#le-genie', ""Allons c'est trop tarder suis moi. "")",-,0.0
"('#thalie', ""Pour l'Inconnu j'attends beaucoup de toi. "")",-,0.0
"('#le-genie', ""L'entreprise est un peu hardie ;  Mais je n'ai rien promis dont je ne vienne à bout. "")",-,0.0
"('#thalie', ""Je le crois, ce n'est pas d'aujourd'hui qu'on publie  Que les Français ont un Génie  Qui les rend capables de tout.  Ils passent en s'en retournant par-dessous une allée qui occupe le milieu du théâtre, et qui en tient toute la longueur ; et lorsqu'ils sont tout à fait retirés, cette grande allée forme trois petits monts, qui se changent en un instant en plusieurs arbres. Ces arbres se retirent un moment après, et les violons jouent une ouverture. "")",-,0.0
"('#le-marquis', 'Entrer dans ce Château ! ')",-,0.0
"('#la-montagne', 'Le grand péril ! ')",-,0.0
"('#le-marquis', ""Je tremble  Que quelqu'un ne t'observe, et ne nous voie ensemble. "")",-,0.0
"('#la-montagne', ""Et quand on me verrait ? Monsieur, j'ai de l'esprit,  C'est vous qui m'employez ; je conduis tout, suffit.  Ne craignez rien. "")",-,0.0
"('#le-marquis', 'On peut remarquer ton visage. ')",-,0.0
"('#la-montagne', ""Et n'en changerai-je pas à chaque personnage ?  Quand je suis déguisé, je le donne au plus fin,  Si me voulant connaître, il n'y perd son latin.  Ne vous inquiétez pour aucun de mes rôles.  Je les jouerai d'un air... Mais trêve de paroles.  Vous avez par l'effet déjà vu ce que vaut... "")",-,0.0
"('#le-marquis', ""N'as-tu rien oublié de tout ce qu'il nous faut ? "")",-,0.0
"('#la-montagne', ""Quand je vous fais en tout paraître un zèle extrême,  Douter de moi qui suis la vigilance même,  Et qui toujours sur pied pour servir votre amour,  Depuis un mois et plus ne dors ni nuit ni jour ?  Au moins si par hasard mon cerveau se démonte,  Ce sera, s'il vous plaît, Monsieur, sur votre compte.  À force de veiller... "")",-,0.0
"('#le-marquis', ""Va, j'en réponds. "")",-,0.0
"('#la-montagne', ""Ma foi,  Je suis sûr qu'un jaloux dormirait plus que moi.  Avoir tout à la fois tant de choses à faire,  C'est assez pour... Allez, quoique prompt à vous plaire,  Pour bien songer à tout, bien vous prend qu'au besoin  Ma mémoire ait fourni de quoi nous mener loin.  Il ne manque plus rien à l'ordre de la Fête ;  Et de l'air dont chacun sur mes Leçons s'apprête,  Ce que j'ai préparé de Divertissements,  Aura tout ce qu'on peut souhaiter d'agréments.  Ainsi la belle Veuve à qui vous voulez plaire,  Ignorant d'où lui vient ce qu'elle verra faire,  Vous croira tout au moins demi Sorcier. Pour moi,  Je mets le Diable au pis, s'il brigue mon emploi.  C'est de quoi l'exercer, quelque adroit qu'il puisse être. "")",-,0.0
"('#le-marquis', ""Mais tout cela n'est rien, si l'on me fait connaître.  Prends bien garde au secret. "")",-,0.0
"('#la-montagne', 'Il vous est sûr. ')",-,0.0
"('#le-marquis', 'Comment ? ')",-,0.0
"('#la-montagne', ""La plupart de mes gens ne parlent qu'Allemand.  Comme j'entends la Langue assez pour les instruire,  J'ai voulu les choisir incapables de nuire.  D'ailleurs, que craindre d'eux, puisqu'ils ignorent tous  Que vous êtes mon Maître, et que j'agis pour vous ?  Je les paye, et c'est là tout ce qui leur importe. "")",-,0.0
"('#le-marquis', ""C'en est assez. Va-t-en, avant que quelqu'un sorte. "")",-,0.0
"('#la-montagne', ""Vous croyez donc qu'ici je sois venu pour rien ?  Il me faut... "")",-,0.0
"('#le-marquis', 'Quoi ? Dis vite. ')",-,0.0
"('#la-montagne', ""Attendez, c'est..."")",-,0.0
"('#le-marquis', 'Et bien ? ')",-,0.0
"('#la-montagne', ""Vous m'avez fait songer à ce que je prépare,  Et souvent en courant ma mémoire s'égare. "")",-,0.0
"('#le-marquis', 'Veux-tu que... ')",-,0.0
"('#la-montagne', 'Laissez-la, Monsieur, se retrouver.  En rêvant... ')",-,0.0
"('#le-marquis', ""Est-ce ici, Bourreau, qu'il faut rêver ? "")",-,0.0
"('#la-montagne', ""La montre qu'il faudra... Non, je l'ai. "")",-,0.0
"('#le-marquis', 'Va-t-en, traître,  Tu me perdras. ')",-,0.0
"('#la-montagne', 'Et bien, Serviteur ; mais peut-être  Quelque chose manquant, vous en aurez regret. ')",-,0.0
"('#le-marquis', 'Non, sors. ')",-,0.0
"('#la-montagne', 'Ah, je le tiens. Monsieur, votre portrait. ')",-,0.0
"('#le-marquis', ""Prends et t'éloigne. Quoi, tu reviens ? "")",-,0.0
"('#la-montagne', ""Autre affaire.  J'oubliais de l'argent, c'est le plus nécessaire. "")",-,0.0
"('#le-marquis', 'Voilà ma Bourse. ')",-,0.0
"('#la-montagne', 'Mais... ')",-,0.0
"('#le-marquis', 'Redoute mon courroux.  Veux-tu sortir ? ')",-,0.0
"('#la-montagne', ""Je sors. Combien me donnez-vous ?  J'ai besoin tout au moins... "")",-,0.0
"('#le-marquis', ""Quelqu'un ici s'avance. "")",-,0.0
"('#la-montagne', ""Bon, c'est Virgine, elle est de notre intelligence. "")",-,0.0
"('#le-marquis', ""Laisse-moi lui parler, et songe qu'il est temps  Qu'à faire ce qu'il faut tu prépares tes Gens. "")",-,0.0
"('#le-marquis', ""Et bien, Comment la nuit s'est-elle ici passée ?  Que fait-on ? "")",-,0.0
"('#virgine', ""Ma maîtresse est fort embarrassée,  Et ce que l'Inconnu fait pour la régaler,  Lui donne à tous moments matière de parler.  Olimpe aussi bien qu'elle admire son adresse.  Sa manière engageante, et toutes deux sans cesse  Font rouler l'entretien sur les soins d'un Amant  Qui, sans se découvrir, aime si fortement. "")",-,0.0
"('#le-marquis', ""Si toujours le succès répond à l'entreprise,  La suite aura de quoi mériter leur surprise. "")",-,0.0
"('#virgine', ""Ce qui m'en cause à moi, dont je ne reviens pas,  C'est de vous voir tranquille, et si peu d'embarras,  Que quelque Fête ici tous les jours qui se donne,  On en cherche l'Auteur, sans que l'on vous soupçonne. "")",-,0.0
"('#le-marquis', ""Par où me soupçonner ? J'en ai peu de souci.  Je loge dans le Bourg à quatre pas d'ici.  Tous mes Gens, hors un seul qui sait ce qu'il faut taire,  Passent là tout le jour à rire, à ne rien faire ;  Et cet unique Agent par qui tout se conduit,  Va porter dans un Bois mes ordres chaque nuit.  Peut-on mieux assurer un secret ? "")",-,0.0
"('#virgine', ""Je l'avoue,  Tant de précaution mérite qu'on vous loue ;  Mais vous perdez beaucoup à vous cacher ainsi.  Déjà pour vous Olimpe a le coeur adouci,  Et le galant Auteur de tant de belles Fêtes  La mettrait aisément au rang de ses conquêtes. "")",-,0.0
"('#le-marquis', ""Il est vrai, j'ai connu par certains embarras  Qu'elle serait d'humeur à ne me haïr pas ;  Mais quand je serais moins à ma belle Comtesse,  Olimpe au Chevalier doit toute sa tendresse.  Il l'adore, et je l'ai toujours trop estimé,  Pour lui ravir l'objet dont je le vois charmé. "")",-,0.0
"('#virgine', ""Ma Maîtresse aime Olimpe, et pour voir cette Belle,  Permet au Chevalier un libre accès chez elle.  Depuis qu'elle est ici par mille tendres soins,  De l'amour qui l'attire il rend nos yeux témoins ;  Mais plus on vous verra, plus je crains pour sa flamme.  Les devoirs qu'il lui rend ne touchent point son âme,  Et ses regards sur vous à toute heure arrêtés,  Ne parleraient que trop, s'ils étaient écoutés.  Mais vous, par quel motif vouloir toujours vous taire ?  A-t-on à se cacher, quand on est sûr de plaire ?  Vos soins sous votre nom auraient été reçus. "")",-,0.0
"('#le-marquis', ""Chacun a ses raisons, et j'en ai là-dessus.  Tout ce qui peut charmer se trouve en la Comtesse ;  Mais soit par défiance, ou par délicatesse,  Le secret de son coeur se ménage si bien,  Qu'avec elle un Amant n'est jamais sûr de rien.  Elle veut être aimée, attire, écoute, engage,  Mais le plus avancé n'a pas grand avantage.  La presser c'est se rendre indigne de sa foi,  Et vingt fois, tu le sais, elle a dit devant moi  Qu'on aurait vers son coeur moins de chemin à faire,  Plus, sans rien exiger, on ferait pour lui plaire.  D'abord qu'elle fut Veuve, un tendre et pur amour  M'engagea sans réserve à lui faire ma cour.  Aucun autre avant moi n'avait brûlé pour elle,  Et par toute l'ardeur qui peut suivre un beau zèle,  Je n'ai pu mériter qu'en faveur de mes feux  Elle ait daigné jamais refuser d'autres voeux.  J'en vois qui se livrant, sans que rien les alarme,  Aux malignes douceurs d'un accueil qui les charme,  Sur la foi de ses yeux s'osent imaginer  Que son coeur est sensible, et prêt à se donner ;  Mais je connais le piège, et plains leur imprudence.  Cependant pour agir avec plus d'assurance,  J'ai voulu joindre aux voeux qu'elle reçoit par moi,  L'amour d'un Inconnu qui prétend à sa foi.  D'estime en sa faveur je la vois prévenue,  Et de ce double appui ma flamme soutenue  En aura moins de peine à me faire emporter  Ce qu'en vain mes Rivaux me voudront disputer.  Son coeur aimant en moi mon amour, ma personne,  Aime dans l'In connu les plaisirs qu'il lui donne.  Elle y rêve, et mon feu par cet heureux secours  A trouvé les moyens de l'occuper toujours.  D'ailleurs, j'ai la douceur, (quel plaisir quand on aime !)  Que souvent elle vient me parler de moi-même,  Et vantant l'Inconnu, sans le croire si près,  Me montre un coeur touché de tout ce que je fais.  Que t'en dit-elle à toi ? Parle. "")",-,0.0
"('#virgine', ""Elle en est ravie.  La gloire fut toujours le charme de sa vie.  Plus vos soins font d'éclat, plus elle s'applaudit  De ce qu'à son mérite ils donnent de crédit.  Ce n'est point par sa flamme une flamme enhardie,  Elle reçoit des voeux sans qu'elle les mendie ;  Et puis, contre l'Amour quoi qu'on ait résolu,  Le nombre des Amants n'a jamais trop déplu ;  Et comme on veut plutôt augmenter que rabattre,  Un avec un fait deux, et deux et deux font quatre.  Les Femmes la plupart en sont là. Mais voici  De quoi changer de note ; Olimpe vient ici.  Songez à vous, elle a grand dessein de vous plaire. "")",-,0.0
"('#le-marquis', ""Souviens-toi seulement de ce que tu dois faire,  Je m'en tirerai bien. "")",-,0.0
"('#olimpe', ""Vous a-t-on fait savoir  Le petit différend que nous venons d'avoir ?  Je voulais empêcher qu'on ne vous fît l'outrage  De souffrir avec vous un Rival en partage ;  Mais contre l'Inconnu je me déclare en vain.  La Comtesse... "")",-,0.0
"('#le-marquis', 'Eh, Madame, à quoi bon ce dessein ?  Laissons à son penchant liberté toute entière.  Pour moi... ')",-,0.0
"('#olimpe', 'La complaisance est un peu singulière.  Un rival rend des soins, la Comtesse en fait cas... ')",-,0.0
"('#le-marquis', ""S'ils lui plaisent, pourquoi ne me plairaient-ils pas ? "")",-,0.0
"('#olimpe', ""Et s'il faut qu'à l'aimer enfin elle consente ?  Qu'elle l'épouse ? "")",-,0.0
"('#le-marquis', ""Et bien, elle sera contente.  C'est tout ce que je veux. "")",-,0.0
"('#olimpe', ""Ah, puisqu'il est ainsi,  Marquis, j'ai tort pour vous de m'en mettre en souci.  Puisque pour l'Inconnu vous avez tant de zèle,  Pour vous plaire, je vais le servir auprès d'elle. "")",-,0.0
"('#le-marquis', ""Je ne m'en plaindrai point, favorisez ses feux.  Peut-être son bonheur me rendra-t-il heureux.  L'Amour a des douceurs et pour l'un et pour l'autre. "")",-,0.0
"('#olimpe', 'Un mérite aussi bien établi que le vôtre,  Peut prétendre beaucoup, et... ')",-,0.0
"('#le-marquis', ""Je sais bien aimer,  C'est là mon seul mérite. "")",-,0.0
"('#olimpe', ""On le doit estimer,  Et j'en connais fort peu qui comme la Comtesse  Ayant de votre coeur attiré la tendresse,  Voulussent consentir au chagrin sans égal,  Où vous peut exposer l'obstacle d'un Rival. "")",-,0.0
"('#le-marquis', ""Ce chagrin n'a sur moi qu'un assez faible empire ;  Et sans m'expliquer mieux, je puis ici vous dire  Que j'aurai vu remplir mes souhaits les plus doux,  Si la Comtesse prend l'Inconnu pour Époux.  Adieu, Madame. "")",-,0.0
"('#olimpe', ""Il sort, et veut bien que je croie  Qu'en perdant la Comtesse il aura de la joie.  D'un pareil sentiment que dois-je présumer ?  Aurais-je su lui plaire ? Et pourrait-il m'aimer ? "")",-,0.0
"('#melisse', 'Quoi, vous le souffririez ? ')",-,0.0
"('#olimpe', ""Qu'il est bien fait, Mélisse ! "")",-,0.0
"('#melisse', 'Oui, mais au Chevalier il faut rendre justice. ')",-,0.0
"('#la-comtesse', 'Savez-vous que Dorante arrive ici ce soir ? ')",-,0.0
"('#olimpe', 'Avouez que déjà vous brûlez de le voir. ')",-,0.0
"('#la-comtesse', ""Je ne le cache point, j'en aurai de la joie. "")",-,0.0
"('#olimpe', ""Je ne sais plus de vous ce qu'il faut que je croie.  Les devoirs du Marquis ne vous déplaisent pas ;  Dans ceux de l'Inconnu vous trouvez quelque appas,  Et d'autres soupirants, aussitôt qu'ils arrivent,  Peuvent prétendre au coeur que tous les deux poursuivent.  C'est aller un peu loin. "")",-,0.0
"('#la-comtesse', ""De quoi vous étonner ?  Pour prétendre à mon coeur, me le font-ils donner ?  Croyez-moi, pour n'avoir nul reproche à se faire,  Il faut de sa conduite éloigner le mystère,  S'acquérir des Amis sans trop les rechercher,  Se divertir de tout, et ne point s'attacher.  C'est ainsi que j'en use, et je m'en trouve heureuse.  Point d'affaire de coeur qui me tienne rêveuse.  Tous ceux qu'un peu d'estime engage à m'en conter,  Me trouvent sans façon prête à les écouter.  Je vois avec plaisir leur différent génie ;  Et j'appelle cela recevoir compagnie. "")",-,0.0
"('#olimpe', ""Mais en vous en contant, ils vous parlent d'aimer ? "")",-,0.0
"('#la-comtesse', ""Je n'y vois pas contre eux de quoi se gendarmer.  Est-il quelque entretien, hors de là, qui n'ennuie,  Et nous parleront-ils de beau temps, ou de pluie ?  Notre sexe partout fait des Adorateurs,  Et fut-ce la plus laide, on lui dit des douceurs.  Pour moi, qu'aucun aveu sur l'amour n'effarouche,  À personne jamais je ne ferme la bouche,  Et grossissant ma cour d'Esclaves différents,  J'écoute les soupirs, et ris des Soupirants.  Ce n'est pas, après tout, leur faire grande injure,  Ils ont beau de leurs maux nous tracer la peinture.  Tous ces empressements de belle passion  Souvent sont moins amour que conversation,  Et le plus languissant, quoi qu'il dise et proteste  A, tout prêt d'expirer, de la santé de reste.  Si sur nous quelquefois le murmure s'étend,  C'est pour ce que l'on fait, non pour ce qu'on entend ;  Et ces miroirs d'honneur, ces Prudes consommées,  Qui du seul nom d'amour se montre gendarmées,  Succomberaient bientôt à la tentation,  Puisqu'un mot sur leurs coeurs fait tant d'impression.  Jamais à prendre feu je n'ai l'âme si prompte.  Les déclarations ne sont pour moi qu'un conte,  Et quoi que mes Amants par là se soient promis,  Je ne vois, ne regarde en eux que mes Amis.  Je prends sur leur esprit un empire commode ;  Et s'ils m'aiment, il faut qu'ils vivent à ma mode.  L'un veille à mes Procès, l'autre à mes bâtiments. "")",-,0.0
"('#olimpe', ""Et comment accorder ce grand nombre d'amants ? "")",-,0.0
"('#la-comtesse', ""Si c'est être coquette, au moins quoi qu'on en croie,  C'est l'être de bon sens, et vivre pour la joie.  Chacun cherche à me plaire, et ne promettant rien,  Je fais amas de coeurs sans engager le mien.  Comme à fuir le chagrin tous mes soins aboutissent,  Il n'est pas jusqu'aux Sots qui ne me divertissent,  Et dont le ridicule à pousser des soupirs  Ne me soit quelquefois un sujet de plaisirs.  Quoique Veuve, je suis peut-être encor d'un âge  À suivre l'humeur gaie où mon penchant m'engage.  J'en veux jouir ; jamais je n'aurai meilleur temps.  J'ai du bien, des Maisons à Paris comme aux champs ;  Ma personne a de quoi ne pas déplaire, on m'aime,  Et tant que je voudrai me garder à moi-même,  Ne point prendre de Maître en prenant un Époux,  Mon sort égalera le destin le plus doux. "")",-,0.0
"('#olimpe', ""C'est ce qu'encor longtemps vous aurez peine à faire.  Le Marquis n'est point fait d'un air à ne pas plaire,  Et vous estimez tant ce qu'il vous rend de soins,  Qu'il n'y va pour l'aimer, que du plus, ou du moins.  L'Inconnu peut d'ailleurs avoir touché votre âme ;  Et si par ce qu'il fait on juge de sa flamme,  Il est bien malaisé qu'un si parfait Amant  N'ait mérité de vous un peu d'engagement.  Son coeur impatient de vous voir attendrie  Joint la magnificence à la galanterie,  Et les porte si loin, qu'on y voit chaque jour  Briller également et l'esprit et l'amour. "")",-,0.0
"('#la-comtesse', ""Il faut vous l'avouer, l'Inconnu m'embarrasse.  Ce qu'il ordonne est fait avecque tant de grâce,  Que je m'en sens touchée, et craindrais de l'aimer,  Si je le voyais tel qu'on peut le présumer.  J'admire chaque jour les détours qu'il emploie  Pour me faire agréer les Bouquets qu'il m'envoie.  Jamais si galamment rien ne fur concerté,  C'est toujours de l'adresse et de la nouveauté.  Cependant j'ai beau faire afin de le connaître.  Tous ses Gens sont muets sur le nom de leur Maître ;  Et même comme ils sont Étrangers la plupart,  Son secret avec eux ne court point de hasard.  C'est en vain qu'on les suit, on n'en peut rien apprendre.  Ce sont Acteurs instruits qui savent où se rendre,  Et qui se séparant quand ils sortent d'ici,  Par leur prompte retraite augmentent mon souci.  Qui peut les employer ? "")",-,0.0
"('#olimpe', ""J'en vois tant qui font gloire  De soupirer pour vous, que je ne sais qu'en croire.  Quel qu'il soit, c'est de vous un Amant bien épris. "")",-,0.0
"('#la-comtesse', ""Mes soupçons sont d'abord tombés sur le Marquis.  Il m'aime, il est galant ; mais ses Gens qu'on épie,  Demeurent en repos dans son Hôtellerie,  Et n'y passeraient pas tout le jour sans emploi,  Si leur Maître faisait tant de Fêtes pour moi.  D'ailleurs, qu'a-t-il besoin d'user de cette adresse ?  Je souffre que son coeur m'explique sa tendresse,  Et depuis mon Veuvage à me plaire attaché,  Quand il m'a divertie, il ne s'est point caché. "")",-,0.0
"('#olimpe', ""Soupçonner le Marquis ! Non, non, quoi qu'il pût faire,  Son amour si longtemps aurait peine à se taire,  Et voyant votre peine, un sourire indiscret  De ses soins applaudis trahirais le secret.  Il vous parle à toute heure. "")",-,0.0
"('#la-comtesse', ""Et si notre Vicomte  S'était avisé... "")",-,0.0
"('#olimpe', 'Lui ? ')",-,0.0
"('#la-comtesse', ""Que j'en aurais de honte.  C'est un fatigant homme. "")",-,0.0
"('#olimpe', ""Il va jusqu'à l'excès. "")",-,0.0
"('#la-comtesse', ""Il doit venir m'instruire ici de mon Procès. "")",-,0.0
"('#olimpe', 'Vous pouvez seul à seul lui donner audience,  Car pour moi je déserte, et suis sans complaisance. ')",-,0.0
"('#la-comtesse', 'Et ne pouvez-vous pas en rire comme moi ? ')",-,0.0
"('#olimpe', ""Non, ces sortes d'Amants... Mais qu'est-ce que je vois ?  Madame... "")",-,0.0
-,"('#thalie', ""Quelle favorable puissance  A rétabli les agréments,  La pompe et la magnificence  D'un Théâtre que mon absence  Avait laissé sans ornements ?  Moi, qu'on nomme en tous lieux la divine Thalie ;  Moi, Muse de la Comédie,  L'amour des plus rares esprits,  Je n'ai donc pu par leurs écrits  Soutenir l'honneur de la Scène ?  J'ai pris une inutile peine,  Malgré les efforts que j'ai faits,  On a déserté mes Palais :  Depuis un temps une juste colère  M'a fait abandonné ces lieux ;  Un retour de tendresse, un désir curieux,  De voir ce que sans moi l'on y peut encore faire  Me fait y reporter et mes pas et mes yeux :  Je reviens, je n'y vois rien qui ne doive plaire.  Une foule de connaisseurs,  Par le bon goût au spectacle appelée,  Me fait penser que l'une de mes Soeurs  À ma place s'en est mêlée.  Se pourrait-il qu'à mon emploi  Elle réussit mieux que moi ! "")",0.0
-,"('#crispin', 'Dieu vous garde, Madame Thalie.  Hé ! Depuis quand à Paris de retour ?  Je vous croyais en Italie,  Où vous aviez dit-on, fixé votre séjour. ')",0.0
-,"('#thalie', ""N'est-ce pas là Crispin qui me parle."")",0.0
-,"('#crispin', ""Lui-même.  Crispin cadet, fils de Crispin l'aîné,  Sous une heureuse étoile né  S'il pouvait se flatter de la gloire suprême  D'être autant de vos favoris  Que feu son père en fut jadis ;  Car il en fut beaucoup, à ce que j'entends dire. "")",0.0
-,"('#thalie', ""Je l'ai favorisé, j'ai connu les talents  Qu'il eût du Ciel pour faire rire,  Et pour plaire aux honnêtes gens :  Mais enfin depuis quelque temps,  En termes assez bons on m'a parlé des vôtres,  Et l'on m'en a tant dit… "")",0.0
-,"('#crispin', ""À d'autres,  Comme toujours de la Profession  L'amour propre fut l'apanage,  Ne me louez qu'avec précaution,  Je n'ai que trop de pente à la présomption,  Ne m'en donnez pas davantage. "")",0.0
-,"('#thalie', ""La louange n'est pas mon fort,  La raillerie est mon partage. "")",0.0
-,"('#crispin', ""Fort bien, vous me raillez, je gage,  Et j'ai donné dedans. J'ai tort.  D'autres que moi… "")",0.0
-,"('#thalie', ""Laissons cette matière,  Et me dites un peu ce que l'on fait ici. "")",0.0
-,"('#crispin', ""On fait tout ce qu'on peut pour plaire,  Et l'on est fort content quand on a réussi. "")",0.0
-,"('#thalie', ""Arrive-t-il souvent que l'on y réussisse ?  Et pendant mon absence… "")",0.0
-,"('#crispin', ""On s'est passé de vous,  Et pour peu qu'on nous applaudisse,  Nous redoublons nos soins, enfin nous sommes tous  Fort contents de Paris, quand Paris l'est de nous."")",0.0
-,"('#thalie', 'De bons Acteurs la Troupe est-elle bien fournie ? ')",0.0
-,"('#crispin', ""Troupe, Madame ! On dit à présent Compagnie.  Malepeste ! Sur un bon pied  Nous avons mis la Comédie ;  Et si par quelque heureux génie  Le théâtre était appuyé…  Car voyez-vous, j'ai l'âme la plus ronde,  Et ne sais point faire le fin.  Vous nous voyez aujourd'hui bien du monde,  Nous n'aurons personne demain."")",0.0
-,"('#thalie', 'Comment donc ! Et qui peut produire  Chez vous cette inégalité ? ')",0.0
-,"('#crispin', ""C'est que… Comprenez bien ce que je vais vous dire.  Une première fois par curiosité…  On vient voir en foule un ouvrage.  Quand… la première fois… on en est dégoûté,  On n'y revient pas davantage. "")",0.0
-,"('#thalie', ""Cela se comprend aisément ;  Mais à qui d'une Pièce attribuer la chute ? "")",0.0
-,"('#crispin', ""On en parle différemment.  L'Auteur aux Acteurs l'impute  Les Acteurs parlent autrement,  Le Parterre ordinairement  Est le Juge de la dispute ;  Et comme il juge sainement,  Il juge souverainement :  Ce qu'il a jugé s'exécute. "")",0.0
-,"('#thalie', 'Vous avez de nouveaux Acteurs ? ')",0.0
-,"('#crispin', ""Oh ! Beaucoup, presque autant que de nouveaux Auteurs.  Que l'un de nous quitte ou trépasse,  Il en viendra quatre à sa place. "")",0.0
-,"('#thalie', 'Cela vous fait plaisir. ')",0.0
-,"('#crispin', 'Le proverbe le dit,  Plus on est de fous, plus on rit. ')",0.0
-,"('#thalie', 'Le proverbe est très véritable.  Mais, dites-moi de grâce, à ces Acteurs nouveaux  Le parterre est-il favorable ? ')",0.0
-,"('#crispin', ""S'il ne leur était pas, ce serait bien le diable.  Nous n'avons presque plus de ces originaux,  Que vous aviez formés vous-même.  Grand changement d'un temps à l'autre y a ;  Et quand on n'a pas ce qu'on aime,  Il faut bien aimer ce qu'on a.  Nous nous formons sur le meilleur modèle.  À vous faire la cour tous ardents comme moi,  Nous avons tous le même zèle,  Pour réussir chacun dans son emploi. "")",0.0
-,"('#thalie', ""Avec succès je crois que chacun s'en acquitte ;  Si par hasard la chose est autrement,  Le zèle tient lieu de mérite ;  Et le public qui de l'orgueil s'irrite,  Aux modernes Acteurs se prête bonnement ;  Quoi qu'il en soit, faites-les-moi connaître,  Je prétends les encourager ;  Et suivant ce qu'ils pourront être,  Je m'engage à les protéger. "")",0.0
-,"('#crispin', ""N'est-ce point trop vous engager."")",0.0
