montchretien-hector,giraudoux-la-guerre-de-troie-n-aura-pas-lieu,Score
"('#hector', ""D'elle j'ai plus reçu que je ne lui peux rendre. "")",-,0.0
"('#andromaque', ""L'heur de tous ses destins de vous semble dépendre. "")",-,0.0
"('#hector', 'Comme si par moi seul subsistaient les Troyens. ')",-,0.0
"('#andromaque', 'Que feraient-ils sans vous ? Sans vous par quels moyens  Défendraient-ils ces murs de la Grecque furie ?  Que peut sans le Berger la faible Bergerie ?  Le vaisseau sans Pilote et le char sans Cocher. ')",-,0.0
"('#hector', 'Maint autre Chef pourra leur ruine empêcher :  Car grâces à nos Dieux cette indomptable ville  Porte de grands Guerriers une moisson fertile. ')",-,0.0
"('#andromaque', 'Vous paraissez sur tous comme leur parangon. ')",-,0.0
"('#hector', ""» L'amour te le fait croire : il n'est jamais si bon  » Qui n'ait ou son pareil ou son meilleur encore. "")",-,0.0
"('#andromaque', ""J'en crois vos beaux exploits que tout le monde honore,  Vos frères, votre père et ces autres guerriers  Que le mérite élève à nos grades premiers. "")",-,0.0
"('#hector', ""Énée est-il pas là ? Troïle, Polidame ?  Deiphobe et Memnon forts du corps et de l'âme ?  Sans mille et mille encor alliés ou parents ;  Qui pour le prix d'honneur entreraient sur les rangs ? "")",-,0.0
"('#andromaque', ""Oubliez-vous aussi que dans l'Ost adversaire  Sont grand nombre de chefs, tant appris à bien faire  Qu'ils passent de l'effet la grandeur de leur nom :  Diomède le Preux, l'Ajax de Thélamon,  Le cauteleux forgeur de fraude et de finesse,  Le vieil Nestor de Pile admirable en sagesse,  Le juste Idoménée et le fort Mérion,  Le courageux auteur des combats d'Ilion,  Le Roi de tant de Rois qui gouverne les armes  Et préside au Conseil des Argives gens d'armes,  Bref celui qu'il fallait produire le premier,  Ce grand fils de Pélée aussi vaillant que fier.  Car depuis que Patrocle est chu sous votre épée,  À nul autre dessein il n'a l'âme occupée,  Qu'à revanger sa mort dont le dur souvenir  Fait son ombre en tous lieux devant lui revenir,  Qui d'accents douloureux ses armes sollicite,  Tant par le cher respect de son propre mérite,  Que par l'amour sacré qui de noeuds aimantins  Semblaient avoir étreint leurs mutuels destins. "")",-,0.0
"('#hector', ""Tu m'y fais repenser : Cà mes armes, mes armes.  Non, je le vois remettre au milieu des gens d'armes,  Où sans gloire et sans marque il se tiendra caché,  Vergoigneux que son nom soit à jamais taché,  Pour n'avoir comparu sur la place donnée,  Où mon défi sanglant assignait la journée,  Qui devant les deux camps devait rendre au meilleur  La palme disputable entre notre valeur,  J'entends bien mon cheval hennir après la guerre,  C'est bon signe, ô ma lance, il faut que je l'atterre. "")",-,0.0
"('#andromaque', ""Retenez, mon Hector, ces mouvements bouillants.  » Bien souvent les guerriers ne sont que trop vaillants.  » Disiez-vous pas un jour que si l'homme n'est sage,  » Il se perd sans profit par son propre courage ?  » Que chercher l'ennemi pour trouver son malheur  » C'est fort mal à propos user de la valeur ?  » Soyez sage par vous et pour vous tout ensemble :  » Qui l'est pour l'autrui seul au fol presque ressemble. "")",-,0.0
"('#hector', ""Le conseil en est pris ; lacez-moi le harnois.  Ce Grec présomptueux sentira cette fois,  S'il attend ma rencontre et le choc de ma lance,  Que j'ai plus de vertu qu'il n'a d'outrecuidance. "")",-,0.0
"('#andromaque', ""Hector, voici ton fils. Hélas, où t'en vas-tu  Devant que de l'avoir mis au sentier de vertu ?  Rejette tous mes voeux, va-t'en à la mal'heure,  Afin que par ta mort orphelin il demeure,  Et qu'en ta sépulture on me vienne enterrer :  Pourrai-je me voir veuve et vive demeurer ?  Non, non, j'ai tant uni mon esprit à ton âme,  Qu'un même coup fatal en tranchera la trame. "")",-,0.0
"('#hector', ""Viens çà, cher enfançon, doux fardeau de mes bras,  Tends à mon col armé tes membres délicats.  Quoi, tu as peur, mon fils ? Tu tournes le visage ?  Il craint ce fier armet qui la tête m'ombrage.  Voyez comme il étreint de sa petite main  Le bras de sa nourrice, en lui pressant le sein :  Page, tiens ma salade, il faut que je le baise ;  Ores qu'il me connait, comme il trémousse d'aise.  Octroyez-moi, grands Dieux, que ce Royal enfant  Devienne juste en paix, en guerre triomphant :  Qu'il aspire toujours à la gloire éternelle,  Qu'il pardonne au sujet et dompte le rebelle.  Du noble sang Troyen faites-le gouverneur.  Et qu'il soit à son peuple un Astre de bonheur.  Donnez à sa vertu fortune si prospère,  Qu'on die en le vantant le fils passe le père. Lors s'il advient qu'un jour son bras victorieux  La dépouille ennemie appende aux sacrés lieux :  Pour consoler sa mère et la remplir de joie,  Dieux que j'ai révérés, faites qu'elle le voie. Nourrice prends ta charge ; et toi, mon cher souci,  Viens, ma douce Andromaque, et ne t'afflige ainsi.  Soit que je sois à Troie ou bien à la campagne,  De mon fils et de toi le penser m'accompagne,  S'efforce m'éloigner de l'orage des coups,  Et m'attendrit aux doux noms de père et d'époux.  Mais je crains la vergongne à jamais reprochable,  Je crains les traits piquants d'un peuple variable,  Léger, présomptueux, sans respect et sans loi,  Qui déployant sa langue à blasonner de moi,  Tournerait ma prudence en lâche couardise.  Bien tôt se perd la gloire à grand labeur acquise.  Puis mon coeur qui toujours s'est fait voir indompté  Ne veut déchoir du rang où mon bras l'a porté,  Par sueurs et travaux, lui dressant un trophée,  Dont nul temps ne verra la mémoire étouffée.  Je sais par ma douleur qu'en fin le jour viendra  Que le Grec conjuré notre ville prendra :  Que le bon vieil Priam, mes cousins et mes frères  Sentiront la fureur des Argives colères,  Et me sens tout ému de leur affliction :  Mais, j'en jure le Ciel, j'ai plus de passion  Pour toi que pour tous eux, ô ma chère Andromaque ;  Il me semble jà voir quelque jeune bravache  Pour sa part de butin plein d'orgueil t'emmener  Au logis de son Père, et là te condamner  À tramer de la toile, à filer de la laine,  À puiser l'onde vive au clair de sa fontaine,  À balayer la place, à souffrir des mépris,  Exercices mesquins pour femme de tel prix :  Et possible un passant touché jusques à l'âme,  Dira : du preux Hector, celle-ci fut la femme.  Lors quel dépit naîtra dans ton coeur soucieux  Oyant ramentevoir mon nom si glorieux,  Et te voyant de biens et d'honneurs toute nue  En ce triste servage à jamais retenue ?  Si les destins sont tels, certes j'aime bien mieux  Que pour ne te point voir la mort couvre mes yeux  D'un éternel bandeau, que la tombe me prive  D'entendre les soupirs de ton âme captive. "")",-,0.0
"('#andromaque', ""Et bien, mon cher Hector, donne-moi donc la main.  À nous deux seulement ton coeur est inhumain ;  Las, ta valeur nous perd ! Le fruit de ton courage  C'est une dure mort en la fleur de ton âge.  Dis-moi, que veux-tu faire ? Un marbre sans pitié  S'amollirait-il point de ma tendre amitié ?  Pense, au moins, je te prie, à la mort douloureuse,  Dont toi-même occiras ta femme malheureuse !  Si le fer ennemi la fait veuve de toi,  Et ton ardeur possible écoutera ma foi.  Las, c'est contre ton chef que les armes conspirent ;  C'est ton sang généreux que leurs pointes désirent,  Les plus vulgaires dards s'en montrent altérés,  Et tu vas courre aveugle aux dangers conjurés.  Non, avant que le ciel de ton col me sépare,  M'engloutisse la terre, à tout je me prépare :  Aussi bien à regret verrais-je le Soleil,  S'il me voyait sans voir la clarté de ton oeil.  Si je demeure seule, ô misérable femme,  Qui pourra consoler l'angoisse de mon âme ?  Irai-je à mes parents ? Hélas, ils sont tous morts :  Le barbare Pélide après plusieurs efforts,  Rasa ma belle Thèbes abondante en familles  Dont le chef s'élevait sur les plus hautes villes  Comme un Pin sur la Ronce ; il se baigna les mains  Au cher sang de mon père et de mes sept germains.  Le cruel non content emprisonna ma mère,  Accrut ses durs ennuis d'un traitement austère  Indigne de son sexe et de sa qualité :  Là le cours de ses maux ne fut point arrêté ;  » Seule ne va jamais la contraire fortune :  Car Diane contre elle excitée à rancune,  Après tant de tourments la retira de nous,  Et tout pour satisfaire à son âpre courroux,  Voilà comme à présent sans parents je demeure,  Sans père, mère, frère, assaillie à toute heure  Du regret de leur mort, ô toi mon cher époux,  Pour le temps à venir tiens-moi le lieu de tous.  Demeure ma douce âme ; arrête, ma lumière,  Et crois plus mon amour que ta fureur guerrière.  Je demande bien peu ; tu n'aurais pas le coeur  De rendre mon désir vaincu par ta rigueur. "")",-,0.0
"('#hector', ""Espère mon triomphe, ô ma compagne aimable,  Et dépouille ce deuil qui t'est peu convenable.  Si je meurs au combat, supporte mon trépas ;  Il nous faut tous finir, tu ne l'ignores pas :  Je ne suis engendré de semence immortelle ;  Et si les fils des Dieux ont chargé la nacelle  Dont le crasseux Nocher trajecte l'Achéron,  Se faut-il ébahir si nous autres mourons ?  » C'est une même loi qui fait mourir et naître,  » Puisqu'en vain l'on fuirait à dextre ou à senestre,  » Il vaut mieux s'avancer en marchant toujours droit,  » Et vouloir ce qu'il faut quand on ne le voudrait ;  » Aussi bien le destin règne invincible et ferme,  » Et comme il n'accourcit n'allonge notre terme.  Embrasse-moi, le ciel aura soin du surplus.  Je te le dis encor, ces pleurs sont superflus.  Pour tromper ton ennui retourne à ton ménage ;  Là bande tes esprits à faire de l'ouvrage ;  Pour nous autres que Troie appelle à d'autre soin,  Nous emploierons l'épée et la vie au besoin.  » Adieu ma douce amour, une chaleur m'allume  » Le courage bouillant plus fort que de coutume,  » Chaleur vive de Mars. Les exploits valeureux  » Se font par des transports hautains et vigoureux,  » Qui s'excitent en l'âme alors qu'elle est émue  » Des chauds désirs d'honneur qui l'élève et remue,  » Comme la flamme éparse aux côtés d'un vaisseau  » Fait rejaillir en haut les gros bouillons de l'eau.  » L'homme qui ne sent point ces boutades hardies  » Aura toujours les mains à frapper engourdies,  » Semblable à cette Nef qui vogue en morte mer  » Où de peu sert la force et moins l'âme de ramer.  » Mais si la valeur brusque agite son courage,  » À travers mille morts il s'ouvre le passage,  » Et signale ses bras de tant et tant d'efforts  Qu'il entre au premier rang des Héros les plus forts. "")",-,0.0
"('#le-choeur', ""» Que l'expert marinier raisonne de l'orage,  » Le laboureur du fonds commode au labourage,  » Le pasteur de troupeaux et le veneur de chiens,  » Le marchand de trafics et l'usurier de biens : » Mais les braves discours qui traitent la vaillance  » Conviennent aux esprits dont la sage assurance  » Peut accoupler le dire avecques son effet :  » Car c'est par l'action que vertu se parfait. "")",-,0.0
"('#le-choeur', ""» À tous d'un même don,  » Nature n'est pas libérale :  » Elle n'a jugé bon  » De rendre sa faveur égale  » Aux hommes différents  » De moeurs comme de rangs.  » L'un a le coeur tremblant  » Lorsque le danger se présente,  » Aux femmes ressemblant  » Que tout sujet de peur tourmente.  » L'autre pour nul effroi  » Ne sort jamais de soi.  » Que l'ire de la mer  » Émue au fort de la tempête,  » Menace d'abîmer  » Au profond des vagues sa tête,  » Son front n'en prendra pas  » La couleur du trépas.  » Il verra trébucher  » Sur son chef la voûte du monde,  » Premier que de lâcher  » Le pied sur lequel il se fonde  » Ferme comme un rocher  » Qu'on ne peut élocher.  » Les piques et les dards  » N'ébranleront point son audace ;  » Aux orages de Mars  » Il portera haute la face,  » Et son propre vainqueur  » Ne domptera son coeur.  » Son genouil assuré  » Ne tremblera point sur la brèche,  » Dût-il être atterré  » Du foudre allumé d'une mèche,  » Et plutôt que son rang  » Il perdra tout le sang.  » Au bien il logera  » Sa plus chère et plus douce envie,  » D'âme il ne changera  » Quoiqu'il change d'état de vie ;  » En travail, à requoi  » Toujours égal à soi.  » Heureux ou malheureux,  » Son âge ira franc de misère,  » Et son coeur vigoureux  » Ne sera jamais en altère :  » Car le mal et le bien  » Lui seront moins que rien.  » Stable à tout changement  » Qui règne au-dessous de la Lune,  » Son sage entendement  » Moquera l'adverse fortune,  » Et ses traits rebouchés  » Contre lui décochés.  » Qui le voudra mêler  » Parmi les tourbes populaires,  » Ou bien loin l'exiler  » Au fonds des déserts solitaires,  » En tous lieux le Soleil  » Lui semblera pareil.  » Soit qu'il se fasse voir  » Simple soldat ou Capitaine,  » Mesurant son devoir  » À la vertu règle certaine,  » Toutes ses actions  » Seront perfections.  » Celui-là que les cieux  » Ont doué de telle nature  » Est le mignon des Dieux ;  » Il ne peut recevoir injure,  » D'autant qu'il est plus fort  » Que l'homme et que le sort. "")",-,0.0
"('#andromaque', ""Quoi que tente mon âme afin de se distraire  De penser à son mal, elle ne le peut faire :  Ses efforts restent vains, et parmi ce malheur  Tout s'affaiblit en moi fors la seule douleur.  Nul objet ne me plaît quelque part que je tourne :  Mon discours prend l'essor alors que je séjourne,  Et sans fin ravassant ne fait que ramasser  Des présages fâcheux que je ne puis laisser.  Au moins que ne vois-tu combien ton Andromaque  De soucis inhumains dans sa poitrine cache.  Hector, tu fléchirais cet esprit obstiné ! "")",-,0.0
"('#nourrice', ""Mais laissez-le sortir s'il l'a déterminé. "")",-,0.0
"('#andromaque', ""S'il sort c'est fait de lui, il y mourra, Nourrice. "")",-,0.0
"('#nourrice', ""Qu'elle vaine frayeur en votre âme se glisse ?  Après mille combats est-il donques nouveau  » De voir Hector aux coups ? Qui s'embarque sur l'eau  » N'est pas toujours noyé ; qui se jette aux alarmes  » Sagement hasardeux, est respecté des armes :  » Ou si quelque poltron en échappe aujourd'hui  » Demain sans y penser l'escart tombe sus lui.  C'est lui faire un grand tort de douter son courage. "")",-,0.0
"('#andromaque', 'Ha, seul exécuteur de mon triste présage ! ')",-,0.0
"('#nourrice', 'Qui vit onques en vous ces craintives humeurs ? ')",-,0.0
"('#andromaque', 'Que mon malheur est proche, ha ! Nourrice, je meurs. ')",-,0.0
"('#nourrice', ""Madame, qui vous tient ? Dites-le-moi de grâce,  D'où naît ce deuil obscur qui ternit votre face ? "")",-,0.0
"('#andromaque', ""Las ! C'est un songe étrange et tout rempli d'effroi. "")",-,0.0
"('#nourrice', ""Un songe n'est que vent, n'y mettez nulle foi. "")",-,0.0
"('#andromaque', ""Maintenant qu'à mes yeux recourt sa triste image  Je sens un froid glaçon me geler le courage ;  Une lente sueur me sourd par tout le corps,  Et mes nerfs tous lâchés languissent demi-morts.  Aide-moi vitement ; ma Nourrice, je tombe. "")",-,0.0
"('#nourrice', ""» Jamais un corps robuste à la peur ne succombe.  L'ennui qui vous emporte ainsi comme un torrent  A la cause cachée et l'effet apparent ;  Mais faites-moi savoir quelle est cette détresse  Qui le coeur désolé dans ses griffes vous presse ;  Dites-le hardiment, Madame, obligez-moi ;  Un songe quel qu'il soit ne porte tant d'émoi. "")",-,0.0
"('#andromaque', ""Aussi n'est-il pas seul, d'autres mauvais augures  Annoncent haut et clair nos tristes aventures. "")",-,0.0
"('#nourrice', ""» C'est bien un lourd erreur d'ajouter de la foi  » À qui prédit pour nous ce qu'il ne voit pour soi. "")",-,0.0
"('#andromaque', ""C'est une grande fureur de fermer les oreilles  Quand le Ciel parle à nous avecques des merveilles. "")",-,0.0
"('#nourrice', ""Dites-moi vos ennuis pour vous en consoler,  » La tristesse s'allège en lui donnant de l'air. "")",-,0.0
"('#andromaque', ""Le Soleil n'a plutôt allumé la journée,  Que je quitte ma couche et devers lui tournée  Lui raconte mon songe et le prie humblement  D'écarter loin de nous tout triste événement. "")",-,0.0
"('#nourrice', ""» C'est fait comme il le faut. Quand le Ciel nous menace  » Recourons de bonne heure à sa divine grâce,  Pour impétrer par voeux un secours assuré  Contre le mal prochain qui nous est préparé. "")",-,0.0
"('#andromaque', ""Phoebus s'obscurcit lors pour éclaircir ma peine,  Et luisant incertain à ma douleur certaine  Se montre tantôt rouge et tantôt palissant,  Le même que mon songe à regret annonçant :  Laissons là toutefois l'effroyable présage  Qui forme tant de crainte en mon triste courage,  Et courons à Priam pour essayer encor  Si son autorité peut retenir Hector.  » Les voeux servent beaucoup ; mais la bonté suprême  » Ne subvient qu'à celui qui travaille soi-même. "")",-,0.0
"('#nourrice', ""J'approuve votre avis : si Priam une fois  D'autorité commande, eût-il jà le harnois  Il ne faut pas douter que prompt il n'obtempère :  » Jamais homme de bien ne contredit son Père. "")",-,0.0
"('#andromaque', ""Allons l'en supplier, mais vite hâtons-nous.  Je crains qu'il soit déjà dans la presse des coups. "")",-,0.0
"('#nourrice', ""Cessez d'en avoir peur : car j'ai vu nos Gendarmes  Qui deçà qui delà se vêtent de leurs armes ;  Et la trompette creuse avec sa rauque voix  N'a sommé de sortir pour la troisième fois. "")",-,0.0
