,la-fontaine-climene,la-harpe-muses-rivales,Cost,Operation Type
10,"('#terpsichore', ""Je m'en vais commencer ; qu'Euterpe me réponde. Quand le soleil a fait le tour de l'univers, Ce n'est point d'avoir vu cent chefs-d'oeuvre divers, Ni d'en avoir produit, qu'à Téthys il se vante ; Il dit : J'ai vu Clymène, et mon âme est contente."")",,1.0,Insertion
11,"('#euterpe', ""L'aurore vous veut voir Clymène, montrez-vous : Non, ne bougez du lit ; le repos est trop doux : Tantôt vous paraîtrez vous-même une autre aurore ; Mais ne vous pressez point, dormez, dormez encore."")",,1.0,Insertion
12,"('#terpsichore', ""Au gré de tous les yeux Clymène a des appas : Un peu de passion est ce qu'on lui souhaite : Pour de l'amitié seule, elle n'en manque pas : Cinq ou six grains d'amour, et Clymène est parfaite."")",,1.0,Insertion
13,"('#euterpe', ""L'amour, à ce qu'on dit, empêche de dormir : S'il a quelque plaisir, il ne l'a pas sans peine. Voyez la tourterelle, entendez-la gémir :  Vous vous garderez bien de condamner Clymène."")",,1.0,Insertion
14,"('#terpsichore', ""Vénus depuis longtemps est de mauvaise humeur Clymène lui fait ombre; et Vénus, ayant peur D'être mise au-dessous d'une beauté mortelle, Disait hier à son fils : Mais la croit-on si belle ? Hé oui, oui, dit l'Amour, je vous la veux montrer."")",,1.0,Insertion
15,"('#apollon', ""Vous sortez de l'églogue."")",,1.0,Insertion
16,"('#euterpe', ""IL nous y faut rentrer. Amour en quatre parts divise son empire : Acanthe en fait moitié, ses rivaux plus d'un quart ; Ainsi plus des trois quarts pour Clymène soupire : Les autres belles ont le reste pour leur part."")",,1.0,Insertion
17,"('#terpsichore', ""Tout ce que peut avoir un coeur d'indifférence, Clymène le témoigne : elle en a destiné Les trois quarts pour Acanthe ; heureux dans sa souffrance S'il voit qu'à ses rivaux le reste soit donné !"")",,1.0,Insertion
18,"('#euterpe', 'Ne vous semble-t-il pas que nos bois reverdissent, Depuis que nous chantons un si charmant objet ?')",,1.0,Insertion
19,"('#terpsichore', 'Oiseaux, hommes et dieux, que tous chantres choisissent Désormais, en leurs sons, Clymène pour sujet !')",,1.0,Insertion
20,"('#euterpe', ""Pour elle le printemps s'est habillé de roses."")",,1.0,Insertion
21,"('#terpsichore', 'Pour elle les zéphirs en parfument les airs.')",,1.0,Insertion
22,"('#euterpe', ""Et les oiseaux pour elle y joignent leurs concerts. Régnez, belle, régnez sur tant d'aimables choses."")",,1.0,Insertion
23,"('#terpsichore', ""Aimez, Clymène, aimez ; rendez quelqu'un heureux : Votre règne en aura plus d'appas pour vous-même."")","('#uranie', 'De chacune de nous également chéri, Notre divinité lui fut toujours propice.')",0.87,Substitution
24,"('#euterpe', ""En ce nombre d'amants qui voulez-vous qu'elle aime ?"")","('#erato', 'Mais celle dont surtout il fut le favori, Doit seule être sa conductrice.')",1.02,Substitution
25,"('#terpsichore', 'Acanthe.')",,1.0,Insertion
26,"('#euterpe', 'Et pourquoi lui ?')","('#uranie', 'Y prétendriez-vous ?')",1.2,Substitution
27,"('#terpsichore', ""C'est le plus amoureux. Sire, êtes-vous content ?"")",,1.0,Insertion
28,"('#apollon', 'Assez. Que Melpomène Sur un ton qui nous touche introduise Clymène. Vous, Thalie, il vous faut contrefaire un amant Qui ne veut point borner son amoureux tourment.')","('#erato', ""Mais je crois le pouvoir, Et j'ai bien quelques droits que je ferai valoir. À l'Amour Erato préside ; J'apprends à le chanter ; j'embrase de ses feux L'auteur qui me prend pour son guide, Et je me plais surtout aux amours malheureux. Je transforme en poète un amant qui soupire ; J'amollis sous ses doigts les cordes de sa lyre. De Tibulle autrefois j'ai recueilli les pleurs ; De ses tendres, chagrins j'étais la confidente,: Et seule je donnais à sa voix gémissante, Ce charme que l'amour fait mêler aux douleurs. Je permets quelquefois, par caprice ou par grâce, À d'aimables voluptueux, De m'intéresser à leurs jeux. Je fus assez souvent assise auprès d'Horace, Quoiqu'il m'ait fait rougir un peu. J'aimais à répéter les chansons de Chaulieu, Et souris à l'esprit d'Ovide. Je cadençai les vers du sensible Quinault. Aux bords de l'Eridan je pris un vol plus haut: Le Tasse eut mes crayons, quand il peignit Armide. Deux Poètes surtout, deux chantres adorés, De mes dons les plus beaux se virent honorés. De grâce et de douceur je composai leur style. Au bûcher de Didon je transportai Virgile. Dans ce tableau funeste il épuisa mon art; Moi-même de mes pleurs, j'arrosai le poignard. Je le remis depuis dans, les mains de Racine ; Erato fut sa muse, et ma faveur divine En a fait mon élève, en a fait pour toujours Le poète du coeur, le peintre des amours. C'est au seul Apollon, ou bien à Melpomène D'assigner à leur gré la palme de la scène. Je ne décide point ; mais si l'on croit enfin Ce sexe, de l'amour le Juge souverain, Qui doit au sentiment et ses droits et ses charmes, Si l'on en croit ses yeux embellis par les larmes ; À tous mes titres les plus doux, Voltaire en joignit un qui les surpasse tous, Il fut porter plus loin les talents que j'inspire, Et pour qui sait aimer, mon chef-d'oeuvre est Zaïre."")",0.2,Substitution
29,"('#melpomene', 'Mes soeurs, je suis Clymène.')",,1.0,Insertion
30,"('#thalie', 'Et moi, je suis Acanthe.')",,1.0,Insertion
31,"('#apollon', 'Fort bien nous écoutons remplissez notre attente.')",,1.0,Insertion
32,"('#climene', ""Acanthe, vous perdez votre temps et vos soins. Voulez-vous qu'on vous aime, aimez-nous un peu moins. Otez ce mot d'amour, c'est ce qu'on vous conseille."")",,1.0,Insertion
33,"('#acanthe', ""Que je l'ôte ! Est-il rien de si doux à l'oreille ? Quoi ! De vous adorer Acanthe cesserait ! Contre sa passion il vous obéirait ! Ah ! Laissez-lui du moins son tourment pour salaire. Suis-je si dangereux ? Hélas! non ; si j'espère, Ce n'est plus d'être aimé ; tant d'heur ne m'est point dû : Je l'avais jusqu'ici follement prétendu. Mourir en vous aimant est toute mon envie :  Mon amour m'est plus cher mille fois que la vie. Laissez-moi mon amour, Madame, au nom des dieux."")","('#uranie', ""Ce titre est assez beau ; mais, soit dit entre nous, Croyez-vous donc que Melpomène Ne le réclame pas sur vous ? Pour moi, je ne suis pas si vaine, Et l'austère Uranie aime peu les débats. J'ai mes droits comme une autre, et ne veux rien prétendre. Dans vos rivalités, dans tous ces vains éclats, Je ne veux point me faire entendre. C'est bien assez pour moi, parmi mes favoris, D'avoir jadis compté Voltaire; C'est assez que lui seul, de tant de grands esprits,, De vos dons séduisants et de vos arts épris, Ait pénétré mon sanctuaire. Je marchai, je l'avoue, au devant de ses pas ; J'osai me présenter devant l'auteur d'Alzire , Et je plaçai près de sa lyre Mon astrolabe et mon compas. J'ouvris à ses regards les sphères infinies. Il rencontra Newton dans les hauteurs des Cieux. C'est moi qui rapprochai ces deux vastes génies, Ils s'entretinrent sous mes yeux. J'obtins ma juste récompense. Heureux, d'avoir appris mes immortels secrets, Voltaire à mes leçons prêta son éloquence, Et m'embellit de ses attraits. J'empruntai de ses vers la parure pompeuse. Je parus, étalant des vêtements nouveaux, Et gardant, sous les traits dont m'ornaient ses pinceaux, Une beauté majestueuse. Je ne dus qu'à lui seul ces brillants attribut ; C'est par lui que la Poésie Fit entendre des sons aux mortels inconnus, Et que le voile d'Uranie Devint l'écharpe de Vénus. C'est de ce jour aussi que l'âme de Voltaire S'enflamma pour la vérité ; Et vos illusions, si bien faites pour plaire, N'en effacèrent point la sévère beauté. Il poursuivit Terreur, ce tyran de la terre, Le fanatisme affreux*, par Terreur enfanté Et le malheur et l'innocence Imploraient son génie en leur faveur armée Sa voix osait parler à l'injuste puissance, Et devant l'univers plaidait pour l'opprimé. Grâces à son zèle intrépide, L'esprit des nations, trop longtemps arrêté, A pris un mouvement rapide, Que suivra la postérité. Voilà, voilà, ma soeur, des titres respectables ; Je les rappelle ici sans nulle vanité. Contente de l'utilité, À vos fictions agréables Je ne dispute point leur charme si vanté. Ce n'est pas au pays des fables, Qu'on couronne la vérité. Mais j'aperçois Thalie, et toujours prête à rire."")",0.11,Substitution
34,"('#climene', 'Toujours ce mot ! Toujours !')",,1.0,Insertion
35,"('#acanthe', ""Vous est-il odieux ? Que de belles voudraient n'en entendre point d'autre ! Il charme également votre sexe et le nôtre : Seule vous le fuyez ; mais ne s'est-il point vu Quelque temps où peut-être il vous a moins déplu ?"")",,1.0,Insertion
36,"('#climene', ""L'amour, je le confesse, a traversé ma vie :  C'est ce qui, malgré moi, me rend son ennemie. Après un tel aveu, je ne vous dirai pas Que votre passion est pour moi sans appas, Et que d'aucun plaisir je ne me sens touchée Lorsqu'à tant de respect je la vois attachée. Aussi peu vous dirai-je, Acanthe, écoutez bien, Que par vos qualités vous ne méritez rien ; Je les sais, je les vois, j'y trouve de quoi plaire : Que sert-il d'affecter le titre de sévère ? Je ne me vante pas d'être sage à ce point, Qu'un mérite amoureux ne m'embarrasse point. Vouloir bannir l'amour, le condamner, s'en plaindre, Ce n'est pas le haïr, Acanthe, c'est le craindre. Des plus sauvages coeurs il flatte le désir. Vous ne l'ôterez point sans m'ôter du plaisir : Nous y perdrons tous deux quand je vous le conseille, Je me fais violence, et prête encor l'oreille. Ce mot renferme en soi je ne sais quoi de doux, Un son qui ne déplaît à pas une de nous ; Mais trop de mal le suit."")","('#thalie', ""Mais je ris volontiers, et c'est assez mon goût ? Les ris, vous le savez, sont nés sous mon empire. La mode, il est vrai, passe, et le temps change tout : On veut me les ôter ; mais vous, par aventure, Étiez-vous toutes deux en contestation Sur le message de Mercure ? Vous parliez avec action. Je ne présume pas, ou je suis fort trompée, Que tout l'art d'Apollon puisse vous accorder. Calliope et Clio, l'Histoire et l'Épopée, Ne font pas d'humeur à céder. Ce n'est pas tout encor, mes soeurs, et Melpomène ? Je crois déjà la voir et l'entendre tonner. Oh ! Vous verrez la bonne scène Que ces débats vont nous donner. Je cherche à m'amuser de tout ce qui se passe ; J'observe et me tiens à l'écart. Le Burin, la Trompette et surtout le Poignard, Vont diviser tout le Parnasse."")",0.0,Match
37,"('#acanthe', ""Je m'en charge, Madame : Ce mal est pour moi seul; j'en garantis votre âme."")",,1.0,Insertion
38,"('#climene', ""Qui vous croirait, Acanthe, aurait un bon garant. Mais non, je connais trop qu'Amour n'est qu'un tyran, Un ennemi public, un démon, pour mieux dire."")",,1.0,Insertion
39,"('#acanthe', ""Il ne l'est pas pour vous, cela vous doit suffire : Jamais il ne vous peut avoir causé d'ennui : Vous en prenez un autre assurément pour lui. S'il a quelques douceurs, elles sont pour les belles, Et pour nous les soucis et les peines cruelles. Vous n'éprouvez jamais ni dédain ni froideur : Quant à nous, c'est souvent le prix de notre ardeur. Trop de zèle nous nuit."")","('#uranie', 'La paisible Thalie y prendra peu de part.')",1.59,Substitution
40,"('#climene', ""Et pourquoi donc, Acanthe, Ne modérez-vous pas cette ardeur violente ? Aimez-vous mieux souffrir contre mon propre gré, Que si, m'obéissant, vous étiez bien traité ? Je vous rendrais heureux."")",,1.0,Insertion
41,"('#acanthe', ""Selon votre manière, Du bonheur d'un ami, d'un parent ou d'un frère ; Que sais-je ? De chacun : car vous savez qu'on peut Faire ainsi des heureux autant que l'on en veut."")","('#thalie', ""Je me rends justice sans peine, Il faut que chacun ait son tour. Ce fut jadis le mien : j'ai régné sur la scène; Mais votre grand Voltaire à ma soeur Melpomène A fait assidûment sa cour. Ce fut par passe-temps qu'il me rendit visite. Je n'en rendrai pas moins hommage à son mérite. J'aime ses Euphémons ; je leur applaudis fort, Et mon ami Préville est charmant dans Friport. Je conserve ses ces fruits de sa plume immortelle. Je conviens qu'avant moi d'autres doivent passer ; Je vous laisse briguer la place la plus belle ; Mais, Nanine à la main, je prétends l'embrasser."")",0.68,Substitution
42,"('#climene', ""Non, non, j'aurais pour vous beaucoup plus de tendresse. Vous verriez à quel point Clymène s'intéresse Pour tout ce qui vous touche."")","('#erato', ""Je cours près d'Apollon me ranger la première ; C'est à lui seul de nous juger. Elle sort."")",1.54,Substitution
43,"('#acanthe', 'Et pour moi-même aussi ?')","('#uranie', ""Mais, je vais m'informer de notre Messager. Adieu, Thalie. Elle sort."")",1.57,Substitution
44,"('#climene', 'Quelle distinction mettez-vous en ceci ?')",,1.0,Insertion
45,"('#acanthe', ""Très grande. Mais laissons à part la différence Aussi bien je craindrais de commettre une offense, Si j'avais entrepris de prouver contre vous Qu'autre chose est d'aimer nos qualités ou nous. Je vous dirai pourtant que mon amour extrême A pour premier objet votre personne même : Tout m'en semble charmant ; elle est telle qu'il faut. Mais, pour vos qualités, j'y trouve du défaut."")","('#thalie', ""On vient. À sa démarche altière, Je reconnais Calliope ma soeur. Élie a l'air d'avoir de l'humeur. Clio la suit, et moi, pour achever la scène, Je m'en vais chercher Melpomène, Les mettre aux prises toutes trois. Je ne sais pas pourquoi je ris de leurs querelles ; Car si j'avais les mêmes droits, Ma foi, j'en ferais autant qu'elles."")",0.31,Substitution
46,"('#climene', ""Dites-nous quel il est, afin qu'on s'en corrige."")",,1.0,Insertion
47,"('#acanthe', ""Vous n'aimez point l'Amour ; vous le haïssez, dis-je ; Ce dieu près de votre âme a perdu tout crédit."")",,1.0,Insertion
48,"('#climene', ""Je ne hais point l'Amour, je vous l'ai déjà dit : Je le crains seulement, et serais plus contente Si vous vouliez changer votre ardeur véhémente, En faire une amitié, quelque chose entre deux ; Un peu plus que ce n'est quand un coeur est sans feux, Moins aussi que l'état où le vôtre se trouve."")",,1.0,Insertion
49,"('#acanthe', ""Tout de bon, voulez-vous que j'en fasse l'épreuve ? Que demain j'aime moins, et moins le jour d'après, Diminuant toujours, encor que vos attraits Augmentent en pouvoir ? Le voulez-vous, Madame?"")","('#calliope', ""Eh ! Quoi ? Dans ce grand jour, vous pensez précéder  La Muse de Virgile et du Tasse et d'Homère ? Ce serait à moi de céder ! Sur le Pinde toujours j'ai marché la première,"")",0.77,Substitution
50,"('#climene', ""Oui, puisque je l'ai dit."")",,1.0,Insertion
51,"('#acanthe', ""L'avez-vous dit dans l'âme ?"")",,1.0,Insertion
52,"('#climene', 'Il faut bien.')",,1.0,Insertion
53,"('#acanthe', 'Songez-y ; voyez si votre esprit Pourra voir ce déchet sans un secret dépit. Peu de femmes feraient des voeux pareils aux vôtres.')",,1.0,Insertion
54,"('#climene', ""Acanthe, je suis femme aussi bien que les autres ; Mais je connais l'Amour, c'est assez : j'ai raison D'en combattre en mon coeur l'agréable poison. Voulez-vous procurer tant de mal à Clymène ? Vous l'aimez, dites-vous, et vous cherchez sa peine ! N'allez point m'alléguer que c'est plaisir pour nous. Loin, bien loin tels plaisirs ; le repos est plus doux / Mon coeur s'en défendra ; je vous permets de croire Que je remporterai malgré moi la victoire."")","('#clio', ""Vous l'avez prétendu; mais cette primauté Pourrait bien être une chimère, Et la loi de l'égalité Doit paraître plus sage et nous être plus chère/ Les arts font frères et rivaux : Éclairer les humains et consoler la terre, Voilà le but de leurs travaux, Et cet auguste emploi les a faits tous égaux. Leur émulation s'excite Par la diversité des goûts et des esprits. Tel préfère les pleurs, et tel autre les ris ; L'un vit avec Homère et l'autre avec Tacite. Les mortels occupés du sort des nations, S'amusent des accents de votre voix brillante, Mais ils ont pour objet d'une étude constante, Mes solides instructions."")",0.19,Substitution
55,"('#apollon', 'Voilà du pathétique assez pour le présent : Sur le même sujet donnez-nous du plaisant.')","('#calliope', ""C'est moi qui de Voltaire illustrai le jeune âge."")",1.52,Substitution
56,"('#melpomene', 'Qui ferons-nous parler?')",,1.0,Insertion
57,"('#apollon', 'Acanthe et sa maîtresse.')","('#clio', 'Il courtisa Clio dans sa maturité,')",1.53,Substitution
58,"('#melpomene', ""Sire, il faudrait avoir pour cela plus d'adresse. Rendre Acanthe plaisant ! C'est un trop grand dessein."")","('#calliope', ""Le chantre de Henri, dont je dictai l'ouvrage, Me dut ses premiers droits à l'immortalité. De cet éclat naissant la France fut frappée ; À ses titres d'honneur il manquait l'épopée. On fit ce seul reproche au siècle de Louis ; Et Voltaire, à vingt ans, en vengea son pays."")",1.33,Substitution
59,"('#apollon', ""II est fou ; c'est déjà la moitié du chemin."")",,1.0,Insertion
60,"('#thalie', ""Mais il est dans l'excès."")",,1.0,Insertion
61,"('#apollon', ""Tant mieux ; j'en suis fort aise, Nous le demandons tel je ne vois rien qui plaise, En matière d'amour, comme les gens outrés. Mille exemples pourraient vous en être montrés."")","('#clio', ""De ce siècle fameux je lui traçai l'histoire ; J'ordonnai sous ses mains cet immense tableau. Je broyai les couleurs qu'employa son pinceau. Aux Courtisans de la Victoire, Il montra ce Héros, l'épouvante du Nord, Et dont le nom rappelle au temple de Mémoire, Toutes les faveurs de la gloire, Et tous les outrages du sort. / Là, j'ai de mon Burin signalé l'énergie ; Moi-même j'ai placé ces chefs-d'oeuvres nouveaux, Près des monuments les plus beaux De la Grèce et de l'Italie. Il en est un où l'avenir Doit reconnaître encore une main plus robuste Quand Voltaire éleva cet édifice auguste, Il bâtit sans modèle, et dût seul en servir. Là, tous les peuples de la terre, Sont à mon tribunal par sa voix appelés ; Il fixe sous ses yeux les siècles écoulés, Interroge leur caractère, Les crimes du pouvoir et les erreurs des lois ; Partout, il cherche l'homme, et lui rend tous ses droits ; Partout, des oppresseurs il brise la statue, Et relevant avec grandeur L'humanité sacrée, à leur pieds abattue, Comme il en est le peintre, il en est le vengeur,"")",0.82,Substitution
62,"('#melpomene', ""Nous obéissons donc. Tu te souviens, Thalie, D'un matin où Clymène, en son lit endormie, Fut, au bruit d'un soupir, éveillée en sursaut, Et se mit contre Acanthe en colère aussitôt, Sans le voir, croyant même avoir fermé la porte. Mais qui pouvait, que lui, soupirer de la sorte ? Vraiment vous l'entendez, avecque vos hélas, Dit la belle ; apprenez à soupirer plus bas. Il eut beau s'excuser sur l'ardeur de son zèle. Une forge ferait moins de bruit, reprit-elle, Que votre coeur n'en fait ce sont tous ses plaisirs. Si je tourne le pied, matière de soupirs. Je ne vous vois jamais qu'en un chagrin extrême : C'est bien pour m'obliger à vous aimer de même."")","('#calliope', ""Moi, dans des vers divins, j'ai consacré l'image Du Roi le plus cher aux Français, Sujet le plus heureux du plus heureux ouvrage. Voltaire n'a point eu de plus brillant succès. J'abjurai pour lui seul ces fictions antiques, Dont la Grèce emprunta le charme de ses vers ; De ces mensonges poétiques Ma voix assez longtemps amusa l'univers. Le Chantre de Henri dut plaire sans la fable ; L'Épopée eut alors de plus mâles attraits, Et pour un héros véritable Employa des crayons plus vrais. Ce n'est plus cet Achille, armé par un Dieu-même, Achille invulnérable, écrasant les mortels ; C'est un Roi bienfaisant, dont les soins paternels Nourrissent des sujets qu'il combat et qu'il aime. Voltaire éternisa ce triomphe suprême. Ô Henri ! Désormais ensemble confondus, Et ton nom et le sien iront, malgré l'envie, De la postérité recevoir les tributs ; On adorera son génie Aussi longtemps que tes vertus. On dira qu'à lui seul j'ai remis ma trompette. Cet unique bienfait l'emporte sur vos droits, Autant que le Héros qu'a chanté mon poète, L'emporta sur les autres Rois. Vous ne répondez rien... Mais voici Melpomène."")",0.53,Substitution
63,"('#acanthe', 'Je ne le prétends pas.')",,1.0,Insertion
64,"('#climene', 'Seyez-vous sur ce lit.')",,1.0,Insertion
65,"('#acanthe', 'Moi!')",,1.0,Insertion
66,"('#climene', 'Vous, sans répliquer.')",,1.0,Insertion
67,"('#acanthe', 'Souffrez...')",,1.0,Insertion
68,"('#climene', ""C'est assez dit. Là ; je vous veux voir là."")",,1.0,Insertion
69,"('#acanthe', 'Madame...')",,1.0,Insertion
70,"('#climene', ""Là, vous dis-je. Voyez qu'il a de mal ! Sa maîtresse l'oblige À s'asseoir sur un lit quelle peine pour lui ! Savez-vous ce que c'est ? Je veux rire aujourd'hui. Point de discours plaintifs : bannissez, je vous prie, Ces soupirs à la voix du sommeil ennemie ; Témoignez, s'il se peut, votre amour autrement. Mais que veut cette main qui s'en vient brusquement?"")","('#melpomene', ""Qu'ai-je entendu, mes soeurs? Est-il vrai qu'aujourd'hui Par une rivalité vaine, On me dispute un droit dont je me crus certaine, Et la seule douceur qui reste à mon ennui ? C'était donc peu des pleurs qu'il m'a fallu répandre. Au tombeau de Le Kain, objet de ma douleur ! J'ai dans la même tombe à la fois vu descendre, Et mon poète et mon acteur. J'ai perdu de mon' art le modèle suprême. Voltaire, hélas, n'est plus! Et quand je pense au moins À son ombre, en ces lieux, rendre mes derniers soins, Et devant Apollon le conduire moi-même, De tout ce que j'ai fait on veut m'ôter le prix ! Je souffrirai qu'une autre à ses honneurs préside ! Qu'une autre enfin serve de guide Au plus grand de mes favoris ? Et sur quoi fondez-vous l'orgueil qui vous enivre ?"")",0.38,Substitution
71,"('#acanthe', ""C'est pour vous obéir, et témoigner mon zèle."")",,1.0,Insertion
72,"('#climene', ""L'obéissance en est un peu trop ponctuelle ; Nous vous en dispensons : Acanthe, soyez coi. Si bien donc que votre âme est tout en feu pour moi ?"")",,1.0,Insertion
73,"('#acanthe', 'Tout en feu.')",,1.0,Insertion
74,"('#climene', ""Vous n'avez ni cesse ni relâche ?"")",,1.0,Insertion
75,"('#acanthe', 'Aucune.')","('#calliope', 'Je chante les Héros.')",1.46,Substitution
76,"('#climene', 'Toujours pleurs, soupirs comme à la tâche ?')",,1.0,Insertion
77,"('#acanthe', 'Toujours soupirs et pleurs.')",,1.0,Insertion
78,"('#climene', ""J'en veux avoir pitié Allez, je vous promets."")","('#clio', ""Moi, j'enseigne à les suivre."")",1.55,Substitution
79,"('#acanthe', 'Et quoi !')",,1.0,Insertion
80,"('#climene', ""De l'amitié."")",,1.0,Insertion
81,"('#acanthe', ""Ah ! Madame, faut-il railler d'un misérable !"")",,1.0,Insertion
82,"('#climene', ""Vous reprenez toujours votre ton lamentable. Oui, je vous veux aimer d'amitié malgré vous ; Mais si sensiblement, que je n'aie, entre nous, De là jusqu'à l'amour rien qu'un seul pas à faire."")","('#melpomene', ""Melpomène les fait revivre. Né pour m'appartenir, de mon art enchanteur, Voltaire, au premier pas, atteignit la hauteur; Et prompt à s'élancer loin des bornes prescrites, Recula de cet art les antiques limites. Le Théâtre, agrandi sous son brillant pinceau, Offrit des Nations le mobile tableau, Fit passer sous les yeux les rapides images Des préjugés, des moeurs, des lois et des usages. Le coeur toujours ému, de plaisir transporté, S'ouvrant au sentiment, reçut la vérité. Ainsi des passions que le théâtre exprime, Voltaire sut tirer la morale sublime ; Et ne se bornant à de stériles pleurs. Attendrit les humains pour les rendre meilleurs. Quelles hautes leçons donna l'époux d'Alzire, Séïde, au nom du ciel assassinant Zopire ! Et sous quelles couleurs il a représenté Ce Mahomet sublime en son atrocité ! Combien a de mon art signalé la magie, Ce chef-d'oeuvre effrayant d'horreur et d'énergie! Que ne puis-je à vos yeux offrir ici, mes soeurs, La scène qu'animaient ses talents créateurs ! Que de Zaïre, ô ciel! La voix avait de charmes ! Que Mérope et son fils ont fait verser de larmes ! C'est peu de raconter ; non, mes soeurs, venez voir Aménaïde en pleurs, Tancrède au désespoir, Au tombeau de Nihus, Sémiramis mourante, Ninias et le fer que tient fa main sanglante, Idamé prosternée aux genoux de Gengis , Et Brutus ordonnant le trépas de son fils, Vendôme ivre d'amour et forcené de rage, \\ Et Zamore si grand dans' fa fureur sauvage. Voyez à ce spectacle un peuple rassemblé, A la voix du poète incessamment troublé; Voyez les mouvements de cette foule immense; Entendez les sanglots sortir d'un long silence, Et l'amour, la pitié, la joie et les douleurs, Ne formant qu'un seul cri du cri de tous les coeurs ; C'est là, si vous l'osez, mes soeurs, qu'il faut vous rendre ; Et s'il est vrai qu'au prix que je dois remporter, Vous puissiez encore prétendre, C'est là qu'il faut le disputer."")",0.88,Substitution
83,"('#acanthe', 'Et quand le ferez-vous ce pas si nécessaire ?')",,1.0,Insertion
84,"('#climene', 'Jamais.')",,1.0,Insertion
85,"('#acanthe', ""Reprenez donc l'offre de votre coeur."")",,1.0,Insertion
86,"('#climene', ""Vous en aurez regret ; il a de la douceur. Vous feriez beaucoup mieux d'éprouver ses largesses. Je baise mes amis, je leur fais cent caresses : À l'égard des amants, tout leur est refusé."")","('#clio', 'Vous avez vaincu, Melpomène, Je ne saurais vous résister.')",1.03,Substitution
87,"('#acanthe', 'Je ne veux point du tout, Madame, être baisé. Vous riez ?')",,1.0,Insertion
88,"('#climene', ""Le moyen de s'empêcher de rire ! On veut baiser Acanthe ; Acanthe se retire."")",,1.0,Insertion
89,"('#acanthe', 'Et le pourriez-vous voir traiter de son amour Pour un simple baiser, souvent froid, toujours court ?')",,1.0,Insertion
90,"('#climene', 'On redouble en ce cas.')",,1.0,Insertion
91,"('#acanthe', ""Oui, d'autres que Climène."")",,1.0,Insertion
92,"('#climene', 'Éprouvez-le.')",,1.0,Insertion
93,"('#acanthe', 'De quoi vous mettez vous en peine ?')",,1.0,Insertion
94,"('#climene', 'Moi ? de rien.')",,1.0,Insertion
95,"('#acanthe', ""Cependant je vois qu'en votre esprit Le refus de vos dons jette un secret dépit."")",,1.0,Insertion
