la-fontaine-daphne,voltaire-pandore,Score
"('#momus', ""D'où vient que si mal assortie Cette belle a fait choix d'un vieillard pour amant ?"")",-,0.0
"('#amour', ""C'est l'effet merveilleux d'un secret sentiment Que j'appelle sympathie."")",-,0.0
"('#venus', ""Le démon opposé n'a pas moins de pouvoir. Souvent nous haïssons ce qui devrait nous plaire."")",-,0.0
"('#jupiter', ""Tel dieu sait l'avenir, qui n'a pas su prévoir Quels maux ce démon lui va faire. Mais un jour un prince viendra Qui plaira plus qu'il ne voudra. Le Destin parmi nous lui garde un rang insigne, Et je lui veux accorder, Afin qu'il en soit plus digne, L'art de savoir commander. Mars lui promet en apanage La grandeur d'âme et de courage."")",-,0.0
"('#minerve', 'Moi, la vertu.')",-,0.0
"('#venus', ""Moi, l'agrément."")",-,0.0
"('#amour', ""Et moi le don d'aimer et d'être heureux amant."")",-,0.0
"('#venus #l-amour #minerve', ""Amour et la Raison s'accorderont pour faire Qu'aux coeurs comme aux esprits ce prince plaise un jour"")",-,0.0
"('#choeur', 'Heureux qui par raison doit plaire ! Plus heureux qui plaît par amour !')",-,0.0
"('#chloris #aminte #nymphes', ""Allons dans cette prairie : C'est un tranquille séjour ; Jamais les larmes d'amour N'y baignent l'herbe fleurie ; Les moutons y sont en paix, Et les loups n'y font jamais D'outrage à la bergerie."")",-,0.0
"('#chloris', 'Viens, ma soeur.')",-,0.0
"('#aminte', 'Je te suis.')",-,0.0
"('#chloris', ""Viens goûter une vie Dont le calme est digne d'envie. Notre Nymphe a banni de ces lieux si charmants Ce peuple d'importuns que l'on appelle amants. La voici."")",-,0.0
"('#aminte', ""Que d'appas, de beautés, et de grâces ! Dirait-on pas que l'air s'embellit à ses traces ?"")",-,0.0
"('#daphne', ""Amour, n'approche point de nos ombrages doux, De nos prés, de nos fontaines ; Laisse en repos ces lieux ; assez d'autres que nous Se feront un plaisir de connaître tes peines."")",-,0.0
"('#daphne', ""Chloris, n'est-ce pas la ta soeur que tu m'amènes ?"")",-,0.0
"('#chloris', 'Je vous la viens offrir. Nous cherchions en ces lieux Ce que Flore a pour vous de dons plus précieux.')",-,0.0
"('#daphne', ""Cherchons, cherchons des fleurs ; l'âge nous y convie : Parons-nous de bouquets pendant notre printemps : Les plaisirs ont chacun leur temps, Comme les saisons de la vie Daphné, ayant achevé ces paroles, se baisse pour cueillir des fleurs, et les Nymphes de la suite en font autant ; pendant quoi un choeur de bergers, demeuré par respect derrière le théâtre, répète ces mots."")",-,0.0
"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie.')",-,0.0
"('#daphne', ""J'entends de nos bergers le concert plein d'appas. Qu'ils chantent, je le veux, mais qu'ils n'approchent pas."")",-,0.0
"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie Il en renaît sous ses pas.')",-,0.0
"('#daphne', 'Déployons nos trésors.')",-,0.0
"('#chloris', ""J'ai cueilli les plus belles."")",-,0.0
"('#aminte', 'Et moi, les plus nouvelles.')",-,0.0
"('#meroe', 'Moi, les plus vives en couleur.')",-,0.0
"('#daphne', ""Et vous ? Quel mauvais choix vous avez fait, ma soeur ! Vous nous direz, pour votre peine, Une chanson contre l'Amour. Cependant je veux que ma Cour Jure de lui porter une éternelle haine ; Jurez la première, Clymène !"")",-,0.0
"('#clymene', ""Tout serment De n'avoir jamais d'amant Est chose fort incertaine ; Il en est peu que l'on tienne Plus d'un jour, plus d'un moment : Tout serment De n'avoir jamais d'amant Est chose fort incertaine."")",-,0.0
"('#daphne', 'Je veux que vous juriez ; dites donc après moi : Amour,')",-,0.0
"('#clymene', 'Amour,')",-,0.0
"('#daphne', 'Si jamais sous ta loi Je respire,')",-,0.0
"('#clymene', 'Si jamais sous ta loi Je respire,')",-,0.0
"('#daphne', 'Je consens de mourir.')",-,0.0
"('#clymene', ""Mourir ? c'est beaucoup dire."")",-,0.0
"('#daphne', 'Je consens de mourir, si jamais je soupire.')",-,0.0
"('#clymene', 'Je consens de mourir, si jamais je soupire.')",-,0.0
"('#daphne', 'Clymène, acquittez-vous ; accompagnons ses sons, Et que nos pas animent nos chansons. Daphné et les personnes de sa suite se prennent alors par la main, et Clymène chante cette gavotte que toute la troupe danse, la répétant après elle : ')",-,0.0
"('#clymene', ""L'autre jour sur l'herbe tendre Je m'assis près de Philandre : Il me conta ses tourments ; Ma mère alors me querelle. « Petite fille, dit-elle, N'écoutez point les amants. Ils sont indiscrets, volages, Téméraires, et peu sages ; Ils font mille faux serments : Ils sont jaloux, ils sont traîtres, Et tyrans quand ils sont maîtres, N'écoutez point les amants. » Écoutez ma chansonnette, Et l'écho qui la répète, Et ces rossignols charmants : Leur musique est sans pareille ; Mais ne prêtez point l'oreille Au ramage des amants."")",-,0.0
"('#daphne', 'Méroé, poursuivez nos divertissements.')",-,0.0
"('#meroe', ""J'ai vu le temps qu'une jeune fillette Pouvait, sans peur, aller au bois seulette. Maintenant, maintenant les bergers sont loups : Je vous dis, je vous dis : « Filles, gardez-vous. »"")",-,0.0
"('#apollon', ""Voici Tempé, cette vallée Dont on vante partout l'ombrage et les beautés ; Et voilà les flots argentés Qu'y fait couler le dieu Penée. Plus loin vers ces sommets mon empire s'étend. N'y veux-tu pas venir, Momus ? On nous attend."")",-,0.0
"('#momus', ""Demeurons encore où nous sommes : Ai-je pu voir en un instant Toutes les sottises des hommes ? Par vos puissants efforts, invincible Apollon, On ne craint plus ici les fureurs de Python. Les habitants de ces rivages DeVÉNUS plus heureux, n'en seront pas plus sages : Le temps de la sottise est celui du bonheur."")",-,0.0
"('#apollon', 'Mais que dis-tu de ma victoire ?')",-,0.0
"('#momus', ""Elle vous a comblé d'honneur, Et rien n'égale votre gloire."")",-,0.0
"('#apollon', ""Que le fils de VÉNUS cesse de se vanter Qu'ainsi que nous il sait porter Un carquois, un arc, et des flèches ; C'est un enfant qui fait des brèches Dans les coeurs aisés à dompter. Il remporte toujours des victoires faciles ; Je défais des serpents qui dépeuplent des villes."")",-,0.0
"('#momus', ""Vous méprisez celui qui tient tout sous sa loi. Si l'Amour vous entend ?"")",-,0.0
"('#apollon', 'Et que crains-tu pour moi ?')",-,0.0
"('#momus', ""Parlez bas, c'est un dieu ; s'il venait à paraître ?"")",-,0.0
"('#apollon', ""Un dieu ! c'est un enfant : quitte ce vain souci."")",-,0.0
"('#momus', 'Qui donne à Jupiter un maître, Vous en pourrait donner aussi.')",-,0.0
"('#cupidon', ""Quel est l'orgueilleux qui me brave ? Quel téméraire ose attaquer l'Amour ? Ah ! je vous reconnais : vous serez mon esclave Avant la fin du jour. Ces paroles dites, Cupidon s'en revole dans les airs. "")",-,0.0
"('#momus', ""Que cet enfant est fier ! Voyez comme il menace ! Ne le prendrait-on pas pour l'aîné des Titans ? Je plains le dompteur de serpents ; Il ne fait pas sûr en sa place. Tandis que Momus dit ces paroles, Daphné avec ses compagnes, par une curiosité de jeunes filles, avance un peu la tête sur le théâtre, et fait quelques pas dans la scène pour voir ces deux étrangers. Apollon la voit un moment ; aussitôt l'Amour, qui est demeuré dans l'air, fait son coup, et Daphné avec sa troupe s'enfuit encore une fois."")",-,0.0
"('#apollon', ""Ah ! Qu'ai je vu, Momus ! Que de traits éclatants ! Que de jeunesse, que de grâce !"")",-,0.0
"('#momus', 'Elle fuit.')",-,0.0
"('#apollon', 'Mille amours avec elle ont paru.')",-,0.0
"('#momus', ""Mille amours ? C'est beaucoup ; je n'en ai pas tant vu. Vous aimez ; vous voyez d'un autre oeil que le nôtre : De quelques qualités qu'un objet soit pourvu, L'amant y voit toujours ou plus_ou_moins qu'un autre."")",-,0.0
"('#apollon', ""Déesse, tu me fuis ? T'ai-je déjà déplu ? C'est pourtant Apollon qui t'aime, qui t'adore. Je n'en puis plus, je sens un feu qui me dévore : Reviens, charmant objet ! Et vous, Olympe, cieux, Je vous dis d'éternels adieux ; Je vous méprise, je vous laisse : Qu'êtes-vous près de ma déesse ? Tout votre éclat vaut-il un seul trait de ses yeux ? Ne la verrai-je plus ? Faut-il que cette belle Emporte mes plaisirs et mon coeur avec elle ? Demeurons sur ces bords, je ne les puis laisser."")",-,0.0
"('#momus', 'Passerons-nous pour dieux ?')",-,0.0
"('#apollon', 'Et pour qui donc passer')",-,0.0
"('#momus', ""Pour mortels, car les dieux, par leur grandeur suprême Ne font souvent qu'embarrasser : On les craint plus qu'on ne les aime. Les vrais amants doivent toujours Sous un maître commun vivre d'égale sorte : Ou monarques ou dieux, n'entrez chez vos amours Qu'après avoir laissé vos grandeurs à la porte"")",-,0.0
"('#apollon', ""Je te croirai ; changeons de nom : Je m'appelle Tharsis, satrape de Lycie."")",-,0.0
"('#momus', ""Et moi, son suivant Télamon Que si sur mon chemin quelque Nymphe jolie Se rencontre en passant, je prétends bien aussi La cajoler, m'approcher d'elle, Non pas en amoureux transi : Je vous veux servir de modèle Et cependant, allons conquérir votre belle."")",-,0.0
"('#venus', ""Qu'est devenu mon fils ? Mortels, le savez-vous ? Je souffre, je languis, je meurs en son absence : Si l'Amour ne me suit, rien ne me semble doux. Heureux les lieux qu'anime sa présence ! Heureux tout l'Univers qui me doit sa naissance ! Qu'est devenu l'Amour ? Échos, le savez-vous ? Quel nouveau coeur aujourd'hui de ses coups Éprouve la puissance ? Qu'est devenu l'Amour ? Échos, le savez-vous ? Je souffre, je languis, je meurs en son absence. Ce récit fait, l'Amour se vient jeter dans le giron de sa mère."")",-,0.0
"('#venus', ""Ah ! Mon fils, d'où viens-tu ?"")",-,0.0
"('#amour', ""De blesser Apollon. Je l'ai rendu pour Daphné tout de flamme ; Tandis qu'un autre trait, par un autre poison, Fait que pour lui Daphné n'a que haine dans l'âme."")",-,0.0
"('#venus', ""Amour, tu sais dompter les coeurs et les esprits. Que la terre et les cieux célèbrent de mon fils La dernière victoire ! Mortels et dieux, chantez sa gloire. Allez de toutes parts, courez, Amours et Ris ; Faites connaître de mon fils Le doux et le suprême empire : Ne laissez rien qui ne soupire. Allez de toutes parts, courez, Amours et Jeux ; Rendez l'Univers amoureux Aux dieux et aux hommes : Pour obéir à ce commandement de Vénus, on chante et on danse sur la terre, et dans la gloire, qui est au fond du théâtre : sur la terre, des personnes de toutes conditions, et dans la gloire, des enfants qui représentent les Amours, les Jeux et les Ris. La danse achevée, Vénus, dont le char est entouré d'enfants chante ces paroles : "")",-,0.0
"('#penee', 'Dieux tributaires de mon onde, Je veux, par les beautés de ce moite séjour, Arrêter quelque temps deux princes à ma Cour ; Que votre zèle me seconde !')",-,0.0
"('#fleuves', 'Commandez.')",-,0.0
"('#penee', ""Que le Sort vous a rendus heureux ! Hyménée et l'Amour fréquentent vos rivages : Vos grottes quelquefois leur prêtent des ombrages : Ces dieux me méprisent tous deux."")",-,0.0
"('#apidame', ""Laissez agir le temps ; il peut tout auprès d'eux. A peine a-t-il encor fait passer la princesse Des appas de l'enfance à ceux de la jeunesse : Deux soleils ont à peine éclairé son printemps."")",-,0.0
"('#penee', 'Combien de coeurs depuis ce temps Ont en vain soupiré pour elle ! Ah ! si Tharsis pouvait la rendre moins cruelle !')",-,0.0
"('#sperchee', 'Consultez la Sibylle Ismèle : Les dieux peut-être par sa voix Obligeront Daphné de suivre votre choix')",-,0.0
"('#penee', ""Hélas ! Jamais Daphné n'aimera que les bois."")",-,0.0
"('#amphrise', ""Ces plaisirs passeront : tout passe dans la vie ; De différents désirs elle est entre-suivie ; On y change d'humeur, on y change d'envie ; On y veut goûter de tout. Le plus libre enfin se lie ; Tôt ou tard on s'y résout."")",-,0.0
"('#apidame', ""Il faut peu pour changer ces âmes si sévères ; L'exemple à ce doux noeud les amène toujours. Des bergers chantant leurs amours, Dans les bras de l'hymen voir mener des bergères, Et leurs folâtres jeux sur les vertes fougères, Apprivoisent les coeurs, qui, deVÉNUS plus doux, S'accoutument aux mots d'amour, d'amant, d'époux ; Des mots on en vient au mystère."")",-,0.0
"('#penee', ""J'approuve vos raisons ; et Daphné, pour me plaire, Doit faire en mon palais les honneurs de ce jour. On y va célébrer l'hymen du jeune Amphrise Il s'engage avecque Florise ; La fête arrêtera ces princes à ma Cour : Allons en prendre soin. Daphné vient, et Clymène ; Entrons dans la grotte prochaine."")",-,0.0
"('#daphne', 'Ah, Clymène ! Plains-moi.')",-,0.0
"('#clymene', 'Princesse, vous pleurez ; puis-je savoir pourquoi ?')",-,0.0
"('#daphne', ""Je ne me connais plus ; ce n'est plus moi, Clymène : Ces puissants dédains, cette haine, Ces serments contre Amour, que sont-ils deVÉNUS. Un mortel les rend superflus. Hélas ! il vient de me dire sa peine, Et depuis ce moment je ne me connais plus."")",-,0.0
"('#clymene', ""Un des princes, sans doute, a causé ces alarmes. Serait-ce point Tharsis ? Je lui trouve des charmes Contre qui je sens bien que ma sévérité N'emploierait pas toutes ses armes."")",-,0.0
"('#daphne', ""Je crois ? Si tu le veux, qu'on en est enchanté, Cependant il me cause une invincible haine ; Contre lui dans mon âme un dieu me semble agir."")",-,0.0
"('#clymene', ""Je le connais, ce dieu : c'est Leucippe."")",-,0.0
"('#daphne', 'Ah, Clymène ! Ne me regarde point, tu me ferais rougir.')",-,0.0
"('#clymene', ""Pourquoi rougir ? commettez-vous un crime ? Le Ciel permet-il pas d'aimer ou de haïr ? Est-il rien de si légitime ? Tircis est des plus charmants, Je méprise son martyre ; Cependant sous mon empire Il languit depuis longtemps. Philandre à peine y soupire, Son service est reconnu ; La raison, je vais la dire : Mon temps d'aimer est venu."")",-,0.0
"('#daphne', ""Hélas ! le mien aussi ; mais garde-toi, Clymène De découvrir ma flamme, et l'exposer au jour : Plains-toi que de Tharsis je méprise la peine ; Notre sexe veut bien que l'on sache sa haine, Mais il met tous ses soins à cacher son amour."")",-,0.0
"('#clymene', ""Le voila, ce Tharsis ; son malheur vous l'amène."")",-,0.0
"('#tharsis', ""Que je dois au Destin de m'avoir arrête En des lieux ou l'on voit briller votre présence ! Vous y régnez par la beauté, Aussi bien que par la naissance : Souffrez que j'y demeure au rang de vos sujets."")",-,0.0
"('#daphne', ""Non, Seigneur, je ne puis recevoir vos hommages ; Offrez-les à d'autres objets ; Abandonnez nos rivages : Quel plaisir aurez-vous parmi des coeurs sauvages ?"")",-,0.0
"('#tharsis', 'Je vous verrai.')",-,0.0
"('#daphne', ""Fuyez cette triste douceur. Il vaut mieux qu'une prompte absence Rende le calme à votre coeur, Que de vous voir enfin guéri par ma rigueur, Ma haine, ou mon indifférence."")",-,0.0
"('#tharsis', ""Ô Ciel ! Lui dois-je ajouter foi ? Quoi ! Ne pouvoir m'aimer ! me haïr ! me le dire ! Amour, tyran des coeurs, depuis que sous ta loi On gémit, on pleure, on soupire, Fut-il jamais amant plus malheureux que moi ? Que je sache au moins, inhumaine, Ce qu'a Tharsis en lui de si digne de haine ?"")",-,0.0
"('#daphne', ""Son amour ; c'est assez : je le dis à regret. Vous avez dans mon coeur quelque ennemi secret Qui met un voile sur ces charmes A qui d'autres auraient déjà rendu les armes. Enfin quittez nos bords, Seigneur, vous ferez mieux ; Qui ne peut être aimé doit s'éloigner des lieux Où sans cesse il peut voir le sujet de ses peines. Faut-il livrer son coeur à d'éternelles gênes Pour le plaisir de ses yeux ? Je vous laisse, et me tais ; ma fuite et mon silence Vous seront des tourments plus doux."")",-,0.0
"('#tharsis', 'Princesse, demeurez : je trouve votre absence Plus cruelle encor que vous.')",-,0.0
"('#telamon', 'Ceci vous trouble et vous étonne.')",-,0.0
"('#tharsis', ""Suis-je donc le fils de Latone ? Ai-je dompté Python ? Suis-je un dieu ? Je n'ai pu Gagner une mortelle ! un enfant m'a vaincu ! Qu'il m'ôte mes autels : que sert-il qu'on me donne En ces lieux l'encens qui m'est dû ? Et qu'est-ce que l'encens qu'une chose frivole Près des moindres faveurs que nous font de beaux yeux ? Daphné, vous me pourriez d'une seule parole Mettre au-dessus des autres dieux."")",-,0.0
"('#telamon', ""Espérez ce mot favorable : Il n'est amant si misérable Qui n'espère."")",-,0.0
"('#tharsis', 'Tu ris.')",-,0.0
"('#telamon', ""Jupiter vous vaut bien : Je ris aussi quand l'Amour veut qu'il pleure. Vous autres dieux, n'attaquez rien Qui, sans vous étonner, s'ose défendre une heure : Sachez que le temps seul en a plus couronné Que tous les efforts qu'on peut faire."")",-,0.0
"('#tharsis', ""Je n'ose plus parler de mes feux à Daphné."")",-,0.0
"('#telamon', ""Laissez dormir sa colère. Après que l'on vous aura Contraint longtemps de vous taire, Un moment arrivera Que l'on vous écoutera."")",-,0.0
"('#tous', ""Hymen, Hyménée. Après que chacun s'est rangé et a pris sa place, les deux bergers chantent ce premier couplet de l'épithalame."")",-,0.0
"('#deux-bergers', ""Florise est donnée A l'un des plus beaux Qui porte à Pénée Tribut de ses eaux : Qu'il ait chaque année De nombreux troupeaux, Et chaque journée Des plaisirs nouveaux. Hymen, Hyménée. Daphné présente au sacrificateur l'épousée, et un des fleuves le marié. "")",-,0.0
"('#le-sacrificateur', 'Amants, je vous unis ; vivez sous mêmes noeuds.')",-,0.0
"('#le-choeur', 'Parmi les plaisirs et les jeux.')",-,0.0
"('#momus', 'A quelques filles de la noce, près desquelles il se rencontre : Pour un pareil lien formez-vous point des voeux ? Songez-y bien, bergères : Hyménée est un dieu jeune, charmant, et blond ; Mais les jours avec lui ne se ressemblent guères : Le premier est amour, amitié le second, Le troisième froideur ; songez-y bien, bergères.')",-,0.0
"('#meroe', ""Vraiment, Télamon, La leçon Est jolie. Changez de place, Iris ; venez ici, Célie, Pholoé, ne l'écoutez plus. J'en suis d'avis ; mes soins deviendront superflus ; Télamon corrompra cette troupe innocente."")",-,0.0
"('#momus', ""Que vous êtes reprenante, Gouvernante ! Laissez-nous causer en paix : Laissez la jeunesse rire : Elle inspire Toujours d'innocents secrets. Je crois que vous êtes sage : À votre âge On le doit être, ou jamais. Vingt ou trente ans de veuvage, C'est dommage, Ont refroidi vos attraits. Ah ! si selon vos souhaits Vous redeveniez aurore, Vous vous serviriez encore De vos traits."")",-,0.0
"('#meroe', 'Me faudra-t-il aussi souffrir la raillerie ?')",-,0.0
"('#penee', 'Laissez-nous achever cette cérémonie.')",-,0.0
"('#le-sacrificateur', ""Hymen, Amour, joignez vos noeuds, Et rendez ces amants heureux. Des pas de Florise Loin, bien loin les loups ; Et de ceux d'Amphrise Les soupçons jaloux ! Que leur destinée N'ait rien que de doux, Et que la lignée Ressemble à l'époux. Hymen, Hyménée. Jamais la constance Aux amants ne nuit ; On vit d'espérance, Puis le reste suit. L'amour obstinée Porte fleur et fruit. Ô douce journée ! Ô plus douce nuit ! Hymen, Hyménée. Les gens de la noce dansent, et pendant qu'ils se reposent on chante ces deux autres couplets de l'épithalame :  Le choeur répète à chaque fois ces deux dernières paroles. "")",-,0.0
"('#clymene', ""Tout me semble parler d'amour En ces lieux amis du silence : Ici les oiseaux nuit et jour Célèbrent de ses traits la douce violence. Tout me semble parler d'amour En ces lieux amis du silence. Heureux les habitants de ces ombrages verts, S'ils n'avaient que ce mal à craindre ! Mais nous troublons leur paix par cent moyens divers : Humains, cruels humains, tyrans de l'Univers, C'est de vous seuls qu'on se doit plaindre. Vois-je pas Télamon, confident de Tharsis ? Hélas ! il vient en vain me conter les soucis D'un prince que Daphné devrait trouver aimable. Plût au Ciel qu'elle fut à ses voeux favorable ! Après ces paroles, on entend un bruit de cors et de cris de chasse. "")",-,0.0
"('#telamon', 'Que vous avez de grâce à porter un carquois ! Rien ne vous sied si bien.')",-,0.0
"('#clymene', ""On me l'a dit cent fois."")",-,0.0
"('#telamon', ""On ne vous l'a pas dit peut-être au fond d'un bois. En ces forets, je vous prie, Écartons-nous un moment, Et mettons de la partie L'ombre et l'amour seulement."")",-,0.0
"('#clymene', ""Tout rendez-vous un peu sombre Doit toujours être évité : Quand je vois l'amour et l'ombre, Je vais d'un autre côté."")",-,0.0
"('#telamon', ""C'est trop s'en défier. Mais, dites-moi, Clymène, Daphné montre en ses yeux une secrète peine ; Qui la cause ? Leucippe est-il ce bienheureux ? Ou plutôt est-ce un dieu qui s'attire ces voeux ? Je m'y connais, l'Amour la touche."")",-,0.0
"('#clymene', ""On se laisse assez toucher, Mais on aime à le cacher ; Et d'une jeune farouche L'Amour est plus tôt vainqueur Qu'il n'a tiré de sa bouche Le nom qu'elle a dans le coeur."")",-,0.0
"('#telamon', ""N'en saurai-je pas plus ?"")",-,0.0
"('#clymene', ""Je n'ai rien appris d'elle."")",-,0.0
"('#telamon', ""Vous voulez garder ce secret : Je serais importun aussi bien qu'indiscret Si je vous pressais trop, et la chasse m'appelle. Adieu, Nymphe cruelle."")",-,0.0
"('#daphne', 'Je vous ai tous deux entendus : Heureuse, si Tharsis ne me pressait pas plus !')",-,0.0
"('#leucippe', ""Puis-je interrompre le silence Qu'en ces paisibles lieux peut-être vous cherchez ? Me le permettez-vous ?"")",-,0.0
"('#daphne', 'Oui, Leucippe, approchez ; On ne craint pas votre présence ; Venez me consoler de celle de Tharsis.')",-,0.0
"('#leucippe', ""Et qu'ordonnerez-vous de mes propres soucis ? Mon rival ne peut plaire à l'objet qu'il adore, Un sentiment jaloux ne me peut alarmer : C'est beaucoup ; mais que dis-je ? ah ! ce n'est rien encore Vous savez bien haïr, mais pourriez-vous aimer ?"")",-,0.0
"('#daphne', ""J'ai souffert votre amour ; répondez-vous vous-même."")",-,0.0
"('#leucippe', ""Ô dieux ! qu'ai-je entendu ? quelle gloire suprême ! Quel bonheur ! Doux transports qui venez me saisir, Exprimez, s'il se peut, ma joie et mon plaisir, Et votre juste violence. Princesse, après l'aveu qui vient de me charmer, Je ne sais rien, pour m'exprimer, Que le langage du silence."")",-,0.0
"('#daphne #leucippe', ""Ô bienheureux soupirs, favorables moments Où l'un et l'autre coeur, plein de doux sentiments, Aime, et le dit, et se fait croire ! Les dieux, dans leurs ravissements, Les dieux, au milieu de leur gloire, Sont moins dieux quelquefois que ne sont les amants."")",-,0.0
"('#leucippe', 'Je bénis mon destin, et cependant Pénée Favorise mon rival.')",-,0.0
"('#daphne', ""Quand il aurait pour lui le dieu même hyménée, Ce n'est pas son bonheur qui fera votre mal."")",-,0.0
"('#leucippe', 'Et mon bien ?')",-,0.0
"('#daphne', ""Attendez la réponse d'Ismèle : Peut-être elle sera favorable à nos voeux. Allez : il reviendra quelque moment heureux ; Daphné craint qu'on ne trouve un amant avec elle."")",-,0.0
"('#daphne', ""Que notre sexe a d'ennemis ! A combien de tyrans le destin l'a soumis ! Des amants importuns, un père inexorable, Un devoir impitoyable ; Tout combat nos désirs : trop heureuses encor Si nous n'avions que cette peine ! Mais il faut, par un double effort, Ainsi que notre amour, surmonter notre haine."")",-,0.0
"('#penee', 'Daphné, rendez grâces aux dieux : Cet ours fatal aux bergeries, Fatal aux autres ours, teint de sang nos prairies ; Tharsis a vaincu seul ce monstre furieux.')",-,0.0
"('#tharsis', ""L'Amour m'accompagnait ; lui seul en a la gloire : Ce n'est pas à mes mains qu'on doit cette victoire, Belle Daphné, c'est à vos yeux."")",-,0.0
"('#penee', ""Ma fille, venez voir aussi l'énorme bête. Réjouissez-vous, bergers ; Que les ours soient de la fête : Ils avaient part aux dangers."")",-,0.0
"('#tharsis', 'Daphné ne peut souffrir ma flamme. Si je parlais au sort ?')",-,0.0
