,dancourt-diable-boiteux,dancourt-femme-d-intrigues,Cost,Operation Type
51,"('#sanchette', ""Ah !  Ne me changez pas ce papa-là, Monsieur le Diable, j'en suis fort contente."")","('#madame-thibaut', ""Donnez cela.  L'Abbé Castoret, puisqu'il est tant de vos amis, dites-lui que le Prieur Coffard n'est pas dans la volonté de le mettre en possession de rien, qu'aux conditions qu'il sait.  Ce Major de milice est-il venu ?"")",1.4,Substitution
52,,"('#gabrillon', ""Oui, qui peste comme un beau diable de voir que rien n'avance."")",1.0,Deletion
53,"('#therese', ""Mais avec cela, Seigneur Asmodée, le genre humain n'était pas peu redevable à mon mari le Magicien, de vous retenir dans la bouteille, et je ne sais pas si je ne me repentirai point d'être cause que vous en êtes échappé."")","('#madame-thibaut', ""Est-ce ma faute, si le Commis de qui dépend son affaire a révoqué sa maîtresse ?  Qu'il prenne des mesures d'ailleurs : car pour moi je n'avais que ce canal-là.  Comment mettez-vous là ?  Cet homme tout nu."")",0.37,Substitution
54,,"('#gabrillon', ""Dame, je ne sais pas son nom : c'est ce grand homme tout déguenillé, à qui vous avez promis un emploi dans les Gabelles."")",1.0,Deletion
55,,"('#madame-thibaut', 'Qui, ce jeune fou qui a joué et mangé tout son bien ?')",1.0,Deletion
56,,"('#gabrillon', 'Justement.')",1.0,Deletion
57,,"('#madame-thibaut', ""Hé, a-t-il dit qu'il reviendrait ?"")",1.0,Deletion
58,,"('#gabrillon', 'Oui.')",1.0,Deletion
59,"('#le-diable', ""Vous n'avez pas jusqu'à présent sujet de vous en plaindre, je vous ai sauvée de la fureur d'un vilain mari, je vous ai tirée de Madrid, où vous aviez déjà fait trop de conquêtes pour continuer encore longtemps d'en faire : vous voilà, par mes soins, dans la plus belle ville du monde, dans Paris."")","('#madame-thibaut', ""Oui ?  Hé bien, dites-lui qu'il n'y a rien à faire pour des Commissions qu'à l'autre bail, à moins qu'il n'épouse cette fille dont je lui ai parlé : encore faut-il que dès le lendemain des noces, il la laisse à Paris, pendant qu'il ira faire sa Commission au fond du Périgord."")",0.29,Substitution
60,,"('#gabrillon', ""Bon, comme s'il ne voudra pas l'emmener ?"")",1.0,Deletion
61,,"('#madame-thibaut', ""Oh, je lui conseille d'avoir des volontés, Messieurs les Fermiers lui donneront des femmes pour les emmener !  Il n'a qu'à s'y attendre.  Un homme pour un Privilège.  Concernant quoi ce privilège ?"")",1.0,Deletion
62,,"('#gabrillon', ""Je ne sais ce qu'il chante.  Il dit qu'il a trouvé l'invention de faire un fard à l'épreuve de tous les temps, des couleurs qui une fois appliquées sur un teint, durent autant que la peau : en un mot, il se vante d'avoir trouvé le secret de farder un visage à fresque."")",1.0,Deletion
63,,"('#madame-thibaut', 'Oh, oh, celui-là va avoir bien de la pratique.')",1.0,Deletion
64,,"('#gabrillon', ""Vraiment il n'y saurait suffire à l'heure que je vous parle.  Il a sept ou huit douzaines de visage à rendre avant qu'il soit la fin de la semaine."")",1.0,Deletion
65,,"('#madame-thibaut', 'Vous devriez bien écrire sa demeure.')",1.0,Deletion
66,,"('#gabrillon', ""Oh, que je m'en souviendrai bien ; c'est quelque part vers cette rue saint Martin : rien n'est plus facile que de le trouver ; il n'y a qu'à demander le Peintre sur cuir, ou la Manufacture des visages."")",1.0,Deletion
67,,"('#madame-thibaut', ""À propos de la rue saint Martin, vous êtes-vous souvenue d'aller à ce Messager de Rouen, savoir si ce quartier de veau de rivière, ce muid de cidre, ces pots de noix confites, et ces deux témoins sont arrivés."")",1.0,Deletion
68,,"('#gabrillon', ""Il n'y a encore que les témoins de venus.  Comme l'affaire presse, et qu'il faut du temps pour les instruire, on a cru..."")",1.0,Deletion
69,"('#sanchette', ""Dans Paris !  Monsieur Asmodée, c'est ici Paris. ?"")","('#madame-thibaut', ""Belle avance !  Comme si le Procureur voudra recevoir l'un sans l'autre.  Je ne vois point ici que ce Maître à danser, ni ce Maître de musique soient venus ?"")",1.31,Substitution
70,,"('#gabrillon', 'Voici le Maître à danser.')",1.0,Deletion
71,"('#le-diable', 'Oui, Sanchette.')","('#madame-thibaut', 'Va vite serrer toutes ces hardes pendant que je lui parlerai.')",1.39,Substitution
72,"('#sanchette', ""Ah !  Que je suis charmée d'y être, et que vous êtes un aimable Diable de nous y avoir d'abord amenées."")","('#madame-thibaut', 'Hé bien, avez-vous été chez cette petite personne ?  Notre Financier attend la réponse avec impatience.')",0.57,Substitution
73,,"('#le-maitre-a-danser', 'Je sors de chez elle.')",1.0,Deletion
74,,"('#madame-thibaut', 'Lui montrez-vous à danser ?')",1.0,Deletion
75,,"('#le-maitre-a-danser', 'Non.')",1.0,Deletion
76,,"('#madame-thibaut', ""Vous n'avez donc pas dit à la mère que c'était vous qui montriez à cette Marquise de leur voisinage, qui à cinquante ans, danse le menuet aussi proprement qu'une fille de quinze ?"")",1.0,Deletion
77,,"('#le-maitre-a-danser', 'Pardonnez-moi, vraiment.')",1.0,Deletion
78,,"('#madame-thibaut', ""Sait-elle que c'est vous qui montrez la Sarabande au petit bichon de Madame la Maréchale ?"")",1.0,Deletion
79,,"('#le-maitre-a-danser', 'Oui, mais tout cela ne sert à rien.')",1.0,Deletion
80,,"('#madame-thibaut', ""Et la raison, s'il vous plaît ?"")",1.0,Deletion
81,,"('#le-maitre-a-danser', ""La raison ?  La raison est qu'ils ne veulent donner qu'un louis par mois."")",1.0,Deletion
82,"('#le-diable', ""Je ne vous fais point de montre, comme vous voyez, je vais tout d'abord au meilleur.  Après avoir passé les monts, j'aurais pu me reposer, vous arrêter, en passant, à Bayonne, à Bordeaux, à Tours, à Poitiers ; mais j'ai eu peur de vous laisser prendre un air de Province, dont les femmes ne se défont pas aisément : il n'y a rien de plus ridicule que ces airs de Province, à ce que l'on dit du moins.  Il n'est rien tel que de se trouver d'abord dans le centre, et de commencer, avec les dispositions que vous avez déjà pour le monde, à se former sur ce modèle de la Cour et de Paris."")","('#madame-thibaut', ""Et c'est là ce qui vous arrête ?  Avez-vous perdu l'esprit, dites-moi ?  Quoi regarder à un louis quand il s'agit d'en gagner trente !  Avec cette belle conduite-là, je veux vous voir bientôt réduit à vendre le cheval que je vous ai fait donner par le Milord pour avoir... Ne me faites pas parler"")",0.41,Substitution
83,,"('#le-maitre-a-danser', ""Ne me faites pas parler vous-même ; et comptez, quoi qu'il puisse arriver, que je ne montrerai jamais pour une pistole, ce serait le moyen de me décrier."")",1.0,Deletion
84,,"('#madame-thibaut', 'Vraiment, mon petit ami, vous faites bien le renchéri depuis que je vous ai donné les moyens de vous faire un des Syndics de la danse.')",1.0,Deletion
85,,"('#le-maitre-a-danser', ""Ma foi, Madame, dans toutes les affaires que nous avons faites ensemble, vous avez gagné plus que moi, et je n'ai point rendu de billet dont vous ne vous soyez fait payer le port."")",1.0,Deletion
86,,"('#madame-thibaut', ""Voilà encore une veste et une cravate, que vous n'auriez jamais eues sans moi."")",1.0,Deletion
87,,"('#le-maitre-a-danser', ""Oui, fort bien, vous me payez de vieilles nippes qui vous restent, et vous gardez l'argent comptant."")",1.0,Deletion
88,,"('#madame-thibaut', 'Monsieur le Maître à danser !')",1.0,Deletion
89,,"('#le-maitre-a-danser', 'Madame la...')",1.0,Deletion
90,,"('#le-maitre-a-chanter', ""Qu'est-ce donc que tout ceci ?  Vous voilà tous deux en colère ?"")",1.0,Deletion
91,,"('#madame-thibaut', ""J'ai bien sujet d'y être ; et si la musique est aussi déraisonnable que la danse, je n'aurai qu'à pendre l'intrigue au croc."")",1.0,Deletion
92,"('#therese', ""Est-ce qu'à Paris et à la Cour, il n'y a point de ridicule, Seigneur Asmodée ?"")","('#le-maitre-a-chanter', ""Comment donc ?  Lui est-il arrivé quelque disgrâce qui le dégoûte du commerce ?  N'aurait-il su prendre le temps que son écolière était seule ?  Un père serait-il survenu, un rival, un mari ?...  Expliquez-vous donc si vous voulez ; à gens de notre profession, il ne peut guères arriver de pire accident, que je sache."")",0.86,Substitution
93,"('#le-diable', ""Oh que pardonnez-moi ; mais ce ridicule-là est tellement reçu et si aveuglément approuvé, qu'il a le crédit de ridiculiser les meilleures manières des autres endroits du Royaume, la sagesse des étrangers même ; mais je vous apprendrai à vous, petite fille, pour première maxime, qu'il faut que les gens du monde soient esclaves du goût et de la mode."")","('#le-maitre-a-danser', ""Si l'on voulait vous contraindre à montrer à chanter pour la moitié moins que vous n'avez coutume de prendre, de bonne foi le feriez-vous ?"")",0.95,Substitution
94,,"('#le-maitre-a-chanter', ""Oui, si je trouvais d'ailleurs quelque profit plus considérable."")",1.0,Deletion
95,"('#sanchette', ""Oh je retiendrai bien vos leçons, Monsieur le Diable Boiteux, j'ai un penchant si naturel à vous croire, tant de disposition à profiter de vos bons conseils."")","('#madame-thibaut', ""Ne voilà-t-il pas ce que je dis ?  Dans toutes les affaires dont je lui ai donné la conduite, je voudrais bien savoir s'il s'est tenu à une pistole."")",0.71,Substitution
96,,"('#le-maitre-a-chanter', 'Vous vous moquez, je crois.')",1.0,Deletion
97,,"('#madame-thibaut', ""Il n'a jamais fait de marché, seulement."")",1.0,Deletion
98,,"('#le-maitre-a-danser', ""Est-ce avec les écoliers qu'on en fait ?  C'est avec ceux qui nous les donnent."")",1.0,Deletion
99,,"('#madame-thibaut', 'Avez-vous parlé à ce vieux Commandeur pour cette petite marchande, dont la mère est si surveillante ?')",1.0,Deletion
100,"('#le-diable', 'Je ferai quelque chose de vous, je vois bien cela.')","('#le-maitre-a-chanter', 'Oui, mais je ne lui montrerai point.')",1.17,Substitution
101,,"('#madame-thibaut', ""À l'autre.  Ils ont tous deux résolu de me faire enrager, je pense."")",1.0,Deletion
102,,"('#le-maitre-a-danser', ""Je suis ravi de n'être pas seul de mon sentiment."")",1.0,Deletion
103,,"('#le-maitre-a-chanter', ""Non, ce n'est point l'argent qui m'arrête."")",1.0,Deletion
104,"('#therese', ""Mais en quel endroit de Pris sommes-nous, s'il vous plaît ?  Voilà bien du monde assemblé, la Ville serait-elle partout aussi peuplée qu'elle l'est ici ?"")","('#madame-thibaut', 'Hé quelle raison pouvez-vous donc avoir ?')",1.14,Substitution
105,"('#le-diable', ""Une femme d'esprit et d'expérience, comme vous, peut-elle faire cette question ?  Et ne voyez-vous pas que vous êtes dans un lieu de spectacle, que c'est ici le Théâtre de la Comédie ?"")","('#le-maitre-a-chanter', ""Elle ne veut apprendre que des airs de l'Opéra."")",1.3,Substitution
106,"('#sanchette', 'Nous sommes ici à la Comédie ?  Ah !  Que je suis aise.')","('#madame-thibaut', 'Ne nous voilà pas mal.')",1.07,Substitution
107,,"('#le-maitre-a-chanter', ""De quoi me servirait donc l'heureux génie que le Ciel m'a donné pour la composition ?"")",1.0,Deletion
108,,"('#madame-thibaut', ""Il faut le laisser là, cet heureux génie, et s'accommoder au génie des autres."")",1.0,Deletion
109,"('#le-diable', ""La Comédie et ses dépendances sont de ma direction, comme vous savez ; et quand on arrive dans une Ville, il est bon de descendre d'abord dans un lieu connu."")","('#le-maitre-a-chanter', ""Je vous baise les mains : je fais de la musique, c'est mon métier ; et tous les Commandeurs du monde ne me feraient pas montrer à de petites filles qui ne veulent point apprendre de mes airs, et les trouver plus beaux que ceux de l'Opéra même."")",0.88,Substitution
110,,"('#madame-thibaut', 'Voilà un étrange entêtement !')",1.0,Deletion
111,,"('#le-maitre-a-chanter', ""Et moi, je verrais crever tous les Financiers du Royaume, plutôt que d'apprendre à danser à leurs Maîtresses pour une pistole."")",1.0,Deletion
112,,"('#madame-thibaut', 'Quelle extravagance !')",1.0,Deletion
113,,"('#le-maitre-a-chanter', ""Je trouve qu'il est de fort bon sens, moi."")",1.0,Deletion
114,,"('#le-maitre-a-danser', 'Vous me paraissez avoir grande raison.')",1.0,Deletion
115,,"('#madame-thibaut', 'Diantre soit des impertinents ; mais, finissons.  Vous y perdez tous deux plus que qui que ce soit.  Çà, cette lettre ?')",1.0,Deletion
116,,"('#le-maitre-a-danser', 'La voilà.')",1.0,Deletion
117,,"('#madame-thibaut', 'Le portrait, vous ?')",1.0,Deletion
118,,"('#le-maitre-a-chanter', 'Le voici.')",1.0,Deletion
119,,"('#madame-thibaut', 'Cette bourse ?')",1.0,Deletion
120,,"('#le-maitre-a-danser', ""Tout à l'heure."")",1.0,Deletion
121,,"('#madame-thibaut', 'Cette attache de diamants ?')",1.0,Deletion
122,,"('#le-maitre-a-chanter', 'Je vous la vais donner.')",1.0,Deletion
123,,"('#madame-thibaut', 'Au moins, le compte y est ?')",1.0,Deletion
124,"('#therese', 'Vous connaissez donc les Comédiens, Seigneur Asmodée ?')","('#le-maitre-a-danser', 'Pour qui me prenez-vous ?')",1.27,Substitution
125,"('#le-diable', ""Si je les connais ?  Parfaitement.  C'est moi, qui souffle de la malice à l'un, de la présomption à l'autre, qui donne de l'esprit à celui-ci, l'opinion d'en avoir à celui-là, et qui leur inspire à tous en général, ces sentiments d'union, d'intelligence et de politesse, qui règnent ordinairement parmi eux."")","('#madame-thibaut', 'Hé, je vous connais, vous ne seriez pas le premier du métier, qui ayant ordre de faire un présent à une Dame, aurait en homme habile partagé le différend par la moitié.')",1.02,Substitution
126,"('#therese', ""Ils vous ont bien de l'obligation vraiment, et je ne donne pas qu'ils n'aient de grandes déférences pour vous."")","('#le-maitre-a-danser', 'Vous êtes en colère, serviteur.')",1.18,Substitution
127,,"('#le-maitre-a-chanter', ""Je n'ai plus rien à vous que ce petit enfant sans père, dont la mère est morte il y a quinze jours.  La nourrice doit le rapporter, vous trouverez bon que je vous l'envoie."")",1.0,Deletion
128,,"('#madame-thibaut', ""Oh, pour ce bijou-là, vous n'avez qu'à le garder, c'est le fruit d'une intrigue où vous avez eu plus de part que moi."")",1.0,Deletion
129,,"('#le-maitre-a-chanter', 'Nous verrons pourtant à qui il demeurera.  Je ne vous dit pas adieu.')",1.0,Deletion
130,"('#le-diable', ""La reconnaissance n'est pas leur faible ; ils trouvent qu'il y a quelque chose de trop bas là-dedans pour les caractères des héros qu'ils représentent : mais à cela près ; ce sont de bonnes personnes, et il n'y a presque pas un de ces cerveaux-là que je ne gouverne.  Savez-vous bien que c'est mon nom seul qui leur attire aujourd'hui tout le monde que vous voyez ?  Je ne voudrais pas jurer que cela durât ; mais quand je ne les aiderais à attraper le public qu'une fois par jour, ne serait-ce pas quelque chose ?"")","('#madame-thibaut', ""Peste soit de la danse et de la musique.  Sans les travers qu'ont ces gens-là, quelle fortune ne pourraient-ils point faire !"")",1.02,Substitution
131,,"('#madame-thibaut', ""Hé bien, Monsieur de la Brie, vous savez les services dont j'ai besoin ?"")",1.0,Deletion
132,,"('#la-brie', ""J'ai vu tout cela d'un coup d'oeil."")",1.0,Deletion
133,"('#therese', 'Une fois par jour !  Ce serait beaucoup, et vous auriez peine à y suffire.')","('#madame-thibaut', 'Hé, que vous en semble ?')",0.78,Substitution
134,"('#le-diable', ""Pardonnez-moi, je ne désespérerais pas d'y réussir, sans un certain nombre de connaisseurs, qui ne veulent rire que de bonnes choses, ne se divertir que par raison.  Oh, ces Messieurs-là sont bien incommodes, c'est une peste pour les pièces nouvelles."")","('#la-brie', 'Cela est bon, cela réussira, nous en viendront à bout.')",1.36,Substitution
135,,"('#madame-thibaut', 'Il y a cent pistoles à gagner.')",1.0,Deletion
136,"('#sanchette', ""Mais écoutez-moi un peu, Monsieur Asmodée, vous nous avez amenées à Paris, pour nous faire connaître le monde, en voici une belle occasion, nous ne pouvons guère en voir davantage à la fois ; faites-nous, s'il vous plaît, connaître le caractère, les intrigues et le ridicule de toutes les personnes qui sont ici."")","('#la-brie', ""Cent pistoles !  Ce n'est guères.  Il y a ouvrage et ouvrage, voyez-vous.  Si nous n'avions qu'un Bourgeois à duper, ce ne serait pas une grosse affaire : j'en entreprendrai, moi qui vous parle, à dix pistoles pièce, tant que vous voudrez ; mais, lorsqu'il s'agit de tromper un Capitaine, c'est une besogne diablement vétilleuse."")",0.37,Substitution
137,"('#le-diable', 'Ce serait justement le moyen de les y faire revenir !  Vous êtes folle, petite fille.')","('#madame-thibaut', 'Combien voudriez-vous donc, Monsieur de la Brie ?')",1.22,Substitution
138,,"('#la-brie', 'Vous-même je vous en fais juge.  Tenez, le seul personnage de Notaire, si je ne le faisais pas moi-même, me reviendrait à moi, sans les buvettes, à plus de cent pistoles.  Malepeste, on ne vient pas à bout des gens de cette profession à si bon marché que vous le croiriez bien.')",1.0,Deletion
139,,"('#madame-thibaut', 'Vous serez content de moi, Monsieur de la Brie.')",1.0,Deletion
140,,"('#la-brie', 'Je vais donc me préparer.')",1.0,Deletion
141,,"('#madame-thibaut', 'Allez.')",1.0,Deletion
142,"('#sanchette', ""Pourquoi folle ?  Je suis curieuse, et j'aime à m'instruire aux dépens d'autrui."")","('#dorise', ""Il y a quinze jours, Madame, que j'épie l'occasion de pouvoir vous entretenir en particulier, ce que je n'ai pu trouver jusqu'aujourd'hui."")",1.18,Substitution
143,,"('#madame-thibaut', 'Vous prenez encore bien mal votre temps, Madame.')",1.0,Deletion
144,,"('#dorise', ""Je n'ai que deux mots à vous dire."")",1.0,Deletion
145,,"('#madame-thibaut', ""Voyons donc vite, de quoi s'agit-il ?"")",1.0,Deletion
146,"('#le-diable', 'Voilà une bonne manière !')","('#dorise', ""D'un brevet de bel esprit, Madame.  Cela vous surprend !"")",1.22,Substitution
147,"('#sanchette', ""Une bonne manière ?  N'est-ce pas la vôtre ?  J'ai ouï que c'était la meilleure."")","('#madame-thibaut', ""Je vous avoue, Madame, qu'avant que d'avoir eu l'honneur de vous voir, je n'avais point encore ouï dire qu'il y eût de beaux esprits à brevets."")",0.9,Substitution
148,"('#le-diable', ""Oui, mais ce n'est point ici qu'il faut s'en servir.  Le devoir, la société, la bienséance rendent les lieux de spectacle très respectables, et ceux qui s'y trouvent, le deviennent, quand ils ne le seraient pas par eux-mêmes.  Tout Diable que je suis, je me garderai bien de dire en face des vérités outrageantes, et de scandaliser en public d'honnêtes personnes, qui n'ont presque point de défauts qui ne soient de ma façon."")","('#dorise', ""C'est que pour m'exprimer à vous, Madame, d'une manière plus élégante, je me suis servi du figuré ; mais, à parler au propre, cela veut dire que je postule une place à l'Académie."")",0.49,Substitution
149,"('#therese', 'Vous êtes un fort honnête Diable, Seigneur Asmodée, et je ne vous croyais point tant de conscience.')","('#madame-thibaut', ""Vous, Madame, une place à l'Académie !  Oh, je crois que vous dites cela au figuré."")",1.52,Substitution
