,quinault-persee,quinault-proserpine,Cost,Operation Type
23,"('#la-vertu #la-fortune', 'Mille nouveaux concerts doivent se faire entendre : Tout promet au mérite un favorable sort. Quel bien ne doit-on pas attendre De notre heureux accord ? La suite de la Vertu et le suite de la Fortune se réunissent, et témoignent leur joie par leurs danses et par leurs chants.')","('#la-discorde', ""Tes soins pour le vainqueur pouvaient plus loin s'étendre ? Que ne conduisais-tu le héros que tu sers, Où cent lauriers nouveaux lui sont encore offerts ? La gloire au bout du monde aurait été l'attendre."")",0.52,Substitution
24,"('#suivante-de-la-vertu #suivante-de-la-fortune', ""Quel heureux jour pour nous ! Tout suit notre envie. Quel heureux jour pour nous ! Que notre sort est doux ! La Vertu voit en paix tous ceux qui l'ont suivie : La Fortune pour eux perd son fatal courroux. Quel heureux jour pour nous, etc. Tous nos jours seront beaux ; goûtons, goûtons la vie. Rien ne trouble nos voeux, le ciel les comble tous. Quel heureux jour pour nous, etc."")","('#la-victoire', ""Ah ! Qu'il est beau de rendre la paix à l'univers. Après avoir vaincu mille peuples divers, Quand on ne voit plus rien qui puisse se défendre, Ah ! Qu'il est beau de rendre la paix à l'univers. La suite de la victoire et la suite de la paix, répètent ces derniers vers."")",0.21,Substitution
25,"('#la-vertu #la-fortune #choeurs', 'Heureuse intelligence, Douce et charmante paix, Comblez notre espérance. Douce et charmante paix, Puissiez-vous durer à jamais.')",,1.0,Insertion
26,"('#cephee', ""Je crains que Junon ne refuse D'apaiser sa haine pour nous ; Je crains, malgré vos voeux, Que l'affreuse Méduse Ne revienne servir son funeste courroux. L'Ethiopie en vain à mes lois est soumise ; Quelle espérance m'est permise, Si le ciel contre nous veut toujours être armé ? Que me sert toute ma puissance ? Contre ce monstre affreux Mon peuple est sans défense : Qui le voit est soudain en rocher transformé ; Et si Junon, que votre orgueil offense, N'arrête sa vengeance, Je serai bientôt roi d'un peuple inanimé."")","('#la-discorde', ""Ô ! Cruel esclavage ! Je ne verrai donc plus de sang et de carnage ? Ah ! Pour mon désespoir faut-il que le vainqueur Ait triomphé de son courage ? Faut-il qu'il ne laisse à ma rage Rien à dévorer que mon coeur ? Ô ! Cruel esclavage ! La suite de la Discorde répète ce dernier vers."")",0.0,Match
27,"('#cassiope', ""Heureuse épouse, heureuse mère, Trop vaine d'un sort glorieux, Je n'ai pu m'empêcher d'exciter la colère De l'épouse du Dieu de la Terre et des Cieux ! J'ai comparé ma gloire à sa gloire immortelle. La déesse punit ma fierté Criminelle ; Mais j'espère fléchir son courroux rigoureux ; J'ordonne les célèbres Jeux Qu'à l'honneur de Junon en ces lieux on prépare Mon orgueil offensa cette divinité ; Il faut que mon respect répare Le crime de ma vanité."")","('#la-victoire', ""Au fond d'un gouffre plein d'horreur, Que sous des fers pesants la discorde gémisse. Partagez son supplice Vous qui partagez sa fureur. Et vous triste séjour, changez, que tout ressente Le pouvoir plein d'appas de la Paix triomphante. La Discorde et sa suite s'abîment dans des gouffres qui s'ouvrent sous leurs pas, et l'affreuse retraite de la Discorde se change en un palais agréable."")",0.33,Substitution
28,"('#cephee', ""Je vais, avec Persée, implorer l'assistance Du dieu dont il tient la naissance ; Il est fils du plus grand des Dieux. Apaisez de Junon, la colère fatale, Ce serait pour elle en ces lieux Un objet odieux Qu'un fils de sa rivale."")","('#la-paix #suite-de-la-paix', 'Ah quel bonheur charmant !')",1.89,Substitution
29,"('#cassiope', 'Par un cruel châtiment Les Dieux vous font voir leur haine ; On les irrite aisément, On les apaise avec peine.')","('#la-discorde #suite-de-la-discorde', 'Ah ! Quel affreux tourment !')",1.02,Substitution
30,"('#cephee', ""Les Dieux punissent la fierté, Ils n'est point de grandeur que le ciel irrité N'abaisse quand il veut, et ne réduisent en poudre, Mais un prompt repentir Peut arrêter la foudre Toute prête à partir."")","('#la-victoire #la-paix', ""Le vainqueur est comblé de gloire, On doit l'admirer à jamais : Il s'est servi de la victoire Pour faire triompher la paix. La suite de la victoire et la suite de la paix répètent ces quatre vers. La suite de la paix témoigne sa joie en dansant et en chantant."")",1.02,Substitution
31,"('#merope', 'Puissions nous désarmer le ciel qui nous menace.')",,1.0,Insertion
32,"('#cephee #cassiope #merope', ""Ô Dieux ! qui punissez l'audace ! Dieux ! redoutables ennemis ! Pardonnez à des coeurs soumis. Céphée sort."")",,1.0,Insertion
33,"('#cassiope', ""Aimé et destiné pour épouser ma fille, Vous savez mes desseins pour vous, Ma soeur ; par votre hymen, il m'aurait été doux D'unir Persée à ma famille ; Mais je le veux en vain, l'Amour n'y consent pas : Aux yeux de ce héros, ma fille a trop d'appas."")","('#la-felicite #l-abondance', ""Il est temps que l'amour nous enchaîne, Il sait vaincre les plus fiers vainqueurs. Rendons-nous, la fuite est vaine, Ce dieu charme tous les coeurs : Il n'a point de bien sans peine, Mais peut-on trop payer ses douceurs. Dans les fers qu'Amour veut que l'on prenne, Tout est doux jusqu'aux plus tristes pleurs. Rendons-nous, la fuite est vaine, Ce dieu charme tous les coeurs, etc."")",0.17,Substitution
34,"('#merope', ""Le fils de Jupiter l'adore ; Croyez-vous que je sois encore à m'en apercevoir ? J'y prends trop d'intérêt pour ne le pas savoir. Je goûtais une paix heureuse Avant que ce héros parût dans cette Cour ; Par une espérance trompeuse, Allait-il me livrer au pouvoir de l'Amour ?"")","('#la-paix', ""On a quitté les armes. Voici le temps heureux Des plaisirs pleins de charmes, Voici le temps heureux Des plaisirs et des jeux. On ne versera plus de larmes, Tous les coeurs seront sans alarmes ; Et si l'on craint encor des tourments rigoureux Ce sera seulement dans l'empire amoureux. On a quitté les armes Voici le temps heureux Des plaisirs pleins de charmes, Voici le temps heureux Des plaisirs et des jeux. Le choeur répète ces derniers vers."")",0.46,Substitution
35,"('#cassiope', ""Sachez bien la faiblesse où votre coeur s'engage."")",,1.0,Insertion
36,"('#merope', ""Mon vainqueur encore aujourd'hui Ignore de mon coeur le funeste esclavage : Je mourrai de honte et de rage Si l'ingrat connaissait l'amour que j'ai pour lui."")",,1.0,Insertion
37,"('#cassiope', ""De chagrin et de colère, Votre coeur est déchiré ; Vous perdez l'espoir de plaire ; Peut-on trop se défaire D'un amour désespéré. Appelez le dépit ; que votre amour lui cède ; Sortez par son secours, d'un tourment si fatal."")","('#la-felicite', ""Que l'amour est doux à suivre ! Quel plaisir de s'enflammer ! Un jeune coeur ne commence de vivre Que du moment qu'il commence d'aimer. Malheureux qui se délivre D'un tourment qui sait charmer. On reconnaît que l'on cesse de vivre En même temps que l'on cesse d'aimer."")",0.24,Substitution
38,"('#merope', ""Le triste secours qu'un remède Plus cruel encore que le mal !"")",,1.0,Insertion
39,"('#cassiope', ""Pour prendre soin des Jeux, il faut que je vous quitte. Par mes conseils votre douleur s'irrite."")","('#le-choeur', 'On a quitté les armes Voici le temps heureux Des plaisirs pleins de charmes, Voici le temps heureux Des plaisirs et des jeux.')",0.98,Substitution
40,"('#cassiope #merope', ""Le temps seul peut guérir Les maux que l'amour fait souffrir. Cassiope sort."")",,1.0,Insertion
41,"('#merope', ""Ah ! Je garderai bien mon coeur, Si je puis le reprendre. Venez, juste dépit, venez, c'est trop attendre ; Brisez des fers pleins de rigueur, Hâtez-vous de me rendre De mon premier repos la charmante douceur, Ah ! je garderai bien mon coeur, Si je puis le reprendre, Hélas ! Mon coeur soupire, et ce soupir trop tendre Va, malgré mon dépit, rappeler ma langueur ! L'amour est toujours mon vainqueur, Et je veux en vain m'en défendre, Ah ! J'ai trop engagé mon coeur ; Je ne puis le reprendre... Andromède vient voir les Jeux,  Phinée avec elle s'avance ; L'espoir de leur hymen flatte encore mes voeux  Et c'est ma dernière espérance."")","('#ceres', ""Goûtons dans ces aimables lieux Les douceurs d'une paix charmante. Les superbes géants armés contre les dieux Ne nous donnent plus d'épouvante : Ils sont ensevelis sous la masse pesante Des monts qu'ils entassaient pour attaquer les cieux Nous avons vu tomber leur chef audacieux Sous une montagne brûlante ; Jupiter la contraint de vomir à nos yeux Les restes enflammés de sa rage mourante, Jupiter est victorieux, Et tout cède à l'effort de sa main foudroyante. Goûtons dans ces aimables lieux Les douceurs d'une paix charmante."")",0.38,Substitution
42,"('#andromede #phinee', 'Croyez-moi, croyez-moi,')",,1.0,Insertion
43,"('#andromede', 'Cessez de craindre.')","('#ceres #cyane #crinise', ""Goûtons dans ces aimables lieux Les douceurs d'une paix charmante."")",1.2,Substitution
44,,"('#ceres', ""Prenez soin d'assembler tout ce qui suit mes lois, Honorons le vainqueur d'une commune voix."")",1.0,Deletion
45,,"('#ceres #cyane #crinise', ""Honorons le vainqueur d'une commune voix. Cyané et Crinise vont de deux côtés différents appeler les divinités et les peuples de la Sicile, pour venir ensemble célébrer la victoire de Jupiter."")",1.0,Deletion
46,"('#phinee', 'Cessez de feindre.')","('#ceres', 'Mercure, quel dessein vous fait ici descendre ?')",1.09,Substitution
47,"('#andromede', 'Je veux vous aimer, je le dois.')","('#mercure', ""Jupiter près de vous m'ordonne de me rendre."")",0.66,Substitution
48,"('#phinee', ""Vous ne m'aimez pas, je le vois."")",,1.0,Insertion
49,"('#andromede', 'Cessez de craindre.')",,1.0,Insertion
50,"('#phinee', 'Cessez de feindre.')",,1.0,Insertion
51,"('#andromede #phinee', 'Croyez-moi, croyez-moi.')","('#ceres', ""Non, non, à vos discours je n'ose ajouter foi. Jupiter après sa victoire Songe à tenir en paix l'univers sous sa loi ; Il est trop occupé de sa nouvelle gloire, Eh ! Le moyen de croire Qu'il songe encore à moi ?"")",1.2,Substitution
52,"('#merope', ""Vous êtes tous deux aimables, Et vous vous aimez tous deux ; Quels différents sont capables De rompre de si beaux noeuds ? Que ne souffriront point les amants misérables Si l'Amour a des maux pour les amants heureux ?"")","('#mercure', ""Dans les soins les plus grands dont son âme est remplie Il se souvient toujours que vous l'avez charmé ; Il est mal-aisé qu'on oublie Ce qu'on a tendrement aimé, Il admire les dons que vous venez de faire En cent climats divers, L'abondante Sicile heureuse de vous plaire De vos riches moissons voit tous ses champs couverts : Mais la mère des dieux se plaint que la Phrygie Quelle a toujours chérie, Ne se ressente pas de vos soins bienfaisants ; Et c'est Jupiter qui vous prie D'y porter vos divins présents. Quelle gloire de voir qu'un dieu si grand implore Votre favorable secours !"")",0.29,Substitution
53,"('#andromede', 'Sans raison son chagrin éclate.')",,1.0,Insertion
54,"('#phinee', 'Perdrai-je sans chagrin mon espoir le plus doux ? Condamnez une ingrate.')","('#ceres', ""Peut-être qu'il m'estime encore, Mais il m'avait promis qu'il m'aimerait toujours. L'amour qui pour lui m'anime Devient plus fort chaque jour, Est-ce assez d'un peu d'estime Pour le prix de tant d'amour."")",0.63,Substitution
55,"('#andromede', 'Condamnez un amant jaloux.')","('#mercure', ""Il sent l'ardeur qu'un tendre amour inspire, Avec plaisir il se laisse enflammer ; Mais un amant chargé d'un grand empire N'a pas toujours le temps de bien aimer."")",0.55,Substitution
56,"('#phinee', ""Persée a su lui plaire, et d'une vaine excuse Elle veut éblouir mon amour outragé. Elle m'aimait... Non, je m'abuse, Non, puisqu'elle a si tôt changé, Jamais son coeur pour moi ne fut bien engagé."")","('#ceres', ""Quand de son coeur je devins souveraine N'avait-il pas le monde à gouverner, Et ne trouvait-il pas sans peine Du temps de reste à me donner. Je l'ai vu sous mes lois ce dieu si redoutable. Je l'ai vu plein d'empressement ; Ah ! Qu'il serait aimable, S'il aimait constamment !"")",0.37,Substitution
57,"('#andromede', ""Le devoir sur mon coeur vous donne un juste empire. Vous ne devez pas craindre un changement fatal. Un amant assuré d'un bonheur qu'il désire,  Peut-il être jaloux d'un malheureux rival ?"")","('#mercure', ""Son amour craint de trop paraître, Dans le ciel on l'observe avec des yeux jaloux."")",0.38,Substitution
58,"('#phinee', ""Non, je ne puis souffrir qu'il partage une chaîne Dont le poids me parait charmant. Quand vous l'accableriez du plus cruel tourment, Je serais jaloux de sa peine. Mais il ne fait point voir le dépit éclatant. S'il est si malheureux, sa constance m'étonne : L'amour que l'espoir abandonne, Est moins tranquille et moins constant."")","('#ceres', ""De quels dieux n'est-il pas le maître ? Ne les fait-il pas trembler tous ? Que vous l'excusez mal quand mon amour l'accuse ; S'il pouvait avoir quelque excuse, Mon coeur la trouverait mille fois mieux que vous. Allez, à ses désirs il faut que je réponde. Je quitte une paix profonde, Qui m'offre ici mille appas : Que ne quitterait-on pas Pour plaire au maître du monde ? Mercure répète ces deux derniers vers avec Cérès, et s'envole pour aller au ciel retrouver Jupiter."")",0.41,Substitution
59,"('#andromede', ""Quel plaisir prenez-vous à vous troubler vous-même, Et de quoi votre amour peut-il être alarmé ? Je fuis votre rival avec un soin extrême : Est-on accoutumé de fuir ce que l'on aime ?"")","('#ceres', ""La Phrygie a besoin de mes dons précieux, Et je laisse avec vous Proserpine en ces lieux, J'ai peine à la quitter, cette fille si chère..."")",1.37,Substitution
60,,"('#arethuse', ""Je suis dans la Sicile une nymphe étrangère, Je viens vous conjurer de m'en laisser partir."")",1.0,Deletion
61,,"('#ceres', ""Non, Arethuse, non, je n'y puis consentir."")",1.0,Deletion
62,"('#phinee', ""Vous suivez à regret la gloire et le devoir, En fuyant un amant à vos yeux trop aimable ; Vous l'avez trouvé redoutable,  Puisque vous craignez de le voir."")","('#arethuse', ""Alphée à mon repos a déclaré la guerre : Diane propice à mes voeux, En vain pour me cacher à ce fleuve amoureux, Fit ouvrir le sein de la terre : Il n'est point de détours dans l'ombre des enfers Que son amour n'ait découverts : Je l'ai trouvé partout, et sous des mers profondes J'ai vu ses flots brûlants suivre mes froides ondes ; Je veux le fuir encore au bout de l'univers."")",0.1,Substitution
63,"('#andromede', ""Tout vous fait peur, tout vous irrite ; Vous m'apprenez à craindre un héros glorieux, Je ne veux point voir son mérite ; Votre importun soupçon veut-il m'ouvrir les yeux ?"")","('#ceres', ""Les soins d'un amour extrême Devraient moins vous alarmer : Vous craignez trop qu'on vous aime, Ne craignez vous point d'aimer ? Vous rougissez, Arethuse ; Votre rougeur vous accuse. Il est aisé de voir dans ce trouble fatal Le péril où l'amour en ces lieux vous expose."")",0.0,Match
64,"('#phinee', ""Ah ! Si vous le flattiez de la moindre espérance, Le Dieu qu'il vous fait croire auteur de sa naissance ;  Dût-il faire éclater son foudroyant courroux, Ne le sauverait pas de mon transport jaloux."")","('#arethuse', ""Le dangereux amour ! Que je lui veux de mal Du trouble qu'il me cause !"")",0.25,Substitution
65,"('#andromede', 'Juste Ciel !')","('#ceres', 'Avec Alphée ici je veux vous arrêter.')",1.69,Substitution
66,"('#phinee', 'Vous tremblez ! Persée a su vous plaire, Si son péril peut vous troubler.')","('#arethuse', ""Eh ! De grâce, aidez-moi plutôt à l'éviter. Je crains enfin qu'il ne m'engage, Et sa constance me fait peur : Non, si je le vois davantage, Je ne réponds plus de mon coeur."")",0.46,Substitution
67,"('#andromede', ""Le ciel n'est que trop en colère, Et vous bravez un Dieu qui peut vous accabler. C'est pour vous que je dois trembler."")","('#ceres', ""Aimez sans vous contraindre, Aimez à votre tour. C'est déjà ressentir l'amour Que de commencer à le craindre. Arethuse chante ces deux derniers vers avec Cérès."")",0.63,Substitution
68,"('#phinee', ""Ne vous servez point d'artifice."")","('#ceres', ""Je vais voir Proserpine, et partir promptement. Demeurez avec elle en un lieu si charmant Pour fuir l'amour qui vous appelle Ne cherchez plus de vains détours : Aimez un amant fidèle, On n'en trouve pas toujours Cérès va voir Proserpine avant que de partir pour aller en Phrygie."")",1.69,Substitution
69,"('#andromede', ""Ne me faites point d'injustice : Je veux vous aimer, je le dois."")","('#arethuse', ""Vaine fierté, faible rigueur, Que vous avez peu de puissance Contre l'amour et la constance ! Vaine fierté, faible rigueur, Ah ! Que vous gardez mal mon coeur ! En vain, par vos conseils je me fais violence : Je combats vainement une douce langueur : Hélas ! Vous m'engagez à faire résistance, Et vous me laissez sans défense, Au pouvoir de l'amour vainqueur ? Vaine fierté, faible rigueur, Que vous avez peu de puissance Contre l'amour et la constance ! Vaine fierté, faible rigueur, Ah ! Que vous gardez mal mon coeur ! Je vois Alphée, ô dieux ! Où sera mon asile ! Mon coeur est déjà charmé, Et ma fuite est inutile ; Hélas ! Qu'il est difficile De fuir un amant aimé ! Il approche, je tremble. Ah faut-il qu'il jouisse Du trouble honteux où je suis ? Pardonne, amour, si je le fuis, J'en ressens un cruel supplice ; Mais n'importe, je veux l'éviter si je puis."")",0.66,Substitution
70,"('#phinee', ""Vous ne m'aimez pas, je le vois."")","('#alphee', ""Arrêtez, nymphe trop sévère, Ne fuyez plus d'une course légère Les soins trop empressés de mon coeur amoureux ; N'ayez plus contre moi ni chagrin ni colère, J'ai résolu de ne vous plus déplaire, Et je vais étouffer mon amour malheureux."")",0.77,Substitution
71,"('#andromede', 'Cessez de craindre.')","('#arethuse', 'Alphée...')",1.38,Substitution
72,"('#phinee', 'Cessez de feindre.')","('#alphee', ""Alphée enfin vous arrête, inhumaine, Mais vous vous arrêtez pour voir briser sa chaîne. C'en est fait, mes fers sont rompus."")",1.26,Substitution
73,"('#andromede #phinee', 'Croyez-moi, croyez-moi.')","('#arethuse', 'Alphée, est-il bien vrai ?')",0.89,Substitution
74,"('#merope', ""Il craint autant qu'il aime ; Vous devez l'excuser. L'amour extrême Sert d'excuse lui-même Aux craintes qu'il a su causer."")","('#alphee', ""N'en doutez point, cruelle, Je le reprends ce coeur trop tendre et trop fidèle, Ce coeur trop rebuté par de cruels refus."")",0.78,Substitution
75,,"('#arethuse', ""Alphée, est-il bien vrai que vous ne m'aimiez plus ?"")",1.0,Deletion
76,"('#merope #andromede #phinee', ""Ah ! Que l'amour cause d'alarmes ! Ah ! Que l'amour aurait d'attraits S'il ne troublait jamais La douceur de ses charmes ? Ah ! Que l'amour aurait d'attraits Si l'ont aimait toujours en paix !"")","('#alphee', ""Ingrate il est trop vrai, mon coeur rompt avec peine Des noeuds qu'il a trouvé si beaux ; Mais de peur qu'il ne les reprenne Je le veux engager en des liens nouveaux. J'ai vu l'aimable Proserpine : On connaît à l'éclat de sa beauté divine Que du maître des dieux elle a reçu le jour. Rendez-lui grâce, C'est elle qui vous débarrasse De mon fâcheux amour."")",0.38,Substitution
77,,"('#arethuse', 'Si Proserpine est belle, Son coeur est fier et rigoureux : Votre chaîne nouvelle Ne vous rendra pas plus heureux.')",1.0,Deletion
78,"('#andromede', 'Mon devoir est pour vous, mon devoir peut suffire À vous faire un tranquille espoir.')","('#alphee', ""N'importe je veux bien souffrir sous son empire. Vous ne m'avez déjà que trop accoutumé Au rigoureux martyre D'aimer sans être aimé. Proserpine vous aime, et j'ose au moins prétendre Que vous me servirez dans cet engagement. Vous savez si mon coeur est tendre, Vous avez éprouvé s'il aime constamment..."")",0.67,Substitution
79,"('#phinee', ""Ne ferez-vous jamais parler que le devoir ? L'amour n'a-t-il rien à me dire ?"")","('#arethuse', ""Non je ne veux jamais entendre Parler ni d'amour ni d'amant. Me suivrez-vous sans cesse ?"")",0.32,Substitution
80,"('#andromede', 'Les jeux vont commencer, plaçons nous pour les voir.')",,1.0,Insertion
81,"('#cassiope', ""Ô Junon ! Puissante déesse Qu'on ne peut assez révérer !  J'assemble en votre nom cette aimable jeunesse, Que le flambeau d'Hymen doit bientôt éclairer. Chacun va montrer son adresse Pour disputer les prix que j'ai fait préparer, Ne gardez pas pour nous une haine implacable ; Si l'orgueil me rendit coupable, Je reconnais mon crime et veux le réparer. Voyez d'un regard favorable Les jeux qu'en votre honneur nous allons célébrer."")","('#alphee', ""Me fuirez-vous toujours ? L'ingrate Arethuse me laisse Sans espoir de secours ? C'est un feu nouveau qui me presse..."")",0.94,Substitution
82,"('#le-choeur', 'Laissez calmer votre colère. Ô Junon, exaucez nos voeux ! Si nous pouvions vous plaire, Que nous serions heureux ! On commence les jeux en disputant le prix de la danse.')",,1.0,Insertion
83,"('#amphimedon', ""Fuyons, nos voeux sont vains et Junon les refuse. De nouveaux malheureux en rochers convertis, Ne nous ont que trop avertis Qu'ils ont vu paraître Méduse."")",,1.0,Insertion
84,"('#corite', 'Méduse revient dans ces lieux !')","('#arethuse', 'Me suivrez-vous sans cesse ?')",1.45,Substitution
