fuzelier-enfer-galant,la-fontaine-daphne,Score
-,"('#jupiter', ""Tel dieu sait l'avenir, qui n'a pas su prévoir Quels maux ce démon lui va faire. Mais un jour un prince viendra Qui plaira plus qu'il ne voudra. Le Destin parmi nous lui garde un rang insigne, Et je lui veux accorder, Afin qu'il en soit plus digne, L'art de savoir commander. Mars lui promet en apanage La grandeur d'âme et de courage."")",0.0
-,"('#minerve', 'Moi, la vertu.')",0.0
-,"('#venus', ""Moi, l'agrément."")",0.0
-,"('#amour', ""Et moi le don d'aimer et d'être heureux amant."")",0.0
-,"('#venus #l-amour #minerve', ""Amour et la Raison s'accorderont pour faire Qu'aux coeurs comme aux esprits ce prince plaise un jour"")",0.0
-,"('#choeur', 'Heureux qui par raison doit plaire ! Plus heureux qui plaît par amour !')",0.0
-,"('#chloris #aminte #nymphes', ""Allons dans cette prairie : C'est un tranquille séjour ; Jamais les larmes d'amour N'y baignent l'herbe fleurie ; Les moutons y sont en paix, Et les loups n'y font jamais D'outrage à la bergerie."")",0.0
-,"('#chloris', 'Viens, ma soeur.')",0.0
-,"('#aminte', 'Je te suis.')",0.0
-,"('#chloris', ""Viens goûter une vie Dont le calme est digne d'envie. Notre Nymphe a banni de ces lieux si charmants Ce peuple d'importuns que l'on appelle amants. La voici."")",0.0
-,"('#aminte', ""Que d'appas, de beautés, et de grâces ! Dirait-on pas que l'air s'embellit à ses traces ?"")",0.0
-,"('#daphne', ""Amour, n'approche point de nos ombrages doux, De nos prés, de nos fontaines ; Laisse en repos ces lieux ; assez d'autres que nous Se feront un plaisir de connaître tes peines."")",0.0
-,"('#daphne', ""Chloris, n'est-ce pas la ta soeur que tu m'amènes ?"")",0.0
-,"('#chloris', 'Je vous la viens offrir. Nous cherchions en ces lieux Ce que Flore a pour vous de dons plus précieux.')",0.0
-,"('#daphne', ""Cherchons, cherchons des fleurs ; l'âge nous y convie : Parons-nous de bouquets pendant notre printemps : Les plaisirs ont chacun leur temps, Comme les saisons de la vie Daphné, ayant achevé ces paroles, se baisse pour cueillir des fleurs, et les Nymphes de la suite en font autant ; pendant quoi un choeur de bergers, demeuré par respect derrière le théâtre, répète ces mots."")",0.0
-,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie.')",0.0
-,"('#daphne', ""J'entends de nos bergers le concert plein d'appas. Qu'ils chantent, je le veux, mais qu'ils n'approchent pas."")",0.0
-,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie Il en renaît sous ses pas.')",0.0
-,"('#daphne', 'Déployons nos trésors.')",0.0
-,"('#chloris', ""J'ai cueilli les plus belles."")",0.0
-,"('#aminte', 'Et moi, les plus nouvelles.')",0.0
-,"('#meroe', 'Moi, les plus vives en couleur.')",0.0
-,"('#daphne', ""Et vous ? Quel mauvais choix vous avez fait, ma soeur ! Vous nous direz, pour votre peine, Une chanson contre l'Amour. Cependant je veux que ma Cour Jure de lui porter une éternelle haine ; Jurez la première, Clymène !"")",0.0
-,"('#clymene', ""Tout serment De n'avoir jamais d'amant Est chose fort incertaine ; Il en est peu que l'on tienne Plus d'un jour, plus d'un moment : Tout serment De n'avoir jamais d'amant Est chose fort incertaine."")",0.0
-,"('#daphne', 'Je veux que vous juriez ; dites donc après moi : Amour,')",0.0
"('#venus', 'Hélas !')","('#clymene', 'Amour,')",0.7529548406600952
