,boyer-amours-jupiter-semele,dufresny-adieux-des-officiers,Cost,Operation Type
10,"('#melpomene', ""Non ; mais adressons-nous à celle de nos soeurs,  Qui connaît comme nous les grâces de la scène ;  Qu'elle règle entre nous une palme incertaine.  Elle vient ; je l'entends ; ces sons mélodieux  Font parler hautement les échos de ces lieux. "")",,1.0,Insertion
11,"('#melpomene', 'Approchons.')",,1.0,Insertion
12,"('#thalie', ""Ah ma soeur gardez de l'interrompre."")",,1.0,Insertion
13,"('#melpomene', 'Je vois que vous songez ma soeur à la corrompre. ')",,1.0,Insertion
14,"('#thalie', ""Que vous m'avez charmée avec un air si doux !  Notre grand Apollon n'en sait pas plus que vous."")",,1.0,Insertion
15,"('#melpomene', ""On vous flatte ma soeur, mais vous êtes fidèle.  Vous venez à propos finir notre querelle :  Sous savez le Théâtre, et c'est là votre emploi ;  Sa vanité prétend de l'emporter sur moi,  Et croit que sur la scène, elle à tout l'avantage. "")",,1.0,Insertion
16,"('#euterpe', ""Quoi mes soeurs votre honneur dépend de mon suffrage !  Donc le prix n'est ici disputé qu'entre vous :  J'admire entre vous deux ce mouvement jaloux,  Qui vous fait oublier la part que je dois prendre,  Mais si vous ignorez ce que je dois prétendre,  Vous permettrez mes soeurs que je garde pour moi  Ce que vous disputez, et ce que je me dois.  Ce jugement sans doute étonne l'une et l'autre ;  Vous blâmez mon orgueil pour contenter le vôtre :  Mais voyons si j'ai tort, et si c'est un arrêt  Dicté par la justice ou par mon intérêt.  Je commence par vous de qui l'humeur altière  Prétend entre les soeurs la préférence entière.  Vous imaginez que toutes ces horreurs,  Ces grands emportements, et ces nobles fureurs,  Dont le monde autrefois fut longtemps idolâtre,  Font encore aujourd'hui les beautés du Théâtre.  Vos sujets quelquefois ont de tels embarras,  Qu'on se lasse d'ouïr ce que l'on entend pas :  Par le profond secret d'un art impénétrable,  Vous embrouillez si fort l'intrigue de la fable,  Qu'à peine un Jupiter la pourrait démêler.  Tout ce que sur la scène on nous voit étaler,  N'est souvent que fumée, et qu'un éclat qui trompe,  N'a que de faux brillants, et qu'une vaine pompe.  Vous avez beau donner les plus belles couleurs,  Aux furieux transports, aux crimes, aux douleurs,  Aux plaintes d'un amant, au désespoir, aux larmes,  Ma soeur sur le théâtre on cherche d'autres charmes ;  On y veut des objets agréables et doux,  Sans y mêler l'horreur, la crainte et le courroux.  Pour vous vous le savez, le siècle vous fait grâce,  Bien souvent votre Jeu n'est que pure grimace ;  Un geste ridicule, et des tons imités,  Font ordinairement vos plus grandes beautés.  On vous voit tous les jours avec tant de licence,  (Soit adresse ou chagrin) pousser la médisance,  Que les plus retenus en gronde contre vous.  Pour moi qui n'ai l'esprit, ni chagrin ni jaloux,  J'avouerai que vos vers vous donnent de la gloire ;  Vous aurez votre place au temple de mémoire ;  On vous doit estimer tout ce que vous valez,  Mais peut-être un peu moins que ce que vous voulez.  Je ne vous direz point à sa honte et la vôtre,  Pour ne pas tout à fait confondre l'une et l'autre,  Qu'on vous voit tous les jours sans front et sans pudeur  Briguer chez les mortels l'estime et la faveur.  Moi-même j'en rougis, quand je vois des Déesses  Pour un faible intérêt faire mille bassesses.  Est-ce là le moyen de mériter le prix ?  Mais je veux autrement convaincre vos esprits.  Pour vous faire céder la gloire et l'art de plaire,  Voyez si comme vous je suis triste et sévère.  Je n'ai point vos défauts, et j'ai tous vos appas.  Je chante sur un ton ni trop haut ni trop bas ;  J'ai de vos passions le tendre et l'agréable ;  J'ai comme vous le style ingénu, raisonnable ;  Dans ma façon d'agir et dans mes sentiments  Je n'ai ni vos chagrins, ni vos emportements ;  Plus discrète que vous je plais sans médisance ;  Et plus douce que vous j'agis sans violence :  Ainsi vous voyez bien si j'ai droit d'emporter  Le prix qu'entre vous deux vous osez disputer.  Je sais bien toutefois qu'elle est votre espérance,  Pour emporter l'honneur de cette préférence.  Comme le grand Louis anime votre voix,  Vous me croyez mal propre à chanter ses exploits.  Le moyen que je puisse avec des soins rustiques  Célébrer dignement ses vertus héroïques,  Ce qu'il fait tous les jours pour l'honneur des beaux arts ;  Son règne plus heureux que celui des Césars ;  Le retour de la paix si longtemps exilée ;  L'injustice bannie et la foi rappelée ;  Ses amis secourus, ses ennemis défaits ;  La gloire du triomphe au milieu de la paix ;  Le commerce établi par sa sage conduite ;  Des tyrans de la mer la défaite ou la fuite ;  Et tout ce qui le rend la gloire des François,  La terreur de l'Europe et l'exemple des Rois.  Mais vous verrez un jour ce que peut ma musette,  Notre grand Apollon a porté la houlette,  Et ma voix pour les Rois n'est pas à négliger,  Si les Dieux ont paru sous l'habit de Berger. "")","('#mars', ""Mon devoir m'arrache d'auprès de vous, charmante Vénus, il faut vous quitter dans le temps que votre coeur commençait à s'ébranler pour moi ; quel contretemps ! "")",0.82,Substitution
17,"('#melpomene', ""Hé quoi ma soeur de Juge on vous voit ma partie,  De vos prétentions j'étais mal avertie.  Vous disputer le prix ? Vous dont la faible voix  Ne sait représenter que les plaisirs des bois,  Les amours des Bergers, et cette vie obscure  Qui ne saurait fournir une illustre aventure ?  Vous prétendre à mon rang avec tant de fierté ? Votre exemple ma soeur a fait sa vanité,  Et vous voyant prétendre un pareil avantage,  Votre présomption vient d'enfler son courage.  À Thalie."")","('#venus', ""Hélas, je suis bien plus à plaindre que vous !  J'ai tout à craindre de votre inconstance ; et une campagne endurcit bien le coeur d'un guerrier."")",0.52,Substitution
18,"('#thalie', ""En vain à mon orgueil vous imputez le sien ;  Vous confondez nos droits pour détruire le mien :  Mais pour mieux distinguer son mérite et le nôtre,  Défions-nous, ma soeur, doutons l'une de l'autre,  Cherchons un autre Juge, allons lui faire voir  Par quelque grand essai quel est notre savoir :  Consultons Apollon, et qu'un Dieu si fidèle  Décide entre nous trois cette grande querelle. "")",,1.0,Insertion
19,"('#euterpe', ""C'est le Dieu du Théâtre il peut seul nous juger."")",,1.0,Insertion
20,"('#melpomene', ""Ma gloire entre ses mains ne court pas grand danger.  Divin dispensateur de la plus belle gloire  Venez par votre arrêt assurer ma victoire,  Venez donner le prix à qui l'a mérité.  Il vient et nous fait voir toute sa majesté. Durant qu'Apollon descend on entend un concert de tous les instruments des trois Déesses."")","('#le-tambour', ""Il faut, s'il vous plaît, abréger vos dialogues ; vous n'avez que le temps de venir payer votre hôtesse. Bellone a déjà endossé son habit de postillon, elle sera ici dans un moment avec votre chaise de poste. "")",1.08,Substitution
21,"('#melpomene', ""Arbitre souverain des filles du Parnasse,  Le croirez-vous ! On veut me contester ma place :  Mes soeurs fières d'avoir l'honneur d'un même sang,  Me veulent disputer celui du premier rang, Et mettant devant vous leur adresse en usage,  Par des nouveaux efforts briguer votre suffrage."")",,1.0,Insertion
22,"('#apollon', ""Je sais de toutes trois le mérite et l'emploi :  Je suis le Dieu des vers comme de la lumière,  Et puisque l'on s'adresse à moi,  Pour savoir qui des trois doit être la première,  J'userai du pouvoir que vous m'avez donné.  Je ne veux écouter ni faveur ni caprice,  Et vous verrez par ma justice  Le seul mérite couronné."")",,1.0,Insertion
23,"('#thalie', ""C'est sur ce digne espoir grand Dieu que je commence,  Et je prends pour ma gloire une entière assurance.  Sur le luth ou sur la musette,  Pour le sceptre ou pour la houlette,  Chantez, mes soeurs, chantez de toutes les façons :  Pour moi je n'aime qu'à médire,  Et la gloire de faire rire  Vaut bien celle de vos chansons.  Chanson pour Thalie. "")","('#mars', ""Va voir s'il ne manque rien à mon équipage, et laisse-moi profiter de quelques moments que la gloire veut bien accorder à ma tendresse. "")",0.97,Substitution
24,"('#apollon', 'Melpomène, ces chants si charmants et si doux  Semblent à votre soeur promettre la victoire.')",,1.0,Insertion
25,"('#melpomene', ""Non, non vous n'avez rien à craindre pour ma gloire,  Grand Dieu, vous êtes juste et c'est assez pour nous.  Faibles esprits, âmes vulgaires,  Qui des biens les plus ordinaires  Faites vos solides plaisirs,  Ce n'est pas vous que je veux croire :  De plus dignes objets occupent mes désirs,  Et si je pousse des soupirs,  C'est pour le trône ou pour la gloire.  Chanson pour Melpomène. "")","('#le-tambour', ""Votre équipage est complet, il ne vous manque rien que de l'argent ; mais, madame Vénus y pourvoira.  À propos, pendant que je suis dans le magasin de Vulcain, je vais vous choisir deux bons éperons de longueur, car je me souviens que votre cheval est toujours rétif quand il faut sortir de Paris. "")",0.66,Substitution
26,"('#apollon', ""Déesse, l'une et l'autre ont charmé mes oreilles. "")",,1.0,Insertion
27,"('#euterpe', ""Attendez de ma voix de plus grandes merveilles.  Venez pasteurs, venez, et des chants les plus beaux,  Des plaines de l'Écho, du bruit de vos ruisseaux,  Faites un concert agréable ;  Faites voir à mes soeurs par des charmes si doux,  Que tout ce qu'elles ont d'aimable,  Ne l'est pas tant que vous. Chanson pour EUTERPE."")",,1.0,Insertion
28,"('#thalie', ""Prononcez votre arrêt, grand Dieu qu'attendez-vous ?  Est-il si mal aisé de juger entre nous ?"")",,1.0,Insertion
29,"('#melpomene', ""C'est trop c'est trop languir dans cette inquiétude. "")",,1.0,Insertion
30,"('#euterpe', 'Tirez-nous promptement de cette incertitude. ')",,1.0,Insertion
31,"('#apollon', ""Que puis-je prononcer, alors qu'également  Je me trouve surpris entre tant de merveilles ?  Le prix est incertain pour des beautés pareilles,  Et cette égalité suspend mon jugement.  Aussi ne voulant pas qu'une ait tout l'avantage,  Par un art qui vous mêle et ne vous détruit pas,  Le théâtre aujourd'hui va produire un ouvrage ;  Qui doit unir tous vos appas,  Et sans juger sur qui doit tomber la victoire,  Par un mélange heureux confonde votre gloire.  Vivez sans jalousie et n'ayez d'autre soin  Que de plaire à Louis et d'avoir son suffrage : Travaillez à l'envi pour ce grand avantage ;  Qu'il soit de vos travaux le juge et le témoin.  Sur ses soins généreux tout votre espoir se fonde ;  Par lui vos différents cesseront désormais, Et pour comble de ses bienfaits,  Son équitable arrêt vous va donner la paix,  Qu'il a donnée à tout le monde."")",,1.0,Insertion
32,"('#melpomene', 'Tout ce qui va paraître aux yeux de ce grand Roi,  Le résoudra bientôt à prononcer pour moi.')","('#mars', ""Tes discours m'importunent ; retire-toi. "")",1.09,Substitution
33,"('#apollon', 'Suspendez votre espoir ; attendez son oracle.  Cependant faisons place à ce rare spectacle,  Venez-en avec moi contempler la beauté,  Et prendre votre part de cette nouveauté. ')",,1.0,Insertion
34,"('#melpomene', ""Allez et flattez-vous d'un bien imaginaire,  Ma présence en ces lieux est encore nécessaire.  Vous spectacles pompeux venez parler pour moi.  Venez justifier l'honneur de mon emploi.  Venez me seconder, vous savantes fureurs ;  Vous, qui communiquez ces divines chaleurs,  Ces glorieux transports ; dont le pouvoir suprême  Peut élever l'esprit au-delà de lui-même. Apollon part avec rapidité vers le milieu des airs, Thalie et Euterpe partent à même temps emportées par des nues et par un vol croisé. Les Fureurs Poétiques paraissent et dansent une entrée de Ballet, qui fait la fin du Prologue."")","('#le-tambour', 'À voir les cérémonies que votre cheval fait pour sortir des portes, on croirait que le pauvre animal ressent la moitié de la tendresse que vous avez pour madame. ')",1.06,Substitution
35,"('#les-heures', ""Voici la brillante Déesse,  Qui vient nous annoncer la naissance du jour.  Princesse un jeune coeur tout enflammé d'amour,  Peut-il avoir tant de paresse ?  La grand maître des Dieux presse votre réveil ;  Il languit en secret d'un amoureux martyre.  Le repos vous sied mal quand Jupiter soupire,  Et l'amour est un Dieu plus doux que le sommeil. "")","('#mars', 'Hé, laisse-nous en paix. ')",1.2,Substitution
36,"('#aurore', ""Belles heures allez éveiller la Princesse ;  La douceur de vos chants peut moins que sa paresse.  Montrez-lui promptement ce spectacle nouveau.  Allez sans tardez davantage,  Et que l'ombre de ce rideau  Ne lui dérobe plus ma voix et mon visage. Les Heures descendent et tirent le rideau de l'alcôve."")","('#le-tambour', ""Vous souvient-il du tour qu'il vous joua en revenant de Flandres, comme nous sortions de cette hôtellerie... là... où vous devîntes amoureux de la servante ? "")",0.81,Substitution
37,"('#semele', 'Quel éclat, quelle voix force agréablement  Un repos si profond, in sommeil si charmant ? ')",,1.0,Insertion
38,"('#aurore', ""Princesse nous entrons avec cette licence  Que nous donne aujourd'hui le souverain des Dieux.  Par son divin pouvoir nous pénétrons ces lieux,  Où la discrétion dérobe sa présence.  Jupiter sans vous voir, ne peut être content :  Dans ce parc amoureux, en ces sombres retraites,  De vos premiers soupirs confidentes discrètes,  Sous l'habit d'un berger Jupiter vous attend."")","('#mars', 'Te tairas-tu maraud ? ')",1.23,Substitution
39,"('#semele', ""L'image d'un beau songe, un fantôme agréable  Rend envers Jupiter ma paresse excusable ;  Lui-même était l'objet d'un songe si charmant.  Allez belle Déesse avertir mon amant,  Que j'aime son ardeur, et son impatience :  Mais aussi dites-lui qu'il faut par bienséance,  Pour sortir du palais, attendre un plus grand jour,  Et voler malgré moi ce temps à son amour. "")",,1.0,Insertion
40,"('#aurore', ""Sémélé je ne puis paraître davantage :  Une de ces Heures pour moi,  Peut aller faire ce message,  Le grand jour qui s'avance a fini mon emploi ;  Je dois quitter la place au Dieu de la lumière,  Il a commencé sa carrière.  Filles de Jupiter témoins de ses ardeurs,  Vous allez satisfaire à son impatience ;  Vous pour ce grand secret gardez bien le silence,  Et remontez au Ciel pour rejoindre vos soeurs.  Les deux Heures partent à même temps et volent vers le cintre du théâtre, tandis que l'Aurore remonte vers le lieu d'où elle est partie."")","('#le-tambour', 'Il faut les laisser seuls : le jour du départ on a mille choses à se dire.  Mais voilà Bellone, dépêchez-vous. Vers Mars.')",0.6,Substitution
41,"('#semele', ""En est-ce assez, Dircé, pour te faire connaître  L'amour, qu'au coeur d'un Dieu mes appas ont fait naître ? L'Aurore en ma faveur viendrait-elle en ces lieux,  Sans l'ordre de ce Dieu, qui commande les Dieux ? "")",,1.0,Insertion
42,"('#dirce', ""Non, je n'en doute plus, et j'en tremble, Madame.  Quoi le Prince Alcméon, qui régnait dans votre âme,  Ce grand Prince d'Argos, qui depuis si longtemps  Vous offre sa Couronne et des voeux si constants,  Va perdre tout l'espoir de son amour fidèle ? "")","('#bellone', ""Partez, partez, Mars, il est temps ;  Les plaisirs du printemps  Sont indignes de vous ; allez porter la guerre. Aux deux bouts de la terre.  Laissez en paix, au moins pendant six mois,  Nos ménages bourgeois,  C'est le seul bien que vous leur puissiez faire,  Rien n'est si doux  Pour un jaloux  Que votre absence :  Mais vos adieux,  En récompense,  Sont bien dangereux. "")",0.78,Substitution
43,"('#semele', ""J'ai cru brûler pour lui d'une flamme immortelle :  Mais puis-je garantir un feu si glorieux  Contre l'ordre éternel du Destin et des Dieux ? "")","('#vulcain', ""Le ciel soit loué !  Voilà Bellone qui va délivrer ma maison de ce grand pendard de Mars.  C'est le plus grand maraud !  Cependant, parce qu'il a de la bravoure, et que je suis naturellement poltron, j'ai mille complaisances pour lui.  Il me prend pourtant envie de venger mon front sur le sien.  Mais, non, c'est un brutal qui n'entend pas raillerie, différons la vengeance jusqu'à ce qu'il soit parti.  Il aime tendrement ma femme, et je ne puis mieux me venger de lui, qu'en rossant ce qu'il aime.  Pour le présent, le plus sûr est de travailler comme si de rien n'était.  Il lève son marteau. Vulcain frappe sur son enclume dans le temps que Mars et Vénus parlent ensemble."")",0.88,Substitution
44,"('#dirce', ""Mais le Roi qui du Prince estime l'alliance,  Et voit que votre coeur penche à quelque inconstance,  Veut, sans plus différer le faire votre Époux ;  Vous devez obéir ou craindre son courroux. "")","('#un-amour', ""Vive la prudence  Du grand dieu Vulcain :  Il voit qu'on l'offense,  Et va toujours son train.  Suivez cet usage,  Mortels indiscrets,  Dans votre ménage  Vous aurez la paix  Vive la prudence  Du grand dieu Vulcain :  Il voit qu'on l'offense,  Et va toujours son train. "")",0.38,Substitution
45,"('#semele', ""Ah Dircé, son courroux ne serait pas à craindre,  Si pour vaincre un pouvoir, qui voudra me contraindre,  J'osais lui découvrir la glorieuse ardeur,  Que le grand Jupiter allume dans mon coeur :  Mais l'ordre de ce Dieu me condamne au silence. "")","('#venus', ""Petit mari ? Moutonnet, mignon, tu fais plus de bruit aujourd'hui qu'à l'ordinaire. Vulcain tourne la tête sans rien dire et frappe toujours. "")",1.1,Substitution
46,"('#dirce', ""Mais l'amour de ce Dieu fait seul votre défense :  Pour vous justifier, il doit paraître au jour. "")",,1.0,Insertion
47,"('#semele', ""J'obtiendrai de ce Dieu l'aveu de son amour.  Aussi bien il est temps que son rival apprenne  Que l'ardeur, dont je brûle est fatale à la sienne,  Et qu'un mortel me cède à ce nouvel amant,  Puisqu'enfin c'est un Dieu qui fait mon changement."")","('#vulcain', ""C'est que je frappe de rage. Il continue de frapper."")",1.08,Substitution
48,"('#dirce', 'De cet amant plutôt songez à vous défaire. ')",,1.0,Insertion
49,"('#semele', ""Se défait-on d'un Dieu qui fait tout pour nous plaire ?  Est-il quelque constance, est-il quelque devoir,  Qui puisse résister contre tant de pouvoir ?  Si tu savais l'effet de ces divines flammes,  Et de quel air un Dieu s'introduit dans les âmes ;  Ou bien si tu savais combien l'amour des Dieux  Se saisit aisément d'un coeur ambitieux ;  Car enfin je veux bien t'avouer ma faiblesse,  L'orgueil fait dans mon coeur autant que ma tendresse. "")","('#venus', 'Mon petit fils, frappe donc plus doucement, si tu veux épargner ma tête.')",1.54,Substitution
50,"('#dirce', ""Vous m'avez confié le nom de votre amant :  Contez-moi votre amour et son commencement. "")",,1.0,Insertion
51,"('#semele', ""Ah ! Que l'amour des Dieux est fort en sa naissance !  Il peut tout, il triomphe au moment qu'il commence.  J'étais dans ce beau parc où Jupiter m'attend,  Quand au milieu des airs un tumulte éclatant,  Du côté de ce bruit me fait tourner la vue.  À mes pieds aussitôt je vois fondre une nue,  Qui s'étant entr'ouverte offre à mon oeil charmé  Tous les appas d'un Dieu quand il veut être aimé.  Sa Majesté d'abord trouble toute mon âme :  Puis un regard mêlé de tendresse et de flamme,  Comme un brillant amas de force et de douceur,  Me lance un trait de feu jusques au fond du coeur.  Pour mon premier amour ma raison s'intéresse ;  Mais elle le défend avec tant de faiblesse,  Que dans le doux penchant de cette trahison  Mon coeur gagné sans peine entraîne ma raison.  Jupiter qui connaît mon désordre et sa gloire,  Par la parole enfin achève sa victoire ;  Il me flatte, il me loue, et de la main des Dieux  Tu sais combien pour nous l'encens est précieux.  Ce Dieu qui sait l'orgueil qui suit notre faiblesse,  Et ce que peut un Dieu qui flatte et qui caresse,  Lui qui de la fierté se doit faire une loi,  Avare des douceurs, les prodigue pour moi.  Que ne puis-je exprimer la douce violence  Que fit à mon esprit cette tendre éloquence ?  Je dévore aussitôt avec avidité  Ce poison de mon coeur et de ma liberté :  Tous mes sens éblouis de cet amas de charmes,  Contre un Dieu, sans raison, sans défense et sans armes,  Je me perds, je m'égare au milieu d'un beau jour.  Et n'ai des mouvements que ceux de mon amour ;  Je ne me connais plus dans ce désordre extrême ;  Je ne vois ni le parc, ni le Dieu, ni moi-même :  Une extase amoureuse, un doux enchantement...  Que te dirai-je enfin de cet heureux moment ?  S'il fallait t'expliquer tout ce que j'en dois croire...  Mais Jupiter m'attend et je pers la mémoire :  J'en dirai davantage un jour plus à loisir. "")","('#vulcain', ""Tu n'épargnes guères la mienne, toi, carogne. Il frappe encore."")",1.17,Substitution
52,"('#dirce', 'Contentez sur un point mon curieux désir,  Dites-moi, si les Dieux aiment comme les hommes.')","('#mars', ""En vérité, monsieur Vulcain, vous n'avez guères de considération pour les femmes."")",1.46,Substitution
53,"('#semele', ""Quand il s'agit d'aimer, ils sont ce que nous sommes.  Pour être plus que nous aiment-ils autrement ?  Ils diffèrent de nous en ce point seulement,  Qu'un Dieu maître de tout, ainsi que de lui-même,  Se fait tout ce qu'il veut, pour plaire à ce qu'il aime,  Et peut se faire un coeur, plus sensible et plus doux,  Et plus tendre que ceux que le Ciel fait pour nous :  Mais c'est trop s'arrêter, Jupiter s'en offense.  Au moins n'abuse pas de cette confidence,  Et crains de mon amant le souverain pouvoir. "")","('#vulcain', 'Ni vous pour les maris, monsieur Mars. Il frappe toujours.')",1.64,Substitution
54,"('#dimas', 'Le Prince est là, Madame, et demande à vous voir. ')",,1.0,Insertion
55,"('#alcmeon', 'Madame pardonnez à mon impatience. ')","('#mars', 'Mais vraiment, vous ne songez pas que vous donnez des vapeurs à madame ?')",1.45,Substitution
56,"('#semele', 'Quoi, Seigneur, si matin prendre cette licence. ')",,1.0,Insertion
