dancourt-comedie-comediens,regnard-divorce,Score
"('#lucile', ""S'il ne fallait que mon aveu pour devenir heureux, vous le seriez bientôt, Léandre, je vous assure."")",-,0.0
"('#marton', ""En faveur de l'ancienne connaissance, je vous promets de mon côté de travailler pour vous : mais à de certaines conditions…"")",-,0.0
"('#leandre', ""Il n'en est point auxquelles je ne souscrive, parlez."")",-,0.0
"('#marton', ""C'est de me mettre de la Troupe.  Vous êtes amoureux d'Angélique, et moi amoureuse de la Comédie."")",-,0.0
"('#leandre', ""Cela se rencontre le mieux du monde, Éraste mon ami et mon camarade est aussi depuis quelque temps épris des charmes d'Isabelle."")",-,0.0
"('#lucile', 'La nièce de Monsieur Grichardin ?')",-,0.0
"('#leandre', 'Oui, Madame.')",-,0.0
"('#marton', ""La troupe en veut furieusement à la famille.  N'y aurait-il point aussi quelqu'une de vos Demoiselles charmée des beaux yeux de Monsieur Grichardin ?"")",-,0.0
"('#leandre', ""Je n'en ai pas ouï parler jusqu'à présent ; mais ma chère Marton, travaillez à mon bonheur, et à celui d'Éraste : nous vous faciliterons autant qu'il nous sera possible le succès de ce que vous souhaitez."")",-,0.0
"('#marton', ""Oui, mais sans qu'il m'en coûte rien au moins.  J'ai assez de mérite pour avoir une place sans l'acheter, ni en gros, ni en détail."")",-,0.0
"('#leandre', ""Vous n'êtes pas faite pour rien acheter."")",-,0.0
"('#marton', 'Ni vous pour aimer à crédit.')",-,0.0
"('#leandre', 'Ne désapprouvez point les soins que nous prendrons, Madame ?')",-,0.0
"('#lucile', 'Je les appuierai de tout mon pouvoir.')",-,0.0
"('#marton', ""Oh çà, ne perdons point de temps, voyons ce qu'il y a à faire ; votre camarade est-il aimé d'Isabelle ?"")",-,0.0
"('#leandre', ""Il est assuré de son aveu, et la grande fureur d'Isabelle est, comme à vous, de jouer la Comédie."")",-,0.0
"('#marton', ""Tant mieux la grande affaire est de connaître le coeur d'Angélique, et s'il se détermine en votre faveur…"")",-,0.0
"('#leandre', 'Que ne vous devrais-je point, ma chère Marton ?')",-,0.0
"('#marton', ""La voici, je pense ?  Cachez-vous dans ce cabinet de verdure, vous, Léandre, vous entendrez la conversation ; et, vous, Madame, aidez-nous à la faire parler, et à connaître les sentiments qu'elle a pour Léandre."")",-,0.0
"('#lucile', 'Je le veux bien.')",-,0.0
"('#leandre', 'Mais Marton…')",-,0.0
"('#marton', ""Hé !  Ne craignez point d'écouter ; les jolis gens comme vous sont souvent plus heureux qu'ils ne méritent.  La petite personne paraît avoir l'esprit occupé, c'est de Léandre, sur ma parole."")",-,0.0
"('#angelique', ""Je m'étais imaginé avoir vu entrer ici…  Quand on a l'idée remplie de ce qu'on aime…  Je me suis trompée."")",-,0.0
"('#lucile', 'Que cherchez-vous, Angélique ?')",-,0.0
"('#angelique', 'Rien, Madame.')",-,0.0
"('#marton', 'Oh !  Si fait, si fait, Mademoiselle ?')",-,0.0
"('#angelique', 'Pardonnez-moi, Mademoiselle Marton, je vous assure.')",-,0.0
"('#marton', 'Pardonnez-moi, vous-même ; et Madame, et moi, nous savons bien ce que vous cherchez.')",-,0.0
"('#angelique', ""Vous le savez ?  Vous m'embarrassez, Marton, je me retire."")",-,0.0
"('#lucile', ""Demeurez Angélique, demeurez, on n'a pas dessein de vous faire de la peine."")",-,0.0
"('#marton', ""Madame n'a point d'autre objet que de vous rendre service."")",-,0.0
"('#angelique', 'Sérieusement ?')",-,0.0
"('#marton', 'Très sérieusement.')",-,0.0
"('#angelique', 'Ah !  Si cela était vrai, que je vous aimerais, Madame, quoique vous soyez ma belle-mère.')",-,0.0
"('#lucile', 'Vous pouvez compter sur moi, ma chère enfant.')",-,0.0
"('#marton', ""Et sur moi de même, je vous en donne ma parole : mais au bout du compte, pour vous rendre service, il faut savoir en quoi l'on peut vous obliger."")",-,0.0
"('#angelique', 'Ne le devinez-vous pas, Marton ?  Et ne savez-vous point à votre âge ce qui intéresse le plus une jeune personne ?')",-,0.0
"('#marton', ""Si je le sais ?  C'est un amant, je gage ; je suis dans le même cas, moi qui vous parle."")",-,0.0
"('#angelique', 'Vous êtes dans le même cas, dites-vous ?')",-,0.0
"('#marton', ""Oui, vraiment, demandez plutôt à Madame ; c'est une espèce de maladie qui court beaucoup dans ces temps-ci parmi les jeunes filles."")",-,0.0
"('#angelique', 'Vous appelez cela une maladie ?')",-,0.0
"('#lucile', 'Sans doute.')",-,0.0
"('#marton', ""Mais les suites n'en sont pas dangereuses, quand on prend soin d'y remédier de bonne heure."")",-,0.0
"('#angelique', 'Je ferai tout ce que vous me conseillerez de faire pour y remédier, je vous assure.')",-,0.0
"('#marton', ""Vous n'avez point de répugnance pour les remèdes, je vois bien cela : mais il serait bon avant toutes choses de connaître, et la nature, et l'auteur du mal.  Expliquez-vous, parlez."")",-,0.0
"('#angelique', 'Je ne saurais dire ces choses-là, Marton.')",-,0.0
"('#marton', ""Quelle modestie !  Il faut vous interroger, n'est-ce pas !"")",-,0.0
"('#angelique', 'Vous me ferez plaisir.')",-,0.0
"('#marton', ""C'est un grand soulagement pour la pudeur."")",-,0.0
"('#lucile', 'Oh !  Finis, Marton, ne badine point.')",-,0.0
"('#marton', ""Que vous êtes vive !  Vous ne compatissez point aux faiblesses d'une pauvre petite malade…  Ne sentez-vous pas quelquefois, dans de certains moments, de certaines inquiétudes…  Là…"")",-,0.0
"('#angelique', 'Oui, Marton.')",-,0.0
"('#marton', 'Quand vous ne voyez pas…')",-,0.0
"('#angelique', 'Qui, Marton.')",-,0.0
"('#marton', 'De grandes impatiences de le revoir.')",-,0.0
"('#lucile', 'Qui, Marton ?')",-,0.0
"('#marton', 'Beaucoup de plaisir quand il est ici.')",-,0.0
"('#angelique', 'Mais, qui donc, Marton ?  Explique-toi ?')",-,0.0
"('#marton', ""Oh !  Qui, qui, Marton : expliquez-vous vous-même ; c'est à moi de vous interroger, nous en sommes convenues."")",-,0.0
"('#angelique', ""Vous ne m'interrogez point comme il faut : que ne me demandez-vous si ce n'est pas Léandre ?"")",-,0.0
"('#marton', 'Hé ?  Que me répondrez-vous, si je vous le demande ?')",-,0.0
"('#angelique', ""Je vous avouerai que c'est lui-même."")",-,0.0
"('#lucile', 'Elle est sincère.')",-,0.0
"('#marton', ""Venez jouir d'un si tendre aveu, approchez, Léandre.  Je prévois que je serai de la troupe."")",-,0.0
"('#angelique', 'Ah, Ciel !')",-,0.0
"('#leandre', ""Adorable Angélique, je n'abuserai point de la connaissance que j'ai de mon bonheur, et je vais redoubler mes soins et mon attention pour n'en être pas tout à fait indigne."")",-,0.0
"('#angelique', ""C'est une surprise que ceci, Léandre, et sans la petite trahison qu'on m'a faite, vous n'auriez pas si tôt su que je vous aime."")",-,0.0
"('#marton', 'Vous appelez cela une trahison ?')",-,0.0
"('#angelique', ""Vous savez ma faiblesse, voudrez-vous bien l'excusez, Madame, et nous aider à persuader à mon père de consentir à nous rendre heureux ?"")",-,0.0
"('#lucile', 'Il a fait mon bonheur ; je serais bien ingrate de ne pas contribuer au vôtre.')",-,0.0
"('#leandre', 'Ah, Madame !')",-,0.0
"('#marton', 'Trêve de compliments : allons au fait, tout ira bien.')",-,0.0
"('#angelique', 'Au moins, Madame, si vous voulez vivre heureuse avec mon père, il faut que vous vous rendiez un peu la maîtresse.')",-,0.0
"('#marton', 'Nous avons de bonnes dispositions pour cela.')",-,0.0
"('#lucile', 'Votre avis est bon, je le suivrai.')",-,0.0
"('#angelique', ""Feue ma mère l'avait mis sur ce pied-là."")",-,0.0
"('#lucile', ""Je l'ai ouï dire."")",-,0.0
"('#angelique', ""Elle lui faisait faire tout ce qu'elle voulait."")",-,0.0
"('#marton', 'Cela était heureux.')",-,0.0
"('#angelique', ""Il faut qu'il fasse tout ce que vous voudrez, et que vous vouliez toujours qu'il me marie avec Léandre."")",-,0.0
"('#marton', ""Je crois l'entendre ; rentrez dans le cabinet, Léandre, nous allons le mettre sur votre chapitre, et vous saurez aussi par vous-même si le père pense de vous comme la fille."")",-,0.0
"('#leandre', ""Je crains qu'il n'y ait bien de la différence."")",-,0.0
"('#lucile', 'Vous revenez un peu tard, Monsieur ?')",-,0.0
"('#monsieur-grichardin', ""J'ai eu quelques ordres à donner.  N'est-il pas venu ici ?… "")",-,0.0
"('#marton', ""C'est vous qui nous avez envoyé cette bande de /Musiciens en masque ?"")",-,0.0
"('#monsieur-grichardin', ""Ils sont ici ?  J'en suis bien aise."")",-,0.0
"('#lucile', 'Vous avez quelque dessein de nous surprendre agréablement, sans doute ?')",-,0.0
"('#monsieur-grichardin', ""Oui, ma chère enfant, depuis notre mariage je suis galant et de meilleure humeur que je n'ai jamais été, et j'ai imaginé, pour vous faire plaisir, de vous donner ici ce soir une espèce de petit bal, une façon de petite fête."")",-,0.0
"('#lucile #angelique', 'Monsieur ?  Le Bal, mon père ?')",-,0.0
"('#marton', ""C'est pour cela que vous avez envoyé toute cette symphonie ?"")",-,0.0
"('#monsieur-grichardin', ""Justement.  Nous n'avons point fait de noces en nous mariant ; ma famille bourgeoise en a murmuré, et pour la faire taire, je me suis déterminé à leur donner ce soir un petit régal, qui, en les rassemblant cette seule fois, nous acquittera de toutes les autres corvées qu'il eût fallu faire.  Qu'en dites-vous, Madame ?"")",-,0.0
"('#lucile', ""Je dis que vous faites fort bien : mais qu'est-ce que ce sera, que ce petit régal ?"")",-,0.0
"('#monsieur-grichardin', ""Mais, ce sera un bal, d'abord, si tu veux."")",-,0.0
"('#lucile', 'Un bal, soit.  Ensuite ?')",-,0.0
"('#monsieur-grichardin', ""Ensuite une manière de souper pour nous autres, pendant qu'on dansera."")",-,0.0
"('#marton', 'Fort bien, une manière de souper.  Ensuite…')",-,0.0
"('#monsieur-grichardin', ""Ensuite on se quittera, et chacun s'ira coucher."")",-,0.0
"('#marton', ""Cela est à merveilles, chacun s'ira coucher.  Ensuite ?"")",-,0.0
"('#monsieur-grichardin', 'Mais que diable, ensuite, ensuite ; ces suites-là ne sont pas mes affaires, et je ne prétends pas que la fête dure huit jours.')",-,0.0
"('#marton', 'Ma foi, Monsieur, voulez-vous que je vous dise ?  Vous êtes un homme de bon goût et de bon esprit, et qui avez toujours aimé à faire les choses avec éclat.')",-,0.0
"('#monsieur-grichardin', ""Cela est vrai, au moins, j'ai les manières nobles."")",-,0.0
"('#marton', 'Hé bien, Monsieur, ce petit régal me paraît bien succinct, cela ne répond point à la noblesse de vos manières, et je voudrais joindre à votre façon de bal, et à votre souper, quelque espèce de divertissement, de Comédie…')",-,0.0
"('#angelique', 'De Comédie, ma chère Marton !')",-,0.0
"('#monsieur-grichardin', 'Plaît-il ?')",-,0.0
"('#marton', 'Trouvez-vous que je pense mal, Monsieur ?')",-,0.0
"('#monsieur-grichardin', ""Non, cela n'est mal imaginé : mais quelle Comédie pourrions-nous prendre ?"")",-,0.0
"('#lucile', ""Une Tragédie, ou une Pièce Comique ; nous n'avons qu'à faire prier Léandre…"")",-,0.0
"('#monsieur-grichardin', ""Qu'est-ce à dire, Léandre ?  Vous voudriez une Comédie Française ?  Fi, fi, fi."")",-,0.0
"('#lucile', 'Pourquoi donc ?  Et à quel propos vous récriez-vous contre la Comédie Française, Monsieur ?')",-,0.0
"('#monsieur-grichardin', ""Je me récrie, je me récrie, parce que je n'aime point ces Messieurs-là."")",-,0.0
"('#angelique', 'Hé, que vous ont-ils fait, mon père ?')",-,0.0
"('#monsieur-grichardin', ""Ce qu'ils m'ont fait ?  Ce qu'ils font à tout le monde.  Ils veulent être seuls à divertir le public, et il semble qu'ils prennent à tâche de l'ennuyer."")",-,0.0
"('#marton', 'Oh, pour cela oui, cela est bien ridicule.')",-,0.0
"('#angelique', ""Ils ont un privilège qu'ils soutiennent."")",-,0.0
"('#monsieur-grichardin', ""Ils ont un privilège de ne rien faire qui vaille, parce qu'ils sont seuls, de mal jouer les anciennes Pièces, et de n'en point donner de nouvelles qui ne soient mauvaises.  Voilà un Privilège bien soutenu !  Morbleu, si j'étais le maître de cela, moi et bien d'autres…"")",-,0.0
"('#lucile', 'Que feriez-vous ?')",-,0.0
"('#monsieur-grichardin', ""Ce que je ferais, Madame ?  Je ne verrais pas une de leurs Pièces, à moins qu'ils ne devinssent raisonnables."")",-,0.0
"('#marton', 'Vous êtes dans le vrai, Monsieur, il faut les prendre par-là, pour les rendre sages.')",-,0.0
"('#monsieur-grichardin', ""Que je les corrigerais bien, s'il dépendait de moi !"")",-,0.0
"('#lucile', 'Épargnez-les un peu, de grâce.')",-,0.0
"('#monsieur-grichardin', ""Je ne leur veux point de mal d'ailleurs, et je ne vous empêche point de voir Léandre, comme vous savez ; mais pour ne me pas déchaîner contre leur paresse, et le peu d'attention qu'ils ont à mériter l'approbation du public, oh !  Je vous baise les mains."")",-,0.0
"('#lucile', 'Je ne prétends pas vous contraindre, et si Léandre même vous fait peine, je vous promets que je ne le verrai plus.')",-,0.0
"('#angelique', 'Ah !  Marton, que va-t-elle promettre ?')",-,0.0
"('#marton', ""Vous n'en ferez peut-être pas plus mal, Madame ; savez-vous jusqu'où va l'impertinence de ce petit étourdi-là ?"")",-,0.0
"('#monsieur-grichardin', 'Comment, son impertinence ?')",-,0.0
"('#marton', 'Il est amoureux de votre fille.')",-,0.0
"('#angelique', 'Marton…')",-,0.0
"('#monsieur-grichardin', ""De ma fille !  Oh, parbleu, voici qui est plaisant, je la lui garde, il n'a qu'à s'y attendre.  Hé, qui t'a dit cela ?"")",-,0.0
"('#marton', ""Qui me l'a dit !  Il nous a priés, Madame et moi, de vous la demander en mariage."")",-,0.0
"('#angelique', 'Es-tu folle, Marton…')",-,0.0
"('#marton', 'Ne vous inquiétez de rien vous dis-je ?')",-,0.0
"('#monsieur-grichardin', ""En mariage !  Il n'y songe pas."")",-,0.0
"('#lucile', 'Pourquoi donc, Monsieur ?  Quelle répugnance auriez-vous pour cette affaire ?  Léandre est un jeune homme de famille, qui a des talents pour sa profession.')",-,0.0
"('#monsieur-grichardin', ""Ce n'est ni la famille, ni la profession qui me répugnent ; et une grande marque de cela, c'est que si je voyais ces petits Messieurs-là faire ce qu'ils doivent, je serais le meilleur de leurs amis."")",-,0.0
"('#marton', 'Monsieur a raison, je suis de son avis.')",-,0.0
"('#lucile', ""Je l'approuve fort aussi : mais il y en a beaucoup qui font ce que Monsieur souhaite."")",-,0.0
"('#monsieur-grichardin', ""Il faut qu'ils le fassent tous et qu'ils le fassent de concert encore, sans cela… "")",-,0.0
"('#marton', ""Mais, Monsieur, il me vient une idée ; jouons la Comédie entre nous autres, pour leur faire voir qu'on se peut passer d'eux."")",-,0.0
"('#monsieur-grichardin', 'Entre nous autres ?  Je voudrais donc que ce fût une petite Pièce à la manière Italienne, cela les ferait enrager.')",-,0.0
"('#marton', 'À la manière Italienne, soit.')",-,0.0
"('#monsieur-grichardin', 'Mais comment ferons-nous ?')",-,0.0
"('#marton', 'Que cela ne vous embarrasse point, je trouverai des Acteurs et des Actrices, décidez seulement.')",-,0.0
"('#monsieur-grichardin', 'Mais cela sera-t-il joli, Marton ?')",-,0.0
"('#marton', ""Oh, pour cela je n'en réponds pas : mais vous en jugerez."")",-,0.0
"('#monsieur-grichardin', ""Il y a peu de gens qui s'y connaissent mieux que moi."")",-,0.0
"('#marton', 'On le sait bien.')",-,0.0
"('#monsieur-grichardin', ""J'étais un des meilleurs appuis du Théâtre Italien, je leur ai bien fait gagner de l'argent."")",-,0.0
"('#marton', ""C'est sur vous qu'ils firent Monsieur Cusifle."")",-,0.0
"('#monsieur-grichardin', 'Je leur avais donné de bons mémoires.')",-,0.0
"('#nicole', 'Monsieur, voici trois carrossées de parents qui vous arrivent en masques.')",-,0.0
"('#monsieur-grichardin', ""Je m'en vais les recevoir, et donner ordre pour le souper.  Toi, Marton, dispose ton petit essai de Comédie."")",-,0.0
"('#marton', 'Cela est tout disposé dans ma tête.')",-,0.0
"('#monsieur-grichardin', ""Il faudra faire ici un petit Théâtre dans le jardin, et avoir bien soin que tout aille comme il faut, et que cela fasse plaisir à ma femme ; ce n'est que pour elle que je fais tout cela."")",-,0.0
"('#marton', ""J'y donnerai toute mon attention."")",-,0.0
"('#marton', ""Le voilà parti ; hâtons-nous de prendre quelques mesures dont nous avons besoin.  Oh, çà, Léandre, on n'est pas trop prévenu pour vous, comme vous voyez."")",-,0.0
"('#leandre', ""Il n'est pas malaisé de s'en apercevoir."")",-,0.0
"('#marton', 'Mon imagination remédiera à tout.')",-,0.0
"('#lucile', 'Je ne comprends rien à tes idées.')",-,0.0
"('#marton', ""C'est que vous n'êtes guère pénétrante, et Mademoiselle y comprend quelque chose ; je gage."")",-,0.0
"('#angelique', 'Je comprends que vous nous perdez, et que vous entretenez mon père dans un goût et dans des sentiments qui nous sont tout à fait contraires.')",-,0.0
"('#marton', 'Et vous, Léandre, me comprenez-vous davantage ?')",-,0.0
"('#leandre', 'Que je suis le plus malheureux homme du monde.')",-,0.0
"('#marton', 'Vous ne serez point malheureux ; et Monsieur Grichardin sera pris pour dupe.')",-,0.0
"('#angelique', 'Comment, Marton ?')",-,0.0
"('#marton', 'Vos mariages feront le dénouement du petit essai de Comédie.')",-,0.0
"('#lucile', 'Tu prétends…')",-,0.0
"('#marton', ""Rendre heureux Éraste et Léandre, et surprendre avec adresse le consentement et la signature de Monsieur Grichardin, que nous n'obtiendrons pas autrement."")",-,0.0
"('#leandre', 'Voilà de grands projets.')",-,0.0
"('#marton', ""L'exécution dépendra de vous, et de quelques-uns de vos camarades."")",-,0.0
"('#leandre', 'Je devine à présent.')",-,0.0
"('#marton', ""Cela n'est pas bien difficile, je vais vous faire Comédiens Italiens."")",-,0.0
"('#leandre', ""Mais je ne sais pas un mot d'Italien, moi, quelle apparence ?"")",-,0.0
"('#marton', 'La grande merveille !  Allez, allez, pour le rôle que je vous destine, il ne faut pas grande habileté.')",-,0.0
"('#angelique', 'Hé, quel rôle lui destinez-vous, Marton ?')",-,0.0
"('#marton', 'Celui de Pierrot.')",-,0.0
"('#leandre', 'Pierrot, moi !')",-,0.0
"('#marton', 'Vous le jouerez à merveilles.')",-,0.0
"('#lucile', 'Monsieur Pierrot, je suis votre servante.')",-,0.0
"('#angelique', 'Il sera bien vilain comme cela, Marton.')",-,0.0
"('#marton', ""Il ne le sera point pour vous.  Il faudra que toute la maison joue dans la Pièce, et Monsieur Grichardin y jouera lui-même sans s'en apercevoir.  Quel rôle ferez-vous, Madame"")",-,0.0
"('#lucile', 'Je ne jouerai point, moi : mais je donnerai les mains au dénouement.')",-,0.0
"('#marton', 'Il sera donc tel que nous le souhaitons.  Allez vous habiller, Monsieur Pierrot, amenez Éraste, et cherchez-nous de quoi faire un Arlequin, un Mezzetin, un Scaramouche, et quelque personnage de la vieille comédie, il ne nous en faudra pas davantage.')",-,0.0
"('#leandre', 'Je fais tout ce que vous voulez, et je reviens en diligence.')",-,0.0
"('#lucile', 'Je rirais bien, si cette idée pouvait réussir.')",-,0.0
"('#marton', ""Ne suffit-il pas qu'elle est de moi ?  Ce n'est pourtant pas une bagatelle que ce que j'entreprends, et ce sera peut-être une chose assez ennuyeusement ridicule de travestir ainsi la Scène Française.  Baste, l'envie de plaire et de servir deux jeunes amants, tient lieu de mérite ; et Marton n'en sera pas moins Marton, pour avoir changé de caractère."")",-,0.0
"('#monsieur-grichardin', ""Je viens vous dire, Madame, que tous les gens priés sont presque ici.  Ne trouveriez-vous pas à propos, en attendant le souper, que nous prissions le divertissement d'un petit air Italien que chante ma cousine l'Avocate, et d'une Sarabande qu'une de mes nièces danse en perfection ?  Ce sera le prélude du bal."")",-,0.0
"('#lucile', ""Comme vous voudrez, Monsieur, n'êtes-vous pas le maître ?"")",-,0.0
"('#monsieur-grichardin', ""Allons donc.  Que l'on fasse venir la symphonie ; on nous avertira quand on aura servi."")",-,0.0
"('#une-venitienne', ""Teneri cuori Che vogate Sul mar degli amori, Non temete, Sospirate. Il vento dei sospiri, Accende gli ardori ; E dolce il vento Che conduce al porto. Teneri cuori Che vogate Sul mar degli amori, Non temete, Sospirate. Monsieur Grichardin, Exempt de chagrin, Sans soin, sans envie, Dans d'heureux loisirs Vous passez la vie Parmi les plaisirs. Dans votre famille Tout charme, tout brille : À vos moindres voeux Marton complaisante, Pour vous plaire invente Mille nouveaux jeux. C'est bien fait dans son bel âge De songer à son plaisir. SARABANDE. BRANLE."")",-,0.0
"('#monsieur-grichardin', ""Malgré les soins du ménage, Vous en avez le loisir. C'est bien fait dans son bel âge De songer à son plaisir. Vous voyez comme je m'y livre."")",-,0.0
"('#un-pantalon', ""C'est notre unique héritage, Heureux qui sait en jouir."")",-,0.0
"('#monsieur-grichardin', ""Tout le monde n'a pas cet esprit-là comme moi."")",-,0.0
"('#un-pantalon', ""C'est bien fait dans son bel âge De songer à son plaisir."")",-,0.0
"('#une-venitienne', ""On saisit quand on est sage, Tous ceux qui viennent s'offrir. C'est bien fait dans son bel âge De songer à son plaisir."")",-,0.0
"('#un-laquais', 'Monsieur, on a servi, vous viendrez quand il vous plaire.')",-,0.0
"('#monsieur-grichardin', ""À table il faut faire rage, Et longtemps nous y tenir. C'est bien fait dans son bel âge De songer à son plaisir. On a servi ? Il s'en va en chantant et en dansant."")",-,0.0
"('#eraste', ""Il n'est point de déguisement pour les yeux d'un amant ; les miens vous ont d'abord reconnue, charmante Isabelle."")",-,0.0
"('#isabelle', ""J'en crois le coeur encore plus que les yeux, Éraste, et le mien m'a fait sentir des mouvements qui m'ont appris que vous étiez ici."")",-,0.0
"('#eraste', ""Léandre m'a fait espérer que nous obtiendrions l'aveu de votre oncle."")",-,0.0
"('#isabelle', ""Marton m'a promis qu'elle nous aiderait à le surprendre."")",-,0.0
"('#eraste', 'Léandre est amoureux de votre aimable cousine.')",-,0.0
"('#isabelle', 'Nous travaillerons pour eux en travaillant pour nous.')",-,0.0
"('#eraste', 'Ils seront aussi des Acteurs de la Comédie.')",-,0.0
