,garnier-bradamante,la-calprenede-bradamante,Cost,Operation Type
10,"('#nymes', 'Ceux-là, trop éloignez de nos chrétiennes terres, Ne viendront pas ici nous rallumer des guerres. Laissez leur lamenter leur funèbre accident, Et votre âge en plaisirs ébatés ce pendant. Il nous faut rebâtir nos églises rompues, Où se sont par sur tout leurs cruautés repues, Rebâtir nos cités de murailles et tours, Repeupler de paysans nos villages et bourgs. Il vous faut rappeler les vertus exilées, Et les faire honorer, les ayant rappelées.')","('#leon', ""C'est trop se souvenir de si peu de service :  Vous êtes redevable à ma seule amitié.  J'eus pour vous du respect non pas de la pitié :  Ayant été témoin d'une valeur si rare,  Je fis ce qu'aurait fait l'âme la plus barbare,  Et j'ai dégénéré de toute ma maison,  Ne trahissant les miens qu'après leur trahison.  J'ai soulagé des fers ces mains victorieuses,  Pour suivre à l'avenir vos traces glorieuses,  Pour me rendre vaillant vous imitant de loin  Mais je commence mal, vous en êtes témoin.  Toutefois s'il est vrai que la mort m'épouvante,  Que je sois pour jamais privé de Bradamante,  Que par un coup du Ciel je meurs devant vous,  Si je craignis jamais de mourir de ses coups.  Je tiendrais ce trépas pour ma première gloire :  Mais je perds l'espérance, en perdant la victoire.  J'ai trop peu de valeur pour hasarder ce bien,  Et si je suis vaincu, je ne possède rien. "")",0.19,Substitution
11,"('#charlemagne', 'Nos peuples sont beaucoup par la guerre éclaircis, Mais les vices au lieu sont beaucoup épaissis.')","('#roger', 'Fut-il jamais malheur à mon malheur semblable ? ')",1.53,Substitution
12,"('#nymes', ""C'est l'office d'un Roi d'en purger sa contrée. Inutile est la Paix sans sa compagne Astrée. Vous devez en repos vos peuples maintenir, Et de sévères lois leurs offenses punir."")","('#leon', 'De quoi pâlissez-vous ? ')",1.51,Substitution
13,"('#charlemagne', ""Je veux récompenser un chacun de ses peines, Étrangers, citoyens, soldats et Capitaines, Bradamante et Roger sous un amour égal Conjoindre ensemblement d'un lien conjugal."")","('#roger', ""Ma crainte est pardonnable,  Et ce commandement me serait bien plus doux,  Si j'étais plus vaillant, ou plus heureux que vous. "")",0.88,Substitution
14,,"('#leon', 'Ah ne me parlez plus contre votre pensée. ')",1.0,Deletion
15,"('#nymes', ""Aymon ne le veut pas, préférant l'alliance De Léon héritier des sceptres de Byzance."")",,1.0,Insertion
16,"('#charlemagne', ""Mais si de la combattre il n'avait le pouvoir, Selon mon ordonnance il ne saurait l'avoir."")","('#roger', ""Dans votre passion mon âme intéressée,  N'a rien appréhendé que pour vous seulement,  Et vous hasardez trop en cet événement,  Puisque votre repos sur ma valeur se fonde. "")",1.39,Substitution
17,,"('#leon', ""Je m'assure sur vous mieux que sur tout le monde. "")",1.0,Deletion
18,"('#nymes', ""Donc comme il fallait vaincre à la course Atalante, Il faut qu'on puisse vaincre au combat Bradamante."")","('#roger', ""Aussi pour vous servir je voudrais tout oser,  Et ce que j'en ai dit, n'est pas pour m'excuser.  J'irai, j'irai pour vous combattre Bradamante,  Et quand j'aurais pour elle une ardeur violente,  Fut-ce de mon malheur l'inévitable arrêt,  Je me dépouillerais de tout mon intérêt,  Et je voudrais pour vous me combattre moi-même. "")",0.85,Substitution
19,"('#aymon', 'Le parti me plait fort.')",,1.0,Insertion
20,"('#beatrix', 'Aussi fait-il à moi.')","('#leon', ""Mais comment m'acquitter de ce bienfait extrême ? "")",0.82,Substitution
21,"('#aymon', ""J'en suis tout transporté"")",,1.0,Insertion
22,"('#beatrix', 'Si suis-je par ma foi.')","('#roger', 'Je sais ce que je dois à qui je dois le jour. ')",0.97,Substitution
23,"('#aymon', ""Ce que je prise plus en si belle alliance, C'est qu'il ne faudra point débourser de finance. Il ne demande rien."")","('#leon', ""Cet acte officieux me le rend à son tour,  Et je reconnais bien que je suis exécrable,  Si je cache à quel point je vous suis redevable :  Si je n'offre à vos pieds et mes empires et moi.  Bien donc sur cet espoir je vais trouver le Roi.  Je vous quitte un moment, Ciel fais que je périsse,  Si je puis être ingrat après un tel service. "")",0.81,Substitution
24,"('#beatrix', ""Il est trop grand seigneur. Qu'a besoin de nos biens le fils d'un Empereur ?"")",,1.0,Insertion
25,"('#aymon', ""Ce nous est toutefois un notable avantage De ne bailler un sou pour elle en mariage, Mêmement aujourd'hui qu'il n'y a point d'amour, Et qu'on ne fait sinon aux richesses la cour. La grâce, la beauté, la vertu, le lignage Ne sont non plus prisés qu'une pomme sauvage. On ne veut que l'argent : un mariage est saint, Est sortable et bien fait quand l'argent on étreint. Ô malheureux poison !"")","('#roger', ""Doncques cette valeur que j'ai reçu des Cieux,  M'est un présent fatal, un don pernicieux,  Qui ne me doit servir qu'à ma propre ruine :  Ô Ciel à quel malheur ta rigueur me destine :  J'adore Bradamante, et cette passion  Doit céder lâchement à l'obligation.  Je cesse de haïr pour un bienfait extrême,  Dont je dois m'acquitter en me perdant moi-même.  Mais puisqu'en le faisant je fais ce que je dois,  Je ne murmure point contre ses justes lois.  Oui je te combattrai, ma chère Bradamante,  Et quoique je trahisse une fidèle amante,  Contre qui le devoir l'emporte sur l'amour,  Je te puis satisfaire en me privant du jour. "")",0.26,Substitution
26,"('#beatrix', ""Et qu'y sauriez vous faire ? Faut-il que pour cela vous mettiez en colère ? C'est le temps du jourd'hui."")",,1.0,Insertion
27,"('#aymon', ""C'est un siècle maudit."")",,1.0,Insertion
28,"('#beatrix', ""Mais c'est un siècle d'or, comme le monde vit. On a tout, on fait tout pour ce métal étrange ; On est homme de bien, on mérite louange ; On a des dignités, des charges, des états ; Au contraire, sans lui de nous on ne fait cas."")",,1.0,Insertion
29,"('#aymon', ""Il est vrai : mais j'ai vu au temps de ma jeunesse Qu'on ne se gênait tant qu'on fait pour la richesse. Alors, vraiment alors, on ne prisait sinon Ceux qui s'étaient acquis un vertueux renom, Qui étaient généreux, qui montraient leur vaillance À combattre à l'épée, à combattre à la lance. On n'était de richesse, ains de l'honneur épris. Ceux qui se mariaient ne regardaient au prix."")","('#bradamante', ""Mon coeur ne retient plus la douleur qui te presse,  Il est vrai ce perfide a faussé sa promesse,  L'ingrat a violé sa foi.  Il n'a point de regret de t'avoir délaissée,  Et ne souvient plus de toi,  Quoiqu'il vive dans ta pensée.  Quel esprit prévoyant eut reconnu la feinte  Des serments qu'il me fit d'une amitié si sainte,  Et de tant de fidélité ?  Que j'eusse cru faillir contre mon grand courage,  De soupçonner de lâcheté,  Ses discours et son beau visage.  Comme votre beauté, disait-il, est extrême,  Dans sa perfection mon amour est de même,  Et le feu si pur et si beau,  Qui parmi les mortels me brûle et me captive,  Me doit encor dans le tombeau,  Brûler d'une flamme plus vive.  Que la longueur du temps, ou des lieux nous sépare,  Rien ne peut ébranler une amitié si rare.  On ne verra jamais changer  Les résolutions d'une âme si constante,  Et je ne serai plus Roger,  Quand je vivrai sans Bradamante.  Ce discours redoublait une naissante flamme,  Je crus que ce beau corps logeait une belle âme,  Incapable de trahison.  Sa peine, je l'avoue, ébranla ma constance,  Je le crus aimer par raison,  Et je l'aimai par innocence.  Tout_à_coup, sans ouvrir son dessein à personne,  Et sans me dire adieu le traître m'abandonne,  Et s'éloigne de cette Cour.  Il habite possible une terre inconnue,  Où de quelque nouvelle amour  Son âme est déjà retenue.  Abuse déloyal, abuse autant de Dames,  Que tu reconnaîtras capables de tes flammes,  Invente de nouveaux serments,  Dont ta fidélité dans leurs âmes s'imprime,  Tu sais que les Dieux aux Amants,  Ont permis de jurer sans crime.  Toutefois je ne puis forcer cette puissance,  Qui m'oblige à t'aimer après ton inconstance,  Oui, je t'aime encore Roger,  Et malgré la raison qui veut que je t'oublie,  Il n'est pas en moi de changer,  Pour rompre le noeud qui nous lie. "")",0.36,Substitution
30,"('#beatrix', ""Le bon temps que c'était!"")","('#hipalque', 'Marfise vous attend pour aller chez le Roi. ')",1.45,Substitution
31,"('#aymon', 'Léon le représente, Qui pour la seule amour recherche Bradamante.')",,1.0,Insertion
32,"('#beatrix', ""Voire, mais j'ai grand peur qu'elle ne l'aime pas."")",,1.0,Insertion
33,"('#aymon', ""Pourquoi ? Qui la mouvrait ? Est-il de lieu trop bas ? N'est-il jeune et gaillard ? n'est-il beau personnage ? Il faut qu'il soit vaillant et d'un brave courage, Aux combats résolu, d'être avecque danger Venu du bord Grégeois sur ce bord étranger, Ne craignant d'éprouver son adresse guerrière Avecques Bradamante aux armes singulière."")",,1.0,Insertion
34,"('#beatrix', ""Il est vrai : mais pourtant ne savez-vous pas bien Que Roger est son âme, et sa vie et son bien ? Qu'elle n'aime que lui, que pour n'être contrainte D'être par mariage à un autre conjointe, Elle a fait tout exprès par le monde savoir Que quiconque voudra pour épouse l'avoir Doit la combattre armée : estimant qu'il n'est homme Dans l'Empire de Grèce et l'Empire de Rome, Fors son vaillant Roger, qui ne doive mourir, Si avecques le fer il veut conquérir ? Or j'aurais grand douleur que ce généreux Prince Venu pour son amour de lointaine province, Sa vie aventurât, ses forces ne sachant, En la voulant combattre avec le fer tranchant : Qu'au lieu d'une maîtresse il trouvât la mort dure, Et que son lit nopçal fut une sépulture. Ce serait grand pitié !"")","('#bradamante', ""Elle est de mon repos plus soigneuse que moi.  C'est pour voir ce Léon : je la suivrai, n'importe,  Où l'avez-vous laissée ? "")",0.69,Substitution
35,"('#aymon', 'Je ne veux point cela.')","('#hipalque', 'Auprès de votre porte. ')",1.84,Substitution
36,"('#beatrix', ""Il ne saurait l'avoir sans cette épreuve-là."")",,1.0,Insertion
37,"('#aymon', 'Pourquoi ne saurait-il ? Ne le puis-je pas faire ?')",,1.0,Insertion
38,"('#beatrix', ""Non, pour ce que du Roi l'ordonnance est contraire."")",,1.0,Insertion
39,"('#aymon', ""Le Roi ne l'entend pas, je l'irai supplier De révoquer la loi qu'il a fait publier."")","('#charles', ""Ma parole est donnée, il n'en faut plus parler. "")",1.27,Substitution
40,"('#beatrix', ""C'est chose malaisée ; un prince ne viole Les édits qu'il a faits ; il maintient sa parole. Voire en chose publique, et qui est de grand poids. Mais en chose privée, on change quelquefois. Charles lui a permis ce combat dommageable, Estimant pour le sûr que je l'eusse agréable. Autrement ne l'eût fait, sachant bien le pouvoir Que dessus ses enfants un père doit avoir."")","('#aymon', ""Si votre Majesté la voulait rappeler,  Je me pourrais servir des droits de la naissance,  Et j'aurais sur les miens une entière puissance ;  Je ne me plaindrais pas d'avoir cent mille fois,  Pour le bien de l'État sué sous le harnois,  De vous avoir suivi dans toutes vos conquêtes,  Même depuis que l'âge a fait blanchir nos têtes.  Si vous laissiez agir le sang et la raison,  Si j'étais absolu dans ma seule maison,  Et s'il m'était permis de tenir ma promesse,  Pour n'être pas ingrat au Monarque de Grèce  Pardonnez ce discours à mon ressentiment,  L'affront que je reçois m'ôte le jugement.  J'intercède sans fruit pour une ingrate fille,  Au lieu d'âtre absolu sur toute ma famille  Sa désobéissance avance mon trépas,  Et je cherche son bien, qu'elle ne connaît pas. "")",0.13,Substitution
41,"('#beatrix', 'Encore, mon ami, faudrait premier entendre Si le parti lui plait, que de rien entreprendre : Car je crains que Roger soit en son coeur encré.')","('#renaud', ""Former sans apparence un bien imaginaire,  C'est se paître de vent et d'une ombre légère,  Des Sceptres, des grandeurs, ne sont pas un vrai bien,  Et qui ne vit content, il ne possède rien. "")",0.93,Substitution
42,"('#aymon', 'Veut-elle ce Roger avoir contre mon gré ?')","('#aymon', ""Vous de qui le conseil trompa son innocence,  Et qui favorisez sa désobéissance,  Alléguez-vous pour elle une seule raison ?  Si j'étais absolu dans ma seule maison,  Pouvait-elle choisir un parti plus sortable ?  Roger avec Léon, qu'a-t-il de comparable ?  L'un doit paraître un jour dans cet illustre rang,  Que l'on a vu tenir aux Princes de son sang.  L'autre n'a que la cape et l'épée en partage,  Et s'il se peut vanter c'est d'un peu de courage. "")",0.98,Substitution
43,"('#beatrix', 'Je pense que nenni ; elle est trop bien nourrie.')",,1.0,Insertion
44,"('#aymon', ""Si elle l'avait fait ?"")",,1.0,Insertion
45,"('#beatrix', ""J'en serais bien marrie."")",,1.0,Insertion
46,"('#aymon', ""Il lui faut des amours ; il lui faut des mignons ; Il faut qu'à ses plaisirs nos vouloirs contraignons. Quel abus, quel désordre ! Ha !"")","('#renaud', ""Oui, sa seule vertu doit le recommander,  Comme le plus grand bien qui se peut posséder.  Aussi vaut-elle mieux que l'éclat d'un Empire,  Et l'honneur est un bien que l'on ne peut détruire.  Ceux dont l'ambition se ravale si fort,  Suivant un faux bonheur sont esclaves du sort,  Aux belles actions avoir l'âme occupée,  Ne recevoir la loi que de sa seule épée,  Et ne voir les grandeurs qu'avecque des mépris,  C'est où doivent butter les généreux esprits.  Le bien de la Fortune est un bien périssable,  Et tous ses fondements ne sont que sur du sable.  Outre que si Roger n'a pas reçu des Cieux,  Ces frivoles grandeurs que vous aimez le mieux :  Si le sort en naissant lui ravit ses Provinces,  Vous savez toutefois qu'il est issu de Princes,  La Fortune et les siens l'ont toujours combattu,  Et l'ont privé de tout, hormis de la vertu,  Quoiqu'il ne soit pas Roi, sa naissance est Royale. "")",0.47,Substitution
47,"('#beatrix', ""Et qu'y sauriez-vous faire ? C'est jeunesse."")","('#aymon', ""Mais celle de Léon n'en a qu'une d'égale,  Et vous témoignerez, puisque vous l'avez déjà vu,  S'il est de qualité dont il ne soit pourvu.  N'est-il pas jeune, beau, n'est-il pas agréable ?  N'est-il pas courageux, bref n'est-il pas aimable ?  Et cette fille ingrate, à moins que se haïr,  Ne devrait-elle pas l'aimer et m'obéir ? "")",1.42,Substitution
48,"('#aymon', ""C'est mon [...] : un âge volontaire."")",,1.0,Insertion
49,"('#beatrix', 'Si ne devons-nous pas contraindre son désir.')","('#renaud', 'Une inclination ne peut être forcée. ')",0.69,Substitution
50,"('#aymon', 'Si ne doit-elle pas en faire son plaisir.')","('#aymon', ""C'est que pour son Roger Bradamante est blessée.  C'est qu'elle est sans esprit et, vous sans amitié.  Oui, son aveuglement vous dût faire pitié,  Et vous devriez rougir de vos conseils perfides,  Qui perdent une soeur, et font des parricides.  Réservez vos avis pour une autre saison,  Et me laissez tout seul gouverner ma maison.  J'ai plus d'âge que vous et plus d'expérience,  Et vous m'êtes suspect après tant d'insolence.  Quoi ! Vous mêler déjà de me faire la loi,  Est-ce à vous, je vous prie, à gouverner chez moi ?  Et prenant sur les miens une injuste licence,  Obliger un ami par cette récompense.  Vous acquérir Roger avec un tel présent.  Ô le bon naturel, ô le fils complaisant ! "")",1.0,Substitution
51,"('#beatrix', 'La voudriez-vous forcer en un si libre affaire ?')","('#renaud', 'Mais si ma soeur le veut, malgré votre promesse,  La voulez-vous forcer pour le Prince de Grèce ? ')",0.43,Substitution
52,"('#aymon', 'Elle doit approuver ce qui plaît à son père.')",,1.0,Insertion
53,"('#beatrix', ""L'amour ne se gouverne à l'appétit d'autrui."")",,1.0,Insertion
54,"('#aymon', ""L'on ne peut gouverner les enfants d'aujourdhui."")",,1.0,Insertion
55,"('#beatrix', ""S'il n'y a de l'amour, ils n'auront point de joie."")",,1.0,Insertion
56,"('#aymon', ""L'amour sous le devoir des mariages ploie."")",,1.0,Insertion
57,"('#beatrix', ""Rien n'y est si requis que leur contentement."")",,1.0,Insertion
58,"('#aymon', ""Rien n'y est si requis que mon consentement."")","('#aymon', 'Oui, je lui ferais voir sans le respect du Roi. ')",1.1,Substitution
59,"('#beatrix', ""Je ne veux contester : mais pourtant, je puis dire Que trop vous ne devez son amour contredire. J'aimerois mieux qu'elle eût un simple chevalier Qui fût selon son coeur, que de la marier Contrainte à ce monarque, encor qu'en sa puissance Il eut l'empire Grec et l'empire de France. Je vais parler à elle, et ferai, si je puis, Qu'elle me tirera des peines où je suis, Se dépêtrant le coeur des lacs d'une amour folle, Pour libre aimer Léon, que son amour affole. Dieu me soit favorable, et me fasse tant d'heur Que je la puisse induire à changer son ardeur ! Mais, las ! Vois-la mon fils, honneur de notre race, L'invincible Renaud, des guerriers l'outrepasse ! Il va trouver Aymon : las ! Pauvrette, je crains Qu'il ait autre dessein que ne sont nos desseins. Il aime ce Roger. Que maudite soit l'heure, Avolé, que tu vis cette belle demeure : Je serais trop heureuse, et ores le Soleil Ne verrait rien qui fut à mon aise pareil, Sans toi, sans toi, Roger, qui fraudes mon attente, Privant du sceptre Grec ma fille Bradamante."")","('#renaud', ""Sa justice à propos vous impose la loi.  S'il est assez vaillant pour vaincre Bradamante,  Il faudra bien alors que ma soeur y consente.  Si ce malheur arrive. "")",0.43,Substitution
60,"('#renaud', ""Quoi ? Monsieur, voulez-vous forcer une amitié ? Êtes-vous maintenant un père sans pitié, Qui veuillez Bradamante, une fille si chère, Bannir loin de vos yeux, et des yeux de sa mère, Pour malgré son vouloir, qu'elle ne peut changer, La donner pour épouse à ce prince étranger ? Elle ne l'aime point, et qu'y voudriez-vous faire ? Vous savez que l'amour est toujours volontaire. Il ne se peut forcer ; c'est une affection Qui ne se dompte point sinon par fiction. Le coeur toujours demeure en sa libre franchise, Mais le front et la voix bien souvent le déguise. Ne la contraignez point ; vous seriez à jamais Fâché de lui voir faire un ménage mauvais."")","('#aymon', 'Il vous trompera tous.  Il est plus courageux et plus vaillant que vous.  Ingrat. ')",1.22,Substitution
61,,"('#charles', ""L'événement éclaircira l'affaire.  Vous vous piquez Aymon. "")",1.0,Deletion
62,"('#aymon', ""Qui te fait si hardi de me venir reprendre ? Penses-tu que de toi je veuille conseil prendre ? De quoi t'empêches-tu ? Me viens-tu raisonner ? Et quoi ? Qui t'a si bien appris à sermonner ? Ô le brave cerveau !"")","('#aymon', ""J'ai raison de le faire,  Et votre Majesté me peut bien excuser. "")",1.26,Substitution
63,"('#renaud', ""Ce que je viens de dire N'est pas pour vous prêcher ni pour vous contredire."")","('#charles', ""Mais le meilleur pour vous est de vous apaiser,  Et d'espérer du Ciel une si bonne issue,  Qu'elle confirmera l'espérance conçue.  Mais recevons ce Prince, il s'approche de nous. "")",1.57,Substitution
64,"('#aymon', 'Pourquoi donc ? Qui te meut ?')","('#charles', 'Vous venez sur le point, que nous parlions de vous. ')",1.46,Substitution
65,"('#renaud', ""C'est pour vous déclarer Ce que probablement vous pouvez ignorer."")","('#leon', ""N'ayant point mérité d'être en votre mémoire,  Par un tel souvenir vous me comblez de gloire. "")",1.63,Substitution
66,"('#aymon', 'Et quoi ?')","('#charles', 'Et bien depuis le temps que vous êtes venu,  Quels divertissements vous ont entretenu ?  Est-il rien dans ma Cour capable de vous plaire ? ')",1.01,Substitution
67,,"('#leon', ""L'esprit le plus chagrin s'y pourrait satisfaire :  Je n'ai vu rien encor que rare et que charmant. "")",1.0,Deletion
68,"('#renaud', 'Que Bradamante ailleurs a sa pensée.')","('#charles', ""Et je vois dans ces mots l'intérêt d'un amant.  Confessez que ce bien se doit à Bradamante,  Qu'à son occasion ce séjour vous contente,  Et que notre climat a pour vous des appas,  Qui sans cette beauté ne nous toucheraient pas. "")",0.28,Substitution
69,"('#aymon', 'Cela ne rompra pas ma promesse passée.')",,1.0,Insertion
70,"('#renaud', ""Quoi ? L'avez-vous promise ?"")",,1.0,Insertion
71,"('#aymon', 'Oui bien.')",,1.0,Insertion
72,"('#renaud', ""Sans son vouloir ? Et s'il est autre ?"")",,1.0,Insertion
73,"('#aymon', 'Et puis, le mien doit prévaloir : Je connais mieux son bien que non pas elle-même.')",,1.0,Insertion
74,"('#renaud', ""Lui voulez-vous bailler un mari qu'elle n'aime ?"")",,1.0,Insertion
75,"('#aymon', ""Pourquoi n'aimerait-elle un fils d'un Empereur, Qui est jeune et dispost, qui a de la valeur, Qui est beau, qui est sage, et qui modeste égale Notre qualité basse à sa grandeur royale ? Depuis la froide Thrace, étendue en désert, Il a tant traversé de terres et de mers Pour avoir son amour, qui pas ne le mérite, Et qu'il soit moqué d'elle après telle poursuite ? Qu'elle ne l'aime point ? Qu'elle n'en fasse cas, Non plus que s'il était issu d'un peuple bas ? Elle est par trop ingrate. Une amour avancée Doit d'une amour pareille être récompensée. Ô siècle dépravé ! Non, non, Renaut, dis-lui Que je veux et me plaît qu'il l'épouse aujourd'hui Autrement... Mais, possible, en vain je me colère, Et peut être en cela ne me voudrait déplaire Non plus qu'en autre chose ; elle a le naturel Trop bon pour émouvoir le courroux paternel."")","('#leon', ""Il est vrai q'un amant dont l'ardeur est extrême,  Ne peut aimer un lieu privé de ce qu'il aime :  Mais dans ma passion, et mon aveuglement,  Encore je conserve un peu de jugement.  Bradamante n'a rien qui ne soit adorable :  Mais aussi votre Cour n'a rien de comparable,  L'univers la révère, et ces grands chevaliers,  Qui sont de votre État les généreux piliers,  Relèvent bien l'éclat de votre diadème,  Mais il reçoit surtout le lustre de vous-même. "")",0.0,Match
76,,"('#charles', 'De grâce, désormais, dites-en un peu moins. ')",1.0,Deletion
