,moissy-goute,moissy-petit-paysan,Cost,Operation Type
10,,"('#lucas', 'Et le mien, morgué, est le plus ancien ; mais vous vous gobargez de nous avec votre père que vous dites laboureur.')",1,Deletion
11,,"('#monsieur-d-audicour', ""Je m'en vais vous mettre au fait. Oui „ par l'acquifition que mon pere vient de faire de cette Terre, il se fait gloire du titre de premier La boureur du Pays. Cette qualité à ses yeux com me aux miens ', est la plus belle du monde, la plus importante à l'humanité, exercée par les plus honnêtes gens ; et comme de fils de La boureur à fils de Laboureur il n'y a que la main, touchez - là, mbn cher Lucas, soyons bons amis ; le hafard vous a fait monter jusques ici, j'en fuis charmé ; devenez dans cet heureux moment lç Député de tout votre Pays, et rece vez en son nom toutes les marques d'attention et d'attachement que nous venons lui donner. Oui, mon cher Lucas, pour que mon discours ne soit point équivoque, je veux vous embras ser de tout m#n cceur, comme l'Ambassadeur du Canton."")",1,Deletion
12,,"('#lucas', ""Eh bien !  Tenez, voilà des manières qui me ravissent l'âme, et si vous êtes tretous bons, comme vous le dites, je vous réponds que j'naurons pas besoin qu'on vous recommande au prône, pour que je prions Dieu pour vous de tout not' coeur. Tout le Village va vous être d'une affection, va vous servir avec Un zèle. . .  Vous verrez...  Vous verrez...  Je n'ai qu'un chagrin qui me prend tout subitement."")",1,Deletion
13,,"('#monsieur-d-audicour', 'Quel est-il ?')",1,Deletion
14,,"('#lucas', ""C'est que j'voudrions... si c'était vote bon plaisir. . .. puisque. ... mais..."")",1,Deletion
15,,"('#lucas', ""Vla une Demoiselle qui m'impose silence...  Elle a le regard si honnête et l'abord si avenant, que le plaisir de la voir me coupe la parole..."")",1,Deletion
16,,"('#mademoiselle-d-audicour', ""À quoi t'amuses-tu donc, mon Frère ?  On n'attend plus que toi pour commencer, joues-tu la Comédie avec Monsieur ?"")",1,Deletion
17,,"('#monsieur-d-audicour', 'Non : je lui disais la vérité, en lui apprenant que notre intention est de nous faire aimer de tous les habitants du pays. ....')",1,Deletion
18,,"('#lucas', 'Oh !  Pour cela, vous vous y prenez, morgué, on ne peut pas mieux.  Mais quelle est donc cette gentille demoiselle-là ?')",1,Deletion
19,,"('#monsieur-d-audicour', ""C'est la première bergère de nos hameaux ; c'est ma soeur."")",1,Deletion
20,,"('#lucas', ""Plus vous dites, et plus je me confonds.  Votre soeur, la première bergère du Hamiau !  En ce cas, je suis donc moi le premier de ses moutons.  Oh !  Les bons maîtres que j'avons-là !  Mademoiselle, pardonnez notre importunance, c'est monsieur votre Frère qui en est cause ; il me donne tant de bien à penser de tous tant que vous êtes, que je ne sais auquel entendre ; allais comme j'aurons le temps de développer tout cela, permettez que j'vous salue à bon compte, et que je félicite toutes nos bergères d'avoir une gentille compagne comme vous."")",1,Deletion
21,,"('#mademoiselle-d-audicour', ""Je vous fuis obligée du compliment, ça me flatte d'autant plus qu'il est naturel ; c'est comme je les aime."")",1,Deletion
22,,"('#monsieur-d-audicour', ""Ah !  Ma Soeur, tu ne connais pas encore les plaisirs champêtres, mais tu vas les connaître, en les partageant avec tous les bons et honnêtes habitants de ce pays, la chasse, la pêche, les danses sous l'ormeau mesurées tantôt au son du hautbois, tantôt aux couplets d'une ronde naïve chantée gaiement, et répétée de même : tu verras que ces plaisirs valent bien ceux que la ville offre avec plus d'art et de magnificence, mais avec moins de vérité et de candeur."")",1,Deletion
23,,"('#mademoiselle-d-audicour', ""J'en ai comme toi, mon Frère, la plus agréable idée."")",1,Deletion
24,,"('#lucas', ""Quoi !  Vous danseriez aussi avec nous sous l'ormeau ?"")",1,Deletion
25,,"('#mademoiselle-d-audicour', 'Et de tout mon coeur.')",1,Deletion
26,,"('#lucas', ""Quoi !  Vous...  Eh bien !  Morgué ; le chagrin que j'avais me quitte ; puisque vous êtes si bons, je m'enrôle dans votre troupiau, et je veux jouer itou la comédie avec vous ; m'est avis que le désir de vous plaire me baillera de l'esprit...  Toutes ces paroles qui me semblont arrangées dans un livre comme des plants de laitues, je les dégoiserons tout comme un autre ; alles sont toutes mâchées pour ceux qui savons lire, la mémoire n'a plus qu'à les avaler, et comme je lis tout courant, laissez-moi faire..."")",1,Deletion
27,,"('#mademoiselle-d-audicour', 'Voilà toute la besogne.')",1,Deletion
28,,"('#lucas', ""Voilà toute la besogne...  Mais il faut de la gesticulation, oui, une certaine manigance dans les bras et dans les mains ; or comme c'est la première fois que je me serai attelé à cette charrue-là, et que vous êtas au fait, vous me baillerez bien queuqu'avis ?"")",1,Deletion
29,,"('#mademoiselle-d-audicour', ""Mon cher Lucas, nous n'en savons pas plus que vous, car c'est la première sois aussi que nous nous en mêlons, mais nous comptons sur l'indulgence de nos spectateurs ; j'ai plus besoin que personne de cette indulgence, aussi je la leur demande plus positivement."")",1,Deletion
30,,"('#lucas', ""Allez, Mademoiselle, soyez tranquille ; pour ce qui est en cas de ça, si vous jouez mal, tous les coeurs joueront pour vous, mais nous autres hommes ce n'est pas de même ; au reste, ne nous baillons pas martel en tête ; on sait bien que ce n'est ni vote métier ni le mien ainsi tout coup vaille."")",1,Deletion
31,,"('#monsieur-d-audicour', ""C'est bien dit, Lucas ; ceux qui ne seront pas contents, n'auront qu'à reprendre leur argent à la porte.  Toi, prends courage et n'aie pas peur ; car en cela comme en tout..."")",1,Deletion
32,"('#monsieur-blandineau', ""Enfin, Madame, nous voilà donc à notre maison de campagne en pleines vacances pour deux mois , vous trouverez bon, j'espère, que je fasse mon amusement d'instruire ici mon fils et ma fille à ma manière, et de détruire ou du moins de diminuer en eux tous les défauts que la façon dont vous les élevez à Paris, leur inspire."")","('#monsieur-blandineau', ""Enfin, Madame, nous voilà donc à notre maison de campagne en pleines vacances pour deux mois , vous trouverez bon, j'espère, que je fasse mon amusement d'instruire ici mon fils et ma fille à ma manière, et de détruire ou du moins de diminuer en eux tous les défauts que la façon dont vous les élevez à Paris, leur inspire."")",0,Match
33,"('#madame-blandineau', ""Et quels défauts, s'il vous plaît, trouvez-vous à détruire en eux ?  Voyons, Monsieur, voyons."")","('#madame-blandineau', ""Et quels défauts, s'il vous plaît, trouvez-vous à détruire en eux ?  Voyons, Monsieur, voyons."")",0,Match
34,"('#monsieur-blandineau', ""D'abord en général, vous leur inspirez trop d'orgueil, trop de goût pour le faste des habits et de la parure, trop de penchant pour tous les talents frivoles et même dangereux, comme la Musique, la Danse, etc.  Convient-il qu'une fille de procureur soit mise comme une fille de Duchesse, qu'elle exécute toutes sortes de danses, et surtout l'Allemande, comme une fille d'Opéra, et sache mettre en oeuvre tous les moyens de coquetterie comme une fille de joie ?"")","('#monsieur-blandineau', ""D'abord en général, vous leur inspirez trop d'orgueil, trop de goût pour le faste des habits et de la parure, trop de penchant pour tous les talents frivoles et même dangereux, comme la Musique, la Danse, etc.  Convient-il qu'une fille de procureur soit mise comme une fille de Duchesse, qu'elle exécute toutes sortes de danses, et surtout l'Allemande, comme une fille d'Opéra, et sache mettre en oeuvre tous les moyens de coquetterie comme une fille de joie ?"")",0,Match
35,"('#madame-blandineau', ""Oh !  Monsieur, vous voyez tout d'un coup d'oeil si bourgeois, qu'on vous croirait de l'autre siècle ; mais moi, je me conforme dans l'éducation de mes enfants aux usages de celui où je vis."")","('#madame-blandineau', ""Oh !  Monsieur, vous voyez tout d'un coup d'oeil si bourgeois, qu'on vous croirait de l'autre siècle ; mais moi, je me conforme dans l'éducation de mes enfants aux usages de celui où je vis."")",0,Match
36,"('#monsieur-blandineau', ""Et c'est en quoi, Madame, vous faites fort mal.  Au reste, je veux bien vous laisser un peu maîtresse de former votre fille à votre fantaisie ; les mères malheureusement semblent avoir plus de droits sur l'éducation de leurs enfants semelles que ses pères ; mais pour mon fils, Vous trouverez bon que je n'aie pas la même complaisance, et que je le corrige, si je puis ici, pendant que j'en ai le temps, de tous les défauts qu'il tient de vos mauvais principes. "")","('#monsieur-blandineau', ""Et c'est en quoi, Madame, vous faites fort mal.  Au reste, je veux bien vous laisser un peu maîtresse de former votre fille à votre fantaisie ; les mères malheureusement semblent avoir plus de droits sur l'éducation de leurs enfants semelles que ses pères ; mais pour mon fils, Vous trouverez bon que je n'aie pas la même complaisance, et que je le corrige, si je puis ici, pendant que j'en ai le temps, de tous les défauts qu'il tient de vos mauvais principes. "")",0,Match
37,"('#madame-blandineau', 'Et de quoi le corrigerez-vous ?')","('#madame-blandineau', 'Et de quoi le corrigerez-vous ?')",0,Match
38,"('#monsieur-blandineau', ""D'abord de se donner des airs de petit Marquis, de prendre un ton méprisant avec ceux qu'il croit au-dessous de lui."")","('#monsieur-blandineau', ""D'abord de se donner des airs de petit Marquis, de prendre un ton méprisant avec ceux qu'il croit au-dessous de lui."")",0,Match
39,"('#madame-blandineau', ""Bon !  Ne voulez-vous pas l'élever comme la fils d'un Vigneron, d'un Paysan, enfin comme le petit Jannot votre illustre filleul ?"")","('#madame-blandineau', ""Bon !  Ne voulez-vous pas l'élever comme la fils d'un Vigneron, d'un Paysan, enfin comme le petit Jannot votre illustre filleul ?"")",0,Match
40,"('#monsieur-blandineau', ""Eh !  Madame, ne pensez pas plaisanter ; oui, je voudrais que mon dils eût tout le caractère, toute la douceur et toute l'honnêteté qui paraît dans ce pauvre enfant-là, il n'en vaudrait que mieux ; d'ailleurs vous méprisez ce petit bonhomme, parce qu'il est le fils d'un vigneron ; mais après tout, mon fils n'est que le fils d'un procureur, et moi qui n'ai point de vanités, vous savez bien que je ne suis que le fils d'un...  Là, ne m'en faites pas dire davantage ; ayez de la hauteur tant que vous voudrez, parce que votre père était marchand ; mais je ne veux pas que non fils en ait, et je prétends, pour mettre sa modestie en exercice, que tant que nous serons ici, il traite avec amitié mon petit filleul, quand il viendra jouer avec lui ; ce n'est que le fils d'un vigneron pauvre, mais c'est le fils d'un honnête homme, utile aux autres hommes, et à bien des hommes qui ne le valent pas."")","('#monsieur-blandineau', ""Eh !  Madame, ne pensez pas plaisanter ; oui, je voudrais que mon dils eût tout le caractère, toute la douceur et toute l'honnêteté qui paraît dans ce pauvre enfant-là, il n'en vaudrait que mieux ; d'ailleurs vous méprisez ce petit bonhomme, parce qu'il est le fils d'un vigneron ; mais après tout, mon fils n'est que le fils d'un procureur, et moi qui n'ai point de vanités, vous savez bien que je ne suis que le fils d'un...  Là, ne m'en faites pas dire davantage ; ayez de la hauteur tant que vous voudrez, parce que votre père était marchand ; mais je ne veux pas que non fils en ait, et je prétends, pour mettre sa modestie en exercice, que tant que nous serons ici, il traite avec amitié mon petit filleul, quand il viendra jouer avec lui ; ce n'est que le fils d'un vigneron pauvre, mais c'est le fils d'un honnête homme, utile aux autres hommes, et à bien des hommes qui ne le valent pas."")",0,Match
41,"('#madame-blandineau', 'Ah !  Monsieur Blandineau, voilà de la philosophie, elle se fourre partout.')","('#madame-blandineau', 'Ah !  Monsieur Blandineau, voilà de la philosophie, elle se fourre partout.')",0,Match
42,"('#monsieur-blandineau', ""Non, Madame, ce n'est que du bon sens."")","('#monsieur-blandineau', ""Non, Madame, ce n'est que du bon sens."")",0,Match
43,"('#madame-blandineau', ""Enfin, vous avez votre petit Jannot en tête ; vous n'en démordrez point, je vous connais ; mais si je vous disais que ce fils de paysan est plein de défauts qu'il peut inspirer à mon fils, qu'il est polisson, gourmand, paresseux, menteur, méchant même ; que c'est lui qui vole les fruits de notre petit jardin, auriez-vous encore la fureur de vouloir ?..."")","('#madame-blandineau', ""Enfin, vous avez votre petit Jannot en tête ; vous n'en démordrez point, je vous connais ; mais si je vous disais que ce fils de paysan est plein de défauts qu'il peut inspirer à mon fils, qu'il est polisson, gourmand, paresseux, menteur, méchant même ; que c'est lui qui vole les fruits de notre petit jardin, auriez-vous encore la fureur de vouloir ?..."")",0,Match
44,"('#monsieur-blandineau', ""Ah !  Si vous me prouvez tout cela à n'en pouvoir douter, je lui défendrai de jamais entrer ici."")","('#monsieur-blandineau', ""Ah !  Si vous me prouvez tout cela à n'en pouvoir douter, je lui défendrai de jamais entrer ici."")",0,Match
45,"('#madame-blandineau', ""Si je vous le prouve ?  Rien de si aisé.  Tenez, je m'en vais faire venir gouter mon fils et ma fille dans ce salon ; c'est toujours dans ce moment, que votre vilain Jannot vient pour attraper quelque chose de leur gouté ; nous nous cacherons tous les deux derrière cette porte ; vous entendrez vous-même les propos de ces enfants, et vous jugerez si je vous en impose."")","('#madame-blandineau', ""Si je vous le prouve ?  Rien de si aisé.  Tenez, je m'en vais faire venir gouter mon fils et ma fille dans ce salon ; c'est toujours dans ce moment, que votre vilain Jannot vient pour attraper quelque chose de leur gouté ; nous nous cacherons tous les deux derrière cette porte ; vous entendrez vous-même les propos de ces enfants, et vous jugerez si je vous en impose."")",0,Match
46,"('#monsieur-blandineau', 'Soit, vous avez raison, voyons. ')","('#monsieur-blandineau', 'Soit, vous avez raison, voyons. ')",0,Match
47,"('#madame-blandineau', 'Lapierre. Apportez ici le Gouté de Mademoiselle et de mon fils, et dites-leur de descendre. Un Laquais paraît. Le Laquais sort.')","('#madame-blandineau', 'Lapierre. Apportez ici le Gouté de Mademoiselle et de mon fils, et dites-leur de descendre. Un Laquais paraît. Le Laquais sort.')",0,Match
48,"('#monsieur-blandineau', ""Oh ça !  Si Jannot a tort dans la conduite qu'il va tenir avec nos enfants, je vous promets de vous en faire justice ; mais si ce sont nos enfants qui se comportent mal avec lui, promettez moi aussi de les en corriger."")","('#monsieur-blandineau', ""Oh ça !  Si Jannot a tort dans la conduite qu'il va tenir avec nos enfants, je vous promets de vous en faire justice ; mais si ce sont nos enfants qui se comportent mal avec lui, promettez moi aussi de les en corriger."")",0,Match
49,"('#madame-blandineau', ""Oui, Monsieur, je vous le promets, mais c'est bien une promesse inutile."")","('#madame-blandineau', ""Oui, Monsieur, je vous le promets, mais c'est bien une promesse inutile."")",0,Match
50,"('#monsieur-blandineau', 'Nous allons voir.')","('#monsieur-blandineau', 'Nous allons voir.')",0,Match
51,"('#madame-beandineau', ""Allons, mes enfants, mettez-vous là et goutez ; le petit Jannot va venir, faites-le gouter avec vous, mais ayez attention qu'il ne vous mange pas tout."")","('#madame-beandineau', ""Allons, mes enfants, mettez-vous là et goutez ; le petit Jannot va venir, faites-le gouter avec vous, mais ayez attention qu'il ne vous mange pas tout."")",0,Match
52,"('#le-petit-blandineau', 'Oh !  Que oui, Maman, car il est bien gourmand.  Tenez, il est dans la basse cour qui polissonne avec du fumier.')","('#le-petit-blandineau', 'Oh !  Que oui, Maman, car il est bien gourmand.  Tenez, il est dans la basse cour qui polissonne avec du fumier.')",0,Match
53,"('#monsieur-blandineau', 'Le voici.  Approche Jannot.')","('#monsieur-blandineau', 'Le voici.  Approche Jannot.')",0,Match
54,"('#madame-blandineau', 'Comme le voila fait !\n')","('#madame-blandineau', 'Comme le voila fait !\n')",0,Match
55,"('#monsieur-blandineau', 'Est-il vrai, Jannot, que tu polissonnais dans la basse-cour ?')","('#monsieur-blandineau', 'Est-il vrai, Jannot, que tu polissonnais dans la basse-cour ?')",0,Match
56,"('#jannot', ""Ah !  Mon_Dieu, non, mon Parein, demandez plutôt au Jardinier, je lui aidais à porter du terreau avec une pelle dans le potager ; mais je m'en vais me laver les mains. Il se lave les mains sur une assiette."")","('#jannot', ""Ah !  Mon_Dieu, non, mon Parein, demandez plutôt au Jardinier, je lui aidais à porter du terreau avec une pelle dans le potager ; mais je m'en vais me laver les mains. Il se lave les mains sur une assiette."")",0,Match
57,"('#monsieur-blandineau', ""Tu travaillais, mon enfant, cela est bien fait. Mon fils, pourquoi disiez-vous qu'il polissonnait ? Au petit Blandineau. "")","('#monsieur-blandineau', ""Tu travaillais, mon enfant, cela est bien fait. Mon fils, pourquoi disiez-vous qu'il polissonnait ? Au petit Blandineau. "")",0,Match
58,"('#le-petit-blandineau', ""Dame, mon Papa je l'ai cru."")","('#le-petit-blandineau', ""Dame, mon Papa je l'ai cru."")",0,Match
59,"('#la-petite-blandineau', ""Qu'il n'approche pas de nous toujours, car il nous gâterait tout, mon fourreau de demie-Perse, et l'habit d'été de mon frère."")","('#la-petite-blandineau', ""Qu'il n'approche pas de nous toujours, car il nous gâterait tout, mon fourreau de demie-Perse, et l'habit d'été de mon frère."")",0,Match
60,"('#monsieur-blandineau', 'Allons, pas tant de mépris, Mademoiselle, goutez ensemble, et surtout ayez la paix entre vous trois ; nous allons faire un tour de promenade hors de la maison, votre frère et moi. Ils font semblant de sortir, et se cachent derrière la porte à moitié fermée.')","('#monsieur-blandineau', 'Allons, pas tant de mépris, Mademoiselle, goutez ensemble, et surtout ayez la paix entre vous trois ; nous allons faire un tour de promenade hors de la maison, votre frère et moi. Ils font semblant de sortir, et se cachent derrière la porte à moitié fermée.')",0,Match
61,"('#le-petit-blandineau', ""Allons, ma soeur, mets-toi là, et moi ici : Et vous, Monsieur Jannot, vous n'avez qu'à vous tenir debout, et ne point vous donner les airs de nous approcher. Ils s 'asseyent."")","('#le-petit-blandineau', ""Allons, ma soeur, mets-toi là, et moi ici : Et vous, Monsieur Jannot, vous n'avez qu'à vous tenir debout, et ne point vous donner les airs de nous approcher. Ils s 'asseyent."")",0,Match
62,"('#jannot', 'Oh !  Comme vous voudrez, je ne suis point las du tout.')","('#jannot', 'Oh !  Comme vous voudrez, je ne suis point las du tout.')",0,Match
63,"('#la-petite-blandineau', ""Eh bien !  Tant mieux pour toi.  Tiens, mon frère, voilà une tartine de confitures pour toi, une pour moi, et puis chacun la moitié d'une."")","('#la-petite-blandineau', ""Eh bien !  Tant mieux pour toi.  Tiens, mon frère, voilà une tartine de confitures pour toi, une pour moi, et puis chacun la moitié d'une."")",0,Match
64,"('#le-petit-blandineau', ""Tiens, ma Soeur, voilà une poire pour toi, une pour moi, et puis aussi chacun la moitié d'une ; pour Monsieur Jannot, voilà un petit morceau de pain qu'il trouvera bon, car c'est du pain blanc dont il ne mange qu'ici."")","('#le-petit-blandineau', ""Tiens, ma Soeur, voilà une poire pour toi, une pour moi, et puis aussi chacun la moitié d'une ; pour Monsieur Jannot, voilà un petit morceau de pain qu'il trouvera bon, car c'est du pain blanc dont il ne mange qu'ici."")",0,Match
65,"('#jannot', ""Je vous remercie, mais ne vous en privez pas pour l'amour de moi, peut-être n'en aurez-vous pas trop ; tenez, je n'ai pas beaucoup faim."")","('#jannot', ""Je vous remercie, mais ne vous en privez pas pour l'amour de moi, peut-être n'en aurez-vous pas trop ; tenez, je n'ai pas beaucoup faim."")",0,Match
66,"('#le-petit-blandineau', ""Oh !  Tu en mangerais bien avec des poires et des confitures, mais c'est pour nous."")","('#le-petit-blandineau', ""Oh !  Tu en mangerais bien avec des poires et des confitures, mais c'est pour nous."")",0,Match
67,"('#jannot', ""Non, je n'ai point coutume de manger de cela à mon gouté, et je n'en mangerais pas quand vous m'en donneriez."")","('#jannot', ""Non, je n'ai point coutume de manger de cela à mon gouté, et je n'en mangerais pas quand vous m'en donneriez."")",0,Match
68,"('#la-petite-blandineau', ""Tu es bien fier, tant mieux, car tu n'en auras pas ; attends, je m'en vais éplucher ma poire avec ma belle lame d'argent, et je t'en donnerai la pelure."")","('#la-petite-blandineau', ""Tu es bien fier, tant mieux, car tu n'en auras pas ; attends, je m'en vais éplucher ma poire avec ma belle lame d'argent, et je t'en donnerai la pelure."")",0,Match
69,"('#le-petit-blandineau', ""Ma Soeur, qu'il nous aille prendre des poires dans le jardin, et il en aura une pour lui...  Veux-tu Jannot ?"")","('#le-petit-blandineau', ""Ma Soeur, qu'il nous aille prendre des poires dans le jardin, et il en aura une pour lui...  Veux-tu Jannot ?"")",0,Match
70,"('#jannot', ""Oh !  Non.  Voilà deux fois que vous m'avez forcé d'y aller ; je l'ai fait par bonne amitié pour vous ; je n'en ai pas voulu manger seulement la queue d'une ; et puis vous dites à votre Maman, que je les vole par gourmandise ; je ne veux plus en aller prendre."")","('#jannot', ""Oh !  Non.  Voilà deux fois que vous m'avez forcé d'y aller ; je l'ai fait par bonne amitié pour vous ; je n'en ai pas voulu manger seulement la queue d'une ; et puis vous dites à votre Maman, que je les vole par gourmandise ; je ne veux plus en aller prendre."")",0,Match
71,"('#le-petit-blandineau', ""Parles-donc, eh !  Petit manant, ne serais-tu pas trop heureux d'avoir le fouet pour nous ?"")","('#le-petit-blandineau', ""Parles-donc, eh !  Petit manant, ne serais-tu pas trop heureux d'avoir le fouet pour nous ?"")",0,Match
72,"('#jannot', ""Oui, mais cela n'est pas bien de prendre ce qu'on ne nous donne pas."")","('#jannot', ""Oui, mais cela n'est pas bien de prendre ce qu'on ne nous donne pas."")",0,Match
73,"('#le-petit-blandineau', ""Veux tu bien y aller tout-à-l'heure ?"")","('#le-petit-blandineau', ""Veux tu bien y aller tout-à-l'heure ?"")",0,Match
74,"('#la-petite-blandineau', 'Veux-tu y aller ?...')","('#la-petite-blandineau', 'Veux-tu y aller ?...')",0,Match
75,"('#jannot', ""Non, je n'irai pas, et je n'irai plus jamais."")","('#jannot', ""Non, je n'irai pas, et je n'irai plus jamais."")",0,Match
76,"('#le-petit-blandineau', ""Nous t'allons battre..."")","('#le-petit-blandineau', ""Nous t'allons battre..."")",0,Match
77,"('#jannot', ""Eh bien !  J'aime mieux être battu, que de faire une chose qui n'est pas bien."")","('#jannot', ""Eh bien !  J'aime mieux être battu, que de faire une chose qui n'est pas bien."")",0,Match
78,"('#le-petit-blandineau', ""Ah !  Tu ne veux pas nous obéir ?  Ma Soeur, aide-moi ; tiens, prends cette canne, et moi l'autre...  Le petit Blandineau et sa soeur battent Jannot, qui se laisse battre."")","('#le-petit-blandineau', ""Ah !  Tu ne veux pas nous obéir ?  Ma Soeur, aide-moi ; tiens, prends cette canne, et moi l'autre...  Le petit Blandineau et sa soeur battent Jannot, qui se laisse battre."")",0,Match
79,"('#jannot', ""Eh bien !  Vous n'en serez pas plus avancés... Ils le battent encore, et Jannot s'enfuit dans un coin de la Chambre."")","('#jannot', ""Eh bien !  Vous n'en serez pas plus avancés... Ils le battent encore, et Jannot s'enfuit dans un coin de la Chambre."")",0,Match
80,"('#le-petit-blandineau', ""Ah ça, si tu dis que nous t'avons battu, si tu le dis, nous dirons, comme l'autre fois, que tu as encore volé des fruits dans le jardin."")","('#le-petit-blandineau', ""Ah ça, si tu dis que nous t'avons battu, si tu le dis, nous dirons, comme l'autre fois, que tu as encore volé des fruits dans le jardin."")",0,Match
81,"('#jannot', ""Allez, n'ayez point peur ; vous m'avez déjà battu plus d'une fois, et je n'en ai rien dit."")","('#jannot', ""Allez, n'ayez point peur ; vous m'avez déjà battu plus d'une fois, et je n'en ai rien dit."")",0,Match
82,"('#le-petit-blandineau', ""Allons, rends-nous ton pain, puisque tu ne veux pas nous aller prendre des poires, tu ne l'auras pas."")","('#le-petit-blandineau', ""Allons, rends-nous ton pain, puisque tu ne veux pas nous aller prendre des poires, tu ne l'auras pas."")",0,Match
83,"('#jannot', ""Oh !  Tenez, le voilà, gardez-le ; je suis bien-aise à présent de n'en pas avoir mangé du tout ; j'aime encore mieux notre pain-bis, on ne me le reproche pas."")","('#jannot', ""Oh !  Tenez, le voilà, gardez-le ; je suis bien-aise à présent de n'en pas avoir mangé du tout ; j'aime encore mieux notre pain-bis, on ne me le reproche pas."")",0,Match
84,"('#monsieur-blandineau', ""Eh bien !  Madame, est-ce là ce que vous m'aviez promis ?"")","('#monsieur-blandineau', ""Eh bien !  Madame, est-ce là ce que vous m'aviez promis ?"")",0,Match
85,"('#madame-blandineau', ""Ah ! ah !  Vous êtes de jolis enfants, j'ai tout entendu.  Voilà donc comme vous m'avez menti tous deux fur le compte de ce pauvre Jannot.  Il est gourmand, il vole les fruits, il est méchant, il est menteur, tandis que c'est vous qui avez tous ces vices-là.  Oh !  Je suis bien-aise de vous connaître."")","('#madame-blandineau', ""Ah ! ah !  Vous êtes de jolis enfants, j'ai tout entendu.  Voilà donc comme vous m'avez menti tous deux fur le compte de ce pauvre Jannot.  Il est gourmand, il vole les fruits, il est méchant, il est menteur, tandis que c'est vous qui avez tous ces vices-là.  Oh !  Je suis bien-aise de vous connaître."")",0,Match
86,"('#jannot', ""Ne vous fâchez pas, Madame, par rapport à moi ; tout cela n'était que pour rire, je vous assure, et je ne suis pas fâché du tout ; je vous promets qu'ils ne m'ont point fait de mal, nous jouions ensemble, voilà tout."")","('#jannot', ""Ne vous fâchez pas, Madame, par rapport à moi ; tout cela n'était que pour rire, je vous assure, et je ne suis pas fâché du tout ; je vous promets qu'ils ne m'ont point fait de mal, nous jouions ensemble, voilà tout."")",0,Match
87,"('#madame-blandineau', ""Vas, mon pauvre Jannot, je te rends justice, et je les punirai tous deux comme ils le méritent. Allons vite, allez-vous en tous deux dans votre chambre, auprès de votre Gouvernante, jusqu'à ce que je vous fasse essuyer la punition que vous méritez. Elle les renvoyé. "")","('#madame-blandineau', ""Vas, mon pauvre Jannot, je te rends justice, et je les punirai tous deux comme ils le méritent. Allons vite, allez-vous en tous deux dans votre chambre, auprès de votre Gouvernante, jusqu'à ce que je vous fasse essuyer la punition que vous méritez. Elle les renvoyé. "")",0,Match
