,leclerc-iphigenie,rotrou-iphigenie,Cost,Operation Type
10,,"('#le-valet-de-chambre', 'Sur la rive.')",1.0,Deletion
11,"('#oronte', ""De votre sang, ô Dieu ! J'ai peine à vous entendre : Quel crime ou quel malheur vous force à la répandre !"")","('#agamemnon', ""Ôtez cette lumière, et qu'aucun ne me suive."")",1.46,Substitution
12,,"('#le-valet-de-chambre', ""Je ne puis deviner où ce mystère tend, Mais sans doute il s'agit d'un secret important."")",1.0,Deletion
13,"('#agamemnon', ""Écoute. Quand les Grecs assemblés sur ces bords M'eurent choisi pour chef de leur illustre corps, Cet emploi me fut cher, je l'acceptai sans peine Pour venger Ménélas du ravisseur d'Hélène, Je brûlais du désir d'achever ce dessein ; Mais hélas ! Qu'à moi-même il devient inhumain Puisque par un revers funeste à ma famille Si je lui rends Hélène, il m'en coûte ma fille."")","('#amyntas', ""Le repos est partout aussi calme qu'en l'onde, Le sommeil tient fermez les yeux de tout le monde, Et le chef seul laissant ses membres endormis, Veille et déjà d'ici combat ses ennemis : Tel est l'ordre fatal des affaires humaines, Que les plus grands honneurs soient les plus grandes peines. Qui plus a de sujets, a le plus de souci, S'il est servi de tous, il les sert tous aussi : Ce qui nous soumet tout nous même nous engage, Une grande puissance, est un noble servage, Qui cache de grands soins sous un nom précieux, Et qui lasse bientôt les plus ambitieux, Mais quelqu'un vient ; c'est lui."")",0.51,Substitution
14,"('#oronte', 'Votre fille Seigneur ?')","('#agamemnon', ""Vieillard dont la prudence T'a fait digne d'entrer dans notre confidence Réponds à notre attente, et nous sers au besoin."")",1.29,Substitution
15,,"('#amyntas', 'Quel besoin ?')",1.0,Deletion
16,"('#agamemnon', ""Oronte, apprends de moi Comment j'en ai reçu la tyrannique loi. Les grecs prêts à partir brûlaient d'impatience D'aller faire sur Troie éclater leur vengeance, Lorsqu'un calme soudain répandu sur les eaux Dans ce triste rivage arrêta nos vaisseaux : Par mille et mille voeux contre cette infortune On brigua la faveur d'Éole et de Neptune, Mais ces Dieux, que pressaient nos désirs inquiets Furent à nos soupirs des Dieux sourds et muets, Et pour rendre les vents et les flots plus propices Nous offrîmes jamais que de vains sacrifices, Calcas enfin pressé de l'esprit furieux, Qui prononce aux mortels les réponses des Dieux, De la part de Diane a rendu cet oracle, Qu'il nous faut accomplir pour surmonter l'obstacle, Qui de notre vengeance arrête le dessein, Entends, Oronte, entends, cet Oracle inhumain,  Pour voir finir le calme et vous conduire à Troie, Et pour y remporter un renom immortel, Du sang d'Iphigénie arrosez mon Autel, Ô Grecs, il n'est point d'autre voie."")","('#agamemnon', ""Tu l'oiras, allons un peu plus loin. Déesse du repos, notre mère des ombres, Ô nuit rends si tu peux ces lieux encor plus sombres, Et de peur que quelqu'un n'adresse ici ses pas, Du moindre de tes feux ne nous éclaire pas,"")",0.67,Substitution
17,"('#oronte', 'Quel oracle !')",,1.0,Insertion
18,"('#agamemnon', ""À ces mots mon courage abattu Cher Oronte, eut besoin de toute ma vertu, Je ne pus qu'avec peine étouffer le murmure Je ne pus qu'avec peine étouffer la Nature, Et quand j'envisageai l'excès de mon malheur Je me vis sur le point d'expirer de douleur. Pour prévenir ce coup et pour mieux m'en défendre Au désir de Calcas je feignis de me rendre, Et j'ai par mes détours jusqu'ici différé À lui livrer le sang dont il est altéré. Mais enfin Ménélas qui ne sent d'autre peine Que celle, que lui fait l'enlèvement d'Hélène, Du salut de l'État couvrant son intérêt Me presse d'obéir à ce funeste arrêt, Et Calcas y joignant les terribles maximes Que son zèle établit sur le sang des victimes, Attend que j'y réponde, et présente mes yeux Si j'ose y résister la colère des Dieux ; Il faut se rendre enfin."")","('#amyntas', ""Ce doit être, Grand Prince, une affaire importante, Qui vous ait si matin tiré de votre tente, Tout votre camp repose, et de tant de jeux divers, Le sommeil n'a laissé que les vôtres ouverts."")",0.66,Substitution
19,"('#oronte', 'Quoi ? De ce sacrifice Vous pouvez devenir le malheureux complice, Le tyran de vos jours, et de votre repos ?')","('#agamemnon', ""Heureuse ta fortune, heureuse ta vieillesse, Qu'aucun danger ne suit, qu'aucun soin ne presse : Heureuse la bassesse ou l'homme vit content,  Et malheureux l'honneur qui le travaille tant."")",0.89,Substitution
20,"('#agamemnon', ""Je fais plus, dès ce jour je t'envoie en Argos, J'écris à Clytemnestre, et feins qu'Iphigénie Doit au fils de Thétis par l'hymen être unie, Qu'Achille a refusé de partir avec nous S'il n'emporte avec lui le nom de son époux, Ainsi de cet hymen l'amorce mensongère Amènera bientôt et la fille et la mère, Et moi j'accomplirai cette barbare loi Que nous connaissons seuls mon frère, Ulysse et moi. Aux tendresses du sang ma gloire inexorable Change un père sensible en juge impitoyable, Et d'un cruel effort tyrannisant mes voeux, Fait à ce que je dois céder ce que je veux. Voici l'écrit fatal, où Calcas et mon frère Trouvent à mes dépens de quoi se satisfaire, Voilà l'appas trompeur, ma fille, le voici, Qui pour trancher tes jours doit t'attirer ici. Pour ma fille, je sais que ton coeur s'intéresse, Mais tu n'aimes pas moins le salut de la Grèce, Je sais que pour nous rendre heureux et triomphants Toi-même tu voudrais immoler tes enfants."")","('#amyntas', ""Ha Sire ! Cette plainte en la bouche d'un prince Dément l'affection qu'elle a pour sa province :  Un Roi qui plaint ses soins fait un reproche aux siens, La Ciel a fait pour vous les maux comme les biens, Les Princes sont les Dieux sujets aux lois des hommes, Ils souffrent comme nous, ils sont ce que nous sommes Et celle qui dispense et le mal et le bien Est au dessus de tout, et ne respecte rien. Quel secret à ma foi voulez-vous donc commettre, Sur quoi rêvez-vous tant, t quelle est cette lettre, Qui par tant de sanglots vous étouffe la voix, Et que vous relisez et fermez tant de fois : Quelle est de tant d'ennuis la funeste matière ? Vos soupirs éteindront cette faible lumière, Et les écris auteurs des pleurs que vous versez, Sont par ces mêmes pleurs déjà tout effacés, Si vous me confiez cette triste nouvelle ; Assurez-vous d'un homme et discret et fidèle, Que son propre interêt n a jamais assailli, Et dont la probité n'a point encor failli, Je fus un des présents de Tindare à sa fille, Quand ce jeune Soleil, l'honneur de sa famille, Et pour l'heur de la Grèce, et pour votre repos, Vous vint de Laconie éclairer en Argos. Agamemnon ouvre et ferme souvent sa lettre."")",0.4,Substitution
21,"('#oronte', ""Mais, Seigneur, songez-vous que cet effort barbare De l'amitié d'Achille à jamais vous sépare, Et rompant cet hymen comment prétendez-vous  De ce jeune héros apaiser le courroux ?"")","('#agamemnon', ""Et dans ma Cour depuis, j'ai su quelle créance, T'acquit en son esprit ton âge, et ta prudence : C'est la raison aussi qui fait qu'en ce besoin J'ai recours à ton zèle, et fais choix de ton soin. Pour te déclarer donc, quel devoir j'en exige, Écoute en peu de mots le sujet qui m afflige : Tyndare eut de Léda trois filles, trois beautés, Ou trois vivants écueils des jeunes libertés, Dont ma femme fut une, et Phoebe, et cette Hélène, Jadis : l'honneur des Grecs, et maintenant leur haine, Depuis que son caprice à leur repos fatal, Leur produit tant de trouble et promet tant de mal, Les charmes infinis qui paraient son visage, 'Presque incroyablement s'accrurent avec l'âge : Bientôt au jugement et des yeux et des coeurs, Comme un autre Soleil, elle effaça ses soeurs. Partout elle lançait d'inévitables flammes. Chaque trait de ses jeux lui soumettait des âmes, Et tant de libertés révérèrent ses lois. Que son père en perdit la liberté du choix : Enfin de tant d'amants qui soupiraient pour elle, Entre les principaux naquit une querelle, Par qui, tous menaçaient de furieux combats Celui pour qui le sort destinait ses appas : Ce fatal différent ou chacun se déclare, Excite un trouble étrange en l'esprit de Tyndare : Il consulte longtemps, et longtemps en souci, Ne la peut ni donner ni refuser aussi ; Mais il résout enfin cette doute fatale, Et voici par quel fil il sort de ce dédale : Il exige de nous que mutuellement Nous nous obligions tous d'un solennel serment, Par là tu peux juger que j'étais de la presse > À cette nécessaire et fatale promesse, De prêter assistance à celui d'entre-nous Que le Ciel destinait pour être son époux, S'il arrivait un jour qu'elle lui fut ravie, Et qu'on la peut ravoir au danger de sa vie : Chacun flatté d'espoir d'en être possesseur, Souscrit à cet arrêt contre le ravisseur, Et transporté qu'il est de cet amour extrême Oblige ses sujets, ses armes et soi-même."")",0.29,Substitution
22,,"('#amyntas', 'Toute la Grèce a su ce fameux diffèrent.')",1.0,Deletion
23,"('#agamemnon', ""De son nom seulement nous couvrons ce mystère, Et pour lui, ce n'est pas un sujet de colère, Amour, comme tu sais, n'en est pas le vainqueur, Et Mars seul est en droit de remplir tout son coeur. Si naguère on lui vit quitter Deidamie, Et réveiller pour nous sa valeur endormie, Il verra sans en être irrité ni surpris La perte d'un objet dont il n'est point épris."")","('#agamemnon', ""Chacun craignant alors et chacun espérant, Fait preuve aux yeux de tous de l'ardeur qui le presse Quand le prudent Tyndare usa de cette adresse, Il remet aux beaux yeux charmes de tant de Rois, Le pouvoir absolu, du refus et du choix, Pour ne favoriser ni desservir personne, N'osant pas la donner, il veut qu'elle se donne, Et la laisse au pouvoir de consulter son coeur, Pour entre ses vaincus, élire son vainqueur, On sait que Ménélas en obtint la victoire, Plut aux Dieux que jamais il n'en eut eu la gloire. Il devait aux rivaux, jaloux de son bonheur, Pour se voir bien vengé souhaiter cet honneur, À peine il s'est rangé sous cet hymen funeste, Que le juge mortel du diffèrent céleste, Par qui fut adjugé le prix de la beauté, ( Si ce que l'on en dit est une vérité ) En superbe appareil brillant d'or et de soie, Vient faire montre aux Grecs des richesses de Troie, Il va chez Ménélas voir cet objet charmant, Et de son hôte enfin devenu son amant, Résout de l'enlever et fans beaucoup de peine Se déclare, lui plaît, la dispose, l'emmène."")",0.04,Substitution
24,"('#oronte', ""Ne croyez pas qu'Achille aux combats invincible Aux attraits de l'amour ait une âme insensible, J'ai su par un des siens, qu'à des soins généreux Son coeur mêle en secret des soupirs amoureux. Que lorsque dans Argos il vit Iphigénie Il sentit de ses yeux la douce tyrannie."")","('#amyntas', ""Ô malheureux instinct qui nous attache tant À l'aveugle pouvoir de ce sexe inconstant !"")",0.68,Substitution
25,"('#agamemnon', ""Plût au Ciel, que Diane apaisant son courroux Il devint de ma fille et l'amant et l'époux, Mais un si doux espoir peut-il flatter l'envie De qui doit n'aspirer qu'à conserver sa vie ? Plein d'un zèle indiscret, et mon frère et Calcas Menacent d'éclater si je n'obéis pas, Je dois rendre aujourd'hui ma dernière réponse, Dès que je l'ai fermée, aussitôt j'y renonce. Que dois-je faire enfin ? Mais je vois Ménélas. Laisse-nous seuls Oronte, et ne t'éloigne pas. L'ingrat vient redoubler l'ennui qui me dévore, Hélas !"")","('#agamemnon', ""Lors Ménélas confus et forcenant de rage, Déteste, mais trop tard, ce fatal mariage, Et pour nous engager dans son juste courroux, Nous sommes du serment qui nous oblige tous, Comme sa plainte est juste, on arme à sa requête, Au bout de quelque mois toute l'armée est prête, On prend le rendez-vous, on se rend sur ses bords, Et là je suis nommé pour chef de ce grand corps : Hélas que le plus vain peut bien voir sans envie, Cet honneur si fatal au repos de ma vie, Puisque le Ciel m'oblige à payer de mon sang L'importune splendeur de ce funeste rang, Quand tous prêts nous pensions aller lancer la foudre Qui doit des Phrygiens mettre, la ville en poudre, Une tranquille paix, des vents avec les eaux, Au rivage d'Aulide arrêta nos vaisseaux, C'est ce calme importun qui retient la tempête. Que pour battre Ilion nous avions toute prête, Calchas enfin pressé de l'esprit furieux, Qui prononce aux mortels les réponses des Dieux. De la part de Diane a rendu cet Oracle. Pour naviguer sans obstacle, Et gagner en ce siège un renom immortel,- Du sang d'Iphigénie arroser mon autel. Hélas ! Peu s'en fallut que ma douleur extrême, À cet arrêt fatal ne m'immolât moi-même, Et que pour ne point voir ce que le sang défend, Le père sur le champ ne payât pour l'enfant, Lors je n'affecte honneur, pouvoir ni renommée, Et veux faire au Héros congédier l'armée, Ne pouvant consentir à l'arrêt d'une mort, Qui fait sur la nature un si barbare effort, > Mais mon frère qui brûle et qui ressent dans l'âme, Au point qu'on peut juger la perte de sa femme, N'imagina raison ni d'honneur ni d'état Dont il ne m'assaillit, et qu'il ne m'objectât Pour me faire résoudre à quoi qui se propose, Et qui soit nécessaire au dessein de sa cause : Étourdi donc de cris, et d'importuns propos, Je me laisse gagner, je dépêche en Argos, Et pour tromper ma femme écris qu'Iphigénie Doit au fils de Thétis par l'Hymen être unie, Et qu'il a refusé de partir avec nous, Qu'emportant de ce lieu le nom de son époux, Sous ce prétexte faux, bourreau de ma famille Je disposais la mère à m'envoyer la fille, Résolu d'accomplir cette barbare loi, Que mon frère sait seul, Calchas , Ulysse et moi ; Mais depuis par une aigre et secrete défense, Nature qui ne peut souffrir que je l'offense, M'ayant fait rétracter ce funeste dessein, M'a pour les détromper mis la plume à la main, J'écris à Clytemnestre une seconde lettre, Qu'à ta discrétion t'oserai bien commettre^ Assuré que ton zèle et ta fidélité Te porteront assez  à cette piété ; Prends ce soin pour ton Roi, prends-le pour la nature, Va, mais auparavant entends-en la lecture, Afin que se perdant comme il peut avenir. Elle se retrouvât dedans ton souvenir. À CLYTEMNESTRE. Digne compagne de ma couche Illustre sang de tant de Rois, Ma main au défaut de ma bouche > Te parle une seconde fois. Ne presse rien, retiens ta fille, Achille a modéré l'ardeur de son amour Et remis à notre retour L'alliance qu'il prend dedans notre famille. Agamemnon. ORACLE."")",0.0,Match
26,"('#menelas', ""Hé bien, Seigneur, balancez-vous encore ? Quand les Dieux dont vous seul attirez le courroux Désolent tout un camp pour se venger de nous. Lorsqu'au calme obstiné d'où naissent nos misères Ils sont prêts d'ajouter les fléaux les plus sévères, Agamemnon croit-il pouvoir leur refuser La victime et le sang qui doit les apaiser ? Votre âme en ce malheur d'un beau zèle animée, La doit, ainsi qu'aux Dieux, au salut de l'Armée : Si je vous parle ainsi, Seigneur, c'est malgré moi, L'impatient Calcas m'impose cette loi, Et s'il en exigeait le coup qu'il vous ordonne  On m'aurait vu déjà lui livrer Hermione ; Car enfin, quelque grand que soit un potentat, Il n'est pas à lui-même, il est à son État, Il se doit tout entier aux peuples qu'il commande, Il doit périr pour eux, si leur bien le demande : Cependant vous osez retarder nos exploits Chef de tant de soldats, et Roi de tant de Rois ? Bien que le camp, Seigneur, ignore encor l'Oracle, II croit qu'à son bonheur vous seul servez d'obstacle, Ulysse, en nous quittant a fait mille mutins, Et si vous n'apaisez ces troubles intestins, Je vous en avertis, à moins d'un prompt remède On met en votre place Ajax ou Diomède."")","('#amyntas', 'Mais cet Hymen failli, comment prétendez-vous De ce Prince irrité réprimer le courroux ?')",0.14,Substitution
27,"('#agamemnon', ""Vous savez bien quel sang me demandent les Dieux : S'il savait comme tous, ce camp si factieux. Par quel coup on m'oblige, et par quelle victime, D'expier le soupçon de je ne sais quel crime, Il me plaindrait sans doute au lieu de m'insulter, Et retiendrait la main qui doit l'exécuter. Le coeur d'Agamemnon, à son devoir fidèle Pour les Dieux, pour le camp ne manque point de zèle, Mais enfin, ne peut on par de plus doux moyens Faire passer les Grecs sur les murs des Troyens, Ne puis-je, sans me perdre, avoir les Dieux propices ?"")","('#agamemnon', ""Achille comme tous ignore cette affaire, De son nom seulement nous couvrons ce mystère, Et ces noces ne font qu'un hymen supposé. Qui ne s'est entre-nous promis ni proposé."")",0.73,Substitution
28,"('#menelas', ""À Diane on a fait de nouveaux sacrifices, Mais si de ce beau sang l'autel n'est arrosé, Nous ne verrons jamais son courroux apaisé ; Iphigénie enfin, est la seule victime."")","('#amyntas', ""Ô Dieux pour l'immoler aux autels de Diane, Vous vous osiez servir d'un moyen si profane, Et vous cherchiez pour plaire à sa divinité Un prétexte contraire à la virginité."")",0.29,Substitution
29,,"('#agamemnon', ""Hélas en ces malheurs veux-tu qu'on se possède, Est-il ni jugement, ni raison qui ne cède, Va ne fais point de grâce à ces membres pesants Cours vole et ne prend point de dispenses en tes ans."")",1.0,Deletion
30,"('#agamemnon', ""Diane veut son sang ? Hélas ! Et pour quel crime, Qu'ai-je dit, qu'ai je fait pour l'aigrir contre moi, Jusqu'à me demander plus que je ne lui dois ? Je serai donc puni, je serai misérable Sans savoir, sans sentir ce qui me rend coupable, J'immolerai mon sang, et mon coeur désolé N'aura qu'un vain regret de l'avoir immolé ?"")","('#amyntas', ""J'irai pour vous servir du couchant à l'Aurore, Tout glacé qu'est mon sang, pour vous il bout encore."")",0.59,Substitution
31,,"('#agamemnon', ""Prend garde ou le chemin se pourra diviser, A choisir plus sûr et ne pas t'abuser, Si de loin quelque train ou quelque char se montre, Vois quelle route il tient, et va à sa rencontre > Si ma fille est dedans détournes-en le cours, Abrège son chemin pour prolonger ses jours, C'est le plus digne soin que je te puis commettre : Garde moi ce cachet et fermes en ma lettre. Va tu vois quel Aurore au côteaux d'alentour, Du Soleil qui la suit annonce le retour. Amyntas s'en va."")",1.0,Deletion
32,"('#menelas', ""C'est un ordre du Ciel, et quand le Ciel ordonne Il veut qu'on obéisse, et non pas qu'on raisonne. Livrez Iphigénie au maître de son sort ; Croyez, puisqu'il le dit, qu'elle est digne de mort, Pour ses autels sacrés Diane la demande, Croyez que la Déesse est digne de l'offrande, Et qu'on la doit peut-être à sa Divinité Moins pour votre forfait que pour sa pureté. Si vous lui refusez le sang d'Iphigénie, Le Ciel vous ravira ce sang qu'on lui dénie."")","('#agamemnon', ""Quelle prompte frayeur dans le sein me dévale, Et quel soudain glaçon par mes veines s'étale : De quel nouveau malheur me sens-je menacer, Et d'où vient que mon pied refuse d'avancer, Chaste soeur du Soleil ; pitoyable Déesse, Aux tendresse[s] du sang pardonne ma faiblesse : Je sais trop quel respect nous devons a tes lois, Mais que t'a fait mon sang, sa proie est dans les bois, Ou s'il te faut enfin quelqu'un de ma famille, Contente toi du père, et pardonne à la fille, Fais tourner contre moi le coup qui m'est futur, Prends mon sang dans sa source ; il en sera plus pur. Mais quoi, sans ce devoir sa haine est implacable, Calcas en a donné l'Arrêt irrévocable. D'ailleurs, ce seul refus prive mille vaisseaux, De la faveur des vents, et du secours des eaux ; Par ce même refus je me prive moi-même, D'un honneur qui m'élève en un degré suprême : Chef de tant de soldats et Roi de tant de Rois, Loin de les exciter l'arrête leurs exploits, Et laissant sur ces bords engourdir leur vaillance, Des Princes d'Ilion faits enfler l'insolence, J'offense tout un peuple a mon pouvoir soumis, Des Rois, des Dieux, moi-même, et sers mes ennemis. Combien à ta raison oublié son usage, Rappelle Agamemnon, rappelle ton courage : Laisse lui révoquer le pouuoir d'Amyntas, Et commets un des tiens à courir sur ses pas."")",0.34,Substitution
33,,"('#agamemnon', 'Oronte ?')",1.0,Deletion
34,,"('#oronte', 'Quoi Seigneur ?')",1.0,Deletion
35,,"('#agamemnon', 'Va tôt.')",1.0,Deletion
36,"('#agamemnon', 'Hélas !')","('#oronte', 'Où ?')",0.0,Match
37,,"('#agamemnon', ""Va te dis-je, L'intérêt du ciel même à ce devoir t'oblige, Tu le pourras atteindre à quatre pas d'ici."")",1.0,Deletion
38,"('#menelas', 'Quoi ! Vous pleurez ?')","('#oronte', ""Qui ? Dieux ! Quel est l'ennui qui le transporte ainsi."")",1.8,Substitution
39,"('#agamemnon', ""Heureux, qui comme vous N'exhorte qu'à souffrir ne sent pas les coups, J'avais cru que mes voeux, et que Calcas lui-même Trouverait un remède à mon malheur extrême, Mais je vois que du Ciel l'Arrêt est absolu ; Après tant de combats m'y voilà résolu, La nature a cédé, le devoir la surmonte. Dans une heure au plus tard je fais partir Oronte, J'écris à Clytemnestre, un hymen spécieux Va conduire la mère et la fille en ces lieux. Vous pouvez à Calcas en porter la nouvelle."")","('#agamemnon', ""Va détourner les traits qui menacent ma tête, Il faut qu'Iphigénie ; hélas ! Que dis-je, arrête : Que le ciel pour ma perte arme tout son pouvoir, Je ne lui rendrai point ce funeste devoir."")",0.34,Substitution
40,,"('#amyntas', 'Sire mon devoir souffre en cette violence.')",1.0,Deletion
41,,"('#menelas', 'Et mon autorité en ton insolence.')",1.0,Deletion
42,,"('#amyntas', ""On l'a justifiée en me la commandant."")",1.0,Deletion
43,"('#menelas', ""Je vous plains, et ne puis qu'admirer votre zèle."")","('#menelas', ""Tu fais trop, et tu sers d'un zèle trop ardent."")",0.61,Substitution
44,"('#agamemnon', ""Barbare qu'as-tu dis ? Tu veux verser ton sang ? Es-tu jusqu'à ce point esclave de ton rang ? La Grèce des Troyens veut punir l'arrogance Mais de cet appareil dresse pour sa vengeance Momarque infortuné, quel fruit espères-tu ? S'ils triomphent déjà sans avoir combattu, Si tu verses, ton sang pour expier leur crime, Si ta fille devient leur première victime, Si pour premier exploit ton courage inhumain, Ne peut les approcher qu'en lui perçant le sein ? Quoi donc, le choix des Grecs m'aura rendu leur maître Pour être l'assassin de ce que j'ai fait naître ? Ah ! Subsiste plutôt le superbe Illion, Périsse tout le camp par ma rébellion, Et dussions-nous du Ciel épuiser la colère, Vivons, mourrons en Roi sans cesser d'être père. Non, je n'avouerai point cet écrit criminel Qui ferait à mon âme un reproche éternel, Je vais dans ce moment par un ordre contraire Et conserver la fille et prévenir la mère, J'ai trouvé le secret d'établir mon repos, Viens recevoir ma lettre, et partir pour Argos. Pour la dernière fois tu triomphes Nature, Que les Dieux indignés accablent un parjure ; Lorsqu'ils m'osent prescrire un coup qui fait horreur II vaut mieux mériter que servir leur fureur."")","('#amyntas', ""Ce reproche m'honore, et vous en fait un autre, Le pouvoir qui m'emploie est au dessus du vôtre."")",0.75,Substitution
45,"('#menelas', ""Quelque ordre que j'envoie afin que dans Aulide Ma fille vienne avecque vous,  Ne consentez jamais à cet ordre perfide, Son sang doit de Diane apaiser le courroux ; Mais je mourrai plutôt que d'être parricide."")","('#menelas', 'La vieillesse offensive et seconde en discours, Ne se sait jamais taire, et réplique toujours.')",1.21,Substitution
46,"('#agamemnon', ""C'est-là ce secours tant promis Ô frère plus cruel que tous nos ennemis !"")","('#amyntas', 'Qui parle quand il doit, sait quand il se faut taire.')",1.53,Substitution
47,,"('#menelas', 'Prends garde encor un coup à ne me pas déplaire.')",1.0,Deletion
48,"('#agamemnon', 'Je vous trouve interdit, quelle raison pressante Vous fait si promptement revenir dans ma tente ?')","('#amyntas', ""Il vous sied mal d'ouvrir ce que l'on me commet."")",1.21,Substitution
49,"('#menelas', ""Ce prompt retour, Seigneur, n'est pas sans fondement, Jetez sur cette Lettre un regard seulement."")","('#menelas', ""L'affaire me regarde, elle me le permet."")",1.14,Substitution
50,,"('#amyntas', 'Ce sceau vous en faisait une défense expresse.')",1.0,Deletion
51,"('#agamemnon', ""C'est ma lettre, que vois-je ? Oronte est donc un traître ?"")","('#menelas', ""La lettre qu'il fermait trahit toute le Grèce."")",1.49,Substitution
52,"('#menelas', ""Il est dans son devoir plus constant que son maître, À garder cet écrit il était obstiné, Je l'ai plutôt ravi qu'il ne me l'a donné. Le voilà, cet écrit injuste et téméraire, Désavouez-le encor si vous pouvez mon frère, Le tendre avis qu'il porte étale aux yeux de tous Cette forte amitié que vous avez pour nous."")","('#amyntas', 'Votre effort sera vain, je ne le lâche point.')",0.89,Substitution
53,,"('#menelas', 'Traître un trop long refus à ton audace est joint.')",1.0,Deletion
