,la-fontaine-daphne,quinault-alceste,Cost,Operation Type
19,"('#momus', 'Je la trouvais trop lente, et la voilà trop vive.')","('#la-nymphe-de-la-marne', ""L'onde se presse  D'aller sans cesse  Jusqu'au bout de son cours :  S'il faut qu'un coeur suive une pente,  En est-il qui soit plus charmante  Que le doux penchant des Amours ?  On danse."")",0.61,Substitution
20,"('#minerve', 'Laissez-moi régler ces transports.')","('#la-gloire #la-nymphe-de-la-seine', 'Que tout retentisse,  Que tout réponde à nos voix. ')",1.78,Substitution
21,,"('#la-nymphe-de-la-tuileries', 'Que tout fleurisse  Dans nos jardins et dans nos bois. ')",1.0,Deletion
22,,"('#la-nymphe-de-la-marne', ""Que le Chant des Oiseaux s'unisse  Avec le doux son des Hautbois. "")",1.0,Deletion
23,,"('#tous-ensemble', ""Que tout retentisse,  Que tout réponde à nos voix :  Que le Chant des Oiseaux s'unisse  Avec le doux son des hautbois. Que tout retentisse,  Que tout réponde à nos voix.  On danse."")",1.0,Deletion
24,"('#venus', ""Mon fils, par de secrètes causes, Peut encor mieux que vous les calmer à son tour : Rien n'a d'empire sur l'Amour, L'Amour en a sur toutes choses. Le plus magnifique don Qu'aux mortels on puisse faire, C'est l'amour."")","('#choeur', ""Quel coeur sauvage  Ici ne s'engage ?  Quel coeur sauvage  Ne sent point l'amour ?  Nous allons voir les Plaisirs de retour ;  Ne manquons pas d'en faire un doux usage :  Pour rire un peu, l'on n'est pas moins sage.  Ah, quel dommage  De fuir ce rivage !  Ah, quel dommage  De perdre un beau jour !  Nous allons voir les Plaisirs de retour ;  Ne manquons pas d'en faire un doux usage :  Pour rire un peu, l'on n'est pas moins sage.  On danse."")",0.7,Substitution
25,"('#minerve', ""C'est la raison. Le don le plus nécessaire Aux hôtes de ce séjour, C'est la raison."")",,1.0,Insertion
26,"('#venus', ""C'est l'amour."")",,1.0,Insertion
27,"('#amour', ""L'effet en jugera : servez-vous de vos armes, Et moi j'emploierai mes charmes."")",,1.0,Insertion
28,"('#minerve', ""Que vous vous tourmentez, mortels ambitieux, Désespérés et furieux, Ennemis du repos, ennemis de vous-mêmes ! A modérer vos voeux mettez tous vos plaisirs : Régnez sur vos propres désirs ; C'est le plus beau des diadèmes. Les hommes qui s'étaient arrêtés quelques moments pour ouïr Minerve, attendent à peine qu'elle a achevé, et ne laissent pas, malgré ses conseils, témoigner toujours la même fureur et le même emportement. L'Amour leur faisant signe qu'il veut parler, ils s'arrêtent."")","('#choeurs', 'Revenez, Plaisirs exilés,  Volez de toutes parts, volez.  Les Plaisirs volent, et viennent préparer des Divertissements.')",0.65,Substitution
29,"('#amour', ""De vos sages discours voyez quel est le fruit Je ne dirai qu'un mot. Aimez. On obéit : Vous le voyez. Aux hommes. À ce mot, ceux qui dansaient en confusion et en tumulte dansent deux à deux comme personnes qui s'aiment."")","('#choeur', 'Vivez, vivez, heureux époux. ')",0.97,Substitution
30,"('#venus', ""Amour, qu'il est doux de te suivre !"")","('#licas', 'Votre Ami le plus cher, épouse la Princesse  La plus charmante de la Grèce :  Lorsque chacun les suit, Seigneur, les fuyez-vous ? ')",0.91,Substitution
31,"('#jupiter', 'Vivez, nouveaux humains.')","('#choeur', 'Vivez, vivez, heureux Époux. ')",0.75,Substitution
32,"('#choeur-des-dieux', 'Vivez, nouveaux humains.')",,1.0,Insertion
33,"('#venus', ""Laissez-vous enflammer. Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")","('#licas', ""Vous paraissez troublé des cris qui retentissent ?  Quand deux Amants heureux s'unissent  Le coeur du grand Alcide en serait-il jaloux ? "")",0.48,Substitution
34,"('#choeur', ""Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")","('#choeur', 'Vivez, vivez, heureux Époux. ')",1.29,Substitution
35,,"('#licas', 'Seigneur, vous soupirez, et gardez le silence ? ')",1.0,Deletion
36,,"('#alcide', 'Ah ! Licas, laisse-moi partir en diligence. ')",1.0,Deletion
37,"('#momus', ""D'où vient que si mal assortie Cette belle a fait choix d'un vieillard pour amant ?"")","('#licas', 'Quoi ! Dès ce même jour presser votre départ ? ')",1.32,Substitution
38,"('#amour', ""C'est l'effet merveilleux d'un secret sentiment Que j'appelle sympathie."")","('#alcide', ""J'aurai beau me presser, je partirai trop tard.  Ce n'est point avec toi que je prétends me taire ;  Alceste est trop aimable, elle a trop su me plaire ;  Un autre en est aimé, rien ne flatte mes voeux :  C'en est fait, Admète l'épouse,  Et c'est dans ce moment qu'on les unit tous deux.  Ah ! Qu'une âme jalouse  Éprouve un tourment rigoureux !  J'ai peine à l'exprimer moi-même :  Figure-toi, si tu le peux,  Quelle est l'horreur extrême  De voir ce que l'on aime,  Au pouvoir d'un Rival heureux. "")",1.0,Substitution
39,"('#venus', ""Le démon opposé n'a pas moins de pouvoir. Souvent nous haïssons ce qui devrait nous plaire."")","('#licas', ""L'Amour est-il plus fort qu'un Héros indomptable ? L'Univers n'a point eu de Monstre redoutable  Que vous n'ayez pu surmonter. "")",1.33,Substitution
40,"('#jupiter', ""Tel dieu sait l'avenir, qui n'a pas su prévoir Quels maux ce démon lui va faire. Mais un jour un prince viendra Qui plaira plus qu'il ne voudra. Le Destin parmi nous lui garde un rang insigne, Et je lui veux accorder, Afin qu'il en soit plus digne, L'art de savoir commander. Mars lui promet en apanage La grandeur d'âme et de courage."")","('#alcide', ""Eh, crois-tu que l'Amour soit moins à redouter ?  Le plus grand coeur a sa faiblesse.  Je ne puis me sauver de l'ardeur qui me presse  Qu'en quittant ce fatal Séjour :  Contre d'aimables charmes  La valeur est sans armes,  Et ce n'est qu'en fuyant qu'on peut vaincre l'Amour. "")",0.57,Substitution
41,"('#minerve', 'Moi, la vertu.')","('#licas', ""Vous devez vous forcer, au moins à voir la Fête  Qui déjà dans ce Port, vous paraît toute prête.  Votre fuite à présent ferait un trop grand bruit ;  Différez jusqu'à la nuit. "")",1.24,Substitution
42,,"('#alcide', 'Ah Licas ! Quelle nuit ! Ah quelle nuit funeste ! ')",1.0,Deletion
43,,"('#licas', 'Tout le reste du jour voyez encore Alceste. ')",1.0,Deletion
44,"('#venus', ""Moi, l'agrément."")",,1.0,Insertion
45,"('#amour', ""Et moi le don d'aimer et d'être heureux amant."")","('#alcide', ""La voir encore !... Hé bien différons mon départ,  Je vous l'avais bien dit, je partirai trop tard.  Je vais la voir aimer un Époux qui l'adore,  Je verrai dans leurs yeux un tendre empressement :  Que je vais payer chèrement  Le plaisir de la voir encore ! "")",0.66,Substitution
46,"('#venus #l-amour #minerve', ""Amour et la Raison s'accorderont pour faire Qu'aux coeurs comme aux esprits ce prince plaise un jour"")",,1.0,Insertion
47,"('#choeur', 'Heureux qui par raison doit plaire ! Plus heureux qui plaît par amour !')","('#ensemble', ""L'Amour a bien des maux, mais le plus grand de tous,  C'est le tourment d'être jaloux. "")",1.24,Substitution
48,"('#chloris #aminte #nymphes', ""Allons dans cette prairie : C'est un tranquille séjour ; Jamais les larmes d'amour N'y baignent l'herbe fleurie ; Les moutons y sont en paix, Et les loups n'y font jamais D'outrage à la bergerie."")",,1.0,Insertion
49,"('#chloris', 'Viens, ma soeur.')","('#straton', ""Licas, j'ai deux mots à te dire. "")",1.33,Substitution
50,"('#aminte', 'Je te suis.')","('#licas', ""Que veux-tu ? Parle je t'entends. "")",0.71,Substitution
51,"('#chloris', ""Viens goûter une vie Dont le calme est digne d'envie. Notre Nymphe a banni de ces lieux si charmants Ce peuple d'importuns que l'on appelle amants. La voici."")","('#straton', ""Nous sommes amis de tout temps ;  Céphise, tu le sais, me tient sous son empire,  Tu suis partout ses pas : qu'est-ce que tu prétends ? "")",0.74,Substitution
52,,"('#licas', 'Je prétends rire. ')",1.0,Deletion
53,,"('#straton', 'Pourquoi veux-tu troubler deux coeurs qui sont contents ? ')",1.0,Deletion
54,"('#aminte', ""Que d'appas, de beautés, et de grâces ! Dirait-on pas que l'air s'embellit à ses traces ?"")","('#licas', ""Je prétends rire.  Tu peux à ton gré t'enflammer ;  Chacun a sa façon d'aimer ;  Qui voudra soupirer, soupire,  Je prétends rire. "")",0.96,Substitution
55,,"('#straton', ""J'aime, et je suis aimé ; laisse en paix nos amours. "")",1.0,Deletion
56,"('#daphne', ""Amour, n'approche point de nos ombrages doux, De nos prés, de nos fontaines ; Laisse en repos ces lieux ; assez d'autres que nous Se feront un plaisir de connaître tes peines."")","('#licas', ""Rien ne doit t'alarmer, s'il est bien vrai qu'on t'aime ;  Un rival rebuté donne un plaisir extrême. "")",0.57,Substitution
57,,"('#straton', ""Un Rival tel qu'il soit importune toujours. "")",1.0,Deletion
58,"('#daphne', ""Chloris, n'est-ce pas la ta soeur que tu m'amènes ?"")","('#licas', ""Je vois ton amour sans colère,  Tu devrais en user ainsi :  Puisque Céphise t'a su plaire,  Pourquoi ne veux-tu pas qu'elle me plaise aussi ? "")",0.98,Substitution
59,,"('#straton', ""À quoi sert-il d'aimer ce qu'il faut que l'on quitte ?  Tu ne peux demeurer longtemps dans cette Cour. "")",1.0,Deletion
60,"('#chloris', 'Je vous la viens offrir. Nous cherchions en ces lieux Ce que Flore a pour vous de dons plus précieux.')","('#licas', ""Moins on a de moments à donner à l'Amour.  Et plus il faut qu'on en profite. "")",1.07,Substitution
61,"('#daphne', ""Cherchons, cherchons des fleurs ; l'âge nous y convie : Parons-nous de bouquets pendant notre printemps : Les plaisirs ont chacun leur temps, Comme les saisons de la vie Daphné, ayant achevé ces paroles, se baisse pour cueillir des fleurs, et les Nymphes de la suite en font autant ; pendant quoi un choeur de bergers, demeuré par respect derrière le théâtre, répète ces mots."")","('#straton', ""J'aime depuis deux ans avec fidélité :  Je puis croire sans vanité,  Que tu ne dois pas être un Rival qui m'alarme. "")",0.91,Substitution
62,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie.')","('#licas', ""J'ai pour moi la nouveauté ;  En amour c'est un grand charme. "")",1.42,Substitution
63,"('#daphne', ""J'entends de nos bergers le concert plein d'appas. Qu'ils chantent, je le veux, mais qu'ils n'approchent pas."")",,1.0,Insertion
64,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie Il en renaît sous ses pas.')","('#straton', ""Céphise m'a promis un coeur tendre et constant. "")",1.18,Substitution
65,"('#daphne', 'Déployons nos trésors.')","('#licas', ""Céphise m'en promet autant. "")",1.55,Substitution
66,"('#chloris', ""J'ai cueilli les plus belles."")","('#straton', ""Ah si je le croyais !... Mais tu n'es pas croyable. "")",1.78,Substitution
67,"('#aminte', 'Et moi, les plus nouvelles.')","('#licas', ""Crois-moi, fais ton profit d'un reste d'amitié,  Sers-toi d'un avis charitable  Que je te donne par pitié. "")",1.52,Substitution
68,"('#meroe', 'Moi, les plus vives en couleur.')",,1.0,Insertion
69,"('#daphne', ""Et vous ? Quel mauvais choix vous avez fait, ma soeur ! Vous nous direz, pour votre peine, Une chanson contre l'Amour. Cependant je veux que ma Cour Jure de lui porter une éternelle haine ; Jurez la première, Clymène !"")","('#straton', ""Le mépris d'une volage  Doit être un assez grand mal,  Et c'est un nouvel outrage  Que la pitié d'un Rival.  Elle vient l'Infidèle,  Pour chanter dans les Jeux dont je prends soin ici. "")",0.28,Substitution
70,,"('#licas', ""Je te laisse avec elle,  Il ne tiendra qu'à toi d'être mieux éclairci. "")",1.0,Deletion
71,,"('#cephise', 'Dans ce beau jour, quelle humeur sombre  Fais-tu voir à contretemps ? ')",1.0,Deletion
72,,"('#straton', ""C'est que je ne suis pas du nombre  Des Amants qui sont contents. "")",1.0,Deletion
73,"('#clymene', ""Tout serment De n'avoir jamais d'amant Est chose fort incertaine ; Il en est peu que l'on tienne Plus d'un jour, plus d'un moment : Tout serment De n'avoir jamais d'amant Est chose fort incertaine."")","('#cephise', ""Un ton grondeur et sévère  N'est pas un grand agrément ;  Le chagrin n'avance guère  Les affaires d'un Amant. "")",1.26,Substitution
74,"('#daphne', 'Je veux que vous juriez ; dites donc après moi : Amour,')","('#straton', ""Licas vient de me faire entendre  Que je n'ai plus ton coeur, qu'il doit seul y prétendre,  Et que tu ne vois plus mon amour qu'à regret ! "")",1.27,Substitution
75,"('#clymene', 'Amour,')","('#cephise', 'Licas est peu discret... ')",1.04,Substitution
76,"('#daphne', 'Si jamais sous ta loi Je respire,')","('#straton', ""Ah je m'en doutais bien qu'il voulait me surprendre. "")",1.81,Substitution
77,"('#clymene', 'Si jamais sous ta loi Je respire,')",,1.0,Insertion
78,"('#daphne', 'Je consens de mourir.')",,1.0,Insertion
79,"('#clymene', ""Mourir ? c'est beaucoup dire."")","('#cephise', ""Licas est peu discret  D'avoir dit mon secret. "")",1.2,Substitution
80,"('#daphne', 'Je consens de mourir, si jamais je soupire.')","('#straton', ""Comment ! Il est donc vrai ! Tu n'en fais point d'excuse ?  Tu me trahis ainsi sans en être confuse ? "")",1.31,Substitution
81,"('#clymene', 'Je consens de mourir, si jamais je soupire.')","('#cephise', 'Tu te plains sans raison ;  Est-ce une trahison,  Quand on te désabuse ? ')",1.17,Substitution
82,,"('#straton', 'Que je suis étonné de voir ton changement ! ')",1.0,Deletion
83,"('#daphne', 'Clymène, acquittez-vous ; accompagnons ses sons, Et que nos pas animent nos chansons. Daphné et les personnes de sa suite se prennent alors par la main, et Clymène chante cette gavotte que toute la troupe danse, la répétant après elle : ')",,1.0,Insertion
84,"('#clymene', ""L'autre jour sur l'herbe tendre Je m'assis près de Philandre : Il me conta ses tourments ; Ma mère alors me querelle. « Petite fille, dit-elle, N'écoutez point les amants. Ils sont indiscrets, volages, Téméraires, et peu sages ; Ils font mille faux serments : Ils sont jaloux, ils sont traîtres, Et tyrans quand ils sont maîtres, N'écoutez point les amants. » Écoutez ma chansonnette, Et l'écho qui la répète, Et ces rossignols charmants : Leur musique est sans pareille ; Mais ne prêtez point l'oreille Au ramage des amants."")","('#cephise', ""Si je change d'Amant  Qu'y trouves-tu d'étrange ?  Est-ce un sujet d'étonnement  De voir une fille qui change ? "")",1.37,Substitution
85,"('#daphne', 'Méroé, poursuivez nos divertissements.')","('#straton', 'Après deux ans passés dans un si doux lien,  Devais-tu jamais prendre une chaîne nouvelle ? ')",1.17,Substitution
86,"('#meroe', ""J'ai vu le temps qu'une jeune fillette Pouvait, sans peur, aller au bois seulette. Maintenant, maintenant les bergers sont loups : Je vous dis, je vous dis : « Filles, gardez-vous. »"")","('#cephise', ""Ne comptes-tu pour rien  D'être deux ans fidèle ? "")",1.47,Substitution
87,"('#apollon', ""Voici Tempé, cette vallée Dont on vante partout l'ombrage et les beautés ; Et voilà les flots argentés Qu'y fait couler le dieu Penée. Plus loin vers ces sommets mon empire s'étend. N'y veux-tu pas venir, Momus ? On nous attend."")","('#straton', ""Par un espoir doux et trompeur,  Pourquoi m'engageais-tu dans un amour si tendre ?  Fallait-il me donner ton coeur,  Puisque tu voulais le reprendre ? "")",0.92,Substitution
88,"('#momus', ""Demeurons encore où nous sommes : Ai-je pu voir en un instant Toutes les sottises des hommes ? Par vos puissants efforts, invincible Apollon, On ne craint plus ici les fureurs de Python. Les habitants de ces rivages DeVÉNUS plus heureux, n'en seront pas plus sages : Le temps de la sottise est celui du bonheur."")",,1.0,Insertion
89,"('#apollon', 'Mais que dis-tu de ma victoire ?')","('#cephise', ""Quand je t'offris mon coeur, c'était de bonne foi ;  Que n'empêches-tu qu'on te l'ôte ?  Est-ce ma faute  Si Licas me plaît plus que toi ? "")",0.63,Substitution
90,"('#momus', ""Elle vous a comblé d'honneur, Et rien n'égale votre gloire."")","('#straton', 'Ingrate, est-ce le prix de ma persévérance ? ')",1.68,Substitution
91,"('#apollon', ""Que le fils de VÉNUS cesse de se vanter Qu'ainsi que nous il sait porter Un carquois, un arc, et des flèches ; C'est un enfant qui fait des brèches Dans les coeurs aisés à dompter. Il remporte toujours des victoires faciles ; Je défais des serpents qui dépeuplent des villes."")","('#cephise', ""Essaye un peu de l'inconstance :  C'est toi qui le premier m'appris à m'engager :  Pour récompense  Je te veux apprendre à changer. "")",1.08,Substitution
92,"('#momus', ""Vous méprisez celui qui tient tout sous sa loi. Si l'Amour vous entend ?"")","('#straton #cephise', 'Il faut aimer toujours.  Il faut changer toujours.  Les plus douces amours  Sont les amours fidèles :  Sont les amours nouvelles :  Il faut aimer toujours.  Il faut changer toujours. ')",1.03,Substitution
93,"('#apollon', 'Et que crains-tu pour moi ?')",,1.0,Insertion
94,"('#momus', ""Parlez bas, c'est un dieu ; s'il venait à paraître ?"")","('#licomede', ""Straton, donne ordre qu'on s'apprête  Pour commencer la Fête.  STRATON se retire."")",1.41,Substitution
95,"('#apollon', ""Un dieu ! c'est un enfant : quitte ce vain souci."")",,1.0,Insertion
96,"('#momus', 'Qui donne à Jupiter un maître, Vous en pourrait donner aussi.')",,1.0,Insertion
97,"('#cupidon', ""Quel est l'orgueilleux qui me brave ? Quel téméraire ose attaquer l'Amour ? Ah ! je vous reconnais : vous serez mon esclave Avant la fin du jour. Ces paroles dites, Cupidon s'en revole dans les airs. "")","('#licomede', ""Enfin, grâce au dépit, je goûte la douceur  De sentir le repos de retour dans mon coeur.  J'étais à préférer au Roi de Thessalie ;  Et si pour sa gloire, on publie  Qu'Apollon autrefois lui servit de Pasteur,  Je suis Roi de Scyros, et Thétis est ma soeur.  J'ai su me consoler d'un hymen qui m'outrage,  J'en ordonne les Jeux avec tranquillité.  Qu'aisément le dépit dégage  Des fers d'une ingrate Beauté :  Et qu'après un long esclavage,  Il est doux d'être en liberté. "")",0.27,Substitution
98,,"('#cephise', ""Il n'est pas sûr toujours de croire l'apparence :  Un coeur bien pris, et bien touché,  N'est pas aisément détaché,  Ni sitôt guéri que l'on pense ;  Et l'amour est souvent caché  Sous une feinte indifférence. "")",1.0,Deletion
99,"('#momus', ""Que cet enfant est fier ! Voyez comme il menace ! Ne le prendrait-on pas pour l'aîné des Titans ? Je plains le dompteur de serpents ; Il ne fait pas sûr en sa place. Tandis que Momus dit ces paroles, Daphné avec ses compagnes, par une curiosité de jeunes filles, avance un peu la tête sur le théâtre, et fait quelques pas dans la scène pour voir ces deux étrangers. Apollon la voit un moment ; aussitôt l'Amour, qui est demeuré dans l'air, fait son coup, et Daphné avec sa troupe s'enfuit encore une fois."")","('#licomede', ""Quand on est sans espérance,  On est bientôt sans amour.  Mon Rival a la préférence,  Ce que j'aime est en sa puissance,  Je perds tout espoir en ce jour :  Quand on est sans espérance,  On est bientôt sans amour.  Voici l'heure qu'il faut que la Fête commence,  Chacun s'avance,  Préparons-nous. "")",0.78,Substitution
100,"('#apollon', ""Ah ! Qu'ai je vu, Momus ! Que de traits éclatants ! Que de jeunesse, que de grâce !"")","('#choeur', 'Vivez, vivez, heureux Époux. ')",1.55,Substitution
101,"('#momus', 'Elle fuit.')","('#pheres', 'Jouissez des douceurs du noeud qui vous assemble. ')",1.79,Substitution
102,,"('#admete #alceste', ""Quand l'Hymen et l'Amour sont bien d'accord ensemble  Que les noeuds qu'ils forment sont doux ? "")",1.0,Deletion
103,"('#apollon', 'Mille amours avec elle ont paru.')","('#choeur', 'Vivez, vivez, heureux Époux. ')",0.97,Substitution
104,"('#momus', ""Mille amours ? C'est beaucoup ; je n'en ai pas tant vu. Vous aimez ; vous voyez d'un autre oeil que le nôtre : De quelques qualités qu'un objet soit pourvu, L'amant y voit toujours ou plus_ou_moins qu'un autre."")","('#deux-tritons', ""Malgré tant d'orages,  Et tant de naufrages,  Chacun à son tour  S'embarque avec l'Amour.  Partout où l'on mène  Les Coeurs amoureux,  On voit la Mer pleine  D'écueils dangereux ;  Mais sans quelque peine,  On n'est jamais heureux :  Une âme constante,  Après la tourmente,  Espère un beau jour.  Malgré tant d'orages,  Et tant de naufrages,  Chacun à son tour  S'embarque avec l'Amour.  Un coeur qui diffère  D'entrer en affaire,  S'expose à manquer  Le temps de s'embarquer.  Une âme commune  S'étonne d'abord,  Le soin l'importune,  Le calme l'endort,  Mais quelle fortune  Fait-on sans quelque effort ?  Est-il un commerce  Exempt de traverse ?  Chacun doit risquer.  Un coeur qui diffère  D'entrer en affaire,  S'expose à manquer  Le temps de s'embarquer.  On danse."")",0.72,Substitution
105,"('#apollon', ""Déesse, tu me fuis ? T'ai-je déjà déplu ? C'est pourtant Apollon qui t'aime, qui t'adore. Je n'en puis plus, je sens un feu qui me dévore : Reviens, charmant objet ! Et vous, Olympe, cieux, Je vous dis d'éternels adieux ; Je vous méprise, je vous laisse : Qu'êtes-vous près de ma déesse ? Tout votre éclat vaut-il un seul trait de ses yeux ? Ne la verrai-je plus ? Faut-il que cette belle Emporte mes plaisirs et mon coeur avec elle ? Demeurons sur ces bords, je ne les puis laisser."")","('#cephise', ""Jeunes Coeurs, laissez-vous prendre,  Le péril est grand d'attendre,  Vous perdez d'heureux moments  En cherchant à vous défendre.  Si l'Amour a des tourments,  C'est la faute des Amants.  On danse."")",0.77,Substitution
106,"('#momus', 'Passerons-nous pour dieux ?')",,1.0,Insertion
107,"('#apollon', 'Et pour qui donc passer')",,1.0,Insertion
108,"('#momus', ""Pour mortels, car les dieux, par leur grandeur suprême Ne font souvent qu'embarrasser : On les craint plus qu'on ne les aime. Les vrais amants doivent toujours Sous un maître commun vivre d'égale sorte : Ou monarques ou dieux, n'entrez chez vos amours Qu'après avoir laissé vos grandeurs à la porte"")","('#une-nymphe #cephise', ""Plus les âmes sont rebelles,  Plus leurs peines sont cruelles,  Les plaisirs doux et charmants  Sont le prix des coeurs fidèles :  Si l'Amour a des tourments,  C'est la faute des Amants. "")",0.5,Substitution
109,,"('#licomede', 'On vous apprête  Dans mon Vaisseau  Un divertissement nouveau. ')",1.0,Deletion
110,"('#apollon', ""Je te croirai ; changeons de nom : Je m'appelle Tharsis, satrape de Lycie."")",,1.0,Insertion
111,"('#momus', ""Et moi, son suivant Télamon Que si sur mon chemin quelque Nymphe jolie Se rencontre en passant, je prétends bien aussi La cajoler, m'approcher d'elle, Non pas en amoureux transi : Je vous veux servir de modèle Et cependant, allons conquérir votre belle."")","('#licomede #straton', ""Venez voir ce que notre fête  Doit avoir de plus beau.  LICOMÈDE conduit ALCESTE dans son Vaisseau, STRATON y mène CÉPHISE, et dans le temps qu'ADMÈTE et ALCIDE y veulent passer, le Pont s'enfonce dans la Mer. "")",0.95,Substitution
112,,"('#admete #alcide', ""Dieux ! Le Pont s'abîme dans l'eau. "")",1.0,Deletion
113,,"('#choeur', 'Ah quelle trahison funeste ! ')",1.0,Deletion
