,chabanon-toison-d-or,rousseaujb-jason,Cost,Operation Type
24,"('#medee', ""Aux ordres paternels, c'est à moi de souscrire ; Mais connaissez le coeur qu'à vos lois je soumets. L'hymen épouvantait ma fière indépendance, Et je ne pensais pas qu'un mortel dût jamais Triompher de ma résistance. Jason vous avez seul adouci ma fierté ; Mai lorsqu'à vos verras, je rends cette justice, Prêt d'engager pour vous, ses voeux, sa liberté, Mon coeur s'étonne encor d'un si grand sacrifice."")","('#orphee', ""C'est trop garder un timide silence Nos Grecs, si longtemps abusés, Ne souffrent plus qu'avec impatience Cet indigne repos où vous les réduisez. De la riche Toison ils cherchent la conquête; Colchos garde en ses murs ce dépôt précieux Le ciel nous y conduit : leur troupe est toute prête ; Et vous seul retardez ce dessein glorieux."")",0.1,Substitution
25,"('#aetes', 'Ce sacrifice est doux quand il est mérité. TRIO.')","('#jason', ""Au milieu des horreurs d'une guerre effroyable, Dois-je accabler encore un roi trop déplorable, Qui nous a comblés de bienfaits ? Le Scythe sur ces bords a porté t'épouvante D'un combat furieux nous voyons les apprêts. Ce prince espère en nous remplissons son attente ; Combattons pour ses intérêts, Et que de notre zèle une preuve éclatante Puisse autoriser nos projets."")",1.14,Substitution
26,"('#medee #aetes #jason', ""Jour heureux ! Jour plein de gloire ! Tu combles tous nos désirs : À l'ivresse de la victoire, Tu joins l'ivresse des plaisirs."")","('#orphee', ""Pour nous engager à vous croire, Cessez de prendre un vain détour Le voile pompeux de la gloire Sert souvent à cacher l'amour. Aux rives de Lemnos une reine charmante A long-temps arrêté vos pas; Et lorsqu'un sort heureux répond à notre attente, La beauté de Médée amuse votre bras. Ah quand la gloire nous appelle Est-il temps de languir dans une amour nouvelle? N'en suspendrez-vous point le cours trop odieux ?a Tant d'illustres guerriers n'ont-ils quitté la Grèce, Que pour venir être en ces lieux Les témoins de votre faiblesse ?"")",0.7,Substitution
27,"('#aetes', 'Jason, je vous dois ma couronne.')",,1.0,Insertion
28,"('#jason', 'Je tiens de vous un bien plus grand.')","('#jason', 'Hélas')",1.49,Substitution
29,"('#aetes', ""Vous l'obtenez en conquérant, Et c'est l'amour qui vous le donne."")","('#orphee', 'Vous soupirez?')",1.19,Substitution
30,"('#aetes #medee', ""Oui, c'est l'amour qui vous le donne."")","('#jason', ""Tu connais mes malheurs Vainement je voudrais te cacher mes douleurs. Hypsipyle m'aimait mon coeur brûlait pour elle Les jours les plus heureux n'étaient faits que pour nous. Fatal devoir, gloire cruelle, Que je serais heureux sans vous ! Il fallut la quitter, cette reine si belle. La perte d'un bonheur que je trouvais si doux, Porte à mon coeur les plus sensibles coups Plus mon sort eut d'attraits, plus ma peine est mortelle. Trop cruel souvenir d'un bonheur qui n'est plus, N'offrez plus à mon coeur votre douceur passée Éloignez-vous, fuyez de ma triste pensée ; Pourquoi m'entretenir des biens que j'ai perdus ? Je guérirais des maux dont j'ai l'âme blessée, Si de mes esprits prévenus Votre image était effacée : Trop cruel souvenir d'un bonheur qui n'est plus, N'offrez plus à mon coeur votre douceur passée."")",1.14,Substitution
31,"('#medee #aetes #jason', 'Jour heureux, etc.')",,1.0,Insertion
32,"('#aetes', 'Sans Médée, et sans ses attraits, Ma stérile reconnaissance Ne pouvoir payer vos bienfaits.')","('#orphee', ""Tandis qu'en cette cour vous prodiguez vos voeux, Croirai-je qu'Hypsipyle occupe encor votre âme?"")",0.84,Substitution
33,"('#jason', ""Sans Médée, et sans ses attraits, Tous les dons de votre puissance, N'étaient que des dons imparfaits."")","('#jason', ""Écoute le secret de ma nouvelle flamme, Et plains mon destin rigoureux ; En perdant la Toison, le roi perd sa puissance. Pour prévenir les coups du sort, Médée a de son art employé l'assistance. Que peut contre elle un inutile effort ? Et quelle valeur indomptable De ses enchantements pourrait forcer le cours ? Pour vaincre son art redoutable L'Amour, le seul .Amour m'offre ici son secours. Cependant conçois-tu l'excès de ma tristesse ? À de feintes ardeurs j'immole ma tendresse Malgré moi je trahis un objet plein d'appas. Ah ! C'est une rigueur extrême D'être réduit à quitter ce qu'on aime Pour s'attacher à ce qu'on n'aime pas !"")",0.54,Substitution
34,"('#medee #aetes #jason', 'Jour heureux etc.')","('#orphee', 'Je vois paraître la princesse.')",1.81,Substitution
35,"('#jason', ""Des beaux arts dont les Dieux ont enrichi la Grèce, Déployons sur ces bords, la pompe enchanteresse. On danse. SEXTUOR chanté par les Argonautes et accompagné de la lyre d'Orphée."")","('#jason', 'Cours rassembler nos Grecs ; je te suis, laisse-nous.')",0.96,Substitution
36,"('#orphee', ""Ô mère de la volupté ! Vénus ! Descends sur ce rivage ; Viens y couronner la beauté, Viens y sourire à ton image. Au nom de Vénus, l'air sépare La terre s'émaille de fleurs ; Et leurs parfums enchanteurs, Sont l'encens que la nature Offre à la Divinité Qui d'un seul regard lui procure Le calme, et la sérénité. SEXTUOR. On danse."")","('#jason', ""Princesse, où vous exposez-vous ? Ah ! Fuyez un séjour d'horreur et de tristesse."")",1.27,Substitution
37,"('#medee', ""Beaux-arts, enfants du ciel ! J'ai donc connu vos charmes : Vous prêtez à l'Amour ses plus puissantes armes. Par un magique enchantement, J'ai cru me voir en un moment, Loin de ces rives transportée ; J'avais franchi les vastes mers, J'habitais un autre univers,  Séjour des Dieux, terre enchantée ; Là, tout invite à s'enflammer, Et l'on ne vit que pour aimer. Beaux-arts etc. On danse."")","('#medee', ""Je ne viens point, par un indigne effroi Arrêter en ces lieux l'ardeur qui vous anime ; Partez, volez, courez servir le Roi : Aux héros tels que vous, c'est un soin légitime. Plus votre coeur est magnanime, Et plus il est digne de moi."")",0.33,Substitution
38,"('#aetes', ""Venez, Jason, venez ; hâtons l'instant heureux, Qui par un noeud charmant, doit vous unir tous deux."")",,1.0,Insertion
39,"('#pollux', ""Amis, n'êtes-vous plus les enfants de la gloire ? Ne sommes-nous venus dans cet affreux séjour, Que pour y consacrer des fêtes à l'Amour ?"")","('#jason', ""Ne puis-je obéir à ma gloire Qu'en quittant l'objet que je sers ? Tous les honneurs de la victoire Pourront-ils me payer des douceurs que je perds ?"")",0.63,Substitution
40,"('#idamas', 'Ces jeux seront suivis des jeux de la victoire.')",,1.0,Insertion
41,"('#pollux', ""Dis plutôt que Jason s'apprête à nous trahir."")",,1.0,Insertion
42,"('#idamas', 'Lui !')",,1.0,Insertion
43,"('#pollux', ""L'amant de Médée est un Grec infidèle ; Prêt à s'unir avec elle, Il est traître envers nous, où va le devenir. Pollux ne sera pas complice De cette lâche trahison. Air."")","('#medee', ""Vous m'aimez, votre ardeur, m'est chère Je frémis des périls où vous allez courir Mais le devoir l'ordonne, il lui faut obéir, Et l'amour doit se taire. Adieu, Jason, évitez-moi Je sens redoubler mes alarmes ; Fuyez de dangereuses larmes ; Je crains pour vous le trouble où je me vois."")",0.82,Substitution
44,"('#idamas', 'Eh ! Que prétend ton injustice ?')",,1.0,Insertion
45,"('#pollux', ""Sauver d'un amoureux caprice, La conquête de la Toison. Entre la Grèce et la Colchide Que le fils d'OEson se décide."")",,1.0,Insertion
46,"('#choeur', ""Oui, qu'il prononce, et dès ce jour."")",,1.0,Insertion
47,"('#idamas', 'Pourquoi cette épreuve inutile ?')",,1.0,Insertion
48,"('#pollux', 'Le choix est-il si difficile ?')",,1.0,Insertion
49,"('#choeur', ""Non ; qu'il prononce, et dès ce jour."")",,1.0,Insertion
50,"('#idamas', 'Dieux ! Que je crains pour son amour !')","('#jason #medee', ""Ah ! Quelle peine extrême De quitter ce qu'on aime ! Que mon sort serait doux, S'il ne fallait jamais me séparer de vous."")",0.68,Substitution
51,,"('#combattants', ""Courons, courons où l'honneur nous appelle, Remplissons tout de sang et de terreur ; Que le trépas, le carnage et l'horreur Nous ouvrent les chemins d'une gloire immortelle."")",1.0,Deletion
52,"('#pollux', 'Si ce faible guerrier balance.')","('#medee', 'Que de cris furieux Se font entendre dans ces lieux !')",1.36,Substitution
53,"('#choeur', ""Nous commettons à ta vaillance, L'espoir de nos brillants succès."")","('#combattants', 'Que notre ardeur se renouvelle, Sous nos funestes traits, tombez, audacieux.')",0.59,Substitution
54,"('#pollux', 'Ô douce ! Ô flatteuse espérance !')","('#medee', 'Ô dieux ! Ô justes Dieux ! Quelle rage cruelle !')",1.43,Substitution
55,"('#idamas', 'Quittez ces dangereux projets.')","('#combattants', 'Que notre ardeur se renouvelle Sous nos funestes traits, tombez, audacieux !')",0.57,Substitution
56,"('#pollux', 'Ô douce ! Ô flatteuse espérance !')","('#medee', ""Quelle horreur ! Quelle triste image ! Mon coeur se sent glacer d'effroi. Peut-être en cet instant mon amant ou le Roi... Ô ciel détourne un si cruel présage ! C'est à toi seul que j'ai recours, Mon art de leurs destins ne peut changer le cours, Je mets mon seul espoir en ta bonté suprême, Conserve-moi tout ce que j'aime ; Juste ciel ! Prends soin de leurs jours, J'implore ton secours. Mais tout redouble ici mon désespoir extrême."")",0.78,Substitution
57,,"('#combattants', ""Périssez tous, périssez tous, Cédez à l'effort de nos coups."")",1.0,Deletion
58,"('#pollux', ""Si le faible Jason balance Ne commettez qu'à ma vaillance, L'espoir de vos brillants succès."")","('#le-roi', ""Le calme va bientôt succéder à l'orage ; Nous triomphons, ma fille, et le Scythe est soumis. Jason poursuit encore un reste d'ennemis, Qui ne saurait longtemps occuper son courage : Vous allez revoir ce vainqueur, Moins satisfait de sa victoire Que sensible à la gloire D'avoir su toucher votre coeur."")",0.52,Substitution
59,"('#choeur', ""Si le faible Jason balance Nous commettons à ta vaillance, L'espoir de nos brillants succès."")","('#jason', ""Vos ennemis, livrés au destin de la guerre, De leur perfide sang ont fait rougir la terre. Leur roi seul échappé de ce désordre affreux, Traînait de ses soldats les débris malheureux Nos Grecs n'ont songé qu'à le suivre ; Je l'ai joint dans ce bois et sa mort vous délivre D'un ennemi si dangereux."")",1.39,Substitution
60,"('#idamas', ""Jason vous verra avec prudence. Ne commettez qu'à ma vaillance. L'espoir de vos brillants succès."")","('#le-roi', ""Après ce grand exploit, est-il en ma puissance De payer vos rares bienfaits ? Prescrivez en la récompense; Et quel_que_soit le prix qu'exigent vos souhaits, Soyez sûr des effets de ma reconnaissance. Et vous, peuples, chantez l'invincible héros Qui vous assure un plein repos."")",0.4,Substitution
61,"('#aetes', ""J'aime à voir sur ton front embelli par la joie, Cette sérénité que l'amour y déploie. Air."")","('#le-roi #medee', 'Pour célébrer sa gloire, Réunissons nos voix La paix et la victoire Sont les fruits glorieux de ses fameux exploits.')",0.77,Substitution
62,,"('#le-choeur', 'Pour célébrer sa gloire, Réunissons nos voix La paix et la victoire Sont les fruits glorieux de ses fameux exploits.')",1.0,Deletion
63,"('#medee', ""Quelle était mon erreur ! D'un noeud plein de douceur, Vous me vantiez le charme et l'innocence ; Mon aveugle imprudence Se refusait aux leçons du bonheur. Les biens dont je jouis, vous les avez fait naître Pour un jeune héros mon coeur s'est enflammé J'ai honte des moments perdus sans le connaître, Je déteste les jours où je n'ai point aimé."")","('#jason #medee', ""Il est temps de bannir les larmes, Jouissons d'un sort plein de charmes. Le ciel rend nos voeux satisfaits : Tout cède à l'effort de nos armes. Après de mortelles alarmes, Qu'il est doux de s'aimer en paix !"")",0.29,Substitution
64,"('#aetes', ""Témoin de ton bonheur, je veux l'accroître encore."")","('#suivantes-de-medee', ""Les Dieux ont pour nous Fait éclater leur puissance, Nos voisins jaloux Sont soumis sans résistance ; De leur courroux Ne craignons plus les atteintes ; Un sort plus doux Finit le cours de nos plaintes ; Que de plaisirs Vont s'offrir à nos désirs !"")",0.82,Substitution
65,,"('#le-choeur', 'La paix va régner sur la terre : Vivons heureux, profitons des beaux jours : Les funestes cris de la guerre Vont faire place aux doux chants des amours.')",1.0,Deletion
66,"('#medee', 'Non ; tout votre pouvoir le tenterait en vain.')","('#jason', ""Laisse-moi respirer, malheureuse contrainte, Funeste effet d'une odieuse feinte, Triste remords qui vient me déchirer, Laisse-moi respirer. Quelle honte, grands Dieux ! Ah ! Quel supplice extrême ! Je feins de haïr ce que j'aime, Et d'adorer ce que je hais. Je trahis Hypsipyle, et Médée, et moi-même : Quelle honte, grands Dieux ! Ah ! Quel supplice extrême ! Mais quoi ? Ce riche don que je m'étais promis, Sans ce secours ne peut m'être permis Tout m'annonce une mort affreuse. Que dis-je ? Ah ! Bannissons une terreur honteuse, Ce prix serait trop acheté, S'il fallait l'obtenir par une indignité. Ma feinte à la Princesse a trop fait d'injustice N'abusons plus de sa crédulité. Je vais, par un aveu dépouillé d'artifice, Faire éclater la vérité. Mais quels concerts se font entendre ? Quelle Divinité dans ces lieux va descendre ?"")",1.34,Substitution
67,"('#aetes', ""Prends ma couronne, et que ta main L'attache sur le front du héros qui t'adore."")","('#venus', ""Vénus s'intéresse à ton sort, Garde-toi d'écouter le dangereux transport Où ton coeur s'abandonne. L'Amour veut par tes soins être victorieux, Tu dois suivre ce qu'il ordonne, La vertu des mortels est d'obéir aux Dieux."")",0.91,Substitution
68,"('#medee', 'Conservez vos grandeurs, notre amour nous suffit.')","('#jason', ""C'en est trop, déesse charmante, Je vais, sans balancer, répondre à votre attente."")",0.75,Substitution
69,"('#aetes', ""Quand je te place au rang suprême Au don de tes appas, j'ajoute un diadème À de pareil présents, l'amour même applaudit. Il la place sur le trône et lui met la couronne sur la tête."")","('#le-roi', ""Prince il faut m'acquitter de ce que je vous dois. La princesse vous a su plaire, De mon trône, affermi par vos fameux exploits Recevez le juste salaire : Je veux que l'hymen en ce jour Soit le prix de votre victoire ; Joignez aux honneurs de la gloire Les douceurs de l'amour."")",0.1,Substitution
70,"('#aetes', 'Médée est votre souveraine, Obéissez tous à sa loi.')",,1.0,Insertion
71,"('#choeur', 'Médée est notre Souveraine, Obéissons tous à sa loi.')",,1.0,Insertion
72,"('#aetes', 'Que sous son joug heureux le devoir vous enchaîne.')","('#jason', ""Quel prix d'une flamme si belle ? Que mon destin a de douceur ! Après un tel bienfait, m'est-il permis, Seigneur, De me flatter d'une grâce nouvelle ? Nos Grecs ont partagé mes soins et mes travaux: Ils doivent partager votre reconnaissance ; Daignez encore à ces héros Accorder une récompense."")",1.31,Substitution
73,"('#choeur', 'Médée est notre Souveraine.')",,1.0,Insertion
74,"('#aetes', ""Conservez lui l'amour que vous eûtes pour moi."")","('#le-roi', ""Parlez, et quelque bien qui flatte ici leurs yeux, Ils seront satisfaits j'en atteste les Dieux."")",1.17,Substitution
75,,"('#jason', 'Tant que le ciel pour eux répandra sa lumière, Rien ne peut les toucher que la riche toison.')",1.0,Deletion
76,"('#choeur', 'Médée est notre Souveraine.')","('#le-roi', 'Dieux que me dites-vous ?')",1.57,Substitution
77,"('#aetes', 'Médée est votre Souveraine,. Et Jason sera votre roi.')","('#medee', 'Ah ! Perfide Jason !')",0.76,Substitution
78,"('#choeur', 'Oui, que Jason soit notre roi. On danse.')","('#jason', 'Daignez à leur valeur guerrière Ouvrir cette noble carrière.')",1.65,Substitution
79,"('#aetes', 'Jason nous devient nécessaire ; Il fixe dans ces lieux Le don mystérieux Que Phrixus a daigné nous faire.')","('#medee', 'Juste ciel, quelle trahison !')",1.69,Substitution
80,"('#choeur', 'Gage longtemps disputé, De notre félicité, Fais le bonheur de la Colchide ; Repose en sûreté, Sous le bras redouté Qui te couvre de son égide,')","('#le-roi', 'Quoi, prince, ignorez-vous que la Toison ravie Met en péril et mon sceptre et ma vie ; En voulez-vous précipiter la fin ? Et pourquoi vous charger des ordres du destin ?')",0.79,Substitution
81,"('#jason', ""Non, peuples jusques-là je ne puis vous servir, Et ma bouche et mon coeur sont loin de le promettre : Le trésor qu'à mes soins vous prétendez commettre, Je ne viens à Colchos que pour vous le ravir."")","('#jason', ""Le Dieu du jour vous donna la naissance, Un grand peuple est soumis à votre obéissance ; Vos ennemis gémissent dans vos fers, Tout comble ici votre bonheur extrême : Vous n'avez plus à craindre un funeste revers, Votre sort désormais dépendra de vous-même. Pour nous, qu'un fier tyran tient ses lois soumis, Tel est le malheur qui nous presse, Qu'une honteuse mort nous attend dans la Grèce Si de notre retour la Toison n'est le prix."")",0.59,Substitution
82,"('#aetes', ""Qu'entends-je !"")","('#le-roi', ""Mais savez-vous qu'un projet si coupable Rend votre perte inévitable ? Quelle fureur vous porte à chercher le trépas ?"")",1.88,Substitution
83,"('#medee', 'Ciel !')","('#jason', ""La mort ne nous étonne pas. Plus le péril est redoutable, Et plus la victoire a d'appas."")",1.69,Substitution
84,"('#choeur', 'Ô ciel !')",,1.0,Insertion
85,"('#jason', ""Adorable Princesse, J'offense vos appas; Mais un serment me lie, et je dois à la Grèce Le service éclatant qu'elle attend de mon bras. Je n'aurai pas du moins trompé votre tendresse, Pour usurper un bien que je dois conquérir : Je puis vous affliger, mais non pas vous trahir."")","('#le-roi', ""J'ai juré de vous satisfaire Je ne saurais m'en dégager Puisqu'un avis sincère Ne saurait vous changer, Allez exécuter un dessein téméraire Les Dieux prendront le soin de me venger."")",0.0,Match
86,"('#aetes #medee', 'Veillé-je ? Est-ce un songe ? Dans quel nouveau malheur ce discours me replonge ? Long silence.')","('#jason', ""Dans quel mortel chagrin un tel discours me laisse ? Que je sens un cruel tourment ? Vous me fuyez, chère princesse Quoi ! M'abandonnez-vous en cet accablement ?"")",0.31,Substitution
87,"('#choeur', 'Perdons un ennemi Qui contre nous conspire.')","('#medee', ""Je fuis un traître, un infidèle, Qui n'a que trop mérité mon courroux."")",1.21,Substitution
88,"('#medee', ""De mon père il sauva l'empire."")","('#jason', ""Plaignez plutôt ma fortune cruelle, Du plus ardent amour mon coeur ressent les coups, Mais je ne puis trahir la gloire qui m'appelle. Si je dois vivre pour vous. Je dois vivre aussi pour elle."")",1.79,Substitution
89,"('#aetes', 'Par lui mon trône est raffermi.')",,1.0,Insertion
90,"('#choeur', 'Il cherche à le détruire. Perdons un ennemi Qui contre nous conspire.')","('#medee', ""Contre un Roi généreux, qui par mille bienfaits S'empresse à combler tes souhaits, Former un dessein perfide, Traître, sont-ce là les effets De la gloire qui te guide ?"")",0.81,Substitution
91,,"('#jason', 'Exilés du climat qui nous donna le jour, Un serment solennel engage notre gloire À méditer notre retour Par cette éclatante victoire.')",1.0,Deletion
92,"('#jason', ""Peuple ingrat ! Que veut ta fureur ? C'est contre ton vengeur Que ta voix éclate et menace."")","('#medee', ""Malheureux ! J'ai pitié de ta témérité, Tu cours à ta perte certaine. Apprends en quelle extrémité Ton funeste dessein t'entraîne. Deux taureaux indomptés sont les premiers remparts Qui défendent le champ de Mars. La flamme qui se mêle à leur brûlante haleine Forme autour d'eux un affreux tourbillon ; Il faut forcer leur fureur inhumaine À tracer sur la plaine un pénible sillon. Aussitôt du sein de la terre, Tes yeux verront de toutes parts Sortir des escadrons épars, Qui se rassembleront pour te livrer la guerre. Ce n'est pas tout encore : un dragon furieux Fait dans ce lieu terrible une garde constante ; Jamais le doux sommeil n'approcha de ses yeux : Rien ne saurait tromper sa fureur vigilante. La mort, la plus cruelle mort Sera le prix de ton audace."")",0.48,Substitution
93,"('#aetes #medee', ""C'est contre ton vengeur Que ta voix éclate et menace."")","('#jason', 'Non, non. je ne crains point le coup qui me menace, Mon courage et les Dieux sont garants de mon sort.')",0.7,Substitution
94,"('#choeur', ""Il n'est point, ô Jason ! De bienfait que n'efface La criminelle audace Qui veut nous ravir la Toison. RÉCITATIF."")","('#medee', ""C'en est donc fait, volage ! Puisque mes soins sont superflus, Va, cours ; je ne te retiens plus ; Achève d'accomplir un projet qui m'outrage ; Mais après les périls dont je t'ai peint l'horreur Redoute encor Médée et sa fureur."")",0.53,Substitution
95,"('#medee', ""Cessez, troupe séditieuse ; Les maux que vous craignez, je puis les empêcher. Dépouille chère et précieuse ! Je dévoue au trépas la main ambitieuse Qui t'oserait toucher. Qu'un dragon rugissant te couvre et te protège : Contre un attentat sacrilège, J'arme des taureaux furieux ; Leur haleine empestée obscurcira les cieux ; Leurs cris jusqu'aux enfers iront se faire entendre ; Et du sein de la terre ouverte sous leurs pas, Naîtront des moissons de soldats Toujours prêts à te défendre. En faut-il plus encor ? Elle marche vers la Toison, et la touche de sa baguette. Au Peuple."")","('#jason', ""Vaine fureur, impuissante colère ! Non, non, ce n'est pas toi qui causes mes tourments ; Je souffre beaucoup plus de l'indigne mystère Qui cache ici mes sentiments : Vaine fureur, impuissante colère, Non, non, ce n'est pas toi qui causes mes tourments ; Quelle pompe éclatante S'approche de ces bords ! D'où naissent ces nouveaux accords ; À mes regards surpris quel objet se présente 1 C'est Hypsipyle, ô Ciel ! en croirai-je mes yeux ; Quel sort l'a conduite en ces lieux ? Mon âme confuse éperdue, Soutiendra-t-elle encor sa vue ? Elle vient, je la vois, Dieux qui l'avez permis, Sont-ce là les secours que vous m'aviez promis ?"")",0.0,Match
