,guimont-de-la-touche-iphigenie,favard-voisenon-la-petite-iphigenie,Cost,Operation Type
19,"('#ismenie', ""Ah ! Si brisant le joug d'une triste contrainte, Vous essayiez de vaincre et son zèle et sa crainte ; Si de l'humanité vous réclamiez les droits, Et le courroux des dieux, et le devoir des rois ; Si vous misiez parler sa gloire et la nature..."")","('#thoas', ""Je me connais, Madame, en physionomie, Ce n'est qu'un garnement, de fort mauvaise vie ; Cet homme-là m'effraye, et mon coeur alarmé Se glace en le voyant."")",1.28,Substitution
20,,"('#iphigenie', 'Il est donc bien armé ?')",1.0,Deletion
21,"('#iphigenie', ""Que peut-on sur un coeur en proie à l'imposture, Que sa religion et la crédulité Remplissent d'épouvante et de férocité ? Grands dieux ! si cependant votre gloire s'oppose À ces meurtres sacrés qu'un faux zèle m'impose ; Du sang des malheureux si ces autels baignés, Sont un objet d'horreur à vos yeux indignés ; Daignez alors, daignez descendre dans mon in», Et l'embraser des traits d'une divine flamme ; A ma timide voix prêtez ces fiers accents Qui subjuguent l'esprit et captivent les sens ; Que je puisse dompter l'illusion farouche D'un barbare que tout effraie et rien ne touche ; Et qu'en vous honorant, mes pacifiques mains Ne servent désormais qu'au bonheur des humains."")","('#thoas', ""Non, il est garrotté, mais il n'aime qu'à mordre, On voit dans ses discours un esprit en désordre, -Je le crois querelleur, il fait à tous moments Aux hommes comme aux Dieux de vilains compliments. J'ai remarqué surtout qu'au sort de sa colère Bien souvent il s'écrie : Hélas ! Ma chère mère ! On dit que des démons, sans_cesse autour de lui L'entourent de serpents pour le rendre poli. J'ai cru, pour dissiper fa noire extravagance, Devoir lui demander son nom et sa naissance Il garde le secret."")",0.11,Substitution
22,,"('#iphigenie', ""Je pense qu'il fait bien : Pour le faire mourir son nom ne sert à rien. Est-il jeune ?"")",1.0,Deletion
23,"('#ismenie', 'Votre tyran paraît, renfermez votre trouble.')","('#thoas', 'Oui vraiment.')",1.12,Substitution
24,"('#iphigenie', ""Son aspect, malgré moi, l'excite et le redouble."")",,1.0,Insertion
25,"('#thoas', ""Vous a qui l'avenir se doit manifester, Sur mon sort, en tremblant, je viens vous consulter. Je ne peux plus long-temps, dans l'ombre du silence, De mes noires terreurs cacher la violence. Sans être criminel, j'éprouve des remords ; J'entrevois sous mes pieds le rivage des morts : La foudre autour de moi dans la nuit étincelle ; Sur mon front innocent ma couronne chancelle: Des dieux qu'avec effroi j'évite d'offenser, Jusqu'au sein du repos je m'entends menacer. Diane, par mes voeux vainement combattue, Semble vouloir ailleurs transporter sa statue ; De ce revers. Fatal, dont dépendent mes jours, Je ne sais quelle voix vient m'avertir toujours. Vous qu'approche des dieux votre saint ministère, Daignez de ces objets m'éclaircir le mystère; Eu apaisant le ciel, daignez l'interroger Dans le flanc entr'ouvert du sinistre étranger. L'état où je l'ai vu m'afflige et m'importune ; Tout m'est suspect en lui, jusqu'à son infortune; Ses regards furieux, vers le ciel élancés, Sur son front palissant ses cheveux hérissés, Ses mouvements affreux, ses cris mêlés d'alarmes, Perdus dans un torrent de sanglots et de larmes, Son visage altéré, sans forme et sans couleur, L'oubli de sa raison qu'égare la douleur, Son calme ténébreux après sa rage éteinte, De l'horreur qui le suit frappent mon âme atteinte De ses gardes tremblants si j'en crois les rapports, Dans l'effroyable accès de ses brûlants transports, Parmi les cris qu'il pousse en sa douleur amère, Il semble articuler les noms d'ami, de père ; Un d'eux même a cru voir des spectres l'entourer, Armés de longs serpents, prêts à le déchirer. Quel peut être le nom de ce barbare impie ? Dans son farouche coeur quel crime affreux s'expie ? Condamné par les dieux, et tout prêt d'expirer, D'où peut naître l'effroi qu'il semble m'inspirer? D'où vient que tout me nuit, et sert à me confondre ?"")","('#iphigenie', ""Sa mort me désespère. Ô ciel ! Est-ce donc là ce que j'en devrais faire ?"")",1.07,Substitution
26,"('#iphigenie', ""Sur vos troubles secrets que puis-je vous répondre, Seigneur ? Les dieux sont sourds a mes tristes accents ; Diane avec horreur repousse mon encens; Sous mes genoux tremblants l'autel fuit et s'entr'ouvre, La statue à mes yeux d'un voile épais se couvre ; Dans son propre aliment le feu sacré s'éteint. Je ne sais, mais le sang dont cet autel est teint, Ce sang de l'innocence aveuglément proscrite, Loin d'apaiser les dieux, peut-être les irrite. La Vapeur de ce sang, par devoir répandu, A peut-être formé l'orage suspendu. Je l'avouerai, je crains d'outrer leur privilège ; Je crains d'être à la fois barbare et sacrilège. Si l'organe qui parle à mon coeur éperdu, Du vôtre également pouvait être entendu, Votre zèle, Seigneur, plus pur et moins austère, Ne ferait plus du meurtre un auguste mystère ; Et ces autels de sang, effroi des malheureux, Seraient, contre le sort, un asile pour eux; Même pour l'étranger qui vous paraît à craindre, Et qui peut-être, hélas ! Quel qu'il soit, n'est qu'à plaindre. Enfin, je ne sais trop si c'est les offenser; Mais, pour l'honneur des dieux, je n'oserais penser Qu'au gré des noirs transports d'une bizarre haine, Faisant de leurs autels une sanglante arène, Ils se plaisent sans honte à voir le sang humain Couler à longs ruisseaux sous ma tremblante main. A ces farouches traits peut-on les reconnaître ? Se pourrait-il, grands dieux ! Qu'avilissant votre être, Vous nous ordonnassiez, capricieux tyrans, D'expier nos forfaits par des forfaits plus grands ; Et que nous n'eussions droit à vos bienfaits augustes, Qu'en osant mériter vos vengeances plus justes ?"")","('#thoas', ""Ah ! Je me lasse enfin d'être tant combattu, Adorer et frapper, voilà votre vertu."")",0.56,Substitution
27,"('#thoas', ""Eh quoi ! l'illusion d'un coeur compatissant Vous fait-elle oublier l'oracle encor récent, Qui mute avec le jour le sceptre et la statue, Si par l'humanité mon âme combattue, Dérobe au glaive saint un seul des étrangers Qu'auront fait échouer le sort et les dangers? C'est donc en me rendant à ses arrêts contraire, Qu'aux vengeances du ciel on prétend me soustraire ? Protecteur, dites-vous, des mortels innocents, Peut-il nous demander leur trépas pour encens ? Sons doute qu'il le peut, puisqu'il vous le demande; Et cet hommage est dû dès-lors qu'il le commande. Est-il quelque devoir qui l'oblige envers nous? Ne peut-il pas frapper sans mesurer ses coups? Quoi ! les peuples armes du glaive de la guerre, De flots de sang humain pourront couvrir la terre ! Leurs chefs ambitieux, au soin de leur grandeur, Pourront tout immoler dans leur aveugle ardeur ! Nous-mêmes, dans le creux de nos antres sauvages, Nous pourrons subsister de meurtre et de ravages ! Nous pourrons dévorer nos ennemis vivants, Et nous désaltérer dans leurs crânes sanglants ! Et les dieux en courroux, ces dieux par qui nous sommes, Ne pourront demander pour victimes, des hommes ! Le sang que nous faisons couler à notre gré, Sera-t-il donc pour eux uniquement sacré? Mais vous, de leurs décrets l'instrument et l'organe, Quel tribunal en vous les juge et les condamne ? De quelle autorité, bornant ici leurs droits, Aux maîtres du tonnerre imposez-vous des lois ? Tremblez de vos discours : qu'un prompt retour expie Les murmures secrets de votre coeur impie. Malgré les mouvements dont il est combattu, Adorer et frapper, voilà votre vertu."")","('#iphigenie', ""Par ces vers convaincants vous m'avez décidée Oui, par la cruauté ma piété guidée, Va trouver désormais ce sacrifice beau, Et l'on va sur l'autel apporter le couteau."")",0.06,Substitution
28,"('#iphigenie', ""Eh bien ! Seigneur, eh bien ! envoyez la victime. Puissé-je ne remplir qu'un devoir légitime !"")","('#thoas', 'Un changement si prompt marque peu de scrupule.')",1.69,Substitution
29,"('#thoas', ""La victime de près va vous suivre à l'autel. Je retourne la voir dans mon trouble mortel. Qui que ce soit, frappez ; soyez inexorable : C'est être criminel que d'être misérable. En un mot, c'est ma loi, c'est ma religion, Et votre seul devoir est la soumission."")",,1.0,Insertion
30,"('#iphigenie', ""Il faut donc la remplir cette loi rigoureuse... Allons, puisqu'il le faut Où vais-je, malheureuse ? Tout mon sang se soulève, et tout mon corps frémit : Dans mon coeur palpitant l'humanité gémit."")",,1.0,Insertion
31,"('#ismenie', ""Vous dépendez d'un maître aux pleurs inaccessible  En ses fausses ,- erreurs d'autant plus inflexible, Que par le poids des ans courbe vers le tombeau, Il voit de ses longs jours pâlir le noir flambeau. Craignez son zèle affreux, et que dans la Tauride Il ne vous fasse enfin trouver une autre Aulide. De ses ordres plutôt remplissez la rigueur ; C'est le crime du sort, et non de votre coeur."")","('#iphigenie', 'Pouvez-vous à ma voix ne pas être crédule ?')",0.81,Substitution
32,"('#iphigenie', ""Quelque esclave qu'il soit du destin qui l'opprime, Va, pour qui le commet, le crime est toujours crime ;  Et la nécessité, qui semble l'excuser, Ne peut vaincre son coeur, constant à l'accuser."")","('#thoas', ""Je suis né défiant, cependant vous verrez Si j'empêcherai rien de ce que vous ferez. Vous pourrez me tromper sans avoir de l'adresse, Je ne reparaîtrai que pour finir la pièce."")",0.94,Substitution
33,"('#ismenie', ""Mais si le ciel enfin, si le ciel le commande ? Si c'est un sang impur, que son courroux demande ?"")","('#ismenie', 'Vous avez carte blanche, il faut en profiter.')",1.71,Substitution
34,"('#iphigenie', ""Eh ! De quel vain effroi prétends-tu me frapper ? La nature me parle, et ne peut me tromper : C'est la première loi... C'est la seule peut-être... C'est la seule, du moins, qui se fasse connaître, Qui soit de tous les temps, qui soit de tous les lieux, Et qui règle à la fois les hommes et les dieux."")","('#iphigenie', ""Je ne fais pas d'où vient il se fait déteSter, Ce tyran est au fond une bonne personne ; LorSqu'il fait le méchant, c'est un air qu'il se donne."")",1.3,Substitution
35,"('#eumene', 'Ah ! Madame, pensez....')","('#eumene', ""Mais vous avez promis d'exercer votre emploi, Et vous allez enfin agir de bonne foi : Dans votre ministère il faut de la droiture."")",1.34,Substitution
36,,"('#iphigenie', 'Ah ! Mon coeur fuit toujours la voix de la nature.')",1.0,Deletion
37,"('#iphigenie', ""Je sens que je m'égare ; Mais que le ciel enfin me parle et se déclare. Suit-il dans ses décrets les moeurs des nations ? Est-il père ou tyran selon leurs passions ? Mais non, peuples cruels, il n'a point votre rage ; Auteur de la nature, il chérit son ouvrage ; Tout homme à ses bienfaits a droit également ; Aucun dans l'univers n'est ne pour son tourment."")","('#ismenie', ""Moi, c'est ce que je fais, c'est ma Divinité. Ses lois furent toujours les Dieux de la Beauté."")",0.83,Substitution
38,"('#oreste', ""Ah ! Laissez-moi jouir du moment qui me reste, Et respectez mon sort. Les gardes s'éloignent."")","('#iphigenie', ""J'entends quelqu'un hurler, Prêtresse de Diane Je dois avec prudence éviter tout profane ; Les hommes sont pour nous des danger[s] trop certains, Nous reviendrons pourtant leur délier les mains."")",0.95,Substitution
39,"('#oreste', ""Ah ! Malheureux Oreste ! Pour m'accabler encor, quel bras appesanti Rappelle au sentiment mon coeur anéanti?... Cieux ! Quel enfer me suit ? Quels tourments effroyables !... Laissez-moi respirer, spectres impitoyables ! C'est le crime des dieux je n'ai fait qu'obéir.... Mais vous, qui me donnez le droit de vous haïr, Auteurs de mon forfait, auteurs de mon supplice, Dieux bizarres, parlez, quel est votre caprice ? Du fond de mon exil vous m'arrachez tremblant ; Vous mettez dans mes mains un glaive étincelant; De mon père égorgé par sa fureur jalouse, Vous marquez à mes coups la parricide épouse ; Je recule, je crains.... Cruels, vous menacez; Je me soumets, je frappe.... et vous me punissez..,, C'est peu. N'apercevant dans la nature entière Qu'un gouffre épouvantable, et l'ombre de ma mère, N'en pouvant soutenir le fantôme odieux, Je cours vous implorer, impitoyables dieux ! Vous me nommez ces lieux, qu'au meurtre on prostitue ; Vous m'annoncez qu'il faut en ravir la statue, Et transporter ailleurs ses autels profanés, Pour m'arracher au trouble où vous me condamnez : Je pars, et tu me suis, ami fidèle et rare ! Mais entrant dans le port l'orage nous sépare. Poussé sur les écueils, par la foudre embrasé, Mon vaisseau, loin du tien, vole en éclats brisé. Englouti sous les flots, privé de la lumière, J'ignore qui me rend à ma fureur première. Mais sur quelles horreurs s'arrêtent mes regards ? Sur ces marbres cruels quels traits de sang épars ! Mes plus affreux malheurs sont-ils ceux que j'ignore? Pylade... Achève, ô ciel, frappe, je vis encore—... Ô rage ! Oui, c'est son sang. Me laissant mon ami, Les dieux ne m'auraient cru malheureux qu'à demi."")","('#oreste', ""Je deviens furieux, Destin, quand je te nomme ! Tu ne fais qu'un coquin souvent d'un honnête homme Mon exemple en fournit une affr[e]use leçon : Je suis un misérable, et suis né bon garçon ; Je suis doux, et souvent je me mets encore ; J'adore mes parents, et j'ai tué ma mère ; Je cours les champs, portant en mon coeur le remord Et je rencontre un chien enragé qui me mord ; Je le deviens moi-même, et répands l'épouvante ; Pilade, d'une humeur sensible et prévenante Veut bien m'aimer malgré ce petit défaut-là ; Mais le destin m[aud]it n'approuve pas cela. Par l'ordre d'Apollon je viens sur ce rivage, Je cours toutes les m[e]rs pour avoir une image, Et je perds mon ami d'abord en arrivant. Mon infortune, ô Ciel ! t'amuse trop souvent ; Mais ces carreaux sont teints et cette colonnade ! Je me connais au sang, c'est celui de Pilade ; Les Dieux sans doute ont cru qu'avec de l'amitié, Le malheur ne pouvait m'accabler qu'à moitié."")",0.0,Match
40,"('#pylade', 'Que vois-je ? À mon transport puis-je le méconnaître ? Revois entre tes bras, ô moitié de mon être, Revois Pylade. Il court embrasser Oreste.')","('#pilade', 'Retrouve ton ami.')",1.22,Substitution
41,"('#oreste', 'Où suis-je ? En croirai-je mes yeux ? Pylade dans mes bras ! Pylade dans ces lieux ! Je sens mon âme errer sur mes lèvres tremblantes...')",,1.0,Insertion
42,"('#pylade', 'Rappelle, en me voyant, tes forces chancelantes.')","('#oreste', ""Je ne t'attendais guère."")",1.5,Substitution
43,"('#oreste', ""Dans ces barbares lieux fermés à la pitié Quel démon ou quel dieu t'a conduit ?"")",,1.0,Insertion
44,"('#pylade', ""L'amitié. Ayant par tes débris, connu ton infortune, Voguant aux cris des tiens, luttant contre Neptune, Les sauvant tous, croyant te voir dans chacun d'eux, Je te cherchais, rempli des promesses des Dieux. N'osant et ne pouvant, sans leur faire un outrage, Te croire enseveli sous ton propre naufrage, Au milieu des rochers qui défendent ce port, J'aborde, sans autre art qu'un aveugle transport ; De mon vaisseau caché sous leur cime avancée, J'abandonne le soin au sage et brave Alcée ; Et cherche avec effort la trace de tes pas Dans des autres voisins des portes du trépas. Près de ces murs sanglants le jour vient me surprendre : J'allais pour tout tenter, vers mon vaisseau me rendre, Quand tout un peuple accourt, et vient m'envelopper : Je m'arme avec fureur, je crois le dissiper ; Mais le nombre m'accable, et je deviens la proie De ces monstres remplis de terreur et de joie, Ils me traînent en foule et d'un commun transport, Devant leur chef tremblant qui m'envoie à la mort... Mais quels profonds sanglots !"")","('#pilade', ""Ton étoile et les Dieux m'ont taillé des croupières, Je fuis tombé dans l'eau, cela me porte au coeur, L'amitié s'affadit avec cette liqueur."")",0.41,Substitution
45,"('#oreste', ""Dans quel gouffre d'alarmes Replongez-vous mes sens, Dieux, témoins de mes larmes ! Quel est mon sort ! Faut-il toujours me reprocher Le malheur de tous ceux qui m'osent approcher !... Ah ! Fallait-il, quittant le trône et la Phocide, T'associer sans honte au sort d'un parricide ? Et ne devais-tu pas, à l'exemple des dieux, Abandonner un monstre à lui-même odieux ? Se tournant vers Pylade."")","('#oreste', ""Je te revois, Pilade, et ma joie est fi tendre Qu'à l'instant mon accès de rage va me prendre."")",0.6,Substitution
46,"('#pylade', ""Pylade, ô ciel ! Pylade abandonner Oreste ! Quel langage accablant pour l'ami qui te reste ?"")","('#pilade', 'Sauve qui peut.')",1.6,Substitution
47,"('#oreste', ""Effroyable ascendant d'un pouvoir ennemi ! J'ai donc assassiné ma mère et mon ami ! Ciel exterminateur, anéantis mon être, Anéantis le jour, le lieu qui m'a vu naître... Mais quel vide effrayant se forme sous mes pas !... Grâces au ciel, je vois les gouffres du trépas... Dans leur profonde nuit courons cacher mes crimes..., Mais quel spectre se meut au fond de ces abîmes ?... C'est ma mère, grands Dieux !... Fuyons... Mais la voici... Égisthe l'accompagne... Et toi, Pylade, aussi ? Comme eux, tu me poursuis ; toi, mon dieu tutélaire ? Tu sers de mes bourreaux l'implacable colère ! L'ami qui me restait devient mon assassin ! Il s'arme de serpents, il les jette en mon sein ! Ciel, où fuirai-je ? Arrête, ombre chère et terrible... Vois mes remords, mes pleurs, mon désespoir horrible... Ah ! Je succombe... Il tombe dans tes bras de Pylade."")","('#oreste', ""Je vois tout l'enfer fous mes pas."")",0.69,Substitution
48,"('#pylade', 'Ô ciel ! Et ne me vois-tu pas Te soutenir, ami, te serrer dans mes bras ?...')",,1.0,Insertion
49,"('#oreste', ""C'est toi !"")","('#pilade', 'La belle vue !')",1.11,Substitution
50,"('#pylade', ""Vois ton ami, que ta fureur offense.... Barbare, voilà donc l'effet de ma présence ! Si tu n'étais encor plus digne de pitié, Quels reproches amers te ferait l'amitié ?"")","('#oreste', 'Ô Ciel je sens entre mes bras, Un serpent venimeux qui me pique et me glace. Quelle femme, Grands Dieux, me fait donc la grimace')",0.84,Substitution
51,"('#oreste', ""Excuse un malheureux étonné de lui-même. Mais peux-tu le blâmer ? Il perd tout ce qu'il aime."")","('#pilade', 'Tu lui rends bien.')",1.62,Substitution
52,"('#pylade', ""Où s'égare ton coeur ? Ose lui commander ; Illustre l'amitié, loin de la dégrader. Pense moins à Pylade, et t'occupe d'Oreste ; Du plus beau sang des rois n'avilis point le reste. Sois homme et me fais voir le fils d'Agamemnon. Oublie et tes remords et ton crime et ton nom ; Que notre bonheur soit seul présent à ta pensée."")","('#oreste', ""Un spectre est là pour l'appuyer C'est Egiste, oui c'est lui qui lui sert d'écuyer ; Mais quel objet hideux m'embarrasse et m'arrête ! Il gémit... Ah ! Qu'il a de cornes à la tête ! Que vois-je ! C'est mon père !"")",0.83,Substitution
53,,"('#oreste', ""Il n'est donc pas changé ?"")",1.0,Deletion
