,regnard-coquette,regnard-filles-errantes,Cost,Operation Type
10,"('#colombine', ""C'est notre bel esprit ; je la tiens quitte de sa visite dès à présent. Venez çà ; allez chez ma couturière, et dites-lui que je veux avoir mon habit aujourd'hui.  À Bagatelle. "")","('#arlequin', ""N'entends-tu, Claudine ?  Ce gentilhomme vient loger chez moi ; il lui faut deux chambres l'une auprès de l'autre.  Entends-tu bien ?"")",0.95,Substitution
11,"('#bagatelle', 'Ne lui dirai-je pas aussi de nous faire des culottes ?  La mienne est toute déchirée entre les jambes, et ma chemise passe, révérence parler, par... ')","('#isabelle', ""Est-ce là le prix de tant d'amour ?  Ingrat !  Devais-je être traitée de cette manière ?"")",1.02,Substitution
12,"('#colombine', 'Taisez-vous, petit sot, et faites ce que je vous dis.')",,1.0,Insertion
13,"('#isabelle', 'Hé bien, cousine, as-tu bientôt mis la dernière main à ton visage ? ')",,1.0,Insertion
14,"('#colombine', ""Dis-moi, je te prie, comment me trouves-tu aujourd'hui ? "")","('#arlequin', 'Que la peste te crève !  Claudine, me répondras-tu à la fin ?')",0.83,Substitution
15,"('#isabelle', 'À charmer. ')",,1.0,Insertion
16,"('#colombine', ""J'ai beau arranger mes traits, il me semble qu'il y en a toujours quelqu'un qui se révolte contre mon économie. "")",,1.0,Insertion
17,"('#isabelle', ""Je t'assure que tu es d'un air à faire payer contribution à tous les coeurs de la ville. "")",,1.0,Insertion
18,"('#colombine', ""Je sais bien, sans vanité, que j'ai quelque agrément ; mais avec un peu de beauté, et trois ou quatre mouches sur le nez, une fille ne va pas loin dans le siècle où nous sommes.  Il faut de cela pour plaire ... Et pour attraper un époux, qui est le point difficile.  Nous commençons tout doucement à monter en graine, et nous sommes assez fortes pour bien soutenir une thèse en mariage.  Elle se touche le front. "")","('#isabelle', ""Je vous demande pardon, monsieur ; ce sont des vapeurs dont je suis attaquée, et je ne sais ce que je dis. Tu m'abandonnes, scélérat !  Et tu n'oses arrêter sur moi tes regards. À part."")",1.07,Substitution
19,"('#isabelle', ""J'en tombe d'accord.  Crois-tu, cousine, que j'aie le coeur plus dur que toi ?  Je sens quelquefois qu'une fille n'est pas née pour vivre seule ; je t'avouerai même que j'emploie tout mon esprit pour attirer quelque amant dans le filet conjugal.  Mais les hommes sont des pestes de poissons rusés qui viennent badiner autour de l'appât, et qui mordent rarement à l'hameçon.  Le mariage se décrie de jour en jour ; je crois, pour moi, que nous allons voir la fin du monde. "")","('#arlequin', ""Ah !  Je te casserai, ma foi, la gueule, et je ferai bien passer tes pestes de vapeurs.  Je te dis qu'il faut deux chambres l'une contre l'autre.  M'entends-tu à cette heure ?  Dis donc, parle."")",0.78,Substitution
20,"('#colombine', ""Que tu es folle !  Quoique le mariage ne soit plus guère à la mode, les hommes ont beau faire, ils ne sauraient se passer de nous.  Leur répugnance pour le mariage vient de la simplicité des filles qui ne savent pas jouer leur rôle.  L'homme est un animal qui veut être trompé. "")",,1.0,Insertion
21,"('#isabelle', ""Je ne m'applique nuit et jour à autre chose.  Je relève, avec art, les agréments que la nature m'a donnés : je joins à quelque brillant d'esprit les talents de la poésie et de la musique : pour mes manières, elles sont douces et insinuantes ; et, avec tout cela, point d'épouseurs. "")",,1.0,Insertion
22,"('#colombine', 'Mais que prétendent donc tous ces petits messieurs-là ? ')",,1.0,Insertion
23,"('#isabelle', ""C'est ce que je ne conçois pas.  On sait bien qu'il y a de certaines avances qui accrochent quelquefois.  Mais vous en aurez menti, messieurs les soupirants ; et si j'accorde quelque faveur, ce ne sera, ma foi, que par-devant notaire, et en vertu d'un bon parchemin bien signé. "")","('#isabelle', 'Oui, monsieur, je vous entends : vous pouvez vous en aller ; je vais accommoder tout cela.')",0.89,Substitution
24,"('#colombine', ""Cependant ce n'est pas une chose si difficile que tu le penses, d'engager un homme.  Savoir risquer un billet dans son temps, marcher sur le pied à l'un, tendre la main à l'autre, se brouiller avec celui-ci, se raccommoder avec celui-là : crois-moi, avec ce petit manège-là, il faut, bon gré, mal gré, que quelque bête donne dans les toiles. "")",,1.0,Insertion
25,"('#isabelle', ""Il me semble que tu copies assez bien une coquette d'après nature.  Prends-y garde, au moins : on ne fait plus guère de fortune à ce métier-là. "")",,1.0,Insertion
26,"('#colombine', ""Bon !  Il n'y a plus que les sottes qui se persuadent d'attraper des hommes par des airs composés.  Cousine, le monde m'en a plus appris qu'à toi, et je te suis caution qu'une fille n'est piquante qu'autant qu'elle a pris sel dans la coquetterie. "")",,1.0,Insertion
27,"('#isabelle', ""Vraiment !  Ce ne sont pas là les maximes de ma mère, qui me prône tous les jours que la coquetterie est l'antipode du mariage ; et j'ai ouï dire cent fois à mon oncle qu'une fille coquette ressemble à ces vins pétillants dont tout le monde veut tâter, et dont personne ne veut acheter pour son ordinaire. "")",,1.0,Insertion
28,"('#colombine', ""Voilà-t-il pas mes contes de grand'mères, qui condamnent dans leurs enfants les plaisirs que l'âge leur refuse !  Je veux, moi, te donner des conseils pour le mariage, plus courts et plus faciles : et afin que tu les retiennes mieux, je vais te les lire en vers. "")",,1.0,Insertion
29,"('#isabelle', ""En vers, ma petite !  Ah !  C'est ma folie. "")","('#cinthio', 'Allons, ma soeur, entrez.')",1.52,Substitution
30,"('#colombine', ""Une fille qui veut se faire  Un époux parmi ses amants,  Doit changer à tous les moments  Et de visage et de manière ;  Tantôt, d'un air modeste, elle entre dans un coeur,  Sous un faux semblant de sagesse ;  Et tantôt, rallumant un feu de belle humeur,  Elle y porte à la fois la joie et la tendresse ;  Elle sait finement, par un mélange heureux,  Délaver la douceur avecque la rudesse ;  Du frein ou de l'épron usant avec adresse,  Suivant que l'animal est vif ou paresseux. N'en perds pas une syllabe.  Portrait d'une Coquette, ou la vraie morale d'une Fille à marier. Elle lit. "")","('#colombine', 'Voilà une fille qui me semble bien surprise ! Elle entre.')",1.26,Substitution
31,"('#isabelle', 'Je ne sais pas comment sera le reste, mais le début est fort vif. ')","('#isabelle', 'Cinthio ?')",1.91,Substitution
32,"('#colombine', ""Pour conserver les coeurs qu'elle a su préparer,  Elle tient toujours la balance  Entre la crainte et l'espérance,  Laissant un pauvre amant doucement s'enferrer.  Si quelqu'un, rebuté de son trop long martyre,  Cherche à s'échapper du filet,  Par de fausses bontés alors on le retire :  On écrit, et Dieu sait le style du billet !  Un roi ne paierait pas tout ce qu'on lui promet :  On se désespère, on soupire ;  Trac, l'oiseau rentre au trébuchet.  Rien ne se démentira.  Elle continue de lire. "")",,1.0,Insertion
33,"('#isabelle', ""Au trébuchet !  Un mari ne se prend pas comme un oiseau ; il faut bien d'autres piéges. "")",,1.0,Insertion
34,"('#colombine', ""Je te dis qu'en amour ils sont si niais, qu'une fille qui sait un peu son métier en va duper trente à la fois. Lui parle-t-on d'amour...  Elle poursuit sa lecture. "")",,1.0,Insertion
35,"('#isabelle', 'Encore ? ')","('#cinthio', 'Que voulez-vous ?')",0.65,Substitution
36,"('#colombine', ""Lui parle-t-on d'amour, vante-t-on ses appas,  Elle impose silence en faisant la novice ;  Elle fait expliquer ceux qui n'en parlent pas,  Et sait se démonter à visse :  D'un rire obéissant son visage est paré ;  Le robinet des pleurs s'ouvre et ferme à son gré ;  Et, dispensant ainsi la rigueur, la tendresse,  Crois-moi, cousine, en cet état,  C'est jouer de malheur, après tant de souplesse,  Si quelque dupe enfin ne tâte du contrat. Voici le dernier.  Dame !  Il entre bien des ingrédients dans la composition d'une coquette."")","('#isabelle', 'Vous ne me dites rien ?')",1.63,Substitution
37,"('#isabelle', ""Savante comme tu l'es, tu devrais te mettre à montrer le coquettisme en ville : tu serais bientôt riche. "")",,1.0,Insertion
38,"('#colombine', ""Je n'y gagnerais pas de l'eau : toutes les filles savent cela.  Dans le fond, on n'a que de bonnes intentions.  Et quel reproche peut faire un homme quand une fille ne le trompe qu'en vue de mariage ? "")",,1.0,Insertion
39,"('#bagatelle', 'Mademoiselle, voilà monsieur le comte Octave. ')",,1.0,Insertion
40,"('#colombine', ""Qu'il entre."")","('#cinthio', ""Je n'ai rien à vous dire."")",1.54,Substitution
41,,"('#isabelle', 'Vous ne reconnaissez pas Isabelle ?')",1.0,Deletion
42,"('#isabelle', ""Je te laisse avec lui ; car apparemment c'est un épouseur : et ma mère m'attend. "")",,1.0,Insertion
43,"('#colombine', ""Bon !  Ta mère t'attend : va, va, elle est la maîtresse, elle attendra tant qu'elle voudra : demeure ici ; tu en apprendras plus avec moi en un quart d'heure, que tu ne feras en toute ta vie avec ta mère.  C'est une façon de mari. "")","('#cinthio', 'Vous, Isabelle ?  Je ne vous connais point.')",1.65,Substitution
44,"('#isabelle', ""Tu l'aimeras donc ? "")","('#isabelle', ""Tu me méprises, perfide !  Mais je saurai me venger. Elle entre dans l'hôtellerie."")",1.19,Substitution
45,"('#colombine', ""Que tu es sotte !  Ne t'ai-je pas dit cent fois que j'aime tout le monde sans aimer personne.  Mon père m'a défendu de le voir, parce qu'il me destine à un bailli du Maine, qui doit arriver dans peu.  Ne suis-je pas bien malheureuse !  Car imagine-toi ce que c'est qu'un bailli, et un bailli du Maine !  Mais voici Octave."")","('#mezzetin', ""Que vois-je, Pierrot ?  Ai-je la berlue ?  Oui...  Non...  Si fait : c'est elle ; c'est ma soeur."")",1.01,Substitution
46,"('#octave', ""Malgré la rigueur de votre père, je viens vous assurer, mademoiselle, que je perdrai plutôt la vie que l'espérance d'être un jour votre époux. "")","('#pierrot', ""Votre soeur ?  Je n'en crois rien, monsieur, si je n'y touche."")",1.15,Substitution
47,"('#mezzetin', ""Oui, mademoiselle, nous avons résolu cela : et s'il ne vous épouse, je vous épouserai, moi."")",,1.0,Insertion
48,"('#isabelle', 'Cousine, voilà un gibier à trébuchet. ')",,1.0,Insertion
49,"('#colombine', ""Vous savez, Monsieur_le_Comte, quels sont mes sentiments pour vous : cela vous doit suffire.  Ne parlons point d'amour, si ce n'est en chansons.  Vous chantez bien : voilà ma cousine qui accompagne parfaitement du clavecin : je veux vous entendre ensemble. "")","('#mezzetin', ""C'est elle-même.  Et que faites-vous donc ici, madame la coureuse ?"")",1.41,Substitution
50,"('#octave', ""Mais, mademoiselle, chanter dans l'état où je suis ; pénétré de douleur, désespéré... "")","('#colombine', 'Ah, mon frère !  Ne vous emportez point ; je vous dirai...')",1.22,Substitution
51,"('#colombine', ""Bon, bon !  Si vous n'avez pas la force de chanter, vous soupirerez : c'est la langue la plus familière aux amants.  Allons, qu'on approche le clavecin.  Mezzetin, prenez bien garde que mon père ne vienne. "")","('#mezzetin', 'Et que me diras-tu, effrontée ?  Tiens, il me prend envie de faire une capilotade de ton foie, de ta fressure, de ton gésier.')",1.4,Substitution
52,"('#isabelle', ""Tu me mets là, cousine, à une rude épreuve. Octave chante ; Isabelle l'accompagne. "")",,1.0,Insertion
53,"('#trafiquet', ""Holà, quelqu'un, Pierrot, Pierrot !"")","('#colombine', 'Mon pauvre Pierrot !...')",0.18,Substitution
54,"('#pierrot', ""Me voilà, me voilà, monsieur.  Vous criez plus fort qu'un fiacre mal graissé."")",,1.0,Insertion
55,"('#trafiquet', ""Avec qui diable es-tu donc ?  Il faut toujours t'appeler vingt fois. "")",,1.0,Insertion
56,"('#pierrot', ""Je suis avec l'amour. "")",,1.0,Insertion
57,"('#trafiquet', 'Oh, oh !  Voilà du nouveau.  Tu es donc amoureux ? ')",,1.0,Insertion
58,"('#pierrot', ""Je ne dors ni ne veille ; je sens toujours là un tintamarre, comme s'il y avait un régiment de lutins. "")",,1.0,Insertion
59,"('#trafiquet', ""Il faut entendre patience. Mais que vois-je ?  C'est Octave !  Hé !  Que faites-vous donc ici, s'il vous plaît ?  Ne vous avais-je pas prié de n'y plus venir ? Apercevant Octave. Octave et Mezzetin font une révérence. "")","('#pierrot', ""Mon pauvre Pierrot !  Votre frère a raison ; j'aime l'honneur, moi ; et je ne veux pas qu'une fille coure le guilledou."")",1.25,Substitution
60,"('#pierrot', ""Puisque monsieur vous l'a défendu, pourquoi y revenez-vous ? "")","('#mezzetin', 'Parle donc ; dis-moi, quelle raison as-tu eue de sortir de la maison paternelle, carogne, carognissime ?')",1.68,Substitution
61,"('#trafiquet', 'Est-ce que vous prétendez, mon petit monsieur, épouser ma fille malgré moi ?  Octave et Mezzetin font une autre révérence.')","('#pierrot', ""Voulez-vous parier, monsieur, que c'est l'amour qui l'a mise en campagne ?  Les filles sont des vaisseaux qui ne vont d'ordinaire que de ce vent-là."")",0.85,Substitution
62,"('#pierrot', ""Monsieur, n'allez pas souffrir cela ; on vous prendrait pour un insensé. "")","('#colombine', ""Je vous dirai, mon frère, que sitôt que vous fûtes parti, il vint un jeune cavalier, le plus civil du inonde, demander à loger dans notre hôtellerie : pour ne pas paraître moins civile que lui, je lui fis toutes les honnêtetés dont j'étais capable.  Aussi pourquoi me laissez-vous seule ? Elle pleure en disant ces derniers mots."")",1.25,Substitution
63,"('#trafiquet', ""Mais, monsieur, encore une fois, je n'ai que faire de vos révérences : répondez à ce que je vous demande. Octave et Mezzetin sortent, après avoir fait encore une révérence. "")","('#pierrot', ""Je vous l'ai toujours dit, monsieur ; il faut de la compagnie aux filles, quand ce ne serait qu'un manche à balai."")",1.24,Substitution
64,"('#trafiquet', ""Vous ferez bien, messieurs de la révérence, de ne regarder ma porte qu'avec une lunette ; je vous saluerais d'une manière...  Quelle plaisante conversation !  Toujours des révérences ! "")","('#mezzetin', 'Hé bien ?')",1.3,Substitution
65,"('#pierrot', ""Va, va, tu n'as qu'à y revenir ; je te ferai danser un branle de sortie sans violons."")",,1.0,Insertion
66,"('#trafiquet', ""Et vous, mademoiselle l'impertinente, ne vous ai-je pas défendu de le voir ?  Savez-vous que quand je commande, je veux être obéi ?  Colombine et Isabelle font une révérence. "")","('#colombine', ""Sitôt qu'il fut arrivé, il me pria, mais le plus honnêtement du monde, de lui donner une chambre.  Pour lui faire plaisir, je le menai moi-même, par civilité, dans la belle chambre qui est de plain-pied à la cour."")",0.89,Substitution
67,"('#pierrot', 'Elles ont appris à danser du même maître. ')","('#pierrot', 'Par civilité ?')",1.89,Substitution
68,"('#trafiquet', ""Ne t'ai-je pas dit que je ne voulais pas que tu songeasses davantage à cet homme-là pour être ton époux ? Colombine et Isabelle font encore une révérence."")","('#colombine', ""Par civilité.  Mais il ne voulut point y demeurer, appréhendant qu'elle ne fût malsaine, à cause de l'humidité."")",1.58,Substitution
69,,"('#mezzetin', 'Il avait raison.')",1.0,Deletion
70,"('#pierrot', ""Fi !  Ce n'est pas là votre fait. "")",,1.0,Insertion
71,"('#trafiquet', ""Écoutez, ne m'échauffez pas les oreilles ; il y a des maisons à Paris où l'on réduit les filles désobéissantes.  Merci de ma vie !  Colombine et Isabelle sortent en faisant une grande révérence. "")","('#colombine', ""Voyant qu'il faisait difficulté de rester dans cette chambre-là, et qu'il était si civil, je le conduisis dans une autre, qui donne sur la rue, au-dessus de l'écurie."")",1.05,Substitution
72,"('#pierrot', 'Ma foi, monsieur, il faut dire la vérité ; voilà des filles bien civiles. ')","('#pierrot', 'Par civilité ?')",1.13,Substitution
73,,"('#colombine', ""Par civilité.  Il me témoigna encore qu'il ne pourrait pas y coucher, à cause qu'étant fatigué et ayant besoin de repos, les chevaux pourraient interrompre son sommeil pendant la nuit."")",1.0,Deletion
74,,"('#mezzetin', 'Ouais !  Voilà un homme bien difficile à coucher.')",1.0,Deletion
75,,"('#pierrot', 'Peut-être pas tant que vous pensez.')",1.0,Deletion
76,"('#trafiquet', ""Mais que veulent donc dire toutes ces cérémonies-là ?  Voilà une nouvelle manière de répondre.  Allons, allons, il faut faire cesser tout ce manége-là.  J'attends aujourd'hui un gendre qui me vient du Bas-Maine ; je veux envoyer savoir s'il est venu.  Pierrot !  Ah, monsieur le maraud !  Je crois que vous voulez rire aussi.  Si je prends un bâton...  Quoi !  Tu t'en mêles aussi ?  Pierrot fait une révérence en fille.  Pierrot fait une autre révérence. "")","('#colombine', ""Je trouvai qu'il n'avait pas mauvaise raison ; car quand on repose, comme vous savez, on n'est pas bien aise d'être interrompu.  Voyant donc qu'il avait besoin de repos, et qu'il continuait toujours avec les manières les plus civiles du monde, je me crus obligée de le mettre dans un lieu éloigné du bruit : vous savez que ma chambre est au bout du jardin ; je l'y menai,"")",0.99,Substitution
77,"('#pierrot', ""Mais, monsieur, est-ce que vous voulez m'empêcher d'être civil ?  Qu'est-ce que vous me voulez ? "")","('#pierrot', 'Par civilité ?')",1.36,Substitution
78,"('#trafiquet', 'Je veux que tu passes chez monsieur Fesse-Mathieu, pour le prier de venir ici ; et que tu ailles de là dans la rue de la Huchette, savoir si le messager du Mans est arrivé. ')","('#colombine', ""Assurément.  Est-ce que tu ne l'aurais pas fait à ma place, dis, Pierrot ?"")",1.07,Substitution
79,"('#pierrot', 'Bon, bon, bon, monsieur.  Vous attendez donc quelque panier de volaille ? ')",,1.0,Insertion
80,"('#trafiquet', ""J'attends le bailli de Laval, qui vient pour être mon gendre. "")","('#pierrot', ""Sans doute, et j'enragerais qu'un autre fût plus civil que moi."")",1.18,Substitution
81,,"('#mezzetin', 'Voilà du civil qui pourrait bien nous mener au criminel.')",1.0,Deletion
82,"('#pierrot', 'Quoi !  Tout de bon ?  Un homme du Maine pour être le mari de votre fille ? ')","('#colombine', ""Il trouva que ma chambre l'accommodait assez, et me fit entendre qu'il serait ravi d'y rester.  Je lui dis aussitôt que, puisque cet endroit lui plaisait, j'y ferais mettre un lit pour lui à côté du mien."")",1.52,Substitution
83,"('#trafiquet', 'Assurément. ')","('#pierrot', 'Par civilité ?')",0.92,Substitution
84,"('#pierrot', ""Fi !  Monsieur, n'en faites rien ; il ne vient que des chapons de ce pays-là. Scènes italiennes. "")",,1.0,Insertion
85,"('#colombine', ""Une bougie ?  Est-ce que tu n'entends pas que je demande une bougie pour cacheter une lettre ?"")",,1.0,Insertion
86,"('#pierrot', ""Pardonnez-moi... mais... c'est que... en vérité... mademoiselle ; je m'en vais... "")",,1.0,Insertion
87,"('#colombine', ""Pour moi, je ne sais plus quelle maladie a attaqué le cerveau de cet animal-là : il ne voit plus, il n'entend plus ; il a assurément quelque chose de brouillé dans son timbre. Tu veux donc que je cachette une lettre avec un manchon ?  Je te demande une bougie, m'entends-tu ? Je crois qu'il me fera perdre l'esprit.  Oh, oh !  Voilà une nouvelle folie que je ne lui connaissais pas encore.  Depuis quand as-tu perdu la parole ?  Parle, réponds ; dis donc à qui tu en as. Pierrot apporte un manchon.  Pierrot fait encore des mines. "")",,1.0,Insertion
88,"('#pierrot', ""Je n'oserais ; je sens là un tourbillon, un étouffement de la nature... heurtant contre l'amour.  Tenez, voilà une lettre qui vous dira tout cela. "")",,1.0,Insertion
89,"('#colombine', ""Que signifie donc cette cérémonie-ci ?  Je trouve cela assez plaisant.  Voyons donc ce que dit cette lettre. Comme il n'y a point d'animal dans le monde qui n'aime quelque autre animal, c'est ce qui fait que je vous aime.  Autre chose ne peut vous dire votre très humble serviteur et fidèle amant, Pierrot. Mon très humble serviteur et fidèle amant, Pierrot.  Ah, ah !  Voilà donc où le bât vous blesse, monsieur l'amoureux !  En vérité, je suis ravie d'avoir fait une pareille conquête.  Elle lit. "")","('#colombine', ""Comment l'entendez-vous donc ?  Mais comme il est extrêmement honnête, il refusa l'offre que je lui faisais, de peur de m'incommoder, et dit qu'il ne souffrirait point que ma chambre fût embarrassée pour l'amour de lui, et qu'il coucherait plutôt dans l'écurie que de me causer la moindre incommodité."")",0.21,Substitution
90,"('#pierrot', ""Hé !  Mademoiselle, je sais bien que mon mérite n'est pas capable de mériter ;... mais, d'un autre côté,... voilà que l'occasion,... votre beauté... Je ne suis pas bien riche ; mais, ma foi, je suis un bon garçon. "")","('#pierrot', 'Oh !  Dans une écurie !  Le pauvre jeune homme !  Cela me fait pitié.')",1.71,Substitution
91,"('#colombine', ""J'entends cela le mieux du monde ; mais je vous prie, monsieur Pierrot, d'étouffer un peu vos hoquets de tendresse, et d'aller porter cette lettre à monsieur de la Maltotière."")","('#colombine', ""Son honnêteté me fendit le coeur : une fille n'est pas de bois ; et voyant que ma chambre lui plaisait si fort, je lui dis...  Mais vous allez vous fâcher."")",0.82,Substitution
92,"('#pierrot', 'Ah !  Petit cocodrille !  Ouf ! ')","('#mezzetin', 'Non, non...')",1.7,Substitution
93,"('#colombine', ""La conquête de Pierrot n'est pas bien illustre : je sens néanmoins une secrète joie de voir que rien ne m'échappe.  Quelque sévérité qu'affectent les femmes, elles ne sont jamais fâchées de s'entendre dire qu'on les aime. "")","('#colombine', 'Je lui dis...  Me promettez-vous que vous ne vous mettrez pas en colère ?')",1.16,Substitution
94,"('#le-laquais', 'Mademoiselle, voilà monsieur le conseiller Nigaudin. ')","('#pierrot', 'Ouf !  Gare la civilité !')",1.63,Substitution
95,"('#colombine', ""En vérité, monsieur Nigaudin, j'ai lieu de louer votre diligence : nous ne devons partir pour la Comédie que dans deux heures, et je suis ravie de pouvoir pendant ce temps-là profiter de votre conversation."")","('#colombine', ""Je lui dis qu'il n'avait qu'à se coucher dans mon lit."")",1.55,Substitution
96,"('#nigaudin', ""Mademoiselle, quand il s'agira de venir vous offrir ses hommages, on n'obtiendra point de défaut contre moi : en cas de rendez-vous auprès des dames, je ne me laisse jamais contumacer, et je me rends bien vite à l'ajournement personnel. "")",,1.0,Insertion
97,"('#colombine', ""Ah, monsieur !  Que vous dites les choses galamment !  Vous avez un tour aisé et naturel dans les expressions, que les autres n'ont point ; et il semble toujours que vous demandiez le coeur, quelque indifférente chose que vous puissiez dire. "")",,1.0,Insertion
98,"('#nigaudin', ""Moi, mademoiselle ! Je ne vous demande rien ; vous me prenez donc pour un escroc ?  Il est vrai que nous autres gens de robe, la plupart, nous avons la belle élocution à commandement.  Tout franc, mademoiselle, les gens d'épée n'ont point le boute-dehors comme nous. "")","('#pierrot', 'Par civilité ?  Ma foi, monsieur, vous avez là une soeur bien élevée.')",1.08,Substitution
99,"('#colombine', ""Fi !  Ne me parlez point des gens d'épée ; ils n'auraient jamais rien à vous dire, s'ils ne vous étourdissaient de leurs bonnes fortunes, et s'ils ne vous faisaient le calcul du nombre des bouteilles qu'ils ont vidées.  Pour moi, je ne conçois pas bien la manie de la plupart des femmes d'aujourd'hui ; on ne saurait leur plaire, si l'on ne revient de Flandre ou d'Allemagne, et si l'on ne rapporte à leurs pieds un coeur tout persillé de poudre à canon. "")","('#mezzetin', ""Oh !  Ma soeur sait vivre ; ce n'est pas là un grand malheur...  Tu allas coucher dans une autre chambre ?"")",1.4,Substitution
100,"('#nigaudin', ""Ma foi, il y a bien de l'entêtement ; car, entre nous, il n'y a point de gens qui tiennent une procédure si irrégulière auprès des dames que les gens de guerre : ils sont brusques et entreprenants sur le fait des faveurs, et n'observent jamais les délais fixés par l'ordonnance de l'amour. "")","('#colombine', ""Bon !  Je n'en fus pas la maîtresse : il ne voulut jamais permettre que je m'incommodasse pour l'amour de lui ; il dit qu'il serait au désespoir de m'avoir découchée, et..."")",0.79,Substitution
101,"('#colombine', ""Il est vrai qu'on n'est point en sûreté contre leurs entreprises ; et quand ils sont chez les dames, ils s'imaginent être dans un quartier d'hiver à vivre à discrétion. "")","('#pierrot', 'Que voilà un garçon bien honnête !')",1.97,Substitution
102,"('#nigaudin', ""À propos de quartier d'hiver, mademoiselle, il me semble qu'ils sont venus cette année quinze jours plus tôt pour moi. "")",,1.0,Insertion
103,"('#colombine', 'Pourquoi donc, monsieur ? ')","('#mezzetin', ""Comment donc !  Qu'est-ce que cela veut dire ?"")",1.1,Substitution
104,,"('#colombine', ""Il me dit qu'il y avait longtemps qu'il m'aimait, qu'il voulait être mon mari ; et il m'en donna sa promesse, que j'ai encore."")",1.0,Deletion
105,"('#nigaudin', ""J'avais hypothèque spéciale sur votre coeur, sans ce visage d'épetier qui est arrivé, et qui se prétend privilégié sur la chose : mais, ventrebleu !  Nous verrons. "")","('#mezzetin', ""Ah, malheureuse !  Faut-il, juste ciel !...  Mais tu n'échapperas pas à ma vengeance, et..."")",1.21,Substitution
106,"('#colombine', 'Eh !  Que craint-on, monsieur, quand on est fait comme vous ? ')","('#pierrot', 'Allez, monsieur, un bon mariage raccommodera tout cela.')",1.8,Substitution
107,"('#nigaudin', ""Il est vrai qu'un juge craint fort peu de chose ; mais la plupart de ces gens de guerre sont des brutaux qui usent d'abord des voies de fait.  Nous autres, nous faisons notre affaire en douceur, et nous n'aimons pas le fracas de la brette. "")","('#colombine', ""Je ne vois pas qu'il y ait un grand mal de coucher avec son mari."")",1.97,Substitution
108,"('#colombine', ""Vous avez assez d'autres endroits pour vous faire distinguer. "")","('#mezzetin', 'Il faut tâcher de remédier à tout ceci. Entrez dans cette hôtellerie-là, et prenez garde de dire que vous me connaissez. À Colombine.')",1.33,Substitution
109,"('#nigaudin', ""Ce n'est pas, ventrebleu !  Qu'on n'ait du coeur. Je voudrais que vous me vissiez aux buvettes : je fais tout trembler ; et si tous mes confrères les praticiens me ressemblaient, il ne se recevrait pas le quart des nasardes qui se donnent tous les jours. "")","('#pierrot', ""Ma foi, je n'en saurais revenir : voilà une fille bien civile.  Donner jusqu'à la moitié de son lit à un garçon ; la pauvre enfant !  La pauvre enfant ! Il y a ici quelques scènes italiennes."")",1.32,Substitution
