dancourt-desolation-des-joueuses,dancourt-femme-d-intrigues,Score
"('#angelique', ""Cela ne servirait de rien, tant que l'entêtement de ma mère durerait pour le chevalier."")",-,0.0
"('#lisette', 'Eh !  Comment faudrait-il faire pour la désentêter?')",-,0.0
"('#dorante', ""J'ai depuis quelques jours un maître fripon avec moi, que je crois reconnaître, et qui ne s'est point fait mon valet sans quelque dessein.  Il pourrait bien nous être utile dans cette affaire."")",-,0.0
"('#lisette', ""Le voici tout à propos, comme si vous l'aviez mandé."")",-,0.0
"('#merlin', ""Je viens de chez Monsieur votre oncle, Monsieur, comme vous me l'aviez ordonné."")",-,0.0
"('#dorante', 'Eh bien en quel état est-il ?  Comment va sa maladie ?')",-,0.0
"('#merlin', 'Le mieux du monde, il ne passera pas la journée.  Il vous demande pour une affaire de conséquence, et on est venu trois on quatre fois vous chercher.')",-,0.0
"('#angelique', ""Sachez ce qu'il vous veut, Dorante, et ne négligez point cette affaire."")",-,0.0
"('#dorante', 'Voyons donc auparavant, de grâce...')",-,0.0
"('#merlin', 'Madame a raison, Monsieur.  Les oncles ne sont point des gens à négliger, et surtout dans les occasions comme celle-ci.')",-,0.0
"('#dorante', ""Mais, belle Angélique, nous n'avons point examiné de quelle manière nous pourrions détromper Madame votre mère du chevalier de Bellemonte."")",-,0.0
"('#lisette', ""Dépêchez-vous donc de l'examiner et de conclure."")",-,0.0
"('#dorante', 'Oh, ça !  Merlin, il faut me rendre un service, mon ami.')",-,0.0
"('#merlin', ""Vous savez, Monsieur, que depuis le peu de temps que j'ai l'honneur d'être à vous, je me suis toujours volontiers acquitté des commissions que vous m'avez données.  Je vous ai pris en affection, et je suis content de vous, je vous assure.  Expliquez-moi votre affaire, que je voie si elle n'est point trop difficile, et si je me ferai prier, ou non."")",-,0.0
"('#angelique', ""Ah !  Mon pauvre enfant !  Tâche à faire ce qu'on te dira, et sois assuré d'une parfaite récompense.  Je te donnerai..."")",-,0.0
"('#dorante', ""Bon, Madame, c'est bien l'argent qui le gouverne.  Vous ne le connaissez pas, Madame, il ne tient qu'à lui d'en avoir autant qu'homme de France."")",-,0.0
"('#merlin', ""Comment diantre !  M'aurait-il reconnu ?"")",-,0.0
"('#dorante', 'Demandez-lui si je me trompe.')",-,0.0
-,"('#gabrillon', 'Ah, vous voilà donc à la fin !  Bonjour, Monsieur de la Brie.')",0.0
-,"('#la-brie', ""Bonjour, cousine : que me veut ta Maîtresse ?  On m'a dit à l'auberge qu'elle avait envoyé me chercher.  La besogne donne-t-elle ?  Car, elle ne m'emploie que lorsqu'il y a ici des affaires à tout rompre."")",0.0
-,"('#gabrillon', 'Les grands génies ne se mettent pas à tous les jours.')",0.0
-,"('#la-brie', ""Écoute, ne pense pas rire, tout homme qui travaille pour Madame Thibaut, ne doit pas être un sot.  Malepeste !  Il se fait ici les plus belles affaires de Paris : voulez-vous des Charges, des Offices, des Emplois ?  On vous en fera voir de tous les échantillons.  Êtes-vous dans le goût de vous marier ?  On vous y fournira des femmes de toutes tailles, de tous âges ; et si vous plaidez, vous y trouverez des Solliciteuses depuis une pistole jusqu'à trente : voilà ce qu'on appelle une bonne boutique ; il n'y a point ici de nenni.  Mais, mon zèle l'emporte sur la curiosité : dis-moi donc, qui y a-t-il de nouveau."")",0.0
-,"('#gabrillon', 'Bien des affaires, ma foi.')",0.0
-,"('#la-brie', 'Et dis-moi donc vite.')",0.0
-,"('#gabrillon', 'Elle se marie.')",0.0
-,"('#la-brie', 'Elle se marie !  Et contre qui ?')",0.0
-,"('#gabrillon', ""Contre un homme qui aura un jour plus de vingt-cinq mille livres de rentes.  Il s'appelle Cléante : il est Capitaine d'Infanterie."")",0.0
-,"('#la-brie', 'Gentilhomme ?')",0.0
-,"('#gabrillon', ""Belle demande !  Il est Gascon : en vient-il d'autres de ce pays-là ?"")",0.0
-,"('#la-brie', 'Il est Gascon ?')",0.0
-,"('#gabrillon', 'Et ma maîtresse Normande.')",0.0
-,"('#la-brie', 'Voilà de quoi faire un bon haras.  Le Gascon et le Normand sont dans le monde, ce que le Singe et le Renard sont dans la fable.  Mais que tu es extravagante de croire...')",0.0
-,"('#gabrillon', ""Je te dis, moi, qu'il donne tête baissée tout au travers de la noce, et que Madame Thibaut lui paraît un parti de douze mille livres de rente, et cela en attendant encore une succession de vingt mille écus."")",0.0
-,"('#la-brie', ""Oh !  L'affaire change bien de face."")",0.0
-,"('#gabrillon', ""Il ne sait point qu'elle a demeuré au Marais, et il y a si peu qu'elle loge en ce quartier-ci, que personne ne s'est encore aperçu de la ruse que je vais t'apprendre.  Ce logis a deux issues.  Par la petite porte, elle est ce qu'elle a coutume d'être, elle se mêle d'intrigues, fait des mariages, prête sur gages ; et par la porte cochère, elle est veuve d'un Conseiller de Bretagne, qui depuis quelques jours est venue s'établir à Paris.  Comme on lui donne à vendre des nippes de toutes parts, la magnificence des meubles, la richesse des pierreries, et l'abondance de vaisselle d'argent que le Capitaine voit dans ce logis, lui font paraître ma maîtresse un des meilleurs partis de la Robe."")",0.0
-,"('#la-brie', ""La fine mouche !  Eh, dis-moi un peu !  Comment t'a-t-elle connue ?"")",0.0
-,"('#gabrillon', 'Par aventure.  Ne connaissons-nous pas tout le monde par aventure, nous autres ?')",0.0
-,"('#la-brie', 'Mais encore, que veut-elle de mon petit ministère ?')",0.0
-,"('#gabrillon', 'Tu ne le sais pas ?')",0.0
-,"('#la-brie', ""Qui me l'aurait dit ?"")",0.0
-,"('#gabrillon', ""On ne t'a donc pas donné sa lettre ?"")",0.0
-,"('#la-brie', ""Non, vraiment !  On m'a dit simplement qu'elle voulait me parler."")",0.0
-,"('#gabrillon', ""Comment diantre !  Va vite te la faire rendre, et revient sur tes pas ; on pourrait la décacheter, et l'on y verrait trop le caractère de ma maîtresse, et le tien."")",0.0
-,"('#la-brie', ""Tu as raison, cela me décrierait à l'auberge.  De quoi diantre s'avise-t-elle de confier ces choses au papier ?"")",0.0
-,"('#gabrillon', ""Ne perds point de temps en réflexions, et songe à réparer la faute qu'elle a faite."")",0.0
-,"('#la-brie', 'Je ferai diligence, ne te mets pas en peine.')",0.0
-,"('#gabrillon', 'Par où vas-tu ?  Sors par la grande porte, tu abrégeras ton chemin de la moitié.')",0.0
-,"('#la-brie', 'Fort bien.')",0.0
-,"('#gabrillon', ""Monsieur de la Brie est un trésor pour Madame Thibaut, et Madame Thibaut est un petit Pérou pour Monsieur de la Brie, et je ne sais comment ils pourraient se passer l'un de l'autre.  La voici qui revient de la ville, quel équipage pour une femme qui couche en joue un parti de cent mille écus !"")",0.0
-,"('#madame-thibaut', ""Je n'en puis plus, donne-moi une chaise."")",0.0
-,"('#gabrillon', 'Vous vous tuez.')",0.0
-,"('#madame-thibaut', 'Ôte-moi cela.')",0.0
-,"('#gabrillon', 'Vous voilà toute en eau.')",0.0
-,"('#madame-thibaut', ""Porte ce paquet dans ma chambre.  Prends garde à ce coulant, mets cette montre sur ma table, et surtout aie soin que ce collier ne s'égare point."")",0.0
-,"('#gabrillon', 'Mais où avez-vous donc dîné ?  Il est quatre heures.')",0.0
-,"('#madame-thibaut', 'À peine ai-je eu le loisir de manger un morceau chez une de mes amies.')",0.0
-,"('#gabrillon', ""Hé, que ne quittez-vous ce gueux de métier ?  C'est bien à vendre des hardes, ma foi, que vous gagnez le plus."")",0.0
-,"('#madame-thibaut', 'Ton cousin, Monsieur de la Brie, est-il venu ?')",0.0
-,"('#gabrillon', ""Oui, Madame, il s'en est retourné même."")",0.0
-,"('#madame-thibaut', ""Il s'en est retourné !  Il faut qu'il soit fou.  Y a-t-il un moment à perdre ?  Cléante revient aujourd'hui de Versailles.  Quelques mesures que je prenne pour paraître à ses yeux ce que je ne suis pas, avec le temps tout se sait, et si je ne l'oblige pas à m'épouser avant qu'il soit deux jours, peut-être ne l'épouserai-je jamais."")",0.0
-,"('#gabrillon', 'Mon cousin va revenir, ne vous emportez pas.')",0.0
-,"('#madame-thibaut', 'Monsieur de la Brie devient furieusement libertin.  A-t-on écrit les gens qui sont venus me demander ?')",0.0
-,"('#gabrillon', 'Oui, Madame.')",0.0
-,"('#madame-thibaut', 'Qui sont-ils ?')",0.0
-,"('#gabrillon', ""Monsieur l'Abbé Castoret, qui a envoyé deux fois."")",0.0
-,"('#madame-thibaut', ""L'Abbé ?"")",0.0
-,"('#gabrillon', ""Monsieur l'Abbé Castoret."")",0.0
-,"('#madame-thibaut', ""Celui-là vous était recommandé, sans doute, puisque vous le nommez des premiers.  Monsieur l'abbé Castoret vous aurait-il, par quelque petit bénéfice, mise dans ses intérêts ?"")",0.0
-,"('#gabrillon', 'Lui, Madame ?')",0.0
-,"('#madame-thibaut', ""Donnez cela.  L'Abbé Castoret, puisqu'il est tant de vos amis, dites-lui que le Prieur Coffard n'est pas dans la volonté de le mettre en possession de rien, qu'aux conditions qu'il sait.  Ce Major de milice est-il venu ?"")",0.0
-,"('#gabrillon', ""Oui, qui peste comme un beau diable de voir que rien n'avance."")",0.0
-,"('#madame-thibaut', ""Est-ce ma faute, si le Commis de qui dépend son affaire a révoqué sa maîtresse ?  Qu'il prenne des mesures d'ailleurs : car pour moi je n'avais que ce canal-là.  Comment mettez-vous là ?  Cet homme tout nu."")",0.0
-,"('#gabrillon', ""Dame, je ne sais pas son nom : c'est ce grand homme tout déguenillé, à qui vous avez promis un emploi dans les Gabelles."")",0.0
-,"('#madame-thibaut', 'Qui, ce jeune fou qui a joué et mangé tout son bien ?')",0.0
-,"('#gabrillon', 'Justement.')",0.0
-,"('#madame-thibaut', ""Hé, a-t-il dit qu'il reviendrait ?"")",0.0
"('#merlin', 'Monsieur.')","('#gabrillon', 'Oui.')",0.9957402944564819
