beissier-proprietaire-et-locataire,beissier-locataire,Score
"('#maitre-furet', 'Vous dites ?')","('#maitre-furet', 'Vous dites ?')",1.0
"('#guignol', 'Je dis : vieux melon !')","('#guignol', 'Je dis : vieux melon !')",1.0
"('#maitre-furet', ""J'avais bien entendu.  Je vous remercie."")","('#maitre-furet', ""J'avais bien entendu.  Je vous remercie."")",0.9999999403953552
"('#le-concierge', 'Avez-vous tout noté, tout écrit ?')","('#le-concierge', 'Avez-vous tout noté, tout écrit ?')",1.000000238418579
"('#maitre-furet', ""J'ai tout noté."")","('#maitre-furet', ""J'ai tout noté."")",0.9999998807907104
"('#guignol', ""Et ça !  Et ça !  Notez !  Écrivez !  N'oubliez rien.  Mais écrivez donc !  Et aïe donc !  Et aïe donc ! Il lui en donne des coups sur la tête et sur le dos."")","('#guignol', ""Et ça !  Et ça !  Notez !  Écrivez !  N'oubliez rien.  Mais écrivez donc !  Et aïe donc !  Et aïe donc ! Il lui en donne des coups sur la tête et sur le dos."")",0.9999998807907104
"('#le-concierge', 'Au secours !')","('#le-concierge', 'Au secours !')",1.0000001192092896
"('#guignol', 'Ah !  Tu en veux aussi !  Distribution générale. Pas de jaloux !  Il y en a pour tout le monde. Il lui donne des coups de bâton. ')","('#guignol', 'Ah !  Tu en veux aussi !  Distribution générale. Pas de jaloux !  Il y en a pour tout le monde. Il lui donne des coups de bâton.')",0.9999998807907104
"('#le-concierge #maitre-furet', ""À l'assassin !"")","('#le-concierge #maitre-furet', ""À l'assassin !"")",1.0000001192092896
"('#guignol', ""Voulez-vous bien vous taire !  Vous allez ameuter le quartier. Le concierge et maître Furet, après une poursuite folle,  s'enfuient en criant."")","('#guignol', ""Voulez-vous bien vous taire !  Vous allez ameuter le quartier. Le concierge et maître Furet, après une poursuite folle, s'enfuient en criant."")",1.0
"('#guignol', ""Et aïe donc !  Et aïe donc!  Ouf !  M'en voilà débarrassé !  C'est dur un concierge et un huissier.  J'aurais dû me munir d'un balai neuf.  Il m'en ont faussé le manche.  Je vais maintenant pouvoir dormir tranquille. Encore ?  Serait-ce un autre huissier ?  Attends.  Quelle baraque que cette maison !  On ne peut pas rester une heure en repos. Regardant son balai. On frappe. On frappe."")","('#guignol', ""Et aïe donc !  Et aïe donc !  Ouf !  M'en voilà débarrassé !  C'est dur un concierge et un huissier.  J'aurais dû me munir d'un balai neuf. Ils m'en ont laissé le manche.  Je vais maintenant pouvoir dormir tranquille. Encore ?  Serait-ce un autre huissier ?  Attends. Quelle baraque que celte maison !  On ne peut pas rester une heure en repos. Regardant son balai. On frappe. On frappe."")",0.9901478290557861
"('#guignol', ""Tiens !  C'est mon propriétaire, mon aimable propriétaire, mon adorable propriétaire !"")","('#guignol', ""Tiens !  C'est mon propriétaire, mon aimable propriétaire, mon adorable propriétaire!"")",0.9909421801567078
"('#le-proprietaire', ""Oui !  Monsieur Guignol, c'est moi.  Je..."")","('#le-proprietaire', ""Oui !  Monsieur_Guignol, c'est moi.  Je..."")",0.9166993498802185
"('#guignol', 'Vous allez bien ?')","('#guignol', 'Vous allez bien ?')",0.9999998807907104
"('#le-proprietaire', 'Très bien.  Je viens pour....')","('#le-proprietaire', 'Très bien.  Je viens pour....')",1.000000238418579
"('#guignol', ""Et votre femme ? Et vos enfants ?  Votre petit dernier !  En voilà un qui est mignon par exemple !  Tout votre portrait.  Mange-t-il bien ?  Dort-il bien ?  Et votre chien est-il guéri ?  Et votre chat l'avez-vous retrouvé ?... Chaque fois que le propriétaire veut parler, il l'arrête. "")","('#guignol', ""Et votre femme ? Et vos enfants ?  Votre petit dernier !  En voilà un qui est mignon par exemple !  Tout votre portrait.  Mange-t-il bien ?  Dort-il bien ?  Et votre chien est-il guéri ?  Et votre chat l'avez-vous retrouvé ?... Chaque fois que le propriétaire veut parler, il l'arréte."")",0.9883476495742798
"('#le-proprietaire', 'Mais me laisserez-vous parler à la fin...')","('#le-proprietaire', 'Mais me laisserez-vous parler à la fin...')",0.9999999403953552
"('#guignol', 'Vous ne me répondez pas...')","('#guignol', 'Vous ne me répondez pas...')",0.9999999403953552
"('#le-proprietaire', ""J'ai bien autre chose à faire.  Il parait que vous ne voulez pas sortir d'ici ?  Vous ne voulez pas payer, et vous voulez rester ?"")","('#le-proprietaire', ""J'ai bien autre chose à faire.  Il parait que vous ne voulez pas sortir d'ici ?  Vous ne voulez pas payer, et vous voulez rester ?"")",1.0
"('#guignol', 'Je me trouve si bien.')","('#guignol', 'Je me trouve si bien.')",1.000000238418579
"('#le-proprietaire', ""Ça m'est égal."")","('#le-proprietaire', ""Ça m'est égal."")",1.0
"('#guignol', ""Je préfère votre maison à toutes les autres.  Le schah_de_Perse m'a fait offrir un de ses palais.  - J'ai refusé."")","('#guignol', ""Je préfère voire maison à foules les autres.  Le schah_de_Perse m'a fait offrir un de ses palais.  - J'ai refusé."")",0.7608386278152466
"('#le-proprietaire', 'Vous avez roué de coups mon concierge et mon huissier.')","('#le-proprietaire', 'Vous avez roué de coups mon concierge et mon huissier.')",1.0
"('#guignol', 'Moi !  Oh !  Si on peut dire !')","('#guignol', 'Moi !  Oh !  Si on peut dire !')",1.0
"('#le-proprietaire', 'Oui !  - Ils sont arrivés chez moi, criant au secours, disant que vous aviez voulu les tuer.')","('#le-proprietaire', 'Oui !  - Ils sont arrivés chez moi, criant au secours, disant que vous aviez voulu les tuer.')",1.0000003576278687
"('#guignol', 'Il y a des gens qui exagèrent tout.')","('#guignol', 'Il y a des gens qui exagèrent tout.')",0.9999998807907104
"('#le-proprietaire', 'Vous ne les avez pas roués de coups ?')","('#le-proprietaire', 'Vous ne les avez pas roués de coups ?')",1.0000001192092896
"('#guignol', ""Non.  J'ai tout bonnement pris mon balai comme ceci, puis je me suis approché comme cela, et vlan, vlan, tout doucement, je leur ai secoué un peu leurs vêtements ? Tout en disant cela, il a pris le balai et frappe sur le  propriétaire."")","('#guignol', ""Non.  J'ai tout bonnement pris mon balai comme ceci, puis je me suis approché comme cela, et vlan, vlan, tout doucement,je leur ai secoué un peu leurs vêtements ?  Tout en disant cela, il a pris le balai et frappe sur le propriétaire."")",0.997596025466919
"('#le-proprietaire', 'Merci, je comprends.')","('#le-proprietaire', 'Merci, je comprends.')",1.000000238418579
"('#guignol', 'Vous voyez bien.  Et maintenant bonsoir, je vais me coucher.')","('#guignol', 'Vous voyez bien.  Et maintenant bonsoir, je vais me coucher.')",0.9999998807907104
"('#le-proprietaire', ""Vous coucher ?  Vous allez sortir d'ici, et tout de suite !  Vous ne me payez pas, je vous mets dehors."")","('#le-proprietaire', ""Vous coucher ?  Vous allez sortir d'ici, et tout de suite !  Vous ne me payez pas, je vous mets dehors."")",1.0
"('#guignol', 'Dehors !  Répète un peu ça peur voir, vieille morue !')","('#guignol', 'Dehors !  Répète un peu ça peur voir, vieille_morue !')",0.8808704614639282
"('#le-proprietaire', 'Morue !')","('#le-proprietaire', 'Morue !')",1.0
"('#guignol', 'Espèce de chauffe la couche !')","('#guignol', 'Espèce de chauffe la couche !')",1.0
"('#le-proprietaire', 'Chauffe la couche !')","('#le-proprietaire', 'Chauffe la couche !')",1.0
"('#guignol', 'Melon, si tu aimes mieux !  Mais voyez-moi donc ce pot à tabac, à qui je fais des politesses depuis une heure, et qui parle de me chasser !  Essaye un peu pour voir !')","('#guignol', 'Melon, si tu aimes mieux !  Mais voyez-moi donc ce pot à tabac, à qui je fais des politesses depuis une heure, et qui parle de me chasser !  Essaye un peu pour voir !')",1.0000001192092896
"('#le-proprietaire', ""Ah !  C'est trop fort !  - Je ne serai pas maître chez moi ?"")","('#le-proprietaire', ""Ah !  C'est trop fort !  - Je ne serai pas maître chez moi ?"")",1.0000001192092896
"('#guignol', ""Chez toi ?  On n'est jamais sûr d'être chez soi !"")","('#guignol', ""Chez toi ?  On n'est jamais sûr d'être chez soi !"")",1.0000001192092896
"('#le-proprietaire', 'Je suis propriétaire.')","('#le-proprietaire', 'Je suis propriétaire.')",0.9999999403953552
"('#guignol', 'Quand tu serais le Grand_Turc !  Allons, houste !  File ou je cogne.')","('#guignol', 'Quand tu serais le Grand Turc !  Allons, houste !  File ou je cogne.')",0.8250879645347595
"('#le-proprietaire', 'Il oserait.')","('#le-proprietaire', 'Il oserait.')",1.0000001192092896
"('#guignol', 'Tu vas voir. Il cogne.')","('#guignol', 'Tu vas voir. Il cogne.')",0.9999999403953552
"('#le-proprietaire', ""À l'assassin !  À la garde !  Au secours ! À moi !"")","('#le-proprietaire', ""À l'assassin !  À la garde!  Au secours !  À moi !"")",0.9945335388183594
"('#guignol', 'Mais ne crie donc pas comme ça !  On croirait que je te fais du mal ! Ils se battent.')","('#guignol', 'Mais ne crie donc pas comme ça !  On croirait que je te fais du mal 1 Ils se battent.')",0.9805999994277954
"('#le-proprietaire', ""À la garde !  Le propriétaire cherche à prendre le bâton ; - il s'empare d'un bout, Guignol de l'autre."")","('#le-proprietaire', ""À la garde ! Le propriétaire cherche à prendre le bâton ; - il s'empare d'un bout, Guignol de l'autre."")",1.0000001192092896
"('#le-gendarme', ""Qui appelle au secours ? Il passe d'abord doucement la tète et regarde."")","('#le-gendarme', 'Qui appelle au secours ?')",0.6140285134315491
"('#le-proprietaire', ""Moi !  Monsieur le gendarme.  - Entrez [!]  - Je tiens l'assassin."")","('#le-proprietaire', ""Moi !  Monsieur_le_gendarme.  - Entrez.  - Je tiens l'assassin."")",0.8987116813659668
"('#le-gendarme', ""Il n'y a pas de danger, je peux donc entrer. Il entre."")","('#le-gendarme', ""Il n'y a pas de danger, je peux donc entrer. Il entre."")",1.0000001192092896
"('#le-proprietaire', ""Venez !  Venez m'aider à punir cet homme, qui a osé lever la main sur moi..."")","('#le-proprietaire', ""Venez !  Venez m'aider à punir cet homme, qui a osé lever la main sur moi..."")",1.000000238418579
"('#guignol', 'Oh !  La main, le balai tout au plus.')","('#guignol', 'Oh !  La main, le balai tout au plus.')",1.000000238418579
"('#le-gendarme', 'La main ? - Le balai ?  Voyons, expliquez-vous sur ce point.')","('#le-gendarme', ""La main ?  - Le balai ?  Voyons, expliquez-vous sur ce point. Voilà, c'est monsieur qui, malgré moi, n'a pas voulu sortir d'ici..."")",0.6775074601173401
"('#guignol #le-proprietaire', ""Voilà, c'est monsieur qui, malgré moi, n'a pas voulu sortir d'ici..."")","('#le-gendarme', ""La main ?  - Le balai ?  Voyons, expliquez-vous sur ce point. Voilà, c'est monsieur qui, malgré moi, n'a pas voulu sortir d'ici..."")",1.0
"('#le-gendarme', 'Sapristi !  Si vous parlez tous les deux à la fois, nous ne pourrons jamais nous entendre ! ...')","('#le-gendarme', 'Sapristi !  Si vous parlez tous les deux à la fois, nous ne pourrons jamais nous entendre !...')",0.9877020716667175
"('#guignol', 'La voix est plus forte pourtant, en parlant à deux.')","('#guignol', 'La voix est plus forte pourtant, en parlant à deux.')",0.9999999403953552
"('#le-gendarme', ""Possible !  Mais un gendarme n'écoute pas comme les autres."")","('#le-gendarme', ""Possible !  Mais un gendarme n'écoute pas comme les autres."")",0.9999999403953552
"('#le-proprietaire', 'Voici le fait...')","('#le-proprietaire', 'Voici le fait...')",1.0
"('#guignol', 'Non, voici...')","('#guignol', 'Non, voici...')",0.9999999403953552
"('#le-proprietaire', 'Monsieur...')","('#le-proprietaire', 'Monsieur...')",1.0
"('#guignol', 'Est venu !')","('#guignol', 'Est venu !')",0.9999999403953552
"('#le-proprietaire', 'Je suis venu.')","('#le-proprietaire', 'Je suis venu.')",0.9999997615814209
"('#le-gendarme', 'Qui ?...')","('#le-gendarme', 'Qui ?...')",0.9999999403953552
"('#guignol', 'Moi !')","('#guignol', 'Moi !')",1.0
"('#le-gendarme', 'Lui...')","('#le-gendarme', 'Lui...')",1.0
"('#guignol', 'Non...')","('#guignol', 'Non...')",1.0
"('#le-proprietaire', 'Oui...')","('#le-proprietaire', 'Oui...')",0.9999998211860657
"('#le-gendarme', 'Comprends plus.')","('#le-gendarme', 'Comprends plus.')",1.0
"('#guignol', ""C'est pourtant bien simple !"")","('#guignol', ""C'est pourtant bien simple !"")",0.9999998807907104
"('#le-proprietaire', ""Très simple.  Monsieur ne veut pas s'en aller."")","('#le-proprietaire', ""Très simple.  Monsieur ne veut pas s'en aller."")",0.9999997615814209
"('#guignol', ""Non, c'est lui qui veut rester."")","('#guignol', ""Non, c'est lui qui veut rester."")",0.9999998807907104
"('#le-gendarme', 'Eh bien alors ?')","('#le-gendarme', 'Eh bien alors ?')",1.0
"('#le-proprietaire', 'Mais puisque je vous dis...')","('#le-proprietaire', 'Mais puisque je vous dis...')",0.9999998211860657
"('#le-gendarme', 'Silence !  Je comprends bien, mais je ne saisis pas encore.')","('#le-gendarme', 'Silence !  Je comprends bien, mais je ne saisis pas encore.')",1.0000001192092896
"('#guignol', 'Si nous remettions cela à demain ?')","('#guignol', 'Si nous remettions cela à demain ?')",0.9999998807907104
"('#le-proprietaire', ""Comment, gendarme, vous n'allez pas le conduire en prison ?"")","('#le-proprietaire', ""Comment, Gendarme, vous n'allez pas le conduire en prison ?"")",0.9053496718406677
"('#le-gendarme', ""Si ça peut vous être agréable !  D'ailleurs vous avez raison.  Vous vous expliquerez bien mieux devant le commissaire.  Allons, en route !"")","('#le-gendarme', ""Si ça peut vous être agréable !  D'ailleurs vous avez raison.  Vous vous expliquerez bien mieux devant le commissaire.  Allons, en route !"")",0.9999998211860657
"('#le-proprietaire', 'Moi aussi ?')","('#le-proprietaire', 'Moi aussi ?')",0.9999996423721313
"('#le-gendarme', 'Parbleu !  Tous les deux.')","('#le-gendarme', 'Parbleu !  Tous les deux.')",0.9999998807907104
"('#guignol', ""C'est bien fait !"")","('#guignol', ""C'est bien fait!"")",0.9191266298294067
"('#le-proprietaire', 'Ah !  Bandit !  Tu me le paieras.')","('#le-proprietaire', 'Ah !  Bandit !  Tu me le paieras.')",1.0000001192092896
"('#guignol', ""C'est ce que nous verrons."")","('#guignol', ""C'est ce que nous verrons."")",1.0000001192092896
"('#le-gendarme', ""Allons, en route !  Ah ! Sapristi, j'ai oublié mon sabre."")","('#le-gendarme', ""Allons, en roule !  Ah !  Sapristi, j'ai oublié mon sabre."")",0.9386265873908997
"('#guignol', ""Ça ne fait rien, je cognerai s'il ne marche pas."")","('#guignol', ""Ça ne fait rien, je cognerai s'il ne marche pas."")",1.0000001192092896
"('#le-proprietaire', 'Moi, un propriétaire, chez le commissaire I')","('#le-proprietaire', 'Moi, un propriétaire,chez le commissaire I')",0.9682492017745972
"('#le-gendarme', 'Tout le monde chez le commissaire.  Allons, en route !')","('#le-gendarme', 'Tout le monde chez le commissaire.  Allons, en route !')",1.000000238418579
"('#guignol', 'Allons, en route ! ')","('#guignol', 'Allons, en route !')",1.0
"('#le-proprietaire', 'Gendarme !')","('#le-proprietaire', 'Gendarme !')",1.0000001192092896
"('#guignol', 'Marchez donc !')","('#guignol', 'Marchez donc !')",0.9999999403953552
"('#le-gendarme', ""C'est juste.  Marchons !"")","('#le-gendarme', ""C'est juste. Marchons !"")",0.9999998807907104
"('#le-commissaire', 'Ainsi, Gendarme, les prisonniers sont là ?')","('#le-commissaire', 'Ainsi, Gendarme, les prisonniers sont là ?')",1.0
"('#le-gendarme', 'Ils sont là !')","('#le-gendarme', 'Ils sont là !')",1.0000001192092896
"('#le-commissaire', 'Tous ?')","('#le-commissaire', 'Tous ?')",0.9999998807907104
"('#le-gendarme', 'Deux !')","('#le-gendarme', 'Deux !')",0.9999998807907104
"('#le-commissaire', 'Deux seulement ?')","('#le-commissaire', 'Deux seulement ?')",1.0
"('#le-gendarme', ""Ils n'étaient que deux, je ne pouvais pas en arrêter trois !"")","('#le-gendarme', ""Ils n'étaient que deux, je ne pouvais pas en arrêter trois !"")",0.9999998807907104
"('#le-commissaire', ""Qui sait !  Enfin deux, c'est quelque chose, j'ai là votre rapport.  Vous êtes entré, pendant qu'on criait au secours, vous avez vu deux hommes qui se battaient ?"")","('#le-commissaire', ""Qui sait !  Enfin deux, c'est quelque chose, j'ai là votre rapport.  Vous êtes entré, pendant qu'on criait au secours, vous avez vu deux hommes qui se battaient ?"")",0.9999997019767761
"('#le-gendarme', 'Je les ai arrêtés.')","('#le-gendarme', 'Je les ai arrêtés.')",0.9999998807907104
"('#le-commissaire', ""Vous avez eu raison.  Il faut toujours arrêter !  Sans cela nous n'aurions rien à faire ; je vais les interroger.  Faites-les venir."")","('#le-commissaire', ""Vous avez eu raison.  Il faut toujours arrêter !  Sans cela nous n'aurions rien à faire ; je vais les interroger.  Faites-les venir."")",1.0
"('#le-gendarme', 'Tous les deux ?')","('#le-gendarme', 'Tous les deux ?')",0.9999999403953552
"('#le-commissaire', 'Tous les deux. Le gendarme sort.')","('#le-commissaire', 'Tous les deux. Le gendarme sort.')",0.9999999403953552
"('#le-commissaire', ""Ah !  C'est vous les prisonniers !  Approchez."")","('#le-commissaire', ""Ah !  C'est vous les prisonniers !  Approchez."")",0.9999998807907104
"('#guignol', 'Voilà.')","('#guignol', 'Voilà.')",1.000000238418579
"('#le-proprietaire', 'Monsieur, je...')","('#le-proprietaire', 'Monsieur, je...')",0.9999997615814209
"('#le-commissaire', 'Silence !')","('#le-commissaire', 'Silence !')",1.0
"('#le-gendarme', 'Silence !')","('#le-gendarme', 'Silence !')",1.000000238418579
"('#le-proprietaire', 'Mais au moins...')","('#le-proprietaire', 'Mais au moins...')",1.0
"('#le-commissaire', 'Silence !')","('#le-commissaire', 'Silence !')",1.0
"('#le-gendarme', 'Silence !')","('#le-gendarme', 'Silence !')",1.0
"('#le-commissaire', 'Maintenant, parlez.')","('#le-commissaire', 'Maintenant, parlez.')",1.0000001192092896
"('#le-proprietaire', ""Je suis propriétaire !  J'ai loué une chambre à monsieur ; cette chambre..."")","('#le-proprietaire', ""Je suis propriétaire !  J'ai loué une chambre à monsieur ; cette chambre..."")",1.0000001192092896
"('#le-commissaire', ""Arrivez à l'affaire."")","('#le-commissaire', ""Arrivez à l'affaire."")",1.0000001192092896
"('#le-proprietaire', ""Mais j'y arrive, que diable !  Donnez-moi le temps !"")","('#le-proprietaire', ""Mais j'y arrive, que diable !  Donnez-moi le temps !"")",1.0
"('#le-commissaire', 'Silence !')","('#le-commissaire', 'Silence !')",1.0000001192092896
"('#le-gendarme', 'Silence !')","('#le-gendarme', 'Silence !')",1.0
"('#le-proprietaire', 'Il...')","('#le-proprietaire', 'Il...')",0.9999997615814209
"('#le-commissaire', ""Suffit !  J'ai compris !"")","('#le-commissaire', ""Suffit !  J'ai compris!"")",0.9796512126922607
"('#le-proprietaire', 'Mais je ne vous ai pas expliqué...')","('#le-proprietaire', 'Mais je ne vous ai pas expliqué... ')",1.000000238418579
"('#le-commissaire', 'Silence !')","('#le-commissaire', 'Silence !')",1.0
"('#le-gendarme', 'Silence !')","('#le-gendarme', 'Silence !')",1.0
"('#le-commissaire', ""À l'autre.  Approchez-vous. Votre nom ? Guignol, s'approche."")","('#le-commissaire', ""À l'autre.  Approchez-vous."")",0.5825437903404236
"('#le-commissaire', ""À l'autre.  Approchez-vous. Votre nom ? Guignol, s'approche."")","('#guignol', 'Votre nom ?')",1.0
"('#guignol', 'Je... je... ne... ne  Aïe ! Criant.')","('#guignol', 'Je... je... ne... ne... Aïe ! Criant.')",0.971971869468689
"('#le-commissaire', 'Comment il ne... ne...')","('#le-commissaire', 'Comment il ne... ne...')",1.0
"('#guignol', ""C'est le pro... pro...  Aïe ! Criant."")","('#guignol', ""C'est le pro... pro... Aïe ! Criant."")",0.9999999403953552
"('#le-commissaire', ""Eh bien !  Qu'est-ce qu'il a fait le pro... pro..."")","('#le-commissaire', ""Eh bien !  Qu'est-ce qu'il a fait le pro... pro..."")",1.0000001192092896
"('#guignol', 'Coup... coup... coup... Aïe ! Criant.')","('#guignol', 'Coup... coup... coup... Aïe ! À part.')",0.661097526550293
"('#le-commissaire', 'Il a fait le coucou.')","('#le-commissaire', 'Il a fait le coucou.')",0.9999998211860657
"('#guignol', 'Non.')","('#guignol', 'Non.')",1.0
"('#le-commissaire', 'Non !...  Ce garçon-là est idiot...')","('#le-commissaire', 'Non !...  Ce garçon-là est idiot...')",1.000000238418579
"('#guignol', 'Oui... oui... oui...')","('#guignol', 'Oui... oui... oui...')",1.0
