,quinault-alceste,quinault-isis,Cost,Operation Type
25,"('#choeur', 'Vivez, vivez, heureux Époux. ')","('#pirante', ""C'est trop entretenir Ces tristes rêveries; Venez, tournez vos pas sur ces rives fleuries Regardez ces flots argentés, Qui dans ces vallons écartés,  Font briller l'émail des prairies Interrompez vos soupirs Tout doit être ici; Ce beau séjour est l'asile Du repos et des plaisirs."")",1.07,Substitution
26,"('#licas', 'Seigneur, vous soupirez, et gardez le silence ? ')",,1.0,Insertion
27,"('#alcide', 'Ah ! Licas, laisse-moi partir en diligence. ')",,1.0,Insertion
28,"('#licas', 'Quoi ! Dès ce même jour presser votre départ ? ')",,1.0,Insertion
29,"('#alcide', ""J'aurai beau me presser, je partirai trop tard.  Ce n'est point avec toi que je prétends me taire ;  Alceste est trop aimable, elle a trop su me plaire ;  Un autre en est aimé, rien ne flatte mes voeux :  C'en est fait, Admète l'épouse,  Et c'est dans ce moment qu'on les unit tous deux.  Ah ! Qu'une âme jalouse  Éprouve un tourment rigoureux !  J'ai peine à l'exprimer moi-même :  Figure-toi, si tu le peux,  Quelle est l'horreur extrême  De voir ce que l'on aime,  Au pouvoir d'un Rival heureux. "")","('#hierax', ""Depuis qu'une nymphe inconstante A trahi mon amour et m'a manqué de foy Ces lieux jadis si beaux n'ont plus rien qui m'enchante; Ce que j'aime a changé, tout est changé pour moi."")",0.49,Substitution
30,"('#licas', ""L'Amour est-il plus fort qu'un Héros indomptable ? L'Univers n'a point eu de Monstre redoutable  Que vous n'ayez pu surmonter. "")","('#pirante', ""La fille d'Inachus hautement vous préfère A mille autres amants de votre sort jaloux; Vous avez l'aveu de son père En faveur d'Argus votre frère, La puissante Junon se déclare pour vous."")",1.32,Substitution
31,"('#alcide', ""Eh, crois-tu que l'Amour soit moins à redouter ?  Le plus grand coeur a sa faiblesse.  Je ne puis me sauver de l'ardeur qui me presse  Qu'en quittant ce fatal Séjour :  Contre d'aimables charmes  La valeur est sans armes,  Et ce n'est qu'en fuyant qu'on peut vaincre l'Amour. "")","('#hierax', ""Si l'ingrate m'aimait, je serais son époux. Cette nymphe légère De jour en jour diffère Un hymen qu'autrefois elle avait cru si doux. L'inconstante n'a plus l'empressement extrême De cet amour naissant qui répondait au mien. Son changement paraît en dépit d'elle même Je ne le connais que trop bien, Sa bouche quelquefois dit encor qu'elle m'aime; Mais son coeur ni ses yeux ne m'en disent plus rien."")",0.38,Substitution
32,"('#licas', ""Vous devez vous forcer, au moins à voir la Fête  Qui déjà dans ce Port, vous paraît toute prête.  Votre fuite à présent ferait un trop grand bruit ;  Différez jusqu'à la nuit. "")","('#pirante', ""Se peut-il qu'elle dissimule ! Après de serments, ne la croyez-vous pas ?"")",0.7,Substitution
33,"('#alcide', 'Ah Licas ! Quelle nuit ! Ah quelle nuit funeste ! ')",,1.0,Insertion
34,"('#licas', 'Tout le reste du jour voyez encore Alceste. ')",,1.0,Insertion
35,"('#alcide', ""La voir encore !... Hé bien différons mon départ,  Je vous l'avais bien dit, je partirai trop tard.  Je vais la voir aimer un Époux qui l'adore,  Je verrai dans leurs yeux un tendre empressement :  Que je vais payer chèrement  Le plaisir de la voir encore ! "")","('#hierax', ""Je ne les crus que trop, hélas !  Ces serments qui trompent mon coeur tendre et crédule; Ce fut dans ces vallons où par mille détours, Inachus prends plaisir à prolonger son cours; Ce fut sur son charment rivage, Que sa fille volage Me promit de m'aimer toujours. Le Zéphir fut témoin, l'onde fut attentive Quand la nymphe jura de ne changer jamais, Mais le Zéphir léger et l'onde fugitive Ont enfin emporté les serments qu'elle a faits. Je la vois, l'infidèle."")",0.14,Substitution
36,"('#ensemble', ""L'Amour a bien des maux, mais le plus grand de tous,  C'est le tourment d'être jaloux. "")",,1.0,Insertion
37,"('#straton', ""Licas, j'ai deux mots à te dire. "")","('#pirante', 'Éclaircissez vous avec elle.')",1.7,Substitution
38,"('#licas', ""Que veux-tu ? Parle je t'entends. "")","('#io', ""M'aimez vous ? puis-je m'en flatter ?"")",1.4,Substitution
39,"('#straton', ""Nous sommes amis de tout temps ;  Céphise, tu le sais, me tient sous son empire,  Tu suis partout ses pas : qu'est-ce que tu prétends ? "")","('#hierax', ""Cruelle, en voulez vous douter ? En vain votre inconstance éclate, En vain elle m'anime à briser tous les noeuds Je vous aime toujours ingrate, Plus que vous ne voulez Et plus que je ne veux Je crains un funeste présage, Un aigle dévorant Vient de fondre à mes yeux, Sur un oiseau qui dans ces lieux M'entretenait d'un doux ramage Différez votre hymen, Suivons l'avis des Cieux. Notre hymen me déplaît qu'à votre coeur volage: Répondez moi de vous, je vous répond des Dieux. Vous juriez autrefois Que cette onde rebelle Se ferait vers sa source une route nouvelle Plutôt qu'on ne verrait votre coeur dégagé; Voyez couler ces flots dans cette vaste plaine C'est le même penchant qui toujours les entraîne. Leurs cours ne change point et vous avez changé"")",0.42,Substitution
40,"('#licas', 'Je prétends rire. ')",,1.0,Insertion
41,"('#straton', 'Pourquoi veux-tu troubler deux coeurs qui sont contents ? ')","('#io', ""Laissez moi revenir de mes frayeurs secrètes; J'attends de votre amour cet effort généreux."")",0.79,Substitution
42,"('#licas', ""Je prétends rire.  Tu peux à ton gré t'enflammer ;  Chacun a sa façon d'aimer ;  Qui voudra soupirer, soupire,  Je prétends rire. "")","('#hierax', ""Je veux ce qui vous plaît, cruelle que vous êtes, Vous n'abusez que trop d'un amour malheureux !"")",0.84,Substitution
43,"('#straton', ""J'aime, et je suis aimé ; laisse en paix nos amours. "")","('#io', 'Non, je vous aime encor !')",0.25,Substitution
44,"('#licas', ""Rien ne doit t'alarmer, s'il est bien vrai qu'on t'aime ;  Un rival rebuté donne un plaisir extrême. "")","('#hierax', ""Quelle froideur extrême !  Inconstante, est-ce ainsi qu'on doit dire qu'on aime."")",0.98,Substitution
45,"('#straton', ""Un Rival tel qu'il soit importune toujours. "")",,1.0,Insertion
46,"('#licas', ""Je vois ton amour sans colère,  Tu devrais en user ainsi :  Puisque Céphise t'a su plaire,  Pourquoi ne veux-tu pas qu'elle me plaise aussi ? "")","('#io', ""C'est à tort que vous m'accusez, Vous avez vu toujours vos rivaux méprisés"")",1.39,Substitution
47,"('#straton', ""À quoi sert-il d'aimer ce qu'il faut que l'on quitte ?  Tu ne peux demeurer longtemps dans cette Cour. "")",,1.0,Insertion
48,"('#licas', ""Moins on a de moments à donner à l'Amour.  Et plus il faut qu'on en profite. "")",,1.0,Insertion
49,"('#straton', ""J'aime depuis deux ans avec fidélité :  Je puis croire sans vanité,  Que tu ne dois pas être un Rival qui m'alarme. "")","('#hierax', ""Le mal de mes rivaux N'égale point ma peine, La douce illusion d'une espérance vaine Ne les fait point tomber du faite du bonheur Aucun d'eux comme moi n'a perdu votre coeur; Je ne suis point accoutumé Quel tourment de cesser de plaire Lorsqu'on a fait l'essai du plaisir d'être aimé. Je ne le sens que trop Votre coeur se détache Et je ne sais qui me l'arrache"")",0.38,Substitution
50,"('#licas', ""J'ai pour moi la nouveauté ;  En amour c'est un grand charme. "")",,1.0,Insertion
51,"('#straton', ""Céphise m'a promis un coeur tendre et constant. "")",,1.0,Insertion
52,"('#licas', ""Céphise m'en promet autant. "")",,1.0,Insertion
53,"('#straton', ""Ah si je le croyais !... Mais tu n'es pas croyable. "")",,1.0,Insertion
54,"('#licas', ""Crois-moi, fais ton profit d'un reste d'amitié,  Sers-toi d'un avis charitable  Que je te donne par pitié. "")","('#hierax', ""Je cherche en vain l'heureux amant Qui me dérobe un bien charmant Où j'ai cru devoir seul prétendre Je sentirais moins mon tourment Si je trouvais à qui m'en prendre Vous fuyez mes regards, Vous ne me dites rien; Il faut vous délivrer d'un fâcheux entretiens; Ma présence vous blesse et c'est trop vous contraindre."")",0.59,Substitution
55,"('#straton', ""Le mépris d'une volage  Doit être un assez grand mal,  Et c'est un nouvel outrage  Que la pitié d'un Rival.  Elle vient l'Infidèle,  Pour chanter dans les Jeux dont je prends soin ici. "")","('#io', 'Jaloux sombre et chagrin, Partout où je vous vois, Vous ne cessez de vous plaindre Je voudrais vous aimer Autant que je le dois, Et vous me forcez à vous craindre.')",0.69,Substitution
56,"('#licas', ""Je te laisse avec elle,  Il ne tiendra qu'à toi d'être mieux éclairci. "")",,1.0,Insertion
57,"('#cephise', 'Dans ce beau jour, quelle humeur sombre  Fais-tu voir à contretemps ? ')",,1.0,Insertion
58,"('#straton', ""C'est que je ne suis pas du nombre  Des Amants qui sont contents. "")","('#hierax #io', ""Non, non, il ne tient qu'à vous De rendre notre sort plus doux Non, non, il ne tient qu'à vous De rendre mon coeur plus tendre Non, non, il ne tient qu'à vous De rendre mon coeur moins jaloux."")",1.36,Substitution
59,"('#cephise', ""Un ton grondeur et sévère  N'est pas un grand agrément ;  Le chagrin n'avance guère  Les affaires d'un Amant. "")","('#micene', ""Ce prince trop longtemps dans ses chagrins s'obstine On pardonne au premier transport D'un amour qui se plaint à tort Et qui sans raison se mutine. Mais à la fin on se chagrine Contre un Amour chagrin."")",0.27,Substitution
60,"('#straton', ""Licas vient de me faire entendre  Que je n'ai plus ton coeur, qu'il doit seul y prétendre,  Et que tu ne vois plus mon amour qu'à regret ! "")","('#io', ""Je veux bien te parler enfin sans artifice Ce prince infortuné s'alarme avec justice. Le maître souverain de la terre et des cieux Entreprend de plaire à mes yeux. Du coeur de Jupiter l'amour m'offre l'empire. Mercure est venu me le dire Je le vois chaque jour descendre dans ces lieux. Mon coeur autant qu'il peut  Fait toujours résistance. Et pour attaquer ma constance, Il ne fallait pas moins que le plus grand des Dieux."")",0.6,Substitution
61,"('#cephise', 'Licas est peu discret... ')",,1.0,Insertion
62,"('#straton', ""Ah je m'en doutais bien qu'il voulait me surprendre. "")",,1.0,Insertion
63,"('#cephise', ""Licas est peu discret  D'avoir dit mon secret. "")","('#micene', ""On écoute aisément Jupiter qui soupire. C'est un amant qu'on ose mépriser. Et du plus grand des coeurs Ce glorieux empire  Est difficile à mépriser."")",1.34,Substitution
64,"('#straton', ""Comment ! Il est donc vrai ! Tu n'en fais point d'excuse ?  Tu me trahis ainsi sans en être confuse ? "")","('#io', ""Lorsqu'on me presse de me rendre Aux attraits d'un amour nouveau, Plus le charme est puissant Et plus il serait beau De pouvoir m'en défendre. Quoi ! tu veux me quitter ? Doù vient ce soin pressant ?"")",0.86,Substitution
65,"('#cephise', 'Tu te plains sans raison ;  Est-ce une trahison,  Quand on te désabuse ? ')","('#micene', ""C'est pour vous seule ici que Mercure descend."")",1.6,Substitution
66,"('#straton', 'Que je suis étonné de voir ton changement ! ')",,1.0,Insertion
67,"('#cephise', ""Si je change d'Amant  Qu'y trouves-tu d'étrange ?  Est-ce un sujet d'étonnement  De voir une fille qui change ? "")","('#mercure', ""Le Dieu puissant qui lance le tonnerre  Et qui des cieux tient le sceptre en ses mains A résolu de venir sur la terre Chasser les maux qui troublent les humains. Que la terre avec soin à cet honneur réponde Échos retentissez dans ces lieux pleins d'appas, Annoncez qu'aujourd'hui pour le bonheur du monde, Jupiter descends ici-bas."")",1.93,Substitution
68,"('#straton', 'Après deux ans passés dans un si doux lien,  Devais-tu jamais prendre une chaîne nouvelle ? ')","('#choeur-des-divinites', ""Échos retentissez dans ces lieux pleins d'appas, Annoncez qu'aujourd'hui pour le bonheur du monde, Jupiter descends ici-bas."")",1.6,Substitution
69,"('#cephise', ""Ne comptes-tu pour rien  D'être deux ans fidèle ? "")","('#mercure', ""C'est ainsi que Mercure Pour abuser les Dieux jaloux Doit parler hautement à toute la nature. Mais il doit s'expliquer Autrement avec vous; C'est pour vous voir, C'est pour vous plaire, Que Jupiter descend du céleste séjour. Et les biens qu'ici bas sa présence va faire Ne seront dûs qu'à son amour."")",1.84,Substitution
70,"('#straton', ""Par un espoir doux et trompeur,  Pourquoi m'engageais-tu dans un amour si tendre ?  Fallait-il me donner ton coeur,  Puisque tu voulais le reprendre ? "")","('#isis', ""Pourquoi du haut des cieux,  Ce Dieu veut-il descendre ?  Mes voeux sont engagés. Mon coeur a fait un choix L'amour tôt ou tard doit prétendre Que tous les coeurs se rangent sous ses lois. C'est un hommage qu'il faut rendre Mais assez de le rendre une fois."")",0.5,Substitution
71,"('#cephise', ""Quand je t'offris mon coeur, c'était de bonne foi ;  Que n'empêches-tu qu'on te l'ôte ?  Est-ce ma faute  Si Licas me plaît plus que toi ? "")","('#mercure', ""Ce serait en aimant une contrainte étrange Qu'un coeur pour mieux choisir n'osât se dégager. Quand c'est pour Jupiter qu'on change Il n'est pas honteux de changer. Que tout l'univers se pare De ce qu'il a de plus rare Que tout brille dans ces lieux. Que la terre partage  L'éclat et la gloire des cieux. Que tout rende hommage  Au plus grand des dieux."")",1.2,Substitution
72,"('#straton', 'Ingrate, est-ce le prix de ma persévérance ? ')",,1.0,Insertion
73,"('#cephise', ""Essaye un peu de l'inconstance :  C'est toi qui le premier m'appris à m'engager :  Pour récompense  Je te veux apprendre à changer. "")","('#jupiter', ""Les armes que je tiens protègent l'innocence. L'effort n'en est fâcheux qu'à l'orgueil des titans. Vous qui suivez les lois, Vivez sous ma puissance, Toujours heureux, toujours contents. Jupiter vient sur la terre. Pour la combler de bienfaits, Il est armé du tonnerre Mais c'est pour donner la paix."")",0.94,Substitution
74,"('#straton #cephise', 'Il faut aimer toujours.  Il faut changer toujours.  Les plus douces amours  Sont les amours fidèles :  Sont les amours nouvelles :  Il faut aimer toujours.  Il faut changer toujours. ')",,1.0,Insertion
75,"('#licomede', ""Straton, donne ordre qu'on s'apprête  Pour commencer la Fête.  STRATON se retire."")","('#choeurs', ""Jupiter vient sur la terre. Pour la combler de bienfaits, Il est armé du tonnerre Mais c'est pour donner la paix."")",1.22,Substitution
76,"('#licomede', ""Enfin, grâce au dépit, je goûte la douceur  De sentir le repos de retour dans mon coeur.  J'étais à préférer au Roi de Thessalie ;  Et si pour sa gloire, on publie  Qu'Apollon autrefois lui servit de Pasteur,  Je suis Roi de Scyros, et Thétis est ma soeur.  J'ai su me consoler d'un hymen qui m'outrage,  J'en ordonne les Jeux avec tranquillité.  Qu'aisément le dépit dégage  Des fers d'une ingrate Beauté :  Et qu'après un long esclavage,  Il est doux d'être en liberté. "")","('#io', ""Où suis-je ? D'où vient ce nuage ? Les ondes de mon père et son charmant rivage Ont disparu tout_à_coup à mes yeux ! Où puis-je trouver un passage ? La jalouse reine des Cieux Me fait elle si tôt acheter l'avantage De plaire au plus puissant des Dieux ? Que vois-je ? Quel éclat se répand dans ces lieux. Jupiter paraît et les nuages qui obscurcissent le théâtre, sont illuminés et peints des couleurs les plus brillantes et les plus agréables."")",0.26,Substitution
77,"('#cephise', ""Il n'est pas sûr toujours de croire l'apparence :  Un coeur bien pris, et bien touché,  N'est pas aisément détaché,  Ni sitôt guéri que l'on pense ;  Et l'amour est souvent caché  Sous une feinte indifférence. "")",,1.0,Insertion
78,"('#licomede', ""Quand on est sans espérance,  On est bientôt sans amour.  Mon Rival a la préférence,  Ce que j'aime est en sa puissance,  Je perds tout espoir en ce jour :  Quand on est sans espérance,  On est bientôt sans amour.  Voici l'heure qu'il faut que la Fête commence,  Chacun s'avance,  Préparons-nous. "")","('#jupiter', ""Vous voyez Jupiter; Que rien ne vous étonne. C'est pour tromper Junon et ses regards jaloux Qu'un nuage vous environne; Belle nymphe, rassurez-vous Je vous aime et pour vous le dire, Je sors avec plaisir de mon suprême empire. La foudre est dans mes mains, Les Dieux me font la cour, Je tiens tout l'Univers sous mon obéissance; Mais si je prétends en ce jour Engager votre coeur à m'aimer à son tour, Je fonde moins mon espérance Sur la grandeur de ma puissance Que sur l'excès de mon amour."")",0.31,Substitution
79,"('#choeur', 'Vivez, vivez, heureux Époux. ')",,1.0,Insertion
80,"('#pheres', 'Jouissez des douceurs du noeud qui vous assemble. ')",,1.0,Insertion
81,"('#admete #alceste', ""Quand l'Hymen et l'Amour sont bien d'accord ensemble  Que les noeuds qu'ils forment sont doux ? "")","('#io', ""Que sert-il qu'ici-bas votre amour me choisisse ? L'honneur me vient trop tard, j'ai formé d'autres noeuds Il fallait que ce bien pour combler tous nos voeux, Ne me coûtât point d'injustice, Et ne fit point de malheureux"")",1.0,Substitution
82,"('#choeur', 'Vivez, vivez, heureux Époux. ')","('#jupiter', ""C'est une assez grande gloire Pour votre premier vainqueur, D'être encore dans votre mémoire Et de me disputer si longtemps votre coeur."")",1.47,Substitution
83,"('#deux-tritons', ""Malgré tant d'orages,  Et tant de naufrages,  Chacun à son tour  S'embarque avec l'Amour.  Partout où l'on mène  Les Coeurs amoureux,  On voit la Mer pleine  D'écueils dangereux ;  Mais sans quelque peine,  On n'est jamais heureux :  Une âme constante,  Après la tourmente,  Espère un beau jour.  Malgré tant d'orages,  Et tant de naufrages,  Chacun à son tour  S'embarque avec l'Amour.  Un coeur qui diffère  D'entrer en affaire,  S'expose à manquer  Le temps de s'embarquer.  Une âme commune  S'étonne d'abord,  Le soin l'importune,  Le calme l'endort,  Mais quelle fortune  Fait-on sans quelque effort ?  Est-il un commerce  Exempt de traverse ?  Chacun doit risquer.  Un coeur qui diffère  D'entrer en affaire,  S'expose à manquer  Le temps de s'embarquer.  On danse."")","('#io', ""La gloire doit forcer mon coeur à se défendre. Si vous sortez du Ciel pour chercher les douceurs D'une amour tendre, Vous pouvez aisément attaquer d'autres coeurs Qui feront gloire de se rendre."")",0.54,Substitution
84,"('#cephise', ""Jeunes Coeurs, laissez-vous prendre,  Le péril est grand d'attendre,  Vous perdez d'heureux moments  En cherchant à vous défendre.  Si l'Amour a des tourments,  C'est la faute des Amants.  On danse."")","('#jupiter', ""Il n'est rien dans les Cieux il n'est rien ici-bas De si charment que vos appas; Rien ne peut me toucher d'une flamme si forte; Belle Nymphe vous l'emportez Sur les autres beautés, Autant que Jupiter l'emporte Sur les autres Divinités ! Verrez-vous tant d'amour avec indifférence ? Quel trouble vous saisit ? Où tournez vous vos pas ?"")",0.7,Substitution
85,"('#une-nymphe #cephise', ""Plus les âmes sont rebelles,  Plus leurs peines sont cruelles,  Les plaisirs doux et charmants  Sont le prix des coeurs fidèles :  Si l'Amour a des tourments,  C'est la faute des Amants. "")","('#io', ""Mon coeur en votre présence Fait trop peu de résistance  Contentez-vous, hélas ! D'étonner ma constance, Et n'en triomphez pas."")",0.96,Substitution
86,,"('#jupiter', 'Et pourquoi craignez vous Jupiter qui vous aime ?')",1.0,Deletion
87,"('#licomede', 'On vous apprête  Dans mon Vaisseau  Un divertissement nouveau. ')",,1.0,Insertion
88,"('#licomede #straton', ""Venez voir ce que notre fête  Doit avoir de plus beau.  LICOMÈDE conduit ALCESTE dans son Vaisseau, STRATON y mène CÉPHISE, et dans le temps qu'ADMÈTE et ALCIDE y veulent passer, le Pont s'enfonce dans la Mer. "")","('#io', 'Je crains tout, je me crains moi-même.')",1.87,Substitution
89,"('#admete #alcide', ""Dieux ! Le Pont s'abîme dans l'eau. "")",,1.0,Insertion
90,"('#choeur', 'Ah quelle trahison funeste ! ')","('#jupiter', 'Quoi ! voulez vous me fuir')",1.62,Substitution
91,"('#alceste #cephise', 'Au secours, au secours. ')","('#io', ""C'est mon dernier espoir."")",1.52,Substitution
92,"('#alcide', 'Perfide... ')","('#jupiter', 'Écoutez mon amour.')",1.24,Substitution
93,"('#admete', 'Alceste... ')","('#io', 'Écoutez mon devoir.')",1.88,Substitution
94,"('#alcide #admete', 'Laissons les vains discours. Au secours, au secours. ')","('#jupiter', 'Vous avez un coeur libre et qui peut de défendre')",1.76,Substitution
95,,"('#io', 'Non, vous ne laissez pas mon coeur en mon pouvoir')",1.0,Deletion
96,,"('#jupiter', ""Quoi ! vous ne voulez pas m'entendre"")",1.0,Deletion
97,,"('#io', ""Je n'ai que trop de peine à ne le pas vouloir. Laissez-moi..."")",1.0,Deletion
