,musset-lorenzaccio,rostand-cyrano,Cost,Operation Type
22,"('#le-duc', ""Viens par ici ; le Hongrois a raison. Il me semblait dans mon rêve voir ma soeur traverser notre jardin tenant une lanterne sourde, et couverte de pierreries.  Je me suis éveillé en sursaut.  Dieu sait que ce n'est qu'une illusion, mais une illusion trop forte pour que le sommeil ne s'enfuie pas devant elle.  Grâce au ciel, les fenêtres du pavillon où couche la petite sont fermées comme de coutume ; j'aperçois faiblement la lumière de sa lampe entre les feuilles de notre vieux figuier.  Maintenant mes folles terreurs se dissipent ; les battements précipités de mon coeur font place à une douce tranquillité.  Insensé !  Mes yeux se remplissent de larmes, comme si ma pauvre soeur avait couru un véritable danger.  - Qu'entends-je ?  Qui remue là entre les branches ? Suis-je éveillé ?  C'est le fantôme de ma soeur.  Il tient une lanterne sourde, et un collier brillant étincelle sur sa poitrine aux rayons de la lune.  Gabrielle !  Gabrielle !  Où vas-tu ? Ils s'éloignent. - Entre Maffio. La soeur de Maffio passe dans l'éloignement. Rentrent Giomo et le duc."")","('#un-bourgeois', 'Plaçons-nous là, mon fils.')",1.67,Substitution
23,,"('#un-joueur', ""Brelan d'as !"")",1.0,Deletion
24,"('#giomo', ""Ce sera le bonhomme de frère pris de somnambulisme.  - Lorenzo conduira votre belle au palais par la petite porte ; et quant à nous, qu'avons-nous à craindre ?"")","('#un-homme', ""Un ivrogne Doit boire son bourgogne... ... à l'hôtel_de_Bourgogne ! Il boit"")",1.44,Substitution
25,"('#maffio', 'Qui êtes-vous ?  Holà !  Arrêtez ! Il tire son épée.')","('#le-bourgeois', ""Ne se croirait-on pas en quelque mauvais lieu ? Buveurs... Bretteurs ! Joueurs ! Il montre l'ivrogne du bout de sa canne. En rompant, un des cavaliers le bouscule. Il tombe au milieu des joueurs."")",1.11,Substitution
26,,"('#le-garde', 'Un baiser !')",1.0,Deletion
27,"('#giomo', 'Honnête rustre, nous sommes tes amis.')","('#le-bourgeois', ""Jour_de_Dieu ! - Et penser que c'est dans une salle pareille Qu'on joua du Rotrou, mon fils !"")",1.48,Substitution
28,,"('#le-jeune-homme', 'Et du Corneille !')",1.0,Deletion
29,"('#maffio', 'Où est ma soeur ?  Que cherchez-vous ici ?')","('#des-pages', 'Tra la la la la la la la la la la lère...')",1.68,Substitution
30,,"('#le-portier', 'Les pages, pas de farce !...')",1.0,Deletion
31,"('#giomo', 'Ta soeur est dénichée, brave canaille.  Ouvre la grille de ton jardin.')","('#un-page', 'Oh ! Monsieur ! Ce soupçon !... As-tu de la ficelle ? Vivement au deuxième, dès que le portier a tourné le dos.')",0.89,Substitution
32,,"('#un-page', 'Avec un hameçon.')",1.0,Deletion
33,,"('#un-page', 'On pourra de là-haut pêcher quelque perruque.')",1.0,Deletion
34,,"('#le-tire-laine', ""Or ça, jeunes escrocs, venez qu'on vous éduque : Puis donc que vous volez pour la première fois..."")",1.0,Deletion
35,,"('#un-page', 'Hep ! Avez-vous des sarbacanes ?')",1.0,Deletion
36,,"('#un-page', 'Et des pois ! Il souffle et les crible de pois.')",1.0,Deletion
37,,"('#le-jeune-homme', 'Que va-t-on nous jouer ?')",1.0,Deletion
38,,"('#le-bourgeois', 'Clorise.')",1.0,Deletion
39,,"('#le-jeune-homme', 'De qui est-ce ?')",1.0,Deletion
40,,"('#le-bourgeois', ""De monsieur Balthazar Baro. C'est une pièce !... Il remonte au bras de son fils."")",1.0,Deletion
41,"('#maffio', 'Tire ton épée et défends-toi, assassin que tu es !')","('#le-tire-laine', '... La dentelle surtout des canons, coupez-la !')",1.54,Substitution
42,,"('#un-spectateur', ""Tenez, à la première du Cid, j'étais là !"")",1.0,Deletion
43,,"('#le-tire-laine', 'Les montres...')",1.0,Deletion
44,,"('#le-bourgeois', 'Vous verrez des acteurs très illustres...')",1.0,Deletion
45,,"('#le-tire-laine', 'Les mouchoirs...')",1.0,Deletion
46,,"('#le-bourgeois', 'Montfleury...')",1.0,Deletion
47,,"('#un-spectateur', 'Allumez donc les lustres !')",1.0,Deletion
48,,"('#le-bourgeois', '... Bellerose, l_Espy, la_Beaupré, Jodelet !')",1.0,Deletion
49,,"('#un-page', 'Ah ! Voici la distributrice !...')",1.0,Deletion
50,,"('#la-distributrice', 'Oranges, lait,  Eau_de_framboise, aigre_de_cèdre... Brouhaha à la porte.')",1.0,Deletion
51,,"('#une-voix', 'Place, brutes !')",1.0,Deletion
52,,"('#un-laquais', 'Les marquis !... Au parterre ?...')",1.0,Deletion
53,"('#giomo', 'Halte-là !  Maître sot, pas si vite.')","('#un-laquais', 'Oh ! Pour quelques minutes. Entre une bande de petits marquis.')",1.22,Substitution
54,,"('#un-marquis', ""Hé quoi ! Nous arrivons ainsi que les drapiers,  Sans déranger les gens ? Sans marcher sur les pieds ? Ah ! Fi ! Fi ! Fi ! Cuigy ! Brissaille ! Il se trouve devant d'autres gentilshommes entrés peu avant. Grandes embrassades."")",1.0,Deletion
55,,"('#cuigy', 'Des fidèles !... Mais oui, nous arrivons devant que les chandelles...')",1.0,Deletion
56,,"('#le-marquis', ""Ah ! Ne m'en parlez pas ! Je suis dans une humeur..."")",1.0,Deletion
57,,"('#un-marquis', ""Console-toi, Marquis, car voici l'allumeur !"")",1.0,Deletion
58,"('#maffio', ""Ô honte !  Ô excès de misère !  S'il y a des lois à Florence si quelque justice vit encore sur la terre, par ce qu'il y a de vrai ; et de sacré au monde, je me jetterai aux pieds du duc, et il vous fera pendre tous les deux."")","('#la-salle', ""Ah ! ... On se groupe autour des lustres qu'il allume. Quelques personnes ont pris place aux galeries. Lignière entre au parterre, donnant le bras à Christian de Neuvillette. Lignière, un peu débraillé, figure d'ivrogne distingué. Christian, vêtu élégamment, mais d'une façon un peu démodée, paraît préoccupé et regarde les loges."")",1.3,Substitution
59,,"('#cuigy', 'Lignière !')",1.0,Deletion
60,,"('#brissaille', 'Pas encor gris ! ...')",1.0,Deletion
61,"('#giomo', 'Aux pieds du duc ?')","('#lignere', ""Je vous présente ? Baron_de_Neuvillette. Signe d'assentiment de Christian. Saluts."")",1.25,Substitution
62,,"('#la-salle', 'Ah !')",1.0,Deletion
63,,"('#cuigy', 'La tête est charmante.')",1.0,Deletion
64,,"('#premier-marquis', 'Peuh !...')",1.0,Deletion
65,,"('#lignere', 'Messieurs de_Cuigy, de_Brissaille...')",1.0,Deletion
66,,"('#christian', 'Enchanté ! ...')",1.0,Deletion
67,,"('#premier-marquis', ""Il est assez joli, mais n'est pas ajusté Au dernier goût."")",1.0,Deletion
68,,"('#lignere', 'Monsieur débarque de Touraine.')",1.0,Deletion
69,"('#maffio', ""Oui, oui, je sais que les gredins de votre espèce égorgent impunément les familles.  Mais que je meure, entendez-vous, je ne mourrai pas silencieux comme tant d'autres.  Si le duc ne sait pas que sa ville est une forêt pleine de bandits, pleine d'empoisonneurs et de filles déshonorées, en voilà un qui le lui dira.  Ah !  Massacre !  Ah !  Fer et sang !  J'obtiendrai justice de vous !"")","('#christian', ""Oui, je suis à Paris depuis vingt jours à peine. J'entre aux gardes demain, dans les Cadets."")",1.35,Substitution
70,,"('#premier-marquis', 'Voilà La présidente_Aubry !')",1.0,Deletion
71,,"('#la-distributrice', 'Oranges, lait...')",1.0,Deletion
72,,"('#les-violons', 'La... la...')",1.0,Deletion
73,,"('#cuigy', 'Du monde !')",1.0,Deletion
74,,"('#christian', 'Eh ! Oui, beaucoup.')",1.0,Deletion
75,,"('#premier-marquis', ""Tout le bel air ! Ils nomment les femmes à mesure qu'elle entrent, très parées, dans les loges. Envois de saluts, réponses de sourires."")",1.0,Deletion
76,,"('#deuxieme-marquis', 'Mesdames De Guéméné...')",1.0,Deletion
77,,"('#cuigy', 'De Bois-Dauphin...')",1.0,Deletion
78,,"('#premier-marquis', 'Que nous aimâmes...')",1.0,Deletion
79,,"('#brissaille', 'De Chavigny...')",1.0,Deletion
80,,"('#deuxieme-marquis', 'Qui de nos coeurs, va, se jouant !')",1.0,Deletion
81,,"('#lignere', 'Tiens, monsieur de Corneille est arrivé de Rouen.')",1.0,Deletion
82,"('#giomo', 'Faut-il frapper, Altesse ?')","('#le-jeune-homme', ""L'Académie est là ?"")",1.03,Substitution
83,"('#le-duc', ""Allons donc !  frapper ce pauvre homme !  Va te recoucher, mon ami ; nous t'enverrons demain quelques ducats. Il sort."")","('#le-bourgeois', ""Mais... j'en vois plus d'un membre ; Voici Boudu, Boissat, et Cureau de la Chambre ; Porchères, Colomby, Bourzeys, Bourdon, Arbaud... Tous ces noms dont pas un ne mourra, que c'est beau !"")",1.32,Substitution
84,"('#maffio', ""C'est Alexandre de Médicis !"")","('#premier-marquis', 'Attention ! Nos précieuses prennent place Barthénoïde, Urimédonte, Cassandace, Félixérie...')",1.5,Substitution
85,,"('#deuxieme-marquis', 'Ah ! Dieu ! Leurs surnoms sont exquis ! Marquis, tu les sais tous ?')",1.0,Deletion
86,,"('#premier-marquis', 'Je les sais tous, marquis !')",1.0,Deletion
87,,"('#ligniere', 'Mon cher, je suis entré pour vous rendre service : La dame ne vient pas. Je retourne à mon vice !')",1.0,Deletion
88,"('#giomo', 'Lui-même, mon brave rustre.  Ne te vante pas de sa visite, si tu tiens à tes oreilles. Il sort.')","('#christian', ""Non !... Vous qui chansonnez et la ville et la cour,  Restez : vous me direz pour qui je meurs d'amour."")",1.35,Substitution
89,"('#le-marchand', 'Hé, hé, père Mondella, voilà bien du vent pour mes étoffes. Il étale ses pièces de soie.')","('#le-chef-des-violons', 'Messieurs les violons !... Il lève son archet.')",1.03,Substitution
90,"('#l-orfevre', ""C'est à se casser la tête.  Au diable leur noce !  Je n'ai pas fermé l'oeil de la nuit."")",,1.0,Insertion
91,"('#le-marchand-de-soieries', ""Ni ma femme non plus, voisin ; la chère âme s'est tournée et retournée comme une anguille.  Ah !  Dame !  Quand on est jeune, on ne s'endort pas au bruit des violons."")","('#la-distributrice', 'Macarons, citronnée... Les violons commencent à jouer.')",0.92,Substitution
92,"('#l-orfevre', ""Jeune !  Jeune !  Cela vous plaît à dire.  On n'est pas jeune avec une barbe comme celle-là, et cependant Dieu sait si leur damnée de musique me donne envie de danser. Deux écoliers passent."")","('#christian', ""J'ai peur qu'elle ne soit coquette et raffinée,  Je n'ose lui parler car je n'ai pas d'esprit... Le langage aujourd'hui qu'on parle et qu'on écrit,  Me trouble. Je ne suis qu'un bon soldat timide. - Elle est toujours à droite, au fond : la loge vide."")",1.07,Substitution
93,,"('#ligniere', 'Je pars.')",1.0,Deletion
94,,"('#christian', 'Oh ! Non, restez !')",1.0,Deletion
95,"('#premier-ecolier', ""Rien n'est plus amusant.  On se glisse contre la porte au milieu des soldats, et on les voit descendre avec leurs habits de toutes les couleurs.  Tiens, voilà la maison des Nasi. Mon portefeuille me glace les mains. Il souffle dans ses doigts."")","('#ligniere', ""Je ne peux. D_assoucy M'attend au cabaret. On meurt de soif, ici."")",1.46,Substitution
96,,"('#la-distributrice', 'Orangeade ?')",1.0,Deletion
97,,"('#ligniere', 'Fi !')",1.0,Deletion
98,"('#second-ecolier', 'Et on nous laissera approcher ?')","('#la-distributrice', 'Lait ?')",1.08,Substitution
99,,"('#ligniere', 'Pouah !')",1.0,Deletion
100,,"('#la-distributrice', 'Rivesalte ?')",1.0,Deletion
101,"('#premier-ecolier', ""En vertu de quoi est-ce qu'on nous en empêcherait ?  Nous sommes citoyens de Florence.  Regarde tout ce monde autour de la porte ; en voilà des chevaux, des pages et des cent soixante livrées !  Tout cela va et vient, il n'y a qu'à s'y connaître un peu ; je suis capable de nommer toutes les personnes d'importance on observe bien tous les costumes, et le soir on dit à l'atelier : J'ai une terrible envie de dormir, j'ai passé la nuit au bal chez le prince Aldobrandini, chez le comte Salviati, le prince était habillé de telle façon, la princesse de telle autre, et on ne ment pas.  Viens, prends ma cape par derrière. Ils se placent contre la porte de la maison."")","('#ligniere', ""Halte ! Je reste encor un peu. - Voyons ce rivesalte ? À Christian. Il s'assied près du buffet. La distributrice lui verse du rivesalte."")",1.37,Substitution
102,,"('#le-public', 'Ah ! Ragueneau ! ...')",1.0,Deletion
103,,"('#ligniere', 'Le grand rôtisseur Ragueneau.')",1.0,Deletion
104,,"('#ragueneau', 'Monsieur, avez-vous vu monsieur de Cyrano ?')",1.0,Deletion
105,,"('#ligniere', 'Le pâtissier des comédiens et des poètes !')",1.0,Deletion
106,,"('#ragueneau', ""Trop d'honneur..."")",1.0,Deletion
107,"('#l-orfevre', ""Entendez-vous les petits badauds ?  Je voudrais qu'un de mes apprentis fît un pareil métier."")","('#ligniere', 'Taisez-vous, Mécène que vous êtes !')",1.24,Substitution
108,"('#le-marchand-de-soieries', ""Bon !  Bon !  Père Mondella, où le plaisir ne coûte rien, la jeunesse n'a rien à perdre.  Tous ces grands yeux étonnés de ces petits polissons me réjouissent le coeur.  - Voilà comme j'étais, humant l'air et cherchant les nouvelles.  Il paraît que la Nasi est une belle gaillarde et que Martelli est un heureux garçon.  C'est une famille bien florentine, celle-là !  Quelle tournure ont tous ces grands seigneurs !  J'avoue que ces fêtes-là me font plaisir, moi.  On est dans son lit bien tranquille, avec un coin de ses rideaux retroussé, on regarde de temps en temps les lumières qui vont et viennent dans le palais ; on attrape un petit air de danse sans rien payer, et on se dit : Hé !  Hé !  Ce sont mes étoffes qui dansent, mes belles étoffes du bon Dieu, sur le cher corps de tous ces braves et loyaux seigneurs."")","('#ragueneau', 'Oui, ces messieurs chez moi se servent...')",1.3,Substitution
109,,"('#ligniere', 'À crédit. Poète de talent lui-même...')",1.0,Deletion
110,,"('#ragueneau', ""Ils me l'ont dit."")",1.0,Deletion
111,,"('#ligniere', 'Fou de vers !')",1.0,Deletion
112,,"('#ragueneau', 'Il est vrai que pour une odelette...')",1.0,Deletion
113,,"('#ligniere', 'Vous donnez une tarte...')",1.0,Deletion
114,,"('#ragueneau', 'Oh ! Une tartelette !')",1.0,Deletion
115,"('#l-orfevre', ""Il en danse plus d'une qui n'est pas payée, voisin ; ce sont celles-là qu'on arrose de vin et qu'on frotte sur les murailles avec le moins de regret.  Que les grands seigneurs s'amusent, c'est tout simple, - ils sont nés pour cela.  Mais il y a des amusements de plusieurs sortes, entendez-vous ?"")","('#ligniere', ""Brave homme, il s'en excuse ! ... Et pour un triolet Ne donnâtes-vous pas ?"")",1.03,Substitution
116,,"('#ragueneau', 'Des petits pains !')",1.0,Deletion
117,"('#le-marchand-de-soieries', ""Oui, oui, comme la danse, le cheval, le jeu de paume et tant d'autres.  Qu'entendez-vous vous-même, père Mondella ?"")","('#ligniere', ""Au lait. - Et le théâtre ! Vous l'aimez ?"")",1.47,Substitution
118,"('#l-orfevre', ""Cela suffit.  - Je me comprends.  - C'est-à-dire que les murailles de tous ces palais-là n'ont jamais mieux prouvé leur solidité.  Il leur fallait moins de force pour défendre les aïeux de l'eau du ciel, qu'il ne leur en faut pour soutenir les fils quand ils ont trop pris de leur vin."")","('#ragueneau', ""Je l'idolâtre."")",1.63,Substitution
119,,"('#ligniere', ""Vous payez en gâteaux vos billets de théâtre ! Votre place, aujourd'hui, là, voyons, entre nous,  Vous a coûté combien ?"")",1.0,Deletion
120,,"('#ragueneau', ""Quatre flans. Quinze choux. Monsieur_de_Cyrano n'est pas là ? Je m'étonne. Il regarde de tous côtés."")",1.0,Deletion
121,,"('#ligniere', 'Pourquoi ?')",1.0,Deletion
122,"('#le-marchand-de-soieries', 'Un verre de vin est de bon conseil, père Mondella.  Entrez donc dans ma boutique, que je vous montre une pièce de velours.')","('#ragueneau', 'Montfleury joue !')",1.56,Substitution
123,,"('#ligniere', ""En effet, cette tonne Va nous jouer ce soir le rôle de Phédon. Qu'importe à Cyrano ?"")",1.0,Deletion
124,"('#l-orfevre', ""Oui, de bon conseil et de bonne mine, voisin ; un bon verre de vin vieux a une bonne mine au bout d'un bras qui a sué pour le gagnera ; on le soulève gaiement d'un petit coup, et il s'en va donner du courage au coeur de l'honnête homme qui travaille pour sa famille.  Mais ce sont des tonneaux sans vergogne, que tous ces godelureaux de la Cour.  À qui fait-on plaisir en s'abrutissant jusqu'à la bête féroce ?  À personne, pas même à soi, et à Dieu encore moins."")","('#ragueneau', ""Mais vous ignorez donc ? Il fit à Montfleury, messieurs, qu'il prit en haine, Défense, pour un mois, de reparaître en scène."")",1.09,Substitution
125,,"('#ligniere', 'Eh bien ?')",1.0,Deletion
126,,"('#ragueneau', 'Montfleury joue !')",1.0,Deletion
127,,"('#cuigy', ""Il n'y peut rien."")",1.0,Deletion
128,"('#le-marchand-de-soieries', ""Le carnaval a été rude, il faut l'avouer et leur maudit ballons m'a gâté de la marchandise pour une cinquantaine de florins.  Dieu merci !  Les Strozzi l'ont payé."")","('#ragueneau', 'Oh ! Oh ! Moi, je suis venu voir !')",1.55,Substitution
129,,"('#premier-marquis', 'Quel est ce Cyrano ?')",1.0,Deletion
130,,"('#cuigy', ""C'est un garçon versé dans les colichemardes."")",1.0,Deletion
131,,"('#deuxieme-marquis', 'Noble ?')",1.0,Deletion
132,"('#l-orfevre', ""Les Strozzi !  Que le ciel confonde ceux qui ont osé porter la main sur leur neveu !  Le plus brave homme de Florence, c'est Philippe Strozzi."")","('#cuigy', ""Suffisamment. Il est cadet aux gardes. Mais son ami Le_Bret peut vous dire... Le_Bret ! Vous cherchez Bergerac ? Montrant un gentilhomme qui va et vient dans la salle comme s'il cherchait quelqu'un. Il appelle. Le Bret descend vers eux."")",1.41,Substitution
133,,"('#le-bret', 'Oui, je suis inquiet !...')",1.0,Deletion
134,,"('#cuigy', ""N'est-ce pas que cet homme est des moins ordinaires ?"")",1.0,Deletion
135,,"('#le-bret', ""Ah ! C'est le plus exquis des êtres sublunaires !"")",1.0,Deletion
136,,"('#ragueneau', 'Rimeur !')",1.0,Deletion
137,,"('#cuigy', 'Bretteur !')",1.0,Deletion
138,,"('#brissaille', 'Physicien !')",1.0,Deletion
139,,"('#le-bret', 'Musicien !')",1.0,Deletion
140,,"('#ligniere', 'Et quel aspect hétéroclite que le sien !')",1.0,Deletion
141,"('#le-marchand-de-soieries', ""Cela n'empêche pas Pierre Strozzi d'avoir traîné son maudit ballon sur ma boutique, et de m'avoir fait trois grandes taches dans une aune de velours brodé.  À propos, père Mondella, nous verrons-nous à Montolivet ?"")","('#ragueneau', ""Certes, je ne crois pas que jamais nous le peigne Le solennel monsieur Philippe_de_Champaigne ; Mais bizarre, excessif, extravagant, falot, Il eût fourni, je pense, à feu Jacques_Callot Le plus fol spadassin à mettre entre ses masques : Feutre à panache triple et pourpoint à six basques,  Cape, que par derrière, avec pompe, l'estoc Lève, comme une queue insolente de coq,  Plus fier que tous les Artabans dont la Gascogne Fut et sera toujours l'alme Mère_Gigogne,  Il promène, en sa fraise à la Pulcinella, un nez !...  Ah ! Messeigneurs, quel nez que ce nez-là ! .... On ne peut voir passer un pareil nasigère Sans s'écrier : « Oh ! Non, vraiment, il exagère ! » Puis on sourit, on dit : « Il va l'enlever... » Mais Monsieur_de_Bergerac ne l'enlève jamais."")",0.84,Substitution
142,"('#l-orfevre', ""Ce n'est pas mon métier de suivre les foires ; j'irai cependant à Montolivet par piété.  C'est un saint pèlerinage, voisin, et qui remet tous les péchés."")","('#le-bret', 'Il le porte, - et pourfend quiconque le remarque !')",1.55,Substitution
143,,"('#ragueneau', 'Son glaive est la moitié des ciseaux de la Parque !')",1.0,Deletion
144,,"('#premier-marquis', 'Il ne viendra pas !')",1.0,Deletion
145,,"('#ragueneau', 'Si !... Je parie un poulet À la Ragueneau !')",1.0,Deletion
146,"('#le-marchand-de-soieries', ""Et qui est tout à fait vénérable, voisin, et qui fait gagner les marchands plus que tous les autres jours de l'année.  C'est plaisir de voir ces bonnes dames, sortant de la messe, manier, examiner toutes les étoffes.  Que Dieu conserve Son Altesse !  La Cour est une belle chose."")","('#le-marquis', ""Soit ! Rumeurs d'admiration dans la salle. Roxane vient de paraître dans sa loge. Elle s'assied sur le devant, sa Duègne prend place au fond. Christian, occupé à payer la distributrice, ne regarde pas."")",1.17,Substitution
147,"('#l-orfevre', ""La Cour !  Le peuple la porte sur le dos, voyez-vous !  Florence était encore (il n'y a pas longtemps de cela) une bonne maison bien bâtie ; tous ces grands palais, qui sont les logements de nos grandes familles, en étaient les colonnes.  Il n'y en avait pas une, de toutes ces colonnes, qui dépassât les autres d'un pouce, elles soutenaient à elles toutes une vieille voûte bien cimentée, et nous nous promenions là-dessous sans crainte d'une pierre sur la tête.  Mais il y a de par le monde deux architectes malavisés qui ont gâté l'affaire ; je vous le dis en confidence, c'est le pape et l'empereur Charles.  L'empereur Charles a commencé par entrer par une assez bonne brèche dans la susdite maison.  Après quoi, ils ont jugé à propos de prendre une des colonnes dont je vous parle, à savoir celle de la famille des Médicis, et d'en faire un clocher, lequel clocher a poussé comme un champignon de malheur dans l'espace d'une nuit.  Et puis, savez-vous, voisin !  comme l'édifice branlait au vent, attendu qu'il avait la tête trop lourde et une jambe de moins, on a remplacé le pilier devenu clocher par un gros pâté informe fait de boue et de crachat, et on a appelé cela la citadelle. Les Allemands se sont installés dans ce maudit trou, comme des rats dans un fromage, et il est bon de savoir que, tout en jouant aux dés et en buvant leur vin aigrelet, ils ont l'oeil sur nous autres.  Les familles florentines ont beau crier, le peuple et les marchands ont beau dire, les Médicis gouvernent au moyen de leur garnison ; ils nous dévorent comme une excroissance vénéneuse dévore un estomac malade.  C'est en vertu des hallebardes qui se promènent sur la plate-forme qu'un bâtard, une moitié de Médicis, un butor que le ciel avait fait pour être garçon boucher ou valet de charrue, couche dans le lit de nos filles, boit nos bouteilles, casse nos vitres ; et encore le paye-t-on pour cela."")","('#deuxieme-marquis', 'Ah ! Messieurs ! Mais elle est Épouvantablement ravissante !')",1.47,Substitution
148,,"('#premier-marquis', 'Une pêche Qui sourirait avec une fraise !')",1.0,Deletion
149,,"('#deuxieme-marquis', ""Et si fraîche Qu'on pourrait, l'approchant, prendre un rhume de coeur !"")",1.0,Deletion
150,,"('#christian', ""C'est elle !"")",1.0,Deletion
151,,"('#ligniere', ""Ah ! C'est elle ? ..."")",1.0,Deletion
152,"('#le-marchand-de-soieries', ""Peste !  Peste !  Comme vous y allez !  Vous avez l'air de savoir tout cela par coeur ; il ne ferait pas bon dire cela dans toutes les oreilles, voisin Mondella."")","('#christian', ""Oui. Dites vite. J'ai peur."")",1.29,Substitution
153,,"('#ligniere', 'Magdeleine_Robin, dite Roxane.- Fine. Précieuse.')",1.0,Deletion
154,,"('#christian', 'Hélas !')",1.0,Deletion
155,"('#l-orfevre', ""Et quand on me bannirait comme tant d'autres !  On vit à Rome aussi bien qu'ici.  Que le diable emporte la noce, ceux qui y dansent et ceux qui la font ! Il rentre. Le marchand se mêle aux curieux. - Passe un bourgeois avec sa femme."")","('#ligniere', 'Libre. Orpheline. Cousine De Cyrano,- dont on parlait... À ce moment, un seigneur très élégant, le cordon bleu en sautoir, entre dans la loge et, debout, cause un instant avec Roxane.')",0.83,Substitution
156,,"('#christian', 'Cet homme ?...')",1.0,Deletion
157,"('#la-femme', ""Guillaume Martelli est un bel homme, et riche.  C'est un bonheur pour Nicolo Nasi d'avoir un gendre comme celui-là.  Tiens !  Le bal dure encore.  - Regarde donc toutes ces lumières."")","('#ligniere', ""Hé ! Hé ! ... - Comte_de_Guiche. Épris d'elle. Mais marié À la nièce d'Armand_de_Richelieu. Désire Faire épouser Roxane à certain triste sire,  Un monsieur_de_Valvert, vicomte... et complaisant. Elle n'y souscrit pas, mais de_Guiche est puissant Il peut persécuter une simple bourgeoise. D'ailleurs j'ai dévoilé sa manoeuvre sournoise Dans une chanson qui... Ho ! Il doit m'en vouloir ! - La fin était méchante... Écoutez... Il se lève en titubant, le verre haut, prêt à chanter."")",1.05,Substitution
158,,"('#christian', 'Non. Bonsoir.')",1.0,Deletion
159,"('#le-bourgeois', 'Et nous, notre fille, quand la marierons-nous ?')","('#ligniere', 'Vous allez ?')",1.42,Substitution
160,,"('#christian', 'Chez Monsieur_de_Valvert !')",1.0,Deletion
