,quinault-atys,quinault-isis,Cost,Operation Type
29,"('#sangaride #doris', 'Allons, allons, accourez tous, Cybèle va descendre.')",,1.0,Insertion
30,"('#sangaride', 'Que dans nos concerts les plus doux, Son nom sacré se fasse entendre.')","('#pirante', ""Se peut-il qu'elle dissimule ! Après de serments, ne la croyez-vous pas ?"")",1.18,Substitution
31,"('#atys', ""Sur l'univers entier son pouvoir doit s'étendre."")",,1.0,Insertion
32,"('#sangaride', 'Les dieux suivent ses lois et craignent son courroux.')",,1.0,Insertion
33,"('#atys #sangaride #idas #doris', 'Quels honneurs ! Quels respects ne doit-on point lui rendre ? Allons, allons, accourez tous, Cybèle va descendre.')",,1.0,Insertion
34,"('#sangaride', ""Écoutons les oiseaux de ces bois d'alentour, Ils remplissent leurs chants d'une douceur nouvelle. On dirait que dans ce beau jour, Ils ne parlent que de Cybèle."")","('#hierax', ""Je ne les crus que trop, hélas !  Ces serments qui trompent mon coeur tendre et crédule; Ce fut dans ces vallons où par mille détours, Inachus prends plaisir à prolonger son cours; Ce fut sur son charment rivage, Que sa fille volage Me promit de m'aimer toujours. Le Zéphir fut témoin, l'onde fut attentive Quand la nymphe jura de ne changer jamais, Mais le Zéphir léger et l'onde fugitive Ont enfin emporté les serments qu'elle a faits. Je la vois, l'infidèle."")",0.65,Substitution
35,"('#atys', ""Si vous les écoutez, ils parleront d'amour. Un roi redoutable, Amoureux, aimable, Va devenir votre époux ; Tout parle d'amour pour vous."")","('#pirante', 'Éclaircissez vous avec elle.')",1.15,Substitution
36,"('#sangaride', ""Il est vrai, je triomphe, et j'aime ma victoire. Quand l'amour fait régner, est-il un plus grand bien ? Pour vous, Atys, vous n'aimez rien, Et vous en faites gloire."")","('#io', ""M'aimez vous ? puis-je m'en flatter ?"")",0.59,Substitution
37,"('#atys', ""L'amour fait trop verser de pleurs ; Souvent ses douceurs sont mortelles : Il ne faut regarder les belles Que comme on voit d'aimables fleurs. J'aime les roses nouvelles, J'aime à les voir s'embellir, Sans leurs épines cruelles, J'aimerais à les cueillir."")","('#hierax', ""Cruelle, en voulez vous douter ? En vain votre inconstance éclate, En vain elle m'anime à briser tous les noeuds Je vous aime toujours ingrate, Plus que vous ne voulez Et plus que je ne veux Je crains un funeste présage, Un aigle dévorant Vient de fondre à mes yeux, Sur un oiseau qui dans ces lieux M'entretenait d'un doux ramage Différez votre hymen, Suivons l'avis des Cieux. Notre hymen me déplaît qu'à votre coeur volage: Répondez moi de vous, je vous répond des Dieux. Vous juriez autrefois Que cette onde rebelle Se ferait vers sa source une route nouvelle Plutôt qu'on ne verrait votre coeur dégagé; Voyez couler ces flots dans cette vaste plaine C'est le même penchant qui toujours les entraîne. Leurs cours ne change point et vous avez changé"")",0.74,Substitution
38,"('#sangaride', ""Quand le péril est agréable, Le moyen de s'en alarmer ? Est-ce un grand mal de trop aimer Ce que l'on trouve aimable ? Peut-on être insensible aux plus charmants appas ?"")","('#io', ""Laissez moi revenir de mes frayeurs secrètes; J'attends de votre amour cet effort généreux."")",1.09,Substitution
39,"('#atys', ""Non vous ne me connaissez pas. Je me défends d'aimer autant qu'il m'est possible ; Si j'aimais, un jour, par malheur, Je connais bien mon coeur Il serait trop sensible. Mais il faut que chacun s'assemble près de vous, Cybèle pourrait nous surprendre."")","('#hierax', ""Je veux ce qui vous plaît, cruelle que vous êtes, Vous n'abusez que trop d'un amour malheureux !"")",0.61,Substitution
40,"('#atys #idas', 'Allons, allons, accourez tous, Cybèle va descendre.')",,1.0,Insertion
41,"('#sangaride', 'Atys est trop heureux.')",,1.0,Insertion
42,"('#doris', ""L'amitié fut toujours égale entre vous deux, Et le sang d'assez près vous lie : Quel que soit son bonheur, lui portez-vous envie ? Vous, qu'aujourd'hui l'hymen avec de si beaux noeuds Doit unir au roi de Phrygie ?"")","('#io', 'Non, je vous aime encor !')",0.58,Substitution
43,"('#sangaride', 'Atys, est trop heureux. Souverain de son coeur, maître de tous ses voeux, Sans crainte, sans mélancolie, Il jouit en repos des beaux jours de sa vie ; Atys ne connaît point les tourments amoureux, Atys est trop heureux.')","('#hierax', ""Quelle froideur extrême !  Inconstante, est-ce ainsi qu'on doit dire qu'on aime."")",1.31,Substitution
44,,"('#io', ""C'est à tort que vous m'accusez, Vous avez vu toujours vos rivaux méprisés"")",1.0,Deletion
45,"('#doris', ""Quel mal vous fait l'amour ? Votre chagrin m'étonne."")","('#hierax', ""Le mal de mes rivaux N'égale point ma peine, La douce illusion d'une espérance vaine Ne les fait point tomber du faite du bonheur Aucun d'eux comme moi n'a perdu votre coeur; Je ne suis point accoutumé Quel tourment de cesser de plaire Lorsqu'on a fait l'essai du plaisir d'être aimé. Je ne le sens que trop Votre coeur se détache Et je ne sais qui me l'arrache"")",0.99,Substitution
46,"('#sangaride', ""Je te fie un secret qui n'est su de personne. Je devrais aimer un amant Qui m'offre une couronne ; Mais, hélas ! Vainement Le devoir me l'ordonne, L'amour, pour mon tourment, En ordonne autrement."")","('#hierax', ""Je cherche en vain l'heureux amant Qui me dérobe un bien charmant Où j'ai cru devoir seul prétendre Je sentirais moins mon tourment Si je trouvais à qui m'en prendre Vous fuyez mes regards, Vous ne me dites rien; Il faut vous délivrer d'un fâcheux entretiens; Ma présence vous blesse et c'est trop vous contraindre."")",0.07,Substitution
47,"('#doris', ""Aimeriez-vous Atys, lui dont l'indifférence Brave avec tant d'orgueil l'amour et sa puissance ?"")","('#io', 'Jaloux sombre et chagrin, Partout où je vous vois, Vous ne cessez de vous plaindre Je voudrais vous aimer Autant que je le dois, Et vous me forcez à vous craindre.')",0.57,Substitution
48,"('#sangaride', ""J'aime, Atys, en secret, mon crime, est sans témoins. Pour vaincre mon amour, je mets tout en usage, J'appelle ma raison, j'anime mon courage ; Mais à quoi servent tous mes soins ? Mon coeur en souffre davantage, Et n'en aime pas moins."")","('#hierax #io', ""Non, non, il ne tient qu'à vous De rendre notre sort plus doux Non, non, il ne tient qu'à vous De rendre mon coeur plus tendre Non, non, il ne tient qu'à vous De rendre mon coeur moins jaloux."")",0.77,Substitution
49,"('#doris', ""C'est le commun défaut des belles. L'ardeur des conquêtes nouvelles Fait négliger les coeurs qu'on a trop tôt charmés, Et les indifférents sont quelquefois aimés Aux dépens des amants fidèles. Mais vous vous exposez à des peines cruelles."")","('#micene', ""Ce prince trop longtemps dans ses chagrins s'obstine On pardonne au premier transport D'un amour qui se plaint à tort Et qui sans raison se mutine. Mais à la fin on se chagrine Contre un Amour chagrin."")",0.57,Substitution
50,"('#sangaride', ""Toujours aux yeux d'Atys je serai sans appas ; Je le sais, j'y consens, je veux, s'il est possible, Qu'il soit encor plus insensible ; S'il me pouvait aimer, que deviendrais-je ? Hélas ! C'est mon plus grand bonheur qu'Atys ne m'aime pas. Je prétends être heureuse, au moins, en apparence ; Au destin d'un grand roi je me vais attacher."")","('#io', ""Je veux bien te parler enfin sans artifice Ce prince infortuné s'alarme avec justice. Le maître souverain de la terre et des cieux Entreprend de plaire à mes yeux. Du coeur de Jupiter l'amour m'offre l'empire. Mercure est venu me le dire Je le vois chaque jour descendre dans ces lieux. Mon coeur autant qu'il peut  Fait toujours résistance. Et pour attaquer ma constance, Il ne fallait pas moins que le plus grand des Dieux."")",0.43,Substitution
51,"('#sangaride #doris', ""Un amour malheureux dont le devoir s'offense, Se doit condamner au silence ; Un amour malheureux qu'on nous peut reprocher, Ne saurait trop bien se cacher."")","('#micene', ""On écoute aisément Jupiter qui soupire. C'est un amant qu'on ose mépriser. Et du plus grand des coeurs Ce glorieux empire  Est difficile à mépriser."")",0.27,Substitution
52,"('#atys', ""On voit dans ces campagnes Tous nos phrygiens s'avancer."")",,1.0,Insertion
53,"('#doris', 'Je vais prendre soin de presser Les nymphes nos compagnes.')","('#io', ""Lorsqu'on me presse de me rendre Aux attraits d'un amour nouveau, Plus le charme est puissant Et plus il serait beau De pouvoir m'en défendre. Quoi ! tu veux me quitter ? Doù vient ce soin pressant ?"")",0.45,Substitution
54,,"('#micene', ""C'est pour vous seule ici que Mercure descend."")",1.0,Deletion
55,,"('#mercure', ""Le Dieu puissant qui lance le tonnerre  Et qui des cieux tient le sceptre en ses mains A résolu de venir sur la terre Chasser les maux qui troublent les humains. Que la terre avec soin à cet honneur réponde Échos retentissez dans ces lieux pleins d'appas, Annoncez qu'aujourd'hui pour le bonheur du monde, Jupiter descends ici-bas."")",1.0,Deletion
56,"('#atys', 'Sangaride, ce jour est un grand jour pour vous.')","('#choeur-des-divinites', ""Échos retentissez dans ces lieux pleins d'appas, Annoncez qu'aujourd'hui pour le bonheur du monde, Jupiter descends ici-bas."")",1.49,Substitution
57,"('#sangaride', ""Nous ordonnons tous deux la fête de Cybèle, L'honneur est égal entre nous."")","('#mercure', ""C'est ainsi que Mercure Pour abuser les Dieux jaloux Doit parler hautement à toute la nature. Mais il doit s'expliquer Autrement avec vous; C'est pour vous voir, C'est pour vous plaire, Que Jupiter descend du céleste séjour. Et les biens qu'ici bas sa présence va faire Ne seront dûs qu'à son amour."")",1.38,Substitution
58,"('#atys', 'Ce jour même, un grand roi doit être votre époux Je ne vous vis jamais si contente et si belle ; Que le sort du roi sera doux !')","('#isis', ""Pourquoi du haut des cieux,  Ce Dieu veut-il descendre ?  Mes voeux sont engagés. Mon coeur a fait un choix L'amour tôt ou tard doit prétendre Que tous les coeurs se rangent sous ses lois. C'est un hommage qu'il faut rendre Mais assez de le rendre une fois."")",0.99,Substitution
59,"('#sangaride', ""L'indifférent Atys n'en sera point jaloux."")","('#mercure', ""Ce serait en aimant une contrainte étrange Qu'un coeur pour mieux choisir n'osât se dégager. Quand c'est pour Jupiter qu'on change Il n'est pas honteux de changer. Que tout l'univers se pare De ce qu'il a de plus rare Que tout brille dans ces lieux. Que la terre partage  L'éclat et la gloire des cieux. Que tout rende hommage  Au plus grand des dieux."")",1.02,Substitution
60,"('#atys', ""Vivez tous deux contents, c'est ma plus chère envie ; J'ai pressé votre hymen, j'ai servi vos amours. Mais enfin ce grand jour, le plus beau de vos jours, Sera le dernier de ma vie."")","('#jupiter', ""Les armes que je tiens protègent l'innocence. L'effort n'en est fâcheux qu'à l'orgueil des titans. Vous qui suivez les lois, Vivez sous ma puissance, Toujours heureux, toujours contents. Jupiter vient sur la terre. Pour la combler de bienfaits, Il est armé du tonnerre Mais c'est pour donner la paix."")",0.43,Substitution
61,"('#sangaride', 'Ô dieux !')","('#choeurs', ""Jupiter vient sur la terre. Pour la combler de bienfaits, Il est armé du tonnerre Mais c'est pour donner la paix."")",1.3,Substitution
62,"('#atys', ""Ce n'est qu'à vous que je veux révéler Le secret désespoir où mon malheur me livre ; Je n'ai que trop su feindre, il est temps de parler ; Qui n'a plus qu'un moment à vivre, N'a plus rien à dissimuler."")","('#io', ""Où suis-je ? D'où vient ce nuage ? Les ondes de mon père et son charmant rivage Ont disparu tout_à_coup à mes yeux ! Où puis-je trouver un passage ? La jalouse reine des Cieux Me fait elle si tôt acheter l'avantage De plaire au plus puissant des Dieux ? Que vois-je ? Quel éclat se répand dans ces lieux. Jupiter paraît et les nuages qui obscurcissent le théâtre, sont illuminés et peints des couleurs les plus brillantes et les plus agréables."")",0.56,Substitution
63,"('#sangaride', 'Je frémis, ma crainte est extrême ; Atys, par quel malheur faut-il vous voir périr ?')","('#jupiter', ""Vous voyez Jupiter; Que rien ne vous étonne. C'est pour tromper Junon et ses regards jaloux Qu'un nuage vous environne; Belle nymphe, rassurez-vous Je vous aime et pour vous le dire, Je sors avec plaisir de mon suprême empire. La foudre est dans mes mains, Les Dieux me font la cour, Je tiens tout l'Univers sous mon obéissance; Mais si je prétends en ce jour Engager votre coeur à m'aimer à son tour, Je fonde moins mon espérance Sur la grandeur de ma puissance Que sur l'excès de mon amour."")",0.56,Substitution
64,"('#atys', 'Vous me condamnerez vous-même, Et vous me laisserez mourir.')","('#io', ""Que sert-il qu'ici-bas votre amour me choisisse ? L'honneur me vient trop tard, j'ai formé d'autres noeuds Il fallait que ce bien pour combler tous nos voeux, Ne me coûtât point d'injustice, Et ne fit point de malheureux"")",1.06,Substitution
65,"('#sangaride', ""J'armerai, s'il le faut, tout le pouvoir suprême..."")","('#jupiter', ""C'est une assez grande gloire Pour votre premier vainqueur, D'être encore dans votre mémoire Et de me disputer si longtemps votre coeur."")",1.19,Substitution
66,"('#atys', ""Non, rien ne me peut secourir, Je meurs d'amour pour vous, je n'en saurais guérir ;"")","('#io', ""La gloire doit forcer mon coeur à se défendre. Si vous sortez du Ciel pour chercher les douceurs D'une amour tendre, Vous pouvez aisément attaquer d'autres coeurs Qui feront gloire de se rendre."")",0.77,Substitution
67,"('#sangaride', 'Quoi ? Vous ?')",,1.0,Insertion
68,"('#atys', 'Il est trop vrai.')",,1.0,Insertion
69,"('#sangaride', ""Vous m'aimez ?"")","('#jupiter', ""Il n'est rien dans les Cieux il n'est rien ici-bas De si charment que vos appas; Rien ne peut me toucher d'une flamme si forte; Belle Nymphe vous l'emportez Sur les autres beautés, Autant que Jupiter l'emporte Sur les autres Divinités ! Verrez-vous tant d'amour avec indifférence ? Quel trouble vous saisit ? Où tournez vous vos pas ?"")",1.02,Substitution
70,"('#atys', ""Je vous aime. Vous me condamnerez vous-même, Et vous me laisserez mourir. J'ai mérité qu'on me punisse, J'offense un rival généreux, Qui par mille bienfaits a prévenu mes voeux : Mais je l'offense en vain, vous lui rendez justice ; Ah ! Que c'est un cruel supplice D'avouer qu'un rival est digne d'être heureux ! Prononcez mon arrêt, parlez sans vous contraindre."")","('#io', ""Mon coeur en votre présence Fait trop peu de résistance  Contentez-vous, hélas ! D'étonner ma constance, Et n'en triomphez pas."")",0.13,Substitution
71,"('#sangaride', 'Hélas !')",,1.0,Insertion
72,"('#atys', ""Vous soupirez ? Je vois couler vos pleurs ? D'un malheureux amour plaignez-vous les douleurs ?"")","('#jupiter', 'Et pourquoi craignez vous Jupiter qui vous aime ?')",1.41,Substitution
73,"('#sangaride', 'Atys, que vous seriez à plaindre Si vous saviez tous vos malheurs !')",,1.0,Insertion
74,"('#atys', 'Si je vous perds, et si je meurs, Que puis-je encore avoir à craindre ?')","('#io', 'Je crains tout, je me crains moi-même.')",0.31,Substitution
75,"('#sangaride', ""C'est peu de perdre en moi ce qui vous a charmé, Vous me perdez, Atys, et vous êtes aimé."")","('#jupiter', 'Quoi ! voulez vous me fuir')",1.24,Substitution
76,"('#atys', ""Aimé ! Qu'entends-je ? Ô ciel ! Quel aveu favorable !"")",,1.0,Insertion
77,"('#sangaride', 'Vous en serez plus misérable.')","('#io', ""C'est mon dernier espoir."")",1.36,Substitution
78,"('#atys', ""Mon malheur en est plus affreux, Le bonheur que je perds doit redoubler ma rage ; Mais n'importe, aimez-moi, s'il se peut, d'avantage, Quand j'en devrais mourir cent fois plus malheureux."")","('#jupiter', 'Écoutez mon amour.')",1.53,Substitution
79,"('#sangaride', ""Si vous cherchez la mort, il faut que je vous suive ; Vivez, c'est mon amour qui vous en fait la loi."")","('#io', 'Écoutez mon devoir.')",1.5,Substitution
80,"('#atys', 'Hé comment ! Hé pourquoi Voulez-vous que je vive, Si vous ne vivez pas pour moi ?')","('#jupiter', 'Vous avez un coeur libre et qui peut de défendre')",1.9,Substitution
81,"('#atys #sangaride', ""Si l'hymen unissait mon destin et le vôtre, Que ses noeuds auraient eu d'attraits ! L'amour fit nos coeurs l'un pour l'autre, Faut-il que le devoir les sépare à jamais ?"")","('#io', 'Non, vous ne laissez pas mon coeur en mon pouvoir')",1.25,Substitution
82,"('#atys', 'Devoir impitoyable ! Ah quelle cruauté !')",,1.0,Insertion
83,"('#sangaride', ""On vient, feignez encor, craignez d'être écouté."")","('#jupiter', ""Quoi ! vous ne voulez pas m'entendre"")",0.9,Substitution
84,"('#atys', ""Aimons un bien plus durable Que l'éclat de la beauté : Rien n'est plus aimable Que la liberté."")","('#io', ""Je n'ai que trop de peine à ne le pas vouloir. Laissez-moi..."")",1.26,Substitution
85,"('#atys', ""Mais déjà de ce mont sacré Le sommet paraît éclairé D'une splendeur nouvelle. Sangaride s'avançant vers la montagne. La déesse descend, allons au devant d'elle."")","('#jupiter', 'Quoi si tôt.')",1.53,Substitution
86,"('#atys #sangaride', 'Commençons, commençons De célébrer ici sa fête solennelle, Commençons, commençons Nos jeux et nos chansons. Le choeur répète ces deux derniers vers.')",,1.0,Insertion
87,"('#atys #sangaride', 'Il est temps que chacun fasse éclater son zèle. Venez, reine des dieux, venez, Venez, favorable Cybèle. Les choeurs répètent ces deux derniers vers.')",,1.0,Insertion
88,"('#atys', 'Quittez votre cour immortelle, Choisissez ces lieux fortunés Pour votre demeure éternelle.')","('#io', 'Je devais moins attendre; Que ne fuyais-je hélas ! Avant que de vous voir.')",1.26,Substitution
89,"('#les-choeurs', 'Venez, reine des dieux, venez.')",,1.0,Insertion
90,"('#sangaride', 'La terre sous vos pas va devenir plus belle Que le séjour des dieux que vous abandonnez.')","('#jupiter', ""L'amour pour moi me sollicite Et je vois que vous me quittez"")",0.89,Substitution
91,"('#les-choeurs', 'Venez, favorable Cybèle.')",,1.0,Insertion
92,"('#atys #sangaride', 'Venez voir les autels qui vous sont destinés.')",,1.0,Insertion
93,"('#atys #sangaride #idas #doris #choeurs', 'Écoutez un peuple fidèle Qui vous appelle, Venez, reine des dieux, venez, Venez, favorable Cybèle.')",,1.0,Insertion
