chabanon-toison-d-or,rousseaujb-jason,Score
-,"('#jason', ""Tu connais mes malheurs Vainement je voudrais te cacher mes douleurs. Hypsipyle m'aimait mon coeur brûlait pour elle Les jours les plus heureux n'étaient faits que pour nous. Fatal devoir, gloire cruelle, Que je serais heureux sans vous ! Il fallut la quitter, cette reine si belle. La perte d'un bonheur que je trouvais si doux, Porte à mon coeur les plus sensibles coups Plus mon sort eut d'attraits, plus ma peine est mortelle. Trop cruel souvenir d'un bonheur qui n'est plus, N'offrez plus à mon coeur votre douceur passée Éloignez-vous, fuyez de ma triste pensée ; Pourquoi m'entretenir des biens que j'ai perdus ? Je guérirais des maux dont j'ai l'âme blessée, Si de mes esprits prévenus Votre image était effacée : Trop cruel souvenir d'un bonheur qui n'est plus, N'offrez plus à mon coeur votre douceur passée."")",0.0
-,"('#orphee', ""Tandis qu'en cette cour vous prodiguez vos voeux, Croirai-je qu'Hypsipyle occupe encor votre âme?"")",0.0
-,"('#jason', ""Écoute le secret de ma nouvelle flamme, Et plains mon destin rigoureux ; En perdant la Toison, le roi perd sa puissance. Pour prévenir les coups du sort, Médée a de son art employé l'assistance. Que peut contre elle un inutile effort ? Et quelle valeur indomptable De ses enchantements pourrait forcer le cours ? Pour vaincre son art redoutable L'Amour, le seul .Amour m'offre ici son secours. Cependant conçois-tu l'excès de ma tristesse ? À de feintes ardeurs j'immole ma tendresse Malgré moi je trahis un objet plein d'appas. Ah ! C'est une rigueur extrême D'être réduit à quitter ce qu'on aime Pour s'attacher à ce qu'on n'aime pas !"")",0.0
-,"('#orphee', 'Je vois paraître la princesse.')",0.0
-,"('#jason', 'Cours rassembler nos Grecs ; je te suis, laisse-nous.')",0.0
-,"('#jason', ""Princesse, où vous exposez-vous ? Ah ! Fuyez un séjour d'horreur et de tristesse."")",0.0
-,"('#medee', ""Je ne viens point, par un indigne effroi Arrêter en ces lieux l'ardeur qui vous anime ; Partez, volez, courez servir le Roi : Aux héros tels que vous, c'est un soin légitime. Plus votre coeur est magnanime, Et plus il est digne de moi."")",0.0
-,"('#jason', ""Ne puis-je obéir à ma gloire Qu'en quittant l'objet que je sers ? Tous les honneurs de la victoire Pourront-ils me payer des douceurs que je perds ?"")",0.0
-,"('#medee', ""Vous m'aimez, votre ardeur, m'est chère Je frémis des périls où vous allez courir Mais le devoir l'ordonne, il lui faut obéir, Et l'amour doit se taire. Adieu, Jason, évitez-moi Je sens redoubler mes alarmes ; Fuyez de dangereuses larmes ; Je crains pour vous le trouble où je me vois."")",0.0
-,"('#jason #medee', ""Ah ! Quelle peine extrême De quitter ce qu'on aime ! Que mon sort serait doux, S'il ne fallait jamais me séparer de vous."")",0.0
-,"('#combattants', ""Courons, courons où l'honneur nous appelle, Remplissons tout de sang et de terreur ; Que le trépas, le carnage et l'horreur Nous ouvrent les chemins d'une gloire immortelle."")",0.0
-,"('#medee', 'Que de cris furieux Se font entendre dans ces lieux !')",0.0
-,"('#combattants', 'Que notre ardeur se renouvelle, Sous nos funestes traits, tombez, audacieux.')",0.0
-,"('#medee', 'Ô dieux ! Ô justes Dieux ! Quelle rage cruelle !')",0.0
-,"('#combattants', 'Que notre ardeur se renouvelle Sous nos funestes traits, tombez, audacieux !')",0.0
-,"('#medee', ""Quelle horreur ! Quelle triste image ! Mon coeur se sent glacer d'effroi. Peut-être en cet instant mon amant ou le Roi... Ô ciel détourne un si cruel présage ! C'est à toi seul que j'ai recours, Mon art de leurs destins ne peut changer le cours, Je mets mon seul espoir en ta bonté suprême, Conserve-moi tout ce que j'aime ; Juste ciel ! Prends soin de leurs jours, J'implore ton secours. Mais tout redouble ici mon désespoir extrême."")",0.0
-,"('#combattants', ""Périssez tous, périssez tous, Cédez à l'effort de nos coups."")",0.0
-,"('#le-roi', ""Le calme va bientôt succéder à l'orage ; Nous triomphons, ma fille, et le Scythe est soumis. Jason poursuit encore un reste d'ennemis, Qui ne saurait longtemps occuper son courage : Vous allez revoir ce vainqueur, Moins satisfait de sa victoire Que sensible à la gloire D'avoir su toucher votre coeur."")",0.0
-,"('#jason', ""Vos ennemis, livrés au destin de la guerre, De leur perfide sang ont fait rougir la terre. Leur roi seul échappé de ce désordre affreux, Traînait de ses soldats les débris malheureux Nos Grecs n'ont songé qu'à le suivre ; Je l'ai joint dans ce bois et sa mort vous délivre D'un ennemi si dangereux."")",0.0
-,"('#le-roi', ""Après ce grand exploit, est-il en ma puissance De payer vos rares bienfaits ? Prescrivez en la récompense; Et quel_que_soit le prix qu'exigent vos souhaits, Soyez sûr des effets de ma reconnaissance. Et vous, peuples, chantez l'invincible héros Qui vous assure un plein repos."")",0.0
-,"('#le-roi #medee', 'Pour célébrer sa gloire, Réunissons nos voix La paix et la victoire Sont les fruits glorieux de ses fameux exploits.')",0.0
-,"('#le-choeur', 'Pour célébrer sa gloire, Réunissons nos voix La paix et la victoire Sont les fruits glorieux de ses fameux exploits.')",0.0
-,"('#jason #medee', ""Il est temps de bannir les larmes, Jouissons d'un sort plein de charmes. Le ciel rend nos voeux satisfaits : Tout cède à l'effort de nos armes. Après de mortelles alarmes, Qu'il est doux de s'aimer en paix !"")",0.0
-,"('#suivantes-de-medee', ""Les Dieux ont pour nous Fait éclater leur puissance, Nos voisins jaloux Sont soumis sans résistance ; De leur courroux Ne craignons plus les atteintes ; Un sort plus doux Finit le cours de nos plaintes ; Que de plaisirs Vont s'offrir à nos désirs !"")",0.0
-,"('#le-choeur', 'La paix va régner sur la terre : Vivons heureux, profitons des beaux jours : Les funestes cris de la guerre Vont faire place aux doux chants des amours.')",0.0
-,"('#jason', ""Laisse-moi respirer, malheureuse contrainte, Funeste effet d'une odieuse feinte, Triste remords qui vient me déchirer, Laisse-moi respirer. Quelle honte, grands Dieux ! Ah ! Quel supplice extrême ! Je feins de haïr ce que j'aime, Et d'adorer ce que je hais. Je trahis Hypsipyle, et Médée, et moi-même : Quelle honte, grands Dieux ! Ah ! Quel supplice extrême ! Mais quoi ? Ce riche don que je m'étais promis, Sans ce secours ne peut m'être permis Tout m'annonce une mort affreuse. Que dis-je ? Ah ! Bannissons une terreur honteuse, Ce prix serait trop acheté, S'il fallait l'obtenir par une indignité. Ma feinte à la Princesse a trop fait d'injustice N'abusons plus de sa crédulité. Je vais, par un aveu dépouillé d'artifice, Faire éclater la vérité. Mais quels concerts se font entendre ? Quelle Divinité dans ces lieux va descendre ?"")",0.0
-,"('#venus', ""Vénus s'intéresse à ton sort, Garde-toi d'écouter le dangereux transport Où ton coeur s'abandonne. L'Amour veut par tes soins être victorieux, Tu dois suivre ce qu'il ordonne, La vertu des mortels est d'obéir aux Dieux."")",0.0
-,"('#jason', ""C'en est trop, déesse charmante, Je vais, sans balancer, répondre à votre attente."")",0.0
-,"('#le-roi', ""Prince il faut m'acquitter de ce que je vous dois. La princesse vous a su plaire, De mon trône, affermi par vos fameux exploits Recevez le juste salaire : Je veux que l'hymen en ce jour Soit le prix de votre victoire ; Joignez aux honneurs de la gloire Les douceurs de l'amour."")",0.0
-,"('#jason', ""Quel prix d'une flamme si belle ? Que mon destin a de douceur ! Après un tel bienfait, m'est-il permis, Seigneur, De me flatter d'une grâce nouvelle ? Nos Grecs ont partagé mes soins et mes travaux: Ils doivent partager votre reconnaissance ; Daignez encore à ces héros Accorder une récompense."")",0.0
-,"('#le-roi', ""Parlez, et quelque bien qui flatte ici leurs yeux, Ils seront satisfaits j'en atteste les Dieux."")",0.0
-,"('#jason', 'Tant que le ciel pour eux répandra sa lumière, Rien ne peut les toucher que la riche toison.')",0.0
-,"('#le-roi', 'Dieux que me dites-vous ?')",0.0
-,"('#medee', 'Ah ! Perfide Jason !')",0.0
-,"('#jason', 'Daignez à leur valeur guerrière Ouvrir cette noble carrière.')",0.0
-,"('#medee', 'Juste ciel, quelle trahison !')",0.0
-,"('#le-roi', 'Quoi, prince, ignorez-vous que la Toison ravie Met en péril et mon sceptre et ma vie ; En voulez-vous précipiter la fin ? Et pourquoi vous charger des ordres du destin ?')",0.0
-,"('#jason', ""Le Dieu du jour vous donna la naissance, Un grand peuple est soumis à votre obéissance ; Vos ennemis gémissent dans vos fers, Tout comble ici votre bonheur extrême : Vous n'avez plus à craindre un funeste revers, Votre sort désormais dépendra de vous-même. Pour nous, qu'un fier tyran tient ses lois soumis, Tel est le malheur qui nous presse, Qu'une honteuse mort nous attend dans la Grèce Si de notre retour la Toison n'est le prix."")",0.0
-,"('#le-roi', ""Mais savez-vous qu'un projet si coupable Rend votre perte inévitable ? Quelle fureur vous porte à chercher le trépas ?"")",0.0
-,"('#jason', ""La mort ne nous étonne pas. Plus le péril est redoutable, Et plus la victoire a d'appas."")",0.0
-,"('#le-roi', ""J'ai juré de vous satisfaire Je ne saurais m'en dégager Puisqu'un avis sincère Ne saurait vous changer, Allez exécuter un dessein téméraire Les Dieux prendront le soin de me venger."")",0.0
-,"('#jason', ""Dans quel mortel chagrin un tel discours me laisse ? Que je sens un cruel tourment ? Vous me fuyez, chère princesse Quoi ! M'abandonnez-vous en cet accablement ?"")",0.0
-,"('#medee', ""Je fuis un traître, un infidèle, Qui n'a que trop mérité mon courroux."")",0.0
-,"('#jason', ""Plaignez plutôt ma fortune cruelle, Du plus ardent amour mon coeur ressent les coups, Mais je ne puis trahir la gloire qui m'appelle. Si je dois vivre pour vous. Je dois vivre aussi pour elle."")",0.0
-,"('#medee', ""Contre un Roi généreux, qui par mille bienfaits S'empresse à combler tes souhaits, Former un dessein perfide, Traître, sont-ce là les effets De la gloire qui te guide ?"")",0.0
-,"('#jason', 'Exilés du climat qui nous donna le jour, Un serment solennel engage notre gloire À méditer notre retour Par cette éclatante victoire.')",0.0
-,"('#medee', ""Malheureux ! J'ai pitié de ta témérité, Tu cours à ta perte certaine. Apprends en quelle extrémité Ton funeste dessein t'entraîne. Deux taureaux indomptés sont les premiers remparts Qui défendent le champ de Mars. La flamme qui se mêle à leur brûlante haleine Forme autour d'eux un affreux tourbillon ; Il faut forcer leur fureur inhumaine À tracer sur la plaine un pénible sillon. Aussitôt du sein de la terre, Tes yeux verront de toutes parts Sortir des escadrons épars, Qui se rassembleront pour te livrer la guerre. Ce n'est pas tout encore : un dragon furieux Fait dans ce lieu terrible une garde constante ; Jamais le doux sommeil n'approcha de ses yeux : Rien ne saurait tromper sa fureur vigilante. La mort, la plus cruelle mort Sera le prix de ton audace."")",0.0
-,"('#jason', 'Non, non. je ne crains point le coup qui me menace, Mon courage et les Dieux sont garants de mon sort.')",0.0
-,"('#medee', ""C'en est donc fait, volage ! Puisque mes soins sont superflus, Va, cours ; je ne te retiens plus ; Achève d'accomplir un projet qui m'outrage ; Mais après les périls dont je t'ai peint l'horreur Redoute encor Médée et sa fureur."")",0.0
-,"('#jason', ""Vaine fureur, impuissante colère ! Non, non, ce n'est pas toi qui causes mes tourments ; Je souffre beaucoup plus de l'indigne mystère Qui cache ici mes sentiments : Vaine fureur, impuissante colère, Non, non, ce n'est pas toi qui causes mes tourments ; Quelle pompe éclatante S'approche de ces bords ! D'où naissent ces nouveaux accords ; À mes regards surpris quel objet se présente 1 C'est Hypsipyle, ô Ciel ! en croirai-je mes yeux ; Quel sort l'a conduite en ces lieux ? Mon âme confuse éperdue, Soutiendra-t-elle encor sa vue ? Elle vient, je la vois, Dieux qui l'avez permis, Sont-ce là les secours que vous m'aviez promis ?"")",0.0
-,"('#hypsipile', ""Enfin je vous revois et mon âme interdite... Que vois-je ? Et quelle est ma douleur ? Quoi ! Jason me voit et m'évite ! Un noir pressentiment s'empare de mon c?ur ; Ô Neptune ! En ces lieux ne m'auriez-vous conduite Que pour voir de plus près son crime et mon malheur ? Soupçons mal éclaircis, jalouse inquiétude, Ah que vous déchirez mon coeur ! Que ne prouvez-vous mieux sa noire ingratitude, Sans tenir mon âme en langueur! Soupçons mal éclaircis, jalouse inquiétude, Ah ! Que vous déchirez mon coeur ? Si des maux de l'amour l'absence est le plus rude, J'en ai soutenu la rigueur; Mais le mal que je souffre en cette incertitude De tout mon courage est vainqueur : Soupçons mal éclaircis, jalouse inquiétude, Ah ! Que vous déchirez mon c?ur !"")",0.0
-,"('#neptune', ""N'accuse plus ton héros d'inconstance. Son coeur t'aime toujours avec sincérité, Sur les rapports trompeurs d'une vaine apparence, Ne doute plus de sa fidélité. Divinités qui régnez sur les ondes, Néréides, Tritons, Dieux soumis à mes lois, Quittez vos retraites profondes, Venez remplir ces lieux du bruit de votre voix ; Et vous, peuples de ce rivage, Par vos jeux et par vos concerts Rendez à cette reine un éclatant hommage ; Jamais Vénus, sortant du sein des mers Ne fit voir à vos yeux un plus riche assemblage De grâces et d'attraits divers."")",0.0
-,"('#le-choeur', ""Par nos jeux et par nos concerts Rendons à cette reine un éclatant hommage ; Jamais Vénus, sortant du sein des mers, Ne fit voir à nos yeux un plus riche assemblage De grâces et d'attraits divers."")",0.0
-,"('#une-nereide', ""Toujours l'Empire des mers N'est pas sujet au naufrage, Toujours les vents et l'orage N'éclatent pas dans les airs : Mais dans l'amoureux empire Incessamment on soupire."")",0.0
-,"('#le-choeur', ""Chantons une reine si belle, Célébrons ses attraits charmants. Signalons par nos chants L'ardeur de notre zèle. Que le Dieu des amants, Qui dans ces lieux l'appelle, Forme toujours pour elle Les plus heureux moments."")",0.0
