,diderot-est-il-bon-est-il-mechant,diderot-piece-prologue,Cost,Operation Type
52,"('#madame-de-vertillac', ""Tant mieux.  J'ai à lui parler d'une affaire qui me tient fort à coeur.  Ne connaît-il pas ce marquis...  Ce grand flandrin de marquis, à qui il ne manquait qu'un ridicule, celui de la bigoterie, et qui va le dos courbé, la tête penchée comme un homme qui médite les années éternelles, avec un énorme bréviaire sous le bras ?..."")",,1.0,Insertion
53,"('#madame-de-chepy', 'Le Marquis de Tourvelle ?')",,1.0,Insertion
54,"('#madame-de-vertillac', 'Lui-même.')",,1.0,Insertion
55,"('#madame-de-chepy', ""Je l'ignore. Ici Mademoiselle Beaulieu entre avec le laquais."")",,1.0,Insertion
56,"('#madame-de-vertillac', ""Je vais prendre un peu de repos dont j'ai grand besoin ; m'habiller et revenir.  Vous me donnerez votre marchande de mode, et votre coiffeur, n'est-ce pas ?  Vous voilà fraîche comme la rose, et je compte bien qu'un de ces matins vous me confierez le secret de se bien porter et de ne point vieillir.  Au plaisir de vous revoir...  Mais ne m'avez-vous pas dit que je pouvais vous être utile ?  À quoi."")",,1.0,Insertion
57,"('#madame-de-vertillac', 'Vous le saurez.  Ne tardez pas de revenir.')",,1.0,Insertion
58,"('#madame-de-chepy', 'Elle est un peu folle ; et elle en fait les rôles à ravir.  Et vous, dans quelle pièce avez-vous joué.')","('#madame-de-chepy', 'Dans quelle pièce avez-vous joué ?')",0.16,Substitution
59,"('#mademoiselle-beaulieu', 'Dans le Bourgeois Gentilhomme, la Pupille, le Philosophe sans le savoir, Cénie, le Philosophe marié.')","('#mademoiselle-beaulieu', 'Dans le Bourgeois gentilhomme, la Pupille, Cénie, le Philosophe marié.')",0.0,Match
60,"('#madame-de-chepy', 'Et dans celle-ci, que faisiez-vous.')","('#madame-de-chepy', 'Et que faisiez-vous dans celle-ci ?')",0.0,Match
61,"('#mademoiselle-beaulieu', 'Finette.')","('#mademoiselle-beaulieu', 'Finette.')",0.0,Match
62,"('#madame-de-chepy', ""Vous rappelleriez-vous un endroit...  Un certain endroit où Finette fait l'apologie des femmes."")","('#madame-de-chepy', ""Vous rappelleriez-vous l'endroit... là, un endroit où Finette..."")",0.0,Match
63,,"('#mademoiselle-beaulieu', ""Fait l'apologie des femmes ?"")",1.0,Deletion
64,,"('#madame-de-chepy', 'Précisément.')",1.0,Deletion
65,"('#mademoiselle-beaulieu', 'Je le crois.')","('#mademoiselle-beaulieu', 'Je le crois.')",0.0,Match
66,"('#madame-de-chepy', 'Récitez-le.')","('#madame-de-chepy', 'Dites-le.')",0.42,Substitution
67,"('#mademoiselle-beaulieu', ""Soit, mais telles que nous sommes, Avec tous nos défauts, nous gouvernons les hommes, Même les plus huppés ; et nous sommes l'écueil Où viennent échouer la sagesse et l'orgueil. Vous ne nous opposez que d'impuissantes armes. Vous avez la raison, et nous avons les charmes. Le brusque philosophe, en ses sombres humeurs, Vainement contre nous élève ses clameurs ; Ni son air renfrogné, ni ses cris, ni ses rides, Ne peuvent le sauver de nos yeux homicides. Comptant sur sa science et ses réflexions Il se croit à l'abri de nos séductions ; Une belle paraît, lui sourit et l'agace ? Crac.  Au premier assaut, elle emporte la place."")","('#mademoiselle-beaulieu', ""Soit. Mais, telles que nous sommes, Avec tous nos défauts nous gouvernons les hommes, Même les plus huppés, et nous sommes l'écueil Où viennent échouer la sagesse et l'orgueil. Vous ne nous opposez que d'impuissantes armes ; Vous avez la raison, et nous avons les charmes. Le brusque philosophe, en ses sombres humeurs, Vainement contre nous élève ses clameurs; Ni son air renfrogné, ni ses cris, ni ses rides, Ne peuvent le sauver de nos yeux homicides. Comptant sur sa science et ses réflexions, Il se croit à l'abri de nos séductions : Une belle paraît, lui sourit et l'agace ; Crac... au premier assaut, elle emporte la place."")",0.0,Match
68,"('#madame-de-chepy', 'Mais pas mal.  Point du tout mal.')","('#madame-de-chepy', 'Mais pas mal ; point du tout mal.')",0.0,Match
69,"('#mademoiselle-beaulieu', 'Est-ce que madame se proposerait de faire jouer une pièce ?')","('#mademoiselle-beaulieu', 'Est-ce que madame se proposerait de faire jouer une pièce ?')",0.0,Match
70,"('#madame-de-chepy', 'Tout juste.')","('#madame-de-chepy', 'Tout juste.')",0.0,Match
71,"('#mademoiselle-beaulieu', 'Oserais-je lui en demander le titre ?')","('#mademoiselle-beaulieu', 'Oserai-je, Madame, vous en demander le titre ?')",0.0,Match
72,"('#madame-de-chepy', ""Le titre ?  Je ne le sais pas.  Elle n'est pas faite."")","('#madame-de-chepy', ""Le titre !  Je ne le sais pas.  Elle n'est pas faite."")",0.0,Match
73,"('#mademoiselle-beaulieu', 'On la fait apparemment.')","('#mademoiselle-beaulieu', 'On la fait apparemment.')",0.0,Match
74,"('#madame-de-chepy', 'Non, je cherche un auteur.')","('#madame-de-chepy', 'Non.  Je cherche un auteur.')",0.0,Match
75,"('#mademoiselle-beaulieu', ""Madame ne sera embarrassée que du choix ; elle en a cinq ou six autour d'elle."")","('#mademoiselle-beaulieu', ""Madame ne sera embarrassée que du choix ; elle en a cinq ou six autour d'elle."")",0.0,Match
76,"('#madame-de-chepy', ""Si vous saviez combien ces animaux-là sont quinteux !  Chacun d'eux aura sa défaite."")","('#madame-de-chepy', ""Si vous saviez combien ces animaux-là sont quinteux.  Chacun d'eux aura sa défaite."")",0.0,Match
77,"('#mademoiselle-beaulieu', ""Mais j'avais ouï dire que c'était une chose difficile à faire qu'une pièce."")","('#mademoiselle-beaulieu', ""Mais j'avais ouï dire que c'était une chose difficile à faire qu'une pièce."")",0.0,Match
78,"('#madame-de-chepy', 'Oui ; comme on les faisait autrefois.')","('#madame-de-chepy', 'Oui, comme on les faisait autrefois.')",0.0,Match
79,"('#madame-de-chepy', ""Et vous revenez, sans m'amener personne ?"")","('#madame-de-chepy', ""Et vous revenez sans m'amener personne ?"")",0.0,Match
80,"('#picard', 'Ahi !  Ahi !')","('#picard', 'Ahi !  Ahi !')",0.0,Match
81,"('#madame-de-chepy', ""Ahi !  Ahi !  il s'agit bien de cela.  Mes ouvriers ?"")","('#madame-de-chepy', ""Ahi !  Ahi !  Il s'agit bien de cela.  Mes ouvriers ?"")",0.0,Match
82,"('#picard', ""Je ne les ai pas vus.  Il y a quatre marches à la porte de ce maudit tapissier.  J'ai voulu les enjamber toutes quatre à la fois ; le pied m'a tourné ; je me suis donné une bonne entorse.  Ahi !  Ahi !"")","('#picard', ""Je ne les ai pas vus.  Il y a quatre marches à la porte du tapissier ; j'ai voulu les enjamber toutes quatre à la fois ; le pied m'a tourné et je me suis donné une bonne entorse.  Ahi ! ahi !"")",0.0,Match
83,"('#madame-de-chepy', ""Peste soit du sot, et de son entorse.  Qu'on fasse venir Valdejou, et qu'il voie à cela."")","('#madame-de-chepy', ""Peste soit du sot et de son entorse.  Qu'on fasse venir Valdajou, et qu'il voie à cela."")",0.0,Match
84,"('#madame-de-chepy', ""Ces contrariétés-là ne sont faites que pour moi.  Au lieu de se donner une entorse aujourd'hui, que ne se cassait-il la jambe dans quatre jours !  Cela prend toujours mal son temps."")","('#madame-de-chepy', ""Ces contrariétés-là ne sont faites que pour moi.  Au lieu de se donner une entorse aujourd'hui, que ne se cassait-il la jambe dans quatre jours !"")",0.0,Match
85,"('#mademoiselle-beaulieu', ""Mais puisque Madame n'a point de pièce et qu'elle ne sait pas même, si elle en aura une, il me semble..."")","('#mademoiselle-beaulieu', ""Mais puisque Madame n'a point de pièce, et qu'elle ne sait pas même si elle en aura une, il me semble."")",0.0,Match
86,"('#madame-de-chepy', ""Il vous semble !  Il vous semble !  Il me semble à moi qu'il faudrait se taire.  Je n'aime pas qu'on me raisonne.  Je sais toujours ce que je fais."")","('#madame-de-chepy', ""Il vous semble !  Il me semble qu'il faudrait se taire ; je n'aime pas qu'on me raisonne.  Je sais toujours ce que je fais."")",0.0,Match
87,"('#mademoiselle-beaulieu', 'Et ce que vous dites.')","('#mademoiselle-beaulieu', 'Et ce que vous dites.')",0.0,Match
88,"('#flamand', ""Madame, je viens...  C'est, je crois, de chez Monsieur Hardouin...  Oui, Hardouin...  Là, au coin de la rue...  Au coin de la rue qu'elle m'a dite...  Il demeure diablement haut ; et son escalier était diablement difficile à grimper...  un petit escalier étroit.  À chaque marche on touche à la muraille ou la rampe...  J'ai cru que je n'arriverais jamais...  J'arrive pourtant...  « Parlez donc, mademoiselle ; cette porte n'est-ce pas celle de Monsieur, de Monsieur ?...  Qui, Monsieur », me répond une petite voisine... jolie, pardieu, très jolie ; « un monsieur qui fait des vers ?...  Oui, des vers...  Frappez, mais frappez fort, il est rentré tard, et je crois qu'il dort. » En se dandinant comme un homme ivre."")","('#flamand', ""Madame, je viens...  C'est, je crois, de chez Monsieur Hardouin...  Oui, Monsieur Hardouin...  Là, au coin de la rue... de la rue qu'elle m'a dite...  Il demeure diablement haut, et son escalier était diablement difficile à grimper...  Un petit escalier étroit. À chaque marche on touche la muraille et la rampe...  J'ai cru que je n'arriverais jamais...  J'arrive pourtant...  Parlez donc, mademoiselle, cette porte, n'est-elle pas celle de monsieur ?  Qui, monsieur ? me répond une petite voisine... Jolie, pardieu, très jolie !  Un monsieur qui fait des bouteilles...  Des vers, vous voulez dire ?...  Des vers, des bouteilles, qu'importe...  Oui, c'est là : frappez ; mais frappez fort.  Il est rentré tard, et je crois qu'il dort. En se dandinant comme un homme ivre."")",0.0,Match
89,"('#madame-de-chepy', 'Maudite brute, archibrute, finiras-tu ton bavardage.  Viendra-t-il ?  Ne viendra-t-il pas.')","('#madame-de-chepy', 'Maudite brute, archibrute, finiras-tu ton bavardage ?  Viendra-t-il ?  Ne viendra-t-il pas ?')",0.0,Match
90,"('#flamand', ""Mais, madame, il n'est pas encore éveillé.  Il faut d'abord que je l'éveille...  Je me dispose à donner un grand coup de pied dans sa porte...  et voilà la tête qui part la première ; la porte jetée en dedans ; moi, Flamand, étendu à la renverse ; le faiseur de vers s'élançant de son lit, en chemise, écumant de rage, sacrant, jurant et jurant avec une grâce !  Au demeurant bon homme, il me relève...  Mon ami, ne t'es-tu point blessé.  Voyons ta tête."")","('#flamand', ""Mais, madame, il n'est pas encore éveillé ; il faut d'abord que je l'éveille.  Je me dispose à donner un grand coup de pied... et voilà la tête qui part la première, et la porte jetée en dedans, et moi étendu à la renverse...  Et voilà le faiseur de bouteilles ou de vers qui s'élance de son lit, en chemise, écumant de rage, sacrant, jurant... avec une grâce !  Au demeurant, bon homme, il me relève...  Mon ami, ne t'es-tu point blessé ?...  Voyons ta tête."")",0.0,Match
91,"('#madame-de-chepy', ""Finis, finis, finis.  Que t'a-t-il dit ?  Que lui as-tu dit ?"")","('#madame-de-chepy', ""Finis, finis, finis.  Que t'a-t-il dit ?  Que lui as-tu dit ?"")",0.0,Match
92,"('#flamand', ""Est-ce que madame ne pourrait pas faire ses questions l'une après l'autre.  Tant de questions à la fois, cela me brouille."")","('#flamand', ""Est-ce que madame ne pourrait pas faire ses questions l'une après l'autre ?...  Je lui ai dit que madame... Madame... comme vous vous appelez... là, votre nom."")",0.0,Match
93,"('#madame-de-chepy', ""Je n'y tiens plus."")",,1.0,Insertion
94,"('#flamand', 'Je lui ai dit que Madame...  Madame...  Comme vous vous appelez...  Là, votre nom...')",,1.0,Insertion
95,"('#madame-de-chepy', 'Sortez, vilain ivrogne.')","('#madame-de-chepy', 'Sortez, vilain ivrogne.')",0.0,Match
96,"('#flamand', ""Moi, Flamand, un ivrogne !...  Parce que je rencontre mon compère, celui qui a tenu le dernier enfant de ma femme...  Oui, de ma femme...  Il est bien d'elle...  Et puis voilà un autre compère, le compère La Haye...  Comment résister à deux compères ?  À deux compères."")","('#flamand', ""Moi, Flamand, un ivrogne !...  Parce que je rencontre mon compère, celui qui a tenu le dernier enfant de ma femme...  Oui, de ma femme...  Il est bien d'elle...  Et puis voilà un autre compère, le compère Lahaye...  Comment résister à deux compères ?"")",0.0,Match
97,"('#madame-de-chepy', 'Je les chasserai tous.  Cela est décidé.')","('#madame-de-chepy', 'Je les chasserai tous, cela est décidé.')",0.0,Match
98,"('#flamand', ""Si madame est si difficile ; elle n'en gardera point."")","('#flamand', ""Si madame est si difficile, elle n'en gardera point."")",0.0,Match
99,"('#madame-de-chepy', ""L'un s'éclope ; l'autre s'enivre et se fend la tête.  Qu'on est à plaindre de ne pouvoir s'en passer !"")","('#madame-de-chepy', ""L'un s'éclope, l'autre s'enivre et se fend la tête.  Qu'on est malheureux de ne pouvoir s'en passer !"")",0.0,Match
100,"('#flamand', ""Hé, madame, le voilà...  Je le reconnais : c'est lui ; Monsieur...  Monsieur le faiseur de vers, n'est-ce pas ?...  C'est, ma foi, bien heureux."")","('#flamand', ""Hé !  Madame, le voilà... je le reconnais... c'est lui... c'est, ma foi, bienheureux."")",0.01,Substitution
101,"('#madame-de-chepy', ""Mademoiselle, si vous n'avez pas la charité de lui donner le bras, il ne sortira jamais d'ici."")","('#madame-de-chepy', ""Mademoiselle, si vous n'avez pas la bonté de lui donner le bras, il ne sortira jamais d'ici."")",0.0,Match
102,"('#monsieur-hardouin', 'Si ma porte eût résisté, il était mort.')","('#monsieur-hardouin', ""Si ma porte n'avait pas cédé il était mort."")",0.0,Match
103,"('#flamand', 'Allons, mademoiselle, obéissez à votre maîtresse.  Donnez-moi le bras...  Comme il est rond !...  Comme il est ferme !...')","('#flamand', 'Allons, mademoiselle, obéissez à votre maîtresse.  Donnez-moi le bras.  Comme il est rond !  Comme il est ferme !...')",0.0,Match
104,"('#monsieur-hardouin', 'Il a la tête dure et le coeur tendre.')","('#monsieur-hardouin', 'Il a la tête dure et le coeur tendre.')",0.0,Match
105,"('#flamand', 'Madame, puisque mademoiselle fait tout ce que vous lui dites...')","('#flamand', 'Madame, puisque mademoiselle fait tout ce que vous lui dites...')",0.0,Match
106,"('#madame-de-chepy', 'Tirez, tirez, insolent.')","('#madame-de-chepy', 'Tirez, tirez, insolent.')",0.0,Match
107,"('#monsieur-hardouin', 'Est-ce de votre part que ce laquais est venu ?')","('#monsieur-hardouin', 'Est-ce de votre part que ce laquais est venu ?')",0.0,Match
108,"('#madame-de-chepy', 'Oui.')","('#madame-de-chepy', 'Oui.')",0.0,Match
109,"('#monsieur-hardouin', ""Si je l'ai deviné, ce n'est pas de sa faute ; car il ne savait à qui il était ; d'où il venait, ce qu'il voulait."")","('#monsieur-hardouin', ""Ce n'est pas de sa faute si je l'ai deviné ; car il ne savait à qui il était, d'où il venait, ce qu'il voulait."")",0.0,Match
110,"('#madame-de-chepy', 'Puis comptez sur ces maroufles-là !')","('#madame-de-chepy', 'Puis fiez-vous à ces maroufles-là.')",0.0,Match
111,"('#monsieur-hardouin', ""Il m'a fait grand tort.  Je dormais si bien, et j'en avais si grand besoin.  Il était près de cinq heures, quand je suis rentré, après la journée la plus ennuyeuse et la plus fatigante.  Imaginez la lecture d'un drame détestable, comme ils sont tous ; la compagnie la plus triste, un souper maussade, et qui ne finissait point ; et un breland cher où j'ai perdu la possibilité, et essuyé la mauvaise humeur de gagnants dépités à chaque coup de n'avoir pas gagné davantage."")","('#monsieur-hardouin', ""Il m'a fait grand tort.  Je dormais si bien, et j'en avais si grand besoin !  Il était près de cinq heures quand je suis rentré, après la journée la plus ennuyeuse et la plus fatigante.  Imaginez donc la lecture d'un drame détestable, comme ils sont tous, la compagnie la plus triste, un souper maussade, et qui ne finissait point, et un brelan cher où j'ai perdu la possibilité, et essuyé la mauvaise humeur des gagnants, fâchés à tout coup de ne pas gagner davantage."")",0.0,Match
112,"('#madame-de-chepy', ""C'est bien fait ; que ne veniez-vous ici."")","('#madame-de-chepy', ""C'est bien fait ; que ne veniez-vous ici ?"")",0.0,Match
113,"('#monsieur-hardouin', ""M'y voilà ; et toutes mes disgrâces seront bientôt oubliées, si je puis vous être de quelque utilité.  De quoi s'agit-il ?"")","('#monsieur-hardouin', ""M'y voilà ; et toutes mes disgrâces seront bientôt oubliées, si je puis vous être de quelque utilité ; de quoi s'agit-il ?"")",0.0,Match
114,"('#madame-de-chepy', 'De me rendre le plus important service.  Vous connaissez Madame de Malves.')","('#madame-de-chepy', 'De me rendre le plus important service.  Vous connaissez Madame de Malves ?')",0.0,Match
115,"('#monsieur-hardouin', ""Non pas personnellement ; mais on lui accorde d'une voix assez unanime de la finesse dans l'esprit, de la gaité douce, du goût, de la connaissance dans les beaux arts, un grand usage du monde, et un jugement sûr et exquis."")","('#monsieur-hardouin', ""Non pas personnellement ; mais on lui accorde d'une voix unanime de la finesse dans l'esprit, de la gaieté douce, du goût, de la connaissance dans les beaux-arts, un grand usage du monde, et un jugement sûr et exquis."")",0.0,Match
116,"('#madame-de-chepy', ""Voilà les qualités qu'elle a pour tout le monde et dont je fais cas assurément ; mais je prise encore davantage celles qu'elle tient en réserve pour ses amis."")","('#madame-de-chepy', ""Voilà les qualités qu'elle a pour tout le monde, et dont je fais grand cas assurément ; mais j'estime encore plus celles qu'elle tient en réserve pour ses amis."")",0.0,Match
117,"('#monsieur-hardouin', 'Je vis avec quelques-uns qui la disent mère indulgente, bonne épouse et excellente amie.')","('#monsieur-hardouin', 'Je vis avec quelques-uns qui la disent mère tendre, excellente épouse et très bonne amie.')",0.0,Match
