,corneillet-festin-pierre,moliere-dom-juan,Cost,Operation Type
12,"('#sganarelle', ""Il s'embarrasse peu de pareilles affaires. Ce sont des tours d'esprits qui lui sont ordinaires ; Et si tu connaissais le pèlerin, crois-moi, Tu ferais peu de fond sur le don de sa foi. Ce n'est pas que je sache avec pleine assurance, Que déjà pour Elvire il sait ce que je pense. Pour un dessein secret en ces lieux appelé, Depuis son arrivée il ne m'a point parlé ; Mais par précaution je puis ici te dire, Qu'il n'est devoirs si saints dont il ne s'ose rire ; Que c'est un endurci dans la fange plongé, Un chien, un hérétique, un turc, un enragé ; Qu'il n'a ni foi ni loi ; que tout ce qui le tente..."")","('#sganarelle', ""Je n'ai pas grande peine à le comprendre moi, et si tu connaissais le pèlerin, tu trouverais la chose assez facile pour lui.  Je ne dis pas qu'il ait changé de sentiments pour Done Elvire, je n'en ai point de certitude encore : tu sais que par son ordre je partis avant lui, et depuis son arrivée il ne m'a point entretenu, mais par précaution, je t'apprends (inter nos,) que tu vois en Don Juan mon maître, le plus grand scélérat que la terre ait jamais porté, un enragé, un chien, un démon, un Turc, un hérétique, qui ne croit, ni Ciel, ni Enfer, ni Diale, qui passe cette vie en véritable bête brute, un pourceau d'Épicure, un vrai Sardanapale, qui ferme l'oreille à toutes les remontrances qu'on lui peut faire, et traite de billevesées tout ce que nous croyons.  Tu me dis qu'il a épousé ta maîtresse, crois qu'il aurait plus fait pour sa passion, et qu'avec elle il aurait encore épousé toi, son chien et son chat.  Un mariage ne lui coûte rien à contracter, il ne se sert point d'autres pièges pour attraper les belles, et c'est un épouseur à toutes mains, Dame, Demoiselle, Bourgeoise, Paysanne, il ne trouve rien de trop chaud, ni de trop froid pour lui ; et si je te disais le nom de toutes celles qu'il a épousées en divers lieux, ce serait un chapitre à durer jusques au soir.  Tu demeures surpris, et changes de couleur à ce discours ; ce n'est là qu'une ébauche du personnage, et pour en achever le portrait, il faudrait bien d'autres coups de pinceau, suffit qu'il faut que le courroux du Ciel l'accable quelque jour : qu'il me vaudrait bien mieux d'être au diable, que d'être à lui, et qu'il me fait voir tant d'horreurs, que je souhaiterais qu'il fût déjà je ne sais où ; mais un grand Seigneur méchant homme est une terrible chose ; il faut que je lui sois fidèle en dépit que j'en aie, la crainte en moi fait l'office du zèle, bride mes sentiments, et me réduit d'applaudir bien souvent à ce que mon âme déteste.  Le voilà qui vient se promener dans ce Palais ; séparons-nous ; écoute, au moins, je t'ai fait cette confidence avec franchise, et cela m'est sorti un peu bien vite de la bouche ; mais s'il fallait qu'il en vînt quelque chose à ses oreilles, je dirais hautement que tu aurais menti. "")",0.0,Match
13,"('#gusman', ""Quoi, le Ciel ni l'Enfer n'ont rien qui l'épouvante ?"")",,1.0,Insertion
14,"('#sganarelle', ""Bon, parlez-lui du Ciel, il répond d'un soeuris. Parlez-lui de l'Enfer, il met le Diable au pis ; Et parce qu'il est jeune, il croit qu'il est en âge, Où la vertu sied moins que le libertinage. Remontrance, reproche, autant de temps perdu. Il cherche avec ardeur ce qu'il voit défendu, Et ne refusant rien à Madame Nature, Il est ce qu'on appelle un Pourceau d'Épicure. Ainsi ne me dis point, sur sa légèreté, Qu'Elvire par l'hymen se trouve en sûreté, C'est peu pour bon contrat qu'il en ait fait la femme, Pour en venir à bout, et contenter sa flamme, Avec elle au besoin, par ce même contrat, Il aurait épousé toi, son chien et son chat. C'est un piège qu'il tend partout à chaque belle ; Paysanne, bourgeoise, et dame et demoiselle, Tout le charme, et d'abord pour leur donner leçon, Un mariage fait lui semble une chanson. Toujours objets nouveaux, toujours nouvelles flammes ; Et si je te disais combien il a de femmes, Tu serais convaincu que ce n'est pas en vain Qu'on le croit l'épouseur de tout le genre humain."")","('#don-juan', ""Quel homme te parlait là, il a bien de l'air ce me semble du bon Gusman de Dona Elvire. "")",1.37,Substitution
15,"('#gusman', 'Quel abominable homme !')",,1.0,Insertion
16,"('#sganarelle', ""Et plus qu'abominable. Il se moque de tout, ne craint ni Dieu ni Diable ; Et je ne doute point, comme il est sans retour, Qu'il ne soit par la foudre écrasé quelque jour. Il le mérite bien, et s'il te faut tout dire, Depuis qu'en le servant je souffre le martyre, J'en ai vu tant d'horreurs, que j'avoue aujourd'hui, Qu'il vaudrait mieux cent fois être au Diable qu'à lui."")",,1.0,Insertion
17,"('#gusman', 'Que ne le quittes-tu ?')",,1.0,Insertion
18,"('#sganarelle', ""Le quitter ! Comment faire ? Un grand Seigneur méchant est une étrange affaire. Vois-tu, si j'avais fui, j'aurais beau me cacher, Jusque dans l'Enfer même il viendrait me chercher. La crainte me retient, et ce qui me désole, C'est qu'il faut avec lui faire souvent l'idole, Louer ce qu'on déteste, et de peur du bâton, Approuver ce qu'il fait, et chanter sur son ton. Je crois dans ce palais le voir qui se promène, C'est lui. Prends garde au moins... Apercevant Don Juan."")",,1.0,Insertion
19,"('#gusman', ""Ne t'en mets point en peine."")",,1.0,Insertion
20,"('#sganarelle', ""Je t'ai conté sa vie un peu légèrement. C'est à toi là-dessus de te taire ; autrement..."")","('#sganarelle', ""C'est quelque chose aussi à peu près de cela. "")",1.46,Substitution
21,"('#gusman', 'Ne crains rien.')",,1.0,Insertion
22,"('#don-juan', ""Avec qui parlais-tu ? Pourrait-ce être Le bonhomme Gusman ? J'ai cru le reconnaître ?"")","('#don-juan', ""Quoi, c'est lui ? "")",0.28,Substitution
23,"('#sganarelle', ""Vous avez fort bien cru, c'était lui-même."")","('#sganarelle', 'Lui-même. ')",1.03,Substitution
24,,"('#don-juan', 'Et depuis quand est-il en cette ville ? ')",1.0,Deletion
25,,"('#sganarelle', ""D'hier au soir. "")",1.0,Deletion
26,"('#don-juan', 'Il vient Demander quelle affaire en ces lieux nous retient ?')","('#don-juan', ""Et quel sujet l'amène ? "")",0.15,Substitution
27,,"('#sganarelle', 'Je crois que vous jugez assez ce qui le peut inquiéter. ')",1.0,Deletion
28,"('#sganarelle', 'Il est un peu surpris de ce que sans rien dire Vous avez pu si tôt abandonner Elvire.')","('#don-juan', 'Notre départ, sans doute ? ')",1.48,Substitution
29,,"('#sganarelle', ""Le bonhomme en est tout mortifié, et m'en demandait le sujet. "")",1.0,Deletion
30,"('#don-juan', ""Que lui fais-tu penser d'un départ si prompt ?"")","('#don-juan', 'Et quelle réponse as-tu faite ? ')",0.37,Substitution
31,"('#sganarelle', ""Moi ? Rien du tout, ce n'est point mon affaire."")","('#sganarelle', ""Que vous ne m'en aviez rien dit. "")",1.35,Substitution
32,"('#don-juan', ""Mais toi, Qu'en penses-tu ?"")","('#don-juan', ""Mais encore, quelle est ta pensée là-dessus, que t'imagines-tu de cette affaire ? "")",0.0,Match
33,"('#sganarelle', 'Je crois, sans trop juger en bête, Que vous avez encor quelque amourette en tête.')","('#sganarelle', 'Moi, je crois, sans vous faire tort, que vous avez quelque nouvel amour en tête. ')",0.0,Match
34,"('#don-juan', 'Tu le crois ?')","('#don-juan', 'Tu le crois ? ')",0.0,Match
35,"('#sganarelle', 'Oui.')","('#sganarelle', 'Oui. ')",0.0,Match
36,"('#don-juan', 'Ma foi, tu crois juste, et mon coeur Pour un objet nouveau sent la plus forte ardeur.')","('#don-juan', ""Ma foi !  Tu ne te trompes pas, et je dois t'avouer qu'un autre objet a chassé Elvire de ma pensée. "")",0.78,Substitution
37,"('#sganarelle', ""Eh mon_Dieu ! J'entrevois d'abord ce qui s'y passe. Votre coeur n'aime point à demeurer en place, Et sans lui faire tort sur la fidélité, C'est le plus grand coureur qui jamais ait été. Tout est de votre goût, brune ou blonde, n'importe."")","('#sganarelle', ""Eh !  Mon_Dieu !  Je sais mon Don Juan, sur le bout du doigt, et connais votre coeur pour le plus grand coureur du monde, il se plaît à se promener de liens en liens, et n'aime guère demeurer en place. "")",0.51,Substitution
38,"('#don-juan', ""Et n'ai-je pas raison d'en user de la sorte ?"")","('#don-juan', ""Et ne trouves-tu pas, dis-moi, que j'ai raison d'en user de la sorte ? "")",0.0,Match
39,"('#sganarelle', 'Hé monsieur...')","('#sganarelle', 'Eh, Monsieur. ')",0.0,Match
40,"('#don-juan', 'Quoi ?')","('#don-juan', 'Quoi, parle ?')",1.46,Substitution
41,"('#sganarelle', ""Sans doute ; il est aisé de voir Que vous avez raison si vous voulez l'avoir ; Mais si, comme on n'est pas bon juge dans sa cause, Vous ne le vouliez pas, ce serait autre chose."")","('#sganarelle', 'Assurément que vous avez raison, si vous le voulez, on ne peut pas aller là contre ; mais si vous ne le vouliez pas, ce serait peut-être une autre affaire. ')",0.03,Substitution
42,"('#don-juan', 'Et bien, je te permets de parler librement.')","('#don-juan', 'Eh bien, je te donne la liberté de parler et de me dire tes sentiments. ')",0.0,Match
43,"('#sganarelle', ""En ce cas je vous dis très sérieusement, Qu'on trouve fort vilain qu'allant de belle en belle, Vous fassiez vanité partout d'être Infidèle."")","('#sganarelle', ""En ce cas, Monsieur, je vous dirai franchement que je n'approuve point votre méthode, et que je trouve fort vilain d'aimer de tous côtés comme vous faites. "")",0.8,Substitution
44,"('#don-juan', ""Quoi, si d'un bel Objet je suis d'abord touché, Tu veux que pour toujours j'y demeure attaché, Qu'un éternel amour de ma foi lui réponde, Et me laisse sans yeux pour le reste du monde ? Le rare et doux plaisir qui se trouve en aimant, S'il faut s'ensevelir dans un attachement, Renoncer pour lui seul à toute autre tendresse, Et vouloir sottement mourir dès sa jeunesse ! Va crois-moi, la constance était bonne jadis, Où les leçons d'aimer venaient des Amadis ; Mais à présent, on suit des lois plus naturelles. On aime sans façon tout ce qu'on voit de belles, Et l'amour qu'en nos cours la première a produit, N'ôte rien aux appas de celle qui la suit. Pour moi, qui ne saurais faire l'inexorable, Je me donne partout où je trouve l'aimable, Et tout ce qu'une belle a sur moi de pouvoir, Ne me rend point ailleurs incapable de voir. Sans me vouloir piquer du nom d'amant fidèle, J'ai des yeux pour une autre aussi bien que pour elle. Et dès qu'un beau visage a demandé mon coeur, Je ne puis me résoudre à l'armer de rigueur. Ravi de voir qu'il cède à la douce contrainte, Qui d'abord laisse en lui toute autre flamme éteinte, Je l'abandonne aux traits dont il aime les coups, Et si j'en avais cent, je les donnerais tous."")","('#don-juan', ""Quoi ?  Tu veux qu'on se lie à demeurer au premier objet qui nous prend, qu'on renonce au monde pour lui, et qu'on n'ait plus d'yeux pour personne ?  La belle chose de vouloir se piquer d'un faux honneur d'être fidèle, de s'ensevelir pour toujours dans une passion, et d'être mort dès sa jeunesse, à toutes les autres beautés qui nous peuvent frapper les yeux : non, non, la constance n'est bonne que pour des ridicules, toutes les belles ont droit de nous charmer, et l'avantage d'être rencontrée la première, ne doit point dérober aux autres les justes prétentions qu'elles ont toutes sur nos cours.  Pour moi, la beauté me ravit partout où je la trouve ; et je cède facilement à cette douce violence, dont elle nous entraîne ; j'ai beau être engagé, l'amour que j'ai pour une belle, n'engage point mon âme à faire injustice aux autres ; je conserve des yeux pour voir le mérite de toutes, et rends à chacune les hommages et les tributs où la nature nous oblige.  Quoi qu'il en soit, je ne puis refuser mon coeur à tout ce que je vois d'aimable, et dès qu'un beau visage me le demande, si j'en avais dix mille, je les donnerais tous.  Les inclinations naissantes après tout, ont des charmes inexplicables, et tout le plaisir de l'amour est dans le changement.  On goûte une douceur extrême à réduire par cent hommages le coeur d'une jeune beauté, à voir de jour en jour les petits progrès qu'on y fait ; à combattre par des transports, par des larmes et des soupirs, l'innocente pudeur d'une âme, qui a peine à rendre les armes, à forcer pied à pied toutes les petites résistances qu'elle nous oppose, à vaincre les scrupules dont elle se fait un honneur et la mener doucement, où nous avons envie de la faire venir.  Mais lorsqu'on en est maître une fois, il n'y a plus rien à dire, ni rien à souhaiter, tout le beau de la passion est fini, et nous nous endormons dans la tranquillité d'un tel amour, si quelque objet nouveau ne vient réveiller nos désirs, et présenter à notre coeur les charmes attrayants d'une conquête à faire.  Enfin, il n'est rien de si doux, que de triompher de la résistance d'une belle personne, et j'ai sur ce sujet l'ambition des conquérants, qui volent perpétuellement de victoire en victoire, et ne peuvent se résoudre à borner leurs souhaits.  Il n'est rien qui puisse arrêter l'impétuosité de mes désirs, je me sens un coeur à aimer toute la terre ; et comme Alexandre, je souhaiterais qu'il y eût d'autres mondes, pour y pouvoir étendre mes conquêtes amoureuses. "")",0.0,Match
45,"('#sganarelle', 'Vous êtes libéral.')",,1.0,Insertion
46,"('#don-juan', ""Que de douceurs charmantes Font goûter aux amants les passions naissantes Si pour chaque beauté je m'enflamme aisément, Le vrai plaisir d'aimer est dans le changement. Il consiste à pouvoir, par d'empressés hommages, Forcer d'un jeune coeur les scrupuleux ombrages, À désarmer sa crainte, à voir de jour en jour Par cent petits progrès avancer notre amour ; À vaincre doucement la pudeur innocente, Qu'oppose à nos désirs une âme chancelante, Et la réduire enfin, à force de parler, À se laisser conduire où nous voulons aller. Mais quand on a vaincu, la passion expire. Ne souhaitant plus rien, on n'a plus rien à dire ; À l'amour satisfait tout son charme est ôté, Et nous nous endormons dans sa tranquillité, Si quelque objet nouveau, par sa conquête à faire, Ne réveille en nos cours l'ambition de plaire. Enfin j'aime en amour les exploits différents ; Et j'ai sur ce sujet l'ardeur des conquérants, Qui sans cesse courant de victoire en victoire, Ne peuvent se résoudre à voir borner leur gloire. De mes vastes désirs le vol précipité Par cent objets vaincus ne peut être arrêté. Je sens mon coeur plus loin capable de s'étendre, Et je souhaiterais, comme fit Alexandre, Qu'il fût un autre monde encor à découvrir, Où je pusse en amour chercher à con quérir."")",,1.0,Insertion
47,"('#sganarelle', 'Comme vous débitez ! Ma foi, je vous admire. Votre langue...')","('#sganarelle', 'Vertu de ma vie, comme vous débitez ; il semble que vous avez appris cela par coeur, et vous parlez tout comme un livre. ')",0.18,Substitution
48,"('#don-juan', ""Qu'as-tu là-dessus à me dire ?"")","('#don-juan', ""Qu'as-tu à dire là-dessus ? "")",0.0,Match
49,"('#sganarelle', ""À vous dire ? Moi ? J'ai... mais que dirais-je ? Rien, Car quoi que vous disiez, vous le tournez si bien, Que sans avoir raison, il semble à vous entendre, Qu'on soit quand vous parlez, obligé de se rendre. J'avais pour disputer des raisons dans l'esprit... Je veux une autre fois les mettre par écrit. Avec vous sans cela je n'aurais qu'à me taire, Vous me brouilleriez tout."")","('#sganarelle', ""Ma foi !  J'ai à dire...  Je ne sais que dire ; car vous tournez les choses d'une manière, qu'il semble que vous avez raison, et cependant il est vrai que vous ne l'avez pas.  J'avais les plus belles pensées du monde, et vos discours m'ont brouillé tout cela ; laissez faire, une autre fois je mettrai mes raisonnements par écrit, pour disputer avec vous. "")",0.0,Match
50,"('#don-juan', 'Tu ne saurais mieux faire.')","('#don-juan', 'Tu feras bien. ')",1.68,Substitution
51,"('#sganarelle', ""Mais, Monsieur, par hasard, me serait-il permis De vous dire qu'à moi, comme à tous vos amis, Votre genre de vie un tant soit peu fait peine ?"")","('#sganarelle', ""Mais, Monsieur, cela serait-il de la permission que vous m'avez donnée, si je vous disais que je suis tant soit peu scandalisé de la vie que vous menez ? "")",0.0,Match
52,"('#don-juan', 'Le fat ! Et quelle vie est-ce donc que je mène ?')","('#don-juan', 'Comment, quelle vie est-ce que je mène ? ')",0.0,Match
53,"('#sganarelle', 'Fort bonne, assurément ; mais enfin... quelquefois... Par exemple, vous voir marier tous les mois.')","('#sganarelle', 'Fort bonne.  Mais par exemple de vous voir tous les mois vous marier comme vous faites.')",0.0,Match
54,"('#don-juan', 'Est-il rien de plus doux ? Rien qui soit plus capable...')","('#don-juan', 'Y a-t-il rien de plus agréable ? ')",0.01,Substitution
55,"('#sganarelle', ""Il est vrai, je conçois cela fort agréable ; Et c'est, si sans péché j'en avais le pouvoir, Un divertissement que je voudrais avoir. Mais sans aucun respect pour les plus saints mystères..."")","('#sganarelle', ""Il est vrai, je conçois que cela est fort agréable, et fort divertissant, et je m'en accommoderais assez moi, s'il n'y avait point de mal, mais, Monsieur, se jouer ainsi du mariage qui... "")",0.12,Substitution
56,"('#don-juan', ""Ne t'embarrasse point, ce sont là mes affaires."")","('#don-juan', ""Va, va, c'est une affaire que je saurai bien démêler, sans que tu t'en mettes en peine. "")",0.05,Substitution
57,"('#sganarelle', ""On doit craindre le Ciel, et jamais Libertin N'a fait encor, dit-on, qu'une méchante fin."")","('#sganarelle', 'Ma foi, Monsieur, vous faites une méchante raillerie. ')",1.33,Substitution
58,"('#don-juan', ""Je hais la remontrance, et quand on s'y hasarde..."")","('#don-juan', ""Holà, maître sot, vous savez que je vous ai dit que je n'aime pas les faiseurs de remontrances. "")",0.61,Substitution
59,"('#sganarelle', 'Oh, ce n\'est pas à vous que j\'en fais, Dieu m\'en garde, J\'aurais tort de vouloir vous donner des leçons. Si vous vous égarez, vous avez vos raisons ; Et quand vous faites mal, comme c\'est l\'ordinaire, Du moins vous savez bien qu\'il vous plaît de le faire. Bon cela ; mais il est certains Impertinents, À droit de fort esprit hardis, entreprenants, Qui sans savoir pourquoi, traitent de ridicules Les plus justes motifs des plus sages scrupules, Et qui font vanité de ne trembler de rien, Par l\'entêtement seul que cela leur sied bien. Si j\'avais par malheur un tel maître ; âme crasse, Lui dirais-je tout net, le regardant en face, ""Osez-vous bien ainsi braver à tous moments Ce que l\'Enfer pour vous amasse de tourments ? Un rien, un mirmidon, un petit ver de terre, Au Ciel impunément croit déclarer la guerre ? Allez, malheur cent fois à qui vous applaudit. C\'est bien à vous (Je parle au maître que j\'ai dit) À vouloir vous railler des choses les plus saintes, À secouer le joug des plus louables craintes. Pour avoir de grands biens et de la qualité, Une perruque blonde, être propre, ajusté, Tout en couleur de feu, pensez-vous (Prenez garde. Ce n\'est pas vous au moins que tout ceci regarde.) Pensez-vous en avoir plus de droit d\'éclater Contre les vérités dont vous osez douter ? De moi, votre valet, apprenez, je vous prie, Qu\'en vain les libertins de tout font raillerie ; Que le Ciel tôt ou tard pour leur punition...""')","('#sganarelle', ""Je ne parle pas aussi à vous, Dieu m'en garde, vous savez ce que vous faites vous, et si vous êtes libertin, vous avez des raisons ; mais il y a de certains petits impertinents dans le monde, qui le sont, sans savoir pourquoi, qui font les esprits forts, parce qu'ils croient que cela leur sied bien ; et si j'avais un maître comme cela, je lui dirais nettement le regardant en face : c'est bien à vous, petit ver de terre, petit mirmidon que vous êtes, (je parle au maître que j'ai dit), c'est bien à vous à vouloir vous mêler de tourner en raillerie, ce que tous les hommes révèrent.  Pensez-vous que pour être de qualité, pour avoir une perruque blonde et bien frisée, des plumes à votre chapeau, un habit bien doré, et des rubans couleur de feu, (ce n'est pas à vous que je parle, c'est à l'autre ;) pensez-vous, dis-je, que vous en soyez plus habile homme, que tout vous soit permis, et qu'on n'ose vous dire vos vérités ; Apprenez de moi, qui suis votre valet, que les libertins ne font jamais une bonne fin, et que... "")",0.0,Match
60,"('#don-juan', 'Paix.')","('#don-juan', 'Paix ! ')",0.0,Match
61,"('#sganarelle', 'Ça voyons. De quoi serait-il question ?')","('#sganarelle', 'De quoi est-il question ? ')",0.0,Match
62,"('#don-juan', ""De te dire en deux mots qu'une flamme nouvelle Ici, sans t'en parler, m'a fait suivre une belle."")","('#don-juan', ""Il est question de te dire qu'une beauté me tient au coeur, et qu'entraîné par ses appas, je l'ai suivie jusques en cette ville. "")",0.0,Match
63,"('#sganarelle', ""Et n'y craignez-vous rien pour ce Commandeur mort ?"")","('#sganarelle', ""Et n'y craignez-vous rien, Monsieur, de la mort de ce Commandeur que vous tuâtes il y a six mois ? "")",0.0,Match
64,"('#don-juan', ""Je l'ai si bien tué, chacun le sait."")","('#don-juan', ""Et pourquoi craindre, ne l'ai-je pas bien tué ? "")",0.57,Substitution
65,"('#sganarelle', ""D'accord. On ne peut rien de mieux, et s'il osait s'en plaindre, Il aurait tort, mais..."")","('#sganarelle', 'Fort bien, le mieux du monde, et il aurait tort de se plaindre. ')",0.0,Match
66,"('#don-juan', 'Quoi ?')","('#don-juan', ""J'ai eu ma grâce de cette affaire. "")",1.15,Substitution
67,"('#sganarelle', 'Ses parents sont à craindre.')","('#sganarelle', ""Oui, mais cette grâce n'éteint pas peut-être le ressentiment des parents et des amis, et... "")",1.39,Substitution
