,moliere-amants-magnifiques,quinault-thesee,Cost,Operation Type
56,"('#sostrate', 'Trop de choses, hélas !  Condamnent mes feux à un éternel silence.')","('#cleone', ""Cherche Thésée, et suis ses pas Jusqu'à sa victoire parfaite, Ou jusqu'à son trépas."")",1.82,Substitution
57,"('#clitidas', 'Hé quoi ?')","('#arcas', ""D'où vient qu'en sa faveur ton âme s'inquiète ?"")",1.24,Substitution
58,"('#sostrate', ""La bassesse de ma fortune, dont il plaît au Ciel de rabattre l'ambition de mon amour, le rang de la Princesse qui met entre elle et mes désirs une distance si fâcheuse, la concurrence de deux princes appuyés de tous les grands titres qui peuvent soutenir les prétentions de leurs flammes ; de deux princes qui par mille et mille magnificences, se disputent, à tous moments, la gloire de sa conquête, et sur l'amour de qui on attend tous les jours de voir son choix se déclarer, mais plus que tout, Clitidas, le respect inviolable où ses beaux yeux assujettissent toute la violence de mon ardeur."")","('#cleone', ""Si tu veux que je t'aime, Arcas, Fais ce que je souhaite, Et ne réplique pas."")",1.07,Substitution
59,"('#clitidas', ""Le respect bien souvent n'oblige pas tant que l'amour, et je me trompe fort, ou la jeune princesse a connu votre flamme, et n'y est pas insensible."")","('#arcas', ""Pour un autre que moi Cléone s'intéresse ? Prétends-tu que je sois un amant qui me presse De me charger d'un soin à mon amour fatal ? C'est un plaisir charmant de servir sa maîtresse, Mais c'est un chagrin sans égal De servir son rival. L'ordre du roi m'engage À prendre soin de vous."")",0.63,Substitution
60,"('#sostrate', ""Ah !  Ne t'avise point de vouloir flatter par pitié le coeur d'un misérable."")","('#cleone', ""L'ennemi jusqu'ici n'ose porter sa rage. Tout le monde est aux mains, veux-tu seul fuir les coups ?"")",1.36,Substitution
61,"('#clitidas', ""Ma conjecture est fondée.  Je lui vois reculer beaucoup le choix de son époux, et je veux éclaircir un peu cette petite affaire-là.  Vous savez que je suis auprès d'elle en quelque espèce de faveur, que j'y ai les accès ouverts, et qu'à force de me tourmenter je me suis acquis le privilège de me mêler à la conversation, et parler à tort et à travers de toutes choses.  Quelquefois cela ne me réussit pas, mais quelquefois aussi cela me réussit.  Laissez-moi faire, je suis de vos amis, les gens de mérite me touchent, et je veux prendre mon temps pour entretenir la Princesse de..."")","('#arcas', ""Ce grand empressement me donne de l'ombrage."")",1.31,Substitution
62,"('#sostrate', ""Ah !  De grâce, quelque bonté que mon malheur t'inspire, garde-toi bien de lui rien dire de ma flamme.  J'aimerais mieux mourir que de pouvoir être accusé par elle de la moindre témérité, et ce profond respect où ses charmes divins..."")","('#cleone', ""La valeur à mes yeux a des charmes bien doux, Et le moindre soupçon m'outrage : Je ne veux point avoir d'époux Qui soit jaloux, Ni d'amant qui soit sans courage."")",0.0,Match
63,"('#clitidas', 'Taisons-nous, voici tout le monde.')","('#arcas', ""Faut-il qu'un étranger ait pour toi tant d'appas ?"")",1.92,Substitution
64,"('#aristione', ""Prince, je ne puis me lasser de le dire, il n'est point de spectacle au monde qui puisse le disputer en magnificence à celui que vous venez de nous donner. Cette fête a eu des ornements qui l'emportent sans doute sur tout ce que l'on saurait voir, et elle vient de produire à nos yeux quelque chose de si noble, de si grand et de si majestueux, que le Ciel même ne saurait aller au delà, et je puis dire assurément qu'il n'y a rien dans l'univers qui s'y puisse égaler."")","('#cleone', ""Je te l'ai déjà dit, et je te le répète, Si tu veux que je t'aime, Arcas Fais ce que je souhaite, Et ne réplique pas."")",1.36,Substitution
65,"('#timocles', ""Ce sont des ornements dont on ne peut pas espérer que toutes les fêtes soient embellies, et je dois fort trembler, Madame, pour la simplicité du petit divertissement que je m'apprête à vous donner dans le bois de Diane."")","('#arcas', ""Hé bien, je suivrai ton envie, J'en veux faire toujours ma loi ; La peur de te déplaire est mon plus grand effroi : Je crains peu d'exposer ma vie, Je ne puis hasarder rien qui ne soit à toi."")",0.59,Substitution
66,"('#aristione', ""Je crois que nous n'y verrons rien que de fort agréable, et certes il faut avouer que la campagne a lieu de nous paraître belle, et que nous n'avons pas le temps de nous ennuyer dans cet agréable séjour qu'ont célébré tous les poètes sous le nom de Tempé.  Car enfin, sans parler des plaisirs de la chasse que nous y prenons à toute heure, et de la solennité des jeux Pythiens que l'on y célèbre tantôt, vous prenez soin l'un et l'autre de nous y combler de tous les divertissements qui peuvent charmer les chagrins des plus mélancoliques.  D'où vient, Sostrate, qu'on ne vous a point vu dans notre promenade ?"")","('#le-choeur-des-combattants', ""Avançons, avançons ; que rien ne nous étonne ; Frappons, perçons, frappons, qu'on n'épargne personne ; Il faut périr, il faut périr, Il faut vaincre, ou mourir."")",0.89,Substitution
67,"('#sostrate', ""Une petite indisposition, Madame, m'a empêché de m'y trouver."")","('#la-grande-pretresse', 'Prions, prions la déesse De nous dégager Du danger Qui nous presse Prions, prions la déesse.')",1.83,Substitution
68,,"('#la-pretresse #aegle #cleone', 'Prions, prions, la déesse.')",1.0,Deletion
69,"('#iphicrate', ""Sostrate est de ces gens, Madame, qui croient qu'il ne sied pas bien d'être curieux comme les autres, et il est beau d'affecter de ne pas courir où tout le monde court."")","('#le-choeur-des-combattants', 'Mourez, mourez, perfides cours, Tombez sous les coups des vainqueurs.')",1.59,Substitution
70,,"('#la-grande-pretresse', 'Dieux ! Quelle barbarie !')",1.0,Deletion
71,"('#sostrate', ""Seigneur, l'affectation n'a guère de part à tout ce que je fais, et sans vous faire compliment, il y avait des choses à voir dans cette fête, qui pouvaient m'attirer, si quelque autre motif ne m'avait retenu."")",,1.0,Insertion
72,"('#aristione', 'Et Clitidas a-t-il vu cela ?')","('#aegle', 'Entendrons-nous toujours ces horribles clameurs ?')",1.48,Substitution
73,"('#clitidas', 'Oui, Madame, mais du rivage.')","('#la-pretresse #aegle #cleone', 'Dieux ! Quelle barbarie !')",1.61,Substitution
74,"('#aristione', 'Et pourquoi du rivage ?')",,1.0,Insertion
75,"('#clitidas', ""Ma foi !  Madame, j'ai craint quelqu'un des accidents qui arrivent d'ordinaire dans ces confusions.  Cette nuit, j'ai songé de poisson mort, et d'oeufs cassés, et j'ai appris du Seigneur Anaxarque que les oeufs cassés et le poisson mort signifient malencontre."")","('#le-choeur-des-combattants', 'Mourez, mourez, perfides cours, Tombez sous les coups des vainqueurs.')",1.7,Substitution
76,"('#anaxarque', ""Je remarque une chose, que Clitidas n'aurait rien à dire s'il ne parlait de moi."")","('#un-combattant', 'Sauve un malheureux qui te prie. Ah je meurs ! Ah je meurs !')",1.67,Substitution
77,"('#clitidas', ""C'est qu'il y a tant de choses à dire de vous, qu'on n'en saurait parler assez."")","('#la-pretresse #aegle #cleone', 'Dieux ! Quelle barbarie !')",1.79,Substitution
78,"('#anaxarque', ""Vous pourriez prendre d'autres matières, puisque je vous en ai prié."")","('#un-combattant', 'Ah je meurs ! Ah je meurs ! Sauve un malheureux qui te prie.')",1.78,Substitution
79,"('#clitidas', ""Le moyen, ne dites-vous pas que l'ascendant est plus fort que tout ; et s'il est écrit dans les astres que je sois enclin à parler de vous, comment voulez-vous que je résiste à ma destinée ?"")","('#le-choeur-des-combattants', 'Mourez, mourez, perfides cours, Tombez sous les coups des vainqueurs.')",0.79,Substitution
80,"('#anaxarque', 'Avec tout le respect, Madame, que je vous dois, il y a une chose qui est fâcheuse dans votre Cour que tout le monde y prenne liberté de parler, et que le plus honnête homme y soit exposé aux railleries du premier méchant plaisant.')","('#la-grande-pretresse', 'Ô Minerve ! Arrêtez la cruelle furie Qui désole notre patrie : Écartez loin de nous la guerre et ses horreurs ; Ciel ! Épargnez le sang, contentez-vous de pleurs,')",1.15,Substitution
81,"('#clitidas', ""Je vous rends grâce de l'honneur."")",,1.0,Insertion
82,"('#aristione', ""Que vous êtes fou de vous chagriner de ce qu'il dit !"")","('#la-pretresse #aegle #cleone', 'Ciel ! Épargnez le sang, contentez-vous de pleurs.')",0.53,Substitution
83,,"('#le-choeur-des-combattants', 'Liberté, liberté. Victoire, victoire, victoire. Courons, courons tous à la gloire. Combattons avec fermeté. Défendons notre liberté. Liberté, liberté. Emportons la victoire. Victoire, victoire, victoire. Liberté, liberté. Victoire, victoire, victoire.')",1.0,Deletion
84,,"('#le-roi', ""Les mutins sont vaincus, leurs chefs sont immolés, Leur vaine espérance est détruite. Tous les peuples voisins qu'ils avaient appelés Sont dans nos fers, ou sont en fuite."")",1.0,Deletion
85,,"('#la-grande-pretresse', 'Rendons grâces aux dieux.')",1.0,Deletion
86,,"('#ensemble', 'Rendons grâces aux dieux.')",1.0,Deletion
87,"('#clitidas', ""Avec tout le respect que je dois à Madame, il y a une chose qui m'étonne dans l'astrologie, comment des gens qui savent tous les secrets des Dieux, et qui possèdent des connaissances à se mettre au-dessus de tous les hommes, aient besoin de faire leur cour, et de demander quelque chose."")","('#la-grande-pretresse', ""Puisque le juste ciel à nos voeux est propice, Allons, empressons-nous d'offrir un sacrifice À la divinité qui protège ces lieux. Rendons grâces aux dieux."")",1.31,Substitution
88,"('#anaxarque', 'Vous devriez gagner un peu mieux votre argent, et donner à Madame de meilleures plaisanteries.')",,1.0,Insertion
89,"('#clitidas', ""Ma foi !  On les donne telles qu'on peut.  Vous en parlez fort à votre aise, et le métier de plaisant n'est pas comme celui d'astrologue.  Bien mentir et bien plaisanter sont deux choses fort différentes, et il est bien plus facile de tromper les gens que de les faire rire."")",,1.0,Insertion
90,"('#aristione', ""Eh !  Qu'est-ce donc que cela veut dire ?"")","('#tous-ensemble', 'Rendons grâces aux dieux.')",1.6,Substitution
91,"('#clitidas', ""Paix !  Impertinent que vous êtes.  Ne savez-vous pas bien que l'astrologie est une affaire d'État, et qu'il ne faut point toucher à cette corde-là ?  Je vous l'ai dit plusieurs fois, vous vous émancipez trop, et vous prenez de certaines libertés qui vous joueront un mauvais tour : je vous en avertis ; vous verrez qu'un de ces jours on vous donnera du pied au cul, et qu'on vous chassera comme un faquin.  Taisez-vous, si vous êtes sage."")","('#le-roi', ""Cessez, charmante, AEglé, de répandre des larmes, Commençons après tant d'alarmes À jouir d'un destin plus doux : Puisque je vois mon trône affermi par les armes, J'y veux joindre de nouveaux charmes En le partageant avec vous."")",1.49,Substitution
92,"('#aristione', 'Où est ma fille ?')","('#aegle', 'Avec moi ! Vous ! Seigneur !')",1.41,Substitution
93,"('#timocles', ""Madame, elle s'est écartée, et je lui ai présenté une main qu'elle a refusé d'accepter."")",,1.0,Insertion
94,"('#aristione', ""Princes, puisque l'amour que vous avez pour Ériphile, a bien voulu se soumettre aux lois que j'ai voulu vous imposer, puisque j'ai su obtenir de vous que vous fussiez rivaux sans devenir ennemis, et qu'avec pleine soumission aux sentiments de ma fille, vous attendez un choix dont je l'ai faite seule maîtresse ; ouvrez-moi tous deux le fond de votre âme, et me dites sincèrement quel progrès vous croyez l'un et l'autre avoir fait sur son coeur."")","('#le-roi', ""Que votre trouble cesse. C'est peut-être, un peu tard vouloir plaire à vos yeux, Je ne suis plus au temps de l'aimable jeunesse, Mais je suis, roi, belle princesse, et roi victorieux. Faites grâce à mon âge en faveur de ma gloire, Voyez le prix du rang qui vous est destiné : La vieillesse sied bien sur un front couronné, Quand on y voit briller l'éclat de la victoire. Parlez charmante AEglé, parlez à votre tour."")",0.4,Substitution
95,"('#timocles', ""Madame, je ne suis point pour me flatter, j'ai fait ce que j'ai pu pour toucher le coeur de la princesse Ériphile, et je m'y suis pris, que je crois, de toutes les tendres manières dont un amant se peut servir.  Je lui ai fait des hommages soumis de tous mes voeux ; j'ai montré des assiduités ; j'ai rendu des soins chaque jour ; j'ai fait chanter ma passion aux voix les plus touchantes, et l'ai exprimer en vers aux plumes les plus délicates ; je me suis plaint de mon martyre en des termes passionnés ; j'ai fait dire à mes yeux aussi bien qu'à ma bouche le désespoir de mon amour ; j'ai poussé à ses pieds, des soupirs languissants ; j'ai même répandu des larmes, mais tout cela inutilement, et je n'ai point connu qu'elle ait dans l'âme aucun ressentiment de mon ardeur."")","('#aegle', ""Depuis que j'ai perdu mon père Vos soins ont prévenu mes voeux dans votre cour. Je dois vous respecter, Seigneur, je vous révère..."")",0.49,Substitution
96,,"('#le-roi', ""Vous parlez de respect quand je parle d'amour."")",1.0,Deletion
97,"('#aristione', 'Et vous, Prince ?')","('#aegle', 'Mais votre foi, Seigneur, à Médée est promise ?')",1.53,Substitution
