,dufresny-regnard-chinois,dufresny-depart-des-comediens,Cost,Operation Type
10,"('#thalie', ""C'est pour l'ordinaire le plus beau de leurs pièces ; et, à vous parler franchement, je crois que celle-ci ne sera point meilleure que les autres : ce n'est pas que, si on se donne la peine de l'écouter jusqu'à la fin, ce qui est assez rare, on pourra peut-être s'y divertir."")","('#arlequin', ""Hélas !  Nous sommes les malades, et voilà les médecins... Il n'y a que la quantité de médecins qui puisse guérir notre maladie. Montrant le parterre."")",0.87,Substitution
11,"('#apollon', 'Apparemment que le dernier acte est le meilleur de tous.')",,1.0,Insertion
12,"('#thalie', ""Je ne crois pas pour cela qu'il soit bon ; il peut être meilleur que les autres, et ne pas valoir grand'chose.  Mais comme les comédiens s'y disent un peu leurs vérités, et se donnent par-ci par-là quelque petit coup d'étrille, il pourra être du goût du public, qui mord à la grappe quand il entend dauber un comédien."")","('#colombine', 'Nous prendrions notre mal en patience, si nous pouvions avoir ici tous les jours une consultation de cinq à six cents médecins.')",1.52,Substitution
13,"('#apollon', ""Il est naturel de se réjouir des coups de dent que reçoivent ceux qui nous ont mordus, et je suis bien aise que les comédiens commencent à se rendre justice, et à tourner contre eux-mêmes les traits dont ils ont piqué les autres ; car enfin il n'y a point de profession qui ait échappé à leur satire ; procureurs, médecins, magistrats."")","('#arlequin', 'Oh, ces médecins-là ne sont pas si âpres aux consultations, que ceux de la faculté.')",1.25,Substitution
14,"('#thalie', ""Vraiment, ils ont bien fait pis ; ils n'ont pas même respecté les empereurs romains ni les maîtres danser."")",,1.0,Insertion
15,"('#la-muse', 'Il y a une petite fille qui demande à parler à Apollon.')",,1.0,Insertion
16,"('#la-petite-fille', ""N'est-ce pas vous, monsieur, qui êtes le seigneur de ce village-là, et qui vous appelez Apollon ?"")",,1.0,Insertion
17,"('#apollon', ""Oui, belle mignonne.  Qu'y a-t-il pour votre service ?"")",,1.0,Insertion
18,"('#thalie', 'Voilà un tendron qui ne serait pas mauvais pour remeubler le Parnasse, à la place de quelque Muse surannée.')",,1.0,Insertion
19,"('#la-petite-fille', ""Je me suis échappée de chez nous pour vous faire une prière.  J'aime la Comédie italienne à la folie, et ma bonne maman ne veut pas m'y mener."")",,1.0,Insertion
20,"('#thalie', ""C'est une folle.  Il faut y aller sans elle ; vous ne serez pas la première."")",,1.0,Insertion
21,"('#apollon', ""Votre mère a tort, ma belle enfant, de vous priver du plaisir le plus agréable et le plus innocent qu'il y ait aujourd'hui."")",,1.0,Insertion
22,"('#thalie', ""Assurément.  Si j'étais mère, j'aimerais mieux que ma fille allât tout un hiver à la Comédie, qu'une fois au bois de Boulogne pendant la sève du mois de mai."")",,1.0,Insertion
23,"('#la-petite-fille', 'Oh !  Monsieur, je ne suis pas encore assez grande pour aller au bois de Boulogne ; je ne vais encore que sur le rempart.')",,1.0,Insertion
24,"('#apollon', ""La comédie forme l'esprit, élève le coeur, ennoblit les sentiments : c'est le miroir de la vie humaine, qui fait voir le vice dans toute son horreur, et représente la vertu avec tout son éclat.  Le théâtre est l'école de la politesse, le rendez-vous des beaux esprits, le piédestal des gens de qualité.  Une petite dose de comédie, prise à propos, rend l'esprit des dames plus enjoué, le coeur plus tendre, l'oeil plus vif et les manières plus engageantes.  C'est le lieu où le beau sexe brille avec le plus d'éclat."")",,1.0,Insertion
25,"('#la-petite-fille', 'Oh !  Je prétends bien y briller comme une autre quand je serai grande.')",,1.0,Insertion
26,"('#apollon', 'Mais quelle raison votre mère a-t-elle pour ne pas vous mener aux Italiens ?')",,1.0,Insertion
27,"('#la-petite-fille', ""Elle dit qu'il y a quelquefois des paroles un peu libres ; mais ce qui me fait endêver, c'est qu'elle ne laisse pas d'y aller tous les jours."")",,1.0,Insertion
28,"('#thalie', ""Il y a tout plein de mères de ce naturel-là ; ce sont des affamées qui n'en veulent que pour elles."")",,1.0,Insertion
29,"('#apollon', ""Je ne sais pas quels peuvent être ces mots libertins qui effarouchent tant la maman.  Pour moi, je n'y vois que des mots tout pleins de sel, qui, à la vérité, sont quelquefois à double entente ; mais les plus belles pensées du monde ont deux faces : tant pis pour ceux qui ne les prennent que du mauvais côté ; c'est une vraie marque de leur esprit corrompu et vicieux.  Mais ne vous a-t-elle pas dit quelques uns de ces vilains mots-là ?"")","('#colombine', ""J'en sais bien la raison : c'est qu'on donne de l'argent à ceux-là ; et ceux-ci au contraire payent à la porte le droit de dire leur avis."")",1.29,Substitution
30,"('#la-petite-fille', ""Oh, dame !  Elle ne les dit devant moi qu'à bâtons rompus : elle dit seulement que les Italiens sont des drôles qui nomment toutes les choses par leurs noms.  Par exemple, elle dit qu'ils appellent un homme marié... d'un certain mot que je n'oserais dire."")",,1.0,Insertion
31,"('#thalie', 'Cocu, peut-être ?')",,1.0,Insertion
32,"('#la-petite-fille', ""Vous l'avez dit."")","('#arlequin', ""C'est pour cela qu'ils le disent si librement."")",0.85,Substitution
33,"('#apollon', 'Et votre mère se scandalise de ce mot-là ?')",,1.0,Insertion
34,"('#la-petite-fille', ""Assurément.  Oh, dame !  C'est qu'elle dit que c'est une injure qui regarde autant mon papa que les autres."")",,1.0,Insertion
35,"('#thalie', ""C'est que votre mère ne sait pas sa langue.  Dans le nouveau dictionnaire, imprimé à Paris, ces mots-là sont synonymes, cocu marié, marié cocu, cela s'appelle jus vert, vert jus."")",,1.0,Insertion
36,"('#la-petite-fille', ""Pour moi je n'entends point de mal là-dessous ; mais quoi qu'il en soit, je vous prie, monsieur Apollon, vous qui êtes le maître des comédiens, de leur dire qu'ils ne mettent plus de ces vilains mots-là, afin que les filles y puissent aller, et que ma mère n'ait plus de prétexte de me laisser au logis, tandis qu'elle va à la Comédie.  Écoutez, c'est l'intérêt des comédiens que nous allions à leurs pièces : ce sont de jolies filles comme moi qui font venir les garçons à la Comédie."")","('#colombine', ""Mon pauvre Arlequin, puisque la saison de l'été est si contraire au tempérament des comédiens, puisque nous sommes desséchés, atténués, languissants, agonisants ; en un mot puisque nous sommes abandonnés des médecins, il faut tirer le rideau, c'est-à-dire fermer notre théâtre, et prendre congé de la compagnie."")",0.43,Substitution
37,"('#thalie', ""Oh !  Pour cela, mademoiselle a raison : une femelle dans une loge attire les mâles de bien loin ; c'est l'appât dans la souricière."")",,1.0,Insertion
38,"('#apollon', ""Je vous assure, la belle, que désormais les mères seront contentes, et que je vais de ce pas vous mener avec moi chez les Italiens, où j'assemblerai les comédiens, et je leur ordonnerai de rayer de leurs comédies tous les mots trop éveillés, et notamment tous les cocus qu'il y aura."")",,1.0,Insertion
39,"('#thalie', ""Ne vous avisez pas de cela, monsieur.  Si les comédiens rayaient de leurs comédies tous les cocus, ils balafreraient peut-être le père de mademoiselle, et pour lors ils auraient sur le dos deux personnes au lieu d'une."")",,1.0,Insertion
40,"('#la-petite-fille', ""Ah !  Que vous me faites de plaisir !  L'hôtel de Bourgogne va regorger de monde ; et je vais annoncer ce changement-là à ma mère, et à toutes les femmes et filles du quartier."")",,1.0,Insertion
41,"('#thalie', 'Donnez-vous-en bien de garde.  Pour une femme qui aime la réforme, il y en a mille qui ne la sauraient souffrir ; et au lieu de faire venir du monde, vous désachalanderiez le théâtre.')","('#arlequin', ""Avant que de mourir, nous avons encore l'émétique, et la petite bagatelle que nous jouons sera peut-être un émétique salutaire."")",1.18,Substitution
42,"('#l-auteur', ""Non, monsieur, vous ne jouerez pas ma pièce aujourd'hui, et je vais vous le faire défendre par la Muse de la comédie."")",,1.0,Insertion
43,"('#le-comedien', ""Il n'y a Muse qui tienne : la dépense est faite, l'argent reçu à la porte ; il faut sauter le bâton."")","('#colombine', ""Bagatelle.  L'émétique le plus fin n'a point de vertu en automne.  En un mot, il faut quitter le jeu quand il ne vaut pas la chandelle."")",0.84,Substitution
44,,"('#arlequin', ""Elle a raison : cette diable de chandelle brûle toujours, il n'y a qu'à l'éteindre. Il veut éteindre les chandelles. "")",1.0,Deletion
45,"('#l-auteur', ""Ah !  Mademoiselle Tlialie, miséricorde !  Ils veulent représenter aujourd'hui ma comédie malgré moi, et j'ai vu entrer plus de cent personnes dans le parterre qui la trouvent déjà mauvaise."")","('#colombine', ""Doucement.  Ce n'est pas que, si on jouait la comédie à l'aveuglette, cela nous ferait peut-être venir plus de monde."")",0.86,Substitution
46,"('#thalie', 'Cent personnes !  Pourvu que le reste la trouve bonne, les rieurs seront encore de votre côté.')",,1.0,Insertion
47,"('#l-auteur', 'Je ne demande que huitaine pour tout délai.')",,1.0,Insertion
48,"('#thalie', 'Mais dans huit jours, croyez-vous en être quitte à meilleur marché ?')",,1.0,Insertion
49,"('#l-auteur', ""Assurément : j'attends des amis de la campagne, qui m'ont promis de rire, même aux plus faibles endroits."")",,1.0,Insertion
50,"('#thalie', ""À vous entendre, monsieur l'Auteur, je parierais que votre pièce ne vaut pas grand'chose."")",,1.0,Insertion
51,"('#l-auteur', ""Hélas !  J'ai toujours cru jusqu'à présent que c'était la meilleure comédie du monde ; mais depuis que les chandelles sont allumées, j'y vois mille défauts que je n'y avais pas remarqués.  Ah, ah !  Je n'en puis plus, le coeur me manque."")","('#arlequin', ""Je le crois.  L'auditeur a plus d'attention quand il ne voit goutte."")",1.49,Substitution
52,"('#thalie', 'Allons, allons, courage ; serrez-vous le nez, et avalez la médecine.')",,1.0,Insertion
53,"('#l-auteur', ""Ma comédie n'est pas même achevée ; il n'y a que quatre actes de faits."")",,1.0,Insertion
54,"('#thalie', ""Pourvu qu'il n'y ait que ce défaut-là, vous n'êtes pas à plaindre.  C'est moi qui fais les lois de la comédie, et j'ordonne que ce prologue-ci passera pour un acte."")","('#colombine', ""Oui, mais j'aurais peur qu'on ne fût si recueilli dans les loges, que l'attention ne passât pas les barreaux.  Finissons la plaisanterie.  Tous nos acteurs sont résolus de quitter la comédie, et de faire valoir chacun leur petit talent en particulier.  Ils vont tous passet en revue devant toi, afin que tu choisisses avec qui tu veux t'associer. Elle s'en va. "")",0.54,Substitution
55,,"('#arlequin', 'La revue ne sera pas complète ; car nous avons bien des déserteurs.')",1.0,Deletion
56,"('#l-auteur', 'Ah, maudite comédie !  Tu seras cause de ma mort !')",,1.0,Insertion
57,"('#la-muse', ""Messieurs, vous voyez bien que ce poète-ci n'a pas besoin de fort hiver.  Si vous le carillonnez selon votre bonne et louable coutume, je vous le garantis défunt dans un quart d'heure : c'est à vous de voir si vous voulez charger votre conscience d'un poéticide."")","('#leandre', ""Fasse son métier qui le saura.  Jeune fille trop sévère,  Honteux gascon, normand sincère  Jamais ne réussira.  Fasse son métier qui le saura.  La joueuse qui s'acquitte,  Le guerrier qui plaidera,  Laide guenon qui sollicite,  Jamais ne réussira.  Fasse son métier qui le saura. (bis) "")",1.04,Substitution
58,"('#roquillard', ""Certes, nul huissier, tant à verge qu'à cheval, n'oserait avoir regardé la porte de ce mien château : il fut de tout temps le cimetière des sergents.  Feu mon trisaïeul, Matthieu Roquillard, d'un seul coup d'arquebuse a mis bas cinq recors et deux procureurs fiscaux."")",,1.0,Insertion
59,"('#pierrot', ""Diantre !  Tout le pays lui eut bien de l'obligation ; car un de ces animaux-là fait plus de dégât dans une province que douze bêtes puantes dans une garenne.  Mais que veut dire toute cette belle architecture ?  Cela flaire diablement la noce.  Au moins, ne vous avisez pas de faire cette sottise-là."")",,1.0,Insertion
60,"('#roquillard', 'Et la raison ?')","('#arlequin', 'Hé bien, quel parti avez-vous pris, monsieur Léandre ?')",1.2,Substitution
61,"('#pierrot', ""C'est que le mariage ne sied point à une carcasse décharnée comme la vôtre ; et tout franc, vous êtes trop vieux pour faire souche."")",,1.0,Insertion
62,"('#roquillard', ""Sais-tu bien que dans la famille des Roquillards les mâles n'entrent en vigueur que vers les soixante-dix ans ?  Quand mon père me fabriqua, il en avait septante-quatre, et ma mère octante-huit."")",,1.0,Insertion
63,"('#pierrot', 'On voit bien, monsieur, que vous avez été engendré de deux vieilles rosses ; vous avez des salières sur les yeux à y fourrer le poing.')",,1.0,Insertion
64,"('#roquillard', ""Tais-toi ; j'ai autre chose en tête que de répondre à tes sottises.  C'est ma fille Isabelle que je veux marier aujourd'hui."")",,1.0,Insertion
65,"('#pierrot', ""Oh !  Pour ce mariage-là, j'y baille mon autorité, et le plus tôt c'est le meilleur : il ne faut pas garder une fille passé quinze ans ; il y a trop de déchet, et cette monnaie-là est diantrement sujette au décri."")",,1.0,Insertion
66,"('#roquillard', ""Tu vois aussi que je mets les fers au feu.  J'attends journellement un gentilhomme de campagne, un docteur, un major et un comédien français, tous partis sortables pour ma fille, selon qu'il m'a été raconté ; car je ne les ai point encore vus."")","('#leandre', ""Pour moi, je crois qu'il est bon que chacun s'en tienne au métier de ses pères, quoi qu'en disent nos guerriers bourgeois.  Tu sais que dans notre famille nous sommes tous amoureux de père en fils, et comme j'excelle à ce métier-là, je vais montrer en ville à faire l'amour méthodiquement."")",0.66,Substitution
67,"('#pierrot', ""Pensez, monsieur, que vous ne lui baillerez pas tous les quatre à la fois ; c'est trop pour une enfant."")",,1.0,Insertion
68,"('#roquillard', 'Outre ce, Isabelle a quelque bon vouloir pour un quidam nommé Octave, comédien italien de sa vacation.')",,1.0,Insertion
69,"('#pierrot', ""Fi !  Monsieur, ne donnez point votre fille à cette nation-là : avec eux les mariages ne tiennent point ; on dit qu'ils en font de nouveaux à chaque comédie qu'ils jouent."")","('#arlequin', ""Fi !  Il n'y a que la canaille qui s'amuse à faire l'amour.  Les grands seigneurs l'achètent tout fait."")",1.19,Substitution
70,"('#roquillard', ""Ce néanmoins, je me sens de la propension pour le jeune homme ; et dès mon premier âge, j'ai pourchassé I'accointance de messieurs du théâtre, pour ce qu'ils sont volontiers courtois et joviaux."")","('#leandre', ""Je sais qu'à présent l'amour est moins un métier qu'une marchandise ; mais enfin, il faut toujours de l'art pour tromper une jeune innocente avec de faux serments : pour fasciner les yeux d'une mère, en la mettant de toutes les parties de plaisir : pour donner le change à un rival, et gagner l'amitié et la confidence des maris qui ont de jolies femmes."")",0.62,Substitution
71,,"('#arlequin', ""Ma foi, on n'a pas besoin de leçons pour tout cela, et où l'art manque, on a recours à la nature."")",1.0,Deletion
72,"('#pierrot', ""Si vous m'aviez averti seulement huit jours plus tôt que vous vouliez vous défaire d'Isabelle, je m'en serais accommodé avec vous ; mais j'ai commencé une fille d'un autre côté."")","('#leandre', ""Pauvre Arlequin, tu verras que nous aurons des écolières, si tu veux t'associer avec moi."")",1.57,Substitution
73,"('#roquillard', 'Comment donc ?')",,1.0,Insertion
74,"('#pierrot', ""Oui, monsieur ; c'est une fille qui a plus de vingt mille écus, et je suis déjà à moitié marié."")",,1.0,Insertion
75,"('#roquillard', 'Est-il possible ?')",,1.0,Insertion
76,"('#pierrot', ""Très assurément.  Tenez, monsieur, pour faire un mariage tout entier, il faut, en premier lieu, que le garçon le veuille ; en second lieu, que la fille y consente : or, je suis garçon ; j'ai déjà baillé mon consentement ; ainsi, vous voyez que c'est un mariage à moitié fait."")","('#arlequin', 'Hé mais...  Je le veux bien, moi, à condition que vous composerez les règles, et moi je les exercerai ; quand les écolières en vaudront la peine, vous donnerez les premières leçons, et je donnerai les dernières.')",0.6,Substitution
77,"('#roquillard', ""Certes, voilà une affaire bien avancée !  Mais va-t'en dire à ma fille qu'elle se prépare de son côté."")","('#leandre', 'Je vois bien que tu es un ignorant.  Quand les premières leçons sont bonnes, les dernières en dépendent.')",1.57,Substitution
78,"('#pierrot', ""Il n'y a que faire de l'avertir ; une fille est toujours prête quand c'est pour le mariage."")","('#arlequin', ""Ho, point, point ; chacun a son talent auprès des dames.  Celui-ci prélude galamment, celui-là entre en matière, l'autre en sort avec honneur.  Les petits abbés, par exemple, sont admirables pour ébaucher une conversation galante : mais vivent les officiers pour donner la dernière main."")",1.32,Substitution
79,"('#isabelle', 'Bon, bon !  Le mariage !  Voilà encore quelque chose de beau !  Ne me parle jamais de cette sottise-1à.  Dis-moi, Colombine, ai-je bien placé mes mouches ?  Me trouves-tu coiffée du bon air ?')","('#leandre', ""Je vois bien que tu as de bons principes, et si tu veux t'associer avec moi, nous ferons bien valoir le commerce."")",0.84,Substitution
80,"('#colombine', ""Il est bien question aujourd'hui de mouches et de fontanges !  Voyez-vous toutes ces pyramides-là, ce sont de beaux bouchons à un cabaret où l'on meurt de soif.  L'essentiel pour une fille, c'est un mari, et un mari dans toutes ses circonstances."")","('#arlequin', ""Ma foi non.  Dans le commerce de tendresse les associés ne s'accordent guères, et chacun fait sa main de son côté, sans rien rapporter à la masse. Léandre s'en va. "")",1.43,Substitution
81,"('#isabelle', ""Ah, ah !  Que tu es folle !  Colombine, que tu es folle !  Tu crois donc que je me soucie d'un homme ?  Je te jure que je n'ai pas la moindre envie d'être mariée.  À la vérité, je suis bien lasse d'être fille ; mais j'espère que cela se passera."")",,1.0,Insertion
82,"('#colombine', ""Oui, cela se passera avec un mari.  Franchement, le métier de fille est bien ennuyeux, quand on veut le faire avec honneur.  Je sais ce qu'il m'en coûte tous les jours pour conserver le peu de réputation qui me reste."")","('#arlequin', ""Pour vous, monsieur, on dit que vous allez vivre de vos rentes.  Je voudrais bien m'associer avec vous, j'ai du talent pour cela : mais il est défendu à un comédien italien de se reposer avant l'âge de six vingt ans ; et ce n'est que par tolérance que Scaramouche s'est retiré à quatre-vingt-quatorze. Et vous, mademoiselle, qu'allez-vous devenir ? À la Chanteuse. "")",0.91,Substitution
83,"('#isabelle', 'Que veux-tu donc dire ?')",,1.0,Insertion
84,"('#colombine', ""Mon_Dieu !  Je m'entends bien.  Il y a des saisons dans l'année terriblement rudes à passer.  Quand j'entends chanter l'alouette, ma vertu est à fleur de corde ; et c'est une saison bien chatouilleuse que le printemps."")","('#la-chanteuse', ""Quand une fille,  Jeune et gentille,  Voudra,  Bientôt elle parviendra ;  J'en connais une,  Que la fortune  Jusques aux cieux élèvera,  Dans un nuage, à l'opéra."")",0.77,Substitution
85,"('#isabelle', ""Tu te moques, Colombine : c'est In saison qui me fait le plus de plaisir ; le beau temps revient."")",,1.0,Insertion
86,"('#colombine', ""Mais les officiers s'en vont à la guerre."")",,1.0,Insertion
87,"('#isabelle', 'La campagne rit...')",,1.0,Insertion
88,"('#colombine', 'Oui, et Paris pleure.')",,1.0,Insertion
89,"('#isabelle', 'Les arbres reverdissent.')",,1.0,Insertion
90,"('#colombine', ""Et les filles sèchent sur pied.  Je parie que c'est dans ce temps-là que vous êtes le plus dégoûtée de votre emploi de fille."")",,1.0,Insertion
91,"('#isabelle', ""Si j'en suis dégoûtée, c'est que les femmes aiment naturellement le changement ; et si je me suis lassée d'être fille, je me lasserai encore plus d'être mariée."")",,1.0,Insertion
92,"('#colombine', ""D'être mariée !  Vous voulez donc l'être ?"")",,1.0,Insertion
93,"('#isabelle', ""Je ne dis pas cela ; mais si l'envie m'en venait par hasard (car on dit que cela prend tout d'un coup), dis-moi, en conscience, comment faut-il qu'un mari soit fait pour être joli ?  Tu sais que je ne me connais pas bien en hommes."")",,1.0,Insertion
94,"('#colombine', ""Si fait bien moi.  Il faut qu'il soit pâle, fluet, débile et raccourci, comme ces petits échantillons de magistrature, qui n'auraient pas la force de porter leurs robes sans l'aide de deux grands laquais."")","('#arlequin', ""Oui, mais ces sortes d'élévations-là sont sujettes à d'étranges malheurs : qu'une corde manque, voilà la fortune par terre. Le Docteur et la Chanteuse se retirent. "")",1.01,Substitution
95,"('#isabelle', 'Oh !  Fi, fi !  Cela est trop colifichet pour un mari.')",,1.0,Insertion
96,"('#colombine', ""C'est que vous ne vous connaissez pas en hommes.  Vous voudriez peut-être de ces bourgeois renforcés de l'ancien collège, moitié noblesse, moitié roture, ou de ces gros commis... là... de ces ballots vivants qui entrent et sortent de la douane sans rien payer ?"")","('#colombine', ""Les affaires de la troupe ne vont pas trop bien : mais heureusement j'ai du talent d'ailleurs."")",1.27,Substitution
97,"('#isabelle', 'Pour ceux-là, je les trouve trop matériels.')",,1.0,Insertion
98,"('#colombine', 'La pauvre enfant, elle ne se connaît pas en hommes !')",,1.0,Insertion
99,"('#isabelle', ""Colombine, tu es une coquine.  Tu ne me parles point de ce qui me paraît le plus fripon en amour.  Est-ce que tu n'as jamais vu l'hiver, à la Comédie, ces jeunes officiers toujours brillants, qui font sans cesse le carrousel autour des actrices jolies ?"")","('#pierrot', 'Que la comédie aille comme elle pourra, pour moi je serai toujours recherché des femmes pour mon bel esprit.')",0.72,Substitution
100,"('#colombine', 'La pauvre enfant !  Elle ne se connaît pas en hommes !')","('#colombine', ""Une fille qui a du service, se tire toujours d'affaires dans le monde."")",1.68,Substitution
101,"('#isabelle', 'Pour ceux-là ils sont faits exprès pour mon humeur ; ils font toujours quelques singeries ; ils chantent, ils cabriolent, ils se battent quelquefois pour rire, et se baisent après devant tout le monde : enfin, quand je les vois sur le théâtre, ils me divertissent cent fois plus que la comédie.')","('#pierrot', ""Un homme qui a de l'entremetture et de l'entregent, ne saurait manquer de rien."")",1.91,Substitution
102,"('#colombine', 'Je vous en aurais bien proposé de cette manufacture-là ; mais...')","('#colombine', ""Arlequin, j'ai trouvé une bonne condition, veux-tu en être de moitié ?"")",1.38,Substitution
103,"('#isabelle', 'Quoi, mais !')","('#arlequin', 'Selon.')",1.1,Substitution
104,"('#colombine', ""Mais il vous faut un mari pour toute l'année, et ces messieurs-là ne servent que par quartier ; encore n'est-ce pas auprès de leurs femmes. J'entends du bruit.  Apparemment que voilà l'amant chasseur qui entre en danse. On donne du cor."")","('#pierrot', ""Je m'en vais servir dans une bonne maison, je te veux faire mon aide de camp."")",1.2,Substitution
105,,"('#arlequin', 'Nous verrons.')",1.0,Deletion
106,"('#mezzetin', ""Mademoiselle, je suis l'écuyer de monsieur le baron de la Dindonnière ; il vous envoie cette bête-là, en attendant qu'il vienne ici lui-même."")","('#colombine', 'Je suis reçue fille de chambre.')",1.28,Substitution
107,"('#isabelle', ""Si le maître est aussi bien fabriqué que l'écuyer, voilà de quoi faire un bel attelage."")",,1.0,Insertion
108,"('#mezzetin', ""On dit comme ça qu'il doit bientôt chasser sur vos terres.  La chasse sera bonne dans ce canton-là ; car je crois que personne n'y a encore chassé."")",,1.0,Insertion
109,"('#colombine', ""Ma maîtresse est une terre conservée ; j'en réponds, et je suis le garde des plaisirs."")","('#pierrot', ""Et moi valet d'antichambre."")",1.12,Substitution
110,,"('#colombine', 'Chez une femme.')",1.0,Deletion
111,"('#mezzetin', 'Dame !  Mon maître est un cadet bien découplé.  Vous me voyez...  Il est encore... quasi mieux fait que moi. Tenez, le voilà. On sonne du cor.')",,1.0,Insertion
112,"('#arlequin', ""Ton, ton, ton, ton, ho, ho !  Gerfaut, Briffaut, Miraut, Marmiteau !  Ho, ho, ho ! Mademoiselle, quand on chasse une jolie bête comme vous, on n'a pas besoin de chiens pour découvrir où vous êtes ; il est aisé de vous suivre à la piste, et le fumet de vos appas porte au nez de plus de cinq cents pas à la ronde. À Isabelle. Il sonne du cor."")","('#arlequin', ""Fi !  Une femme servir une femme.  Il n'y a point de contraste là-dedans."")",1.25,Substitution
113,"('#isabelle', ""Monsieur, je n'aime pas qu'on me fasse l'amour à son de trompe, et vous faites un peu trop de bruit pour prendre les lièvres au gîte."")","('#pierrot', 'Et moi chez une femme.')",1.43,Substitution
114,"('#arlequin', ""Vous moquez-vous ?  Je suis le gentilhomme de France le plus discret ; je sais qu'il faut du mystère en amour, et c'est pour cela que j'ai laissé ma meute dans votre antichambre."")","('#arlequin', 'Fort bien cela.')",1.85,Substitution
115,,"('#colombine', ""C'est une bourgeoise de la rue Saint-Denis."")",1.0,Deletion
116,"('#colombine', ""Ah !  Mes pauvres meubles !  Vraiment, je m'en vais bien faire sauter tous les chiens par la fenêtre."")","('#pierrot', ""C'est une bourgeoise de la rue Saint-Denis aussi la mienne."")",1.62,Substitution
