,la-fontaine-daphne,moliere-psyche,Cost,Operation Type
14,"('#momus', ""Ne vous faites point tant d'affaires."")","('#venus', ""Cessez, cessez pour moi tous vos chants d'allégresse : De si rares honneurs ne m'appartiennent pas, Et l'hommage qu'ici votre bonté m'adresse Doit être réservé pour de plus doux appas. C'est une trop vieille méthode De me venir faire sa Cour ; Toutes les choses ont leur tour, Et Vénus n'est plus à la mode. Il est d'autres attraits naissants, Où l'on va porter ses encens ; Psyché, Psyché la belle, aujourd'hui tient ma place, Déjà tout l'Univers s'empresse à l'adorer, Et c'est trop que dans ma disgrâce Je trouve encor quelqu'un qui me daigne honorer. On ne balance point entre nos deux mérites, À quitter mon parti tout s'est licencié, Et du nombreux amas de Grâces favorites, Dont je traînais partout les soins et l'amitié, Il ne m'en est resté que deux des plus petites, Qui m'accompagnent par pitié. Souffrez que ces demeures sombres Prêtent leur solitude aux troubles de mon coeur, Et me laissez parmi leurs ombres Cacher ma honte et ma douleur. Flore et les autres Déités se retirent, et Vénus avec sa suite sort de sa machine."")",1.52,Substitution
15,,"('#aegiale', ""Nous ne savons, Déesse, comment faire, Dans ce chagrin qu'on voit vous accabler : Notre respect veut se taire, Notre zèle veut parler."")",1.0,Deletion
16,"('#jupiter', ""Les premiers des humains sont péris sous les eaux : Fille de ma raison, forgeons-en de nouveaux. Prométhée en fait des modèles ; Vents, allez le chercher, qu'il vienne sur vos ailes. À ce commandement de Jupiter, les Vents partent de tous les côtés du théâtre, et apportent Prométhée."")","('#venus', ""Parlez, mais si vos soins aspirent à me plaire, Laissez tous vos conseils pour une autre saison, Et ne parlez de ma colère, Que pour dire que j'ai raison. C'était là, c'était là la plus sensible offense, Que ma divinité pût jamais recevoir ; Mais j'en aurai la vengeance, Si les Dieux ont du pouvoir."")",0.79,Substitution
17,"('#promethee', 'Que me veut Jupiter ?')","('#phaene', ""Vous avez plus que nous de clartés, de sagesse, Pour juger ce qui peut être digne de vous : Mais pour moi j'aurais cru qu'une grande Déesse Devrait moins se mettre en courroux."")",1.44,Substitution
18,"('#jupiter', 'Ouvre tes magasins.')",,1.0,Insertion
19,"('#promethee', ""Paraissez, nouveaux humains. À ce commandement de Prométhée, les toiles qui représentent la terre s'ouvrent de côté et d'autre, et au fond aussi, et laissent voir de toutes parts une boutique de sculpteur avec force outils et morceaux de toutes matières, et des statues d'hommes et de femmes debout sur des cubes."")","('#venus', ""Et c'est là la raison de ce courroux extrême. Plus mon rang a d'éclat, plus l'affront est sanglant, Et si je n'étais pas dans ce degré suprême, Le dépit de mon coeur serait moins violent. Moi la fille du Dieu qui lance le tonnerre, Mère du Dieu qui fait aimer ; Moi, les plus doux souhaits du Ciel et de la Terre, Et qui ne suis venue au jour que pour charmer ; Moi, qui par tout ce qui respire Ai vu de tant de voeux encenser mes autels, Et qui de la beauté, par des droits immortels, Ai tenu de tout temps le souverain Empire ; Moi, dont les yeux ont mis deux grandes Déités Au point de me céder le prix de la plus belle, Je me vois ma victoire et mes droits disputés Par une chétive mortelle ! Le ridicule excès d'un fol entêtement Va jusqu'à m'opposer une petite fille ! Sur ses traits et les miens j'essuierai constamment Un téméraire jugement ! Et du haut des cieux où je brille, J'entendrai prononcer aux mortels prévenus, Elle est plus belle que Vénus !"")",0.91,Substitution
20,"('#momus', ""Sont-ce là des humains ? Quelle race immobile ! J'aimais mieux la première, encor que moins tranquille."")","('#aegiale', ""Voilà comme l'on fait, c'est le style des Hommes, Ils sont impertinents dans leurs comparaisons."")",1.28,Substitution
21,"('#promethee', 'Vous ne les connaissez pas.')","('#phaene', ""Ils ne sauraient louer dans le siècle où nous sommes, Qu'ils n'outragent les plus grands noms."")",1.67,Substitution
22,"('#momus', 'Fais-leur faire quelques pas.')","('#venus', ""Ah que de ces trois mots la rigueur insolente Venge bien Junon et Pallas, Et console leurs coeurs de la gloire éclatante Que la fameuse pomme acquit à mes appas ! Je les vois s'applaudir de mon inquiétude, Affecter à toute heure un ris malicieux, Et d'un fixe regard chercher avec étude Ma confusion dans mes yeux. Leur triomphante joie au fort d'un tel outrage, Semble me venir dire, insultant mon courroux, Vante, vante, Vénus, les traits de ton visage, Au jugement d'un seul tu l'emportas sur nous, Mais par le jugement de tous Une simple mortelle a sur toi l'avantage. Ah ! Ce coup-là m'achève, il me perce le coeur, Je n'en puis plus souffrir les rigueurs sans égales, Et c'est trop de surcroît à ma vive douleur, Que le plaisir de mes rivales. Mon fils, si j'eus jamais sur toi quelque crédit, Et si jamais je te fus chère, Si tu portes un coeur à sentir le dépit Qui trouble le coeur d'une mère, Qui si tendrement te chérit ; Emploie, emploie ici l'effort de ta puissance À soutenir mes intérêts, Et fais à Psyché par tes traits Sentir les traits de ma vengeance. Pour rendre son coeur malheureux, Prends celui de tes traits le plus propre à me plaire, Le plus empoisonné de ceux Que tu lances dans ta colère ; Du plus bas, du plus vil, du plus affreux mortel, Fais que jusqu'à la rage elle soit enflammée, Et qu'elle ait à souffrir le supplice cruel D'aimer, et n'être point aimée."")",1.8,Substitution
23,,"('#l-amour', ""Dans le Monde on n'entend que plaintes de l'Amour, On m'impute partout mille fautes commises, Et vous ne croiriez point le mal et les sottises Que l'on dit de moi chaque jour. Si pour servir votre colère..."")",1.0,Deletion
24,"('#promethee', ""Descendez. Les statues descendent, et viennent à pas lents et graves faire une entrée, dansant presque sans mouvement, et d'une façon composée, comme feraient des sages et des philosophes."")","('#venus', ""Va, ne résiste point aux souhaits de ta mère, N'applique tes raisonnements Qu'à chercher les plus prompts moments De faire un sacrifice à ma gloire outragée. Pars, pour toute réponse à mes empressements, Et ne me revois point que je ne sois vengée. L'Amour s'envole, et Vénus se retire avec les Grâces. La scène est changée en une grande ville, où l'on découvre des deux côtés, des palais et des maisons de différents ordres d'architecture. "")",0.89,Substitution
25,"('#momus', ""Quelles gens ! Ce n'est qu'une machine."")","('#aglaure', ""Il est des maux, ma Soeur, que le silence aigrit, Laissons, laissons parler mon chagrin et le vôtre, Et de nos coeurs l'un à l'autre Exhalons le cuisant dépit : Nous nous voyons Soeurs d'infortune, Et la vôtre et la mienne ont un si grand rapport, Que nous pouvons mêler toutes les deux en une, Et dans notre juste transport Murmurer à plainte commune Des cruautés de notre sort. Quelle fatalité secrète, Ma soeur, soumet tout l'Univers Aux attraits de notre Cadette, Et de tant de princes divers Qu'en ces lieux la Fortune jette, N'en présente aucun à nos fers ? Quoi, voir de toutes parts pour lui rendre les armes, Les coeurs se précipiter, Et passer devant nos charmes, Sans s'y vouloir arrêter ? Quel sort ont nos yeux en partage, Et qu'est-ce qu'ils ont fait aux Dieux, De ne jouir d'aucun hommage, Parmi tous ces tributs de soupirs glorieux, Dont le superbe avantage Fait triompher d'autres yeux ? Est-il pour nous, ma Soeur, de plus rude disgrâce, Que de voir tous les coeurs mépriser nos appas, Et l'heureuse Psyché jouir avec audace D'une foule d'amants attachés à ses pas ?"")",1.22,Substitution
26,,"('#cidippe', ""Ah, ma Soeur, c'est une aventure À faire perdre la raison, Et tous les maux de la Nature, Ne sont rien en comparaison."")",1.0,Deletion
27,"('#promethee', ""C'est l'idole d'un sage."")",,1.0,Insertion
28,"('#les-dieux', 'Hé quoi ! la passion Jamais chez eux ne domine !')","('#aglaure', ""Pour moi j'en suis souvent jusqu'à verser des larmes, Tout plaisir, tout repos, par là m'est arraché, Contre un pareil malheur ma constance est sans armes, Toujours à ce chagrin mon esprit attaché Me tient devant les yeux la honte de nos charmes, Et le triomphe de Psyché. La nuit il m'en repasse une idée éternelle Qui sur toute chose prévaut ; Rien ne me peut chasser cette image cruelle, Et dès qu'un doux sommeil me vient délivrer d'elle, Dans mon esprit aussitôt Quelque songe la rappelle, Qui me réveille en sursaut."")",1.02,Substitution
29,,"('#cidippe', 'Ma Soeur, voilà mon martyre, Dans vos discours je me vois, Et vous venez là de dire Tout ce qui se passe en moi.')",1.0,Deletion
30,"('#promethee', ""Leur coeur en est tout plein ; ce n'est qu'ambition, Colère, désespoir, crainte, ou joie excessive. Machine, on veut voir vos ressorts ; Quittez tous ces trompeurs dehors. Les nouveaux hommes, qui paraissaient de véritables statues, quittent une partie de l'habit qui les enveloppe, et se font voir tels qu'ils sont dans l'intérieur, l'un représentant l'ambition, l'autre, la colère, la crainte, le désespoir, la joie excessive, etc. En cet état ils dansent en confusion et d'une manière aussi impétueuse et aussi vive que l'autre était grave et peu animée."")","('#aglaure', ""Mais encor, raisonnons un peu sur cette affaire. Quels charmes si puissants en elle sont épars, Et par où, dites-moi, du grand secret de plaire, L'honneur est-il acquis à ses moindres regards ? Que voit-on dans sa personne, Pour inspirer tant d'ardeurs ? Quel droit de beauté lui donne L'empire de tous les coeurs ? Elle a quelques attraits, quelque éclat de jeunesse, On en tombe d'accord, je n'en disconviens pas ; Mais lui cède-t-on fort pour quelque peu d'aînesse, Et se voit-on sans appas ? Est-on d'une figure à faire qu'on se raille ? N'a-t-on point quelques traits, et quelques agréments, Quelque teint, quelques yeux, quelque air et quelque taille À pouvoir dans nos fers jeter quelques amants ? Ma soeur, faites-moi la grâce De me parler franchement : Suis-je faite d'un air à votre jugement, Que mon mérite au sien doive céder la place, Et dans quelque ajustement Trouvez-vous qu'elle m'efface ?"")",0.09,Substitution
31,"('#momus', 'Je la trouvais trop lente, et la voilà trop vive.')","('#cidippe', ""Qui, vous, ma Soeur ? Nullement. Hier à la chasse, près d'elle, Je vous regardai longtemps, Et sans vous donner d'encens, Vous me parûtes plus belle. Mais moi, dites ma Soeur, sans me vouloir flatter, Sont-ce des visions que je me mets en tête, Quand je me crois taillée à pouvoir mériter La gloire de quelque conquête ?"")",1.15,Substitution
32,"('#minerve', 'Laissez-moi régler ces transports.')",,1.0,Insertion
33,"('#venus', ""Mon fils, par de secrètes causes, Peut encor mieux que vous les calmer à son tour : Rien n'a d'empire sur l'Amour, L'Amour en a sur toutes choses. Le plus magnifique don Qu'aux mortels on puisse faire, C'est l'amour."")","('#aglaure', ""Vous, ma Soeur, vous avez, sans nul déguisement, Tout ce qui peut causer une amoureuse flamme ; Vos moindres actions brillent d'un agrément Dont je me sens toucher l'âme, Et je serais votre amant, Si j'étais autre que femme."")",0.58,Substitution
34,"('#minerve', ""C'est la raison. Le don le plus nécessaire Aux hôtes de ce séjour, C'est la raison."")","('#cidippe', ""D'où vient donc qu'on la voit l'emporter sur nous deux, Qu'à ses premiers regards les coeurs rendent les armes, Et que d'aucun tribut de soupirs et de voeux On ne fait honneur à nos charmes ?"")",0.87,Substitution
35,"('#venus', ""C'est l'amour."")","('#aglaure', ""Toutes les dames d'une voix Trouvent ses attraits peu de chose, Et du nombre d'amants qu'elle tient sous ses lois, Ma Soeur, j'ai découvert la cause."")",1.4,Substitution
36,,"('#cidippe', ""Pour moi je la devine, et l'on doit présumer Qu'il faut que là-dessous soit caché du mystère : Ce secret de tout enflammer N'est point de la Nature un effet ordinaire ; L'art de la Thessalie entre dans cette affaire, Et quelque main a su sans doute lui former Un charme pour se faire aimer."")",1.0,Deletion
37,"('#amour', ""L'effet en jugera : servez-vous de vos armes, Et moi j'emploierai mes charmes."")","('#aglaure', ""Sur un plus fort appui ma croyance se fonde, Et le charme qu'elle a pour attirer les coeurs, C'est un air en tout temps désarmé de rigueurs, Des regards caressants que la bouche seconde, Un souris chargé de douceurs Qui tend les bras à tout le monde, Et ne vous promet que faveurs. Notre gloire n'est plus aujourd'hui conservée, Et l'on n'est plus au temps de ces nobles fiertés, Qui par un digne essai d'illustres cruautés, Voulaient voir d'un amant la constance éprouvée. De tout ce noble orgueil qui nous seyait si bien, On est bien descendu dans le siècle où nous sommes, Et l'on en est réduite à n'espérer plus rien, À moins que l'on se jette à la tête des hommes."")",0.66,Substitution
38,"('#minerve', ""Que vous vous tourmentez, mortels ambitieux, Désespérés et furieux, Ennemis du repos, ennemis de vous-mêmes ! A modérer vos voeux mettez tous vos plaisirs : Régnez sur vos propres désirs ; C'est le plus beau des diadèmes. Les hommes qui s'étaient arrêtés quelques moments pour ouïr Minerve, attendent à peine qu'elle a achevé, et ne laissent pas, malgré ses conseils, témoigner toujours la même fureur et le même emportement. L'Amour leur faisant signe qu'il veut parler, ils s'arrêtent."")","('#cidippe', ""Oui, voilà le secret de l'affaire, et je vois Que vous le prenez mieux que moi. C'est pour nous attacher à trop de bienséance, Qu'aucun amant, ma Soeur, à nous ne veut venir, Et nous voulons trop soutenir L'honneur de notre sexe, et de notre naissance. Les hommes maintenant aiment ce qui leur rit, L'espoir, plus que l'amour, est ce qui les attire, Et c'est par là que Psyché nous ravit Tous les amants qu'on voit sous son empire. Suivons, suivons l'exemple, ajustons-nous au temps, Abaissons-nous, ma Soeur, à faire des avances, Et ne ménageons plus de tristes bienséances Qui nous ôtent les fruits du plus beau de nos ans."")",0.0,Match
39,"('#amour', ""De vos sages discours voyez quel est le fruit Je ne dirai qu'un mot. Aimez. On obéit : Vous le voyez. Aux hommes. À ce mot, ceux qui dansaient en confusion et en tumulte dansent deux à deux comme personnes qui s'aiment."")","('#aglaure', ""J'approuve la pensée, et nous avons matière D'en faire l'épreuve première Aux deux princes qui sont les derniers arrivés. Il sont charmants, ma Soeur, et leur personne entière Me... Les avez-vous observés ?"")",0.66,Substitution
40,,"('#cidippe', ""Ah, ma Soeur, ils sont faits tous deux d'une manière, Que mon âme... Ce sont deux princes achevés."")",1.0,Deletion
41,"('#venus', ""Amour, qu'il est doux de te suivre !"")","('#aglaure', ""Je trouve qu'on pourrait rechercher leur tendresse, Sans se faire déshonneur."")",0.96,Substitution
42,,"('#cidippe', 'Je trouve que sans honte une belle Princesse Leur pourrait donner son coeur.')",1.0,Deletion
43,"('#jupiter', 'Vivez, nouveaux humains.')","('#aglaure', ""Les voici tous deux, et j'admire Leur air et leur ajustement."")",1.3,Substitution
44,,"('#cidippe', 'Ils ne démentent nullement Tout ce que nous venons de dire.')",1.0,Deletion
45,,"('#aglaure', ""D'où vient, Princes, d'où vient que vous fuyez ainsi ? Prenez-vous l'épouvante en nous voyant paraître ?"")",1.0,Deletion
46,,"('#cleomene', ""On nous faisait croire qu'ici La Princesse Psyché, Madame, pourrait être."")",1.0,Deletion
47,,"('#aglaure', ""Tous ces lieux n'ont-ils rien d'agréable pour vous, Si vous ne les voyez ornés de sa présence ?"")",1.0,Deletion
48,,"('#agenor', 'Ces lieux peuvent avoir des charmes assez doux ; Mais nous cherchons Psyché dans notre impatience.')",1.0,Deletion
49,"('#choeur-des-dieux', 'Vivez, nouveaux humains.')","('#cidippe', 'Quelque chose de bien pressant Vous doit à la chercher pousser tous deux sans doute.')",1.46,Substitution
50,,"('#cleomene', 'Le motif est assez puissant, Puisque notre fortune enfin en dépend toute.')",1.0,Deletion
51,,"('#aglaure', 'Ce serait trop à nous, que de nous informer Du secret que ces mots nous peuvent enfermer.')",1.0,Deletion
52,,"('#cleomene', ""Nous ne prétendons point en faire de mystère ; Aussi bien malgré nous paraîtrait-il au jour, Et le secret ne dure guère, Madame, quand c'est de l'amour."")",1.0,Deletion
53,,"('#cidippe', 'Sans aller plus avant, Princes, cela veut dire, Que vous aimez Psyché tous deux.')",1.0,Deletion
54,,"('#agenor', 'Tous deux soumis à son empire Nous allons de concert lui découvrir nos feux.')",1.0,Deletion
55,,"('#aglaure', ""C'est une nouveauté sans doute assez bizarre, Que deux rivaux si bien unis."")",1.0,Deletion
56,,"('#cleomene', 'Il est vrai que la chose est rare, Mais non pas impossible à deux parfaits amis.')",1.0,Deletion
57,"('#venus', ""Laissez-vous enflammer. Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")","('#cidippe', ""Est-ce que dans ces lieux il n'est qu'elle de belle, Et n'y trouvez-vous point à séparer vos voeux ?"")",0.58,Substitution
58,"('#choeur', ""Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")","('#aglaure', ""Parmi l'éclat du sang, vos yeux n'ont-ils vu qu'elle À pouvoir mériter vos feux ?"")",0.71,Substitution
59,"('#momus', ""D'où vient que si mal assortie Cette belle a fait choix d'un vieillard pour amant ?"")","('#cleomene', ""Est-ce que l'on consulte au moment qu'on s'enflamme ? Choisit-on qui l'on veut aimer ? Et pour donner toute son âme, Regarde-t-on quel droit on a de nous charmer ?"")",1.0,Substitution
60,"('#amour', ""C'est l'effet merveilleux d'un secret sentiment Que j'appelle sympathie."")","('#agenor', ""Sans qu'on ait le pouvoir d'élire ; On suit dans une telle ardeur, Quelque chose qui nous attire, Et lorsque l'amour touche un coeur, On n'a point de raisons à dire."")",1.27,Substitution
61,"('#venus', ""Le démon opposé n'a pas moins de pouvoir. Souvent nous haïssons ce qui devrait nous plaire."")",,1.0,Insertion
62,"('#jupiter', ""Tel dieu sait l'avenir, qui n'a pas su prévoir Quels maux ce démon lui va faire. Mais un jour un prince viendra Qui plaira plus qu'il ne voudra. Le Destin parmi nous lui garde un rang insigne, Et je lui veux accorder, Afin qu'il en soit plus digne, L'art de savoir commander. Mars lui promet en apanage La grandeur d'âme et de courage."")","('#aglaure', ""En vérité, je plains les fâcheux embarras Où je vois que vos coeurs se mettent ; Vous aimez un objet dont les riants appas Mêleront des chagrins à l'espoir qu'ils vous jettent, Et son coeur ne vous tiendra pas Tout ce que ses yeux vous promettent."")",0.59,Substitution
63,"('#minerve', 'Moi, la vertu.')",,1.0,Insertion
64,"('#venus', ""Moi, l'agrément."")","('#cidippe', ""L'espoir qui vous appelle au rang de ses amants Trouvera du mécompte aux douceurs qu'elle étale ; Et c'est pour essuyer de très fâcheux moments, Que les soudains retours de son âme inégale."")",1.06,Substitution
65,"('#amour', ""Et moi le don d'aimer et d'être heureux amant."")","('#aglaure', ""Un clair discernement de ce que vous valez Nous fait plaindre le sort où cet amour vous guide, Et vous pouvez trouver tous deux, si vous voulez, Avec d'autant d'attraits, une âme plus solide."")",0.55,Substitution
66,"('#venus #l-amour #minerve', ""Amour et la Raison s'accorderont pour faire Qu'aux coeurs comme aux esprits ce prince plaise un jour"")","('#cidippe', ""Par un choix plus doux de moitié Vous pouvez de l'amour sauver votre amitié, Et l'on voit en vous deux un mérite si rare, Qu'un tendre avis veut bien prévenir par pitié Ce que votre coeur se prépare."")",0.63,Substitution
67,"('#choeur', 'Heureux qui par raison doit plaire ! Plus heureux qui plaît par amour !')","('#cleomene', ""Cet avis généreux fait pour nous éclater Des bontés qui nous touchent l'âme ; Mais le Ciel nous réduit à ce malheur, Madame, De ne pouvoir en profiter."")",0.41,Substitution
68,"('#chloris #aminte #nymphes', ""Allons dans cette prairie : C'est un tranquille séjour ; Jamais les larmes d'amour N'y baignent l'herbe fleurie ; Les moutons y sont en paix, Et les loups n'y font jamais D'outrage à la bergerie."")","('#agenor', ""Votre illustre pitié veut en vain nous distraire D'un amour dont tous deux nous redoutons l'effet ; Ce que notre amitié, Madame, n'a pas fait, Il n'est rien qui le puisse faire[.]"")",0.99,Substitution
69,,"('#cidippe', 'Il faut que le pouvoir de Psyché... La voici[.]')",1.0,Deletion
70,"('#chloris', 'Viens, ma soeur.')","('#cidippe', ""[V]enez jouir, ma soeur, de ce qu'on vous apprête."")",0.79,Substitution
71,"('#aminte', 'Je te suis.')",,1.0,Insertion
72,"('#chloris', ""Viens goûter une vie Dont le calme est digne d'envie. Notre Nymphe a banni de ces lieux si charmants Ce peuple d'importuns que l'on appelle amants. La voici."")","('#aglaure', ""Préparez vos attraits à recevoir ici Le triomphe nouveau d'une illustre conquête."")",1.2,Substitution
73,"('#aminte', ""Que d'appas, de beautés, et de grâces ! Dirait-on pas que l'air s'embellit à ses traces ?"")","('#cidippe', ""Ces princes ont tous deux si bien senti vos coups, Qu'à vous le découvrir leur bouche se dispose."")",1.08,Substitution
74,"('#daphne', ""Amour, n'approche point de nos ombrages doux, De nos prés, de nos fontaines ; Laisse en repos ces lieux ; assez d'autres que nous Se feront un plaisir de connaître tes peines."")","('#psyche', ""Du sujet qui les tient si rêveurs parmi nous Je ne me croyais pas la cause, Et j'aurais cru toute autre chose En les voyant parler à vous."")",0.74,Substitution
75,"('#daphne', ""Chloris, n'est-ce pas la ta soeur que tu m'amènes ?"")",,1.0,Insertion
76,"('#chloris', 'Je vous la viens offrir. Nous cherchions en ces lieux Ce que Flore a pour vous de dons plus précieux.')","('#aglaure', ""N'ayant ni beauté, ni naissance À pouvoir mériter leur amour et leurs soins, Ils nous favorisent au moins De l'honneur de la confidence."")",0.81,Substitution
77,"('#daphne', ""Cherchons, cherchons des fleurs ; l'âge nous y convie : Parons-nous de bouquets pendant notre printemps : Les plaisirs ont chacun leur temps, Comme les saisons de la vie Daphné, ayant achevé ces paroles, se baisse pour cueillir des fleurs, et les Nymphes de la suite en font autant ; pendant quoi un choeur de bergers, demeuré par respect derrière le théâtre, répète ces mots."")","('#cleomene', ""L'aveu qu'il nous faut faire à vos divins appas, Est sans doute, Madame, un aveu téméraire ; Mais tant de coeurs près du trépas, Sont par de tels aveux forcés à vous déplaire, Que vous êtes réduite à ne les punir pas Des foudres de votre colère. Vous voyez en nous deux amis, Qu'un doux rapport d'humeurs sut joindre dès l'enfance ; Et ces tendres liens se sont vus affermis Par cent combats d'estime et de reconnaissance. Du Destin ennemi les assauts rigoureux, Les mépris de la mort et l'aspect des supplices, Par d'illustres éclats, de mutuels offices Ont de notre amitié signalé les beaux noeuds : Mais à quelques essais qu'elle se soit trouvée, Son grand triomphe est en ce jour, Et rien ne fait tant voir sa constance éprouvée, Que de se conserver au milieu de l'amour. Oui, malgré tant d'appas, son illustre constance Aux lois qu'elle nous fait a soumis tous nos voeux ; Elle vient d'une douce et pleine déférence Remettre à votre choix le succès de nos feux, Et pour donner un poids à notre concurrence Qui des raisons d'État entraîne la balance Sur le choix de l'un de nous deux, Cette même amitié s'offre sans répugnance D'unir nos deux États au sort du plus heureux."")",0.44,Substitution
78,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie.')","('#agenor', ""Oui, de ces deux États, Madame, Que sous votre heureux choix nous nous offrons d'unir, Nous voulons faire à notre flamme Un secours pour vous obtenir. Ce que pour ce bonheur, près du Roi votre père Nous nous sacrifions tous deux, N'a rien de difficile à nos coeurs amoureux, Et c'est au plus heureux faire un don nécessaire D'un pouvoir dont le malheureux, Madame, n'aura plus affaire."")",1.27,Substitution
79,"('#daphne', ""J'entends de nos bergers le concert plein d'appas. Qu'ils chantent, je le veux, mais qu'ils n'approchent pas."")",,1.0,Insertion
80,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie Il en renaît sous ses pas.')","('#psyche', ""Le choix que vous m'offrez, Princes, montre à mes yeux De quoi remplir les voeux de l'âme la plus fière, Et vous me le parez tous deux d'une manière, Qu'on ne peut rien offrir qui soit plus précieux. Vos feux, votre amitié, votre vertu suprême, Tout me relève en vous l'offre de votre foi, Et j'y vois un mérite à s'opposer lui-même À ce que vous voulez de moi. Ce n'est pas à mon coeur qu'il faut que je défère Pour entrer sous de tels liens ; Ma main, pour se donner, attend l'ordre d'un père, Et mes soeurs ont des droits qui vont devant les miens, Mais si l'on me rendait sur mes voeux absolue, Vous y pourriez avoir trop de part à la fois, Et toute mon estime entre vous suspendue, Ne pourrait sur aucun laisser tomber mon choix. À l'ardeur de votre poursuite Je répondrais assez de mes voeux les plus doux ; Mais c'est parmi tant de mérite Trop que deux coeurs pour moi, trop peu qu'un coeur pour vous. De mes plus doux souhaits j'aurais l'âme gênée. À l'effort de votre amitié, Et j'y vois l'un de vous prendre une destinée À me faire trop de pitié. Oui, Princes, à tous ceux dont l'amour suit le vôtre, Je vous préférerais tous deux avec ardeur ; Mais je n'aurais jamais le coeur De pouvoir préférer l'un de vous deux à l'autre. À celui que je choisirais, Ma tendresse ferait un trop grand sacrifice, Et je m'imputerais à barbare injustice, Le tort qu'à l'autre je ferais. Oui, tous deux vous brillez de trop de grandeur d'âme. Pour en faire aucun malheureux, Et vous devez chercher dans l'amoureuse flamme Le moyen d'être heureux tous deux. Si votre coeur me considère Assez pour me souffrir de disposer de vous, J'ai deux soeurs capables de plaire, Qui peuvent bien vous faire un destin assez doux, Et l'amitié me rend leur personne assez chère, Pour vous souhaiter leurs époux."")",1.19,Substitution
