,biancollelli-arlequin-gentilhomme,regnard-arlequin-bonnes-fortunes,Cost,Operation Type
10,"('#pierrot', 'Tu pourras converser avec Messieurs les rats,  Qui le jour et la nuit te tiendront compagnie. ')","('#le-vicomte', 'Voyons-la. ')",1.58,Substitution
11,,"('#mezzetin', ""Passe.  La pauvre créature fait tout ce qu'elle peut pour m'égratigner le coeur, "")",1.0,Deletion
12,"('#arlequin', ""La conversation sera, ma foi, jolie,  De grâce, cher Pierrot, soyez plus indulgent,  Le moyen de payer quand on est sans argent,  Je n'ai pas un denier, je me mets à la mode,  Et des gens du grand air j'observe la méthode,  Payer ce que l'on doit est du dernier bourgeois,  Mon ami, lui dit-on, venez une autre fois,  Il retourne, on lui tient toujours même langage,  Le pauvre malheureux fait en vain ce voyage.  L'homme de qualité qui ne veut point payer,  Conduit jusqu'aux degrés le morne créancier ;  C'est ainsi qu'aujourd'hui on acquitte ses dettes  Et Messieurs les Marchands sont traités en grisettes,  On leur trouve d'abord de merveilleux appas,  Quand on s'est servi l'on en fait peu de cas. "")","('#mezzetin', ""Il est aussi venu' un laquais de la part de madame la comtesse de Charbonglacé, qui a laissé un paquet dans une toilette.  Diable !  Celle-ci est bien mieux étoffée que l'autre.  La Comtesse pourrait bien me faire faire la sottise de l'aimer.  Mais il ne fait pas si cher vivre à Paris ; tout s'y donne.  Il tire une toilette où est encore une robe de chambre.  On frappe rudement à la porte. "")",0.24,Substitution
13,"('#colombine', 'Ta comparaison cloche, il faut me satisfaire. ')",,1.0,Insertion
14,"('#arlequin', ""L'honneur me le défend et je ne puis le faire,  J'ai le coeur noble et fier, connaissez Arlequin. "")","('#mezzetin', ""Monsieur, c'est le laquais de la Veuve de ce procureur. "")",1.32,Substitution
15,,"('#le-vicomte', 'Laisse-le entrer. ')",1.0,Deletion
16,,"('#le-vicomte', 'Que diable me veut-elle ? ')",1.0,Deletion
17,"('#pierrot', 'Vous êtes, je le sais, Gentilhomme faquin,  Mais du moins mon ami laissez-nous quelque gage. ')","('#le-laqauis', ""Monsieur, voilà ce que madame vous envoie ; elle dit comme çà que vous aurez l'honneur de la voir bientôt. "")",1.3,Substitution
18,"('#arlequin', ""Je ne puis vous donner qu'un morceau de fromage,  Que je garde avec soin depuis plus de dix ans,  Et je fais sur moi-même un effort des plus grands,  En vous abandonnant ce trésor plein de charmes  C'est lui seul dont le goût dissipe mes alarmes,  Lorsque je suis chagrin, inquiet, agité,  Je n'ai qu'à le sentir pour ma tranquillité.  Je le mets pour dormir la nuit sous ma paillasse  Et je ronfle en repos quelque bruit que l'on fasse  Quand même vingt canons péteraient à la fois,  Jamais malgré ce bruit je ne m'éveillerais.  Mais je vois bien qu'il faut répondre à votre envie,  Fromage de Milan, délice de ma vie,  Lénitif de mes maux, aimable cordial,  Rare et friand boucon, élixir pectoral,  Passez dans d'autres mains puisque du sort barbare,  L'injurieuse loi pour jamais nous sépare,  Recevez, cher Pierrot, ce bijou précieux,  Dont la perte de pleurs grossit mes petits yeux.  Il dit ce qui suit d'un ton tragique."")","('#le-vicomte', ""Mon enfant, dis-lui qu'elle ne s'en donne pas la peine. Je vais prendre un remède pour me débrouiller le teint.  Le laquais sort. "")",1.16,Substitution
19,"('#pierrot', ""Il est bon là ma foi, que veux-tu que j'en fasse ?  Cette plaisanterie est de mauvaise grâce,  Nous voulons de l'argent tout au plus tard demain,  Sinon sur le collet on te mettra la main,  Cherche un expédient pour te tirer d'affaire. "")","('#le-vicomte', 'Comment !  Encore une robe de chambre !  Il faut avouer que les femmes nous aiment bien en déshabillé.  On frappe à la porte. ')",1.4,Substitution
20,,"('#mezzetin', ""Monsieur, c'est la Marquise. "")",1.0,Deletion
21,"('#colombine', ""Je te l'ai déjà dit, songe à me satisfaire  C'est le plus sûr moyen pour sortir d'embarras,  Il me faut du comptant. "")","('#le-vicomte', 'Donne-moi vite la robe de chambre de la Marquise. Mezzetin prend la robe de chambre de la Marquise, et le Vicomte la met par-dessus la sienne. On refrappe à la porte. ')",1.58,Substitution
22,"('#arlequin', ""Et n'en avez-vous pas ?  Pourquoi m'en demander ? "")",,1.0,Insertion
23,"('#pierrot', ""C'en est trop ventrebille,  J'entre en fureur, allons femme, rossons ce drille.  Pierrot et Colombine frappent Arlequin."")","('#mezzetin', ""Ce n'est pas la Marquise, monsieur, c'est la Comtesse.  Il faut remarquer qu'à chaque fois que l'on heurte, Mezzetin va voir à la porte, et revient sur-le-champ."")",1.23,Substitution
24,"('#colombine', 'Pour moi je le veux bien je frappe de bon coeur. ')","('#le-vicomte', 'Et vite, la robe de chambre de la Comtesse ! Tout serait perdu si elle me trouvait sans cela.  Il met encore cette robe de chambre sur les deux autres. On continue de frapper. ')",1.41,Substitution
25,"('#arlequin', ""Est-ce ainsi qu'aujourd'hui l'on traite un débiteur ?  Je recevrais le double avec grande constance,  Si de ce que je dois vous donniez quittance. "")","('#mezzetin', ""Oh !  Monsieur, c'est la veuve du procureur. "")",1.53,Substitution
26,"('#pierrot', 'Oh, tu gagnerais trop, et moi je perdrais tout. ')",,1.0,Insertion
27,"('#arlequin', 'Par ma foi vous poussez ma complaisance à bout. ')","('#le-vicomte', ""Que le diable l'emporte !  Ne saurait-elle donner une robe de chambre sans venir l'essayer ?  Donne.  Il met la troisième robe de chambre avec beaucoup de peine, ne pouvant presque plus se remuer à cause des trois autres qu'il a déjà sur lui ; à la fin, après plusieurs lazzis, il tombe, et à peine est-il relevé que la Veuve entre. "")",1.45,Substitution
28,"('#colombine', ""Il nous faut de l'argent, adieu maligne bête. "")","('#le-vicomte', ""Hé !  Morbleu, madame !  Ne vous avais-je pas fait dire que je n'étais pas visible aujourd'hui ?  Hé, ventrebleu !  Ne saurait-on rendre un lavement sans femme ? "")",1.57,Substitution
29,"('#arlequin', 'Peut-on vous refuser, vous êtes trop honnête ? ')","('#la-veuve', 'Pour vous trouver, monsieur, il faut vous prendre au saut du lit ; le reste du jour vous êtes inabordable. ')",1.36,Substitution
30,"('#arlequin', ""Je me trouve à présent dans un piteux état,  Que ferai-je ? Endossons un habit de soldat...  Non pas c'est mal penser, le canon m'épouvante  Ce bruit alarme trop mon oreille tremblante,  D'ailleurs je ne prétends courir aucun hasard,  Car la valeur et moi, nous faisons pot à part.  Choisissons un métier lucratif et facile,  Où je puisse accorder l'agréable et l'utile ;  Celui de ne rien faire est un emploi charmant,  Morbleu que je saurais l'exercer noblement !  Mais pour le soutenir quoiqu'il puisse me plaire  Il faut avoir du fond, ce n'est pas mon affaire.  Faisons-nous Avocat, c'est un joli métier,  Il ne faut que mentir, supposer et crier,  Dire des faussetés, car c'est là la méthode,  Citer mal à propos un passage du code...  Non, non, il faut longtemps arpenter le Palais,  Avant que les plaideurs tombent dans les filets.  Devenons Procureur... j'ai trop de conscience  Il faut pour chicaner beaucoup d'expérience.  Financier... cet emploi partout est révéré,  Non celui de Jasmin est son premier degré.  Médecin ou Bourreau l'un vaut l'autre, il n'importe,  Je renonce à ce nom, ou le Diable m'emporte,  J'ai le coeur trop humain, et je ne pourrais pas  Voir chérir l'ignorant et vivre du trépas.  La charge de voleur me serait convenable,  Je suis adroit, subtil, alerte comme un Diable.  Je suis fou d'aspirer au titre de voleur,  Puisque je ne veux pas devenir Procureur.  Que choisirai-je donc pour sortir de misère ?  Item il faut manger la chose est nécessaire,  Devenons Procureur... j'ai trop de conscience  Il faut pour chicaner beaucoup d'expérience.  Financier... cet emploi partout est révéré,  . . . . . . . . . . . .  Faisons-nous bel esprit, il est beau d'être auteur...  Encore moins, j'aime mieux l'emploi de crocheteur.  En voici la raison. Dans le siècle où nous sommes,  Les savants sont toujours de misérables hommes,  Qu'ils fassent de beaux vers, ils n'en sont pas moins gueux,  Et l'heure du dîner ne sonne pas pour eux.  Mais un bon crocheteur après son rude ouvrage  Trouve dans son taudis, son bouilli, son potage.  Juvénal nous apprend qu'un poète fameux  Quoiqu'il soit estimé n'en est pas plus heureux. "")","('#le-vicomte', ""Il est vrai que je n'ai pas une heure à moi.  Je suis si courbatu de ces aventures que le vulgaire appelle bonnes fortunes, que mon superflu suffirait à vingt fainéants de la cour. "")",0.32,Substitution
31,"('#geronte', ""Tous mes voeux sont comblés, et ma joie est extrême  D'avoir pu contenter une fille que j'aime.  J'ai pour elle fait choix d'un époux accompli,  Qu'elle aimera sans doute étant bien fait, poli,  Enfin je m'applaudis d'avoir un pareil gendre,  C'est le fils de Damon, on le nomme Léandre.  Chacun connaît son bien et sa condition,  Son père est pour le moins riche d'un million. "")","('#la-veuve', ""Je crois, monsieur, que c'est aujourd'hui un de vos jours de conquête ; vous voilà fleuri comme un petit Cupidon. "")",1.29,Substitution
32,"('#le-docteur', ""Permettez, cher ami, que je vous félicite  Je ne puis qu'admirer votre sage conduite,  Comme je suis votre seul confident,  Je vous ai reconnu pour un homme prudent.  Le juste ciel protège un père de famille,  Quand avec avantage il établit sa fille,  La fortune m'a moins favorisé que vous,  J'attends de jour en jour pour la mienne un époux  Il est, je l'avouerai, moins riche que Léandre,  Mais d'un engagement je n'ai pu me défendre,  C'est le fils de Philinte, homme de qualité,  Avec ce bon vieillard j'ai déjà contracté.  Il ne peut lui donner que mille écus de rente,  Quoiqu'il en soit ma fille en doit être contente.  La vôtre jouira d'un plus heureux destin,  Ce choix avantageux rend son bonheur certain  Il réussit en tout au gré de son envie,  Sa fille pouvait-elle être mieux établie !  Bas."")","('#le-vicomte', ""Je n'ai pourtant encore fait la conquête que d'un bouillon postérieur qui me cause des épreintes horribles : il faut que ma femme de chambre ne me l'ait pas donné de droit fil. "")",0.53,Substitution
33,"('#geronte', ""Un mari jeune, aimable, et de plus opulent,  A pour charmer sa femme un merveilleux talent  Enfin tout est conclu je n'ai plus rien à craindre  Vous de votre côté vous n'êtes pas à plaindre,  Dans nos projets formés nous sommes fort heureux,  Cette affaire nous va rajeunir tous les deux.  Mais j'ose vous prier de me rendre un service. "")",,1.0,Insertion
34,"('#le-docteur', 'Ne me pas éprouver est me faire injustice. ')","('#la-veuve', ""J'ai été aussi incommodée toute la nuit de tranchées ; je suis aujourd'hui à faire peur. "")",1.6,Substitution
35,"('#geronte', ""De meubles je n'ai pas grande provision,  Vous savez que jamais je n'eus d'ambition,  J'ai toujours pris plaisir à garder ma finance,  Dans la crainte de faire une folle dépense.  Pour recevoir mon gendre un peu plus noblement,  Je voudrais lui meubler un grand appartement,  J'aurais besoin d'un lit, d'une tapisserie,  De vases, de miroirs, prêtez-moi je vous prie. "")","('#le-vicomte', ""En vérité, madame, cela est vrai : il y a aujourd'hui bien des erreurs à votre teint ; mais il est resté là-bas un peu de décoction, ne vous en faites point de nécessité. "")",1.4,Substitution
36,"('#le-docteur', ""Disposez librement de toute ma maison,  J'ai des meubles chez moi pour plus d'une saison,  Envoyez-moi des gens pour porter le bagage  Et si vous en voulez encore davantage,  Croyez que j'ai, mon cher, de quoi vous contenter,  Et sur moi vous pouvez entièrement compter. "")","('#la-veuve', ""Ce n'est pas avec des simples que l'âcreté de mon mal peut se guérir : ma maladie est là.  Elle se touche au coeur."")",1.7,Substitution
37,,"('#le-vicomte', ""On sait bien qu'une femme grosse a toujours de petits maux de coeur. "")",1.0,Deletion
38,"('#scaramouche', 'Quel vertigo vous prend, mon très illustre maître,  Vous demeurez ici sans vous faire connaître,  Géronte vous attend, que ne le voyez-vous ? ')","('#la-veuve', 'Moi, grosse !  Moi !  Ah, quelle ordure !  Il y a trois ans que Monsieur Gratefeuille, mon mari, est mort !  Grosse !  Quelle obscénité ! ')",1.73,Substitution
39,"('#leandre', ""Hélas ! Il troublerait les plaisirs les plus doux,  J'adore, tu le sais, la charmante Isabelle,  Ne blâmez point, mon cher, une flamme si belle. "")","('#le-vicomte', ""Ah, madame !  Je vous demande pardon ; je vous croyais fille.  On s'y trompe quelquefois. "")",1.04,Substitution
40,"('#scaramouche', ""Je ne vous comprends pas, vous moquez-vous des gens ?  Peste des amoureux, ils perdent le bon sens :  Vous n'en usez pas bien, fi, fi, c'est une honte  Vous devez épouser la fille de Géronte,  Vous partez de Paris remplis de ce dessein.  Je crois que vous venez pour lui donner la main  Et quand vous arrivez malgré votre parole,  Vous vous amourachez d'une petite folle ;  Monsieur, ce procédé me parait fort suspect,  Vous êtes un coquin, soit dit par respect. "")","('#la-veuve', ""Mais, monsieur, je vous trouve bien gros ; qu'avez-vous ? "")",1.09,Substitution
41,"('#leandre', ""Tu condamnes en vain ma nouvelle tendresse,  Je ne puis aisément guérir de ma faiblesse,  Et malgré ma promesse un objet tout charmant  A dispensé mon coeur de son engagement.  Isabelle à ses lois tient mon âme asservie,  Et je sens qu'il faudra l'aimer toute ma vie  Quand Léonore aurait de plus puissants appas  Ses attraits de mon coeur ne triompheraient pas.  Quelque puisse être enfin le courroux de mon père,  J'attends sans m'alarmer l'effet de sa colère,  L'amour et la raison ne peuvent s'accorder. "")","('#le-vicomte', ""Je n'ai rien, c'est que je soupai furieusement hier au soir. "")",1.33,Substitution
42,"('#scaramouche', ""Vous cherchez vainement à me persuader,  Monsieur, vous vous ferez quelque méchante affaire,  Vous avez le minois un peu patibulaire,  Croyez-moi profitez de ma sage leçon,  J'en sais plus long que vous, je suis un vieux barbon.  Ce n'est que l'amitié qui pour vous m'intéresse  Les filles de tout temps ont gâté la jeunesse,  C'est un malin bétail, pour l'avoir écouté,  Je ne sais que trop bien ce qui m'en a coûté.  Çà, que de cet amour votre coeur se délivre,  Je vous guiderez bien, vous n'avez qu'à me suivre,  Je veux de votre esprit gouverner le vaisseau,  Car il pourrait fort bien s'en aller à vau-l'eau,  Comme un Pilote expert je prétends vous conduire,  Et de votre raison calfeutrer le navire. "")","('#la-veuve', ""Il faut qu'il y ait autre chose : N'êtes-vous point hydropique ? "")",1.68,Substitution
43,,"('#le-vicomte', ""J'en serais bien fâché. "")",1.0,Deletion
44,"('#leandre', ""Termine ce discours, tes soins sont superflus,  J'en ai trop entendu, ne m'importune plus,  J'espère voir bientôt la charmante Isabelle,  Dans son appartement un rendez-vous m'appelle.  Adieu. "")","('#la-veuve', ""Voyons.  Elle lui lève ses robes de chambre l'une après l'autre. "")",1.52,Substitution
45,"('#scaramouche', 'Vous persistez dans cette opinion,  Et ne profitez pas de ma correction,  Ah ! Le franc scélérat. ')","('#le-vicomte', ""Hé, fi, Madame !  Que faites-vous là ?  Cela n'est point honnête. "")",0.47,Substitution
46,"('#leandre', ""Quoique tu sois habile  Pour me faire changer ton soin est inutile.  Il s'en va."")",,1.0,Insertion
47,"('#scaramouche', ""Comme de ma morale il ne fait point de cas,  Mes préceptes savants ne le réforment pas ?  Morbleu, de quoi me sert ma rhétorique ?  Je parle bon français c'est de quoi je me pique  Malgré ce que je dis, le pendard, le vilain,  Refuse de m'entendre et va toujours son train ;  Quand je veux lui tracer une plus belle route,  Pour ne pas y marcher il dit qu'il a la goutte.  Hé bien petit coquin, fais comme tu l'entends,  Pour moi je t'abandonne à tes égarements. "")","('#la-veuve', ""Une, deux, trois robes de chambre, c'est-à-dire trois maîtresses.  Ah, traître !  C'est donc ainsi que tu me joues ?  Tu dis que tu n'aimes que moi."")",0.87,Substitution
48,,"('#le-vicomte', ""Madame, je n'en puis plus. "")",1.0,Deletion
49,"('#le-docteur', ""Vous n'avez qu'à porter ces meubles chez Géronte. "")","('#la-veuve', ""Voilà l'effet de tes serments !... "")",1.73,Substitution
50,"('#le-crocheteur', ""A-t-il de quoi payer, je crains qu'il ne m'affronte ? "")","('#le-vicomte', 'Madame, je vais tout rendre, si je ne sors. ')",1.35,Substitution
51,"('#le-docteur', ""Oh ! Vous ne risquez rien il est homme d'honneur.  . . . . . . . . . . . . "")",,1.0,Insertion
52,"('#arlequin', ""Maître Jacques prenez cette chaise percée,  D'une certaine odeur ma narine est blessée,  Et mon nez délicat s'en est formalisé. "")","('#la-veuve', 'Scélérat ! ')",1.01,Substitution
53,"('#le-crocheteur', ""Pour un rien vous voilà d'abord scandalisé. "")","('#le-vicomte', 'Madame, je ne réponds plus de la discrétion de mon derrière. ')",1.33,Substitution
54,"('#arlequin', ""N'allez pas pour cela me faire une querelle,  Je sais bien que pour vous c'est une bagatelle,  Vous avez l'odorat faquin et roturier,  Mais pour le mien il craint de se mésallier.  J'ai vu chez le Docteur une vaste cuisine  Où je voudrais gratis calmer ma faim canine.  En m'approchant du feu dans deux larges chaudrons,  J'ai d'abord aperçu d'excellents macarons  Qui sur un clair brasier une flamme bien pure  Par leur bouillonnement faisaient un doux murmure,  Moi qui suis de Bergame où l'on en mange tant  Si j'en avais ma part que j'en serais content !  Ciel qui depuis longtemps connais ma gourmandise,  Ne m'abandonne pas dans ma belle entreprise,  Autorise en ce jour un innocent larcin,  Daigne me seconder dans ce noble dessein,  Ou si des deux chaudrons je ne suis pas le maître,  Fais qu'au moins sur un plat je puisse me repaître,  Les Crocheteurs entrent chez Géronte. "")","('#la-veuve', ""N'as-tu point de honte ?... "")",1.71,Substitution
55,,"('#le-vicomte', ""Il ne tient plus qu'à un petit filet. "")",1.0,Deletion
56,"('#octave', 'Nous voici, grâce au Ciel, arrivé à Lyon. ')",,1.0,Insertion
57,"('#mezzetin', ""Vous aurez en ce lieu de l'occupation,  Dans ce charmant pays les filles sont fringantes  Certaines quelquefois sont plus que complaisantes.  Je sais parbleu la carte et je puis me vanter  D'être des plus experts dans l'art de coqueter.  Au reste vous ferez ici très bonne chère,  Si vous aimez le vin, Lyon est votre affaire  Du matin jusqu'au soir les cabarets sont pleins. "")","('#la-veuve', ""Non, je ne veux plus de commerce avec toi ; rends-moi ma robe de chambre.  Elle lui veut arracher sa robe de chambre : ils se battent ; le Vicomte la décoiffe ; une de ses jupes tombe, et elle s'en va. "")",1.33,Substitution
58,"('#octave', ""Non je n'ai point formé de semblables desseins  La fille du Docteur que l'on nomme Isabelle,  Est la seule beauté qui dans ces lieux m'appelle,  Tu sais que de paris j'ai quitté le séjour  Pour unir, s'il se peut, l'hymen avec l'amour. "")","('#isabelle', ""En vérité, vous êtes bien folle de farcir votre tête de vos sottes imaginations d'amour et de mariage. Est-ce là le parti que doit prendre une cadette, et ne devriez-vous pas avoir renoncé au monde ? "")",0.93,Substitution
59,"('#mezzetin', ""Si pour les accorder vous fîtes ce voyage,  Vous pouvez repartir sans tarder davantage,  Ici comme à Paris l'époux n'est point amant,  Je sais Lyon par coeur j'en parle savamment. "")","('#colombine', 'Mon_Dieu, ma soeur, cela est bien aisé à dire ; mais vous ne parleriez pas comme vous faites, si vous sentiez ce que je sens. ')",1.47,Substitution
60,"('#octave', ""Faut-il que sur les moeurs ta piquante critique,  À répandre son fiel incessamment s'applique ?  Ce n'est pas d'aujourd'hui que tu connais mon coeur,  Et j'aimerai toujours la fille du Docteur. "")","('#isabelle', ""Et que sentez-vous donc, s'il vous plaît ?  Vraiment, je vous trouve une jolie mignonne, pour sentir quelque chose !  Et que sentirai-je donc, moi qui suis votre aînée ?  Est-ce que l'on m'entend plaindre des envies que cause I'état de fille ?  Vous êtes encore une plaisante morveuse ! "")",0.76,Substitution
61,,"('#colombine', ""Plaisante morveuse !  Mon_Dieu !  Je ne suis pas si morveuse que je le parais, et il y aurait déjà longtemps que je serais femme si mon père avait voulu ; car on m'a dit qu'on pouvait l'être à douze ans. "")",1.0,Deletion
62,,"('#isabelle', ""Mais savez-vous bien ce que c'est qu'un mari, pour parler comme vous faites ? "")",1.0,Deletion
63,,"('#colombine', ""Bon !  Si je ne le savais pas, est-ce que j'en voudrais avoir un ? "")",1.0,Deletion
64,"('#mezzetin', ""Ô miracle d'amour ! Quel excès de constance ! "")","('#isabelle', 'Hé !  Qui vous a donc appris de si belles choses ? ')",1.81,Substitution
65,"('#octave', 'Je ne veux point céder à mon impatience,  Avant que de la voir cherchons un cabaret. ')","('#colombine', ""Cela ne s'apprend-il pas tout seul ?  Quand je songe que je serai mariée, je suis si aise, si aise !  Oh !  Il faut que ce soit quelque chose de fort joli que le mariage, puisque la pensée seule fait tant de plaisir. "")",1.09,Substitution
66,"('#mezzetin', ""J'y consens volontiers cet asile me plaît,  C'est dans ce beau réduit cette aimable retraite  Que Mezzetin jouit d'une douceur parfaite,  Toujours le cabaret ce lieu récréatif,  Contre le mauvais air fut un préservatif  Un antidote enfin... "")","('#isabelle', ""Vous vous trompez fort à votre calcul, si vous vous figurez tant de plaisir dans le mariage.  Le beau régal qu'un mari qui gronde toujours !  Les soins des domestiques, l'incommodité d'une grossesse : non, quand il n'y aurait que la peur d'avoir des enfants, je renoncerais au mariage pour toute ma vie. "")",0.56,Substitution
67,,"('#colombine', ""La peur d'avoir des enfants !  Bon !  On dit que c'est pour cela qu'il faut se marier. "")",1.0,Deletion
68,"('#octave', 'Finis donc je te prie,  Et frappe promptement à cette hôtellerie. ')",,1.0,Insertion
69,"('#mezzetin', 'Holà ? ')","('#isabelle', 'Bon Dieu !  Quelle petitesse de raisonnement !  Que votre esprit est à rez-de-chaussée ! ')",1.74,Substitution
70,"('#colombine', 'Que voulez-vous ? ')","('#colombine', 'Mais vous, ma saur, qui êtes si raisonnable, est-ce que vous ne voulez pas vous marier ? ')",1.03,Substitution
71,"('#mezzetin', ""Ah ! le joli tendron,  Êtes-vous du logis l'enseigne ou le bouchon ? "")",,1.0,Insertion
72,"('#colombine', 'Non je suis la maîtresse. ')","('#isabelle', ""Oh !  Ce n'est pas de même, moi ; je suis votre aînée, et la raison qui veut que vous ne vous mariiez pas, veut que je me marie.  Vous n'êtes point propre au mariage ; ce n'est point un jeu d'enfant. "")",1.84,Substitution
73,"('#mezzetin', 'Agréable mignonne,  Je gage que chez vous la pratique foisonne. ')","('#colombine', ""Et moi, je vous dis que j'y suis aussi propre que vous.  Je supporterai fort bien toutes les fatigues du ménage ; et quoique je sois jeune, si j'étais mariée présentement, je suis sûre que je n'en mourrais pas. "")",1.43,Substitution
74,"('#colombine', 'Tenez un peu vos mains et sans gesticuler... ')",,1.0,Insertion
75,"('#mezzetin', 'Quoi vous ne voulez pas vous laisser cajoler ? ')","('#isabelle', ""En vérité, il faut que j'aie bien de la bonté de souffrir tous les travers de votre esprit.  Tout ce que je puis faire encore pour vous, c'est de vous conseiller de bannir de votre cerveau toutes vos idées matrimoniales, et de croire qu'il n'y a personne assez dépourvu de bon sens pour vouloir se charger de votre peau. "")",1.2,Substitution
76,,"('#colombine', ""Hé !  La la, cette charge-là n'est pas si pesante et ne fait pas peur à tout le monde : il n'y a pas encore huit jours que je trouvai dans une boutique, au Palais, un monsieur de condition, qui me dit que j'étais bien à son gré, et qu'il serait bien aise de m'épouser. "")",1.0,Deletion
77,"('#colombine', 'Encore ? Finissez-vous bientôt ce badinage ? ')","('#isabelle', 'Et que lui répondîtes-vous ? ')",0.81,Substitution
78,"('#octave', 'Coquin, veux-tu cesser ? ')","('#colombine', ""Je lui dis que j'étais encore bien petite pour cela ; mais que l'année qui vient, j'espérais d'être plus grande. "")",1.6,Substitution
79,"('#colombine', ""Monsieur est bien plus sage  Que ne l'imitez-vous ?  À Mezzetin."")","('#isabelle', ""Vous serez plus grande et plus folle.  Vous ne voyez donc pas qu'il se moquait de vous, et que vous vous donnez un ridicule dans le monde ?  Allez, vous devriez mourir de honte."")",1.17,Substitution
80,"('#octave', 'Pouvez-vous me loger. ')","('#colombine', 'Ne voilà-t-il pas ?  Vous me grondez toujours.  Vous voulez bien vous marier, vous, et vous ne voulez pas que je me marie.  Est-ce que je ne suis pas fille comme vous ? ')",1.37,Substitution
81,,"('#isabelle', ""Une petite fille qui n'a pas quinze ans, donner à corps perdu au travers du mariage ! "")",1.0,Deletion
82,,"('#colombine', ""Mon_Dieu !  Je vous dis, encore une fois, que j'ai plus d'âge qu'il ne faut ; mais puisque vous me trouvez trop jeune, faisons une chose ; vous avez quatre années plus que moi, donnez-m'en deux ; cela ne gâtera rien ni pour l'une, ni pour l'autre. "")",1.0,Deletion
