moliere-divertissement-chambord,moliere-monsieur-pourceaugnac,Score
-,"('#sbrigani', ""Monsieur, votre homme arrive, je l'ai vu à trois lieues d'ici, où a couché le coche ; et dans la cuisine où il est descendu pour déjeuner, je l'ai étudié une bonne grosse demie heure, et je le sais déjà par coeur.  Pour sa figure, je ne veux point vous en parler, vous verrez de quel air la Nature l'a dessinée, et si l'ajustement qui l'accompagne y répond comme il faut : mais pour son esprit, je vous avertis par avance qu'il est des plus épais qui se fassent ; que nous trouvons en lui une matière tout à fait disposée pour ce que nous voulons, et qu'il est homme enfin à donner dans tous les panneaux qu'on lui présentera."")",0.0
-,"('#eraste', 'Nous dis-tu vrai ?')",0.0
-,"('#sbrigani', 'Oui, si je me connais en gens.')",0.0
-,"('#nerine', ""Madame, voilà un illustre, votre affaire ne pouvait être mise en de meilleures mains, et c'est le héros de notre siècle pour les exploits dont il s'agit : un homme qui vingt fois en sa vie, pour servir ses amis, a généreusement affronté les galères ; qui au péril de ses bras et de ses épaules, sait mettre noblement à fin les aventures les plus difficiles ; et qui, tel que vous le voyez, est exilé de son pays pour je ne sais combien d'actions honorables qu'il a généreusement entreprises."")",0.0
-,"('#sbrigani', ""Je suis confus des louanges dont vous m'honorez, et je pourrais vous en donner, avec plus de justice, sur les merveilles de votre vie ; et principalement sur la gloire que vous acquîtes, lorsqu'avec tant d'honnêteté vous pipâtes au jeu, pour douze mille écus, ce jeune Seigneur étranger que l'on mena chez vous ; lorsque vous fîtes galamment ce faux contrat qui ruina toute une famille ; lorsqu'avec tant de grandeur d'âme, vous sûtes nier le dépôt qu'on vous avait confié ; et que si généreusement on vous vit prêter votre témoignage à faire pendre ces deux personnages qui ne l'avaient pas mérité."")",0.0
-,"('#nerine', ""Ce sont petites bagatelles qui ne valent pas qu'on en parle, et vos éloges me font rougir."")",0.0
-,"('#sbrigani', 'Je veux bien épargner votre modestie ; laissons cela ; et pour commencer notre affaire, allons vite joindre notre provincial, tandis que de votre côté vous nous tiendrez prêts au besoin les autres acteurs de la comédie.')",0.0
-,"('#eraste', ""Au moins, Madame, souvenez-vous de votre rôle ; et pour mieux couvrir notre jeu, feignez, comme on vous a dit, d'être la plus contente du monde des résolutions de votre père."")",0.0
-,"('#julie', ""S'il ne tient qu'à cela, les choses iront à merveille."")",0.0
-,"('#eraste', 'Mais, belle Julie, si toutes nos machines venaient à ne pas réussir ?')",0.0
-,"('#julie', 'Je déclarerai à mon père mes véritables sentiments.')",0.0
-,"('#eraste', ""Et si, contre vos sentiments il s'obstinait à son dessein ?"")",0.0
-,"('#julie', 'Je le menacerais de me jeter dans un convent.')",0.0
-,"('#eraste', 'Mais si, malgré tout cela, il voulait vous forcer à ce mariage ?')",0.0
-,"('#julie', 'Que voulez-vous que je vous dise ?')",0.0
-,"('#eraste', 'Ce que je veux que vous me disiez ?')",0.0
-,"('#julie', 'Oui.')",0.0
-,"('#eraste', ""Ce qu'on dit quand on aime bien."")",0.0
-,"('#julie', 'Mais quoi ?')",0.0
-,"('#eraste', ""Que rien ne pourra vous contraindre, et que malgré tous les efforts d'un père, vous me promettez d'être à moi."")",0.0
-,"('#julie', ""Mon_Dieu, Éraste, contentez-vous de ce que je fais maintenant, et n'allez point tenter sur l'avenir les résolutions de mon coeur ; ne fatiguez point mon devoir par les propositions d'une fâcheuse extrémité, dont peut-être n'aurons-nous pas besoin ; et s'il y faut venir, souffrez au moins que j'y sois entraînée par la suite des choses."")",0.0
-,"('#eraste', 'Eh bien...')",0.0
-,"('#sbrigani', 'Ma foi, voici notre homme, songeons à nous.')",0.0
-,"('#nerine', 'Ah comme il est bâti !')",0.0
-,"('#monsieur-de-pourceaugnac', ""Hé bien, quoi ?  Qu'est-ce ?  Qu'y a-t-il ?  Au diantre soit la sotte ville, et les sottes gens qui y sont : Ne pouvoir faire un pas sans trouver des nigauds qui vous regardent et se mettent à rire !  Eh !  Messieurs les badauds, faites vos affaires, et laissez passer les personnes sans leur rire au nez.  Je me donne au diable, si je ne baille un coup de poing au premier que je verrai rire."")",0.0
-,"('#sbrigani', ""Qu'est-ce que c'est, Messieurs ?  Que veut dire cela ?  À qui en avez-vous ?  Faut-il se moquer ainsi des honnêtes étrangers qui arrivent ici ?"")",0.0
-,"('#monsieur-de-pourceaugnac', 'Voilà un homme raisonnable, celui-là.')",0.0
-,"('#sbrigani', ""Quel procédé est le vôtre ?  Et qu'avez-vous à rire ?"")",0.0
-,"('#monsieur-de-pourceaugnac', 'Fort bien.')",0.0
-,"('#sbrigani', 'Monsieur a-t-il quelque chose de ridicule en soi ?')",0.0
-,"('#monsieur-de-pourceaugnac', 'Oui.')",0.0
-,"('#sbrigani', 'Est-il autrement que les autres ?')",0.0
-,"('#monsieur-de-pourceaugnac', 'Suis-je tordu, ou bossu ?')",0.0
-,"('#sbrigani', 'Apprenez à connaître les gens.')",0.0
-,"('#monsieur-de-pourceaugnac', ""C'est bien dit."")",0.0
-,"('#sbrigani', ""Monsieur est d'une mine à respecter."")",0.0
-,"('#monsieur-de-pourceaugnac', 'Cela est vrai.')",0.0
-,"('#sbrigani', 'Personne de condition.')",0.0
-,"('#monsieur-de-pourceaugnac', 'Oui, gentilhomme limousin.')",0.0
-,"('#sbrigani', ""Homme d'esprit."")",0.0
-,"('#monsieur-de-pourceaugnac', 'Qui a étudié en droit.')",0.0
-,"('#sbrigani', ""Il vous fait trop d'honneur de venir dans votre ville."")",0.0
-,"('#monsieur-de-pourceaugnac', 'Sans doute.')",0.0
-,"('#sbrigani', ""Monsieur n'est point une personne à faire rire."")",0.0
-,"('#monsieur-de-pourceaugnac', 'Assurément.')",0.0
-,"('#sbrigani', 'Et quiconque rira de lui, aura affaire à moi.')",0.0
-,"('#monsieur-de-pourceaugnac', 'Monsieur, je vous suis infiniment obligé.')",0.0
-,"('#sbrigani', 'Je suis fâché, Monsieur, de voir recevoir de la sorte une personne comme vous, et je vous demande pardon pour la ville.')",0.0
-,"('#monsieur-de-pourceaugnac', 'Je suis votre serviteur.')",0.0
-,"('#sbrigani', ""Je vous ai vu ce matin, Monsieur, avec le coche, lorsque vous avez déjeuné ; et la grâce avec laquelle vous mangiez votre pain, m'a fait naître d'abord de l'amitié pour vous ; et comme je sais que vous n'êtes jamais venu en ce pays, et que vous y êtes tout neuf, je suis bien aise de vous avoir trouvé pour vous offrir mon service à cette arrivée, et vous aider à vous conduire parmi ce peuple, qui n'a pas parfois pour les honnêtes gens toute la considération qu'il faudrait."")",0.0
-,"('#monsieur-de-pourceaugnac', ""C'est trop de grâce que vous me faites."")",0.0
-,"('#sbrigani', ""Je vous l'ai déjà dit ; du moment que je vous ai vu, je me suis senti pour vous de l'inclination."")",0.0
-,"('#monsieur-de-pourceaugnac', 'Je vous suis obligé.')",0.0
-,"('#sbrigani', ""Votre physionomie m'a plu."")",0.0
-,"('#monsieur-de-pourceaugnac', ""Ce m'est beaucoup d'honneur."")",0.0
-,"('#sbrigani', ""J'y ai vu quelque chose d'honnête."")",0.0
-,"('#monsieur-de-pourceaugnac', 'Je suis votre serviteur.')",0.0
-,"('#sbrigani', ""Quelque chose d'aimable."")",0.0
-,"('#monsieur-de-pourceaugnac', 'Ah, ah.')",0.0
-,"('#sbrigani', 'De gracieux.')",0.0
-,"('#monsieur-de-pourceaugnac', 'Ah, ah.')",0.0
-,"('#sbrigani', 'De doux.')",0.0
-,"('#monsieur-de-pourceaugnac', 'Ah, ah.')",0.0
-,"('#sbrigani', 'De majestueux.')",0.0
-,"('#monsieur-de-pourceaugnac', 'Ah, ah.')",0.0
-,"('#sbrigani', 'De franc.')",0.0
-,"('#monsieur-de-pourceaugnac', 'Ah, ah.')",0.0
-,"('#sbrigani', 'Et de cordial.')",0.0
-,"('#monsieur-de-pourceaugnac', 'Ah, ah.')",0.0
-,"('#sbrigani', 'Je vous assure que je suis tout à vous.')",0.0
-,"('#monsieur-de-pourceaugnac', ""Je vous ai beaucoup d'obligation."")",0.0
-,"('#sbrigani', ""C'est du fond du coeur que je parle."")",0.0
-,"('#monsieur-de-pourceaugnac', 'Je le crois.')",0.0
-,"('#sbrigani', ""Si j'avais l'honneur d'être connu de vous, vous sauriez que je suis un homme tout à fait sincère."")",0.0
-,"('#monsieur-de-pourceaugnac', ""Je n'en doute point."")",0.0
-,"('#sbrigani', 'Ennemi de la fourberie.')",0.0
-,"('#monsieur-de-pourceaugnac', ""J'en suis persuadé."")",0.0
-,"('#sbrigani', ""Et qui n'est pas capable de déguiser ses sentiments."")",0.0
-,"('#monsieur-de-pourceaugnac', ""C'est ma pensée."")",0.0
-,"('#sbrigani', ""Vous regardez mon habit qui n'est pas fait comme les autres ; mais je suis originaire de Naples, à votre service, et j'ai voulu conserver un peu et la manière de s'habiller, et la sincérité de mon pays."")",0.0
-,"('#monsieur-de-pourceaugnac', ""C'est fort bien fait.  Pour moi j'ai voulu me mettre à la mode de la Cour pour la campagne."")",0.0
-,"('#sbrigani', ""Ma foi, cela vous va mieux qu'à tous nos courtisans."")",0.0
-,"('#monsieur-de-pourceaugnac', ""C'est ce que m'a dit mon tailleur ; l'habit est propre et riche, et il fera du bruit ici."")",0.0
-,"('#sbrigani', ""Sans doute.  N'irez-vous pas au Louvre ?"")",0.0
-,"('#monsieur-de-pourceaugnac', 'Il faudra bien aller faire ma Cour.')",0.0
-,"('#sbrigani', 'Le Roi sera ravi de vous voir.')",0.0
-,"('#monsieur-de-pourceaugnac', 'Je le crois.')",0.0
-,"('#sbrigani', 'Avez-vous arrêté un logis [?]')",0.0
-,"('#monsieur-de-pourceaugnac', ""Non, j'allais en chercher un."")",0.0
-,"('#sbrigani', ""Je serai bien aise d'être avec vous pour cela, et je connais tout ce pays-ci."")",0.0
-,"('#eraste', ""Ah qu'est-ce ci ?  Que vois-je ?  Quelle heureuse rencontre !  Monsieur de Pourceaugnac !  Que je suis ravi de vous voir !  Comment ?  Il semble que vous ayez peine à me reconnaître !"")",0.0
-,"('#monsieur-de-pourceaugnac', 'Monsieur, je suis votre serviteur.')",0.0
-,"('#eraste', ""Est-il possible que cinq ou six années m'aient ôté de votre mémoire ?  Et que vous ne reconnaissiez pas le meilleur ami de toute la famille des Pourceaugnac ?"")",0.0
-,"('#monsieur-de-pourceaugnac', 'Pardonnez-moi.  Ma foi, je ne sais qui il est. À Sbrigani.')",0.0
-,"('#eraste', ""Il n'y a pas un Pourceaugnac à Limoges que je ne connaisse depuis le plus grand jusques au plus petit ; je ne fréquentais qu'eux dans le temps que j'y étais, et j'avais l'honneur de vous voir presque tous les jours."")",0.0
-,"('#monsieur-de-pourceaugnac', ""C'est moi qui l'ai reçu, Monsieur."")",0.0
-,"('#eraste', 'Vous ne vous remettez point mon visage ?')",0.0
-,"('#monsieur-de-pourceaugnac', 'Si fait.  Je ne le connais point. À Sbrigani.')",0.0
-,"('#eraste', ""Vous ne vous ressouvenez pas que j'ai eu le bonheur de boire avec vous je ne sais combien de fois ?"")",0.0
-,"('#monsieur-de-pourceaugnac', ""Excusez-moi.  Je ne sais ce que c'est. À Sbrigani."")",0.0
-,"('#eraste', 'Comment appelez-vous ce traiteur de Limoges qui fait si bonne chère ?')",0.0
-,"('#monsieur-de-pourceaugnac', 'Petit-Jean ?')",0.0
-,"('#eraste', ""Le voilà.  Nous allions le plus souvent ensemble chez lui nous réjouir.  Comment est-ce que vous nommez à Limoges ce lieu où l'on se promène ?"")",0.0
-,"('#monsieur-de-pourceaugnac', 'Le Cimetière des Arènes ?')",0.0
-,"('#eraste', ""Justement : c'est où je passais de si douces heures à jouir de votre agréable conversation.  Vous ne vous remettez pas tout cela ?"")",0.0
-,"('#monsieur-de-pourceaugnac', ""Excusez-moi, je me le remets.  Diable emporte si je m'en souviens ! À Sbrigani."")",0.0
-,"('#sbrigani', 'Il y a cent choses comme cela qui passent de la tête.')",0.0
-,"('#eraste', 'Embrassez-moi donc, je vous prie, et resserrons les noeuds de notre ancienne amitié.')",0.0
-,"('#sbrigani', 'Voilà un homme qui vous aime fort.')",0.0
-,"('#eraste', 'Dites-moi un peu des nouvelles de toute la parenté : comment se porte Monsieur votre... là...  Qui est si honnête homme ?')",0.0
-,"('#monsieur-de-pourceaugnac', 'Mon frère le consul ?')",0.0
-,"('#eraste', 'Oui.')",0.0
-,"('#monsieur-de-pourceaugnac', 'Il se porte le mieux du monde.')",0.0
-,"('#eraste', ""Certes j'en suis ravi.  Et celui qui est de si bonne humeur ?  Là...  Monsieur votre... ?"")",0.0
-,"('#monsieur-de-pourceaugnac', ""Mon cousin l'assesseur ?"")",0.0
-,"('#eraste', 'Justement.')",0.0
-,"('#monsieur-de-pourceaugnac', 'Toujours gai et gaillard.')",0.0
-,"('#eraste', ""Ma foi !  J'en ai beaucoup de joie.  Et Monsieur votre oncle ?  Le... ?"")",0.0
-,"('#monsieur-de-pourceaugnac', ""Je n'ai point d'oncle."")",0.0
-,"('#eraste', 'Vous aviez pourtant en ce temps-là...')",0.0
-,"('#monsieur-de-pourceaugnac', ""Non, rien qu'une tante."")",0.0
-,"('#eraste', ""C'est ce que je voulais dire, Madame votre tante : comment se porte-t-elle ?"")",0.0
-,"('#monsieur-de-pourceaugnac', 'Elle est morte depuis six mois.')",0.0
-,"('#eraste', 'Hélas la pauvre femme !  Elle était si bonne personne.')",0.0
-,"('#monsieur-de-pourceaugnac', 'Nous avons aussi mon neveu le chanoine qui a pensé mourir de la petite vérole.')",0.0
-,"('#eraste', ""Quel dommage ç'aurait été !"")",0.0
-,"('#monsieur-de-pourceaugnac', 'Le connaissez-vous aussi ?')",0.0
-,"('#eraste', 'Vraiment si je le connais !  Un grand garçon bien fait.')",0.0
-,"('#monsieur-de-pourceaugnac', 'Pas des plus grands.')",0.0
-,"('#eraste', 'Non, mais de taille bien prise.')",0.0
-,"('#monsieur-de-pourceaugnac', 'Eh oui.')",0.0
-,"('#eraste', 'Qui est votre neveu...')",0.0
-,"('#monsieur-de-pourceaugnac', 'Oui.')",0.0
-,"('#eraste', 'Fils de votre frère et de votre soeur...')",0.0
-,"('#monsieur-de-pourceaugnac', 'Justement.')",0.0
-,"('#eraste', ""Chanoine de l'église de...  Comment l'appelez-vous ?"")",0.0
-,"('#monsieur-de-pourceaugnac', 'De Saint-Etienne.')",0.0
-,"('#eraste', 'Le voilà, je ne connais autre.')",0.0
-,"('#monsieur-de-pourceaugnac', 'Il dit toute la parenté.')",0.0
-,"('#sbrigani', 'Il vous connaît plus que vous ne croyez.')",0.0
-,"('#monsieur-de-pourceaugnac', 'À ce que je vois, vous avez demeuré longtemps dans notre ville ?')",0.0
-,"('#eraste', 'Deux ans entiers.')",0.0
-,"('#monsieur-de-pourceaugnac', ""Vous étiez donc là quand mon cousin l'élu, fit tenir son enfant à Monsieur notre gouverneur ?"")",0.0
-,"('#eraste', ""Vraiment oui, j'y fus convié des premiers."")",0.0
-,"('#monsieur-de-pourceaugnac', 'Cela fut galant.')",0.0
-,"('#eraste', 'Très galant.')",0.0
-,"('#monsieur-de-pourceaugnac', ""C'était un repas bien troussé."")",0.0
-,"('#eraste', 'Sans doute.')",0.0
-,"('#monsieur-de-pourceaugnac', ""Vous vîtes donc aussi la querelle que j'eus avec ce gentilhomme périgordin ?"")",0.0
-,"('#eraste', 'Oui.')",0.0
-,"('#monsieur-de-pourceaugnac', 'Parbleu !  Il trouva à qui parler.')",0.0
-,"('#eraste', 'Ah ah.')",0.0
-,"('#monsieur-de-pourceaugnac', 'Il me donna un soufflet, mais je lui dis bien son fait.')",0.0
-,"('#eraste', ""Assurément.  Au reste, je ne prétends pas que vous preniez d'autre logis que le mien."")",0.0
-,"('#monsieur-de-pourceaugnac', ""Je n'ai garde de..."")",0.0
-,"('#eraste', 'Vous moquez-vous ?  Je ne souffrirai point du tout que mon meilleur ami soit autre part que dans ma maison.')",0.0
-,"('#monsieur-de-pourceaugnac', 'Ce serait vous...')",0.0
-,"('#eraste', ""Non, le diable m'emporte, vous logerez chez moi."")",0.0
-,"('#sbrigani', ""Puisqu'il le veut obstinément, je vous conseille d'accepter l'offre."")",0.0
-,"('#eraste', 'Où sont vos hardes ?')",0.0
-,"('#monsieur-de-pourceaugnac', 'Je les ai laissées, avec mon valet où je suis descendu.')",0.0
-,"('#eraste', ""Envoyons-les quérir par quelqu'un."")",0.0
-,"('#monsieur-de-pourceaugnac', ""Non, je lui ai défendu de bouger, à moins que j'y fusse moi-même, de peur de quelque fourberie."")",0.0
-,"('#sbrigani', ""C'est prudemment avisé."")",0.0
-,"('#monsieur-de-pourceaugnac', 'Ce pays-ci est un peu sujet à caution.')",0.0
-,"('#eraste', ""On voit les gens d'esprit en tout."")",0.0
-,"('#sbrigani', 'Je vais accompagner Monsieur, et le ramènerai où vous voudrez.')",0.0
-,"('#eraste', ""Oui, je serai bien aise de donner quelques ordres, et vous n'avez qu'à revenir à cette maison-là."")",0.0
-,"('#sbrigani', ""Nous sommes à vous tout à l'heure."")",0.0
-,"('#eraste', 'Je vous attends avec impatience.')",0.0
-,"('#monsieur-de-pourceaugnac', ""Voilà une connaissance où je ne m'attendais point."")",0.0
-,"('#sbrigani', ""Il a la mine d'être honnête homme."")",0.0
-,"('#eraste', ""Ma foi, Monsieur de Pourceaugnac, nous vous en donnerons de toutes les façons ; les choses sont préparées, et je n'ai qu'à frapper."")",0.0
-,"('#eraste', ""Je crois, Monsieur, que vous êtes le médecin à qui l'on est venu parler de ma part."")",0.0
-,"('#l-apothicaire', ""Non, Monsieur, ce n'est pas moi qui suis le médecin ; à moi n'appartient pas cet honneur, et je ne suis qu'apothicaire, apothicaire indigne, pour vous servir."")",0.0
-,"('#eraste', 'Et Monsieur le médecin est-il à la maison ?')",0.0
-,"('#l-apothicaire', 'Oui, il est là embarrassé à expédier quelques malades, et je vais lui dire que vous êtes ici.')",0.0
-,"('#eraste', ""Non, ne bougez, j'attendrai qu'il ait fait ; c'est pour lui mettre entre les mains certain parent que nous avons, dont on lui a parlé, et qui se trouve attaqué de quelque folie, que nous serions bien aises qu'il pût guérir avant que de le marier."")",0.0
-,"('#l-apothicaire', ""Je sais ce que c'est, je sais ce que c'est, et j'étais avec lui quand on lui a parlé de cette affaire.  Ma foi, ma foi, vous ne pouviez pas vous adresser à un médecin plus habile ; c'est un homme qui sait la médecine à fond, comme je sais ma Croix-de-Pardieu ; et qui, quand on devrait crever, ne démordrait pas d'un iota des règles des Anciens.  Oui, il suit toujours le grand chemin, le grand chemin, et ne va point chercher midi à quatorze heures ; et pour tout l'or du monde, il ne voudrait point avoir guéri une personne avec d'autres remèdes que ceux que la Faculté permet."")",0.0
-,"('#eraste', ""Il fait fort bien ; un malade ne doit point vouloir guérir, que la Faculté n'y consente."")",0.0
-,"('#l-apothicaire', ""Ce n'est pas parce que nous sommes grands amis, que j'en parle ; mais il y a plaisir, il y a plaisir d'être son malade ; et j'aimerais mieux mourir de ses remèdes, que de guérir de ceux d'un autre : car quoi qui puisse arriver, on est assuré que les choses sont toujours dans l'ordre ; et quand on meurt sous sa conduite, vos héritiers n'ont rien à vous reprocher."")",0.0
-,"('#eraste', ""C'est une grande consolation pour un défunt."")",0.0
-,"('#l-apothicaire', ""Assurément ; on est bien aise au moins d'être mort méthodiquement.  Au reste, il n'est pas de ces médecins qui marchandent les maladies : c'est un homme expéditif, qui aime à dépêcher ses malades ; et quand on a à mourir, cela se fait avec lui le plus vite du monde."")",0.0
-,"('#eraste', ""En effet, il n'est rien tel que de sortir promptement d'affaire."")",0.0
-,"('#l-apothicaire', ""Cela est vrai, à quoi bon tant barguigner et tant tourner autour du pot ?  Il faut savoir vitement le court ou le long d'une maladie."")",0.0
-,"('#eraste', 'Vous avez raison.')",0.0
-,"('#l-apothicaire', ""Voilà déjà trois de mes enfants dont il m'a fait l'honneur de conduire la maladie, qui sont morts en moins de quatre jours, et qui, entre les mains d'un autre, auraient langui plus de trois mois."")",0.0
-,"('#eraste', ""Il est bon d'avoir des amis comme cela."")",0.0
-,"('#l-apothicaire', 'Sans doute.  Il ne me reste plus que deux enfants dont il prend soin comme des siens ; il les traite et gouverne à sa fantaisie, sans que je me mêle de rien ; et le plus souvent, quand je reviens de la ville, je suis tout étonné que je les trouve saignés ou purgés par son ordre.')",0.0
-,"('#eraste', 'Voilà des soins fort obligeants.')",0.0
-,"('#l-apothicaire', 'Le voici, le voici, le voici qui vient.')",0.0
-,"('#le-paysan', ""Monsieur, il n'en peut plus, et il dit qu'il sent dans la tête les plus grandes douleurs du monde."")",0.0
-,"('#premier-medecin', ""Le malade est un sot, d'autant plus que, dans la maladie dont il est attaqué, ce n'est pas la tête, selon Galien, mais la rate, qui lui doit faire mal."")",0.0
-,"('#le-paysan', ""Quoi que c'en soit, Monsieur, il a toujours avec cela son cours de ventre depuis six mois."")",0.0
-,"('#premier-medecin', ""Bon, c'est signe que le dedans se dégage.  Je l'irai visiter dans deux ou trois jours ; mais s'il mourait avant ce temps-là, ne manquez pas de m'en donner avis, car il n'est pas de la civilité qu'un médecin visite un mort."")",0.0
-,"('#la-paysanne', 'Mon père, Monsieur, est toujours malade de plus en plus.')",0.0
-,"('#premier-medecin', ""Ce n'est pas ma faute : je lui donne des remèdes, que ne guérit-il ?  Combien a-t-il été saigné de fois ?"")",0.0
-,"('#la-paysanne', 'Quinze, Monsieur, depuis vingt jours.')",0.0
-,"('#premier-medecin', 'Quinze fois saigné ?')",0.0
-,"('#la-paysanne', 'Oui.')",0.0
-,"('#premier-medecin', 'Et il ne guérit point ?')",0.0
-,"('#la-paysanne', 'Non, Monsieur.')",0.0
-,"('#premier-medecin', ""C'est signe que la maladie n'est pas dans le sang.  Nous le ferons purger autant de fois, pour voir si elle n'est pas dans les humeurs, et si rien ne nous réussit, nous l'envoyerons aux bains."")",0.0
-,"('#l-apothicaire', 'Voilà le fin cela, voilà le fin de la médecine.')",0.0
-,"('#eraste', ""C'est moi, Monsieur, qui vous ai envoyé parler ces jours passés pour un parent un peu troublé d'esprit, que je veux vous donner chez vous, afin de le guérir avec plus de commodité, et qu'il soit vu de moins de monde."")",0.0
-,"('#premier-medecin', ""Oui, Monsieur, j'ai déjà disposé tout, et promets d'en avoir tous les soins imaginables."")",0.0
-,"('#eraste', 'Le voici')",0.0
-,"('#premier-medecin', ""La conjoncture est tout à fait heureuse, et j'ai ici un ancien de mes amis avec lequel je serai bien aise de consulter sa maladie."")",0.0
-,"('#eraste', ""Une petite affaire m'est survenue, qui m'oblige à vous quitter : mais voilà une personne entre les mains de qui je vous laisse, qui aura soin pour moi de vous traiter du mieux qu'il lui sera possible."")",0.0
-,"('#premier-medecin', ""Le devoir de ma profession m'y oblige, et c'est assez que vous me chargiez de ce soin."")",0.0
-,"('#monsieur-de-pourceaugnac', ""C'est son maître d'hôtel, et il faut que ce soit un homme de qualité."")",0.0
-,"('#premier-medecin', 'Oui, je vous assure que je traiterai Monsieur méthodiquement, et dans toutes les régularités de notre art.')",0.0
-,"('#monsieur-de-pourceaugnac', 'Mon_Dieu, il ne me faut point tant de cérémonies, et je ne viens pas ici pour incommoder.')",0.0
-,"('#premier-medecin', 'Un tel emploi ne me donne que de la joie.')",0.0
-,"('#eraste', ""Voilà toujours six pistoles d'avance, en attendant ce que j'ai promis."")",0.0
-,"('#monsieur-de-pourceaugnac', ""Non, s'il vous plaît, je n'entends pas que vous fassiez de dépense, et que vous envoyiez rien acheter pour moi."")",0.0
-,"('#eraste', ""Mon_Dieu, laissez faire, ce n'est pas pour ce que vous pensez."")",0.0
-,"('#monsieur-de-pourceaugnac', ""Je vous demande de ne me traiter qu'en ami."")",0.0
-,"('#eraste', ""C'est ce que je veux faire.  Je vous recommande surtout de ne le point laisser sortir de vos mains, car parfois il veut s'échapper. Bas au médecin."")",0.0
-,"('#premier-medecin', 'Ne vous mettez pas en peine.')",0.0
