,quinault-proserpine,voltaire-pandore,Cost,Operation Type
45,"('#ceres', ""Aimez sans vous contraindre, Aimez à votre tour. C'est déjà ressentir l'amour Que de commencer à le craindre. Arethuse chante ces deux derniers vers avec Cérès."")","('#pandore #promethee', 'Barbares, arrêtez. ')",1.41,Substitution
46,"('#ceres', ""Je vais voir Proserpine, et partir promptement. Demeurez avec elle en un lieu si charmant Pour fuir l'amour qui vous appelle Ne cherchez plus de vains détours : Aimez un amant fidèle, On n'en trouve pas toujours Cérès va voir Proserpine avant que de partir pour aller en Phrygie."")","('#mercure', ""Venez, montez aux cieux, partez :  Jupiter commande :  Il faut qu'on se rende  À ses volontés.  Venez, montez aux cieux, partez.  Vents, obéissez-nous, et déployez vos ailes :  Vents, conduisez Pandore aux voûtes éternelles.  Le char disparaît."")",1.02,Substitution
47,"('#arethuse', ""Vaine fierté, faible rigueur, Que vous avez peu de puissance Contre l'amour et la constance ! Vaine fierté, faible rigueur, Ah ! Que vous gardez mal mon coeur ! En vain, par vos conseils je me fais violence : Je combats vainement une douce langueur : Hélas ! Vous m'engagez à faire résistance, Et vous me laissez sans défense, Au pouvoir de l'amour vainqueur ? Vaine fierté, faible rigueur, Que vous avez peu de puissance Contre l'amour et la constance ! Vaine fierté, faible rigueur, Ah ! Que vous gardez mal mon coeur ! Je vois Alphée, ô dieux ! Où sera mon asile ! Mon coeur est déjà charmé, Et ma fuite est inutile ; Hélas ! Qu'il est difficile De fuir un amant aimé ! Il approche, je tremble. Ah faut-il qu'il jouisse Du trouble honteux où je suis ? Pardonne, amour, si je le fuis, J'en ressens un cruel supplice ; Mais n'importe, je veux l'éviter si je puis."")","('#promethee', ""On l'enlève : tyrans jaloux,  Dieux, vous m'arrachez mon partage :  Il était plus divin que vous :  Vous étiez malheureux, vous étiez en courroux  Du bonheur qui fut mon ouvrage :  Je ne devais qu'à moi ce bonheur précieux.  J'ai fait plus que Jupiter même,  Je me suis fait aimer. J'animais ces beaux yeux :  Ils m'ont dit en s'ouvrant : Vous m'aimez, je vous aime.  Elle vivait par moi, je vivais dans son coeur,  Dieux jaloux, respectez nos chaînes.  Ô Jupiter ! Ô fureurs inhumaines !  Éternel persécuteur,  De l'infortune créateur; Tu sentiras toutes mes peines.  Je braverai ton pouvoir :  Ta foudre épouvantable  Sera moins redoutable  Que mon amour au désespoir. "")",0.45,Substitution
48,"('#alphee', ""Arrêtez, nymphe trop sévère, Ne fuyez plus d'une course légère Les soins trop empressés de mon coeur amoureux ; N'ayez plus contre moi ni chagrin ni colère, J'ai résolu de ne vous plus déplaire, Et je vais étouffer mon amour malheureux."")","('#jupiter', ""Je l'ai vu cet objet sur la terre animé :  Je l'ai vu, j'ai senti des transports qui m'étonnent :  Le ciel est dans ses yeux, les grâces l'environnent :  Je sens que l'Amour l'a formé. "")",0.77,Substitution
49,"('#arethuse', 'Alphée...')",,1.0,Insertion
50,"('#alphee', ""Alphée enfin vous arrête, inhumaine, Mais vous vous arrêtez pour voir briser sa chaîne. C'en est fait, mes fers sont rompus."")",,1.0,Insertion
51,"('#arethuse', 'Alphée, est-il bien vrai ?')",,1.0,Insertion
52,"('#alphee', ""N'en doutez point, cruelle, Je le reprends ce coeur trop tendre et trop fidèle, Ce coeur trop rebuté par de cruels refus."")","('#mercure', 'Vous régnez, vous plairez, vous la rendrez sensible,  Vous allez éblouir ses yeux à peine ouverts. ')",1.04,Substitution
53,"('#arethuse', ""Alphée, est-il bien vrai que vous ne m'aimiez plus ?"")",,1.0,Insertion
54,"('#alphee', ""Ingrate il est trop vrai, mon coeur rompt avec peine Des noeuds qu'il a trouvé si beaux ; Mais de peur qu'il ne les reprenne Je le veux engager en des liens nouveaux. J'ai vu l'aimable Proserpine : On connaît à l'éclat de sa beauté divine Que du maître des dieux elle a reçu le jour. Rendez-lui grâce, C'est elle qui vous débarrasse De mon fâcheux amour."")","('#jupiter', ""Non, je ne fus jamais que puissant et terrible :  Je commande à l'Olympe, à la terre, aux enfers :  Les coeurs sont à l'Amour. Ah ! que le sort m'outrage !  Quand il donna les cieux, quand il donna les mers,  Quand il divisa l'univers,  L'Amour eut le plus beau partage. "")",0.2,Substitution
55,"('#arethuse', 'Si Proserpine est belle, Son coeur est fier et rigoureux : Votre chaîne nouvelle Ne vous rendra pas plus heureux.')","('#mercure', ""Que craignez-vous ? Pandore à peine a vu le jour,  Et d'elle-même encore à peine a connaissance :  Aurait-elle senti l'amour  Dès le moment de sa naissance ? "")",1.05,Substitution
56,"('#alphee', ""N'importe je veux bien souffrir sous son empire. Vous ne m'avez déjà que trop accoutumé Au rigoureux martyre D'aimer sans être aimé. Proserpine vous aime, et j'ose au moins prétendre Que vous me servirez dans cet engagement. Vous savez si mon coeur est tendre, Vous avez éprouvé s'il aime constamment..."")","('#jupiter', ""L'Amour instruit trop aisément.  Que ne peut point Pandore ? Elle est femme, elle est belle.  La voilà : jouissons de son étonnement.  Retirons-nous pour un moment  Sous les arcs lumineux de la voûte éternelle.  Cieux, enchantez ses yeux, et parlez à son coeur :  Vous déploierez en vain ma gloire et ma splendeur :  Vous n'avez rien de si beau qu'elle.  Il se retire."")",0.24,Substitution
57,"('#arethuse', ""Non je ne veux jamais entendre Parler ni d'amour ni d'amant. Me suivrez-vous sans cesse ?"")",,1.0,Insertion
58,"('#alphee', ""Me fuirez-vous toujours ? L'ingrate Arethuse me laisse Sans espoir de secours ? C'est un feu nouveau qui me presse..."")","('#pandore', ""À peine j'ai goûté l'aurore de la vie :  Mes yeux s'ouvraient au jour, mon coeur à mon amant :  Je n'ai respiré qu'un moment.  Douce félicité, pourquoi m'es-tu ravie ?  On m'avait fait craindre la mort :  Je l'ai connue, hélas ! Cette mort menaçante :  N'est-ce pas mourir, quand le sort  Nous ravit ce qui nous enchante ?  Dieux, rendez-moi la terre et mon obscurité,  Ce bocage où j'ai vu l'amant qui m'a fait naître :  Il m'avait deux fois donné l'être :  Je respirais, j'aimais : quelle félicité !  À peine j'ai goûté l'aurore de la vie, etc.  Tous les dieux avec tous leurs attributs entrent sur la scène."")",0.47,Substitution
59,"('#arethuse', 'Me suivrez-vous sans cesse ?')",,1.0,Insertion
60,"('#alphee', 'Me fuirez-vous toujours ?')",,1.0,Insertion
61,"('#proserpine', 'Cérès va nous ôter sa divine présence, Ces lieux vont perdre leurs attraits, Cérès, favorable Cérès, Faites cesser bientôt votre cruelle absence, Cérès, favorable Cérès Écoutez nos tristes regrets. Le choeur répète ces derniers vers.')","('#choeur-des-dieux', ""Que les astres se réjouissent !  Que tous les dieux applaudissent  Au dieu de l'univers !  Devant lui les soleils pâlissent. "")",1.16,Substitution
62,,"('#neptune', 'Que le sein des mers, ')",1.0,Deletion
63,,"('#pluton', 'Le fond des enfers, ')",1.0,Deletion
64,"('#ceres', ""Vous qui voulez pour moi signaler votre zèle Ne troublez point la paix de cet heureux séjour, Je presse mon départ pour hâter mon retour ; Accompagnez ma fille avec un soin fidèle. Changez vos tristes chants en de charmants concerts ; Que j'entende en partant dans le milieu des airs Éclater la gloire nouvelle Du plus grand dieu de l'univers. Cérès fait partir son char volant."")","('#choeur-des-dieux', ""Les mondes divers,  Retentissent  D'éternels concerts.  Que les astres se réjouissent !  Que tous les dieux applaudissent  Au dieu de l'univers !  Devant lui les soleils pâlissent. "")",0.28,Substitution
65,"('#proserpine #le-choeur', ""Célébrons la victoire Du plus puissant des dieux. Qu'un trophée éternel conserve la mémoire D'un triomphe si glorieux. Célébrons la victoire Du plus puissant des dieux ; Faisons retentir jusqu'aux cieux Le bruit éclatant de sa gloire : Célébrons la victoire Du plus puissant des dieux. Ce palais va tomber ; ô dieux ! La terre s'ouvre ! Quels tremblements affreux ! L'enfer découvre Ses gouffres ténébreux. Jupiter lancez le tonnerre, Renversez par de nouveaux coups Le chef audacieux des enfants de la terre : Il veut se relever pour s'armer contre vous, Achevez d'étouffer la guerre. Jupiter : lancez le tonnerre. On danse autour d'un trophée qu'on élève à l'honneur de Jupiter, et que l'on forme du débris des armes monstrueuses des gens vaincus. Sur la fin de cette fête on entend un tremblement de terre qui fait tomber une partie du palais de Cérès. Le tonnerre tombe sur le mont Etna, qui paraît dans l'éloignement ; et ce coup achève d'accabler le chef des géants, qui s'efforçait de se relever."")","('#pandore', ""Que tout ce que j'entends conspire à m'effrayer !  Je crains, je hais, je fuis cette grandeur suprême.  Qu'il est dur d'entendre louer  Un autre dieu que ce que j'aime ! "")",0.41,Substitution
66,"('#crinise', ""Jupiter a dompté les Géants pour jamais. Ce beau séjour brille de nouveaux charmes, Tout y ressent le retour de la paix : Ah ! Que le repos a d'attraits Après de mortelles alarmes."")","('#les-trois-graces', 'Fille du charmant Amour,  Régnez dans son empire :  La terre vous désire,  Le ciel est votre cour. ')",0.45,Substitution
