,archambault-ce-n-est-pas,archambault-janot-battus,Cost,Operation Type
25,"('#janot', ""Oui-da !  Mais à condition que quand tu m'auras ruiné, tu me prendras pour intendant à ton tour."")","('#madame-ragot', ""Une belle autorité !  Et pourquoi qui le vend drès que c'est si beau ?"")",1.43,Substitution
26,"('#dodinet', ""Ah !  C'est juste : je te donnerai ta revanche..."")","('#ragot', ""C'est un petit arrangement que la Justice fait par représailles."")",0.94,Substitution
27,"('#janot', 'Et moi je reprendrai le tout.')",,1.0,Insertion
28,"('#dodinet', ""Mais dis-moi donc un peu, Janot, est-ce que t'es devenu fou depuis quéque temps ?"")",,1.0,Insertion
29,"('#janot', 'Non pardine pas : au contraire, va.')",,1.0,Insertion
30,"('#dodinet', 'As-tu été heureux à queuque jeu !')","('#madame-ragot', 'Comment !  Par représailles ?')",0.94,Substitution
31,"('#janot', ""Non, je ne sais jouer qu'à la bête, et comme je la mettais toujoux, ça m'en a dégoûté."")","('#ragot', 'Oui : il a fait sortir les fonds de la caisse pour meubler son cabinet, et à présent on fait sortir les tableaux de son cabinet pour remeubler la caisse : ça fait la navette.')",1.66,Substitution
32,"('#dodinet', ""Mais il y a des jeux d'adresse."")",,1.0,Insertion
33,"('#janot', ""Oh !  Non : je n'y suis pas heureux à ceux-là."")",,1.0,Insertion
34,"('#dodinet', 'Tu as donc gagné à la Loterie ?')","('#madame-ragot', ""Vlà ce qui t'arrivera au premier jour : on vendra ton lit pour payer tes belles emplettes."")",1.41,Substitution
35,"('#janot', ""À la Loterie !  Eh !  Tu sais bien que je n'y mets pas, et M.  Ragot dit qu'on n'y peut pas gagner sans ça..."")","('#ragot', ""Allons, allons, taisez-vous, femme.  Vous n'êtes pas faites pour vous connaître à tout ça : mêlez-vous de vendre les prix que je vous dis, et raisonnez pas sur mes marchés."")",1.56,Substitution
36,"('#dodinet', ""Il faut donc que tu aies volé tes maîtres, car voilà à peu près tous les moyens de s'enrichir que je connaisse, moi."")","('#madame-ragot', 'Vendre les prix que tu dis !  Et qui diable en voudrait !  Tes marchandises sont si belles que personne ne les regarde tant seulement pas.')",0.91,Substitution
37,"('#janot', ""Bon !  Y en a pourtant d'autres."")",,1.0,Insertion
38,"('#dodinet', ""Lesquels donc ?...  Tu ne connais pas d'aut' fille que Mam'selle Suzon, toi : ce n'est pas par là que tu..."")","('#ragot', ""C'est qu'il ne passe pas de connoisseurs dans ste rue-ci : faut changer de quartier...  Voyez-moi ça !  Ces petits bouqets de Rembrant, comme c'est délicat !  Ste bataille de Teniers !  Tenez, ça n'est-ti pas parfait ?  Et ste noce par Lebrun !  C'est ti pas réjouissant.  Là, ne dirait-on pas que toutes ces bouteilles-là sont pleines ?  Rien qu'à les regarder, ça donne envie de boire."")",1.13,Substitution
39,"('#janot', ""Oh !  Non.  N'y a pas de ça dans mon affaire : c'est bon jeu bon argent."")",,1.0,Insertion
40,"('#dodinet', ""Explique-moi donc ça, mon ami, car je n'y comprends rien."")","('#madame-ragot', ""Tu les regardes donc depis le matin jusqu'au soir, car t'as st'envie-là toute la journée !"")",1.62,Substitution
41,"('#janot', 'Écoute, Dodinet, ne va pas conter ça à tout le monde, da.')","('#ragot', 'Taisez-vous, Mme Ragot, et rentrez-moi tout ça ; ça devrait déjà être dans la boutique.')",1.71,Substitution
42,"('#dodinet', ""Oh !  N'aie pas peur."")",,1.0,Insertion
43,"('#janot', ""C'est un secret au moins, et fort encore."")",,1.0,Insertion
44,"('#dodinet', 'Pardine !  je le crois ben : dis-le donc.')","('#madame-ragot', 'Que ne reviens-tu de meilleure heure !  Est-ce que je peux rentrer ça à moi toute seule !')",1.28,Substitution
45,"('#janot', ""Imagine-toi, Dodinet, j'ai trouvé...  Je crains qu'i' n'y ait zici quéqu'zun qui nous écoute."")","('#ragot', ""Vous ne pouviez pas vous faire aider par Janot ?  Où est-ti, st'animal ? Janot !  Oh !  Janot ! Il appelle."")",0.56,Substitution
46,"('#dodinet', ""Non, non.  I' n'y a personne : dis ben vite.  T'as trouve..."")",,1.0,Insertion
47,"('#janot', ""J'ai trouvé un morceau...  comment qu'on appelle ça ?...  D'or...  Un magot...  Un nigaud...  Dodinet, dis donc."")","('#ragot', ""Eh ben !  quoi qu'il a donc encore fait Janot ?"")",1.33,Substitution
48,"('#dodinet', ""Nigaud toi-même, bête : c'est un lingot que tu veux dire."")","('#ragot', ""Descendras-tu, quand on t'appelle ?"")",1.25,Substitution
49,"('#janot', ""Oui, un lingot, gros comme mon poing d'or..."")","('#ragot', ""Je ne peux pas, not' maître.  Je suis ta guetter la soupe qui est sur le fourneau, qui va s'enfuir, qui bout."")",1.56,Substitution
50,"('#dodinet', 'Massif ?')",,1.0,Insertion
51,"('#janot', 'Eh !  Oui, je te dis, dans une carrière, massif, auprès de Vaugirard.')","('#ragot', 'Eh bien, ôte-la vite et descends.')",1.23,Substitution
52,"('#dodinet', ""Ah !  Mon cher ami, mais c'est une fortune immense que ça."")","('#ragot', ""Je le veux ben, moi. Ah !  Jarni !  Vlà que je me brûle !  Et tout le bouillon qu'est répandu, tenez, pour être si pressé là, dans les cendres. Il sort de la fenêtre."")",1.68,Substitution
53,"('#janot', 'Pardine !  Je te le disais ben.')","('#ragot', 'Arriveras-tu donc ?')",1.05,Substitution
54,,"('#ragot', ""Ah ben, dame !  Donnez-vous le temps. Il tombe dans l'escalier en courant ; on entend le bruit."")",1.0,Deletion
55,"('#dodinet', ""Mais où ce que tu l'as mis, montre-le-moi donc ?"")","('#madame-ragot', ""Ah !  le mal-à-droit !...  Qu'est que t'as fait là ?"")",0.86,Substitution
56,"('#janot', ""Pas si bête que de porter ça sur moi : c'est lourd comme tout ; et pis j'aurais qu'à le perdre.  Je l'ai caché dans ma paillasse."")","('#ragot', 'Tu viens de casser quelque chose, je parie.')",1.5,Substitution
57,"('#dodinet', ""C'est un trésor que ça, Janot ; mais dis donc, es-tu ben sûr que c'en est de l'or ?"")","('#ragot', ""Au contraire, Monsieur, c'est ma jambe, que je me suis donné une entorse en tombant, dans le talon, qu'est là à l'entrée de l'escayer, que ça me fait un mal de chien, où ce qu'on n'y voit goutte encore."")",1.59,Substitution
58,,"('#ragot', 'Grand benêt !  Tu ne peux pas regarder à tes pieds : on se tient ferme quand on marche.')",1.0,Deletion
59,"('#janot', ""Si c'en est !  Ah !  Vraiment, je m'y connais p't-êt'.  Crais-tu que j'ai été élevé comme toi dans une boîte !  Et pis tu ne sais donc pas ?  Depis que j' demeure cheux c'te comtesse, j'en magne et remagne tous les jours.  C'est pas comme cheux M.  Ragot, qu'on n'y magne que de la mitraille : je me salissais les doigts avec ses pièces grises...  Ah !  Çà, dis donc, Dodinet, je veux faire une fin, queu qu'tu me consellles ?"")","('#ragot', ""Pardine, quand j'y regarderais, je vois ben que j'ai le talon démis, pisque je boite."")",1.11,Substitution
60,"('#dodinet', ""Écoute : t'as de l'instinct, faut te pousser dans le monde."")","('#ragot', ""Vilain paresseux !  Il faut toujours crier après lui !  Qu'est-ce que t'as fait toute la journée ?"")",1.12,Substitution
61,"('#janot', ""Eh ben !  Oui : mais faut savoir par queue porte que j'y entrerai !"")","('#ragot', ""Ah ben, oui !  Ne semble-ti pas qu'on reste là les bras croisés ?  Et st'escayer que j'ai nettoyé depis le haut jusqu'en bas, avec un balet qui faisait peur."")",1.04,Substitution
62,"('#dodinet', ""Mais faut te marier, mon ami, c'est là la grand'porte, c'est celle-là qui mène à tout.  À présent que t'as du bien, tout le monde te jettera ses filles à la tête."")","('#ragot', 'Oui, un balet qui faisait peur !')",1.96,Substitution
63,"('#janot', ""Oui, pourvu que ça ne m'y fasse pas de mal."")","('#ragot', ""Sûrement, Monsieur, de l'ordure gros comme vous, que j'ai ôtée, où ce qu'on se mirerait dedans à présent."")",1.45,Substitution
64,"('#dodinet', ""Ah !  Dame, ça se pourrait bien, mais on n'y regarde pas de si près, et pis y a du remède à tout.  Dis-moi, as-tu encore de l'inclination pour Mam'selle Suzon ?"")","('#ragot', 'Eh ben !  Après : est-ce là tout ?')",1.75,Substitution
65,"('#janot', ""Mam'selle Suzon ?  Non.  C'est une affronteuse qui m'a mis dedans, vois-tu.  Je ne l'i pardonnerai jamais, et pis c'est la fille d'un savequier.  Je ne suis pas fier, mais ça ne m'irait pas."")","('#ragot', ""Ah ben, oui, tout !  J'ai été porter ce vieux fauteuil chez le rempailleur, là, contre l'égoût Montmartre, qui était tout dépaillé...  Après ça j'ai été à la vallée chercher un abatti, comme vous me l'aviez dit vous-même de dindon, présence de Madame, qui m'a coûté douze sous avec le cou et les pattes."")",1.48,Substitution
66,"('#dodinet', ""T'as raison : te v'là à même de choisir, faut en profiter.  Aimerais-tu pas mieux la fille de boutique du dégraisseur ?"")","('#ragot', ""Tu n'as donc pas été à la boucherie ?"")",1.1,Substitution
67,"('#janot', ""Ah !  C'te fille que j'y avais parlé pour ses mailles, que je devais l'i en reprendre par le moyen de ma soeur dont que je l'i ai toffert son service en fait de couture ?"")","('#ragot', ""Pardonnez-moi, Monsieur, j'ai pris un bon pot au feu pour demain dîner avec vot' compère, qui est tout de la tranche, qui doit venir avec sa femme, pesant cinq livres, sans os du tout."")",1.28,Substitution
68,,"('#ragot', 'Et pour le souper, ce soir ?')",1.0,Deletion
69,,"('#ragot', ""Oh !  Pour ce soir j'avons un petit gigot qu'est au four, chez le pâtissier, avec une gousse d'ail dans le manche."")",1.0,Deletion
70,,"('#ragot', ""C'est bon.  Allons, rentre tout ça."")",1.0,Deletion
71,"('#dodinet', 'Oui, celle-là.')","('#ragot', ""Oh !  je ne me suis pas endormi, allez, et si c'est pas encore là tout.  J'ai été battre ste vieille courtepointe que vous savez ben, avec la voisine qui était tout pleine de poussière ?"")",1.31,Substitution
72,"('#janot', ""Ah !  C'est encore d'un méquier ben bas, qu'en dis-tu ?  Ben sale, Dodinet ?  I' me faut pus haut que ça."")","('#ragot', ""La peste de l'imbécile !  Qu'est-ce que tu m'embrouilles, la voisine pleine de poussière ?"")",1.18,Substitution
73,,"('#ragot', ""Oui, la courtepointe...  Et pis ste tenture que j'ai portée chez le dégraisseur, que vous avez acheté hier à l'inventaire..."")",1.0,Deletion
74,"('#dodinet', 'Dame !  Qui done veux-tu prendre au bout de tout ?')","('#ragot', ""Moi !  J'ai acheté ?..."")",1.43,Substitution
75,,"('#ragot', 'Oui, qui vous a coûté un louis, où ce qui y avait tout plein de taches dedans.')",1.0,Deletion
76,,"('#ragot', 'Ah !  Je sais ce que tu veux dire...  Allons, il se fait tard ; va-t-en me chercher le souper.')",1.0,Deletion
77,,"('#ragot', ""Eh ben !  Donnez-moi de l'argent pour payer la façon."")",1.0,Deletion
78,,"('#ragot', 'Comment, la façon ?')",1.0,Deletion
79,,"('#ragot', 'Oui, deux sous pour le four.')",1.0,Deletion
80,"('#janot', 'Veux-tu que je te le dise ?')","('#ragot', ""Est-ce que tu n'as pas d'argent ?"")",0.9,Substitution
81,"('#dodinet', 'Eh !  Pardine !  Je te le demande exprès.')","('#ragot', ""Moi !  Eh, pardine !  Vous crayez ben que je n'en manque pas, vous ne m'en laissez jamais."")",0.75,Substitution
82,"('#janot', ""Eh ben !  quiens, c'est Mam'selle Courtois, la femme de chambre de la comtesse."")","('#ragot', ""Eh !  Qu'est-ce que t'as fait des six sous que ma femme t'as donnés ce matin ?"")",1.51,Substitution
83,"('#dodinet', ""Oh !  Diable, t'es ambitionneux."")",,1.0,Insertion
84,"('#janot', ""Ah !  Dame !  Moi, v'là comme je suis, vois-tu !  C'est comme dit c't aut', quand on prend du galon on n'en saurait trop prendre."")","('#janot', ""Ah !  Jarni, je ne croyais pas qu'il savait ceux-là ! Monsieur, j'en ai fait mettre des bouts à mes souyers, de quatre sous, par le savetier du coin, qui étaient tout percés à jour. Haut."")",1.05,Substitution
85,"('#dodinet', ""C'est fort ben pris à toi : mais c't femme de chambre voudra-t-elle te le laisser prendre son galon ?"")","('#ragot', 'Oui, tes souyers de quatre sous !...  Et les autres deux sous ?')",1.52,Substitution
86,"('#janot', ""Pardine !  si elle le voudra !  ah !  Que oui, va : que de reste encore.  Je l'i fais, tous les jours, sans que ça paraisse, des petits plaisirs qu'all' en est ben aise comme tout, que je l'i galope pour des commissions depis le matin jusqu'au soir, qu'all' me donne !  Tu crois que ça ne la tentera pas, sous ma palliasse, en or fin ?..."")","('#ragot', ""J'en ai fait mettre des clous aux talons, de six yards, et les autres deux yards j'ai regardé la liste de la loterie."")",0.88,Substitution
87,,"('#ragot', 'Pourquoi faire regarder la liste ?')",1.0,Deletion
88,,"('#ragot', ""Pour voir si j'aurais pas gagné quelquefois."")",1.0,Deletion
89,,"('#ragot', 'Est-ce que tu mets à la loterie, toi ?')",1.0,Deletion
90,,"('#ragot', ""Moi !  Oh !  Je ne suis pas si bête.  On dit que c'est de l'argent perdu."")",1.0,Deletion
91,"('#dodinet', ""Ah !  Oui, t'as raison.  Je n'y pensais pas moi : ça prévient ben les gens à prendre du goût ça."")","('#ragot', ""Et comment veux-tu donc y gagner, imbécile, si tu n'y mets pas ?"")",1.17,Substitution
92,,"('#ragot', ""Eh, l'hasard donc : ...  Si j'ai du bonheur, moi, ne faut qu'un coup."")",1.0,Deletion
93,"('#janot', ""Oh !  Oui.  Je te dis qu'all' m'aimera p'têt' que trop.  Mais quoique ça, je veux ben faire les choses.  Charge-toi de ça, toi, Dodinet, tu seras mon garçon d'honneur...  Faut que je propose à Mam'selle Courtois, ma future, un grand repas, pour signer au cabaret le contrat de mariage, au coin de la rue que tu connais, où que je nous rassemblerons tous, pas vrai ?"")","('#ragot', ""Oui, tu m'as l'air heureux aussi !...  Quiens, ma femme, donne-lui de la monnaie ; moi, je vas mettre le couvert. Il rentre."")",0.52,Substitution
94,"('#dodinet', 'Je veux ben, moi : quoi que tu veux que je fasse ?')","('#madame-ragot', ""Comben qu'il te faut ?"")",0.76,Substitution
95,"('#janot', ""Pendant que je vas aller l'y reporter son habit, à la comtesse, de jockey, et pis que j'inviterai Mam'selle Courtois à çall' fin de l'i conter ça en douceur, faut que t'ailles, toi, au cabaret commander le repas."")","('#ragot', 'Deux sous pour aller chercher le gigot.')",1.42,Substitution
96,"('#dodinet', ""Pourquoi que tu n'y vas pas toi-même ?"")","('#madame-ragot', 'Quiens, en vlà douze, en revenant tu prendras une bouteille de vin.')",1.57,Substitution
97,"('#janot', ""Oh !  Non, toi, ça vaut mieux, parce que t'es pus connu que moi.  Et pis avec ton épée, ça en impose."")","('#ragot', ""À queu prix, not' maîtresse, à quinze ?"")",1.36,Substitution
98,"('#dodinet', ""Eh ben !  Allons : j'y vas."")","('#madame-ragot', ""Tenez, st'imbécile !  À quinze avec douze sous ?"")",1.63,Substitution
99,,"('#ragot', ""Dame, vous n'expliquez pas aussi ; on n'est pas sorcier pour deviner tout."")",1.0,Deletion
100,"('#janot', ""Écoute donc, Dodinet, me conseilles-tu d'inviter Monsieur Ragot et sa femme ?  Ça les f'ra bisquer de me voir heureux.  Qu'en dis-tu ?"")","('#madame-ragot', ""À dix sous, nigaud, et deux pour le gigot, ça fait ton compte.  Ou ben, tiens, rends-moi mes douze sous, j'ai besoin de monnaie, vlà six francs.  Fais-toi donner de bonnes pièces, entends-tu ? Elle s'en va."")",0.89,Substitution
101,"('#dodinet', ""Oui, c'est ben imaginé : j'en rirons."")",,1.0,Insertion
102,"('#janot', ""Eh ben !  C'est dit, tu les iras cherçher de ma part, et pis Mam'selle Suzon avec son père, et pis la fille de boutique du dégraisseur.  Quand on est en train, ça ne coûte pas davantage, pas vrai donc !  Moi, je vas amener Mam'selle Courtois, et pis quand je les verrai toutes les trois, je saurai pour laquelle je me déterminerai, car avec ces filles ça va et ça vient, on ne sait jamais à quoi s'en tenir."")","('#ragot', ""Oh !  Pardine, laissez faire, allez, je ne suis pas bête, moi.  Vous savez ben qu'on ne m'attrape pas comme ça... C'est bon...  J'avais ben encore queuques sous de monnaie que je n'ai pas voulu l'y dire, là-haut dans un coin de ma chambre ; je les garde pour aller déjeuner demain avec Mam'selle Suzon, qu'est fête, comme j'avons été dimanche dernier...  Allons toujours chercher not' soupé...  Mais la nuit est noire comme tout.  Je répandrai la sausse.  Holà !  Not' maîtresse, descendez-moi donc un peu vot' lanterne, qu'on n'y voit goutte, avec de la chandelle dedans. Seul."")",0.33,Substitution
103,"('#dodinet', ""Écoute, Janot, j'ai un de mes amis qui est clerc de notaire que je connais, je l'inviterai aussi pour qu'il se trouve au repas et qu'il te dresse le contrat tout prêt : entends-tu ?"")","('#madame-ragot', 'Quiens, la vlà.  Elle lui donne.')",1.24,Substitution
104,"('#janot', ""C'est bon.  Va toujours commander le repas, v'là qu'est dit.  Le rendez-vous est au cabaret : les premiers venus y attendront les autres. Dodinet entre au cabaret."")",,1.0,Insertion
105,"('#janot', ""Ah !  V'là pourtant que le bonheur commence à m'en vouloir un p'tit peu.  Ah !  Dame !  Aussi, comme on dit, on n'est pas né coiffé pour rien.  Mais pour en revenir là-dessus, en parlant de mariage, c'est-i' un bonheur que d'être né coiffé ?  Oh !  Pardine, sûrement.  Une fois que la coiffure est faite, n'y a pus de danger ; mais pendant que je rêve là, moi, m'est avis que c'est M.  Ragot qui détourne la rue là-bas, avec sa redingote et sa perruque.  Oui, ma fine, je le reconnais à ses tableaux, qu'i' vient de quéque inventaire.  Faut que je fasse mon fier, voir un peu si i' me reconnaîtra, moi, sous c't habit-là."")","('#ragot', ""« Lison dormait sur un bocage, Un bras par-ci, l'autre pied par-là...» Ben obligé... Eh mais !  Dieu me pardonne, je crois que vlà Mam'selle Suzon à sa fenêt' ; faut que je l'y dise un petit bon soir sans faire semblant de rien. Bonsoir, Mam'selle Suzon, comme que vous vous portez, s'il vous plaît ? Il s'en va en chantant : En criant."")",0.4,Substitution
106,"('#janot', ""Eh ben !  Quoi que c'est donc !  Vous pouvez pas prendre garde sur qui que vous marchez."")",,1.0,Insertion
107,"('#ragot', ""Ah !  Monsieur, pardon.  C'est pas ma faute."")",,1.0,Insertion
108,"('#janot', ""Si fait, c'est vot' faute.  Quand on marche dans les rues faut avoir les yeux partout."")",,1.0,Insertion
109,"('#ragot', ""Eh ben !  Monsieur, je ne l'ai pas fait exprès, là."")","('#suzon', ""Ben obligée, fort ben, Monsieur Janot, et vous même du depis qu'on ne vous a pas vu ?"")",1.06,Substitution
110,"('#janot', ""C'est bon.  I' ne me reconnaît pas.  Ce que c'est que de nous !  Comme un habit change le monde ! Eh !  Dites donc, bonhomme, est-ce que vous seriez peintre ? Haut."")","('#ragot', ""Oh !  Moi, je me porte comme le Pont-Neuf.  Queuque vous faites donc à vot' fenêt', à l'heure qu'il est, à st'heure-ci ?"")",0.84,Substitution
111,"('#ragot', 'Non, Monsieur.')",,1.0,Insertion
112,"('#janot', 'Ah !  Vous êtes barbouilleur en cul-de-sac ?')",,1.0,Insertion
113,"('#ragot', ""Non, Monsieur, ni l'un ni l'autre."")",,1.0,Insertion
114,"('#janot', ""Ni l'un ni l'autre ?  Et pourquoi donc faire que vous avez ces tableaux ?"")",,1.0,Insertion
115,"('#ragot', ""Monsieur, c'est que je viens de les acheter."")",,1.0,Insertion
116,"('#janot', 'Vous vous y connaissez donc ?')",,1.0,Insertion
117,"('#ragot', 'Oh !  Comme ça, pas trop.')","('#suzon', ""Ah !  Rien, je suis ta prendre un petit brin l'air, sans que ça paraisse ; et vous, où que vous allez comme ça ?"")",0.95,Substitution
118,,"('#ragot', ""Je vas chercher not' soupé qui est chez le pâtissier, au coin de la rue, à côté de ce parfumeur, cuit dans le four."")",1.0,Deletion
119,"('#janot', 'Eh !  Pourquoi donc que vous les achetez si vous ne vous y connaissez pas ?')",,1.0,Insertion
120,"('#ragot', ""C'est pour les revendre à d'autres qui s'y connaîtront encore moins que moi."")",,1.0,Insertion
121,"('#janot', 'En avez-vous ben, des chalands ?')","('#suzon', ""C'est fort ben fait ; vous aurez beau temps."")",1.56,Substitution
122,"('#ragot', ""Dieu merci !  Je n'en manque pas."")","('#ragot', ""Oui, ma fine, si ça dure, j'aurons une belle journée ste nuit...  Y fera demain pour la promenade.  Si vous voulez, j'irons déjeuner comme j'avons été dimanche dernier à Saint-Cloud.  Je mangerons de bons baignets cheux le Suisse, fricassés dans la poêle."")",1.41,Substitution
123,"('#janot', ""Comme ça, c'est un bon commerce que le vôtre."")","('#suzon', ""Je le voulons ben, Monsieur Janot ; mais c'est que ça bourre comme tout les baignets."")",1.21,Substitution
124,"('#ragot', ""Mais y a des temps que ça n' laisse pas qu' d'aller."")",,1.0,Insertion
125,"('#janot', 'Oui, suivant les dupes, pas vrai ?')",,1.0,Insertion
126,"('#ragot', ""Oh !  Monsieur, faut qu'i' y en ait des uns et des autres."")","('#ragot', ""Oh que non !  Je les ferons descendre ; je boirons de ce bon p'tit vin de Briolet que vous aimez tant, que nous en avons bu l'aut' jour sous ce grand berceau, où ce qui y a de l'épine blanche tout du long, à six sous la bouteille : vous en souvenez-vous-ti ?"")",1.33,Substitution
127,"('#janot', ""Eh ben !  Voyons.  Comben me vendrez-vous l'original de c'te copie-là ?"")",,1.0,Insertion
128,"('#ragot', ""Copie !  Oh !  Je ne l'ai pas encore payé pour ça.  Mais à propos de copie, vous m'avez ben l'air vous d'être la copie d'un certain original que j'ai connu, i' n'y pas ben longtemps."")","('#suzon', ""Pardine !  Si m'en souvient !  Témoin, que j'y ai t'oublié mon petit couteau que vous m'aviez donné, où ce que j'en ai t'eu ben du chagrin, allez."")",1.31,Substitution
129,"('#janot', ""Oh !  De ça, par exempe, vous vous trompez : je suis ben original moi-même, et pus sûr que vot' tableau encore."")","('#ragot', ""Comment !  Stustache Dubois que je vous avais fait présent ?  Ah ben !  Voyez, c'est comme un sort !...  Mais, c'est égal, je vous en donnerai un aute, un véritable couteau de langue, tout ce qu'il y a de pus meilleur ; vous n'en verrez pas la fin de celui-là.  Il m'a déjà usé deux manches et trois lames, c'est toujours le même !"")",0.87,Substitution
130,"('#ragot', ""Comment se pourrait-i' faire que..."")",,1.0,Insertion
131,"('#janot', ""Faut ben que ça se puisse, pisque ça est, et c'est pas un meuble d'inventaire, non-da, fait pour vot' boutique, au moins."")","('#suzon', ""C'est ben honnête à vous, Monsieur Janot ; faut pas vous défaire de vos meubles comme ça pour moi."")",0.67,Substitution
132,"('#ragot', ""Ah ventrebleu !  Nous y v'là, c't habit-là me trompait, mais je te reconnais à ton paroli."")",,1.0,Insertion
133,"('#janot', 'Eh ben !  Oui, chacun a son parlement.  Après, de quoi que vous en voulez dire ?')",,1.0,Insertion
134,"('#ragot', ""Dire !  Mais qu'on voit ben que c'est pas toujours les honnêtes gens qu'avons le pus de bonheur, pisqu'un p'tit gueux comme toi a trouvé des ressources."")",,1.0,Insertion
