,la-fontaine-daphne,quinault-proserpine,Cost,Operation Type
10,"('#jupiter', 'Ouvre tes magasins.')",,1.0,Insertion
11,"('#promethee', ""Paraissez, nouveaux humains. À ce commandement de Prométhée, les toiles qui représentent la terre s'ouvrent de côté et d'autre, et au fond aussi, et laissent voir de toutes parts une boutique de sculpteur avec force outils et morceaux de toutes matières, et des statues d'hommes et de femmes debout sur des cubes."")","('#la-victoire', 'Venez aimable paix, le vainqueur vous appelle, La victoire devient votre guide fidèle ; Venez dans un heureux séjour. Vous, discorde affreuse et cruelle, Portez ses fers à votre tour.')",1.21,Substitution
12,"('#momus', ""Sont-ce là des humains ? Quelle race immobile ! J'aimais mieux la première, encor que moins tranquille."")",,1.0,Insertion
13,"('#promethee', 'Vous ne les connaissez pas.')",,1.0,Insertion
14,"('#momus', 'Fais-leur faire quelques pas.')",,1.0,Insertion
15,"('#promethee', ""Descendez. Les statues descendent, et viennent à pas lents et graves faire une entrée, dansant presque sans mouvement, et d'une façon composée, comme feraient des sages et des philosophes."")","('#la-victoire #suite-de-la-victoire', ""Venez, aimable paix, le vainqueur vous appelle. La suite de la Victoire déchaîne la Paix et les divinités qui l'accompagnent, et enchaîne la Discorde et sa suite."")",0.87,Substitution
16,,"('#la-paix #suite-de-la-paix', 'Ah ! Quel bonheur charmant !')",1.0,Deletion
17,,"('#la-discorde #suite-de-la-discorde', 'Ah ! Quel affreux tourment !')",1.0,Deletion
18,"('#momus', ""Quelles gens ! Ce n'est qu'une machine."")","('#la-discorde', ""Orgueilleuse victoire, est-ce à toi d'entreprendre De mettre la Discorde aux fers ? À quels honneurs sans moi peux-tu jamais prétendre ?"")",1.36,Substitution
19,"('#promethee', ""C'est l'idole d'un sage."")","('#la-victoire', ""Ah ! Qu'il est beau de rendre La Paix à l'univers."")",1.85,Substitution
20,"('#les-dieux', 'Hé quoi ! la passion Jamais chez eux ne domine !')","('#la-discorde', ""Tes soins pour le vainqueur pouvaient plus loin s'étendre ? Que ne conduisais-tu le héros que tu sers, Où cent lauriers nouveaux lui sont encore offerts ? La gloire au bout du monde aurait été l'attendre."")",1.1,Substitution
21,"('#promethee', ""Leur coeur en est tout plein ; ce n'est qu'ambition, Colère, désespoir, crainte, ou joie excessive. Machine, on veut voir vos ressorts ; Quittez tous ces trompeurs dehors. Les nouveaux hommes, qui paraissaient de véritables statues, quittent une partie de l'habit qui les enveloppe, et se font voir tels qu'ils sont dans l'intérieur, l'un représentant l'ambition, l'autre, la colère, la crainte, le désespoir, la joie excessive, etc. En cet état ils dansent en confusion et d'une manière aussi impétueuse et aussi vive que l'autre était grave et peu animée."")","('#la-victoire', ""Ah ! Qu'il est beau de rendre la paix à l'univers. Après avoir vaincu mille peuples divers, Quand on ne voit plus rien qui puisse se défendre, Ah ! Qu'il est beau de rendre la paix à l'univers. La suite de la victoire et la suite de la paix, répètent ces derniers vers."")",0.61,Substitution
22,"('#momus', 'Je la trouvais trop lente, et la voilà trop vive.')","('#la-discorde', ""Ô ! Cruel esclavage ! Je ne verrai donc plus de sang et de carnage ? Ah ! Pour mon désespoir faut-il que le vainqueur Ait triomphé de son courage ? Faut-il qu'il ne laisse à ma rage Rien à dévorer que mon coeur ? Ô ! Cruel esclavage ! La suite de la Discorde répète ce dernier vers."")",1.31,Substitution
23,"('#minerve', 'Laissez-moi régler ces transports.')",,1.0,Insertion
24,"('#venus', ""Mon fils, par de secrètes causes, Peut encor mieux que vous les calmer à son tour : Rien n'a d'empire sur l'Amour, L'Amour en a sur toutes choses. Le plus magnifique don Qu'aux mortels on puisse faire, C'est l'amour."")","('#la-victoire', ""Au fond d'un gouffre plein d'horreur, Que sous des fers pesants la discorde gémisse. Partagez son supplice Vous qui partagez sa fureur. Et vous triste séjour, changez, que tout ressente Le pouvoir plein d'appas de la Paix triomphante. La Discorde et sa suite s'abîment dans des gouffres qui s'ouvrent sous leurs pas, et l'affreuse retraite de la Discorde se change en un palais agréable."")",0.61,Substitution
25,"('#minerve', ""C'est la raison. Le don le plus nécessaire Aux hôtes de ce séjour, C'est la raison."")",,1.0,Insertion
26,"('#venus', ""C'est l'amour."")","('#la-paix #suite-de-la-paix', 'Ah quel bonheur charmant !')",0.91,Substitution
27,,"('#la-discorde #suite-de-la-discorde', 'Ah ! Quel affreux tourment !')",1.0,Deletion
28,"('#amour', ""L'effet en jugera : servez-vous de vos armes, Et moi j'emploierai mes charmes."")","('#la-victoire #la-paix', ""Le vainqueur est comblé de gloire, On doit l'admirer à jamais : Il s'est servi de la victoire Pour faire triompher la paix. La suite de la victoire et la suite de la paix répètent ces quatre vers. La suite de la paix témoigne sa joie en dansant et en chantant."")",1.2,Substitution
29,"('#minerve', ""Que vous vous tourmentez, mortels ambitieux, Désespérés et furieux, Ennemis du repos, ennemis de vous-mêmes ! A modérer vos voeux mettez tous vos plaisirs : Régnez sur vos propres désirs ; C'est le plus beau des diadèmes. Les hommes qui s'étaient arrêtés quelques moments pour ouïr Minerve, attendent à peine qu'elle a achevé, et ne laissent pas, malgré ses conseils, témoigner toujours la même fureur et le même emportement. L'Amour leur faisant signe qu'il veut parler, ils s'arrêtent."")","('#la-felicite #l-abondance', ""Il est temps que l'amour nous enchaîne, Il sait vaincre les plus fiers vainqueurs. Rendons-nous, la fuite est vaine, Ce dieu charme tous les coeurs : Il n'a point de bien sans peine, Mais peut-on trop payer ses douceurs. Dans les fers qu'Amour veut que l'on prenne, Tout est doux jusqu'aux plus tristes pleurs. Rendons-nous, la fuite est vaine, Ce dieu charme tous les coeurs, etc."")",0.1,Substitution
30,"('#amour', ""De vos sages discours voyez quel est le fruit Je ne dirai qu'un mot. Aimez. On obéit : Vous le voyez. Aux hommes. À ce mot, ceux qui dansaient en confusion et en tumulte dansent deux à deux comme personnes qui s'aiment."")","('#la-paix', ""On a quitté les armes. Voici le temps heureux Des plaisirs pleins de charmes, Voici le temps heureux Des plaisirs et des jeux. On ne versera plus de larmes, Tous les coeurs seront sans alarmes ; Et si l'on craint encor des tourments rigoureux Ce sera seulement dans l'empire amoureux. On a quitté les armes Voici le temps heureux Des plaisirs pleins de charmes, Voici le temps heureux Des plaisirs et des jeux. Le choeur répète ces derniers vers."")",0.58,Substitution
31,"('#venus', ""Amour, qu'il est doux de te suivre !"")","('#la-felicite', ""Que l'amour est doux à suivre ! Quel plaisir de s'enflammer ! Un jeune coeur ne commence de vivre Que du moment qu'il commence d'aimer. Malheureux qui se délivre D'un tourment qui sait charmer. On reconnaît que l'on cesse de vivre En même temps que l'on cesse d'aimer."")",0.91,Substitution
32,"('#jupiter', 'Vivez, nouveaux humains.')",,1.0,Insertion
33,"('#choeur-des-dieux', 'Vivez, nouveaux humains.')",,1.0,Insertion
34,"('#venus', ""Laissez-vous enflammer. Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")","('#le-choeur', 'On a quitté les armes Voici le temps heureux Des plaisirs pleins de charmes, Voici le temps heureux Des plaisirs et des jeux.')",0.65,Substitution
35,"('#choeur', ""Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")","('#ceres', ""Goûtons dans ces aimables lieux Les douceurs d'une paix charmante. Les superbes géants armés contre les dieux Ne nous donnent plus d'épouvante : Ils sont ensevelis sous la masse pesante Des monts qu'ils entassaient pour attaquer les cieux Nous avons vu tomber leur chef audacieux Sous une montagne brûlante ; Jupiter la contraint de vomir à nos yeux Les restes enflammés de sa rage mourante, Jupiter est victorieux, Et tout cède à l'effort de sa main foudroyante. Goûtons dans ces aimables lieux Les douceurs d'une paix charmante."")",1.41,Substitution
36,"('#momus', ""D'où vient que si mal assortie Cette belle a fait choix d'un vieillard pour amant ?"")",,1.0,Insertion
37,"('#amour', ""C'est l'effet merveilleux d'un secret sentiment Que j'appelle sympathie."")","('#ceres #cyane #crinise', ""Goûtons dans ces aimables lieux Les douceurs d'une paix charmante."")",0.5,Substitution
38,"('#venus', ""Le démon opposé n'a pas moins de pouvoir. Souvent nous haïssons ce qui devrait nous plaire."")",,1.0,Insertion
39,"('#jupiter', ""Tel dieu sait l'avenir, qui n'a pas su prévoir Quels maux ce démon lui va faire. Mais un jour un prince viendra Qui plaira plus qu'il ne voudra. Le Destin parmi nous lui garde un rang insigne, Et je lui veux accorder, Afin qu'il en soit plus digne, L'art de savoir commander. Mars lui promet en apanage La grandeur d'âme et de courage."")","('#ceres', ""Prenez soin d'assembler tout ce qui suit mes lois, Honorons le vainqueur d'une commune voix."")",1.48,Substitution
40,,"('#ceres #cyane #crinise', ""Honorons le vainqueur d'une commune voix. Cyané et Crinise vont de deux côtés différents appeler les divinités et les peuples de la Sicile, pour venir ensemble célébrer la victoire de Jupiter."")",1.0,Deletion
41,"('#minerve', 'Moi, la vertu.')","('#ceres', 'Mercure, quel dessein vous fait ici descendre ?')",0.98,Substitution
42,"('#venus', ""Moi, l'agrément."")","('#mercure', ""Jupiter près de vous m'ordonne de me rendre."")",1.45,Substitution
43,,"('#ceres', ""Non, non, à vos discours je n'ose ajouter foi. Jupiter après sa victoire Songe à tenir en paix l'univers sous sa loi ; Il est trop occupé de sa nouvelle gloire, Eh ! Le moyen de croire Qu'il songe encore à moi ?"")",1.0,Deletion
44,"('#amour', ""Et moi le don d'aimer et d'être heureux amant."")","('#mercure', ""Dans les soins les plus grands dont son âme est remplie Il se souvient toujours que vous l'avez charmé ; Il est mal-aisé qu'on oublie Ce qu'on a tendrement aimé, Il admire les dons que vous venez de faire En cent climats divers, L'abondante Sicile heureuse de vous plaire De vos riches moissons voit tous ses champs couverts : Mais la mère des dieux se plaint que la Phrygie Quelle a toujours chérie, Ne se ressente pas de vos soins bienfaisants ; Et c'est Jupiter qui vous prie D'y porter vos divins présents. Quelle gloire de voir qu'un dieu si grand implore Votre favorable secours !"")",1.05,Substitution
45,"('#venus #l-amour #minerve', ""Amour et la Raison s'accorderont pour faire Qu'aux coeurs comme aux esprits ce prince plaise un jour"")","('#ceres', ""Peut-être qu'il m'estime encore, Mais il m'avait promis qu'il m'aimerait toujours. L'amour qui pour lui m'anime Devient plus fort chaque jour, Est-ce assez d'un peu d'estime Pour le prix de tant d'amour."")",0.88,Substitution
46,"('#choeur', 'Heureux qui par raison doit plaire ! Plus heureux qui plaît par amour !')","('#mercure', ""Il sent l'ardeur qu'un tendre amour inspire, Avec plaisir il se laisse enflammer ; Mais un amant chargé d'un grand empire N'a pas toujours le temps de bien aimer."")",0.59,Substitution
47,"('#chloris #aminte #nymphes', ""Allons dans cette prairie : C'est un tranquille séjour ; Jamais les larmes d'amour N'y baignent l'herbe fleurie ; Les moutons y sont en paix, Et les loups n'y font jamais D'outrage à la bergerie."")","('#ceres', ""Quand de son coeur je devins souveraine N'avait-il pas le monde à gouverner, Et ne trouvait-il pas sans peine Du temps de reste à me donner. Je l'ai vu sous mes lois ce dieu si redoutable. Je l'ai vu plein d'empressement ; Ah ! Qu'il serait aimable, S'il aimait constamment !"")",1.16,Substitution
48,"('#chloris', 'Viens, ma soeur.')",,1.0,Insertion
49,"('#aminte', 'Je te suis.')",,1.0,Insertion
50,"('#chloris', ""Viens goûter une vie Dont le calme est digne d'envie. Notre Nymphe a banni de ces lieux si charmants Ce peuple d'importuns que l'on appelle amants. La voici."")","('#mercure', ""Son amour craint de trop paraître, Dans le ciel on l'observe avec des yeux jaloux."")",0.79,Substitution
51,"('#aminte', ""Que d'appas, de beautés, et de grâces ! Dirait-on pas que l'air s'embellit à ses traces ?"")","('#ceres', ""De quels dieux n'est-il pas le maître ? Ne les fait-il pas trembler tous ? Que vous l'excusez mal quand mon amour l'accuse ; S'il pouvait avoir quelque excuse, Mon coeur la trouverait mille fois mieux que vous. Allez, à ses désirs il faut que je réponde. Je quitte une paix profonde, Qui m'offre ici mille appas : Que ne quitterait-on pas Pour plaire au maître du monde ? Mercure répète ces deux derniers vers avec Cérès, et s'envole pour aller au ciel retrouver Jupiter."")",0.98,Substitution
52,"('#daphne', ""Amour, n'approche point de nos ombrages doux, De nos prés, de nos fontaines ; Laisse en repos ces lieux ; assez d'autres que nous Se feront un plaisir de connaître tes peines."")","('#ceres', ""La Phrygie a besoin de mes dons précieux, Et je laisse avec vous Proserpine en ces lieux, J'ai peine à la quitter, cette fille si chère..."")",1.2,Substitution
53,"('#daphne', ""Chloris, n'est-ce pas la ta soeur que tu m'amènes ?"")","('#arethuse', ""Je suis dans la Sicile une nymphe étrangère, Je viens vous conjurer de m'en laisser partir."")",1.66,Substitution
54,,"('#ceres', ""Non, Arethuse, non, je n'y puis consentir."")",1.0,Deletion
55,"('#chloris', 'Je vous la viens offrir. Nous cherchions en ces lieux Ce que Flore a pour vous de dons plus précieux.')","('#arethuse', ""Alphée à mon repos a déclaré la guerre : Diane propice à mes voeux, En vain pour me cacher à ce fleuve amoureux, Fit ouvrir le sein de la terre : Il n'est point de détours dans l'ombre des enfers Que son amour n'ait découverts : Je l'ai trouvé partout, et sous des mers profondes J'ai vu ses flots brûlants suivre mes froides ondes ; Je veux le fuir encore au bout de l'univers."")",0.85,Substitution
56,"('#daphne', ""Cherchons, cherchons des fleurs ; l'âge nous y convie : Parons-nous de bouquets pendant notre printemps : Les plaisirs ont chacun leur temps, Comme les saisons de la vie Daphné, ayant achevé ces paroles, se baisse pour cueillir des fleurs, et les Nymphes de la suite en font autant ; pendant quoi un choeur de bergers, demeuré par respect derrière le théâtre, répète ces mots."")","('#ceres', ""Les soins d'un amour extrême Devraient moins vous alarmer : Vous craignez trop qu'on vous aime, Ne craignez vous point d'aimer ? Vous rougissez, Arethuse ; Votre rougeur vous accuse. Il est aisé de voir dans ce trouble fatal Le péril où l'amour en ces lieux vous expose."")",1.01,Substitution
57,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie.')","('#arethuse', ""Le dangereux amour ! Que je lui veux de mal Du trouble qu'il me cause !"")",1.69,Substitution
58,,"('#ceres', 'Avec Alphée ici je veux vous arrêter.')",1.0,Deletion
59,"('#daphne', ""J'entends de nos bergers le concert plein d'appas. Qu'ils chantent, je le veux, mais qu'ils n'approchent pas."")","('#arethuse', ""Eh ! De grâce, aidez-moi plutôt à l'éviter. Je crains enfin qu'il ne m'engage, Et sa constance me fait peur : Non, si je le vois davantage, Je ne réponds plus de mon coeur."")",1.28,Substitution
60,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie Il en renaît sous ses pas.')","('#ceres', ""Aimez sans vous contraindre, Aimez à votre tour. C'est déjà ressentir l'amour Que de commencer à le craindre. Arethuse chante ces deux derniers vers avec Cérès."")",1.25,Substitution
61,"('#daphne', 'Déployons nos trésors.')",,1.0,Insertion
62,"('#chloris', ""J'ai cueilli les plus belles."")",,1.0,Insertion
63,"('#aminte', 'Et moi, les plus nouvelles.')",,1.0,Insertion
64,"('#meroe', 'Moi, les plus vives en couleur.')",,1.0,Insertion
65,"('#daphne', ""Et vous ? Quel mauvais choix vous avez fait, ma soeur ! Vous nous direz, pour votre peine, Une chanson contre l'Amour. Cependant je veux que ma Cour Jure de lui porter une éternelle haine ; Jurez la première, Clymène !"")","('#ceres', ""Je vais voir Proserpine, et partir promptement. Demeurez avec elle en un lieu si charmant Pour fuir l'amour qui vous appelle Ne cherchez plus de vains détours : Aimez un amant fidèle, On n'en trouve pas toujours Cérès va voir Proserpine avant que de partir pour aller en Phrygie."")",0.68,Substitution
66,"('#clymene', ""Tout serment De n'avoir jamais d'amant Est chose fort incertaine ; Il en est peu que l'on tienne Plus d'un jour, plus d'un moment : Tout serment De n'avoir jamais d'amant Est chose fort incertaine."")","('#arethuse', ""Vaine fierté, faible rigueur, Que vous avez peu de puissance Contre l'amour et la constance ! Vaine fierté, faible rigueur, Ah ! Que vous gardez mal mon coeur ! En vain, par vos conseils je me fais violence : Je combats vainement une douce langueur : Hélas ! Vous m'engagez à faire résistance, Et vous me laissez sans défense, Au pouvoir de l'amour vainqueur ? Vaine fierté, faible rigueur, Que vous avez peu de puissance Contre l'amour et la constance ! Vaine fierté, faible rigueur, Ah ! Que vous gardez mal mon coeur ! Je vois Alphée, ô dieux ! Où sera mon asile ! Mon coeur est déjà charmé, Et ma fuite est inutile ; Hélas ! Qu'il est difficile De fuir un amant aimé ! Il approche, je tremble. Ah faut-il qu'il jouisse Du trouble honteux où je suis ? Pardonne, amour, si je le fuis, J'en ressens un cruel supplice ; Mais n'importe, je veux l'éviter si je puis."")",1.12,Substitution
67,"('#daphne', 'Je veux que vous juriez ; dites donc après moi : Amour,')","('#alphee', ""Arrêtez, nymphe trop sévère, Ne fuyez plus d'une course légère Les soins trop empressés de mon coeur amoureux ; N'ayez plus contre moi ni chagrin ni colère, J'ai résolu de ne vous plus déplaire, Et je vais étouffer mon amour malheureux."")",0.66,Substitution
68,"('#clymene', 'Amour,')","('#arethuse', 'Alphée...')",1.02,Substitution
69,"('#daphne', 'Si jamais sous ta loi Je respire,')","('#alphee', ""Alphée enfin vous arrête, inhumaine, Mais vous vous arrêtez pour voir briser sa chaîne. C'en est fait, mes fers sont rompus."")",1.6,Substitution
70,"('#clymene', 'Si jamais sous ta loi Je respire,')",,1.0,Insertion
71,"('#daphne', 'Je consens de mourir.')",,1.0,Insertion
72,"('#clymene', ""Mourir ? c'est beaucoup dire."")","('#arethuse', 'Alphée, est-il bien vrai ?')",1.23,Substitution
73,"('#daphne', 'Je consens de mourir, si jamais je soupire.')","('#alphee', ""N'en doutez point, cruelle, Je le reprends ce coeur trop tendre et trop fidèle, Ce coeur trop rebuté par de cruels refus."")",1.37,Substitution
74,"('#clymene', 'Je consens de mourir, si jamais je soupire.')","('#arethuse', ""Alphée, est-il bien vrai que vous ne m'aimiez plus ?"")",1.54,Substitution
75,"('#daphne', 'Clymène, acquittez-vous ; accompagnons ses sons, Et que nos pas animent nos chansons. Daphné et les personnes de sa suite se prennent alors par la main, et Clymène chante cette gavotte que toute la troupe danse, la répétant après elle : ')","('#alphee', ""Ingrate il est trop vrai, mon coeur rompt avec peine Des noeuds qu'il a trouvé si beaux ; Mais de peur qu'il ne les reprenne Je le veux engager en des liens nouveaux. J'ai vu l'aimable Proserpine : On connaît à l'éclat de sa beauté divine Que du maître des dieux elle a reçu le jour. Rendez-lui grâce, C'est elle qui vous débarrasse De mon fâcheux amour."")",0.99,Substitution
76,,"('#arethuse', 'Si Proserpine est belle, Son coeur est fier et rigoureux : Votre chaîne nouvelle Ne vous rendra pas plus heureux.')",1.0,Deletion
77,"('#clymene', ""L'autre jour sur l'herbe tendre Je m'assis près de Philandre : Il me conta ses tourments ; Ma mère alors me querelle. « Petite fille, dit-elle, N'écoutez point les amants. Ils sont indiscrets, volages, Téméraires, et peu sages ; Ils font mille faux serments : Ils sont jaloux, ils sont traîtres, Et tyrans quand ils sont maîtres, N'écoutez point les amants. » Écoutez ma chansonnette, Et l'écho qui la répète, Et ces rossignols charmants : Leur musique est sans pareille ; Mais ne prêtez point l'oreille Au ramage des amants."")","('#alphee', ""N'importe je veux bien souffrir sous son empire. Vous ne m'avez déjà que trop accoutumé Au rigoureux martyre D'aimer sans être aimé. Proserpine vous aime, et j'ose au moins prétendre Que vous me servirez dans cet engagement. Vous savez si mon coeur est tendre, Vous avez éprouvé s'il aime constamment..."")",0.4,Substitution
78,,"('#arethuse', ""Non je ne veux jamais entendre Parler ni d'amour ni d'amant. Me suivrez-vous sans cesse ?"")",1.0,Deletion
79,,"('#alphee', ""Me fuirez-vous toujours ? L'ingrate Arethuse me laisse Sans espoir de secours ? C'est un feu nouveau qui me presse..."")",1.0,Deletion
80,"('#daphne', 'Méroé, poursuivez nos divertissements.')","('#arethuse', 'Me suivrez-vous sans cesse ?')",0.71,Substitution
81,"('#meroe', ""J'ai vu le temps qu'une jeune fillette Pouvait, sans peur, aller au bois seulette. Maintenant, maintenant les bergers sont loups : Je vous dis, je vous dis : « Filles, gardez-vous. »"")","('#alphee', 'Me fuirez-vous toujours ?')",1.35,Substitution
82,"('#apollon', ""Voici Tempé, cette vallée Dont on vante partout l'ombrage et les beautés ; Et voilà les flots argentés Qu'y fait couler le dieu Penée. Plus loin vers ces sommets mon empire s'étend. N'y veux-tu pas venir, Momus ? On nous attend."")","('#proserpine', 'Cérès va nous ôter sa divine présence, Ces lieux vont perdre leurs attraits, Cérès, favorable Cérès, Faites cesser bientôt votre cruelle absence, Cérès, favorable Cérès Écoutez nos tristes regrets. Le choeur répète ces derniers vers.')",0.93,Substitution
83,"('#momus', ""Demeurons encore où nous sommes : Ai-je pu voir en un instant Toutes les sottises des hommes ? Par vos puissants efforts, invincible Apollon, On ne craint plus ici les fureurs de Python. Les habitants de ces rivages DeVÉNUS plus heureux, n'en seront pas plus sages : Le temps de la sottise est celui du bonheur."")","('#ceres', ""Vous qui voulez pour moi signaler votre zèle Ne troublez point la paix de cet heureux séjour, Je presse mon départ pour hâter mon retour ; Accompagnez ma fille avec un soin fidèle. Changez vos tristes chants en de charmants concerts ; Que j'entende en partant dans le milieu des airs Éclater la gloire nouvelle Du plus grand dieu de l'univers. Cérès fait partir son char volant."")",0.32,Substitution
84,"('#apollon', 'Mais que dis-tu de ma victoire ?')",,1.0,Insertion
85,"('#momus', ""Elle vous a comblé d'honneur, Et rien n'égale votre gloire."")","('#proserpine #le-choeur', ""Célébrons la victoire Du plus puissant des dieux. Qu'un trophée éternel conserve la mémoire D'un triomphe si glorieux. Célébrons la victoire Du plus puissant des dieux ; Faisons retentir jusqu'aux cieux Le bruit éclatant de sa gloire : Célébrons la victoire Du plus puissant des dieux. Ce palais va tomber ; ô dieux ! La terre s'ouvre ! Quels tremblements affreux ! L'enfer découvre Ses gouffres ténébreux. Jupiter lancez le tonnerre, Renversez par de nouveaux coups Le chef audacieux des enfants de la terre : Il veut se relever pour s'armer contre vous, Achevez d'étouffer la guerre. Jupiter : lancez le tonnerre. On danse autour d'un trophée qu'on élève à l'honneur de Jupiter, et que l'on forme du débris des armes monstrueuses des gens vaincus. Sur la fin de cette fête on entend un tremblement de terre qui fait tomber une partie du palais de Cérès. Le tonnerre tombe sur le mont Etna, qui paraît dans l'éloignement ; et ce coup achève d'accabler le chef des géants, qui s'efforçait de se relever."")",0.9,Substitution
86,"('#apollon', ""Que le fils de VÉNUS cesse de se vanter Qu'ainsi que nous il sait porter Un carquois, un arc, et des flèches ; C'est un enfant qui fait des brèches Dans les coeurs aisés à dompter. Il remporte toujours des victoires faciles ; Je défais des serpents qui dépeuplent des villes."")","('#crinise', ""Jupiter a dompté les Géants pour jamais. Ce beau séjour brille de nouveaux charmes, Tout y ressent le retour de la paix : Ah ! Que le repos a d'attraits Après de mortelles alarmes."")",0.88,Substitution
87,"('#momus', ""Vous méprisez celui qui tient tout sous sa loi. Si l'Amour vous entend ?"")","('#alphee', ""La paix dans ces beaux lieux m'offre en vain mille appas. L'amour en rend pour moi la douceur inutile ; Cruel amour, hélas ! Que me sert-il de voir tout le monde tranquille Si mon coeur ne l'est pas ?"")",0.77,Substitution
88,,"('#crinise', ""Vous changez, vous quittez une nymphe inhumaine. Votre coeur ne risque rien À choisir une autre chaîne, C'est toujours un bien De changer de peine."")",1.0,Deletion
89,"('#apollon', 'Et que crains-tu pour moi ?')","('#alphee', ""Heureux qui peut être inconstant ! Rebuté des rigueurs d'une haine éternelle, J'ai voulu la quitter cette beauté cruelle, Et j'éprouve qu'en la quittant Mon coeur est encor moins content. J'ai feint de ressentir une flamme nouvelle, J'ai fait voir à ses yeux un dépit éclatant ; Mais hélas ! Dans le même instant Je brûlais en secret, je languissais pour elle, Et je ne l'aimai jamais tant. Qu'il coûte cher d'être fidèle ! Heureux qui peut être inconstant ! Crinise et Alphée répètent ensemble ces deux derniers vers."")",1.34,Substitution
90,"('#momus', ""Parlez bas, c'est un dieu ; s'il venait à paraître ?"")","('#crinise', ""Quelqu'un vient, gardez le silence."")",1.17,Substitution
91,"('#apollon', ""Un dieu ! c'est un enfant : quitte ce vain souci."")",,1.0,Insertion
92,"('#momus', 'Qui donne à Jupiter un maître, Vous en pourrait donner aussi.')",,1.0,Insertion
93,"('#cupidon', ""Quel est l'orgueilleux qui me brave ? Quel téméraire ose attaquer l'Amour ? Ah ! je vous reconnais : vous serez mon esclave Avant la fin du jour. Ces paroles dites, Cupidon s'en revole dans les airs. "")","('#alphee', ""C'est Ascalaphe qui s'avance Pour quelque soin pressant il quitte les enfers : Il n'a de mon amour que trop de connaissance, Où n'ai-je point porté la honte de mes fers ?"")",0.41,Substitution
94,,"('#alphee', ""Venez goûter ici le doux air qu'on respire."")",1.0,Deletion
