dufresny-adieux-des-officiers,la-motte-carnaval-folie,Score
"('#venus', ""M'a-t-on vu quelquefois refuser audience  À l'amour ? "")",-,0.0
"('#cupidon', ""Rarement. Mais j'ai trop de prudence  Pour paraître quand votre époux  Est en affaire avec vous.  Je parlerais en vain. "")",-,0.0
"('#venus', ""Qu'avez-vous à me dire ?  Comment va l'amoureux empire ? "")",-,0.0
"('#cupidon', ""Toujours de pis en pis, grâce à mon frère aîné.  C'est un amour si mal morigéné. "")",-,0.0
-,"('#jupiter #venus #le-choeur', ""Qu'à nos voeux ici tout réponde ; Versez-nous, versez-nous la céleste liqueur. Versez, que le Nectar enchante notre coeur, Qu'il y porte une paix profonde."")",0.0
-,"('#venus', ""C'en est assez ; goûtons des plaisirs plus parfaits, Et que le tendre Amour à son tour nous inspire. Régnez, Amour, régnez, rassemblez vos attraits; Triomphez, sur nos coeurs étendez votre empire. Mais, qu'à son gré chacun soupire ; Laissez-nous le choix de vos traits."")",0.0
-,"('#choeur', 'Régnez, Amour, régnez, rassemblez vos attraits ; Triomphez, sur nos coeurs étendez votre empire.')",0.0
-,"('#jupiter #venus', ""Mais, qu'à son gré chacun soupire ; Laissez-nous le choix de vos traits."")",0.0
-,"('#momus', 'Ne vous faites point violence : Junon est encor à Samos, Profitez bien de son absence.')",0.0
-,"('#jupiter', ""Téméraire Censeur, laisse-nous en repos. Que l'on chante ici, que l'on danse. Livrons-nous à tous nos désirs ; Sur notre puissance Réglons nos plaisirs. NEPTUNE danse avec THETIS, APOLLON avec DIANE, MARS avec PALLAS, et BACCHUS avec CÉRÉS."")",0.0
-,"('#venus', ""Heureux un coeur que l'Amour blesse. Ah ! Que ses chaînes ont d'appas ! Mettons tous nos plaisirs à lui céder sans cesse : Le pouvoir des Dieux ne vaut pas Une si charmante faiblesse."")",0.0
-,"('#momus', ""Vous ne vous lassez point de plaisirs, ni d'amour; Quand cesserez-vous donc de suivre leur empire !"")",0.0
-,"('#venus', 'Quand vous cesserez de médire.')",0.0
-,"('#momus', 'Ah ! Vous voulez aimer toujours.')",0.0
-,"('#jupiter #venus', ""Que de nos chants tous les Cieux retentissent. Que les Jeux, que les Ris signalent ce beau jour. Chantons Bacchus, chantons l'Amour ; Qu'ils sont charmants quand ils s'unissent ! On danse."")",0.0
-,"('#venus', ""Dieu d'Amour, réserve-nous tes charmes, C'est pour nos coeurs que tes plaisirs sont faits ; Fais-nous sans alarmes Goûter leurs attraits. Doux moments, Doux transports des amants, Ne pouvez-vous naître Qu'après les tourments ? Aimons tous. Tendre Amour, blesse-nous : Qui peut craindre pour maître Un Vainqueur si doux ? Tes biens trop aimables Sont trop peu durables ; Fixe-les pour nous."")",0.0
-,"('#choeur-des-deesses', ""Viens, Amour, avec tous tes charmes, Que les Jeux viennent sur tes pas. Nous aimons tes douces alarmes ; Tes chaînes, tes feux sont remplis d'appas. Prends tes traits, prépare tes armes, Et viens te venger des coeurs qui n'aiment pas. VÉNUS danse avec MARS, et VULCAIN se mêle avec eux pour les observer."")",0.0
"('#venus', ""Je sais qu'il est sans politesse,  Sans agrément et sans adresse :  Aussi n'est-ce pas lui  Qui dispose aujourd'hui  De la belle tendresse.  Vous avez tous les traits, dont la délicatesse  Charme le coeur, en lui donnant des lois,  Et je n'ai mis dans son carquois  Que ces vieux traits rouillés, dont la pointe émoussée  Conclut l'amour par l'hyménée. "")","('#mercure', ""Quittez, quittez ces Jeux, en faveur de l'Amour : Que de nouveaux soins les suspendent. Dans un moins superbe séjour De plus doux plaisirs vous attendent. J'ai volé, j'ai servi vos feux ; Et mille charmantes mortelles N'aspirent qu'au moment heureux De vous voir soupirer près d'elles."")",0.636790931224823
"('#cupidon', ""Vraiment, l'hymen et lui  Sont bien mal ensemble aujourd'hui.  C'est un gros débauché, qui m'ôte mes pratiques :  Il dégoûte les coeurs des galantes rubriques  Qui doivent au bonheur disposer le terrain :  Il conduit les amants par le plus court chemin.  Il me prévient partout, disant que c'est l'usage.  Et quand ses traits ont achevé l'ouvrage,  Vous savez que les miens ne servent plus de rien. "")","('#momus', ""Suivez, suivez Mercure, abandonnez les Cieux. Livrez-vous aux plaisirs ; qu'en vain la Gloire gronde, L'Amour est un plus digne objet : Aimez ; il est un Roi qui prend le soin du monde ; Jouissez du loisir qu'un mortel vous a fait."")",0.6037338972091675
