,moliere-amants-magnifiques,quinault-alceste,Cost,Operation Type
29,"('#clitidas', ""Et qu'appréhendez-vous ?  Est-il possible que ce même Sostrate qui n'a pas craint ni Brennus, ni tous les Gaulois et dont le bras a si glorieusement contribué à nous défaire de ce déluge de barbares qui ravageait la Grèce ?  Est-il possible, dis-je, qu'un homme si assuré dans la guerre soit si timide en amour, et que je le voie trembler à dire seulement qu'il aime ? "")","('#choeur', ""Quel coeur sauvage  Ici ne s'engage ?  Quel coeur sauvage  Ne sent point l'amour ?  Nous allons voir les Plaisirs de retour ;  Ne manquons pas d'en faire un doux usage :  Pour rire un peu, l'on n'est pas moins sage.  Ah, quel dommage  De fuir ce rivage !  Ah, quel dommage  De perdre un beau jour !  Nous allons voir les Plaisirs de retour ;  Ne manquons pas d'en faire un doux usage :  Pour rire un peu, l'on n'est pas moins sage.  On danse."")",0.78,Substitution
30,"('#sostrate', 'Ah !  Clitidas, je tremble avec raison, et tous les Gaulois du monde ensemble sont bien moins redoutables, que deux beaux yeux pleins de charmes.')","('#choeurs', 'Revenez, Plaisirs exilés,  Volez de toutes parts, volez.  Les Plaisirs volent, et viennent préparer des Divertissements.')",0.8,Substitution
31,,"('#choeur', 'Vivez, vivez, heureux époux. ')",1.0,Deletion
32,"('#clitidas', ""Je ne suis pas de cet avis, et je sais bien pour moi qu'un seul Gaulois l'épée à la main, me ferait beaucoup plus trembler que cinquante beaux yeux ensemble les plus charmants du monde.  Mais dites-moi un peu, qu'espérez-vous faire ?"")","('#licas', 'Votre Ami le plus cher, épouse la Princesse  La plus charmante de la Grèce :  Lorsque chacun les suit, Seigneur, les fuyez-vous ? ')",1.25,Substitution
33,,"('#choeur', 'Vivez, vivez, heureux Époux. ')",1.0,Deletion
34,"('#sostrate', 'Mourir sans déclarer ma passion.')","('#licas', ""Vous paraissez troublé des cris qui retentissent ?  Quand deux Amants heureux s'unissent  Le coeur du grand Alcide en serait-il jaloux ? "")",0.97,Substitution
35,"('#clitidas', ""L'espérance est belle.  Allez, allez, vous vous moquez, un peu de hardiesse réussit toujours aux amants ; il n'y a en amour que les honteux qui perdent, et je dirais ma passion à une Déesse moi, si j'en devenais amoureux."")","('#choeur', 'Vivez, vivez, heureux Époux. ')",1.17,Substitution
36,"('#sostrate', 'Trop de choses, hélas !  Condamnent mes feux à un éternel silence.')","('#licas', 'Seigneur, vous soupirez, et gardez le silence ? ')",0.55,Substitution
37,"('#clitidas', 'Hé quoi ?')",,1.0,Insertion
38,"('#sostrate', ""La bassesse de ma fortune, dont il plaît au Ciel de rabattre l'ambition de mon amour, le rang de la Princesse qui met entre elle et mes désirs une distance si fâcheuse, la concurrence de deux princes appuyés de tous les grands titres qui peuvent soutenir les prétentions de leurs flammes ; de deux princes qui par mille et mille magnificences, se disputent, à tous moments, la gloire de sa conquête, et sur l'amour de qui on attend tous les jours de voir son choix se déclarer, mais plus que tout, Clitidas, le respect inviolable où ses beaux yeux assujettissent toute la violence de mon ardeur."")",,1.0,Insertion
39,"('#clitidas', ""Le respect bien souvent n'oblige pas tant que l'amour, et je me trompe fort, ou la jeune princesse a connu votre flamme, et n'y est pas insensible."")","('#alcide', 'Ah ! Licas, laisse-moi partir en diligence. ')",1.68,Substitution
40,"('#sostrate', ""Ah !  Ne t'avise point de vouloir flatter par pitié le coeur d'un misérable."")",,1.0,Insertion
41,"('#clitidas', ""Ma conjecture est fondée.  Je lui vois reculer beaucoup le choix de son époux, et je veux éclaircir un peu cette petite affaire-là.  Vous savez que je suis auprès d'elle en quelque espèce de faveur, que j'y ai les accès ouverts, et qu'à force de me tourmenter je me suis acquis le privilège de me mêler à la conversation, et parler à tort et à travers de toutes choses.  Quelquefois cela ne me réussit pas, mais quelquefois aussi cela me réussit.  Laissez-moi faire, je suis de vos amis, les gens de mérite me touchent, et je veux prendre mon temps pour entretenir la Princesse de..."")","('#licas', 'Quoi ! Dès ce même jour presser votre départ ? ')",1.54,Substitution
42,"('#sostrate', ""Ah !  De grâce, quelque bonté que mon malheur t'inspire, garde-toi bien de lui rien dire de ma flamme.  J'aimerais mieux mourir que de pouvoir être accusé par elle de la moindre témérité, et ce profond respect où ses charmes divins..."")","('#alcide', ""J'aurai beau me presser, je partirai trop tard.  Ce n'est point avec toi que je prétends me taire ;  Alceste est trop aimable, elle a trop su me plaire ;  Un autre en est aimé, rien ne flatte mes voeux :  C'en est fait, Admète l'épouse,  Et c'est dans ce moment qu'on les unit tous deux.  Ah ! Qu'une âme jalouse  Éprouve un tourment rigoureux !  J'ai peine à l'exprimer moi-même :  Figure-toi, si tu le peux,  Quelle est l'horreur extrême  De voir ce que l'on aime,  Au pouvoir d'un Rival heureux. "")",0.0,Match
43,"('#clitidas', 'Taisons-nous, voici tout le monde.')",,1.0,Insertion
44,"('#aristione', ""Prince, je ne puis me lasser de le dire, il n'est point de spectacle au monde qui puisse le disputer en magnificence à celui que vous venez de nous donner. Cette fête a eu des ornements qui l'emportent sans doute sur tout ce que l'on saurait voir, et elle vient de produire à nos yeux quelque chose de si noble, de si grand et de si majestueux, que le Ciel même ne saurait aller au delà, et je puis dire assurément qu'il n'y a rien dans l'univers qui s'y puisse égaler."")","('#licas', ""L'Amour est-il plus fort qu'un Héros indomptable ? L'Univers n'a point eu de Monstre redoutable  Que vous n'ayez pu surmonter. "")",0.77,Substitution
45,"('#timocles', ""Ce sont des ornements dont on ne peut pas espérer que toutes les fêtes soient embellies, et je dois fort trembler, Madame, pour la simplicité du petit divertissement que je m'apprête à vous donner dans le bois de Diane."")","('#alcide', ""Eh, crois-tu que l'Amour soit moins à redouter ?  Le plus grand coeur a sa faiblesse.  Je ne puis me sauver de l'ardeur qui me presse  Qu'en quittant ce fatal Séjour :  Contre d'aimables charmes  La valeur est sans armes,  Et ce n'est qu'en fuyant qu'on peut vaincre l'Amour. "")",0.63,Substitution
46,"('#aristione', ""Je crois que nous n'y verrons rien que de fort agréable, et certes il faut avouer que la campagne a lieu de nous paraître belle, et que nous n'avons pas le temps de nous ennuyer dans cet agréable séjour qu'ont célébré tous les poètes sous le nom de Tempé.  Car enfin, sans parler des plaisirs de la chasse que nous y prenons à toute heure, et de la solennité des jeux Pythiens que l'on y célèbre tantôt, vous prenez soin l'un et l'autre de nous y combler de tous les divertissements qui peuvent charmer les chagrins des plus mélancoliques.  D'où vient, Sostrate, qu'on ne vous a point vu dans notre promenade ?"")","('#licas', ""Vous devez vous forcer, au moins à voir la Fête  Qui déjà dans ce Port, vous paraît toute prête.  Votre fuite à présent ferait un trop grand bruit ;  Différez jusqu'à la nuit. "")",0.76,Substitution
47,,"('#alcide', 'Ah Licas ! Quelle nuit ! Ah quelle nuit funeste ! ')",1.0,Deletion
48,"('#sostrate', ""Une petite indisposition, Madame, m'a empêché de m'y trouver."")","('#licas', 'Tout le reste du jour voyez encore Alceste. ')",1.75,Substitution
49,"('#iphicrate', ""Sostrate est de ces gens, Madame, qui croient qu'il ne sied pas bien d'être curieux comme les autres, et il est beau d'affecter de ne pas courir où tout le monde court."")",,1.0,Insertion
50,"('#sostrate', ""Seigneur, l'affectation n'a guère de part à tout ce que je fais, et sans vous faire compliment, il y avait des choses à voir dans cette fête, qui pouvaient m'attirer, si quelque autre motif ne m'avait retenu."")","('#alcide', ""La voir encore !... Hé bien différons mon départ,  Je vous l'avais bien dit, je partirai trop tard.  Je vais la voir aimer un Époux qui l'adore,  Je verrai dans leurs yeux un tendre empressement :  Que je vais payer chèrement  Le plaisir de la voir encore ! "")",0.87,Substitution
51,"('#aristione', 'Et Clitidas a-t-il vu cela ?')",,1.0,Insertion
52,"('#clitidas', 'Oui, Madame, mais du rivage.')",,1.0,Insertion
53,"('#aristione', 'Et pourquoi du rivage ?')",,1.0,Insertion
54,"('#clitidas', ""Ma foi !  Madame, j'ai craint quelqu'un des accidents qui arrivent d'ordinaire dans ces confusions.  Cette nuit, j'ai songé de poisson mort, et d'oeufs cassés, et j'ai appris du Seigneur Anaxarque que les oeufs cassés et le poisson mort signifient malencontre."")","('#ensemble', ""L'Amour a bien des maux, mais le plus grand de tous,  C'est le tourment d'être jaloux. "")",1.58,Substitution
55,"('#anaxarque', ""Je remarque une chose, que Clitidas n'aurait rien à dire s'il ne parlait de moi."")","('#straton', ""Licas, j'ai deux mots à te dire. "")",0.41,Substitution
56,"('#clitidas', ""C'est qu'il y a tant de choses à dire de vous, qu'on n'en saurait parler assez."")",,1.0,Insertion
57,"('#anaxarque', ""Vous pourriez prendre d'autres matières, puisque je vous en ai prié."")","('#licas', ""Que veux-tu ? Parle je t'entends. "")",1.13,Substitution
58,"('#clitidas', ""Le moyen, ne dites-vous pas que l'ascendant est plus fort que tout ; et s'il est écrit dans les astres que je sois enclin à parler de vous, comment voulez-vous que je résiste à ma destinée ?"")","('#straton', ""Nous sommes amis de tout temps ;  Céphise, tu le sais, me tient sous son empire,  Tu suis partout ses pas : qu'est-ce que tu prétends ? "")",0.8,Substitution
59,"('#anaxarque', 'Avec tout le respect, Madame, que je vous dois, il y a une chose qui est fâcheuse dans votre Cour que tout le monde y prenne liberté de parler, et que le plus honnête homme y soit exposé aux railleries du premier méchant plaisant.')","('#licas', 'Je prétends rire. ')",1.31,Substitution
60,"('#clitidas', ""Je vous rends grâce de l'honneur."")",,1.0,Insertion
61,"('#aristione', ""Que vous êtes fou de vous chagriner de ce qu'il dit !"")","('#straton', 'Pourquoi veux-tu troubler deux coeurs qui sont contents ? ')",1.21,Substitution
62,"('#clitidas', ""Avec tout le respect que je dois à Madame, il y a une chose qui m'étonne dans l'astrologie, comment des gens qui savent tous les secrets des Dieux, et qui possèdent des connaissances à se mettre au-dessus de tous les hommes, aient besoin de faire leur cour, et de demander quelque chose."")",,1.0,Insertion
63,"('#anaxarque', 'Vous devriez gagner un peu mieux votre argent, et donner à Madame de meilleures plaisanteries.')",,1.0,Insertion
64,"('#clitidas', ""Ma foi !  On les donne telles qu'on peut.  Vous en parlez fort à votre aise, et le métier de plaisant n'est pas comme celui d'astrologue.  Bien mentir et bien plaisanter sont deux choses fort différentes, et il est bien plus facile de tromper les gens que de les faire rire."")","('#licas', ""Je prétends rire.  Tu peux à ton gré t'enflammer ;  Chacun a sa façon d'aimer ;  Qui voudra soupirer, soupire,  Je prétends rire. "")",0.58,Substitution
65,"('#aristione', ""Eh !  Qu'est-ce donc que cela veut dire ?"")",,1.0,Insertion
66,"('#clitidas', ""Paix !  Impertinent que vous êtes.  Ne savez-vous pas bien que l'astrologie est une affaire d'État, et qu'il ne faut point toucher à cette corde-là ?  Je vous l'ai dit plusieurs fois, vous vous émancipez trop, et vous prenez de certaines libertés qui vous joueront un mauvais tour : je vous en avertis ; vous verrez qu'un de ces jours on vous donnera du pied au cul, et qu'on vous chassera comme un faquin.  Taisez-vous, si vous êtes sage."")",,1.0,Insertion
67,"('#aristione', 'Où est ma fille ?')",,1.0,Insertion
68,"('#timocles', ""Madame, elle s'est écartée, et je lui ai présenté une main qu'elle a refusé d'accepter."")",,1.0,Insertion
69,"('#aristione', ""Princes, puisque l'amour que vous avez pour Ériphile, a bien voulu se soumettre aux lois que j'ai voulu vous imposer, puisque j'ai su obtenir de vous que vous fussiez rivaux sans devenir ennemis, et qu'avec pleine soumission aux sentiments de ma fille, vous attendez un choix dont je l'ai faite seule maîtresse ; ouvrez-moi tous deux le fond de votre âme, et me dites sincèrement quel progrès vous croyez l'un et l'autre avoir fait sur son coeur."")","('#straton', ""J'aime, et je suis aimé ; laisse en paix nos amours. "")",0.73,Substitution
70,"('#timocles', ""Madame, je ne suis point pour me flatter, j'ai fait ce que j'ai pu pour toucher le coeur de la princesse Ériphile, et je m'y suis pris, que je crois, de toutes les tendres manières dont un amant se peut servir.  Je lui ai fait des hommages soumis de tous mes voeux ; j'ai montré des assiduités ; j'ai rendu des soins chaque jour ; j'ai fait chanter ma passion aux voix les plus touchantes, et l'ai exprimer en vers aux plumes les plus délicates ; je me suis plaint de mon martyre en des termes passionnés ; j'ai fait dire à mes yeux aussi bien qu'à ma bouche le désespoir de mon amour ; j'ai poussé à ses pieds, des soupirs languissants ; j'ai même répandu des larmes, mais tout cela inutilement, et je n'ai point connu qu'elle ait dans l'âme aucun ressentiment de mon ardeur."")","('#licas', ""Rien ne doit t'alarmer, s'il est bien vrai qu'on t'aime ;  Un rival rebuté donne un plaisir extrême. "")",1.06,Substitution
71,"('#aristione', 'Et vous, Prince ?')","('#straton', ""Un Rival tel qu'il soit importune toujours. "")",1.64,Substitution
72,"('#iphicrate', ""Pour moi, Madame, connaissant son indifférence et le peu de cas qu'elle fait des devoirs qu'on lui rend, je n'ai voulu perdre auprès d'elle ni plaintes, ni soupirs, ni larmes.  Je sais qu'elle est toute soumise à vos volontés, et que ce n'est que de votre main seule qu'elle voudra prendre un époux.  Aussi n'est-ce qu'à vous que je m'adresse pour l'obtenir, à vous plutôt qu'à elle que je rends tous mes soins et tous mes hommages.  Et plût au Ciel, Madame, que vous eussiez pu vous résoudre à tenir sa place ; que vous eussiez voulu jouir des conquêtes que vous lui faites, et recevoir pour vous les voeux que vous lui renvoyez."")","('#licas', ""Je vois ton amour sans colère,  Tu devrais en user ainsi :  Puisque Céphise t'a su plaire,  Pourquoi ne veux-tu pas qu'elle me plaise aussi ? "")",0.74,Substitution
73,"('#aristione', ""Prince, le compliment est d'un amant adroit, et vous avez entendu dire qu'il fallait cajoler les mères pour obtenir les filles ; mais ici, par malheur, tout cela devient inutile, et je me suis engagée à laisser le choix entier à l'inclination de ma fille."")","('#straton', ""À quoi sert-il d'aimer ce qu'il faut que l'on quitte ?  Tu ne peux demeurer longtemps dans cette Cour. "")",1.5,Substitution
74,,"('#licas', ""Moins on a de moments à donner à l'Amour.  Et plus il faut qu'on en profite. "")",1.0,Deletion
75,"('#iphicrate', ""Quelque pouvoir que vous lui donniez pour ce choix, ce n'est point compliment, Madame, que ce que je vous dis.  Je ne recherche la princesse Ériphile, que parce qu'elle est votre sang ; je la trouve charmante par tout ce qu'elle tient de vous, et c'est vous que j'adore en elle."")","('#straton', ""J'aime depuis deux ans avec fidélité :  Je puis croire sans vanité,  Que tu ne dois pas être un Rival qui m'alarme. "")",1.09,Substitution
76,"('#aristione', 'Voilà qui est fort bien.')",,1.0,Insertion
77,"('#iphicrate', 'Oui, Madame, toute la terre voit en vous des attraits et des charmes que je...')","('#licas', ""J'ai pour moi la nouveauté ;  En amour c'est un grand charme. "")",0.94,Substitution
78,,"('#straton', ""Céphise m'a promis un coeur tendre et constant. "")",1.0,Deletion
79,,"('#licas', ""Céphise m'en promet autant. "")",1.0,Deletion
80,,"('#straton', ""Ah si je le croyais !... Mais tu n'es pas croyable. "")",1.0,Deletion
81,"('#aristione', ""De grâce, Prince, ôtons ces charmes et ces attraits : vous savez que ce sont des mots que je retranche des compliments qu'on veut me faire.  Je souffre qu'on me loue de ma sincérité, qu'on dise que je suis une bonne princesse, que j'ai de la parole pour tout le monde, de la chaleur pour mes amis, et de l'estime pour le mérite et la vertu, je puis tâter de tout cela ; mais pour les douceurs de charmes et d'attraits, je suis bien aise qu'on ne m'en serve point, et quelque vérité qui s'y pût rencontrer, on doit faire quelque scrupule d'en goûter la louange, quand on est mère d'une fille comme la mienne."")","('#licas', ""Crois-moi, fais ton profit d'un reste d'amitié,  Sers-toi d'un avis charitable  Que je te donne par pitié. "")",0.43,Substitution
82,"('#iphicrate', ""Ah !  Madame, c'est vous qui voulez être mère malgré tout le monde, il n'est point d'yeux qui ne s'y opposent, et si vous le vouliez la princesse Ériphile ne serait que votre soeur."")",,1.0,Insertion
83,"('#aristione', ""Mon_Dieu, Prince, je ne donne point dans tous ces galimatias où donnent la plupart des femmes ; je veux être mère, parce que je le suis, et ce serait en vain que je ne le voudrais pas être.  Ce titre n'a rien qui me choque, puisque, de mon consentement, je me suis exposée à le recevoir, c'est un faible de notre sexe, dont grâce au Ciel, je suis exempte, et je ne m'embarrasse point de ces grandes disputes d'âge, sur quoi nous voyons tant de folles.  Revenons à notre discours.  Est-il possible que jusqu'ici vous n'ayez pu connaître où penche l'inclination d'Ériphile ?"")","('#straton', ""Le mépris d'une volage  Doit être un assez grand mal,  Et c'est un nouvel outrage  Que la pitié d'un Rival.  Elle vient l'Infidèle,  Pour chanter dans les Jeux dont je prends soin ici. "")",0.53,Substitution
84,"('#iphicrate', 'Ce sont obscurités pour moi.')","('#licas', ""Je te laisse avec elle,  Il ne tiendra qu'à toi d'être mieux éclairci. "")",1.07,Substitution
85,"('#timocles', ""C'est pour moi un mystère impénétrable."")",,1.0,Insertion
86,"('#aristione', ""La pudeur peut-être l'empêche de s'expliquer à vous et à moi, servons-nous de quelque autre pour découvrir le secret de son coeur.  Sostrate, prenez de ma part cette commission, et rendez cet office à ces princes, de savoir adroitement de ma fille vers qui des deux ses sentiments peuvent tourner."")","('#cephise', 'Dans ce beau jour, quelle humeur sombre  Fais-tu voir à contretemps ? ')",1.11,Substitution
87,"('#sostrate', ""Madame, vous avez cent personnes dans votre Cour, sur qui vous pourriez mieux verser l'honneur d'un tel emploi, et je me sens mal propre à bien exécuter ce que vous souhaitez de moi."")","('#straton', ""C'est que je ne suis pas du nombre  Des Amants qui sont contents. "")",1.86,Substitution
88,"('#aristione', ""Votre mérite, Sostrate, n'est point borné aux seuls emplois de la guerre, vous avez de l'esprit, de la conduite, de l'adresse, et ma fille fait cas de vous."")",,1.0,Insertion
89,"('#sostrate', 'Quelque autre mieux que moi, Madame,...')",,1.0,Insertion
90,"('#aristione', 'Non, non, en vain vous vous en défendez.')",,1.0,Insertion
91,"('#sostrate', ""Puisque vous le voulez, Madame, il vous faut obéir, mais je vous jure que dans toute votre Cour, vous ne pouviez choisir personne qui ne fût en état de s'acquitter beaucoup mieux que moi d'une telle commission."")",,1.0,Insertion
92,"('#aristione', ""C'est trop de modestie, et vous vous acquitterez toujours bien de toutes les choses dont on vous chargera.  Découvrez doucement les sentiments d'Ériphile, et faites-la ressouvenir qu'il faut se rendre de bonne heure dans le bois de Diane."")","('#cephise', ""Un ton grondeur et sévère  N'est pas un grand agrément ;  Le chagrin n'avance guère  Les affaires d'un Amant. "")",1.09,Substitution
93,"('#iphicrate', ""Vous pouvez croire que je prends part à l'estime que la Princesse vous témoigne."")","('#straton', ""Licas vient de me faire entendre  Que je n'ai plus ton coeur, qu'il doit seul y prétendre,  Et que tu ne vois plus mon amour qu'à regret ! "")",1.31,Substitution
94,,"('#cephise', 'Licas est peu discret... ')",1.0,Deletion
95,"('#timocles', ""Vous pouvez croire que je suis ravi du choix que l'on a fait de vous."")","('#straton', ""Ah je m'en doutais bien qu'il voulait me surprendre. "")",1.41,Substitution
96,"('#iphicrate', 'Vous voilà en état de servir vos amis.')",,1.0,Insertion
97,"('#timocles', ""Vous avez de quoi rendre de bons offices aux gens qu'il vous plaira."")",,1.0,Insertion
98,"('#iphicrate', 'Je ne vous recommande point mes intérêts.')",,1.0,Insertion
99,"('#timocles', 'Je ne vous dis point de parler pour moi.')","('#cephise', ""Licas est peu discret  D'avoir dit mon secret. "")",1.1,Substitution
100,"('#sostrate', ""Seigneurs, il serait inutile, j'aurais tort de passer les ordres de ma commission, et vous trouverez bon que je ne parle ni pour l'un, ni pour l'autre."")","('#straton', ""Comment ! Il est donc vrai ! Tu n'en fais point d'excuse ?  Tu me trahis ainsi sans en être confuse ? "")",1.21,Substitution
101,,"('#cephise', 'Tu te plains sans raison ;  Est-ce une trahison,  Quand on te désabuse ? ')",1.0,Deletion
102,"('#iphicrate', 'Je vous laisse agir comme il vous plaira.')","('#straton', 'Que je suis étonné de voir ton changement ! ')",1.65,Substitution
