,fuzelier-enfer-galant,la-fontaine-daphne,Cost,Operation Type
40,"('#bacchus', ""Ce C'en n'est pas trop à vous d'en rire, Ta la lerita la retita la lerire Dans le faubourg Saint-Germain Sur le théâtre romain Vous avez certaine intrigue ; AIR : Par bonheur ou par malheur."")","('#venus #l-amour #minerve', ""Amour et la Raison s'accorderont pour faire Qu'aux coeurs comme aux esprits ce prince plaise un jour"")",1.01,Substitution
41,"('#pan', 'Mon acte a fort plu, vraiment. Il a réussi sans brigue.')","('#choeur', 'Heureux qui par raison doit plaire ! Plus heureux qui plaît par amour !')",1.18,Substitution
42,,"('#chloris #aminte #nymphes', ""Allons dans cette prairie : C'est un tranquille séjour ; Jamais les larmes d'amour N'y baignent l'herbe fleurie ; Les moutons y sont en paix, Et les loups n'y font jamais D'outrage à la bergerie."")",1.0,Deletion
43,"('#bacchus', 'Oui, mais solidairement.')","('#chloris', 'Viens, ma soeur.')",1.44,Substitution
44,,"('#aminte', 'Je te suis.')",1.0,Deletion
45,,"('#chloris', ""Viens goûter une vie Dont le calme est digne d'envie. Notre Nymphe a banni de ces lieux si charmants Ce peuple d'importuns que l'on appelle amants. La voici."")",1.0,Deletion
46,"('#pan', ""Oh ! Que vous êtes pointilleux ! Est-ce que je n'ai pas de la voix ?  Est-ce que Doris ne chante pas joliment ? AIR : Landeriri."")","('#aminte', ""Que d'appas, de beautés, et de grâces ! Dirait-on pas que l'air s'embellit à ses traces ?"")",1.37,Substitution
47,"('#bacchus', ""Ma foi sans L'Avare amoureux. Landeritte Pan vous auriez en vérité Bien déchanté."")","('#daphne', ""Amour, n'approche point de nos ombrages doux, De nos prés, de nos fontaines ; Laisse en repos ces lieux ; assez d'autres que nous Se feront un plaisir de connaître tes peines."")",1.48,Substitution
48,"('#pan', ""Vous ne vous connaissez pas qu'en gosiers de buveurs.  Adieu, je vais chercher Doris, je veux qu'elle ait sa part dans la fête d'aujourd'hui."")","('#daphne', ""Chloris, n'est-ce pas la ta soeur que tu m'amènes ?"")",0.71,Substitution
49,,"('#chloris', 'Je vous la viens offrir. Nous cherchions en ces lieux Ce que Flore a pour vous de dons plus précieux.')",1.0,Deletion
50,"('#bacchus', ""On peut juger du reste Par cet échantillon. Je prévois, malepeste, Qu'il viendra sur ce mont Bien des dieux sans cervelle, Et de qui sans façon On peut dire la pelle Se moque du fourgon. Ceci ne commence pas mal ; Pan se mêle de vouloir faire le goguenard... Exemplum ut talpa, j'aperçois la Muse de la tragédie. AIR : j'ai fait à ma maîtresse"")","('#daphne', ""Cherchons, cherchons des fleurs ; l'âge nous y convie : Parons-nous de bouquets pendant notre printemps : Les plaisirs ont chacun leur temps, Comme les saisons de la vie Daphné, ayant achevé ces paroles, se baisse pour cueillir des fleurs, et les Nymphes de la suite en font autant ; pendant quoi un choeur de bergers, demeuré par respect derrière le théâtre, répète ces mots."")",0.18,Substitution
51,,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie.')",1.0,Deletion
52,"('#bacchus', ""Comment gouvernez-vous Linus, Ce digne fils du blond Phébus ? D'une humeur si doucette, Je crois que cet amant chéri Doit être un bon mari ! Eh bien !  Grave Melpomène, vous venez donc en cothurne à une partie bouffonne ?  Mais... AIR : Lon lan la deriri."")","('#daphne', ""J'entends de nos bergers le concert plein d'appas. Qu'ils chantent, je le veux, mais qu'ils n'approchent pas."")",1.38,Substitution
53,,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie Il en renaît sous ses pas.')",1.0,Deletion
54,,"('#daphne', 'Déployons nos trésors.')",1.0,Deletion
55,,"('#chloris', ""J'ai cueilli les plus belles."")",1.0,Deletion
56,"('#melpomene', ""Aussi l'est-il."")","('#aminte', 'Et moi, les plus nouvelles.')",1.76,Substitution
57,,"('#meroe', 'Moi, les plus vives en couleur.')",1.0,Deletion
58,"('#bacchus', ""Vous lui fîtes une avanie Sur le chapitre d'Uranie Et bien lui en prend, car je ne vous trouve pas aisée à vivre !  Le pauvre Linus saurait bien qu'en dire. AIR : le joli jeu d'amour."")","('#daphne', ""Et vous ? Quel mauvais choix vous avez fait, ma soeur ! Vous nous direz, pour votre peine, Une chanson contre l'Amour. Cependant je veux que ma Cour Jure de lui porter une éternelle haine ; Jurez la première, Clymène !"")",0.59,Substitution
59,"('#melpomene', 'Oh ! je le croyais dans ce jour...')","('#clymene', ""Tout serment De n'avoir jamais d'amant Est chose fort incertaine ; Il en est peu que l'on tienne Plus d'un jour, plus d'un moment : Tout serment De n'avoir jamais d'amant Est chose fort incertaine."")",1.03,Substitution
60,"('#bacchus', 'Toure loure, loure loure, loure loure loure lour.')",,1.0,Insertion
61,"('#melpomene', ""Oh ! Je le croyais dans ce jour Fripon au jeu d'amour."")","('#daphne', 'Je veux que vous juriez ; dites donc après moi : Amour,')",0.68,Substitution
62,,"('#clymene', 'Amour,')",1.0,Deletion
63,"('#bacchus', 'Vous êtes un peu trop prompte à soupçonner les bonnes gens.')",,1.0,Insertion
64,"('#melpomene', ""Comment ?  Je verrais de loin mon amant aux genoux d'une belle et ne soufflerais pas !"")","('#daphne', 'Si jamais sous ta loi Je respire,')",1.15,Substitution
65,"('#bacchus', ""Mais !  Ce que vous preniez pour un rendez-vous n'était qu'une consultation.  Linus interrogeait Uranie sur votre mariage !"")",,1.0,Insertion
66,"('#melpomene', 'Il prenait là trop de soin ! AIR : la bonne aventure ô gué')","('#clymene', 'Si jamais sous ta loi Je respire,')",1.26,Substitution
67,"('#bacchus', 'Je le conjecture.')","('#daphne', 'Je consens de mourir.')",1.64,Substitution
68,"('#melpomene', ""Aimé de moi, quel besoin Qu'on lui dise dans un coin Sa bonne aventure ô gué Sa bonne aventure ?"")",,1.0,Insertion
69,"('#bacchus', ""Linus parlait d'astrologie Mais qui diantre devinerait Que seul avec fille jolie Des astres on s'entretiendrait ? Au fond, vous n'avez pas absolument tort. AIR : tu croyais en aimant Colette"")","('#clymene', ""Mourir ? c'est beaucoup dire."")",1.13,Substitution
70,"('#melpomene', ""Oublions cela...  Je sens que ce discours rallumerait ma colère.  Mais plus de querelle, je vais rejoindre mon tendre Linus qui s'est écarté un moment dans ce bois pour me composer une élégie."")","('#daphne', 'Je consens de mourir, si jamais je soupire.')",1.34,Substitution
71,,"('#clymene', 'Je consens de mourir, si jamais je soupire.')",1.0,Deletion
72,"('#bacchus', ""Par vous en fut-il prié ? Son refus devrait vous plaire ! Lorsqu'un nouveau marié S'amuse à rimer ma chère Aïe, aïe, aïe Il pourrait mieux faire Ma chère, aïe, aïe, aïe. Une élégie ! AIR : Aïe ! Aïe ! Aïe ! Jeannette"")","('#daphne', 'Clymène, acquittez-vous ; accompagnons ses sons, Et que nos pas animent nos chansons. Daphné et les personnes de sa suite se prennent alors par la main, et Clymène chante cette gavotte que toute la troupe danse, la répétant après elle : ')",0.75,Substitution
73,"('#bacchus', ""Je ne m'y connais guère En mari fait à l'ordinaire. Pour les poètes, je sais bien Qu'en ménage ils ne valent rien. AIR : je ne m'y connais guère"")","('#clymene', ""L'autre jour sur l'herbe tendre Je m'assis près de Philandre : Il me conta ses tourments ; Ma mère alors me querelle. « Petite fille, dit-elle, N'écoutez point les amants. Ils sont indiscrets, volages, Téméraires, et peu sages ; Ils font mille faux serments : Ils sont jaloux, ils sont traîtres, Et tyrans quand ils sont maîtres, N'écoutez point les amants. » Écoutez ma chansonnette, Et l'écho qui la répète, Et ces rossignols charmants : Leur musique est sans pareille ; Mais ne prêtez point l'oreille Au ramage des amants."")",0.73,Substitution
74,"('#bacchus', ""À propos de poètes, voici leur beau directeur, d'où vient que la jeune Hébé l'accompagne ?"")","('#daphne', 'Méroé, poursuivez nos divertissements.')",1.35,Substitution
75,"('#apollon', ""Elle m'a prié de la conduire dans ce bois ; il est question de turlupiner un vieux galant, ceci est de sa compétence..."")","('#meroe', ""J'ai vu le temps qu'une jeune fillette Pouvait, sans peur, aller au bois seulette. Maintenant, maintenant les bergers sont loups : Je vous dis, je vous dis : « Filles, gardez-vous. »"")",0.97,Substitution
76,"('#hebe', ""C'est mon métier Que de me divertir sans cesse C'est mon métier De ne point faire de quartier Laissons radoter la vieillesse Rire sied bien à la jeunesse. C'est mon métier. AIR : du haut en bas"")","('#apollon', ""Voici Tempé, cette vallée Dont on vante partout l'ombrage et les beautés ; Et voilà les flots argentés Qu'y fait couler le dieu Penée. Plus loin vers ces sommets mon empire s'étend. N'y veux-tu pas venir, Momus ? On nous attend."")",1.49,Substitution
77,"('#bacchus', ""Jamais il n'a fait fortune Dans l'empire de Vénus. Passe pour vous, folâtre Hébé, mais Apollon ne devrait pas46, lui, être si enclin à dauber sur les amants malheureux ; ne se souvient-il déjà plus de Daphné et de Coronis ? AIR : Ton humeur est Cateraine."")","('#momus', ""Demeurons encore où nous sommes : Ai-je pu voir en un instant Toutes les sottises des hommes ? Par vos puissants efforts, invincible Apollon, On ne craint plus ici les fureurs de Python. Les habitants de ces rivages DeVÉNUS plus heureux, n'en seront pas plus sages : Le temps de la sottise est celui du bonheur."")",0.39,Substitution
78,"('#apollon', ""Point d'apostrophe importune Doucement, Seigneur Bacchus !"")","('#apollon', 'Mais que dis-tu de ma victoire ?')",1.57,Substitution
79,,"('#momus', ""Elle vous a comblé d'honneur, Et rien n'égale votre gloire."")",1.0,Deletion
80,,"('#apollon', ""Que le fils de VÉNUS cesse de se vanter Qu'ainsi que nous il sait porter Un carquois, un arc, et des flèches ; C'est un enfant qui fait des brèches Dans les coeurs aisés à dompter. Il remporte toujours des victoires faciles ; Je défais des serpents qui dépeuplent des villes."")",1.0,Deletion
81,"('#hebe', ""Vous n'avez pas le vin tendre."")","('#momus', ""Vous méprisez celui qui tient tout sous sa loi. Si l'Amour vous entend ?"")",1.62,Substitution
82,,"('#apollon', 'Et que crains-tu pour moi ?')",1.0,Deletion
83,"('#bacchus', 'De quoi se plaint Apollon, Oserait-il se prétendre Aussi galant que Pluton ?')","('#momus', ""Parlez bas, c'est un dieu ; s'il venait à paraître ?"")",0.74,Substitution
84,,"('#apollon', ""Un dieu ! c'est un enfant : quitte ce vain souci."")",1.0,Deletion
85,,"('#momus', 'Qui donne à Jupiter un maître, Vous en pourrait donner aussi.')",1.0,Deletion
86,"('#apollon', ""En aimant Diane il surprend, Sur les sentiments il raffine. Non assurément je ne prétends pas cela.  Je conviens que tout cède aujourd'hui à Pluton en fait de galanterie. AIR : on n'aime point dans nos forêts."")","('#cupidon', ""Quel est l'orgueilleux qui me brave ? Quel téméraire ose attaquer l'Amour ? Ah ! je vous reconnais : vous serez mon esclave Avant la fin du jour. Ces paroles dites, Cupidon s'en revole dans les airs. "")",0.72,Substitution
87,"('#hebe', ""Oh ! Qu'il était bien différent Quand il enleva Proserpine ! C'était un amant très mal né, Il s'est depuis façonné Venez blond Phébus, il me tarde de voir Pluton faire l'amour en berger, cela doit être drôle."")","('#momus', ""Que cet enfant est fier ! Voyez comme il menace ! Ne le prendrait-on pas pour l'aîné des Titans ? Je plains le dompteur de serpents ; Il ne fait pas sûr en sa place. Tandis que Momus dit ces paroles, Daphné avec ses compagnes, par une curiosité de jeunes filles, avance un peu la tête sur le théâtre, et fait quelques pas dans la scène pour voir ces deux étrangers. Apollon la voit un moment ; aussitôt l'Amour, qui est demeuré dans l'air, fait son coup, et Daphné avec sa troupe s'enfuit encore une fois."")",0.69,Substitution
88,,"('#apollon', ""Ah ! Qu'ai je vu, Momus ! Que de traits éclatants ! Que de jeunesse, que de grâce !"")",1.0,Deletion
89,,"('#momus', 'Elle fuit.')",1.0,Deletion
90,,"('#apollon', 'Mille amours avec elle ont paru.')",1.0,Deletion
91,,"('#momus', ""Mille amours ? C'est beaucoup ; je n'en ai pas tant vu. Vous aimez ; vous voyez d'un autre oeil que le nôtre : De quelques qualités qu'un objet soit pourvu, L'amant y voit toujours ou plus_ou_moins qu'un autre."")",1.0,Deletion
92,"('#bacchus', ""La petite a raison, il est temps que j'aille me cacher dans les bois ainsi que font tous les dieux qui s'y rendent...  Mais quelle est cette venue ?  Eh !  C'est Vénus en grand deuil !  Ceci mérite attention. Bonjour aimable souveraine de Paphos.... Êtes-vous en noir par affliction ou par coquetterie ? À Vénus."")","('#apollon', ""Déesse, tu me fuis ? T'ai-je déjà déplu ? C'est pourtant Apollon qui t'aime, qui t'adore. Je n'en puis plus, je sens un feu qui me dévore : Reviens, charmant objet ! Et vous, Olympe, cieux, Je vous dis d'éternels adieux ; Je vous méprise, je vous laisse : Qu'êtes-vous près de ma déesse ? Tout votre éclat vaut-il un seul trait de ses yeux ? Ne la verrai-je plus ? Faut-il que cette belle Emporte mes plaisirs et mon coeur avec elle ? Demeurons sur ces bords, je ne les puis laisser."")",0.16,Substitution
93,,"('#momus', 'Passerons-nous pour dieux ?')",1.0,Deletion
94,,"('#apollon', 'Et pour qui donc passer')",1.0,Deletion
95,,"('#momus', ""Pour mortels, car les dieux, par leur grandeur suprême Ne font souvent qu'embarrasser : On les craint plus qu'on ne les aime. Les vrais amants doivent toujours Sous un maître commun vivre d'égale sorte : Ou monarques ou dieux, n'entrez chez vos amours Qu'après avoir laissé vos grandeurs à la porte"")",1.0,Deletion
96,,"('#apollon', ""Je te croirai ; changeons de nom : Je m'appelle Tharsis, satrape de Lycie."")",1.0,Deletion
97,,"('#momus', ""Et moi, son suivant Télamon Que si sur mon chemin quelque Nymphe jolie Se rencontre en passant, je prétends bien aussi La cajoler, m'approcher d'elle, Non pas en amoureux transi : Je vous veux servir de modèle Et cependant, allons conquérir votre belle."")",1.0,Deletion
98,,"('#venus', ""Qu'est devenu mon fils ? Mortels, le savez-vous ? Je souffre, je languis, je meurs en son absence : Si l'Amour ne me suit, rien ne me semble doux. Heureux les lieux qu'anime sa présence ! Heureux tout l'Univers qui me doit sa naissance ! Qu'est devenu l'Amour ? Échos, le savez-vous ? Quel nouveau coeur aujourd'hui de ses coups Éprouve la puissance ? Qu'est devenu l'Amour ? Échos, le savez-vous ? Je souffre, je languis, je meurs en son absence. Ce récit fait, l'Amour se vient jeter dans le giron de sa mère."")",1.0,Deletion
99,"('#venus', 'Hélas !')","('#venus', ""Ah ! Mon fils, d'où viens-tu ?"")",1.59,Substitution
100,,"('#amour', ""De blesser Apollon. Je l'ai rendu pour Daphné tout de flamme ; Tandis qu'un autre trait, par un autre poison, Fait que pour lui Daphné n'a que haine dans l'âme."")",1.0,Deletion
101,"('#bacchus', ""Pour qui ces crêpes sont-ils mis ? Çà parlez, soyez franche Voulez-vous pleurer Adonis Ou paraître plus blanche ? A présent tout est en replis Tout est indéchiffrable Du deuil, des coeurs, des habits L'équivoque est semblable. AIR de Joconde."")","('#venus', ""Amour, tu sais dompter les coeurs et les esprits. Que la terre et les cieux célèbrent de mon fils La dernière victoire ! Mortels et dieux, chantez sa gloire. Allez de toutes parts, courez, Amours et Ris ; Faites connaître de mon fils Le doux et le suprême empire : Ne laissez rien qui ne soupire. Allez de toutes parts, courez, Amours et Jeux ; Rendez l'Univers amoureux Aux dieux et aux hommes : Pour obéir à ce commandement de Vénus, on chante et on danse sur la terre, et dans la gloire, qui est au fond du théâtre : sur la terre, des personnes de toutes conditions, et dans la gloire, des enfants qui représentent les Amours, les Jeux et les Ris. La danse achevée, Vénus, dont le char est entouré d'enfants chante ces paroles : "")",0.57,Substitution
102,"('#venus', 'Bacchus ! Ne badinez pas Sur ma perte trop cruelle, Adonis est mort hélas ! Et moi je suis immortelle. AIR : M. de la Palisse est mort.')","('#penee', 'Dieux tributaires de mon onde, Je veux, par les beautés de ce moite séjour, Arrêter quelque temps deux princes à ma Cour ; Que votre zèle me seconde !')",0.91,Substitution
103,"('#bacchus', 'Eh !  Tant mieux, vous aurez le temps de vous retourner !')","('#fleuves', 'Commandez.')",1.36,Substitution
104,"('#venus', 'Perfide Mars, quelle indignité !  Avoir fait tuer par un vilain sanglier un des plus jolis hommes du monde.')","('#penee', ""Que le Sort vous a rendus heureux ! Hyménée et l'Amour fréquentent vos rivages : Vos grottes quelquefois leur prêtent des ombrages : Ces dieux me méprisent tous deux."")",1.32,Substitution
105,"('#bacchus', 'Cette mort-là, certainement, Ne peut être honorablement Mise dans la gazette. AIR : Lon lan [la] derirette')","('#apidame', ""Laissez agir le temps ; il peut tout auprès d'eux. A peine a-t-il encor fait passer la princesse Des appas de l'enfance à ceux de la jeunesse : Deux soleils ont à peine éclairé son printemps."")",1.61,Substitution
106,"('#venus', ""Eh ! L'on ne l'oubliera jamais Et j'en ferai les frais. Oui, je vais instituer des jeux funèbres en l'honneur d'Adonis qui seront célébrés dans la Grèce, dans l'Egypte, dans la Syrie."")","('#penee', 'Combien de coeurs depuis ce temps Ont en vain soupiré pour elle ! Ah ! si Tharsis pouvait la rendre moins cruelle !')",1.59,Substitution
107,,"('#sperchee', 'Consultez la Sibylle Ismèle : Les dieux peut-être par sa voix Obligeront Daphné de suivre votre choix')",1.0,Deletion
108,,"('#penee', ""Hélas ! Jamais Daphné n'aimera que les bois."")",1.0,Deletion
109,,"('#amphrise', ""Ces plaisirs passeront : tout passe dans la vie ; De différents désirs elle est entre-suivie ; On y change d'humeur, on y change d'envie ; On y veut goûter de tout. Le plus libre enfin se lie ; Tôt ou tard on s'y résout."")",1.0,Deletion
110,"('#bacchus', ""Mettez, pour augmenter encor Vos pompes douloureuses, Les Grâces en ras de Saint-Maur Et l'Amour en pleureuses. En attendant ces anniversaires-là AIR : Amis sans regretter Paris"")","('#apidame', ""Il faut peu pour changer ces âmes si sévères ; L'exemple à ce doux noeud les amène toujours. Des bergers chantant leurs amours, Dans les bras de l'hymen voir mener des bergères, Et leurs folâtres jeux sur les vertes fougères, Apprivoisent les coeurs, qui, deVÉNUS plus doux, S'accoutument aux mots d'amour, d'amant, d'époux ; Des mots on en vient au mystère."")",0.26,Substitution
111,"('#venus', ""Ah ! Je devais plus promptement Envoyer chasser mon amant Le congédier brusquement. Mais quand on nous cajole Nous perdons bientôt le jugement. Une femme est si folle Vraiment Une femme est si folle. Ce qui me pique le plus, c'est que cette funeste mort est l'ouvrage de mon imprudence.  Je savais que Mars venait pour me surprendre clandestinement avec son rival. AIR : ces filles sont si sottes"")","('#penee', ""J'approuve vos raisons ; et Daphné, pour me plaire, Doit faire en mon palais les honneurs de ce jour. On y va célébrer l'hymen du jeune Amphrise Il s'engage avecque Florise ; La fête arrêtera ces princes à ma Cour : Allons en prendre soin. Daphné vient, et Clymène ; Entrons dans la grotte prochaine."")",0.37,Substitution
112,,"('#daphne', 'Ah, Clymène ! Plains-moi.')",1.0,Deletion
113,,"('#clymene', 'Princesse, vous pleurez ; puis-je savoir pourquoi ?')",1.0,Deletion
114,,"('#daphne', ""Je ne me connais plus ; ce n'est plus moi, Clymène : Ces puissants dédains, cette haine, Ces serments contre Amour, que sont-ils deVÉNUS. Un mortel les rend superflus. Hélas ! il vient de me dire sa peine, Et depuis ce moment je ne me connais plus."")",1.0,Deletion
115,"('#bacchus', ""Il faut qu'Adonis soit en délire, Ce qu'il fait peut-il se concevoir ? Mortel qu'un dieu veut occire Doit-il s'amuser à voir Il le faut avouer, le retardement d'Adonis n'était pas trop sage et ses chasseurs n'étaient pas plus raisonnables que lui, de s'amuser à danser quand ils avaient un sanglier furieux à courir.  Avaient-ils peur de n'être pas assez fatigués ? Un saut, deux sauts, trois sauts, quatre sauts, cinq sauts, six sauts ? AIR des sept sauts. Il saute."")","('#clymene', ""Un des princes, sans doute, a causé ces alarmes. Serait-ce point Tharsis ? Je lui trouve des charmes Contre qui je sens bien que ma sévérité N'emploierait pas toutes ses armes."")",0.87,Substitution
