,regnard-coquette,regnard-divorce,Cost,Operation Type
10,,"('#arlequin', 'Mais, Monsieur Jupiter, quelle apparence ?  Nous ne la savons pas encore : il va venir un débordement de sifflets de tous les diables.')",1.0,Deletion
11,"('#bagatelle', 'Ne lui dirai-je pas aussi de nous faire des culottes ?  La mienne est toute déchirée entre les jambes, et ma chemise passe, révérence parler, par... ')","('#jupiter', ""Ne te mets pas en peine ; j'ai fait provision de quantité de foudres de poche ; et le premier siffleur qui branlera, par la mort !  Je lui brûlerai la moustache."")",1.15,Substitution
12,"('#colombine', 'Taisez-vous, petit sot, et faites ce que je vous dis.')","('#arlequin', 'Oh !  Tout doucement, Monsieur Jupiter ; ne choquons point le parterre, s\'il vous plaît ; nous en avons besoin : cela ne se gouverne pas comme votre tête.  Messieurs, puisque Jupiter l\'ordonne, et que d\'ailleurs... l\'occasion... de la faveur... votre bonté... votre argent... qu\'on a de la peine à rendre ; ... vous voyez bien, messieurs, que nous vous allons donner ""Le Divorce"". Au parterre.')",1.37,Substitution
13,"('#isabelle', 'Hé bien, cousine, as-tu bientôt mis la dernière main à ton visage ? ')",,1.0,Insertion
14,"('#colombine', ""Dis-moi, je te prie, comment me trouves-tu aujourd'hui ? "")","('#jupiter', 'Je vais me placer aux troisièmes loges pour mieux voir.')",1.38,Substitution
15,"('#isabelle', 'À charmer. ')","('#arlequin', 'Ah !  Monsieur Jupiter, un gentilhomme comme vous aux troisièmes loges ?')",1.84,Substitution
16,"('#colombine', ""J'ai beau arranger mes traits, il me semble qu'il y en a toujours quelqu'un qui se révolte contre mon économie. "")","('#jupiter', ""Je me suis amusé, en venant, à jouer à la boule aux petits-carreaux, contre quatre procureurs qui ne m'ont laissé que trente sous."")",1.66,Substitution
17,,"('#arlequin', ""Où diable vous êtes-vous fourré là ?  Ces messieurs-là savent aussi bien rouler le bois que ruiner une famille.  Monsieur Jupiter, si vous vouliez me laisser votre monture, je la ferais mettre à la daube : aussi bien les dieux de l'opéra, qui sont bien montés quand ils viennent, s'en retournent toujours à pied. Jupiter remonte en l'air, et Arlequin le rappelle."")",1.0,Deletion
18,,"('#mercure', 'Ô déplorable coup du sort ! Ô malheur !')",1.0,Deletion
19,"('#isabelle', ""Je t'assure que tu es d'un air à faire payer contribution à tous les coeurs de la ville. "")","('#arlequin', 'Je frémis ; parle.')",1.28,Substitution
20,,"('#mercure', 'Patrocle est mort.')",1.0,Deletion
21,,"('#aurelio', 'Cosi è, Mezzetino.')",1.0,Deletion
22,"('#colombine', ""Je sais bien, sans vanité, que j'ai quelque agrément ; mais avec un peu de beauté, et trois ou quatre mouches sur le nez, une fille ne va pas loin dans le siècle où nous sommes.  Il faut de cela pour plaire ... Et pour attraper un époux, qui est le point difficile.  Nous commençons tout doucement à monter en graine, et nous sommes assez fortes pour bien soutenir une thèse en mariage.  Elle se touche le front. "")","('#mezzetin', ""Je le sais bien ; j'étais la chambre de madme votre soeur quand son mari, monsieur Sotinet, mon maître et votre beau-frère, la surprit comme elle vous écrivait la dernière lettre que vous avec reçue d'elle, où elle vous mande de venir au plus tôt à Paris, afiun de prendre des mesures avec vous pour se mettre à couvert du chagrin que son vieux mari lui fait tous les jours."")",0.94,Substitution
23,"('#isabelle', ""J'en tombe d'accord.  Crois-tu, cousine, que j'aie le coeur plus dur que toi ?  Je sens quelquefois qu'une fille n'est pas née pour vivre seule ; je t'avouerai même que j'emploie tout mon esprit pour attirer quelque amant dans le filet conjugal.  Mais les hommes sont des pestes de poissons rusés qui viennent badiner autour de l'appât, et qui mordent rarement à l'hameçon.  Le mariage se décrie de jour en jour ; je crois, pour moi, que nous allons voir la fin du monde. "")","('#aurelio', ""T'assicurio, Mezzetino, ch'il matrimonio di mia sorella con Sotinetto non è stato mai mio gusto ; e se ne fossi stato creduto, egli non si sarreba mai conchiuso.  Ma che ?  Al fato non vi è rimedio."")",1.4,Substitution
24,"('#colombine', ""Que tu es folle !  Quoique le mariage ne soit plus guère à la mode, les hommes ont beau faire, ils ne sauraient se passer de nous.  Leur répugnance pour le mariage vient de la simplicité des filles qui ne savent pas jouer leur rôle.  L'homme est un animal qui veut être trompé. "")","('#mezzetin', ""Cela est vrai, ce qui est fait est fait. Mais quand on ne peut pas changer sa condition, et qu'elle est mauvaise, il faut tâcher de l'adoucir autant qu'il est possible."")",1.29,Substitution
25,"('#isabelle', ""Je ne m'applique nuit et jour à autre chose.  Je relève, avec art, les agréments que la nature m'a donnés : je joins à quelque brillant d'esprit les talents de la poésie et de la musique : pour mes manières, elles sont douces et insinuantes ; et, avec tout cela, point d'épouseurs. "")","('#aurelio', ""Benissimo. Ma per addolcir la stato de mia sorella, io non veda altro mezzo, ch'une bonissima separazione."")",1.47,Substitution
26,"('#colombine', 'Mais que prétendent donc tous ces petits messieurs-là ? ')",,1.0,Insertion
27,"('#isabelle', ""C'est ce que je ne conçois pas.  On sait bien qu'il y a de certaines avances qui accrochent quelquefois.  Mais vous en aurez menti, messieurs les soupirants ; et si j'accorde quelque faveur, ce ne sera, ma foi, que par-devant notaire, et en vertu d'un bon parchemin bien signé. "")","('#mezzetin', ""D'accord ; et c'est à quoi il faudrait songer, si vous aviez de ce qui se touche. Mais malheureusement mais vous êtes gueux comme un rat, et il y a longtemps que votre noblesse serait tombée par terre, si la roture ne l'avait soutenue.  Mais laissez-moi faire : si votre soeur consent à la séparation, je m'engage, moi, de faire toruver tout l'argent qu'il faudra pour l'obtenir ; et si , je veux que ce soit mon maître qui le fournisse."")",0.45,Substitution
28,,"('#aurelio', 'Sotinetto ?')",1.0,Deletion
29,"('#colombine', ""Cependant ce n'est pas une chose si difficile que tu le penses, d'engager un homme.  Savoir risquer un billet dans son temps, marcher sur le pied à l'un, tendre la main à l'autre, se brouiller avec celui-ci, se raccommoder avec celui-là : crois-moi, avec ce petit manège-là, il faut, bon gré, mal gré, que quelque bête donne dans les toiles. "")",,1.0,Insertion
30,"('#isabelle', ""Il me semble que tu copies assez bien une coquette d'après nature.  Prends-y garde, au moins : on ne fait plus guère de fortune à ce métier-là. "")",,1.0,Insertion
31,"('#colombine', ""Bon !  Il n'y a plus que les sottes qui se persuadent d'attraper des hommes par des airs composés.  Cousine, le monde m'en a plus appris qu'à toi, et je te suis caution qu'une fille n'est piquante qu'autant qu'elle a pris sel dans la coquetterie. "")","('#mezzetin', ""Oui, Sotinet. J'ai une dent contre lui, pour certains coups de bâton qu'il me donna une fois, à cause qu'il me surprit à la cave avec la servante du logis."")",0.7,Substitution
32,,"('#aurelio', 'E che cosa facevi in cantina con la serva ?')",1.0,Deletion
33,,"('#mezzetin', 'Je lui aidais à mettre un muid de vin en perce.')",1.0,Deletion
34,"('#isabelle', ""Vraiment !  Ce ne sont pas là les maximes de ma mère, qui me prône tous les jours que la coquetterie est l'antipode du mariage ; et j'ai ouï dire cent fois à mon oncle qu'une fille coquette ressemble à ces vins pétillants dont tout le monde veut tâter, et dont personne ne veut acheter pour son ordinaire. "")","('#aurelio', 'Orsù, vado a trovar mia sorella ; farò il possibile per resolverla a separarsi da suo marito. Tu pensa in tanto a quelle vieni di promettermi. Addio.')",1.73,Substitution
35,"('#colombine', ""Voilà-t-il pas mes contes de grand'mères, qui condamnent dans leurs enfants les plaisirs que l'âge leur refuse !  Je veux, moi, te donner des conseils pour le mariage, plus courts et plus faciles : et afin que tu les retiennes mieux, je vais te les lire en vers. "")","('#mezzetin', ""Serviteur, monsieur. Ah ! Que je pense de jolis tours pour délivrer ma maîtresse des mains de son vieux mari ! Mais la difficulté est de trouver des gens qui les éxecutent. Si mon cher ami Arlequin était encore au monde, c'est là justement l'homme qu'il ma faudrait ; mais le pauvre garçon s'est avisé de se faire pendre, et ..."")",0.59,Substitution
36,"('#isabelle', ""En vers, ma petite !  Ah !  C'est ma folie. "")",,1.0,Insertion
37,"('#colombine', ""Une fille qui veut se faire  Un époux parmi ses amants,  Doit changer à tous les moments  Et de visage et de manière ;  Tantôt, d'un air modeste, elle entre dans un coeur,  Sous un faux semblant de sagesse ;  Et tantôt, rallumant un feu de belle humeur,  Elle y porte à la fois la joie et la tendresse ;  Elle sait finement, par un mélange heureux,  Délaver la douceur avecque la rudesse ;  Du frein ou de l'épron usant avec adresse,  Suivant que l'animal est vif ou paresseux. N'en perds pas une syllabe.  Portrait d'une Coquette, ou la vraie morale d'une Fille à marier. Elle lit. "")","('#arlequin', ""Oui, Messieurs, étranger, étranger, arrivé tout-à-l'heure dans cette ville !  Le diable emporte toute la race badaudique !  Je n'ai jamais vu de gens plus curieux, ni plus insolents ; ils crient après moi, il a chié au lit, il a chié au lit, comme si j'étais un masque.  Mais...  Vers la cantonnade : Il aperçoit Mezzetin."")",0.85,Substitution
38,"('#isabelle', 'Je ne sais pas comment sera le reste, mais le début est fort vif. ')","('#mezzetin', 'Je crois...')",1.56,Substitution
39,,"('#arlequin', 'Il me semble...')",1.0,Deletion
40,,"('#mezzetin', ""Que j'ai vu cet homme-là pendu quelque part."")",1.0,Deletion
41,,"('#arlequin', ""D'avoir vu cette tête-là sur un autre corps."")",1.0,Deletion
42,"('#colombine', ""Pour conserver les coeurs qu'elle a su préparer,  Elle tient toujours la balance  Entre la crainte et l'espérance,  Laissant un pauvre amant doucement s'enferrer.  Si quelqu'un, rebuté de son trop long martyre,  Cherche à s'échapper du filet,  Par de fausses bontés alors on le retire :  On écrit, et Dieu sait le style du billet !  Un roi ne paierait pas tout ce qu'on lui promet :  On se désespère, on soupire ;  Trac, l'oiseau rentre au trébuchet.  Rien ne se démentira.  Elle continue de lire. "")",,1.0,Insertion
43,"('#isabelle', ""Au trébuchet !  Un mari ne se prend pas comme un oiseau ; il faut bien d'autres piéges. "")",,1.0,Insertion
44,"('#colombine', ""Je te dis qu'en amour ils sont si niais, qu'une fille qui sait un peu son métier en va duper trente à la fois. Lui parle-t-on d'amour...  Elle poursuit sa lecture. "")",,1.0,Insertion
45,"('#isabelle', 'Encore ? ')","('#mezzetin', 'Arl...')",0.16,Substitution
46,,"('#arlequin', 'Mez...')",1.0,Deletion
47,,"('#mezzetin', 'Arlequin.')",1.0,Deletion
48,"('#colombine', ""Lui parle-t-on d'amour, vante-t-on ses appas,  Elle impose silence en faisant la novice ;  Elle fait expliquer ceux qui n'en parlent pas,  Et sait se démonter à visse :  D'un rire obéissant son visage est paré ;  Le robinet des pleurs s'ouvre et ferme à son gré ;  Et, dispensant ainsi la rigueur, la tendresse,  Crois-moi, cousine, en cet état,  C'est jouer de malheur, après tant de souplesse,  Si quelque dupe enfin ne tâte du contrat. Voici le dernier.  Dame !  Il entre bien des ingrédients dans la composition d'une coquette."")","('#arlequin', ""Mezzetin. Ah !  Parente !  Parente ! Ensemble. Ils s'approchent. Mezzetin, levant les bras pour embrasser Arlequin, laisse tomber son manteau ; Arlequin, qui fait semblant d'embrasser Mezzetin, passe sous son bras, ramasse le manteau, et s'en va."")",1.17,Substitution
49,,"('#mezzetin', ""Mais ce manteau-là m'appartient."")",1.0,Deletion
50,,"('#arlequin', ""Je l'ai trouvé à terre."")",1.0,Deletion
51,"('#isabelle', ""Savante comme tu l'es, tu devrais te mettre à montrer le coquettisme en ville : tu serais bientôt riche. "")","('#mezzetin', ""En vérité, je suis ravi de te voir.  Je parlais tout-à-l'heure de toi.  Tu arrives fort à propos pour rendre service à Monsieur Aurélio, dans une affaire de conséquence."")",0.95,Substitution
52,,"('#arlequin', ""Qui ? Monsieur Aurélio, mon ancien maître ?  Celui qui a tant de noblesse, et qui n'a jamais le sou ? "")",1.0,Deletion
53,,"('#mezzetin', 'Lui-même : il est aussi gueux à présent comme il était du temps que tu le servais.')",1.0,Deletion
54,"('#colombine', ""Je n'y gagnerais pas de l'eau : toutes les filles savent cela.  Dans le fond, on n'a que de bonnes intentions.  Et quel reproche peut faire un homme quand une fille ne le trompe qu'en vue de mariage ? "")","('#arlequin', ""Tant pis ; car je ne suis pas aussi sot que je l'ai été, moi ; et je ne m'emploierai jamais pour qui que ce soit, qu'auparavant je ne sois assuré de la récompense."")",1.08,Substitution
55,"('#bagatelle', 'Mademoiselle, voilà monsieur le comte Octave. ')",,1.0,Insertion
56,"('#colombine', ""Qu'il entre."")",,1.0,Insertion
57,"('#isabelle', ""Je te laisse avec lui ; car apparemment c'est un épouseur : et ma mère m'attend. "")",,1.0,Insertion
58,"('#colombine', ""Bon !  Ta mère t'attend : va, va, elle est la maîtresse, elle attendra tant qu'elle voudra : demeure ici ; tu en apprendras plus avec moi en un quart d'heure, que tu ne feras en toute ta vie avec ta mère.  C'est une façon de mari. "")","('#mezzetin', ""Va, va, le seigneur Aurélio est honnête homme. Sers-le bien, et ne te mets point en peine ; tes gages te seront bien payés ; et si l'affaire que j'ai en tête réussit, je te réponds d'une bonne récompense.  Mais tire-moi d'un doute : il a couru un bruit que tu avais été pendu, et je te croyais déjà bien sec."")",0.8,Substitution
59,,"('#arlequin', ""Eh !  Point du tout ; je me porte le mieux du monde : il est vrai que j'ai eu quelque petite indisposition, et que j'ai été sur le point de mourir de la courte haleine ; mais je m'en suis bien guéri."")",1.0,Deletion
60,"('#isabelle', ""Tu l'aimeras donc ? "")","('#mezzetin', 'Conte-moi donc ta maladie.')",1.02,Substitution
61,"('#colombine', ""Que tu es sotte !  Ne t'ai-je pas dit cent fois que j'aime tout le monde sans aimer personne.  Mon père m'a défendu de le voir, parce qu'il me destine à un bailli du Maine, qui doit arriver dans peu.  Ne suis-je pas bien malheureuse !  Car imagine-toi ce que c'est qu'un bailli, et un bailli du Maine !  Mais voici Octave."")","('#arlequin', ""Oui-dà.  Tu sais bien que j'ai toujours aimé les grandes choses : dès le temps même que nous avions l'honneur de servir ensemble le roi sur ses galères..."")",1.14,Substitution
62,"('#octave', ""Malgré la rigueur de votre père, je viens vous assurer, mademoiselle, que je perdrai plutôt la vie que l'espérance d'être un jour votre époux. "")","('#mezzetin', ""Ne parlons point de cela ; je sais que tu as toujours été homme d'esprit."")",1.34,Substitution
63,"('#mezzetin', ""Oui, mademoiselle, nous avons résolu cela : et s'il ne vous épouse, je vous épouserai, moi."")","('#arlequin', ""Je n'eus pas plus tôt quitté la rame, que je me jetai malheureusement dans les médailles."")",1.97,Substitution
64,"('#isabelle', 'Cousine, voilà un gibier à trébuchet. ')","('#mezzetin', 'Comment, dans les médailles ?  Dans les antiques ?')",1.51,Substitution
65,"('#colombine', ""Vous savez, Monsieur_le_Comte, quels sont mes sentiments pour vous : cela vous doit suffire.  Ne parlons point d'amour, si ce n'est en chansons.  Vous chantez bien : voilà ma cousine qui accompagne parfaitement du clavecin : je veux vous entendre ensemble. "")","('#arlequin', ""Non, dans les médailles ; c'est-à-dire que quand je n'avais rien à faire, pour me désennuyer, je m'amusais à mettre le portrait du roi sur des pièces de cuivre, que je couvrais d'argent, et que je donnais à mes amis pour du pain, du vin, de la viande, et autres choses nécessaires : mais comme il y a toujours des envieux dans le monde (voyez, je vous prie, comme on empoisonne les plus belles actions de la vie !), on fut dire à la justice que je me mêlais de faire de la fausse-monnaie."")",1.14,Substitution
66,"('#octave', ""Mais, mademoiselle, chanter dans l'état où je suis ; pénétré de douleur, désespéré... "")","('#mezzetin', 'Quelle apparence ?')",1.74,Substitution
67,"('#colombine', ""Bon, bon !  Si vous n'avez pas la force de chanter, vous soupirerez : c'est la langue la plus familière aux amants.  Allons, qu'on approche le clavecin.  Mezzetin, prenez bien garde que mon père ne vienne. "")","('#arlequin', ""D'abord la justice m'envoya prier de lui aller parler."")",1.56,Substitution
68,"('#isabelle', ""Tu me mets là, cousine, à une rude épreuve. Octave chante ; Isabelle l'accompagne. "")","('#mezzetin', 'Qui envoya-t-elle ?  Des pages ?')",1.78,Substitution
69,"('#trafiquet', ""Holà, quelqu'un, Pierrot, Pierrot !"")","('#arlequin', ""Nenni, diable !  C'étaient tous gens de distinction et qualifiés.  Ils avaient des épées, des plumets bleus, des mousquetons."")",1.71,Substitution
70,"('#pierrot', ""Me voilà, me voilà, monsieur.  Vous criez plus fort qu'un fiacre mal graissé."")","('#mezzetin', 'Je vous entends ; poursuivez.')",1.06,Substitution
71,"('#trafiquet', ""Avec qui diable es-tu donc ?  Il faut toujours t'appeler vingt fois. "")",,1.0,Insertion
72,"('#pierrot', ""Je suis avec l'amour. "")",,1.0,Insertion
73,"('#trafiquet', 'Oh, oh !  Voilà du nouveau.  Tu es donc amoureux ? ')",,1.0,Insertion
74,"('#pierrot', ""Je ne dors ni ne veille ; je sens toujours là un tintamarre, comme s'il y avait un régiment de lutins. "")","('#arlequin', ""Ces messieurs montèrent donc dans ma chambre, et, le plus honnêtement du monde, me prièrent, de la part de la justice, de lui aller parler tout-à-l'heure ; qu'il y avait un carrosse à la porte, qui m'attendait."")",1.38,Substitution
75,"('#trafiquet', ""Il faut entendre patience. Mais que vois-je ?  C'est Octave !  Hé !  Que faites-vous donc ici, s'il vous plaît ?  Ne vous avais-je pas prié de n'y plus venir ? Apercevant Octave. Octave et Mezzetin font une révérence. "")","('#mezzetin', 'Et vous ?')",1.51,Substitution
76,"('#pierrot', ""Puisque monsieur vous l'a défendu, pourquoi y revenez-vous ? "")","('#arlequin', ""Et moi, j'eus beau dire que j'avais affaire, que je ne pouvais pas sortir, que j'irais une autre fois, il me fut impossible de résister aux honnêtetés et aux empressements de ces messieurs-là."")",1.02,Substitution
77,"('#trafiquet', 'Est-ce que vous prétendez, mon petit monsieur, épouser ma fille malgré moi ?  Octave et Mezzetin font une autre révérence.')","('#mezzetin', 'Aux honnêtetés des pousse-culs.')",1.56,Substitution
78,"('#pierrot', ""Monsieur, n'allez pas souffrir cela ; on vous prendrait pour un insensé. "")","('#arlequin', 'Oh, pour cela, rien n\'est plus vrai ; je n\'ai jamais vu de gens plus honnêtes.  L\'un m\'avait pris par un bras, aussi m\'avait fait l\'autre, en me disant le plus obligeamment du monde : ""Oh ! Puisque nous avons été assez heureux que de vous trouver, vous ne nous échapperez pas, et nous aurons le plaisir de vous emmener avec nous"" ; et à force de civilités, ils m\'entraînèrent dans leur carrosse, et me conduisirent à la justice.  D\'abord que je fus arrivé, on me présenta à cinq ou six visages vénérables, qui étaient assis sur des fleurs-de-lis.')",1.02,Substitution
79,"('#trafiquet', ""Mais, monsieur, encore une fois, je n'ai que faire de vos révérences : répondez à ce que je vous demande. Octave et Mezzetin sortent, après avoir fait encore une révérence. "")","('#mezzetin', 'Fort bien !  Et ces messieurs ne vous prièrent-ils point de vous asseoir ?')",1.52,Substitution
80,"('#trafiquet', ""Vous ferez bien, messieurs de la révérence, de ne regarder ma porte qu'avec une lunette ; je vous saluerais d'une manière...  Quelle plaisante conversation !  Toujours des révérences ! "")","('#arlequin', ""Assurément.  Celui qui était au milieu d'eux me dit : n'est-ce point vous, monsieur, qui vous mêlez de médailles ? À quoi je répondis fort modestement : oui, monsieur, pour vous rendre mes très humbles services.  Vous êtes un honnête homme, ajouta-t-il ; tout-à-l'heure nous allons parler à vous ; asseyez-vous toujours en attendant."")",0.88,Substitution
81,,"('#mezzetin', ""Et où t'asseoir ?  Dans un fauteuil ?"")",1.0,Deletion
82,"('#pierrot', ""Va, va, tu n'as qu'à y revenir ; je te ferai danser un branle de sortie sans violons."")",,1.0,Insertion
83,"('#trafiquet', ""Et vous, mademoiselle l'impertinente, ne vous ai-je pas défendu de le voir ?  Savez-vous que quand je commande, je veux être obéi ?  Colombine et Isabelle font une révérence. "")","('#arlequin', ""Bon !  Sur une petite chaise de bois qu'on avait mise à côté de moi.  Ces messieurs donc, après s'être parlé à l'oreille, me demandèrent encore si véritablement c'était moi qui avais cet heureux talent ?  Je leur répliquai qu'oui, que je leur demandais excuse si je ne faisais pas aussi bien que je l'aurais souhaité ; mais que j'avais grande envie de travailler, et qu'avec le temps, j'espérais devenir plus habile."")",1.04,Substitution
84,"('#pierrot', 'Elles ont appris à danser du même maître. ')","('#mezzetin', 'Fort bien.  Et eux parurent fort contents de votre déclaration ?')",1.91,Substitution
85,"('#trafiquet', ""Ne t'ai-je pas dit que je ne voulais pas que tu songeasses davantage à cet homme-là pour être ton époux ? Colombine et Isabelle font encore une révérence."")","('#arlequin', ""Vous l'avez dit.  Je remarquai que mon discours les avait réjouis ; mais cela n'empêcha pas qu'ils ne me condamnassent sur l'heure à être pendu et étranglé à la Croix Du Trahoir."")",1.46,Substitution
86,"('#pierrot', ""Fi !  Ce n'est pas là votre fait. "")","('#mezzetin', 'Quel malheur !')",1.75,Substitution
87,"('#trafiquet', ""Écoutez, ne m'échauffez pas les oreilles ; il y a des maisons à Paris où l'on réduit les filles désobéissantes.  Merci de ma vie !  Colombine et Isabelle sortent en faisant une grande révérence. "")","('#arlequin', ""Quand j'entendis qu'on m'allait pendre, je commençai à crier : mais, messieurs, vous n'y pensez pas.  Me pendre, moi !  Je ne suis qu'un jeune homme qui ne fais que d'entrer dans le monde ; et d'ailleurs, je n'ai pas l'âge compétent pour être pendu."")",1.36,Substitution
88,"('#pierrot', 'Ma foi, monsieur, il faut dire la vérité ; voilà des filles bien civiles. ')","('#mezzetin', ""C'était une bonne raison celle-là. "")",1.68,Substitution
89,"('#trafiquet', ""Mais que veulent donc dire toutes ces cérémonies-là ?  Voilà une nouvelle manière de répondre.  Allons, allons, il faut faire cesser tout ce manége-là.  J'attends aujourd'hui un gendre qui me vient du Bas-Maine ; je veux envoyer savoir s'il est venu.  Pierrot !  Ah, monsieur le maraud !  Je crois que vous voulez rire aussi.  Si je prends un bâton...  Quoi !  Tu t'en mêles aussi ?  Pierrot fait une révérence en fille.  Pierrot fait une autre révérence. "")","('#arlequin', ""Aussi y eurent-ils beaucoup d'égard ; et, pour faire les choses dans l'ordre, ils me firent expédier une dispense d'âge.  Me voilà donc dans la charrette.  Je ne disais mot ; mais j'enrageais comme tous les diables.  Nous arrivons enfin à la Croix Du Trahoir, au pied de cette fatale colonne qui devait être le non-plus-ultrà de ma vie, et qu'on appelle vulgairement la potence.  Comme j'étais fort fatigué du voyage, j'avais soif, je demandai à boire : on me proposa si je voulais de la bière.  Je dis que non, et que cela pourrait par la suite me donner la gravelle ; je priai seulement les archers de me laisser boire à la fontaine.  On se range en haie ; je m'approche de la fontaine ; je donne un coup d'oeil autour de moi, et zest, je m'élance la tête en avant dans le robinet de la fontaine. Les archers, surpris, courent à moi, et me tirent par les pieds ; et moi je m'enfonce toujours avec les mains, de manière que j'entrai tout entier dans le tuyau de la fontaine, et il ne resta aux archers que mes souliers pour les pendre.  Du robinet de la fontaine, je descendis dans la Seine ; de là, je fus à la nage jusqu'au Havre-de-Grace ; au Havre-de-Grace, je m'embarquai pour les Indes, d'où me voilà présentement de retour ; et voici mon histoire achevée."")",0.67,Substitution
90,"('#pierrot', ""Mais, monsieur, est-ce que vous voulez m'empêcher d'être civil ?  Qu'est-ce que vous me voulez ? "")","('#mezzetin', ""Il ne me reste qu'une difficulté, qui est de savoir comment, gros comme tu es, tu as pu te fourrer dans le robinet de la fontaine."")",1.79,Substitution
91,,"('#arlequin', ""Va, va, mon ami, quand on est près d'être pendu, on est diablement mince."")",1.0,Deletion
92,"('#trafiquet', 'Je veux que tu passes chez monsieur Fesse-Mathieu, pour le prier de venir ici ; et que tu ailles de là dans la rue de la Huchette, savoir si le messager du Mans est arrivé. ')","('#mezzetin', ""Tu as, ma foi, raison.  Va m'attendre au Petit Trianon ; dans un moment je suis à toi, et je te ménerai chez Monsieur Aurélio.  Mais d'où vient que tu n'enfonces point tes pieds jusqu'au fond de tes bottes, et que tu marches sur la tige ?"")",0.66,Substitution
93,"('#pierrot', 'Bon, bon, bon, monsieur.  Vous attendez donc quelque panier de volaille ? ')",,1.0,Insertion
94,"('#trafiquet', ""J'attends le bailli de Laval, qui vient pour être mon gendre. "")",,1.0,Insertion
95,"('#pierrot', 'Quoi !  Tout de bon ?  Un homme du Maine pour être le mari de votre fille ? ')",,1.0,Insertion
96,"('#trafiquet', 'Assurément. ')","('#arlequin', ""Je le fais exprès pour épargner les semelles. Il s'en va."")",1.51,Substitution
