,dufresny-chevalier-joueur,regnard-joueur,Cost,Operation Type
12,"('#valere', ""Il y a une Angélique, une suivante, un Valet et un joueur aussi dans le Joueur qu'on va représenter ; cependant il est différent de celui que tu as vu."")",,1.0,Insertion
13,"('#l-etourdi', ""Deux Comédies ne peuvent pas être différentes, quand ce sont les mêmes personnages ; dis-moi, dans celle-ci ne parle-t-on pas d'un portrait ?"")","('#hector', 'Voudrais-tu voir mon maître in naturalibus .')",1.77,Substitution
14,,"('#nerine', 'Quand se lèvera-t-il ?')",1.0,Deletion
15,,"('#hector', ""Mais, avant qu'il se lève, Il faudra qu'il se couche ; et franchement..."")",1.0,Deletion
16,"('#valere', 'Oui.')","('#nerine', 'Achève.')",0.81,Substitution
17,"('#l-etourdi', ""C'est donc la même chose ?"")",,1.0,Insertion
18,"('#valere', ""Belle conséquence !  Je te dis que j'ai entendu lire cette pièce-ci, et je la trouve très différente de l'autre."")","('#hector', 'Je ne dis mot.')",1.46,Substitution
19,"('#l-etourdi', ""Voyons donc cette différence.  Premièrement je me souviens que l'autre finit par un mariage."")",,1.0,Insertion
20,"('#valere', ""On sait bien qu'il faut..."")","('#nerine', 'Oh ! Parle, ou de force, ou de gré.')",1.62,Substitution
21,,"('#hector', ""Mon maître, en ce moment, n'est pas encor rentré."")",1.0,Deletion
22,"('#l-etourdi', ""Hé bien, c'est donc la même chose ?"")","('#nerine', ""Il n'est pas rentré ?"")",1.52,Substitution
23,,"('#hector', ""Non. Il ne tardera guère : Nous n'ouvrons pas matin. Il a plus d'une affaire, Ce garçon-là."")",1.0,Deletion
24,"('#valere', ""Malheureusement pour toi celle-ci commence, aussi bien que l'autre, par le Valet et la Suivante, sitôt que tu les verras paraître, tu sortiras sans les écouter, en criant tout haut : c'est la même chose, c'est la même chose ; et il faut l'écouter pour voir si c'est la même chose."")","('#nerine', ""J'entends. Autour d'un tapis vert, Dans un maudit brelan, ton maître joue et perd, Ou bien réduit à sec, d'une âme familière, Peut-être il parle au ciel d'une étrange manière. Par ordre très exprès d'Angélique, aujourd'hui Je viens pour rompre ici tout commerce avec lui. Des serments les plus forts appuyant sa tendresse, Tu sais qu'il a cent fois promis à ma maîtresse De ne toucher jamais cornet, carte, ni dé, Par quelque espoir de gain dont son coeur fût guidé ; Cependant..."")",0.74,Substitution
25,"('#l-etourdi', ""Ma foi, je n'attendrai pas qu'on ait commencé pour sortir, à moins que tu ne me prouves ces prétendues différences."")","('#hector', ""Je vois bien qu'un rival domestique Consigne entre tes mains pour avoir Angélique."")",1.58,Substitution
26,"('#valere', ""Il y en a beaucoup, l'autre était en vers, celle-ci est en prose."")",,1.0,Insertion
27,"('#l-etourdi', 'Des vers ou de la prose, est-ce que je prends garde à cela ?')","('#nerine', ""Et quand cela serait, n'aurais-je pas raison ? Mon coeur ne peut souffrir de lâche trahison. Angélique, entre nous, serait extravagante De rejeter l'amour qu'à pour elle Dorante : Lui, c'est un homme d'ordre, et qui vit congrument."")",1.69,Substitution
28,,"('#hector', ""L'amour se plaît un peu dans le dérèglement."")",1.0,Deletion
29,,"('#nerine', 'Un amant fait et mûr.')",1.0,Deletion
30,,"('#hector', ""Les filles d'ordinaire, Aiment mieux le fruit vert."")",1.0,Deletion
31,"('#valere', ""De la manière dont tu entends ordinairement la Comédie, en prose ou vers c'est tout un pour toi : tu causes tant que la pièce dure, tu ris seulement quand tu entends rire le parterre, sans se soucier si ces plaisanteries sont du sujet ou non."")","('#nerine', ""D'un fort bon caractère ; Qui ne sut de ses jours ce que c'est que le jeu."")",1.01,Substitution
32,,"('#hector', 'Mais mon maître est aimé.')",1.0,Deletion
33,"('#l-etourdi', 'Que me fait le sujet à moi ?  Je ne veux écouter que les endroits qui me font rire.')","('#nerine', ""Dont j'enrage. Morbleu ! Ne verrai-je jamais les femmes détrompées De ces colifichets, de ces fades poupées, Qui n'ont, pour imposer, qu'un grand air débraillé, Un nez de tous côtés de tabac barbouillé, Une lèvre qu'on mord pour rendre plus vermeille, Un chapeau chiffonné qui tombe sur l'oreille, Une longue steinkerque à replis tortueux, Un haut-de-chausse bas prêt à tomber sous eux ; Qui, faisant le gros dos, la main dans la ceinture, Viennent, pour tout mérite, étaler leur figure ?"")",1.41,Substitution
34,"('#valere', ""Pour ces endroits fins et délicats, qui font plaisir sans faire rire, tu n'y fais nullement attention."")","('#hector', ""C'est le goût d'à présent ; tes cris sont superflus, Mon enfant."")",1.06,Substitution
35,"('#l-etourdi', ""Et pourquoi de l'attention ?  Je soutiens moi qu'une Pièce ne vaut rien, quand il faut de l'attention pour la trouver bonne ; je veux pouvoir causer, me divertir à droit et à gauche, sortir au milieu d'une scène, revenir à la fin d'une autre ; et toutes les fois que je rentre, je prétends trouver quelque pointe d'esprit qui me réjouisse pour mon argent."")","('#nerine', ""Je veux, moi, réformer cet abus. Je ne souffrirai pas qu'on trompe ma maîtresse, Et qu'on profite ainsi d'une tendre faiblesse ; Qu'elle épouse un joueur, un petit brelandier, Un franc dissipateur, et dont tout le métier Est d'aller de cent lieux faire la découverte Où de jeux et d'amour on tient boutique ouverte, Et qui le conduiront tout droit à l'hôpital."")",0.17,Substitution
36,,"('#hector', 'Ton sermon me paraît un tant soit peu brutal. Mais, tant que tu voudras, parle, prêche, tempête, Ta maîtresse est coiffée.')",1.0,Deletion
37,"('#valere', 'Voilà le goût de nos jeunes étourdis ; mais les gens de bon sens entrent dans le sujet, on veut des caractères soutenus, une intrigue nette et suivie, des situations intéressantes et bien ménagées, des expressions vives et naturelles, et de la gaîté sans immodestie.')","('#nerine', ""Et crois-tu, dans ta tête, Que l'amour sur son coeur ait un si grand pouvoir ? Elle est fille d'esprit ; peut-être dès ce soir Dorante, par mes soins, l'épousera."")",1.25,Substitution
38,,"('#hector', 'Tarare ! Elle est dans nos filets.')",1.0,Deletion
39,"('#l-etourdi', 'Oh je veux un peu de gros sel ; là, de ces équivoques claires qui réveillent la joie ; y a-t-il de cela dans ce Joueur-ci ?')","('#nerine', ""Et moi je te déclare Que je l'en tirerai dès aujourd'hui."")",1.11,Substitution
40,,"('#hector', 'Bon ! Bon !')",1.0,Deletion
41,,"('#nerine', 'Que Dorante a pour lui Nérine et la raison.')",1.0,Deletion
42,"('#valere', ""Je ne veux juger ni de celui-ci ni de l'autre.  Je prétendais seulement te prouver que toutes ces parties sont traitées différemment dans les deux pièces, et qu'à le bien prendre, elles n'ont rien de semblable que le fond du sujet, et deux ou trois idées de Scènes qui se sont trouvées dans des mémoires que l'un des deux auteurs a dérobés à l'autre."")","('#hector', ""Et nous avons l'amour. Tu sais que d'ordinaire, Quand l'amour veut parler, la raison doit se taire, Dans les femmes, s'entend."")",1.3,Substitution
43,"('#l-etourdi', 'Ma foi toutes ces distinctions me brouillent la cervelle ; je veux du nouveau tout pur.  Adieu...  À propos y a-t-il un Marquis dans celle-ci ?')","('#nerine', ""Tu verras que chez nous, Quand la raison agit, l'amour a le dessous. Ton maître est un amant d'une espèce plaisante ! Son amour peut passer pour fièvre intermittente ; Son feu pour Angélique est un flux et reflux."")",1.13,Substitution
44,,"('#hector', ""Elle est, après le jeu, ce qu'il aime le plus."")",1.0,Deletion
45,,"('#nerine', ""Oui, c'est la passion qui seule le dévore : Dès qu'il a de l'argent, son amour s'évapore."")",1.0,Deletion
46,"('#valere', ""Oui, mais tu n'as qu'à t'imaginer que c'est un Vicomte, et tu le trouveras nouveau."")","('#hector', ""Mais en revanche aussi, quand il n'a pas un sou, Tu m'avoueras qu'il est amoureux comme un fou."")",1.52,Substitution
47,,"('#nerine', ""Oh ! J'empêcherai bien..."")",1.0,Deletion
48,,"('#hector', ""Nous ne te craignons guère ; Et ta maîtresse, encor hier, promit à Valère, De lui donner dans peu, pour prix de son amour, Son portrait enrichi de brillants tout autour. Nous l'attendons, ma chère, avec impatience : Nous aimons les bijoux avec concupiscence."")",1.0,Deletion
49,,"('#nerine', ""Ce portrait est tout prêt, mais ce n'est pas pour lui, Et Dorante en sera possesseur aujourd'hui."")",1.0,Deletion
50,,"('#hector', ""À d'autres."")",1.0,Deletion
51,"('#l-etourdi', 'Et le père, le père ?')","('#nerine', ""N'est-ce pas une honte à Valère, Étant fils de famille, ayant encor son père, Qu'il vive comme il fait, et que, comme un banni, Depuis un an il loge en un hôtel garni ?"")",1.18,Substitution
52,,"('#hector', 'Et vous y logez bien, et vous et votre clique.')",1.0,Deletion
53,"('#valere', ""Il n'y a point de père."")","('#nerine', ""Est-ce de même, dis ? Ma maîtresse Angélique, Et la veuve sa soeur, ne sont dans ce pays Que pour un temps, et n'ont point de père à Paris."")",1.38,Substitution
54,"('#l-etourdi', ""Cela est nouveau cela ; que ne me disais-tu donc qu'il n'y a point de père."")","('#hector', ""Valère a déserté la maison paternelle, Mais ce n'est point à lui qu'il faut faire querelle ; Et si monsieur son père avait voulu sortir, Nous y serions encore, à ne t'en point mentir. Ces pères, bien souvent, sont obstinés en diable."")",0.93,Substitution
55,,"('#nerine', ""Il a tort, en effet, d'être si peu traitable ! Quoi qu'il en soit, enfin, je ne t'abuse pas, Je fais la guerre ouverte ; et je vais de ce pas, Dire ce que je vois, avertir ma maîtresse Que Valère toujours est faux dans sa promesse ; Qu'il ne sera jamais digne de ses amours ; Qu'il a joué, qu'il joue, et qu'il jouera toujours. Adieu."")",1.0,Deletion
56,,"('#hector', 'Bonjour.')",1.0,Deletion
57,,"('#hector', ""Autant que je m'y puis connaître, Cette Nérine-ci n'est pas trop pour mon maître. A-t-elle grand tort ? Non, c'est un panier percé, Qui..."")",1.0,Deletion
58,,"('#hector', ""Mais je l'aperçois. Qu'il a l'air harassé ! On soupçonne aisément, à sa triste figure, Qu'il cherche en vain quelqu'un qui prête à triple usure."")",1.0,Deletion
59,,"('#valere', 'Quelle heure est-il ?')",1.0,Deletion
60,,"('#hector', ""Il est... je ne m'en souviens pas."")",1.0,Deletion
61,,"('#valere', ""Tu ne t'en souviens pas ?"")",1.0,Deletion
62,,"('#hector', 'Non, Monsieur.')",1.0,Deletion
63,,"('#valere', 'Je suis las De tes mauvais discours ; et tes impertinences...')",1.0,Deletion
64,"('#valere', 'Je me suis attaché à des différences plus essentielles.')","('#hector', 'Ma foi, la vérité répond aux apparences.')",1.69,Substitution
65,,"('#valere', 'Ma robe de chambre. Euh ! À part.')",1.0,Deletion
66,,"('#hector', 'Il jure entre ses dents.')",1.0,Deletion
67,,"('#valere', 'Eh bien ! Me faudra-t-il attendre encor longtemps ? Il se promène.')",1.0,Deletion
68,,"('#hector', 'Eh ! La voilà, monsieur. Il suit son maître, tenant sa robe de chambre toute déployée.')",1.0,Deletion
69,"('#l-etourdi', ""Et moi je ne resterai que pour cette nouveauté ; tu m'assures qu'il n'y a point de père au moins ?  Point de père, cela sera plaisant."")","('#valere', ""Une école maudite Me coûte, en un moment, douze trous tout de suite. Que je suis un grand chien ! Parbleu, je te saurai, Maudit jeu de trictrac, ou bien je ne pourrai. Tu peux me faire perdre, ô fortune ennemie ! Mais me faire payer, parbleu, je t'en défie : Car je n'ai pas un sou."")",1.02,Substitution
70,,"('#hector', 'Vous plairait-il, Monsieur... ?')",1.0,Deletion
71,,"('#valere', ""Je me ris de tes coups, j'incague ta fureur."")",1.0,Deletion
72,,"('#hector', 'Votre robe de chambre est, Monsieur, toute prête.')",1.0,Deletion
73,"('#valere', ""Je suis ravi que tu restes pour le père qui n'y est point ; plaçons-nous donc."")","('#valere', ""Va te coucher, maraud ; ne me romps point la tête. Va-t'en."")",0.83,Substitution
74,,"('#hector', 'Tant mieux.')",1.0,Deletion
75,,"('#valere', ""Je veux dormir dans ce fauteuil. Que je suis malheureux ! Je ne puis fermer l'oeil. Je dois de tous côtés, sans espoir, sans ressource, Et n'ai pas, grâce au ciel, un écu dans ma bourse. Hector ! ... que ce coquin est heureux de dormir ! Hector !"")",1.0,Deletion
76,,"('#hector', 'Monsieur ?')",1.0,Deletion
77,"('#nerine', 'Bonjour, Frontin, te voilà déjà levé ?')","('#valere', ""Eh bien ! Bourreau, veux-tu venir ? N'es-tu pas las encor de dormir, misérable ? Hector entre à moitié déshabillé."")",1.03,Substitution
78,"('#frontin', 'Bonsoir, Nérine, je vais me coucher.')","('#hector', ""Las de dormir ! Monsieur ? Hé ! Je me donne au diable, Je n'ai pas eu le temps d'ôter mon justaucorps."")",0.68,Substitution
79,"('#nerine', ""C'est-à-dire que ton Maître a couché au lansquenet."")","('#valere', 'Tu dormiras demain.')",0.67,Substitution
80,,"('#hector', 'Il a le diable au corps.')",1.0,Deletion
81,,"('#valere', ""Est-il venu quelqu'un ?"")",1.0,Deletion
82,,"('#hector', ""Il est, selon l'usage, Venu maint créancier ; de plus, un gros visage, Un maître de trictrac qui ne m'est pas connu. Le maître de musique est encore venu. Ils reviendront bientôt."")",1.0,Deletion
83,"('#frontin', 'Je ne te dis pas cela.')","('#valere', ""Bon. Pour cette autre affaire, M'as-tu déterré... ?"")",1.46,Substitution
84,"('#nerine', ""Le Chevalier est un jeune homme bien morigéné !  Avoue qu'il est incommode de loger en même maison avec des femmes qui ont intérêt d'examiner notre conduite !  Ma Maîtresse lui avait défendu de jouer."")","('#hector', 'Qui ? Cette honnête usurière, Qui nous prête, par heure, à vingt sous par écu ?')",1.3,Substitution
85,,"('#valere', 'Justement, elle-même.')",1.0,Deletion
86,"('#frontin', 'Il ne joue plus aussi, il ne fait que parier.')",,1.0,Insertion
87,"('#nerine', 'Il se brouillera avec Angélique.')",,1.0,Insertion
88,"('#frontin', ""Que m'importe ; en tous cas, s'il manque la jeune, le vieille ne le manquera pas ; elle fera bien, car mon maître sera quelque jour un riche parti."")","('#hector', ""Oui, monsieur, j'ai tout vu. Qu'on vend cher maintenant l'argent à la jeunesse ! Mais enfin, j'ai tant fait, avec un peu d'adresse, Qu'elle m'a reconduit d'un air fort obligeant ; Et vous aurez, je crois, au plus tôt votre argent."")",0.55,Substitution
89,"('#nerine', 'Un riche parti !  Au diantre le sol qui lui reste de son patrimoine.')","('#valere', ""J'aurais les mille écus ! ô ciel ! Quel coup de grâce ! Hector, mon cher Hector, viens çà que je t'embrasse."")",1.48,Substitution
90,,"('#hector', ""Comme l'argent rend tendre !"")",1.0,Deletion
91,,"('#valere', ""Et tu crois qu'en effet, Je n'ai, pour en avoir, qu'à donner mon billet ?"")",1.0,Deletion
92,"('#frontin', ""On se soucie bien de son patrimoine, quand on a des talents pour les grandes fortunes.  De l'air déterminé dont il joue, il est homme à gagner cent mille écus en trois coups de dés ; cela s'appelle un grand parti !  À la vérité ton Dorante a plus de bien en fonds ; mais les biens en fonds ont des bornes, et le casuel d'un joueur n'en a point."")","('#hector', ""Qui le refuserait serait bien difficile : Vous êtes aussi bon que banquier de la ville. Pour la réduire au point où vous la souhaitez, Il a fallu lever bien des difficultés : Elle est d'accord de tout, du temps, des arrérages ; Il ne faut maintenant que lui donner des gages."")",0.63,Substitution
93,,"('#valere', 'Des gages ?')",1.0,Deletion
94,"('#nerine', 'Dorante est si honnête homme.')","('#hector', 'Oui, monsieur.')",1.03,Substitution
95,,"('#valere', 'Mais y penses-tu bien ? Où les prendrai-je, dis ?')",1.0,Deletion
96,,"('#hector', ""Ma foi, je n'en sais rien. Pour nippes, nous n'avons qu'un grand fonds d'espérance Sur les produits trompeurs d'une réjouissance ; Et dans ce siècle-ci, messieurs les usuriers, Sur de pareils effets prêtent peu volontiers."")",1.0,Deletion
97,,"('#valere', 'Mais quel gage, dis-moi, veux-tu que je lui donne ?')",1.0,Deletion
98,,"('#hector', ""Elle viendra tantôt elle-même en personne, Vous vous ajusterez ensemble en quatre mots. Mais, Monsieur, s'il vous plaît, pour changer de propos, Aimeriez-vous toujours la charmante Angélique ?"")",1.0,Deletion
99,,"('#valere', ""Si je l'aime ? Ah ! Ce doute et m'outrage et me pique. Je l'adore."")",1.0,Deletion
100,,"('#hector', ""Tant pis : c'est un signe fâcheux. Quand vous êtes sans fonds, vous êtes amoureux ; Et quand l'argent renaît, votre tendresse expire. Votre bourse est, Monsieur, puisqu'il faut vous le dire, Un thermomètre sûr, tantôt bas, tantôt haut, Marquant de votre coeur ou le froid ou le chaud."")",1.0,Deletion
101,"('#frontin', 'Dorante est honnête homme ; mais mon maître est joli')","('#valere', ""Ne crois pas que le jeu, quelque sort qu'il me donne, Me fasse abandonner cette aimable personne."")",1.12,Substitution
102,,"('#hector', ""Oui, mais j'ai bien peur, moi, qu'on ne vous plante là."")",1.0,Deletion
103,,"('#valere', 'Et sur quel fondement peux-tu juger cela ?')",1.0,Deletion
104,"('#nerine', 'Un esprit solide, doux.')","('#hector', ""Nérine sort d'ici, qui m'a dit qu'Angélique Pour Dorante votre oncle en ce moment s'explique ; Que vous jouez toujours, malgré tous vos serments, Et qu'elle abjure enfin ses tendres sentiments."")",1.24,Substitution
105,,"('#valere', 'Dieux ! Que me dis-tu là ?')",1.0,Deletion
106,,"('#hector', ""Ce que je viens d'entendre."")",1.0,Deletion
107,"('#frontin', ""Vert et piquant, c'est ce qu'il faut pour réveiller le goût des femmes."")","('#valere', ""Bon ! Cela ne se peut ; on t'a voulu surprendre."")",1.52,Substitution
108,,"('#hector', ""Vous êtes assez riche en bonne opinion, À ce qu'il me paraît."")",1.0,Deletion
109,"('#nerine', 'Dorante est un homme fait.')","('#valere', ""Point. Sans présomption, On sait ce que l'on vaut."")",1.57,Substitution
110,,"('#hector', ""Mais si, sans vouloir rire, Tout allait comme j'ai l'honneur de vous le dire, Et qu'Angélique enfin pût changer..."")",1.0,Deletion
111,"('#frontin', ""En cas d'Amant, ce qui est à faire vaut mieux que ce qui est fait."")","('#valere', 'En ce cas, Je prends le parti... mais cela ne se peut pas.')",1.37,Substitution
112,,"('#hector', ""Si cela se pouvait, qu'une passion neuve ?..."")",1.0,Deletion
113,,"('#valere', 'En ce cas, je pourrais rabattre sur la veuve, la Comtesse sa soeur.')",1.0,Deletion
114,"('#nerine', 'Un bon coeur, généreux, sincère.')","('#hector', ""Ce dessein me plaît fort. J'aime un amour fondé sur un bon coffre-fort. Si vous vouliez un peu vous aider avec elle, Cette veuve, je crois, ne serait point cruelle ; Ce serait une éponge à presser au besoin."")",1.35,Substitution
115,,"('#valere', 'Cette éponge, entre nous, ne vaudrait pas ce soin.')",1.0,Deletion
116,"('#frontin', ""Oh !  Mon Maître ne se pique point de ces niaiseries-là ; mais en récompense, c'est le plus ensorcelant petit scélérat, un tour de scélératesse si galant, que les femmes ont du plaisir à se laisser tromper par lui."")","('#hector', ""C'est, dans son caractère, une espèce parfaite, Un ambigu nouveau de prude et de coquette, Qui croit mettre les coeurs à contribution, Et qui veut épouser ; c'est là sa passion."")",0.47,Substitution
117,,"('#valere', 'Épouser ?')",1.0,Deletion
118,"('#nerine', ""J'espère qu'Angélique reviendra de ce plaisir-là."")",,1.0,Insertion
119,"('#frontin', ""Elle n'en reviendra qu'après les noces."")","('#hector', 'Un marquis, de même caractère, Grand épouseur aussi, la galope et la flaire.')",1.72,Substitution
120,,"('#valere', 'Et quel est ce marquis ?')",1.0,Deletion
121,,"('#hector', ""C'est, à vous parler net, Un marquis de hasard fait par le lansquenet ; Fort brave, à ce qu'il dit, intrigant, plein d'affaires ; Qui croit de ses appas les femmes tributaires ; Qui gagne au jeu beaucoup, et qui, dit-on, jadis Était valet de chambre avant d'être marquis. Mais sauvons-nous, Monsieur, j'aperçois votre père."")",1.0,Deletion
122,,"('#geronte', ""Doucement ; j'ai deux mots à vous dire, Valère. Pour toi, j'ai quelques coups de canne à te prêter. À Hector."")",1.0,Deletion
123,"('#nerine', 'Si je la puis rattraper dans quelque moment raisonnable.')","('#hector', ""Excusez-moi, Monsieur, je ne puis m'arrêter."")",0.91,Substitution
124,,"('#geronte', 'Demeure là, maraud.')",1.0,Deletion
125,,"('#hector', ""Il n'est pas temps de rire."")",1.0,Deletion
126,"('#frontin', ""Si mon maître la peut rattraper dans quelque moment déraisonnable !  Mais que nos Amants se brouillent ou qu'ils se raccommodent, ce sont des scènes qui me réjouissent et qui ne m'intéressent point du tout ; ma foi, nous sommes faits pour rire tout bas des folies de nos maîtres : nos maîtres sont faits pour nous payer et pour nous donner la Comédie.  Le personnage qui me réjouit le plus céans, c'est la vieille Comtesse, elle croit cacher sa fragilité à l'abri de l'air sévère dont sa philosophie est ombragée ; elle nomme affection fraternelle son amour pour mon maître : et toi, quel beau nom donnes-tu aux services que tu rends à l'amour masqué de cette héroïne de vertu ?"")","('#geronte', ""Pour la dernière fois, mon fils, je viens vous dire Que votre train de vie est si fort scandaleux, Que vous m'obligerez à quelque éclat fâcheux. Je ne puis retenir ma bile davantage, Et ne saurais souffrir votre libertinage. Vous êtes pilier-né de tous les lansquenets, Qui sont, pour la jeunesse, autant de trébuchets. Un bois plein de voleurs est un plus sûr passage ; Dans ces lieux, jour et nuit, ce n'est que brigandage. Il faut opter des deux, être dupe ou fripon."")",0.07,Substitution
127,,"('#hector', ""Tous ces jeux de hasard n'attirent rien de bon. J'aime les jeux galants où l'esprit se déploie. C'est, Monsieur, par exemple, un joli jeu que l'oie. À Géronte."")",1.0,Deletion
128,"('#nerine', ""J'avoue qu'elle me fait des présents lorsque je réussis à brouiller Angélique avec le Chevalier ; mais puisqu'elle me cache l'intention de sa libéralité, je prétends que mon gain est honnête.  Quand la pauvre Comtesse a donné ici un appartement au Chevalier, je lui dis bien que le voisinage était dangereux, la bonne Dame croyait que le danger ne serait que pour elle ; mais en ces occasions périlleuses, la plus jeune est la plus exposée."")","('#geronte', ""Tais-toi. Non, à présent le jeu n'est que fureur : On joue argent, bijoux, maisons, contrats, honneur ; Et c'est ce qu'une femme, en cette humeur à craindre, Risque plus volontiers, et perd plus sans se plaindre. À Valère."")",0.33,Substitution
129,,"('#hector', 'Oh ! Nous ne risquons pas, Monsieur, de tels bijoux.')",1.0,Deletion
130,"('#frontin', ""Les voici toutes deux, je fuis pour éviter la fatigue d'excuser mon maître."")","('#geronte', ""Votre conduite enfin m'enflamme de courroux ; Je ne puis vous souffrir vivre de cette sorte : Vous m'avez obligé de vous fermer ma porte ; J'étais las, attendant chez moi votre retour, Qu'on fît du jour la nuit, et de la nuit le jour."")",0.95,Substitution
131,,"('#hector', ""C'est bien fait. Ces joueurs qui courent la fortune, Dans leurs dérèglements ressemblent à la lune, Se couchant le matin, et se levant le soir."")",1.0,Deletion
132,"('#angelique', 'Avant que vous sortiez, Madame, voyons donc au moins à prendre une heure pour terminer mes affaires ; depuis huit jours que je vous presse, je ne saurais tirer de vous que des exhortations.')","('#geronte', ""Vous me poussez à bout ; mais je vous ferai voir Que si vous ne changez de vie et de manière, Je saurai me servir de mon pouvoir de père, Et que de mon courroux vous sentirez l'effet."")",0.9,Substitution
133,,"('#hector', 'Votre père a raison.')",1.0,Deletion
134,,"('#geronte', ""Comme le voilà fait ! Débraillé, mal peigné, l'oeil hagard ! À sa mine On croirait qu'il viendrait, dans la forêt voisine, De faire un mauvais coup."")",1.0,Deletion
135,,"('#hector', ""On croirait vrai de lui : Il a fait trente fois coupe-gorge aujourd'hui."")",1.0,Deletion
136,"('#la-comtesse', ""C'est à vous de les écouter avec respect."")","('#geronte', ""Serez-vous bientôt las d'une telle conduite ? Parlez, que dois-je enfin espérer dans la suite ?"")",1.57,Substitution
137,,"('#valere', ""Je reviens aujourd'hui de mon égarement, Et ne veux plus jouer, mon père, absolument."")",1.0,Deletion
138,,"('#hector', 'Voilà du fruit nouveau dont son fils le régale.')",1.0,Deletion
139,,"('#geronte', ""Quand ils n'ont pas un sou, voilà de leur morale."")",1.0,Deletion
140,"('#angelique', ""Je sais ce qu'une pupille doit à sa tutrice ; mais enfin..."")","('#valere', ""J'ai de l'argent encore ; et, pour vous contenter, De mes dettes je veux aujourd'hui m'acquitter."")",1.7,Substitution
141,,"('#geronte', ""S'il est ainsi, vraiment, j'en ai bien de la joie."")",1.0,Deletion
142,"('#la-comtesse', 'Vous êtes majeure, me dites-vous ?')","('#hector', 'Vous acquitter, Monsieur ! Avec quelle monnaie ?')",0.8,Substitution
143,,"('#valere', ""Te tairas-tu ? Mon oncle aspire dans ce jour À m'ôter d'Angélique et la main et l'amour : Vous savez que pour elle il a l'âme blessée, Et qu'il veut m'enlever... Haut à son père."")",1.0,Deletion
144,,"('#geronte', 'Oui, je sais sa pensée, Et je serai ravi de le voir confondu.')",1.0,Deletion
145,,"('#hector', ""Vous n'avez qu'à parler, c'est un homme tondu."")",1.0,Deletion
146,,"('#geronte', ""Je voudrais bien déjà que l'affaire fût faite. Angélique est fort riche, et point du tout coquette, Maîtresse de son choix. Avec ce bon dessein, Va te mettre en état de mériter sa main, Payer tes créanciers..."")",1.0,Deletion
147,,"('#valere', ""J'y vais, j'y cours... Mon père... Il va pour sortir, parle bas à Hector, et revient."")",1.0,Deletion
148,,"('#geronte', 'Hé ! Plaît-il ?')",1.0,Deletion
149,,"('#valere', ""Pour sortir entièrement d'affaire, Il me manque environ quatre ou cinq mille francs. Si vous vouliez, Monsieur..."")",1.0,Deletion
150,"('#angelique', 'Ô !  Je ne vous dis plus rien.')","('#geronte', ""Ah ! Ah ! Je vous entends. Vous m'avez mille fois bercé de ces sornettes. Non ; comme vous pourrez, allez payer vos dettes."")",1.33,Substitution
151,,"('#valere', 'Mais, mon père, croyez...')",1.0,Deletion
152,"('#la-comtesse', ""Que je blâme nos Lois d'avoir placé la majorité si près de l'enfance !"")",,1.0,Insertion
153,"('#angelique', 'Finissons donc, Madame.')","('#geronte', ""À d'autres, s'il vous plaît."")",1.15,Substitution
