,la-fontaine-daphne,quinault-persee,Cost,Operation Type
16,"('#promethee', ""Descendez. Les statues descendent, et viennent à pas lents et graves faire une entrée, dansant presque sans mouvement, et d'une façon composée, comme feraient des sages et des philosophes."")","('#phronime #megathyme #choeur', ""Ô Vertu charmante, etc. L'innocence, les Plaisirs innocents, et toute la suite de la Vertu témoignent leur joie en dansant et en chantant."")",0.99,Substitution
17,"('#momus', ""Quelles gens ! Ce n'est qu'une machine."")",,1.0,Insertion
18,"('#promethee', ""C'est l'idole d'un sage."")",,1.0,Insertion
19,"('#les-dieux', 'Hé quoi ! la passion Jamais chez eux ne domine !')","('#phronime #megathyme', ""La grandeur brillante,  qui fait tant de bruit, N'a rien qui nous tente : Le repos la fuit. Malheureux qui la suit... ! Fortune volage, Laissez-nous en paix ! Vous ne donnez jamais Qu'un pompeux esclavage : Tous vos biens n'ont que de faux attraits. Dans un doux asile Nous bornons nos voeux : Notre sort est tranquille ; C'est un bien qui doit nous rendre heureux. La Vertu couronne Ses amants constant : Heureux qui lui donne Ses soins et son temps ; Ses voeux seront contents... Fortune volage, etc. Le lieu champêtre que la Vertu a choisi pour retraite est tout-à-coup embelli d'ornements magnifiques. On voit sortir de terre un parterre de fleurs, deux rangs de statues, des berceaux dorés et des fontaines jaillissantes."")",0.72,Substitution
20,"('#promethee', ""Leur coeur en est tout plein ; ce n'est qu'ambition, Colère, désespoir, crainte, ou joie excessive. Machine, on veut voir vos ressorts ; Quittez tous ces trompeurs dehors. Les nouveaux hommes, qui paraissaient de véritables statues, quittent une partie de l'habit qui les enveloppe, et se font voir tels qu'ils sont dans l'intérieur, l'un représentant l'ambition, l'autre, la colère, la crainte, le désespoir, la joie excessive, etc. En cet état ils dansent en confusion et d'une manière aussi impétueuse et aussi vive que l'autre était grave et peu animée."")","('#la-vertu', ""Qui nous fait voir ici tant de magnificence.. ? C'est la Fortune qui s'avance. Me cherchez-vous quand je vous fuis. Fortune, je sais trop que vous m'êtes contraire. Non, ce n'est pas un soin qui vous soit ordinaire D'embellir les lieux où je suis. On entend le bruit éclatant d'un grand nombre d'instruments. La Fortune s'approche : l'Abondance et la Magnificence l'accompagnent, avec une suite richement parée. Tout se réjouit et tout danse autour de la Fortune."")",0.22,Substitution
21,"('#momus', 'Je la trouvais trop lente, et la voilà trop vive.')","('#la-fortune', ""Effaçons du passé la mémoire importune ; J'ai toujours contre vous vainement combattu : Un auguste héros ordonne à la Fortune D'être en paix avec la Vertu."")",1.4,Substitution
22,"('#minerve', 'Laissez-moi régler ces transports.')",,1.0,Insertion
23,"('#venus', ""Mon fils, par de secrètes causes, Peut encor mieux que vous les calmer à son tour : Rien n'a d'empire sur l'Amour, L'Amour en a sur toutes choses. Le plus magnifique don Qu'aux mortels on puisse faire, C'est l'amour."")","('#la-vertu', ""Ah ! je le reconnais sans peine ; C'est le héros qui calme l'Univers."")",0.81,Substitution
24,"('#minerve', ""C'est la raison. Le don le plus nécessaire Aux hôtes de ce séjour, C'est la raison."")",,1.0,Insertion
25,"('#venus', ""C'est l'amour."")",,1.0,Insertion
26,"('#amour', ""L'effet en jugera : servez-vous de vos armes, Et moi j'emploierai mes charmes."")","('#la-fortune', ""Lui seul pour vous pouvait vaincre ma haine ; Il vous révère, et je le sers. Je l'aime constamment, moi qui suis si légère. Partout suivant ses voeux avec ardeur je cours. Vous paraissez toujours sévère, Et vous êtes toujours Ses plus chères amours."")",0.58,Substitution
27,"('#minerve', ""Que vous vous tourmentez, mortels ambitieux, Désespérés et furieux, Ennemis du repos, ennemis de vous-mêmes ! A modérer vos voeux mettez tous vos plaisirs : Régnez sur vos propres désirs ; C'est le plus beau des diadèmes. Les hommes qui s'étaient arrêtés quelques moments pour ouïr Minerve, attendent à peine qu'elle a achevé, et ne laissent pas, malgré ses conseils, témoigner toujours la même fureur et le même emportement. L'Amour leur faisant signe qu'il veut parler, ils s'arrêtent."")","('#la-vertu', ""Mes biens brillent moins que les vôtres.  Vous trouverez tant de coeurs qui n'adorent que vous ! Vous les enchantez presque tous."")",0.61,Substitution
28,"('#amour', ""De vos sages discours voyez quel est le fruit Je ne dirai qu'un mot. Aimez. On obéit : Vous le voyez. Aux hommes. À ce mot, ceux qui dansaient en confusion et en tumulte dansent deux à deux comme personnes qui s'aiment."")","('#la-fortune', ""Vous régnez sur un coeur qui vaut seul tous les autres. Ah ! S'il m'eût voulu suivre, il eût tout surmonté. Tout tremblait, tout cédait à l'ardeur qui l'anime. C'est vous, Vertu trop magnanime ; C'est vous qui l'avez arrêté."")",0.11,Substitution
29,"('#venus', ""Amour, qu'il est doux de te suivre !"")",,1.0,Insertion
30,"('#jupiter', 'Vivez, nouveaux humains.')",,1.0,Insertion
31,"('#choeur-des-dieux', 'Vivez, nouveaux humains.')",,1.0,Insertion
32,"('#venus', ""Laissez-vous enflammer. Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")","('#la-vertu', ""Son grand coeur s'est mieux fait connaître, Il a fait sur lui-même un effort généreux : Il veut rendre le monde heureux. Il préfère au bonheur d'en devenir le maître, La gloire de montrer qu'il mérite de l'âtre."")",0.69,Substitution
33,"('#choeur', ""Que vaut la peine de vivre, Sans le doux plaisir d'aimer ?"")",,1.0,Insertion
34,"('#momus', ""D'où vient que si mal assortie Cette belle a fait choix d'un vieillard pour amant ?"")","('#la-vertu #la-fortune', 'Sans cesse combattons à qui servira mieux Ce héros glorieux.')",1.26,Substitution
35,"('#amour', ""C'est l'effet merveilleux d'un secret sentiment Que j'appelle sympathie."")",,1.0,Insertion
36,"('#venus', ""Le démon opposé n'a pas moins de pouvoir. Souvent nous haïssons ce qui devrait nous plaire."")",,1.0,Insertion
37,"('#jupiter', ""Tel dieu sait l'avenir, qui n'a pas su prévoir Quels maux ce démon lui va faire. Mais un jour un prince viendra Qui plaira plus qu'il ne voudra. Le Destin parmi nous lui garde un rang insigne, Et je lui veux accorder, Afin qu'il en soit plus digne, L'art de savoir commander. Mars lui promet en apanage La grandeur d'âme et de courage."")","('#la-vertu #la-fortune #choeurs', ""Les Dieux ne l'ont donné que pour le bien du monde, Que ses travaux sont grands ! que ses destins sont beaux ! Dans une paix profonde  Il trouve une source féconde De triomphes nouveaux. Les Dieux ne l'ont donné que pour le bien du monde."")",0.46,Substitution
38,"('#minerve', 'Moi, la vertu.')","('#la-vertu', ""Que jusque dans les jeux tout nous parle de lui. Les Dieux, qui méditaient leur plus parfait ouvrage, Autrefois dans Persée en tracèrent l'image : J'obtiendrai qu'Apollon le ranime aujourd'hui."")",1.64,Substitution
39,"('#venus', ""Moi, l'agrément."")","('#la-vertu #la-fortune', 'Mille nouveaux concerts doivent se faire entendre : Tout promet au mérite un favorable sort. Quel bien ne doit-on pas attendre De notre heureux accord ? La suite de la Vertu et le suite de la Fortune se réunissent, et témoignent leur joie par leurs danses et par leurs chants.')",1.42,Substitution
40,"('#amour', ""Et moi le don d'aimer et d'être heureux amant."")","('#suivante-de-la-vertu #suivante-de-la-fortune', ""Quel heureux jour pour nous ! Tout suit notre envie. Quel heureux jour pour nous ! Que notre sort est doux ! La Vertu voit en paix tous ceux qui l'ont suivie : La Fortune pour eux perd son fatal courroux. Quel heureux jour pour nous, etc. Tous nos jours seront beaux ; goûtons, goûtons la vie. Rien ne trouble nos voeux, le ciel les comble tous. Quel heureux jour pour nous, etc."")",0.83,Substitution
41,"('#venus #l-amour #minerve', ""Amour et la Raison s'accorderont pour faire Qu'aux coeurs comme aux esprits ce prince plaise un jour"")","('#la-vertu #la-fortune #choeurs', 'Heureuse intelligence, Douce et charmante paix, Comblez notre espérance. Douce et charmante paix, Puissiez-vous durer à jamais.')",0.64,Substitution
42,,"('#cephee', ""Je crains que Junon ne refuse D'apaiser sa haine pour nous ; Je crains, malgré vos voeux, Que l'affreuse Méduse Ne revienne servir son funeste courroux. L'Ethiopie en vain à mes lois est soumise ; Quelle espérance m'est permise, Si le ciel contre nous veut toujours être armé ? Que me sert toute ma puissance ? Contre ce monstre affreux Mon peuple est sans défense : Qui le voit est soudain en rocher transformé ; Et si Junon, que votre orgueil offense, N'arrête sa vengeance, Je serai bientôt roi d'un peuple inanimé."")",1.0,Deletion
43,"('#choeur', 'Heureux qui par raison doit plaire ! Plus heureux qui plaît par amour !')","('#cassiope', ""Heureuse épouse, heureuse mère, Trop vaine d'un sort glorieux, Je n'ai pu m'empêcher d'exciter la colère De l'épouse du Dieu de la Terre et des Cieux ! J'ai comparé ma gloire à sa gloire immortelle. La déesse punit ma fierté Criminelle ; Mais j'espère fléchir son courroux rigoureux ; J'ordonne les célèbres Jeux Qu'à l'honneur de Junon en ces lieux on prépare Mon orgueil offensa cette divinité ; Il faut que mon respect répare Le crime de ma vanité."")",0.81,Substitution
44,"('#chloris #aminte #nymphes', ""Allons dans cette prairie : C'est un tranquille séjour ; Jamais les larmes d'amour N'y baignent l'herbe fleurie ; Les moutons y sont en paix, Et les loups n'y font jamais D'outrage à la bergerie."")","('#cephee', ""Je vais, avec Persée, implorer l'assistance Du dieu dont il tient la naissance ; Il est fils du plus grand des Dieux. Apaisez de Junon, la colère fatale, Ce serait pour elle en ces lieux Un objet odieux Qu'un fils de sa rivale."")",1.2,Substitution
45,"('#chloris', 'Viens, ma soeur.')",,1.0,Insertion
46,"('#aminte', 'Je te suis.')",,1.0,Insertion
47,"('#chloris', ""Viens goûter une vie Dont le calme est digne d'envie. Notre Nymphe a banni de ces lieux si charmants Ce peuple d'importuns que l'on appelle amants. La voici."")","('#cassiope', 'Par un cruel châtiment Les Dieux vous font voir leur haine ; On les irrite aisément, On les apaise avec peine.')",1.09,Substitution
48,"('#aminte', ""Que d'appas, de beautés, et de grâces ! Dirait-on pas que l'air s'embellit à ses traces ?"")",,1.0,Insertion
49,"('#daphne', ""Amour, n'approche point de nos ombrages doux, De nos prés, de nos fontaines ; Laisse en repos ces lieux ; assez d'autres que nous Se feront un plaisir de connaître tes peines."")","('#cephee', ""Les Dieux punissent la fierté, Ils n'est point de grandeur que le ciel irrité N'abaisse quand il veut, et ne réduisent en poudre, Mais un prompt repentir Peut arrêter la foudre Toute prête à partir."")",0.29,Substitution
50,"('#daphne', ""Chloris, n'est-ce pas la ta soeur que tu m'amènes ?"")","('#merope', 'Puissions nous désarmer le ciel qui nous menace.')",1.61,Substitution
51,,"('#cephee #cassiope #merope', ""Ô Dieux ! qui punissez l'audace ! Dieux ! redoutables ennemis ! Pardonnez à des coeurs soumis. Céphée sort."")",1.0,Deletion
52,"('#chloris', 'Je vous la viens offrir. Nous cherchions en ces lieux Ce que Flore a pour vous de dons plus précieux.')","('#cassiope', ""Aimé et destiné pour épouser ma fille, Vous savez mes desseins pour vous, Ma soeur ; par votre hymen, il m'aurait été doux D'unir Persée à ma famille ; Mais je le veux en vain, l'Amour n'y consent pas : Aux yeux de ce héros, ma fille a trop d'appas."")",1.3,Substitution
53,"('#daphne', ""Cherchons, cherchons des fleurs ; l'âge nous y convie : Parons-nous de bouquets pendant notre printemps : Les plaisirs ont chacun leur temps, Comme les saisons de la vie Daphné, ayant achevé ces paroles, se baisse pour cueillir des fleurs, et les Nymphes de la suite en font autant ; pendant quoi un choeur de bergers, demeuré par respect derrière le théâtre, répète ces mots."")","('#merope', ""Le fils de Jupiter l'adore ; Croyez-vous que je sois encore à m'en apercevoir ? J'y prends trop d'intérêt pour ne le pas savoir. Je goûtais une paix heureuse Avant que ce héros parût dans cette Cour ; Par une espérance trompeuse, Allait-il me livrer au pouvoir de l'Amour ?"")",0.74,Substitution
54,,"('#cassiope', ""Sachez bien la faiblesse où votre coeur s'engage."")",1.0,Deletion
55,,"('#merope', ""Mon vainqueur encore aujourd'hui Ignore de mon coeur le funeste esclavage : Je mourrai de honte et de rage Si l'ingrat connaissait l'amour que j'ai pour lui."")",1.0,Deletion
56,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie.')","('#cassiope', ""De chagrin et de colère, Votre coeur est déchiré ; Vous perdez l'espoir de plaire ; Peut-on trop se défaire D'un amour désespéré. Appelez le dépit ; que votre amour lui cède ; Sortez par son secours, d'un tourment si fatal."")",1.58,Substitution
57,,"('#merope', ""Le triste secours qu'un remède Plus cruel encore que le mal !"")",1.0,Deletion
58,"('#daphne', ""J'entends de nos bergers le concert plein d'appas. Qu'ils chantent, je le veux, mais qu'ils n'approchent pas."")","('#cassiope', ""Pour prendre soin des Jeux, il faut que je vous quitte. Par mes conseils votre douleur s'irrite."")",1.35,Substitution
59,"('#choeur-de-bergers', 'Cherchons, cherchons des fleurs ; Daphné nous y convie Il en renaît sous ses pas.')","('#cassiope #merope', ""Le temps seul peut guérir Les maux que l'amour fait souffrir. Cassiope sort."")",1.38,Substitution
60,"('#daphne', 'Déployons nos trésors.')",,1.0,Insertion
61,"('#chloris', ""J'ai cueilli les plus belles."")",,1.0,Insertion
62,"('#aminte', 'Et moi, les plus nouvelles.')",,1.0,Insertion
63,"('#meroe', 'Moi, les plus vives en couleur.')",,1.0,Insertion
64,"('#daphne', ""Et vous ? Quel mauvais choix vous avez fait, ma soeur ! Vous nous direz, pour votre peine, Une chanson contre l'Amour. Cependant je veux que ma Cour Jure de lui porter une éternelle haine ; Jurez la première, Clymène !"")","('#merope', ""Ah ! Je garderai bien mon coeur, Si je puis le reprendre. Venez, juste dépit, venez, c'est trop attendre ; Brisez des fers pleins de rigueur, Hâtez-vous de me rendre De mon premier repos la charmante douceur, Ah ! je garderai bien mon coeur, Si je puis le reprendre, Hélas ! Mon coeur soupire, et ce soupir trop tendre Va, malgré mon dépit, rappeler ma langueur ! L'amour est toujours mon vainqueur, Et je veux en vain m'en défendre, Ah ! J'ai trop engagé mon coeur ; Je ne puis le reprendre... Andromède vient voir les Jeux,  Phinée avec elle s'avance ; L'espoir de leur hymen flatte encore mes voeux  Et c'est ma dernière espérance."")",0.19,Substitution
65,,"('#andromede #phinee', 'Croyez-moi, croyez-moi,')",1.0,Deletion
66,"('#clymene', ""Tout serment De n'avoir jamais d'amant Est chose fort incertaine ; Il en est peu que l'on tienne Plus d'un jour, plus d'un moment : Tout serment De n'avoir jamais d'amant Est chose fort incertaine."")","('#andromede', 'Cessez de craindre.')",0.89,Substitution
67,,"('#phinee', 'Cessez de feindre.')",1.0,Deletion
68,"('#daphne', 'Je veux que vous juriez ; dites donc après moi : Amour,')","('#andromede', 'Je veux vous aimer, je le dois.')",0.32,Substitution
69,,"('#phinee', ""Vous ne m'aimez pas, je le vois."")",1.0,Deletion
70,"('#clymene', 'Amour,')",,1.0,Insertion
71,"('#daphne', 'Si jamais sous ta loi Je respire,')","('#andromede', 'Cessez de craindre.')",1.01,Substitution
72,"('#clymene', 'Si jamais sous ta loi Je respire,')","('#phinee', 'Cessez de feindre.')",1.08,Substitution
73,"('#daphne', 'Je consens de mourir.')",,1.0,Insertion
74,"('#clymene', ""Mourir ? c'est beaucoup dire."")","('#andromede #phinee', 'Croyez-moi, croyez-moi.')",1.18,Substitution
75,,"('#merope', ""Vous êtes tous deux aimables, Et vous vous aimez tous deux ; Quels différents sont capables De rompre de si beaux noeuds ? Que ne souffriront point les amants misérables Si l'Amour a des maux pour les amants heureux ?"")",1.0,Deletion
76,"('#daphne', 'Je consens de mourir, si jamais je soupire.')","('#andromede', 'Sans raison son chagrin éclate.')",1.06,Substitution
77,"('#clymene', 'Je consens de mourir, si jamais je soupire.')","('#phinee', 'Perdrai-je sans chagrin mon espoir le plus doux ? Condamnez une ingrate.')",1.05,Substitution
78,,"('#andromede', 'Condamnez un amant jaloux.')",1.0,Deletion
79,"('#daphne', 'Clymène, acquittez-vous ; accompagnons ses sons, Et que nos pas animent nos chansons. Daphné et les personnes de sa suite se prennent alors par la main, et Clymène chante cette gavotte que toute la troupe danse, la répétant après elle : ')","('#phinee', ""Persée a su lui plaire, et d'une vaine excuse Elle veut éblouir mon amour outragé. Elle m'aimait... Non, je m'abuse, Non, puisqu'elle a si tôt changé, Jamais son coeur pour moi ne fut bien engagé."")",1.24,Substitution
80,,"('#andromede', ""Le devoir sur mon coeur vous donne un juste empire. Vous ne devez pas craindre un changement fatal. Un amant assuré d'un bonheur qu'il désire,  Peut-il être jaloux d'un malheureux rival ?"")",1.0,Deletion
81,"('#clymene', ""L'autre jour sur l'herbe tendre Je m'assis près de Philandre : Il me conta ses tourments ; Ma mère alors me querelle. « Petite fille, dit-elle, N'écoutez point les amants. Ils sont indiscrets, volages, Téméraires, et peu sages ; Ils font mille faux serments : Ils sont jaloux, ils sont traîtres, Et tyrans quand ils sont maîtres, N'écoutez point les amants. » Écoutez ma chansonnette, Et l'écho qui la répète, Et ces rossignols charmants : Leur musique est sans pareille ; Mais ne prêtez point l'oreille Au ramage des amants."")","('#phinee', ""Non, je ne puis souffrir qu'il partage une chaîne Dont le poids me parait charmant. Quand vous l'accableriez du plus cruel tourment, Je serais jaloux de sa peine. Mais il ne fait point voir le dépit éclatant. S'il est si malheureux, sa constance m'étonne : L'amour que l'espoir abandonne, Est moins tranquille et moins constant."")",0.47,Substitution
82,"('#daphne', 'Méroé, poursuivez nos divertissements.')","('#andromede', ""Quel plaisir prenez-vous à vous troubler vous-même, Et de quoi votre amour peut-il être alarmé ? Je fuis votre rival avec un soin extrême : Est-on accoutumé de fuir ce que l'on aime ?"")",1.39,Substitution
83,"('#meroe', ""J'ai vu le temps qu'une jeune fillette Pouvait, sans peur, aller au bois seulette. Maintenant, maintenant les bergers sont loups : Je vous dis, je vous dis : « Filles, gardez-vous. »"")","('#phinee', ""Vous suivez à regret la gloire et le devoir, En fuyant un amant à vos yeux trop aimable ; Vous l'avez trouvé redoutable,  Puisque vous craignez de le voir."")",1.27,Substitution
84,"('#apollon', ""Voici Tempé, cette vallée Dont on vante partout l'ombrage et les beautés ; Et voilà les flots argentés Qu'y fait couler le dieu Penée. Plus loin vers ces sommets mon empire s'étend. N'y veux-tu pas venir, Momus ? On nous attend."")","('#andromede', ""Tout vous fait peur, tout vous irrite ; Vous m'apprenez à craindre un héros glorieux, Je ne veux point voir son mérite ; Votre importun soupçon veut-il m'ouvrir les yeux ?"")",0.53,Substitution
85,"('#momus', ""Demeurons encore où nous sommes : Ai-je pu voir en un instant Toutes les sottises des hommes ? Par vos puissants efforts, invincible Apollon, On ne craint plus ici les fureurs de Python. Les habitants de ces rivages DeVÉNUS plus heureux, n'en seront pas plus sages : Le temps de la sottise est celui du bonheur."")","('#phinee', ""Ah ! Si vous le flattiez de la moindre espérance, Le Dieu qu'il vous fait croire auteur de sa naissance ;  Dût-il faire éclater son foudroyant courroux, Ne le sauverait pas de mon transport jaloux."")",0.22,Substitution
86,"('#apollon', 'Mais que dis-tu de ma victoire ?')","('#andromede', 'Juste Ciel !')",1.42,Substitution
87,"('#momus', ""Elle vous a comblé d'honneur, Et rien n'égale votre gloire."")","('#phinee', 'Vous tremblez ! Persée a su vous plaire, Si son péril peut vous troubler.')",1.65,Substitution
88,"('#apollon', ""Que le fils de VÉNUS cesse de se vanter Qu'ainsi que nous il sait porter Un carquois, un arc, et des flèches ; C'est un enfant qui fait des brèches Dans les coeurs aisés à dompter. Il remporte toujours des victoires faciles ; Je défais des serpents qui dépeuplent des villes."")","('#andromede', ""Le ciel n'est que trop en colère, Et vous bravez un Dieu qui peut vous accabler. C'est pour vous que je dois trembler."")",0.98,Substitution
89,,"('#phinee', ""Ne vous servez point d'artifice."")",1.0,Deletion
90,"('#momus', ""Vous méprisez celui qui tient tout sous sa loi. Si l'Amour vous entend ?"")","('#andromede', ""Ne me faites point d'injustice : Je veux vous aimer, je le dois."")",0.58,Substitution
91,,"('#phinee', ""Vous ne m'aimez pas, je le vois."")",1.0,Deletion
92,"('#apollon', 'Et que crains-tu pour moi ?')","('#andromede', 'Cessez de craindre.')",0.53,Substitution
93,,"('#phinee', 'Cessez de feindre.')",1.0,Deletion
94,"('#momus', ""Parlez bas, c'est un dieu ; s'il venait à paraître ?"")","('#andromede #phinee', 'Croyez-moi, croyez-moi.')",1.53,Substitution
95,,"('#merope', ""Il craint autant qu'il aime ; Vous devez l'excuser. L'amour extrême Sert d'excuse lui-même Aux craintes qu'il a su causer."")",1.0,Deletion
96,"('#apollon', ""Un dieu ! c'est un enfant : quitte ce vain souci."")","('#merope #andromede #phinee', ""Ah ! Que l'amour cause d'alarmes ! Ah ! Que l'amour aurait d'attraits S'il ne troublait jamais La douceur de ses charmes ? Ah ! Que l'amour aurait d'attraits Si l'ont aimait toujours en paix !"")",1.4,Substitution
97,"('#momus', 'Qui donne à Jupiter un maître, Vous en pourrait donner aussi.')","('#andromede', 'Mon devoir est pour vous, mon devoir peut suffire À vous faire un tranquille espoir.')",1.54,Substitution
98,"('#cupidon', ""Quel est l'orgueilleux qui me brave ? Quel téméraire ose attaquer l'Amour ? Ah ! je vous reconnais : vous serez mon esclave Avant la fin du jour. Ces paroles dites, Cupidon s'en revole dans les airs. "")","('#phinee', ""Ne ferez-vous jamais parler que le devoir ? L'amour n'a-t-il rien à me dire ?"")",0.78,Substitution
99,,"('#andromede', 'Les jeux vont commencer, plaçons nous pour les voir.')",1.0,Deletion
100,"('#momus', ""Que cet enfant est fier ! Voyez comme il menace ! Ne le prendrait-on pas pour l'aîné des Titans ? Je plains le dompteur de serpents ; Il ne fait pas sûr en sa place. Tandis que Momus dit ces paroles, Daphné avec ses compagnes, par une curiosité de jeunes filles, avance un peu la tête sur le théâtre, et fait quelques pas dans la scène pour voir ces deux étrangers. Apollon la voit un moment ; aussitôt l'Amour, qui est demeuré dans l'air, fait son coup, et Daphné avec sa troupe s'enfuit encore une fois."")","('#cassiope', ""Ô Junon ! Puissante déesse Qu'on ne peut assez révérer !  J'assemble en votre nom cette aimable jeunesse, Que le flambeau d'Hymen doit bientôt éclairer. Chacun va montrer son adresse Pour disputer les prix que j'ai fait préparer, Ne gardez pas pour nous une haine implacable ; Si l'orgueil me rendit coupable, Je reconnais mon crime et veux le réparer. Voyez d'un regard favorable Les jeux qu'en votre honneur nous allons célébrer."")",0.32,Substitution
101,,"('#le-choeur', 'Laissez calmer votre colère. Ô Junon, exaucez nos voeux ! Si nous pouvions vous plaire, Que nous serions heureux ! On commence les jeux en disputant le prix de la danse.')",1.0,Deletion
102,"('#apollon', ""Ah ! Qu'ai je vu, Momus ! Que de traits éclatants ! Que de jeunesse, que de grâce !"")","('#amphimedon', ""Fuyons, nos voeux sont vains et Junon les refuse. De nouveaux malheureux en rochers convertis, Ne nous ont que trop avertis Qu'ils ont vu paraître Méduse."")",1.07,Substitution
103,"('#momus', 'Elle fuit.')","('#corite', 'Méduse revient dans ces lieux !')",1.44,Substitution
104,"('#apollon', 'Mille amours avec elle ont paru.')","('#protenor', ""Garde-nous de la voir, la Mort est dans ses yeux. Tous ensembles, en fuyant. Fuyons ce monstre terrible ; Sauvons-nous s'il est possible : Sauvons-nous, hâtons nos pas ; Fuyons un affreux trépas."")",1.58,Substitution
105,"('#momus', ""Mille amours ? C'est beaucoup ; je n'en ai pas tant vu. Vous aimez ; vous voyez d'un autre oeil que le nôtre : De quelques qualités qu'un objet soit pourvu, L'amant y voit toujours ou plus_ou_moins qu'un autre."")","('#cassiope', ""Faut-il que contre nous tout le ciel s'intéresse ? Dieux ! ne puis-je espérer de vous fléchir jamais ?"")",0.86,Substitution
106,,"('#phinee', ""J'ai conduit ici la princesse."")",1.0,Deletion
107,,"('#merope', 'Persée a ramené le roi dans ce palais.')",1.0,Deletion
108,,"('#phinee', 'Méduse se retire, elle nous laisse en paix.')",1.0,Deletion
