,barante-arlequin-misanthrope,biancollelli-foire-galante,Cost,Operation Type
18,"('#arlequin', ""Et parmi les avocats, les procureurs, les barons, les marquis, n'y a-t-il point de sots ?  Tiens, ma pauvre Colombine, ne nous abusons point.  Feuilletons toutes les Annales arlequiniques, repassons sur les faits et gestes de tous les Arlequins du monde, je te défie de trouver un misanthrope.  Nous sommes de bons petits hommes, qui faisons gracieusement une culbute, nous soupirons tendrement pour une belle marmitonne comme toi, nous faisons éloquemment le panégyrique d'une bonne soupe, et déployons avec énergie la cherté du vin et du fromage de Milan.  Mais n'en demande pas davantage : c'est là le non plus ultra de notre savoir faire."")","('#scaramouche', ""Je viens ici pour troubler votre fête, De mes regards éprouvez la terreur. Dans mes transports, il n'est rien qui m'arrête, Je me nourris de carnage et d'horreur. Je suis nommé l'ennemi de nature, Le destructeur de tout le genre humain. Une des Grâces le caresse. Je ne veux point d'amoureuse aventure Si je ne fais cocu le dieu Vulcain. Cupidon veut le blesser. De Cupidon, j'incague Mon souffle seul repousse tous ses dards, Le grand Jupin redoute ma vengeance, Et pour ami, je n'ai que le dieu Mars. Air : Folies d'Espagne"")",0.69,Substitution
19,"('#colombine', ""Trêve de modestie.  Je te réponds moi que tu te tireras fort bien du rôle qu'on t'a donné. "")","('#scaramouche', ""Quel sot ici porte un pas téméraire ? En badinant, je veux l'exterminer. Non, tu n'es pas digne de ma colère, Vas, dis partout que je sais pardonner. Pierrot le bat."")",0.67,Substitution
20,"('#arlequin', ""Il faudrait pour ma sûreté que ces Messieurs m'en répondissent solidairement avec toi.  Mais supposons que je veuille jouer cette pièce, qui l'annoncera ?  Tu sais bien qu'Octave ne veut pas s'en mêler, et qu'aujourd'hui une pièce ne saurait réussir si elle n'est annoncée, et si l'auteur ne vient demander humblement quartier aux auditeurs, les prévenir sur les défauts, et les prier de ne chercher pas plus d'esprit et de raison dans la prose que de rime et de mesure dans les vers."")","('#pierrot', ""Tu croyais m'épouvanter Par tes chiennes de grimaces, Mais apprend, sot animal, Turelure, Que j'en avons bien vu d'autres, Robin [turelure lure]. Air : Robin turelure"")",1.01,Substitution
21,"('#colombine', ""Est-ce là ce qui t'embarrasse.  Je l'annoncerai, moi."")",,1.0,Insertion
22,"('#arlequin', ""En ce cas, j'en augure bien ; car on ne parvient aujourd'hui que par le canal des femmes."")",,1.0,Insertion
23,"('#colombine', ""Quelque liberté que donne notre théâtre de grossir les traits et de changer les idées ; vous savez bien, Messieurs, qu'il y a une extrême différence entre un arlequin et un philosophe.  Ainsi, si vous nous trouvez dans quelques endroits un peu au-dessus de notre jeu ordinaire, n'en accusez que le désir ardent que nous avons de vous plaire : c'est lui qui nous a fait choisir le plan de Satire que nous allons vous donner, dans lequel nous avons néanmoins si bien mêlé toutes les gentillesses du Théâtre Italien, que si le goût du siècle était un peu moins difficile, nous oserions nous flatter d'y avoir mis de quoi contenter tout le monde.  Heureux si nous avions pu atteindre à ce but qui doit être la seule fin de la comédie, de corriger les moeurs en divertissant l'esprit ; plus heureux encore, si à la fin de notre pièce, que nous vous supplions d'écouter jusqu'au bout, vous nous donnez des marques que vous sortez contents."")",,1.0,Insertion
24,"('#arlequin', ""Bien entendu, qu'en ceci, La femme est comprise aussi. Bonjour camarade.  Ah !  De tout mon coeur !  Je suis votre très humble serviteur.  Votre valet de toute mon âme.  Ma foi il n'est point de pire animal que l'homme, et il n'en est pas de moins humain.  Hé quoi, ces pauvres petites bêtes ne me disent pas le moindre mot : je ne vois point ici de ces esprits aigres, qui se font un point d'honneur de ne convenir jamais.  Je vis à ma fantaisie, et les lions qui sont Seigneurs hauts Justiciers et Magistrats en dernier ressort de ces bois, n'exigent point de moi que j'aille me morfondre sur leur escalier, ou m'ennuyer dans leur anti-chambre.  Je ne suis point éclaboussé par un parvenu, qui à la faveur d'une métamorphose qu'il a peine à concevoir lui-même, se trouve dans un Carrosse que son père menait jadis.  Je n'essuie rien de la polissonnerie des petits Maîtres, et ne suis point obligé de me récrier sur les fadaises d'un mauvais plaisant de qualité, qui fait vingt fois par jour passer en revue cinq ou six mauvais contes qu'il a pillés dans l'Espiègle ou dans le Tombeau de la mélancolie.  Je ne vais point faire ma Cour à un Grand de nouvelle édition, qui embarrassé de sa personne, et plus droit qu'un échalas, semble avoir perdu l'usage des mouvements de son corps ; qui jette à peine les yeux sur la foule d'adulateurs qui l'environne, et croirait m'honorer beaucoup, s'il pouvait prendre sur sa paralytique gravité un mouvement de Pagode pour faire voir qu'il m'a remarqué.  Je ne prête point ici une attention de trois heures au récit burlesque des promesses d'un fanfaron qui ne s'est jamais montré aux ennemis que par la croupe de son Cheval.  Nulle complaisance ne m'engage de répondre aux mines enfantines d'une beauté surannée qui oublie qu'elle n'a pas une dent dans la bouche, sur laquelle Carmeline n'ait une hypothèque spéciale.  Je me promène seul, et ne gobe point la nuée de poudre, qu'excite dans la grande allée des Tuileries, le superflu du manteau des coquettes à taille équivoque.  Je n'y vois point de ces Marquises de contrebande qui en gourgandine et en petites mules, portent répandue sur toute leur personne une idée d'occasion prochaine.  Enfin je suis ici à couvert des impertinences dont Paris est rempli, et je trouve que ce n'est qu'avec les animaux qu'on se défait de la férocité qu'on a contractée avec les hommes.  Oui, mes chers camarades, c'est avec vous seuls qu'on peut vivre en repos.  Je hais les hommes, je les déteste, ils sont faux, doubles, hypocrites, méprisables. Oui, si j'en trouvais quelqu'une, je me ferais un plaisir de la traiter comme elle mérite.  Je la... Hoime ! Il aperçoit Colombine."")","('#scaramouche', ""J'ai juré plus de cent fois De frapper sans dire gare, Ceux qui traitent de manant, Turelure, Un homme de mon calibre, Robin, etc. Même air Pierrot le bat."")",0.95,Substitution
25,"('#colombine', ""Ah, Monsieur, que je suis heureuse de trouver une figure d'homme dans un lieu où je ne vois que des bêtes !"")",,1.0,Insertion
26,"('#arlequin', ""Figure d'homme ?  Elle est toute jolie.  Je me défie furieusement de moi-même."")",,1.0,Insertion
27,"('#colombine', 'Monsieur, ne pourriez-vous point me dire des nouvelles de ce que je cherche ?')",,1.0,Insertion
28,"('#arlequin', 'Tenons bon.')",,1.0,Insertion
29,"('#colombine', 'Il me tourne le dos.  Que je suis malheureuse !')",,1.0,Insertion
30,"('#arlequin', 'La charmante pleureuse !  Que je crains pour le Misanthrope !')","('#pierrot', 'Je sais punir qui vous offense, Je me moque de sa fierté. Vénus, pour toute récompense, Accordez-moi cette beauté, Car depuis longtemps je soupire, Tan la ra ritar. Air : Tan la ra ritar')",0.78,Substitution
31,"('#colombine', 'Monsieur, ne me rebutez pas, je vous en conjure.')",,1.0,Insertion
32,"('#arlequin', 'Non...  Ce sexe est fait pour tromper tout le monde.')",,1.0,Insertion
33,"('#colombine', ""Ah, craignez-vous quelque chose d'une malheureuse qui implore votre secours ?"")",,1.0,Insertion
34,"('#arlequin', 'Vous êtes plus à craindre pour moi que toutes les bêtes de ces bois.')",,1.0,Insertion
35,"('#colombine', ""Mais qu'appréhendez-vous ?"")",,1.0,Insertion
36,"('#arlequin', 'Mais que demandez-vous ?')",,1.0,Insertion
37,"('#colombine', ""Que vous ayez la bonté de m'écouter et de me répondre."")",,1.0,Insertion
38,"('#arlequin', ""Dites : car c'est une folie de vouloir empêcher une femme de parler."")",,1.0,Insertion
39,"('#colombine', 'Il y a huit jours, Monsieur, que je suis sortie de Paris, pour chercher un scélérat, un parjure, un perfide...')",,1.0,Insertion
40,"('#arlequin', ""Quoi, ma mie, vous partez exprès de Paris, pour chercher un malhonnête homme ?  Hé fi, vous n'y pensez pas ?  Si j'avais à chercher un perfide, un parjure, un scélérat, sans aucun frais de quête j'irais tout droit à Paris."")",,1.0,Insertion
41,"('#colombine', ""N'insultez point une malheureuse ; et si vous êtes insensible à mes maux, ne les rendez pas plus cuisants par vos railleries."")","('#venus', ""C'est Vulcain qui fait le tonnerre, Dont le maître des dieux épouvante la terre. Mais le brave Pierrot avec un échalas Punit qui ne me connait pas. Célébrons aujourd'hui sa valeur pierrotesque, Et chantons que Pierrot n'a rien que de grotesque."")",1.28,Substitution
42,"('#arlequin', 'Hé bien, la Belle enfant, quelle est la cause de votre douleur ?')",,1.0,Insertion
43,"('#colombine', 'Monsieur, il y a environ quatre ans que ma mère est veuve.')",,1.0,Insertion
44,"('#arlequin', 'Tant mieux pour elle et tant pis pour vous.')",,1.0,Insertion
45,"('#colombine', ""Comme mon père n'avait pas laissé beaucoup de bien, elle fut obligée de se servir de ses meubles pour gagner sa vie."")",,1.0,Insertion
46,"('#arlequin', ""C'est un expédient dont bien des femmes s'avisent."")",,1.0,Insertion
47,"('#colombine', ""Je veux dire, qu'elle meubla une maison où venaient loger beaucoup de gens de qualité, et surtout grand nombre d'Étrangers."")",,1.0,Insertion
48,"('#arlequin', ""C'est-à-dire souvent, grand nombre de dupes."")",,1.0,Insertion
49,"('#colombine', ""Ma mère qui n'avait que moi d'enfant, me donnait la meilleure éducation qu'il lui était possible, et tâchait de m'inspirer les airs d'une personne de condition."")",,1.0,Insertion
50,"('#arlequin', 'Éducation bien conditionnée.')",,1.0,Insertion
51,"('#colombine', ""À vous dire le vrai je me suis toujours senti une furieuse inclination d'être grande Dame."")",,1.0,Insertion
52,"('#arlequin', 'La pauvre petite !')",,1.0,Insertion
53,"('#colombine', ""Je n'avais que douze ans, quand ma mère fit tirer mon horoscope.  On dit que ma beauté ferait ma fortune ; et on assure même que j'ai dans la main une couronne bien marquée."")",,1.0,Insertion
54,"('#arlequin', 'Pronostic pour la tête du futur.')",,1.0,Insertion
55,"('#colombine', 'Parmi les étrangers qui logeaient chez nous, il y avait un jeune Prince Allemand fait à peindre et beau comme les amours ; nous apprenions à chanter du même Maître, et lisions des Romans ensemble.')","('#le-choeur', ""Il fait régner l'amour au milieu des alarmes. Les gros tricots, les gros tricots Son ses plus fortes armes. Il fait régner, etc. On danse la Loure des Ris et des Plaisirs qui est dans le prologue de l'Europe galante, après quoi le choeur reprend : Pendant le choeur, Arlequin écoute, et le choeur fini Arlequin chante."")",0.54,Substitution
56,"('#arlequin', ""Suite du pronostic.  C'est ici le voyage de l'Île d'Amour ?  Et bien, comment vous embarquâtes-vous ?"")",,1.0,Insertion
57,"('#colombine', ""Un jour que nous étions dans le jardin, il me fit une déclaration d'amour toute prise du troisième tome de Cyrus."")",,1.0,Insertion
58,"('#arlequin', ""L'habile homme !"")",,1.0,Insertion
59,"('#colombine', ""Dame, comme j'avais les idées fraîches aussi bien que lui, je le payai sur le champ en même monnaie."")",,1.0,Insertion
60,"('#arlequin', ""La belle présence d'esprit !"")",,1.0,Insertion
61,"('#colombine', ""Depuis ce temps-là, il ne me quittait presque plus, il s'ennuyait partout où je n'étais point, et me disait cent fois le jour qu'il m'aimait plus que lui-même."")",,1.0,Insertion
62,"('#arlequin', 'Et votre mère vous prêtait ses meubles ?')",,1.0,Insertion
63,"('#colombine', 'Oh !  Elle se défia de cette grande familiarité, elle savait par expérience...  Enfin elle me défendit de le voir, et me mit en pension chez une de mes tantes.')",,1.0,Insertion
64,"('#arlequin', 'De sorte que vous ne vîtes plus le godelureau, vous ne sûtes plus de ses nouvelles ?')",,1.0,Insertion
65,"('#colombine', ""Bon !  À quoi nous aurait donc servi le Maître à chanter ?  Le Prince le mit si bien dans nos intérêts, qu'il me donnait tous les jours un billet de sa part, et lui en reportait la réponse."")","('#arlequin', ""Quoi, pour célébrer un héros, On parle ici de gros tricots, Cela sent trop la bastonnade, Je vais m'esquiver au plus tôt, Car Arlequin sans gasconnade, Est aussi poltron que Pierrot."")",1.23,Substitution
66,"('#arlequin', 'Il est vrai que ces Messieurs les Maîtres à chanter ont un précieux tendre pour les Amants persécutés.')","('#pierrot', ""Savez-vous, Monsieur l'animal Que Pierrot est homme de coeur. Je n'aime point la raillerie, Passez, passez votre chemin, Car quand on songe au mariage On n'aime pas les importuns."")",1.22,Substitution
67,"('#colombine', ""Ce n'est pas tout.  Comme le Prince ne pouvait me voir chez ma tante, le Maître à chanter obtint qu'elle me permettrait d'aller à un Concert où il y avait beaucoup de gens de Qualité."")",,1.0,Insertion
68,"('#arlequin', 'Vous y fûtes sous le bon plaisir de la bonne tante ?')",,1.0,Insertion
69,"('#colombine', ""Oui, j'y fus avec une fille du voisinage ; mais au lieu de Concert nous ne trouvâmes que le Prince : j'entrai dans la chambre où il était, pendant que le Musicien entretenait notre voisine."")",,1.0,Insertion
70,"('#arlequin', 'Ouf !  Maudit ménétrier !  Hé bien, hé bien, que fîtes-vous là ?')",,1.0,Insertion
71,"('#colombine', ""Oh Dame, Monsieur, quand on s'aime bien, qu'un Maître à danser conduit l'intrigue, et qu'on a une si belle occasion de vérifier les prédictions...  Je songeai à mon Horoscope, et mon jeune Prince me fit une Promesse de Mariage."")","('#arlequin', ""Pierrot, tu vas te marier ? À qui vas-tu donc t'allier ? Je prétends être de la fête, Et comme ami de la maison. Il faut que Pierrot me promette Quelque singe de sa façon."")",0.57,Substitution
72,"('#arlequin', 'Voilà le dénouement.')",,1.0,Insertion
73,"('#colombine', 'Nous nous vîmes encore plusieurs fois chez le Musicien sous le même prétexte de Concert.')",,1.0,Insertion
74,"('#arlequin', 'Eh, que ces Concerts déconcertent de jolies filles !  Mais enfin ?')",,1.0,Insertion
75,"('#colombine', ""Mais enfin, il y a aujourd'hui six jours que j'appris par un bruit de Ville, que le Prince avait disparu.  Je vous laisse à penser si cette nouvelle me perça le coeur ; mais sans m'amuser à pleurer, je pris tout ce que j'avais d'argent, et quelques pierreries que ma mère m'avait données, et je montai à Cheval, résolue de chercher mon infidèle par tout le monde, et de le suivre jusqu'aux extrémités de la terre."")",,1.0,Insertion
76,"('#arlequin', 'Voilà un beau dessein.')",,1.0,Insertion
77,"('#colombine', ""Ah, Monsieur, je le trouverai, ou je mourrai à la peine, il y a deux ans que je l'aime."")",,1.0,Insertion
78,"('#arlequin', 'Comment donc, deux ans ?  Et je ne croyais pas que depuis feue Artémise de constante mémoire, aucune femme eût aimé plus de vingt-quatre heures.')",,1.0,Insertion
79,"('#colombine', ""Je l'aimerai jusqu'à la mort."")",,1.0,Insertion
80,"('#arlequin', ""Cela n'est pas bien sûr.  Mais aussi, n'est-ce point la Principauté que vous courez plutôt que l'Amant ?  Ce que les femmes de ce temps-ci ne mettent pas en amour, elles le dépensent bien et au-delà en ambition."")",,1.0,Insertion
81,"('#colombine', ""Quelle injure vous faites à la sincérité de mes sentiments !  Oui, quand mon amant serait le dernier des hommes, je ne l'en aimerais pas moins."")","('#pierrot', ""Pierrot est trop homme de bien, Pour en cela promettre rien. Car je sais que le mariage Nous produit souvent des enfants, Qui prétendent notre héritage, Quoiqu'ils ne soient pas nos parents."")",1.09,Substitution
82,"('#arlequin', ""Une fille qui n'aime, ni par ambition ni par intérêt ?  Quelle merveille !  Voilà mon fait.  Mettons-nous bien dans son esprit.  Mademoiselle, je vous plains, et vous offre tout ce qui dépend de moi.  Venez vous reposer, nous tâcherons de savoir des nouvelles de ce que vous cherchez."")","('#une-des-graces', ""Souffrez que l'amour vous blesse, Finissez tous vos débats. La raison et la tendresse, Pierrot ne s'accordent pas. Deux Grâces dansent un menuet, après quoi Vénus chante à l'imitation de l'air du prologue qui dit"")",0.82,Substitution
83,"('#colombine', ""Ce n'est pas un médiocre avantage, de trouver en l'état où je suis quelqu'un qui prenne part à mes disgrâces."")",,1.0,Insertion
84,"('#octave', ""Ô Ciel !  Dans quel étrange situation me trouve-je ?  Je fuis Colombine, et mon coeur court après elle ; depuis six jours que je l'ai quittée, j'ai souffert tout ce que...  Mais ne vois-je pas Scaramouche que j'avais laissé à Paris pour m'en apporter des nouvelles ?"")",,1.0,Insertion
85,"('#scaramouche', ""Gare, Monsieur, gare, prenez garde, hem, n'est-elle pas là ?"")",,1.0,Insertion
86,"('#octave', 'Qui ?')",,1.0,Insertion
87,"('#scaramouche', 'Colombine.')",,1.0,Insertion
88,"('#octave', 'Colombine ?')",,1.0,Insertion
89,"('#scaramouche', 'Oui Colombine, elle doit être ici.')",,1.0,Insertion
90,"('#octave', ""Mais comment veux-tu qu'elle soit ici, puisque je l'ai laissée à Paris ?"")",,1.0,Insertion
91,"('#scaramouche', 'Diable, une fille de Paris un peu jolie, fait bien du chemin en peu de temps.')",,1.0,Insertion
92,"('#octave', ""Je n'entends rien à ton peste de galimatias."")",,1.0,Insertion
93,"('#scaramouche', 'Cela veut dire, Monsieur, que le lendemain de votre départ de Paris, Colombine monta à cheval pour vous suivre.')",,1.0,Insertion
94,"('#octave', 'Hé bien, Scaramouche.')",,1.0,Insertion
95,"('#scaramouche', ""Hé bien, il y a cinq jours qu'elle vous suit, elle vous doit avoir joint."")",,1.0,Insertion
96,"('#octave', ""Mais ne sachant pas où je suis, comment veux-tu qu'elle me trouve ?"")",,1.0,Insertion
97,"('#scaramouche', ""Oh Diable, Monsieur, une fille amoureuse a bon nez, et un Amant aimé est un gibier dont il n'est pas malaisé de suivre la piste.  Je vous dis encore un coup, que si Colombine n'est pas ici, elle y sera bientôt."")","('#venus', ""C'est dans une tendresse extrême, Ce n'est que dans le mariage, Qu'on trouve le bonheur parfait. Tout abonde dans le ménage Quand un homme a l'esprit bien fait. Et Tircis sans le cocuage, Serait-il ce qu'il est ?"")",0.8,Substitution
98,"('#octave', 'Mais dis-moi, Scaramouche, lorsque Colombine apprit mon départ, que fit-elle ?  Que dit-elle de mon absence ?')",,1.0,Insertion
99,"('#scaramouche', ""Ah, Monsieur, c'est une chose déplorable.  La pauvre fille !  Je ne saurais m'empêcher de pleurer, car je suis sensible aussi."")",,1.0,Insertion
100,"('#octave', 'Hélas !')",,1.0,Insertion
101,"('#scaramouche', ""C'était la plus drôle de chose ; quand j'y songe, je ne puis m'empêcher de rire."")",,1.0,Insertion
102,"('#octave', 'Et de quoi ris-tu, coquin ?')",,1.0,Insertion
103,"('#scaramouche', ""De la mine qu'elle fit quand vous fûtes parti."")",,1.0,Insertion
104,"('#octave', 'Maraud !')",,1.0,Insertion
105,"('#scaramouche', ""J'entrai dans sa chambre, et je la trouvai sur son lit, toute en pleurs, qui s'arrachait les cheveux.  C'est donc ainsi ; disait-elle qu'il m'abandonne, qu'il me... Ah, ah, cela fait crever le coeur. Il pleure."")",,1.0,Insertion
106,"('#octave', 'Pouvais-je faire autrement ?')",,1.0,Insertion
107,"('#scaramouche', ""Hé bien Scaramouche, ajouta-t-elle, tu vois comme on traite un Prince que j'aime à l'adoration."")",,1.0,Insertion
108,"('#octave', 'Elle ne sait donc pas qui je suis, et elle me croit toujours un Prince Allemand.')",,1.0,Insertion
109,"('#scaramouche', ""Vraiment, elle se donnerait à tous les diables, que vous êtes le plus grand Prince de toute la princerie ; on n'aurait qu'y lui dire que vous êtes un Comédien, ma foi !"")",,1.0,Insertion
110,"('#octave', ""Tant pis Scaramouche, tant pis.  Quand Colombine saura que je ne suis qu'un Comédien, quelle chute ?  Elle en mourra de douleur."")",,1.0,Insertion
111,"('#scaramouche', ""S'il fallait trépaner toutes les femmes qui font de ces chutes-là, les chirurgiens gagneraient trop d'argent."")",,1.0,Insertion
112,"('#octave', 'Continue ton récit.')","('#arlequin #pierrot', ""Devenons par le cocuage Aussi riche qu'il est."")",1.35,Substitution
113,"('#scaramouche', ""Traître, infâme, scélérat...  C'est elle qui parle."")",,1.0,Insertion
114,"('#octave', 'Supprime ces épithètes.')",,1.0,Insertion
115,"('#scaramouche', ""Je suis Historien exact.  Je mourrai.  Oui, dit-elle, je mourrai de douleur. Ah, ah, cela m'arrache les larmes. Il pleure."")",,1.0,Insertion
116,"('#octave', 'Hélas !')",,1.0,Insertion
117,"('#scaramouche', 'Et sur le champ elle se lève du lit.  Oh pour celui-là il est trop plaisant, Prend les porcelaines de sa cheminée, les jette à terre, prend, rompt les tableaux, crac ; renverse les meubles, ouvre la fenêtre, et se jette... Il rit.')",,1.0,Insertion
118,"('#octave', 'Où, Scaramouche ?')",,1.0,Insertion
119,"('#scaramouche', 'Dans un fauteuil.')",,1.0,Insertion
120,"('#octave', 'Enfin.')",,1.0,Insertion
121,"('#scaramouche', ""Je n'en vis pas davantage, et je m'en allai."")",,1.0,Insertion
122,"('#octave', 'Et pourquoi, Coquin.')",,1.0,Insertion
123,"('#scaramouche', ""Diable, Monsieur, une fille amoureuse qui a perdu son Amant se prend où elle peut !  Que sait-on ?  Je ne suis pas dégoûtant, et si elle n'était pas dégoûtée, sur ma parole."")",,1.0,Insertion
124,"('#octave', ""Taisez-vous, Monsieur le mauvais plaisant.  Mais comment sais-tu donc qu'elle est partie ?"")",,1.0,Insertion
125,"('#scaramouche', ""C'est que le lendemain, je la vis sortir à cheval par la porte Saint-Honoré, et je conjecture de là qu'elle vous suit."")",,1.0,Insertion
126,"('#octave', 'Me voilà plus inquiet et plus embarrassé que jamais.')",,1.0,Insertion
127,"('#scaramouche', ""Pour moi, il y a environ deux heures que je me suis mis au service d'un nommé Arlequin."")",,1.0,Insertion
128,"('#octave', ""Ce Philosophe qui s'est retiré ici ?"")",,1.0,Insertion
129,"('#scaramouche', ""Justement, j'ai mes raisons pour cela."")",,1.0,Insertion
130,"('#octave', 'Et quelles raisons encore ?')",,1.0,Insertion
131,"('#scaramouche', ""De bonnes raisons pour vos intérêts et pour les miens.  Mais retirez-vous, j'ai peur qu'on ne nous surprenne."")",,1.0,Insertion
132,"('#arlequin', ""Hé bien, Monsieur Disanvray, qu'y a-t-il de nouveau à Paris ?"")",,1.0,Insertion
133,"('#monsieur-disanvray', 'Quoi !  Vous ennuyez-vous déjà dans votre retraite ?  À quel changement vous attendez-vous depuis un mois que vous êtes hors de Paris ?')",,1.0,Insertion
134,"('#arlequin', ""Un mois, Monsieur Disanvray ?  Vous n'y pensez pas.  Faut-il un mois pour changer du blanc au noir une Ville qui est le mouvement perpétuel.  Allez, allez, ma curiosité serait bien satisfaite si je pouvais savoir combien il s'y fait de changements en vingt-quatre heures."")",,1.0,Insertion
135,"('#monsieur-disanvray', ""Qu'est-ce à dire ?"")",,1.0,Insertion
136,"('#arlequin', ""Hé faut-il plus d'une nuit pour faire d'une fille une femme, un Gentilhomme d'un roturier, et d'un roturier et d'un faquin, un homme d'importance ?"")",,1.0,Insertion
137,"('#monsieur-disanvray', ""Vous avez raison ; mais il serait diantrement difficile de tenir un registre exact de ces changements, tant ils sont fréquents.  Mais sans entrer dans un si grand détail, paris est à peu près de même que vous l'avez laissé ; les hommes y sont fourbes, avides, âpres à l'argent, peu sensibles aux lois de l'honneur, et sacrifiant tout à leur intérêt.  Les femmes sont prudes au dehors, et galantes au-dedans ; les vieilles se fardent, les jeunes minaudent.  Il y a moins de jaloux que de Cocus."")","('#arlequin', ""Belle Vénus, votre éloquence A quelque espèce de raison. Lorsque la corne d'abondance Fait l'ornement de la maison, Un mari sans chagrin doit dire tan la rita."")",1.09,Substitution
138,"('#arlequin', 'Et les Coquettes comment se gouvernent-elles ?')",,1.0,Insertion
139,"('#monsieur-disanvray', ""Les Coquettes ?  Il n'y en a plus."")",,1.0,Insertion
140,"('#arlequin', 'Oh, oh, point de Coquettes à Paris ?')",,1.0,Insertion
141,"('#monsieur-disanvray', ""Non.  Une coquette n'est-ce pas une femme qui a plusieurs amants ?"")",,1.0,Insertion
142,"('#arlequin', 'Oui.')",,1.0,Insertion
143,"('#monsieur-disanvray', ""Et bien, il n'y a donc plus de Coquettes.  Car loin qu'une seule femme ait plusieurs Amants, bien heureuse celle qui en a un à elle seule.  Il y a tel homme sur qui dix ou douze femmes mettent l'enchère tout à la fois."")",,1.0,Insertion
144,"('#arlequin', ""C'est comme de mon temps.  Car j'ai connu autrefois une fort jolie personne intéressée pour un septième sur un Capitaine de Dragons, qu'elle ne voyait pas six fois dans tout un quartier d'Hiver."")","('#pierrot', ""Voila pourquoi mon pauvre père Chantait la nuit comme le jour, Quoique jamais ma chère mère Ne lui témoignât de l'amour. Nous avions toujours de quoi frire, tan la."")",0.9,Substitution
145,"('#monsieur-disanvray', ""C'est une chose déplorable que de voir la disette d'hommes qui règne à Paris, et la cherté dont ils sont.  Aussi une femme de bon sens, disait-elle ces jours passés, que dans une année abondante, la nature devrait produire pour le soulagement du pauvre sexe féminin, une certaine quantité d'hommes, comme elle produit du vin et du blé."")","('#arlequin', ""Le mal est général, Pourquoi, diable le feindre ? On a tort de se plaindre Quand la tête fait mal, Le mal est général. Air : Ne m'entendez-vous pas"")",0.9,Substitution
146,"('#arlequin', ""Bon !  Et quand cette année il serait né autant d'hommes qu'il s'est cueilli de grains de blé, de quelle utilité pourraient-ils être aux Coquettes.  Elles seraient passées avant qu'ils fussent mûrs.  Mais, Monsieur Disanvray, comment vivent les beaux Esprits à Pris ?  Font-ils toujours corps de Communauté, et n'ont-ils qu'un même Syndic avec les Fripiers ?"")","('#pierrot', ""Allons donc nous pourvoir À la foire galante. Qu'importe qu'on nous trompe, Mon ami, tu seras Cocu comme Pierrot."")",1.01,Substitution
