,quinault-isis,cahusac-l-algerien,Cost,Operation Type
52,"('#calliope', ""La Paix, la douce Paix  N'ose encore descendre du céleste séjour."")","('#thalie', ""Je m'attendais à ce propos moqueur ; Je sais que votre ton injuste, atrabilaire, Marqué toujours au coin de la colère , Retarde les progrès, inspire la terreur ; Vous ne corrigez point, votre art est de déplaire."")",1.05,Substitution
53,,"('#apollon', ""Tout est pour son chagrin une vaste matière De fiel, de critique et d'aigreur,"")",1.0,Deletion
54,,"('#thalie', ""L'orgueil n'a point de part à ce projet flatteur, Pour ce Roi bienfaisant c'est un zèle sincère. Il est comme les Dieux, tout ce qui part du coeur A le droit de le satisfaire."")",1.0,Deletion
55,"('#calliope #thalie #apollon', 'Près du Vainqueur allons attendre son bienheureux retour.')","('#clio', 'Nous vous seconderons.')",1.27,Substitution
56,,"('#uranie', 'Courons tout préparer.')",1.0,Deletion
57,"('#apollon', 'Ne parlons pas toujours de la guerre cruelle, Parlons des plaisirs et des jeux. Les Muses et les Arts  Vont signaler leur zèle, Je vais favoriser leurs voeux Nous préparons une fête nouvelle Pour le Héros qui les appelle Dans cet asile heureux')","('#melpomene', ""Un même zèle ET m'anime et m'inspire ; Mes spectacles pompeux que l'Univers admire, Plus dignes d'un Héros..."")",0.35,Substitution
58,"('#le-choeur', 'Ne parlons pas toujours de la guerre cruelle, Parlons des plaisirs et des jeux.')","('#thalie', ""Cessez de l'espérer : Votre talent est de faire pleurer, Et le mien est de faire rire, La joie anime l'air que la France respire, Dans ces jours de bonheur on doit me préférer. Mais vous n'y perdrez rien. Je vous destine un rôle Qui vous conviendra fort, il est taillé pour vous."")",1.44,Substitution
59,,"('#melpomene', 'Mais je le jouerai mal.')",1.0,Deletion
60,,"('#thalie', 'Fort bien sur ma parole.')",1.0,Deletion
61,,"('#melpomene', 'Eh ! Quel est-il ?')",1.0,Deletion
62,,"('#thalie', ""C'est un rôle de folle ; Vous allez nous effacer tous."")",1.0,Deletion
63,,"('#melpomene', 'Moi jouer une folle !.... En vérité Thalie... Mon état... ma grandeur...')",1.0,Deletion
64,,"('#thalie', ""J'ai tout fait pour le mieux, Croyez-moi, le grand sérieux N'est qu'une espèce de foliE."")",1.0,Deletion
65,"('#la-renommee', 'Hâtez-vous, Plaisirs, hâtez-vous De montrer vos charmes les plus doux.')","('#apollon', ""Aurai-je un rôle aussi ? Car je brûle d'envie..."")",0.6,Substitution
66,,"('#thalie', 'Il est tout prêt.')",1.0,Deletion
67,,"('#les-muses', 'Et moi ?')",1.0,Deletion
68,,"('#thalie', 'Chacune aura le sien.')",1.0,Deletion
69,,"('#la-satire', ""Pour moi je n'en veux point."")",1.0,Deletion
70,,"('#thalie', 'Ah ! Muse je vous prie. Je veux faire pour vous un effort de génie. Je vais vous transformer en un homme de bien.')",1.0,Deletion
71,,"('#la-satire', 'Je ne me prête point à cette fantaisie.')",1.0,Deletion
72,,"('#thalie', ""Cela ne vous engage à rien, C'est un rôle de Comédie. Allez vous préparer, secondez mon ardeur"")",1.0,Deletion
73,"('#apollon #neptune #la-renommee', 'Hâtez-vous, Plaisirs, hâtez-vous De montrer vos charmes les plus doux.')","('#thalie', ""Vous restez, tendre Polymnie, Le Ciel nous rend un Roi qui fait notre bonheur. Que vos chants, que les sons d'une aimable harmonie Célèbrent dans ces lieux cette insigne faveur. On entend un bruit confus d'instruments semblable à celui d'un Orchestre qui accorde."")",0.77,Substitution
74,"('#le-choeur', 'Hâtez-vous, Plaisirs, hâtez-vous De montrer vos charmes les plus doux.')","('#isabelle', ""Belle Clarice enfin vous déciderez-vous ? Un peu plus de gaîté dans vos regards éclate. Le fort d'Hassan deviendra-t-il plus doux ? À son égard cessez-vous d'être ingrate ?"")",0.32,Substitution
75,"('#hierax', ""Cessons d'aimer une infidèle, Évitons la honte cruelle De servir, d'adorer qui ne nous aime plus. Achevons de briser les noeuds qu'elle a rompus. Dégageons nous, sortons d'un si funeste empire. Hélas ! Malgré moi je soupire ! Ah ! Mon coeur quelle lâcheté ! Quel charme te retient dans un honteux martyre ? Tu n'as pas craint des fers qui nous ont tant coûté As-tu peur de ta liberté ? Revenez, revenez Liberté charmante Vous n'êtes que trop diligente Lorsqu'il faut dans un coeur faire place à l'Amour; Mais que vous êtes lente Lorsqu'un juste dépit presse votre retour."")","('#clarice', ""Chère Isabelle, Hassan attaque en vain mon coeur ; Mais malgré mon indifférence, Je sais qu'il est mon bienfaiteur, Et j'écoute avec complaisance L'amitié, la reconnaissance Qui me parlent en sa faveur. Ses sentiments pour moi peuvent seuls me déplaire."")",0.72,Substitution
76,"('#pirante', ""C'est trop entretenir Ces tristes rêveries; Venez, tournez vos pas sur ces rives fleuries Regardez ces flots argentés, Qui dans ces vallons écartés,  Font briller l'émail des prairies Interrompez vos soupirs Tout doit être ici; Ce beau séjour est l'asile Du repos et des plaisirs."")","('#isabelle', ""Ils auraient dû vous paraître odieux, Si le sort pour vous trop contraire Vous eût livré aux lois d'un maître impérieux ; Mais grâces au destin l'honneur le plus sévère N'a point à rougir en ces lieux. Hassan dans son sérail s'est montré comme un père Compatissant et généreux, Et chaque jour son amitié sincère Rassemble ici les plaisirs et les jeux."")",0.43,Substitution
77,"('#hierax', ""Depuis qu'une nymphe inconstante A trahi mon amour et m'a manqué de foy Ces lieux jadis si beaux n'ont plus rien qui m'enchante; Ce que j'aime a changé, tout est changé pour moi."")","('#clarice', ""Les plaisirs les plus vifs perdent le don de plaire, Lorsque le coeur n'a plus de goût pour eux."")",0.77,Substitution
78,"('#pirante', ""La fille d'Inachus hautement vous préfère A mille autres amants de votre sort jaloux; Vous avez l'aveu de son père En faveur d'Argus votre frère, La puissante Junon se déclare pour vous."")","('#isabelle', ""Hassan en sa saveur a bien des avantages ; Ils vaincront votre cruauté : Vous le savez, des Turcs il brave les usages, L'orgueil dans son pays ne l'a point arrêté. En Europe ses longs voyages Ont adouci ses moeurs, poli sa probité, Que le séjour d'Alger eut pu rendre sauvages ; Il n'a du Musulman que la simplicité ; Il s'est défait de sa sombre rudesse, Il a su du Français saisir l'urbanité La gaîté, la délicatesse, Et n'a point sa folie et sa légèreté. Sa figure, il est vrai, n'est rien moins qu'agréable."")",0.7,Substitution
79,"('#hierax', ""Si l'ingrate m'aimait, je serais son époux. Cette nymphe légère De jour en jour diffère Un hymen qu'autrefois elle avait cru si doux. L'inconstante n'a plus l'empressement extrême De cet amour naissant qui répondait au mien. Son changement paraît en dépit d'elle même Je ne le connais que trop bien, Sa bouche quelquefois dit encor qu'elle m'aime; Mais son coeur ni ses yeux ne m'en disent plus rien."")","('#clarice', ""Par ce défaut léger peut-on être arrêté ? Un homme est toujours bien dès qu'il est estimable Les qualités du coeur, un esprit sociable, De ce sexe sont la beauté. Je les vois dans Hassan, et je lui rends justice ; S'il la rendait à vos attraits, S'il vous offrait des voeux qu'il m'offre par caprice, Nous ferions tous trois satisfaits."")",0.28,Substitution
80,"('#pirante', ""Se peut-il qu'elle dissimule ! Après de serments, ne la croyez-vous pas ?"")","('#isabelle', ""Je l'avoue avec confiance, Si, comme Hassan l'assure, il allait dans la France Fixer avec nous son destin ; Sans en rougir j'accepterais sa main, Et je la chérirais plus que son opulence. Mon coeur est encor libre ...."")",0.87,Substitution
81,"('#hierax', ""Je ne les crus que trop, hélas !  Ces serments qui trompent mon coeur tendre et crédule; Ce fut dans ces vallons où par mille détours, Inachus prends plaisir à prolonger son cours; Ce fut sur son charment rivage, Que sa fille volage Me promit de m'aimer toujours. Le Zéphir fut témoin, l'onde fut attentive Quand la nymphe jura de ne changer jamais, Mais le Zéphir léger et l'onde fugitive Ont enfin emporté les serments qu'elle a faits. Je la vois, l'infidèle."")","('#clarice', ""Et le mien ne l'est pas : Voilà la source de mes peines. J'aurais moins à souffrir si mes faibles appas Ne l'avaient pas mis dans mes chaînes : Je vous surprends.... mais lisez dans mon coeur : D'Oberval à Marseille en devint le vainqueur, Presqu'au premier instant qu'il parut à ma vue, Son âme en me voyant à son tour fut émue : Ce que nous ressentions se peignait dans nos yeux, La sympathie agissait sur notre âme ; Il me fit l'aveu de ses feux ; Je ne lui cachai point le progrès de ma flamme, Nous nous aimions enfin, et nous étions heureux."")",0.04,Substitution
82,"('#pirante', 'Éclaircissez vous avec elle.')",,1.0,Insertion
83,"('#io', ""M'aimez vous ? puis-je m'en flatter ?"")","('#isabelle', ""Mais avec tant de soin pourquoi cacher ces noeuds ? D'Oberval est aimable, et je suis peu surprise..."")",1.06,Substitution
84,"('#hierax', ""Cruelle, en voulez vous douter ? En vain votre inconstance éclate, En vain elle m'anime à briser tous les noeuds Je vous aime toujours ingrate, Plus que vous ne voulez Et plus que je ne veux Je crains un funeste présage, Un aigle dévorant Vient de fondre à mes yeux, Sur un oiseau qui dans ces lieux M'entretenait d'un doux ramage Différez votre hymen, Suivons l'avis des Cieux. Notre hymen me déplaît qu'à votre coeur volage: Répondez moi de vous, je vous répond des Dieux. Vous juriez autrefois Que cette onde rebelle Se ferait vers sa source une route nouvelle Plutôt qu'on ne verrait votre coeur dégagé; Voyez couler ces flots dans cette vaste plaine C'est le même penchant qui toujours les entraîne. Leurs cours ne change point et vous avez changé"")","('#clarice', ""Hélas ! Vous le savez, je dépends de Dorise, Soeur de mon père, il avait en mourant, Ordonné qu'à ses lois je resterais soumise, Elle vit d_Oberval, il lui parut charmant. L'amour d'une rivale est toujours un tourment, Celle qu'on craint le moins peut faire une infidèle ; J'aimais, et je tremblais d'aimer un inconstant ; Dorise à mes regards était encor trop belle ; Mais par de nouveaux soins d_Oberval chaque jour Calmait ma jalousie, et ma frayeur mortelle, Et par bonheur ces soins si chers à mon amour, Dorise les prenait pour elle."")",0.0,Match
85,"('#io', ""Laissez moi revenir de mes frayeurs secrètes; J'attends de votre amour cet effort généreux."")","('#isabelle', ""C'est donc là cet amant qu'elle croit voir toujours, Et dont elle parle sans cesse ?"")",0.51,Substitution
86,"('#hierax', ""Je veux ce qui vous plaît, cruelle que vous êtes, Vous n'abusez que trop d'un amour malheureux !"")","('#clarice', ""C'est lui-même, et je vois assez par ses discours Que l'absence et l'amour redoublent tous les jours Ses visions, et sa faiblesse : Cependant d_Oberval fut contraint de partir, Et sans doute son inconstance Loin de nous sut le retenir : Souvent pour dissiper l'ennui de son absence, Nous nous promenions sur la mer : Ce jour qui nous fut si funeste, Vous voulûtes nous suivre, un corsaire d'Alger Surprit notre Vaisseau. Vous savez tout le reste."")",1.05,Substitution
87,"('#io', 'Non, je vous aime encor !')","('#isabelle', ""Des malheurs que le sort a déployés sur nous, Votre amitié me dédommage. Nos fers sont d'ailleurs assez doux : Hassan nous acheta ; c'est le Turc le plus sage Et le plus affable de tous."")",1.61,Substitution
88,"('#hierax', ""Quelle froideur extrême !  Inconstante, est-ce ainsi qu'on doit dire qu'on aime."")","('#clarice', ""Il est vrai ; mais en vain il m'offre son hommage, L'amour contre ses soins oppose d'autres traits : Il a gravé dans mon coeur une image. Que l'absence ou le temps n'effaceront jamais."")",1.26,Substitution
89,"('#io', ""C'est à tort que vous m'accusez, Vous avez vu toujours vos rivaux méprisés"")","('#isabelle', 'Je plaignais vos chagrins sans savoir vos secrets, Et maintenant je les partage : Pardonnez mon erreur ; mais depuis quelque temps Vos ennuis me semblaient moins grands ; Vous marquiez pour ces lieux bien moins de répugnance, Et tous ces heureux changements Je les attribuais à la reconnaissance.')",0.88,Substitution
90,"('#hierax', ""Le mal de mes rivaux N'égale point ma peine, La douce illusion d'une espérance vaine Ne les fait point tomber du faite du bonheur Aucun d'eux comme moi n'a perdu votre coeur; Je ne suis point accoutumé Quel tourment de cesser de plaire Lorsqu'on a fait l'essai du plaisir d'être aimé. Je ne le sens que trop Votre coeur se détache Et je ne sais qui me l'arrache"")","('#clarice', ""Je l'avouerai, de secrets mouvements Font passer dans mon coeur une joie inconnue ; Depuis cinq ou six jours ma douleur diminue... Vous le dirai-je ?... En de certains moments J'éprouve ces ravissements, Ce trouble, ces transports que m'inspirait la vue Du plus cher de tous les amants. Mon âme s'ouvre à des pressentiments, Et ma gaîté semble être revenue."")",0.2,Substitution
91,,"('#dorise', ""Félicitez Dorise toutes deux ; D'Oberval est ici, la chose est confirmé."")",1.0,Deletion
92,,"('#isabelle', 'Voilà de ses erreurs.')",1.0,Deletion
93,,"('#dorise', ""Je l'ai vu dans ces lieux..."")",1.0,Deletion
94,,"('#clarice', 'Eh quoi ! Dans ces jardins ?')",1.0,Deletion
95,,"('#dorise', 'Oui, mon âme est charmée.')",1.0,Deletion
96,,"('#clarice', 'Ô Ciel ! Mon coeur me dit que Dorise a raison.')",1.0,Deletion
97,,"('#isabelle', 'Dans ces jardins un homme ! Et d_Oberval encore ! Elle extravague.')",1.0,Deletion
98,,"('#clarice', 'Hélas !')",1.0,Deletion
99,"('#hierax', ""Je cherche en vain l'heureux amant Qui me dérobe un bien charmant Où j'ai cru devoir seul prétendre Je sentirais moins mon tourment Si je trouvais à qui m'en prendre Vous fuyez mes regards, Vous ne me dites rien; Il faut vous délivrer d'un fâcheux entretiens; Ma présence vous blesse et c'est trop vous contraindre."")","('#dorise', ""Cette affreuse prison Ne me sépare plus d'un amant que j'adore. Isabelle... Clarice... Il est toujours charmant ; Oui d_Oberval est un amant unique ; Je n'en saurais douter, il est tendre, constant, Et c'est son amour seul qui l'amène en Afrique... Mais soyez donc sensible au plaisir que je sens. À Clarice."")",0.3,Substitution
100,,"('#clarice', 'Je le partagerais sans_doute ; Mais des obstacles trop puissants...')",1.0,Deletion
101,,"('#isabelle', 'La chose est impossible, et choque le bon sens, Un Français au sérail ! Quelle folie !')",1.0,Deletion
102,"('#io', 'Jaloux sombre et chagrin, Partout où je vous vois, Vous ne cessez de vous plaindre Je voudrais vous aimer Autant que je le dois, Et vous me forcez à vous craindre.')","('#dorise', ""Écoute. Tout le jour tu me contredis ; Tu taxes tout ce que je dis D'illusion, de rêverie : Tu te crois raisonnable, et tu t'en applaudis ; Mais ton bon sens, ou plutôt ta manie, Donne un fond de tristesse à ce que tu prédis ; Désespérer de tout est ta vertu chérie. Va, reçois de moi cet avis : Un excès de raison est pis que la folie."")",0.62,Substitution
103,,"('#clarice', ""Peut-être qu'en effet...  Mais l'avez-vous bien vu ? De lui toujours préoccupée, Cent fois croyant le voir, vous vous êtes trompée... Dans le fond, de Dorise il est fort bien connu Il se pourrait... À Isabelle. À Dorise."")",1.0,Deletion
104,,"('#dorise', ""Tu peux m'en croire : L'amour nous donne de bons yeux. Hassan et lui s'entretenaient tous deux."")",1.0,Deletion
105,,"('#isabelle', 'Hassan et lui !... Nouvelle histoire. Chez ses femmes un Turc qui mène les galants ! De Paris cette mode arrivera peut-être.')",1.0,Deletion
106,,"('#clarice', 'Laissez-la dire...')",1.0,Deletion
107,,"('#isabelle', ""Eh quoi ! Vous pouvez l'écouter ?"")",1.0,Deletion
108,"('#hierax #io', ""Non, non, il ne tient qu'à vous De rendre notre sort plus doux Non, non, il ne tient qu'à vous De rendre mon coeur plus tendre Non, non, il ne tient qu'à vous De rendre mon coeur moins jaloux."")","('#dorise', ""À travers les barreaux qui grillent ma fenêtre Je les ai vus... de loin... mais je n'en puis douter... Je vais voir la fin de mes peines ; Mon cher d_Oberval vient hâter L'heureux moment qui brisera mes chaînes : J'en jurerais, il vient traiter de ma rançon."")",1.24,Substitution
109,,"('#isabelle', 'Mais par malheur Madame oublie Que nous avons caché notre vrai nom, Notre état, et notre Patrie.')",1.0,Deletion
110,,"('#dorise', 'À votre froid bon sens nous dûmes cet avis.')",1.0,Deletion
111,"('#micene', ""Ce prince trop longtemps dans ses chagrins s'obstine On pardonne au premier transport D'un amour qui se plaint à tort Et qui sans raison se mutine. Mais à la fin on se chagrine Contre un Amour chagrin."")","('#clarice', ""Dans une aventure aussi triste, Nos noms du moins restaient ensevelis Sous les faux que nous avons pris De Fatmé, Fatime, Agariste. Nos parents à Marseille ont pleuré notre mort : Notre vaisseau ne rentrant point au port, Ils auront supposé qu'il avait fait naufrage ; lis auraient trop rougi de notre sort, S'ils avaient pu savoir notre esclavage."")",0.76,Substitution
112,,"('#isabelle', ""Nous ne nous doutions point qu'Hassan fût si poli."")",1.0,Deletion
113,"('#io', ""Je veux bien te parler enfin sans artifice Ce prince infortuné s'alarme avec justice. Le maître souverain de la terre et des cieux Entreprend de plaire à mes yeux. Du coeur de Jupiter l'amour m'offre l'empire. Mercure est venu me le dire Je le vois chaque jour descendre dans ces lieux. Mon coeur autant qu'il peut  Fait toujours résistance. Et pour attaquer ma constance, Il ne fallait pas moins que le plus grand des Dieux."")","('#dorise', ""Je vous dis en un mot, un fait bien établi...  À Marseille d'ailleurs on a tant de nouvelles De tout ce qui se passe ici... L'amour de nos malheurs peut l'avoir éclairci, Et mes deux yeux sont des témoins fidèles. Hassan vient. Il vaincra votre incrédulité."")",0.25,Substitution
114,,"('#dorise', 'Hassan me rendra-t-il enfin la liberté ?')",1.0,Deletion
115,,"('#hassan', 'Agariste dans peu vous ferez satisfaite.')",1.0,Deletion
116,,"('#dorise', 'En hâtant ma félicité, Elle en deviendra plus parfaite.')",1.0,Deletion
117,,"('#hassan', 'Je vais céder à votre empressement. Que votre inquiétude cesse.')",1.0,Deletion
118,,"('#dorise', 'Ai-je fait un faux jugement ?')",1.0,Deletion
