corneillet-festin-pierre,moliere-dom-juan,Score
"('#don-juan', ""Que lui fais-tu penser d'un départ si prompt ?"")",-,0.0
"('#sganarelle', ""Moi ? Rien du tout, ce n'est point mon affaire."")",-,0.0
"('#don-juan', ""Mais toi, Qu'en penses-tu ?"")",-,0.0
"('#sganarelle', 'Je crois, sans trop juger en bête, Que vous avez encor quelque amourette en tête.')",-,0.0
"('#don-juan', 'Tu le crois ?')",-,0.0
"('#sganarelle', 'Oui.')",-,0.0
"('#don-juan', 'Ma foi, tu crois juste, et mon coeur Pour un objet nouveau sent la plus forte ardeur.')",-,0.0
"('#sganarelle', ""Eh mon_Dieu ! J'entrevois d'abord ce qui s'y passe. Votre coeur n'aime point à demeurer en place, Et sans lui faire tort sur la fidélité, C'est le plus grand coureur qui jamais ait été. Tout est de votre goût, brune ou blonde, n'importe."")",-,0.0
"('#don-juan', ""Et n'ai-je pas raison d'en user de la sorte ?"")",-,0.0
"('#sganarelle', 'Hé monsieur...')",-,0.0
"('#don-juan', 'Quoi ?')",-,0.0
"('#sganarelle', ""Sans doute ; il est aisé de voir Que vous avez raison si vous voulez l'avoir ; Mais si, comme on n'est pas bon juge dans sa cause, Vous ne le vouliez pas, ce serait autre chose."")",-,0.0
"('#don-juan', 'Et bien, je te permets de parler librement.')",-,0.0
"('#sganarelle', ""En ce cas je vous dis très sérieusement, Qu'on trouve fort vilain qu'allant de belle en belle, Vous fassiez vanité partout d'être Infidèle."")",-,0.0
"('#don-juan', ""Quoi, si d'un bel Objet je suis d'abord touché, Tu veux que pour toujours j'y demeure attaché, Qu'un éternel amour de ma foi lui réponde, Et me laisse sans yeux pour le reste du monde ? Le rare et doux plaisir qui se trouve en aimant, S'il faut s'ensevelir dans un attachement, Renoncer pour lui seul à toute autre tendresse, Et vouloir sottement mourir dès sa jeunesse ! Va crois-moi, la constance était bonne jadis, Où les leçons d'aimer venaient des Amadis ; Mais à présent, on suit des lois plus naturelles. On aime sans façon tout ce qu'on voit de belles, Et l'amour qu'en nos cours la première a produit, N'ôte rien aux appas de celle qui la suit. Pour moi, qui ne saurais faire l'inexorable, Je me donne partout où je trouve l'aimable, Et tout ce qu'une belle a sur moi de pouvoir, Ne me rend point ailleurs incapable de voir. Sans me vouloir piquer du nom d'amant fidèle, J'ai des yeux pour une autre aussi bien que pour elle. Et dès qu'un beau visage a demandé mon coeur, Je ne puis me résoudre à l'armer de rigueur. Ravi de voir qu'il cède à la douce contrainte, Qui d'abord laisse en lui toute autre flamme éteinte, Je l'abandonne aux traits dont il aime les coups, Et si j'en avais cent, je les donnerais tous."")",-,0.0
"('#sganarelle', 'Vous êtes libéral.')",-,0.0
"('#don-juan', ""Que de douceurs charmantes Font goûter aux amants les passions naissantes Si pour chaque beauté je m'enflamme aisément, Le vrai plaisir d'aimer est dans le changement. Il consiste à pouvoir, par d'empressés hommages, Forcer d'un jeune coeur les scrupuleux ombrages, À désarmer sa crainte, à voir de jour en jour Par cent petits progrès avancer notre amour ; À vaincre doucement la pudeur innocente, Qu'oppose à nos désirs une âme chancelante, Et la réduire enfin, à force de parler, À se laisser conduire où nous voulons aller. Mais quand on a vaincu, la passion expire. Ne souhaitant plus rien, on n'a plus rien à dire ; À l'amour satisfait tout son charme est ôté, Et nous nous endormons dans sa tranquillité, Si quelque objet nouveau, par sa conquête à faire, Ne réveille en nos cours l'ambition de plaire. Enfin j'aime en amour les exploits différents ; Et j'ai sur ce sujet l'ardeur des conquérants, Qui sans cesse courant de victoire en victoire, Ne peuvent se résoudre à voir borner leur gloire. De mes vastes désirs le vol précipité Par cent objets vaincus ne peut être arrêté. Je sens mon coeur plus loin capable de s'étendre, Et je souhaiterais, comme fit Alexandre, Qu'il fût un autre monde encor à découvrir, Où je pusse en amour chercher à con quérir."")",-,0.0
"('#sganarelle', 'Comme vous débitez ! Ma foi, je vous admire. Votre langue...')",-,0.0
"('#don-juan', ""Qu'as-tu là-dessus à me dire ?"")",-,0.0
"('#sganarelle', ""À vous dire ? Moi ? J'ai... mais que dirais-je ? Rien, Car quoi que vous disiez, vous le tournez si bien, Que sans avoir raison, il semble à vous entendre, Qu'on soit quand vous parlez, obligé de se rendre. J'avais pour disputer des raisons dans l'esprit... Je veux une autre fois les mettre par écrit. Avec vous sans cela je n'aurais qu'à me taire, Vous me brouilleriez tout."")",-,0.0
"('#don-juan', 'Tu ne saurais mieux faire.')",-,0.0
"('#sganarelle', ""Mais, Monsieur, par hasard, me serait-il permis De vous dire qu'à moi, comme à tous vos amis, Votre genre de vie un tant soit peu fait peine ?"")",-,0.0
"('#don-juan', 'Le fat ! Et quelle vie est-ce donc que je mène ?')",-,0.0
"('#sganarelle', 'Fort bonne, assurément ; mais enfin... quelquefois... Par exemple, vous voir marier tous les mois.')",-,0.0
"('#don-juan', 'Est-il rien de plus doux ? Rien qui soit plus capable...')",-,0.0
"('#sganarelle', ""Il est vrai, je conçois cela fort agréable ; Et c'est, si sans péché j'en avais le pouvoir, Un divertissement que je voudrais avoir. Mais sans aucun respect pour les plus saints mystères..."")",-,0.0
"('#don-juan', ""Ne t'embarrasse point, ce sont là mes affaires."")",-,0.0
"('#sganarelle', ""On doit craindre le Ciel, et jamais Libertin N'a fait encor, dit-on, qu'une méchante fin."")",-,0.0
"('#don-juan', ""Je hais la remontrance, et quand on s'y hasarde..."")",-,0.0
"('#sganarelle', 'Oh, ce n\'est pas à vous que j\'en fais, Dieu m\'en garde, J\'aurais tort de vouloir vous donner des leçons. Si vous vous égarez, vous avez vos raisons ; Et quand vous faites mal, comme c\'est l\'ordinaire, Du moins vous savez bien qu\'il vous plaît de le faire. Bon cela ; mais il est certains Impertinents, À droit de fort esprit hardis, entreprenants, Qui sans savoir pourquoi, traitent de ridicules Les plus justes motifs des plus sages scrupules, Et qui font vanité de ne trembler de rien, Par l\'entêtement seul que cela leur sied bien. Si j\'avais par malheur un tel maître ; âme crasse, Lui dirais-je tout net, le regardant en face, ""Osez-vous bien ainsi braver à tous moments Ce que l\'Enfer pour vous amasse de tourments ? Un rien, un mirmidon, un petit ver de terre, Au Ciel impunément croit déclarer la guerre ? Allez, malheur cent fois à qui vous applaudit. C\'est bien à vous (Je parle au maître que j\'ai dit) À vouloir vous railler des choses les plus saintes, À secouer le joug des plus louables craintes. Pour avoir de grands biens et de la qualité, Une perruque blonde, être propre, ajusté, Tout en couleur de feu, pensez-vous (Prenez garde. Ce n\'est pas vous au moins que tout ceci regarde.) Pensez-vous en avoir plus de droit d\'éclater Contre les vérités dont vous osez douter ? De moi, votre valet, apprenez, je vous prie, Qu\'en vain les libertins de tout font raillerie ; Que le Ciel tôt ou tard pour leur punition...""')",-,0.0
"('#don-juan', 'Paix.')",-,0.0
"('#sganarelle', 'Ça voyons. De quoi serait-il question ?')",-,0.0
"('#don-juan', ""De te dire en deux mots qu'une flamme nouvelle Ici, sans t'en parler, m'a fait suivre une belle."")",-,0.0
"('#sganarelle', ""Et n'y craignez-vous rien pour ce Commandeur mort ?"")",-,0.0
"('#don-juan', ""Je l'ai si bien tué, chacun le sait."")",-,0.0
"('#sganarelle', ""D'accord. On ne peut rien de mieux, et s'il osait s'en plaindre, Il aurait tort, mais..."")",-,0.0
"('#don-juan', 'Quoi ?')",-,0.0
"('#sganarelle', 'Ses parents sont à craindre.')",-,0.0
"('#don-juan', ""Laissons-là tes frayeurs, et songeons seulement À ce qui me peut faire un destin tout charmant. Celle qui me réduit à soupirer pour elle, Est une fiancée aimable, jeune, belle, Et conduite en ces lieux où j'ai suivi ses pas, Par l'heureux, à qui sont destinés tant d'appas. Je la vis par hasard, et j'eus cet avantage, Dans le temps qu'ils songeaient à faire leur voyage. Il faut te l'avouer. Jamais jusqu'à ce jour Je n'ai vu deux amants se montrer tant d'amour. De leurs cours trop unis la tendresse visible, Me frappant tout_à_coup, rendit le mien sensible, Et les voyant céder aux transports les plus doux, Si je devins amant, je fus amant jaloux. Oui, je ne pus souffrir sans un dépit extrême, Qu'ils s'aimassent autant que l'un et l'autre s'aime. Ce bizarre chagrin alluma mes désirs ; Je me fis un plaisir de troubler leurs plaisirs, De rompre adroitement l'étroite intelligence, Dont mon coeur délicat se faisait une offense. N'ayant pu réussir, plus amoureux toujours, C'est au dernier remède enfin que j'ai recours. Cet époux prétendu, dont le bonheur me blesse, Doit aujourd'hui sur mer régaler sa maîtresse. Sans t'en avoir rien dit, j'ai dans mes intérêts Quelques gens qu'au besoin nous trouverons tout prêts. Ils auront une barque, où la belle, enlevée, Rendra de mon amour la victoire achevée"")",-,0.0
"('#sganarelle', 'Ah ! Monsieur.')",-,0.0
"('#don-juan', 'Heu !')",-,0.0
"('#sganarelle', ""C'est là le prendre comme il faut. Vous faites bien."")",-,0.0
"('#don-juan', ""L'amour n'est pas un grand défaut."")",-,0.0
"('#sganarelle', ""Sottise ; il n'est rien tel que de se satisfaire. La méchante âme !"")",-,0.0
"('#don-juan', ""Allons songer à cette affaire. Voici l'heure à peu près où ceux... Mais qu'est ceci ? Tu ne m'avais pas dit qu'Elvire était ici."")",-,0.0
"('#sganarelle', 'Savais-je que si tôt vous la verriez paraître ?')",-,0.0
"('#elvire', ""Don Juan voudra-t-il encor me reconnaître, Et puis-je me flatter que le soin que j'ai pris..."")",-,0.0
"('#don-juan', ""Madame, à dire vrai, j'en suis un peu surpris. Rien ne devait ici presser votre voyage."")",-,0.0
"('#elvire', ""J'y viens faire sans doute un méchant personnage, Et par ce froid accueil, je commence de voir L'erreur où m'avait mise un trop crédule espoir. J'admire ma faiblesse et l'imprudence extrême Qui m'a fait consentir à me tromper moi-même, À démentir mes yeux sur une trahison, Où mon coeur refusait de croire ma raison. Oui, pour vous contre moi ma tendresse séduite, Quoi qu'on pût m'opposer, excusait votre fuite. Cent soupçons qui pouvaient alarmer mon amour, Avaient beau contre vous me parler chaque jour, À vous justifier toujours trop favorable, J'en rejetais la voix qui vous rendait coupable, Et je ne regardais dans ce trouble odieux, Que ce qui vous peignait innocent à mes yeux. Mais un accueil si froid et si plein de surprise, M'apprend trop ce qu'il faut que pour vous je me dise. Je n'ai plus à douter qu'un honteux repentir Ne vous ait sans rien dire obligé de partir. J'en veux pourtant, j'en veux, dans mon malheur extrême, Entendre les raisons de votre bouche même. Parlez donc, et sachons par où j'ai mérité, Ce qu'ose contre moi votre infidélité."")",-,0.0
"('#don-juan', ""Si mon éloignement m'a fait croire infidèle, J'ai mes raisons, Madame, et voilà Sganarelle, Qui vous dira pourquoi..."")",-,0.0
"('#sganarelle', 'Je le dirai ? Fort bien.')",-,0.0
"('#don-juan', 'Il sait...')",-,0.0
"('#sganarelle', ""Moi ? S'il vous plaît, Monsieur je ne sais rien."")",-,0.0
"('#elvire', ""Et bien, qu'il parle ; il faut souffrir tout pour vous plaire."")",-,0.0
"('#don-juan', 'Allons, parle à Madame, il ne faut point se taire.')",-,0.0
"('#sganarelle', 'Vous vous moquez, Monsieur.')",-,0.0
"('#elvire', ""Puisqu'on le veut ainsi, Approchez, et voyons ce mystère éclairci. Quoi, tous deux interdits ! Est-ce là pour confondre..."")",-,0.0
"('#don-juan', 'Tu ne répondras pas ?')",-,0.0
"('#sganarelle', ""Je n'ai rien à répondre."")",-,0.0
"('#don-juan', 'Veux-tu parler, te dis-je ?')",-,0.0
"('#sganarelle', 'Et bien, allons tout doux. Madame...')",-,0.0
"('#elvire', 'Quoi ?')",-,0.0
"('#sganarelle', 'Monsieur.')",-,0.0
"('#don-juan', 'Redoute mon courroux.')",-,0.0
"('#sganarelle', ""Madame, un autre monde avec quelque autre chose, Comme les conquérants, Alexandre, est la cause Qui nous a fait en hâte, et sans vous dire adieu, Décamper l'un et l'autre, et venir en ce lieu. Voilà pour vous, Monsieur, tout ce que je puis faire."")",-,0.0
"('#elvire', ""Vous plaît-il, Don Juan, m'éclaircir ce mystère ?"")",-,0.0
"('#don-juan', 'Madame, à dire vrai, pour ne pas abuser...')",-,0.0
"('#elvire', ""Ah, que vous savez peu l'art de déguiser ! Pour un homme de Cour qui doit avec étude De feindre, de tromper avoir pris l'habitude, Demeurer interdit, c'est mal faire valoir La noble effronterie où je vous devrais voir. Que ne me jurez-vous que vous êtes le même ; Que vous m'aimez toujours autant que je vous aime, Et que la seule mort dégageant votre foi, Rompra l'attachement que vous avez pour moi ? Que ne me dites-vous qu'une affaire importante A causé le départ, dont j'ai pris l'épouvante ; Que si de son secret j'ai lieu de m'offenser, Vous avez craint les pleurs qu'il m'aurait fait verser Qu'ici d'un long séjour ne pouvant vous défendre, Je n'ai qu'à vous quitter, et vous aller attendre ; Que vous me rejoindrez avec l'empressement, Qu'a pour ce qu'il adore un véritable amant, Et qu'éloigné de moi, l'ardeur qui vous enflamme Vous rend ce qu'est un corps séparé de son âme ? Voilà par où du moins vous me feriez douter, D'un oubli que mes feux devraient peu redouter"")",-,0.0
"('#don-juan', ""Madame, puisqu'il faut parler avec franchise, Apprenez ce qu'en vain mon trouble vous déguise. Je ne vous dirai point que mes empressements Vous conservent toujours les mêmes sentiments, Et que loin de vos yeux, ma juste impatience Pour le plus grand des maux me fait compter l'absence. Si j'ai pu me résoudre à fuir, à vous quitter, Je n'ai pris ce dessein que pour vous éviter. Non que mon coeur encor, trop touché de vos charmes, N'ait le même penchant à vous rendre les armes ; Mais un pressant scrupule à qui j'ai dû céder, M'ouvrant les yeux de l'âme a su m'intimider, Et fait voir qu'avec vous, quelque amour qui m'engage, Je ne puis, sans péché, demeurer davantage. J'ai fait réflexion que pour vous épouser, Moi-même trop longtemps j'ai voulu m'abuser ; Que je vous ai forcée à faire au Ciel l'injure De rompre en ma faveur une sainte clôture, Où par des veux sacrés vous aviez entrepris De garder pour le monde un éternel mépris. Sur ces réflexions, un repentir sincère M'a fait appréhender la céleste colère. J'ai cru que votre hymen trop mal autorisé, N'était pour tous les deux qu'un crime déguisé, Et que je ne pouvais en éviter les peines, Qu'en tâchant de vous rendre à vos premières chaînes, N'en doutez point ; voilà, quoi qu'avec mille ennuis, Et pourquoi je m'éloigne, et pourquoi je vous fuis. Par un frivole amour, voudriez-vous, madame, Combattre le remords qui déchire mon âme, Et qu'en vous retenant, j'attirasse sur nous Du Ciel toujours vengeur l'implacable courroux ?"")",-,0.0
"('#elvire', ""Ah ! Scélérat, ton coeur aussi lâche que traître, Commence tout entier à se faire connaître Et ce qui me confond dans tout ce que j'attends, Je le connais enfin lorsqu'il n'en est plus temps. Mais sache, à me tromper quand ce coeur s'étudie, Que ta perte suivra ta noire perfidie, Et que ce même Ciel, dont tu t'oses railler, À me venger de toi voudra bien travailler."")",-,0.0
"('#sganarelle', ""Se peut-il qu'il résiste, et que rien ne l'étonne ! Monsieur... À Don Juan."")",-,0.0
"('#don-juan', ""De fausseté je vois qu'on me soupçonne. Mais Madame..."")",-,0.0
"('#elvire', ""Il suffit, je t'ai trop écouté. En ouïr davantage est une lâcheté, Et quoi qu'on ait à dire, il faut qu'on se surmonte, Pour ne se faire pas trop expliquer sa honte. Ne te figure point qu'en reproches en l'air Mon courroux contre toi veuille ici s'exhaler. Tout ce qu'il peut avoir d'ardeur, de violence, Se réserve à mieux faire éclater ma vengeance. Je te le dis encor, le Ciel armé pour moi Punira tôt ou tard ton manquement de foi ; Et si tu ne crains point sa justice blessée, Crains du moins la fureur d'une femme offensée. Elle sort avec Gusman, et Don Juan la regarde partir. "")",-,0.0
"('#sganarelle', 'Il ne dit mot, il rêve, et les yeux sur les siens... Hélas ! Si le remords le pouvait prendre.')",-,0.0
"('#don-juan', ""Viens, Il est temps d'achever l'amoureuse entreprise, Qui me livre l'objet dont mon âme est éprise. Suis-moi."")",-,0.0
"('#sganarelle', ""Le détestable ! À quel maître maudit Malgré moi si longtemps mon malheur m'asservit !"")",-,0.0
"('#charlotte', ""Notre-dinse, Piarrot, pour les tirer de paine, Tu t'es là rencontré bian à point."")",-,0.0
"('#pierrot', ""Oh, marguenne. Sans nous c'en était fait."")",-,0.0
"('#charlotte', 'Je le crois bian.')",-,0.0
-,"('#sganarelle', ""Quoi que puisse dire Aristote et toute la Philosophie, il n'est rien d'égal au tabac : c'est la passion des honnêtes gens, et qui vit sans tabac n'est pas digne de vivre ; non seulement il réjouit et purge les cerveaux humains ; mais encore il instruit les âmes à la vertu, et l'on apprend avec lui à devenir honnête homme.  Ne voyez-vous pas bien, dès qu'on en prend, de quelle manière obligeante on en use avec tout le monde, et comme on est ravi d'en donner à droit et à gauche, partout où l'on se trouve ?  On n'attend pas même qu'on en demande, et l'on court au-devant du souhait des gens : tant il est vrai, que le tabac inspire des sentiments d'honneur, et de vertu, à tous ceux qui en prennent.  Mais c'est assez de cette matière, reprenons un peu notre discours.  Si bien donc, cher Gusman, que Done Elvire, ta maîtresse, surprise de notre départ, s'est mise en campagne après nous ; et son coeur, que mon maître a su toucher trop fortement, n'a pu vivre, dis-tu, sans le venir chercher ici ? Veux-tu qu'entre nous je te dise ma pensée ; j'ai peur qu'elle ne soit mal payée de son amour, que son voyage en cette ville produise peu de fruit, et que vous eussiez autant gagné à ne bouger de là. "")",0.0
-,"('#gusman', ""Et la raison encore, dis-moi, je te prie, Sganarelle, qui peut t'inspirer une peur d'un si mauvais augure ?  Ton maître t'a-t-il ouvert son coeur là-dessus, et t'a-t-il dit qu'il eût pour nous quelque froideur qui l'ait obligé à partir ? "")",0.0
-,"('#sganarelle', ""Non pas, mais, à vue de pays, je connais à peu près le train des choses, et sans qu'il m'ait encore rien dit je gagerais presque que l'affaire va là.  Je pourrais peut-être me tromper ; mais enfin, sur de tels sujets, l'expérience m'a pu donner quelques lumières. "")",0.0
-,"('#gusman', 'Quoi, ce départ si peu prévu, serait une infidélité de Don Juan ?  Il pourrait faire cette injure aux chastes feux de Done Elvire ? ')",0.0
-,"('#sganarelle', ""Non, c'est qu'il est jeune encore, et qu'il n'a pas le courage. "")",0.0
-,"('#gusman', 'Un homme de sa qualité ferait une action si lâche ? ')",0.0
-,"('#sganarelle', ""Eh oui, sa qualité !  La raison en est belle, et c'est par là qu'il s'empêcherait des choses. "")",0.0
-,"('#gusman', 'Mais les saints noeuds du mariage le tiennent engagé.')",0.0
-,"('#sganarelle', 'Eh !  Mon pauvre Gusman, mon ami, tu ne sais pas encore, crois-moi, quel homme est Don Juan. ')",0.0
-,"('#gusman', ""Je ne sais pas, de vrai, quel homme il peut être, s'il faut qu'il nous ait fait cette perfidie ; et je ne comprends point comme après tant d'amour et tant d'impatience témoignée, tant d'hommages pressants, de voeux, de soupirs, et de larmes, tant de lettres passionnées, de protestations ardentes et de serments réitérés ; tant de transports, enfin, et tant d'emportements qu'il a fait paraître, jusqu'à forcer dans sa passion l'obstacle sacré d'un couvent, pour mettre Done Elvire en sa puissance ; je ne comprends pas, dis-je, comme après tout cela il aurait le coeur de pouvoir manquer à sa parole. "")",0.0
-,"('#sganarelle', ""Je n'ai pas grande peine à le comprendre moi, et si tu connaissais le pèlerin, tu trouverais la chose assez facile pour lui.  Je ne dis pas qu'il ait changé de sentiments pour Done Elvire, je n'en ai point de certitude encore : tu sais que par son ordre je partis avant lui, et depuis son arrivée il ne m'a point entretenu, mais par précaution, je t'apprends (inter nos,) que tu vois en Don Juan mon maître, le plus grand scélérat que la terre ait jamais porté, un enragé, un chien, un démon, un Turc, un hérétique, qui ne croit, ni Ciel, ni Enfer, ni Diale, qui passe cette vie en véritable bête brute, un pourceau d'Épicure, un vrai Sardanapale, qui ferme l'oreille à toutes les remontrances qu'on lui peut faire, et traite de billevesées tout ce que nous croyons.  Tu me dis qu'il a épousé ta maîtresse, crois qu'il aurait plus fait pour sa passion, et qu'avec elle il aurait encore épousé toi, son chien et son chat.  Un mariage ne lui coûte rien à contracter, il ne se sert point d'autres pièges pour attraper les belles, et c'est un épouseur à toutes mains, Dame, Demoiselle, Bourgeoise, Paysanne, il ne trouve rien de trop chaud, ni de trop froid pour lui ; et si je te disais le nom de toutes celles qu'il a épousées en divers lieux, ce serait un chapitre à durer jusques au soir.  Tu demeures surpris, et changes de couleur à ce discours ; ce n'est là qu'une ébauche du personnage, et pour en achever le portrait, il faudrait bien d'autres coups de pinceau, suffit qu'il faut que le courroux du Ciel l'accable quelque jour : qu'il me vaudrait bien mieux d'être au diable, que d'être à lui, et qu'il me fait voir tant d'horreurs, que je souhaiterais qu'il fût déjà je ne sais où ; mais un grand Seigneur méchant homme est une terrible chose ; il faut que je lui sois fidèle en dépit que j'en aie, la crainte en moi fait l'office du zèle, bride mes sentiments, et me réduit d'applaudir bien souvent à ce que mon âme déteste.  Le voilà qui vient se promener dans ce Palais ; séparons-nous ; écoute, au moins, je t'ai fait cette confidence avec franchise, et cela m'est sorti un peu bien vite de la bouche ; mais s'il fallait qu'il en vînt quelque chose à ses oreilles, je dirais hautement que tu aurais menti. "")",0.0
-,"('#don-juan', ""Quel homme te parlait là, il a bien de l'air ce me semble du bon Gusman de Dona Elvire. "")",0.0
-,"('#sganarelle', ""C'est quelque chose aussi à peu près de cela. "")",0.0
-,"('#don-juan', ""Quoi, c'est lui ? "")",0.0
-,"('#sganarelle', 'Lui-même. ')",0.0
-,"('#don-juan', 'Et depuis quand est-il en cette ville ? ')",0.0
-,"('#sganarelle', ""D'hier au soir. "")",0.0
-,"('#don-juan', ""Et quel sujet l'amène ? "")",0.0
-,"('#sganarelle', 'Je crois que vous jugez assez ce qui le peut inquiéter. ')",0.0
-,"('#don-juan', 'Notre départ, sans doute ? ')",0.0
-,"('#sganarelle', ""Le bonhomme en est tout mortifié, et m'en demandait le sujet. "")",0.0
-,"('#don-juan', 'Et quelle réponse as-tu faite ? ')",0.0
-,"('#sganarelle', ""Que vous ne m'en aviez rien dit. "")",0.0
