schelandre-tyr-sidon-i,schelandre-tyr-sidon-ii,Score
"('#abdolomin', ""Ô filles de la nuit, inexorables parques, Qui, des moindres pasteurs et des plus grands monarques Filant les ans divers sur eux exécutés, Les éternels destins dans le ciel projetés, D'où vient, malignes soeurs, que vos funestes forces Retranchent tout_à_coup des plus jeunes les forces ; De ceux le plus souvent moissonnent le printemps Qui devraient et voudraient respirer plus longtemps, Et ceux qui, saouls des biens, las des maux de ce monde, N'ont autre ambition qu'une fosse profonde, On les voit tous courbés, malsains et mal plaisants, Traîner à contre-coeur le fardeau de leurs ans ? Ô mort ! Que tardes-tu que tu ne viens dissoudre Cette inutile chair en sa première poudre ? Que me peut-il rester à dévider ici De repos, de travail, de joie ou de souci ? Ai-je quelque plaisir ? Sens-je quelque amertume Que l'usage commun ne me tourne en coutume ? N'ai-je point assez vu les détours et retours De la reine sans yeux qui domine en nos jours Au gré du vent muable et de l'onde flottante ? Peut-elle plus forger sur sa boule inconstante Un sort doux ou fâcheux que je n'ai éprouvé ? Ou bien, si quelque choc m'est encor réservé, Que je ne prévois point (car son ire attisée De malheurs tous nouveaux ne peut être épuisée), Ravi-moi, douce mort, et rends d'un coup de faux Invisible ma cendre à ses derniers assauts. Ha ! Si, comme l'on croit, et facile et glissante Était à tous venants d'Averne la descente, Le mortel ici-bas braverait les malheurs Et n'attendrait jamais des extrêmes douleurs. « On ne doit de tout point appeler misérable Qui peut prendre à propos un trépas honorable. » Si les secrets chaînons qui jusqu'à ce jourd'hui Ont accroché mon âme en son fragile étui Se pouvaient élargir sans l'expresse ouverture Du grand maître qui tient l'empire de nature, Jà dès maintes moissons s'étendraient en repos Sous la poudreuse tombe et mes maux et mes os. « Vivre à qui veut mourir n'est pas moins un martyre Que mourir est fâcheux à qui vivre désire » Humains infortunés, las ! D'où vient que toujours Vos plus ardents souhaits rencontrent à rebours, Et que ceux d'entre vous auxquels semblent mieux rire Les plus âpres desseins où leur travail aspire Enfin n'y trouvent pas, en étant possesseurs, Ce qu'ils s'y promettaient de biens et de douceurs ? Car, tant que vous vivez, vos âmes non contentes Ne conçoivent, chétifs, que nouvelles attentes, Et parmi tant d'objets dont l'amour vous époint, Vous prisez toujours plus ce que vous n'avez point. Mais le plus vain désir dont s'abusent tant d'hommes, C'est dans l'ambition des grandeurs où nous sommes, Rois gênés de soucis, qui parmi nos honneurs Sommes toujours en butte aux chagrins et frayeurs. Ô cent fois plus heureux ceux qui passent leurs âges À guider un troupeau sur l'émail des herbages ! Si leur sceptre n'est d'or, mais de frêne ébranché ; Si leur corps n'est de pourpre, ains de toile caché ; Si pour mets plus exquis ils ont leur panetière, Leur hutte pour palais, la paille pour litière, Pour leur suite un matin ; si leur nom n'est connu Qu'en un chétif hameau dont leur tige est venu, Aussi sont-ils exempts de la mordante envie ; Leur âme en bas état est d'honneur assouvie ; Ils dorment en repos, sans crainte et sans soupçons ; On n'espionne pas leurs humeurs et façons ; Ils n'ont à contenter tant d'avides sangsues Qui briguent dans les cours des pensions indues ; Ils sont pleiges d'eux seuls, et ne sont obligés De répondre en autrui du droit des mal-jugés ; Ils n'ont soin des méfaits dont ils ne sont pas cause, Le fardeau d'un État sur leur dos ne fait pause, Ils ne sont appelés, par blâmes différents, Si paisibles, couards ; si justiciers, tyrans. « Plus un mortel est grand, plus grande est sa ruine Quand le sort impiteux contre lui se mutine ; Plus grands sont ses malheurs, plus aussi ses péchés Sont du babil piquant d'un vulgaire toucher. » Misérable maîtrise, ou plutôt servitude, Qui nous fait grisonner par son inquiétude ! Ô dangereux bandeau, dont tout homme chargé Outrage ses voisins ou s'en voit outragé, Si bien que l'un répugne à l'âme juste et sage, L'autre pousse en fureur un généreux courage ! Depuis qu'un vieil ami du vainqueur Macédon Mit en mes simples mains le sceptre de Sidon, Combien ai-je tâché d'ombrager mes contrées Sous l'aile de la paix, si longtemps désastrées ! Paix, la fille du ciel, la mère des vertus, Le juste cavesson des mutins abattus, Nourrice des bons arts, saint noeud de concordance, Trésor de tout bonheur, et corne d'abondance ; Paix qui, peuplant la terre en dépit de la mort, Rend herbeux et désert le charontide port : Ô paix ! Mon cher désir, qu'ai-je fait pour t'atteindre Et pour ce grand brasier dans mon terroir éteindre ? Qu'ai-je fait pour changer nos douleurs en soulas, Nos corselets en socs, en faux nos coutelas ! J'en atteste aujourd'hui les majestés suprêmes."")",-,0.0
"('#balorte', ""Sire, tout l'univers, vos adversaires mêmes, Vous le confesseront, et que par piété Vous mettiez en avant un trop libre traité ; Voire quittant du vôtre, encore que pour l'heure D'entre ses régions vous teniez la meilleure."")",-,0.0
"('#abdolomin', ""Que me servait-il, las ! Si cet avide roi Ne prétendait pas moins que ma couronne et moi ? Maudite faim d'honneur, que d'horribles carnages Sont provenus de toi sur nos tristes rivages, Depuis que le flambeau qui marque les saisons A logé douze fois en ses douze maisons ! Les cieux en ont horreur ; ses feux pleins de vengeance Ne dardent plus sur nous qu'une gauche influence. Les champs, les ruisseaux, l'air et Mercure sont las De porter, de couler, d'ouïr, de mener bas Les charognes, le sang, les hurlements, les ombres, D'hommes de part et d'autre incroyables en nombre. L'orphelin nous déteste, et la veuve maudit Nos conseils prodiguant  tant de peuple à crédit. Neptune par intervalle, en calmant ses orages, Quelque impiteux qu'il soit, nous reproche nos rages. Mais quoi ! Plus j'ai tenté le train de la douceur, Plus j'ai senti l'effort d'un injuste agresseur, En sorte qu'aujourd'hui ma ruine totale Dépend d'une rencontre en défense inégale."")",-,0.0
"('#balorte', ""Mon roi, prenez courage, et croyez que les cieux Accableront enfin ce coeur ambitieux À qui de l'univers le général empire Selon sa vanité ne pourrait pas suffire (Vicieux, néanmoins, qui ne mérite en soi La qualité d'un homme et moins celle d'un roi). « Quelquefois pour un temps une injustice est forte, Mais il faut à la fin que l'équité l'emporte : Car les dieux tous bénins, contraires aux tyrans, Sont des paisibles rois les gardes et garants. » "")",-,0.0
"('#abdolomin', 'Allons les supplier que leurs yeux secourables Rendent en ce conflit nos armes favorables.')",-,0.0
"('#belcar', ""Eh ! Pour dieu, compagnon, si ce point vigoureux, Trésor des gens de bien, fanal des généreux, Si, dis-je, cette odeur qui seule de nous reste Vive et non périssable après l'heure funeste, L'honneur, l'honneur sacré, cher prix de la vertu, Ne gît totalement à vos pieds abattu ; S'il vous demeure encore au fonds de la pensée Quelque ressouvenir de la gloire passée, Vous qui, sous ma conduite, avez six fois de rang Fait noyer à ces gens leur orgueil en leur sang, Sans que, dessous mon aile, en aucune entreprise Le sort ait contre nous déployé sa maîtrise, Hé ! Rentrez en vos sens, rallumez cette ardeur Qui de notre patrie anime la grandeur. Mes amis, il est temps, cette épreuve dernière Rendra notre couronne ou libre ou prisonnière : Car il ne s'agit point d'un butin étranger, Ni d'un gazon voisin : le nôtre est en danger. En somme, si ce choc leurs victoires n'arrête, Pour nous et nos enfants la chaîne est toute prête. Pourquoi vaudrions-nous moins que ne faisions jadis ? Quoi ! Cette extrémité qui seule rend hardis Les renards fugitifs au fonds de leurs tanières Ne nous remettra point en nos humeurs premières ? Voyez ces étendards semblables en couleurs À ceux que de longtemps nous possédons des leurs, Ornements élevez dans le temple où Minerve D'un tutélaire soin nos murailles préserve. Quel est tout leur amas ? C'est le reste de ceux Qui, moins dispos de jambe et plus assurés qu'eux, Sous l'effort de nos bras ont engraissé la terre, Un reste mal conduit par un novice en guerre."")",-,0.0
"('#araxe', ""L'éclat de votre front, second astre de Mars, Agira sans harangue au coeur de vos soldats ; Astre qui luit sur eux en riante planète, Comme sur l'adversaire en sinistre comète ; Astre à son relever influant leur valeur, Ainsi que son éclipse a causé leur malheur ; Malheur dont la vergogne empreinte en leur courage Les rend tous transportés et tous muets de rage, Prêts à le réparer, vous étant spectateur. « Autant vaut le soldat que vaut son conducteur. »"")",-,0.0
"('#belcar', ""Voici notre envoyé qui diligent retourne. Eh bien ! Le Tyrien vient-il quand on l'ajourne ?"")",-,0.0
"('#le-herault', 'Le message lui plaît ; le terme seulement Lui semble, quoique bref, différé longuement. Il ne veut plus de temps !')",-,0.0
"('#araxe', ""L'espérance l'enivre."")",-,0.0
"('#le-herault', ""Il veut que de ce pas la bataille se livre, Osant bien, Monseigneur, ainsi me discourir, Qu'il vous faut à ce jour ou fuir ou mourir."")",-,0.0
"('#belcar', ""Ou fuir ou mourir ! Outrecuidé jeune homme, Digne que de ton nom quelque mer se surnomme ! Quelle bravade à moi ! Je n'ai point là de choix : Car je ne puis fuir, bien mourir une fois ; Mais, exposant ma vie à qui la voudra prendre, J'en veux être marchand, je la saurai bien vendre. Aux armes donc, enfants ! Courage ! Assurez-vous Que, si vous me suivez, le triomphe est à nous !"")",-,0.0
"('#leonte', 'À moi ! Tourne, fuyard !')",-,0.0
"('#araxe', ""Sortez de l'embuscade ; C'est le prince Léonte. Ô gentille brigade ! Empoignez-le vivant."")",-,0.0
"('#soldats', 'Vous voilà dans nos mains. Ho ! Nous vous tenons bien ! Tous vos efforts sont vains.')",-,0.0
"('#leonte', ""Je crèverai plutôt. ô ma lâche canaille ! Me laissez-vous tout seul au fort de la bataille ? Ha ! Mon cher Timadon, n'ai-je point de secours ?"")",-,0.0
"('#timadon', ""Il ne tient pas à moi, je vous défends toujours ; Mais par plus grand effort la force m'est ravie."")",-,0.0
"('#soldats', 'Rends-toi, quitte le fer, ou tu perdras la vie.')",-,0.0
"('#phulter', 'Holà ! Soldats, holà ! Ce Belcar si vaillant Est digne de pitié, la force lui faillant.')",-,0.0
"('#belcar', ""Non, non, que l'on m'achève, et que de ma patrie Je ne voie aujourd'hui la liberté flétrie ; Je n'aurai le reproche, après être vaincu, Mon honneur étant mort, de l'avoir survécu."")",-,0.0
"('#phulter', ""Prince, il se faut résoudre ; on vous fait courtoisie ; Ôtez le désespoir de votre fantaisie. Il tombe, soutenez-le, et prenez-en bon soin ; Moi, je retourne au gros donner ordre au besoin ; J'ai vu la colonelle encore à la mêlée Et des Iduméans l'assurance ébranlée. Ici se sonne la retraite."")",-,0.0
"('#leonte', ""Que je sois prisonnier ! Qu'on m'emmène captif ! Qu'ès mains de l'ennemi je sois tombé tout vif ! Que je me sois laissé désarmer et surprendre ! Bref, que si lâchement je me sois voulu rendre ! Qu'aujourd'hui, le jouet d'un grand peuple amassé, ?tant du front au pied par leurs yeux compassé, Je sente ma grandeur en triomphe exposée, But de leurs maudissons, sujet de leur risée ! Ô rage ! Ô désespoir ! M'étai-je ainsi promis De faire mon entrée en ces murs ennemis, Quand, un glaive à la droite, à la gauche une torche, Pensant prendre leur roi sur le seuil de son porche, Je m'étais figuré d'exposer en butin Leurs femmes et leurs biens au soldat libertin ?"")",-,0.0
"('#soldats', 'Que ce prince est fougueux !')",-,0.0
"('#leonte', ""Je dépite, je crève, Je brûle, je me meurs, je raffole, j'endève ! Ô ciel ! Ô terre ! Ô mer ! Ains, Ô gouffres d'en-bas, Engloutissez mon corps, qu'on ne l'emmène pas, Et privez le soleil de l'aspect de ma honte !"")",-,0.0
"('#timadon', 'Hola ! Mon maître ! Et quoi ? La douleur vous surmonte ? Quel regret si poignant vous transporte le sens ? Êtes-vous le premier des braves et puissants Qui soit entré par force en prisons bien fermées, Ayant les membres las et les mains désarmées ? Quoi ! (sans vous comparer à de moindres que vous) Le fort Olenien, dieu fumant de courroux, Ne fut-il pas lié de chaînes importunes, Chez le grand Ephialte, un temps de treize lunes ?')",-,0.0
"('#soldats', 'Monsieur, consolez-vous. Belcar, notre support, Prisonnier comme vous, est en danger de mort.')",-,0.0
"('#leonte', ""Ô dieux ! C'est dont j'enrage ! Eh ! Belcar est blessé ; Il ne s'est point rendu qu'il ne fût terrassé, Privé de son bras droit, de vigueur, de monture. Ainsi s'acquiert l'honneur, même dans la capture. Mais moi, tout au contraire, ô mal-timbré cerveau ! Tandis que je m'amuse à viser au plus beau, Que, passant le commun, les plus vaillants j'affronte, Comme un lièvre aux panneaux on a saisi Léonte. Or, baste pour ce coup, il convient de souffrir ; Mais, si jamais se vient un tel danger offrir, Je rabattrai si dru l'acier porte-tempêtes, Écartant près de moi les bras, jambes et têtes, Qu'avant que m'embrasser ainsi qu'à cette fois, Un Briare à cent mains y perdra tous ses doigts."")",-,0.0
"('#soldats', '« Dieu bat les orgueilleux et la force leur ôte ; Celui conte deux fois qui conte sans son hôte. »')",-,0.0
"('#pharnabaze', ""Dieux ! Que j'ai de pensers l'un l'autre séduisants, De mouvements d'esprit l'un l'autre détruisant ! Combien d'impatience agite mon attente, Et que mon espérance est douteuse et flottante ! D'où me vient cet effroi contraire à mon humeur ? D'où ces chancellements au cours de mon bonheur ? Que dois-je redouter ? Au fonds, que puis-je craindre, Si le ciel ne voulait ses propres lois enfreindre « (Ciel qui des coeurs hardis seconde les efforts, Et toujours asservit les faibles aux plus forts) ? » Car en nos deux partis, sans flatter, à tout prendre, Quel point d'égalité m'y peut-on faire entendre ? Quelle comparaison de peuple ni de roi ? Quelle proportion d'Abdolomin à moi, Moi, sorti d'un hiram, Neptune de l'Asie, Dont l'amitié puissante, en sa flotte choisie Par le vaillant David et par son sage fils, Mêla si dextrement les honneurs aux profits Qu'ils mirent en leur temps dans l'enclos de leurs terres L'or au prix de l'argent, l'argent au prix des pierres ; Moi, neveu d'un Straton, dont la seule vertu Releva sans effort ce beau sceptre abattu, Lorsque des serfs cruels la troupe mutinée Avait des citoyens la race exterminée ; Moi qui me puis vanter d'avoir tout restauré, Repeuplé, rebâti ce royaume atterré, Mieux que ce mien aïeul : car j'ai fait en cinq lustres Les masures du Tyr non guère moins illustres Qu'alors que dominante en l'une et l'autre mer, Ne se pouvant soi-même en soi-même enfermer, Elle fit provigner un empire à Carthage Qui doit débattre un jour du monde le partage ? Enfin Tyr, propre mère à l'ingrate Sidon, À Sidon parricide, indigne de pardon ; Tyr, cité nom-pareille en raretés diverses ; Tyr, qui seule arrêta la conquête des Perses ; Tyr, que l'empereur grec n'eût jamais pu dompter S'il ne se fût prouvé vrai fils de Jupiter ; Bref, Tyr, la riche Tyr, sous l'heureuse conduite D'un vaillant Pharnabaze et d'un Léonte ensuite, Avec tant de guerriers adroits et généreux, Imitant les vertus qui reluisent en eux, Craindrait-elle Sidon, bien moins puissante ville, Sous un roi casanier, d'étoffe basse et vile ? Que s'ils ont un Belcar remarquable en valeur, Mon fils a le courage et plus noble et meilleur ; Puis leurs soldats sont mols, sont rebutés ; en somme, Entre tant de barbus on n'y connaît qu'un homme. Ce sont tous cerfs craintifs par un lion menez, Mais mon ost est tout plein de lions déchaînés. Arrière donc de moi la peur, voire la doute, Qu'un si faible ennemi ne soit mis en déroute, Et, puisque notre pourpre est la marque des rois, Qu'à ce coup nos voisins ne reçoivent nos lois ! Arrière ces rêveurs, ces charlatans augures, Cherchant au coeur d'un boeuf de célestes figures, Comme si d'un état ou les biens ou les maux Gisaient aux intestins des brutes animaux ! Arrière ces devins, ces fort savants peu sages, Qui veulent m'ébranler par sinistres présages ! J'espère que bientôt un message certain Démentira leur art trompeur, obscur et vain, M'annonçant que des cieux la juste bienveillance Aura de mon côté fait tourner la balance. Jà l'horloge six fois, à gouttes distillant, A vidé son vaisseau d'un cours égal et lent Depuis qu'on m'a mandé qu'en armes partiales On allait disputer les faveurs martiales. Les cris en sont venus jusques près de ces lieux Où je suis avancé, bouillant et curieux. Pour apprendre plutôt les nouvelles heureuses Que mon courage oppose à ces âmes peureuses. Mais j'entends quelque bruit. Ah ! Ce courrier qui vient N'apporte rien qui vaille, à la mine qu'il tient. Dites, ne celez rien ; la palme désirée Ne nous est-elle pas franchement demeurée ?"")",-,0.0
"('#le-courrier', ""Sire, elle reste neutre, et l'un et l'autre camp, Ni vainqueur ni vaincu, a délaissé le champ."")",-,0.0
"('#pharnabaze', 'Quoi ! Font-ils encor ferme ? Ô lâcheté des nôtres !')",-,0.0
"('#le-courrier', ""Sans l'unique Belcar, ils se rendaient tous vôtres. Pour nous, par quatre fois, le sort a balancé ; Mais toujours ce rocher son choc a repoussé. J'ai vu de nos coureurs, ayant défait une aile, Donner jusqu'à Sidon, prêts d'entrer pèle-mêle ; Belcar seul tenait bon ; mais un effort dernier, En lui cassant le bras l'a rendu prisonnier."")",-,0.0
"('#pharnabaze', 'Et mon fils ?')",-,0.0
"('#le-courrier', 'Il est sain ; mais, ô roi grand et sage, Excusez ma contrainte à porter un message...')",-,0.0
"('#pharnabaze', 'Ha dieux ! Parle, dis tout.')",-,0.0
"('#le-courrier', ""Las ! Comme trop vaillant, Il allait, par dépit, les plus forts assaillant. Voilà qu'un escadron contre lui se rallie, Dont il n'a peu sortir."")",-,0.0
"('#pharnabaze', 'Ô jeunesse ! Ô folie !')",-,0.0
"('#le-courrier', ""Ils l'ont environné tant qu'à force de bras Ils l'ont traîné vers eux, veuille ou ne veuille pas."")",-,0.0
"('#pharnabaze', 'Ô poltrons de sa suite ! Aviez-vous du courage ?')",-,0.0
"('#le-courrier', ""Le crêpe de vesper leur faisait tant d'ombrage Qu'à peine trois des siens virent son accident, Tant en simple soldat il s'allait hasardant. Le premier y périt, s'en voulant entremettre ; Le second, fort blessé, son passe-port impètre Pour en donner avis ; l'écuyer Timadon S'est jeté quant et lui dans les murs de Sidon."")",-,0.0
"('#pharnabaze', ""Ô feux dominateurs des voûtes azurées, Qui, vous entrecoupant par danses mesurées, Bigarrés chaque jour d'événements divers Les plus certains projets de ce bas univers ; Et surtout, et surtout toi, mon dieu sanguinaire, Qui, du cinquième rang de ce beau septenaire, En un trône borné du foudre et du soleil, Régis par tes aspects, pleins de feu nom-pareil, L'esprit, le coeur, les nerfs, les artères, les veines De ceux que généreux aux hasards tu promènes ; Ah ! Brave Odrysien, d'où viennent ces malheurs Qu'un mérité succès n'égale nos valeurs ? Qu'avait donc, pour conduire et pour bien entreprendre Un belliqueux exploit, le fameux Alexandre ? Qu'avait-il d'excellent plus que mon fils et moi, Lui qui le monde entier assujettit à soi ? Ce n'est que toi, fortune aveugle, qui nous verses Par coups inopinés ces cruelles traverses. Mais si veux-je ou mourir ou vaincre à ton dépit, En livrant à Sidon la guerre sans répit. Du vieil Abdolomin la défaite est facile : Car, bien que pour un temps je perde mon Achille, Moi qui suis vigoureux, j'ai des Ajax encor, Des Tydides sans peur ; lui n'avait qu'un Hector."")",-,0.0
"('#le-courrier', ""Nos chefs pour six soleils la trêve ont transigé, Attendant s'il vous plaît qu'elle soit prolongée ; Des corps des deux partis les guérets sont tous noirs, Et là chacun aux siens rend les derniers devoirs."")",-,0.0
"('#pharnabaze', ""Retournez à Phulter, dites-lui qu'il départe Mes gens ès garnisons, sans que trop on s'écarte. Nos armes céderont aux rigueurs de l'hiver, Mais il faut au printemps triompher ou crever. Or par les lois d'honneur je suis forcé de faire Un favorable accueil à ce prince adversaire."")",-,0.0
"('#le-courrier', ""Il viendra lentement ; en litière on l'a mis : Sa blessure autrement l'amener n'eut permis."")",-,0.0
"('#pharnabaze', ""Il le faut bien penser, en tenir si bon conte Que son doux traitement redonde sur Léonte ; Mes filles suppléeront, par entretien discret, À moi, qui ne le puis caresser qu'à regret."")",-,0.0
"('#cassandre', ""Ma soeur, qu'en pensez-vous ? Qu'en dirons-nous au roi ? Ce Belcar est troussé ; quant à moi, je le crois : Voyez ce teint plombé qui son visage couvre, Il se pâme à tous coups ; sa grand'blessure s'ouvre ; Que s'il n'avait, dit-on, que le mal apparent, Le médecin pourrait se rendre son garant ; Mais il faut que d'ailleurs quelque maligne cause, Racine de sa fièvre, aux remèdes s'oppose."")",-,0.0
"('#meliane', ""Je laisse du public la juste inimitié ; Mais en ce triste état, pour moi, j'en ai pitié, Et voudrai pour beaucoup que jamais notre père N'eut fait voir à nos yeux ce miroir de misère."")",-,0.0
"('#cassandre', ""Las ! Que plût-il aux dieux que nous tinssions ici Son otage trop cher qui nous met en souci, Léonte, notre frère. Ah ! Combien j'appréhende, Mort ou vif cestuy-ci, que tel on nous le rende ! C'est ce qui nous oblige à ce fâcheux devoir, Et faut jusqu'à la fin nous forcer à le voir."")",-,0.0
"('#meliane', ""Quelque ennemi juré qu'il soit à ma patrie, D'une compassion mon âme est attendrie Quand je vois sur son front, sur son oeil languissant, Un air majestueux à travers paraissant ; Puis ces graves discours ne témoignent en somme Que douceur, que vertu, qu'humeur de galant homme. Quel dommage pour nous qu'un coeur tant accompli N'est autant d'amitié que de haine rempli !"")",-,0.0
"('#cassandre', ""Le mal d'un ennemi ne m'est jamais dommage, Quelque vaillant qu'il soit et rare personnage ; Je ne le puis priser, ni le plaindre aussi peu, Car je vois dans sa mine et le sang et le feu. Quand je me ramentai son courage barbare Qui rompit notre flotte au vu de notre phare, Embrasant, enfondrant (cruel plus que les eaux) Nos plus vaillants soldats et nos meilleurs vaisseaux, Et quand je me souviens qu'en deux fois trois batailles Il a porté l'effroi jusques dans nos murailles ; Enfin, quand mon esprit renouvelle à mes sens Tant de nos grands guerriers par sa main périssant, Il n'en faut pas mentir, sa valeur ne m'empêche D'estimer que sa mort serait belle dépêche. J'en tiendrai dignement nos dommages vengez, Pourvu que nos captifs n'y fussent engagez. Entrons."")",-,0.0
"('#meliane', ""Je vous suivrai, ne vous mettez en peine. Ô courage de fer ! Lestrygonne inhumaine ! Si ton coeur était noble, ami de la vertu, Il serait plus courtois vers ce prince abattu. « En un esprit bien né la charité doit luire Contre l'ennemi même, alors qu'il ne peut nuire. »"")",-,0.0
"('#zorote', ""Où voulez-vous aller ? Quelle humeur sans raison De ne fuir rien tant que sa propre maison, N'aspirer qu'à courir aux festins, à la danse, Au trottoir du public se mettre en évidence ? Enfin que faire au bal ? Ricasser, babiller, Faire un hachis du pied, des fesses frétiller, Trémousser tout le corps d'un geste déshonnête, Au racler enroué des boyaux d'une bête ; Bref, chercher une amorce à des pensers lascifs Par des mouvements fols et des ris excessifs. Non, non, ma femme, non ; laissez ce badinage, Et prenez vos ébats en votre seul ménage, Tantôt à contempler vos joyaux plus exquis, Tantôt à calculer les biens par nous acquis, Tantôt du fin aloi démêler la monnaie, Tantôt sur un tissu d'or, d'argent et de soie Bigarrant les couleurs d'un subtil entrelacs, Exercer le métier de la sage Pallas ; Tantôt en nos jardins faire vos promenades, Dans les compartiments ou dans les palissades, Puis sommeiller au frais."")",-,0.0
"('#philoline', ""Las ! C'est ce qui me nuit, Car je ne dors que trop tout le long de la nuit."")",-,0.0
"('#zorote', ""Tantôt mettre nos vins et nos froments en vente, Tailler de la besogne à chacune servante ; Tantôt faire causer vos perroquets mignons, Faire jouer, sauter, vos chiens et vos guenons, Et quelquefois aussi feuilleter un bon livre : Voilà comme en honneur la matrone doit vivre ; C'est de ces femmes-là dont le monde fait cas, Non des légers esprits adonnez au tracas, Qui paraissent n'avoir (odieuses coquettes) Que du vent pour cerveau, pour langues des cliquettes. La reine icarienne, exemple tant vanté, La perle de son temps, miroir de chasteté, D'un Ulysse prudent la compagne très digne, A rendu sa mémoire à tout jamais insigne En gardant son foyer auprès de son matin, Et s'amusant vingt ans sur sa toile sans fin. Somme, c'est aux putains communes et vénales, Non aux femmes de bien, d'aller aux bacchanales."")",-,0.0
