,regnard-arlequin-bonnes-fortunes,regnard-coquette,Cost,Operation Type
36,"('#mezzetin', ""Il est aussi venu' un laquais de la part de madame la comtesse de Charbonglacé, qui a laissé un paquet dans une toilette.  Diable !  Celle-ci est bien mieux étoffée que l'autre.  La Comtesse pourrait bien me faire faire la sottise de l'aimer.  Mais il ne fait pas si cher vivre à Paris ; tout s'y donne.  Il tire une toilette où est encore une robe de chambre.  On frappe rudement à la porte. "")","('#colombine', ""Lui parle-t-on d'amour, vante-t-on ses appas,  Elle impose silence en faisant la novice ;  Elle fait expliquer ceux qui n'en parlent pas,  Et sait se démonter à visse :  D'un rire obéissant son visage est paré ;  Le robinet des pleurs s'ouvre et ferme à son gré ;  Et, dispensant ainsi la rigueur, la tendresse,  Crois-moi, cousine, en cet état,  C'est jouer de malheur, après tant de souplesse,  Si quelque dupe enfin ne tâte du contrat. Voici le dernier.  Dame !  Il entre bien des ingrédients dans la composition d'une coquette."")",0.65,Substitution
37,,"('#isabelle', ""Savante comme tu l'es, tu devrais te mettre à montrer le coquettisme en ville : tu serais bientôt riche. "")",1.0,Deletion
38,,"('#colombine', ""Je n'y gagnerais pas de l'eau : toutes les filles savent cela.  Dans le fond, on n'a que de bonnes intentions.  Et quel reproche peut faire un homme quand une fille ne le trompe qu'en vue de mariage ? "")",1.0,Deletion
39,"('#mezzetin', ""Monsieur, c'est le laquais de la Veuve de ce procureur. "")","('#bagatelle', 'Mademoiselle, voilà monsieur le comte Octave. ')",1.14,Substitution
40,"('#le-vicomte', 'Laisse-le entrer. ')","('#colombine', ""Qu'il entre."")",0.14,Substitution
41,,"('#isabelle', ""Je te laisse avec lui ; car apparemment c'est un épouseur : et ma mère m'attend. "")",1.0,Deletion
42,,"('#colombine', ""Bon !  Ta mère t'attend : va, va, elle est la maîtresse, elle attendra tant qu'elle voudra : demeure ici ; tu en apprendras plus avec moi en un quart d'heure, que tu ne feras en toute ta vie avec ta mère.  C'est une façon de mari. "")",1.0,Deletion
43,"('#le-vicomte', 'Que diable me veut-elle ? ')","('#isabelle', ""Tu l'aimeras donc ? "")",1.05,Substitution
44,"('#le-laqauis', ""Monsieur, voilà ce que madame vous envoie ; elle dit comme çà que vous aurez l'honneur de la voir bientôt. "")","('#colombine', ""Que tu es sotte !  Ne t'ai-je pas dit cent fois que j'aime tout le monde sans aimer personne.  Mon père m'a défendu de le voir, parce qu'il me destine à un bailli du Maine, qui doit arriver dans peu.  Ne suis-je pas bien malheureuse !  Car imagine-toi ce que c'est qu'un bailli, et un bailli du Maine !  Mais voici Octave."")",1.04,Substitution
45,"('#le-vicomte', ""Mon enfant, dis-lui qu'elle ne s'en donne pas la peine. Je vais prendre un remède pour me débrouiller le teint.  Le laquais sort. "")","('#octave', ""Malgré la rigueur de votre père, je viens vous assurer, mademoiselle, que je perdrai plutôt la vie que l'espérance d'être un jour votre époux. "")",1.51,Substitution
46,"('#le-vicomte', 'Comment !  Encore une robe de chambre !  Il faut avouer que les femmes nous aiment bien en déshabillé.  On frappe à la porte. ')","('#mezzetin', ""Oui, mademoiselle, nous avons résolu cela : et s'il ne vous épouse, je vous épouserai, moi."")",1.86,Substitution
47,,"('#isabelle', 'Cousine, voilà un gibier à trébuchet. ')",1.0,Deletion
48,"('#mezzetin', ""Monsieur, c'est la Marquise. "")",,1.0,Insertion
49,"('#le-vicomte', 'Donne-moi vite la robe de chambre de la Marquise. Mezzetin prend la robe de chambre de la Marquise, et le Vicomte la met par-dessus la sienne. On refrappe à la porte. ')","('#colombine', ""Vous savez, Monsieur_le_Comte, quels sont mes sentiments pour vous : cela vous doit suffire.  Ne parlons point d'amour, si ce n'est en chansons.  Vous chantez bien : voilà ma cousine qui accompagne parfaitement du clavecin : je veux vous entendre ensemble. "")",1.08,Substitution
50,,"('#octave', ""Mais, mademoiselle, chanter dans l'état où je suis ; pénétré de douleur, désespéré... "")",1.0,Deletion
51,"('#mezzetin', ""Ce n'est pas la Marquise, monsieur, c'est la Comtesse.  Il faut remarquer qu'à chaque fois que l'on heurte, Mezzetin va voir à la porte, et revient sur-le-champ."")","('#colombine', ""Bon, bon !  Si vous n'avez pas la force de chanter, vous soupirerez : c'est la langue la plus familière aux amants.  Allons, qu'on approche le clavecin.  Mezzetin, prenez bien garde que mon père ne vienne. "")",1.08,Substitution
52,"('#le-vicomte', 'Et vite, la robe de chambre de la Comtesse ! Tout serait perdu si elle me trouvait sans cela.  Il met encore cette robe de chambre sur les deux autres. On continue de frapper. ')","('#isabelle', ""Tu me mets là, cousine, à une rude épreuve. Octave chante ; Isabelle l'accompagne. "")",1.51,Substitution
53,"('#mezzetin', ""Oh !  Monsieur, c'est la veuve du procureur. "")","('#trafiquet', ""Holà, quelqu'un, Pierrot, Pierrot !"")",1.83,Substitution
54,,"('#pierrot', ""Me voilà, me voilà, monsieur.  Vous criez plus fort qu'un fiacre mal graissé."")",1.0,Deletion
55,,"('#trafiquet', ""Avec qui diable es-tu donc ?  Il faut toujours t'appeler vingt fois. "")",1.0,Deletion
56,,"('#pierrot', ""Je suis avec l'amour. "")",1.0,Deletion
57,,"('#trafiquet', 'Oh, oh !  Voilà du nouveau.  Tu es donc amoureux ? ')",1.0,Deletion
58,,"('#pierrot', ""Je ne dors ni ne veille ; je sens toujours là un tintamarre, comme s'il y avait un régiment de lutins. "")",1.0,Deletion
59,"('#le-vicomte', ""Que le diable l'emporte !  Ne saurait-elle donner une robe de chambre sans venir l'essayer ?  Donne.  Il met la troisième robe de chambre avec beaucoup de peine, ne pouvant presque plus se remuer à cause des trois autres qu'il a déjà sur lui ; à la fin, après plusieurs lazzis, il tombe, et à peine est-il relevé que la Veuve entre. "")","('#trafiquet', ""Il faut entendre patience. Mais que vois-je ?  C'est Octave !  Hé !  Que faites-vous donc ici, s'il vous plaît ?  Ne vous avais-je pas prié de n'y plus venir ? Apercevant Octave. Octave et Mezzetin font une révérence. "")",0.94,Substitution
60,,"('#pierrot', ""Puisque monsieur vous l'a défendu, pourquoi y revenez-vous ? "")",1.0,Deletion
61,"('#le-vicomte', ""Hé !  Morbleu, madame !  Ne vous avais-je pas fait dire que je n'étais pas visible aujourd'hui ?  Hé, ventrebleu !  Ne saurait-on rendre un lavement sans femme ? "")","('#trafiquet', 'Est-ce que vous prétendez, mon petit monsieur, épouser ma fille malgré moi ?  Octave et Mezzetin font une autre révérence.')",1.23,Substitution
62,"('#la-veuve', 'Pour vous trouver, monsieur, il faut vous prendre au saut du lit ; le reste du jour vous êtes inabordable. ')","('#pierrot', ""Monsieur, n'allez pas souffrir cela ; on vous prendrait pour un insensé. "")",1.4,Substitution
63,,"('#trafiquet', ""Mais, monsieur, encore une fois, je n'ai que faire de vos révérences : répondez à ce que je vous demande. Octave et Mezzetin sortent, après avoir fait encore une révérence. "")",1.0,Deletion
64,"('#le-vicomte', ""Il est vrai que je n'ai pas une heure à moi.  Je suis si courbatu de ces aventures que le vulgaire appelle bonnes fortunes, que mon superflu suffirait à vingt fainéants de la cour. "")","('#trafiquet', ""Vous ferez bien, messieurs de la révérence, de ne regarder ma porte qu'avec une lunette ; je vous saluerais d'une manière...  Quelle plaisante conversation !  Toujours des révérences ! "")",1.47,Substitution
65,"('#la-veuve', ""Je crois, monsieur, que c'est aujourd'hui un de vos jours de conquête ; vous voilà fleuri comme un petit Cupidon. "")","('#pierrot', ""Va, va, tu n'as qu'à y revenir ; je te ferai danser un branle de sortie sans violons."")",1.82,Substitution
66,"('#le-vicomte', ""Je n'ai pourtant encore fait la conquête que d'un bouillon postérieur qui me cause des épreintes horribles : il faut que ma femme de chambre ne me l'ait pas donné de droit fil. "")","('#trafiquet', ""Et vous, mademoiselle l'impertinente, ne vous ai-je pas défendu de le voir ?  Savez-vous que quand je commande, je veux être obéi ?  Colombine et Isabelle font une révérence. "")",0.81,Substitution
67,,"('#pierrot', 'Elles ont appris à danser du même maître. ')",1.0,Deletion
68,"('#la-veuve', ""J'ai été aussi incommodée toute la nuit de tranchées ; je suis aujourd'hui à faire peur. "")","('#trafiquet', ""Ne t'ai-je pas dit que je ne voulais pas que tu songeasses davantage à cet homme-là pour être ton époux ? Colombine et Isabelle font encore une révérence."")",1.43,Substitution
69,"('#le-vicomte', ""En vérité, madame, cela est vrai : il y a aujourd'hui bien des erreurs à votre teint ; mais il est resté là-bas un peu de décoction, ne vous en faites point de nécessité. "")","('#pierrot', ""Fi !  Ce n'est pas là votre fait. "")",1.57,Substitution
70,"('#la-veuve', ""Ce n'est pas avec des simples que l'âcreté de mon mal peut se guérir : ma maladie est là.  Elle se touche au coeur."")",,1.0,Insertion
71,"('#le-vicomte', ""On sait bien qu'une femme grosse a toujours de petits maux de coeur. "")",,1.0,Insertion
72,"('#la-veuve', 'Moi, grosse !  Moi !  Ah, quelle ordure !  Il y a trois ans que Monsieur Gratefeuille, mon mari, est mort !  Grosse !  Quelle obscénité ! ')","('#trafiquet', ""Écoutez, ne m'échauffez pas les oreilles ; il y a des maisons à Paris où l'on réduit les filles désobéissantes.  Merci de ma vie !  Colombine et Isabelle sortent en faisant une grande révérence. "")",1.4,Substitution
73,"('#le-vicomte', ""Ah, madame !  Je vous demande pardon ; je vous croyais fille.  On s'y trompe quelquefois. "")","('#pierrot', 'Ma foi, monsieur, il faut dire la vérité ; voilà des filles bien civiles. ')",0.91,Substitution
74,,"('#trafiquet', ""Mais que veulent donc dire toutes ces cérémonies-là ?  Voilà une nouvelle manière de répondre.  Allons, allons, il faut faire cesser tout ce manége-là.  J'attends aujourd'hui un gendre qui me vient du Bas-Maine ; je veux envoyer savoir s'il est venu.  Pierrot !  Ah, monsieur le maraud !  Je crois que vous voulez rire aussi.  Si je prends un bâton...  Quoi !  Tu t'en mêles aussi ?  Pierrot fait une révérence en fille.  Pierrot fait une autre révérence. "")",1.0,Deletion
75,"('#la-veuve', ""Mais, monsieur, je vous trouve bien gros ; qu'avez-vous ? "")","('#pierrot', ""Mais, monsieur, est-ce que vous voulez m'empêcher d'être civil ?  Qu'est-ce que vous me voulez ? "")",0.83,Substitution
76,,"('#trafiquet', 'Je veux que tu passes chez monsieur Fesse-Mathieu, pour le prier de venir ici ; et que tu ailles de là dans la rue de la Huchette, savoir si le messager du Mans est arrivé. ')",1.0,Deletion
77,,"('#pierrot', 'Bon, bon, bon, monsieur.  Vous attendez donc quelque panier de volaille ? ')",1.0,Deletion
78,,"('#trafiquet', ""J'attends le bailli de Laval, qui vient pour être mon gendre. "")",1.0,Deletion
79,,"('#pierrot', 'Quoi !  Tout de bon ?  Un homme du Maine pour être le mari de votre fille ? ')",1.0,Deletion
80,"('#le-vicomte', ""Je n'ai rien, c'est que je soupai furieusement hier au soir. "")","('#trafiquet', 'Assurément. ')",1.2,Substitution
81,"('#la-veuve', ""Il faut qu'il y ait autre chose : N'êtes-vous point hydropique ? "")","('#pierrot', ""Fi !  Monsieur, n'en faites rien ; il ne vient que des chapons de ce pays-là. Scènes italiennes. "")",1.52,Substitution
82,"('#le-vicomte', ""J'en serais bien fâché. "")","('#colombine', ""Une bougie ?  Est-ce que tu n'entends pas que je demande une bougie pour cacheter une lettre ?"")",1.93,Substitution
83,"('#la-veuve', ""Voyons.  Elle lui lève ses robes de chambre l'une après l'autre. "")",,1.0,Insertion
84,"('#le-vicomte', ""Hé, fi, Madame !  Que faites-vous là ?  Cela n'est point honnête. "")","('#pierrot', ""Pardonnez-moi... mais... c'est que... en vérité... mademoiselle ; je m'en vais... "")",0.68,Substitution
85,"('#la-veuve', ""Une, deux, trois robes de chambre, c'est-à-dire trois maîtresses.  Ah, traître !  C'est donc ainsi que tu me joues ?  Tu dis que tu n'aimes que moi."")","('#colombine', ""Pour moi, je ne sais plus quelle maladie a attaqué le cerveau de cet animal-là : il ne voit plus, il n'entend plus ; il a assurément quelque chose de brouillé dans son timbre. Tu veux donc que je cachette une lettre avec un manchon ?  Je te demande une bougie, m'entends-tu ? Je crois qu'il me fera perdre l'esprit.  Oh, oh !  Voilà une nouvelle folie que je ne lui connaissais pas encore.  Depuis quand as-tu perdu la parole ?  Parle, réponds ; dis donc à qui tu en as. Pierrot apporte un manchon.  Pierrot fait encore des mines. "")",0.81,Substitution
86,"('#le-vicomte', ""Madame, je n'en puis plus. "")","('#pierrot', ""Je n'oserais ; je sens là un tourbillon, un étouffement de la nature... heurtant contre l'amour.  Tenez, voilà une lettre qui vous dira tout cela. "")",0.98,Substitution
87,"('#la-veuve', ""Voilà l'effet de tes serments !... "")","('#colombine', ""Que signifie donc cette cérémonie-ci ?  Je trouve cela assez plaisant.  Voyons donc ce que dit cette lettre. Comme il n'y a point d'animal dans le monde qui n'aime quelque autre animal, c'est ce qui fait que je vous aime.  Autre chose ne peut vous dire votre très humble serviteur et fidèle amant, Pierrot. Mon très humble serviteur et fidèle amant, Pierrot.  Ah, ah !  Voilà donc où le bât vous blesse, monsieur l'amoureux !  En vérité, je suis ravie d'avoir fait une pareille conquête.  Elle lit. "")",1.67,Substitution
88,"('#le-vicomte', 'Madame, je vais tout rendre, si je ne sors. ')","('#pierrot', ""Hé !  Mademoiselle, je sais bien que mon mérite n'est pas capable de mériter ;... mais, d'un autre côté,... voilà que l'occasion,... votre beauté... Je ne suis pas bien riche ; mais, ma foi, je suis un bon garçon. "")",1.77,Substitution
89,,"('#colombine', ""J'entends cela le mieux du monde ; mais je vous prie, monsieur Pierrot, d'étouffer un peu vos hoquets de tendresse, et d'aller porter cette lettre à monsieur de la Maltotière."")",1.0,Deletion
90,"('#la-veuve', 'Scélérat ! ')","('#pierrot', 'Ah !  Petit cocodrille !  Ouf ! ')",0.64,Substitution
91,"('#le-vicomte', 'Madame, je ne réponds plus de la discrétion de mon derrière. ')","('#colombine', ""La conquête de Pierrot n'est pas bien illustre : je sens néanmoins une secrète joie de voir que rien ne m'échappe.  Quelque sévérité qu'affectent les femmes, elles ne sont jamais fâchées de s'entendre dire qu'on les aime. "")",1.22,Substitution
92,,"('#le-laquais', 'Mademoiselle, voilà monsieur le conseiller Nigaudin. ')",1.0,Deletion
93,"('#la-veuve', ""N'as-tu point de honte ?... "")",,1.0,Insertion
94,"('#le-vicomte', ""Il ne tient plus qu'à un petit filet. "")",,1.0,Insertion
95,"('#la-veuve', ""Non, je ne veux plus de commerce avec toi ; rends-moi ma robe de chambre.  Elle lui veut arracher sa robe de chambre : ils se battent ; le Vicomte la décoiffe ; une de ses jupes tombe, et elle s'en va. "")","('#colombine', ""En vérité, monsieur Nigaudin, j'ai lieu de louer votre diligence : nous ne devons partir pour la Comédie que dans deux heures, et je suis ravie de pouvoir pendant ce temps-là profiter de votre conversation."")",1.66,Substitution
96,"('#isabelle', ""En vérité, vous êtes bien folle de farcir votre tête de vos sottes imaginations d'amour et de mariage. Est-ce là le parti que doit prendre une cadette, et ne devriez-vous pas avoir renoncé au monde ? "")","('#nigaudin', ""Mademoiselle, quand il s'agira de venir vous offrir ses hommages, on n'obtiendra point de défaut contre moi : en cas de rendez-vous auprès des dames, je ne me laisse jamais contumacer, et je me rends bien vite à l'ajournement personnel. "")",1.46,Substitution
97,"('#colombine', 'Mon_Dieu, ma soeur, cela est bien aisé à dire ; mais vous ne parleriez pas comme vous faites, si vous sentiez ce que je sens. ')","('#colombine', ""Ah, monsieur !  Que vous dites les choses galamment !  Vous avez un tour aisé et naturel dans les expressions, que les autres n'ont point ; et il semble toujours que vous demandiez le coeur, quelque indifférente chose que vous puissiez dire. "")",0.39,Substitution
98,"('#isabelle', ""Et que sentez-vous donc, s'il vous plaît ?  Vraiment, je vous trouve une jolie mignonne, pour sentir quelque chose !  Et que sentirai-je donc, moi qui suis votre aînée ?  Est-ce que l'on m'entend plaindre des envies que cause I'état de fille ?  Vous êtes encore une plaisante morveuse ! "")","('#nigaudin', ""Moi, mademoiselle ! Je ne vous demande rien ; vous me prenez donc pour un escroc ?  Il est vrai que nous autres gens de robe, la plupart, nous avons la belle élocution à commandement.  Tout franc, mademoiselle, les gens d'épée n'ont point le boute-dehors comme nous. "")",0.91,Substitution
99,"('#colombine', ""Plaisante morveuse !  Mon_Dieu !  Je ne suis pas si morveuse que je le parais, et il y aurait déjà longtemps que je serais femme si mon père avait voulu ; car on m'a dit qu'on pouvait l'être à douze ans. "")","('#colombine', ""Fi !  Ne me parlez point des gens d'épée ; ils n'auraient jamais rien à vous dire, s'ils ne vous étourdissaient de leurs bonnes fortunes, et s'ils ne vous faisaient le calcul du nombre des bouteilles qu'ils ont vidées.  Pour moi, je ne conçois pas bien la manie de la plupart des femmes d'aujourd'hui ; on ne saurait leur plaire, si l'on ne revient de Flandre ou d'Allemagne, et si l'on ne rapporte à leurs pieds un coeur tout persillé de poudre à canon. "")",0.79,Substitution
100,,"('#nigaudin', ""Ma foi, il y a bien de l'entêtement ; car, entre nous, il n'y a point de gens qui tiennent une procédure si irrégulière auprès des dames que les gens de guerre : ils sont brusques et entreprenants sur le fait des faveurs, et n'observent jamais les délais fixés par l'ordonnance de l'amour. "")",1.0,Deletion
101,,"('#colombine', ""Il est vrai qu'on n'est point en sûreté contre leurs entreprises ; et quand ils sont chez les dames, ils s'imaginent être dans un quartier d'hiver à vivre à discrétion. "")",1.0,Deletion
102,,"('#nigaudin', ""À propos de quartier d'hiver, mademoiselle, il me semble qu'ils sont venus cette année quinze jours plus tôt pour moi. "")",1.0,Deletion
103,"('#isabelle', ""Mais savez-vous bien ce que c'est qu'un mari, pour parler comme vous faites ? "")","('#colombine', 'Pourquoi donc, monsieur ? ')",1.16,Substitution
104,"('#colombine', ""Bon !  Si je ne le savais pas, est-ce que j'en voudrais avoir un ? "")",,1.0,Insertion
